SSC_NAME16	MaxSchoolingCompleted	adults
Appin (NSW)	Year 11	139
Appin (NSW)	Year 12	750
Apple Tree Flat	Year 10	10
Apple Tree Flat	Year 12	11
Appleby	Year 8	3
Appleby	Year 9	4
Appleby	Year 10	8
Appleby	Year 11	3
Appleby	Year 12	10
Appletree Flat	Year 9	5
Appletree Flat	Year 12	3
Apsley (NSW)	Year 8	6
Apsley (NSW)	Year 9	11
Apsley (NSW)	Year 10	30
Apsley (NSW)	Year 11	4
Apsley (NSW)	Year 12	37
Arable	Year 9	4
Arable	Year 10	3
Arable	Year 12	9
Arakoon	Year 8	10
Arakoon	Year 9	34
Arakoon	Year 10	149
Arakoon	Year 11	25
Arakoon	Year 12	132
Araluen (NSW)	Year 8	5
Araluen (NSW)	Year 9	15
Araluen (NSW)	Year 10	47
Araluen (NSW)	Year 11	9
Araluen (NSW)	Year 12	57
Arcadia (NSW)	Did not go to school	4
Arcadia (NSW)	Year 8	22
Arcadia (NSW)	Year 9	63
Arcadia (NSW)	Year 10	254
Arcadia (NSW)	Year 11	70
Arcadia (NSW)	Year 12	647
Arcadia Vale	Year 8	58
Arcadia Vale	Year 9	113
Arcadia Vale	Year 10	390
Arcadia Vale	Year 11	81
Arcadia Vale	Year 12	405
Ardglen	Year 8	7
Ardglen	Year 10	15
Ardglen	Year 11	4
Ardglen	Year 12	10
Arding	Year 8	12
Arding	Year 9	7
Arding	Year 10	30
Arding	Year 11	23
Arding	Year 12	84
Ardlethan	Year 8	42
Ardlethan	Year 9	59
Ardlethan	Year 10	143
Ardlethan	Year 11	24
Ardlethan	Year 12	105
Argalong	Year 9	4
Argalong	Year 10	13
Argalong	Year 11	3
Argalong	Year 12	11
Argenton	Did not go to school	3
Argenton	Year 8	103
Argenton	Year 9	165
Argenton	Year 10	385
Argenton	Year 11	72
Argenton	Year 12	286
Argents Hill	Year 8	12
Argents Hill	Year 9	21
Argents Hill	Year 10	72
Argents Hill	Year 11	12
Argents Hill	Year 12	48
Argoon (NSW)	Year 12	8
Ariah Park	Year 8	38
Ariah Park	Year 9	43
Ariah Park	Year 10	127
Ariah Park	Year 11	26
Ariah Park	Year 12	110
Arkell	Year 8	3
Arkell	Year 10	8
Arkell	Year 12	12
Arkstone	Year 10	11
Arkstone	Year 12	3
Armatree	Year 8	8
Armatree	Year 9	13
Armatree	Year 10	28
Armatree	Year 11	9
Armatree	Year 12	42
Armidale	Did not go to school	60
Armidale	Year 8	783
Armidale	Year 9	1229
Armidale	Year 10	3739
Armidale	Year 11	1113
Armidale	Year 12	10502
Arncliffe	Did not go to school	234
Arncliffe	Year 8	529
Arncliffe	Year 9	301
Arncliffe	Year 10	1236
Arncliffe	Year 11	414
Arncliffe	Year 12	5459
Arndell Park	Year 8	3
Arndell Park	Year 10	9
Arndell Park	Year 11	5
Arndell Park	Year 12	6
Arrawarra	Did not go to school	3
Arrawarra	Year 8	35
Arrawarra	Year 9	77
Arrawarra	Year 10	146
Arrawarra	Year 11	34
Arrawarra	Year 12	120
Arrawarra Headland	Year 8	14
Arrawarra Headland	Year 9	33
Arrawarra Headland	Year 10	129
Arrawarra Headland	Year 11	32
Arrawarra Headland	Year 12	219
Artarmon	Did not go to school	45
Artarmon	Year 8	108
Artarmon	Year 9	153
Artarmon	Year 10	503
Artarmon	Year 11	242
Artarmon	Year 12	6146
Arthurville	Year 9	4
Arthurville	Year 10	4
Arthurville	Year 12	13
Arumpo	Year 8	3
Arumpo	Year 9	4
Arumpo	Year 10	10
Arumpo	Year 11	8
Arumpo	Year 12	8
Ashbury	Did not go to school	35
Ashbury	Year 8	206
Ashbury	Year 9	105
Ashbury	Year 10	443
Ashbury	Year 11	121
Ashbury	Year 12	1626
Ashby (NSW)	Year 8	14
Ashby (NSW)	Year 9	29
Ashby (NSW)	Year 10	84
Ashby (NSW)	Year 11	24
Ashby (NSW)	Year 12	108
Ashby Heights	Year 8	8
Ashby Heights	Year 9	8
Ashby Heights	Year 10	73
Ashby Heights	Year 11	19
Ashby Heights	Year 12	67
Ashby Island	Year 10	7
Ashby Island	Year 12	5
Ashcroft	Did not go to school	123
Ashcroft	Year 8	238
Ashcroft	Year 9	258
Ashcroft	Year 10	563
Ashcroft	Year 11	165
Ashcroft	Year 12	933
Ashfield (NSW)	Did not go to school	339
Ashfield (NSW)	Year 8	907
Ashfield (NSW)	Year 9	584
Ashfield (NSW)	Year 10	1842
Ashfield (NSW)	Year 11	648
Ashfield (NSW)	Year 12	14846
Ashford (NSW)	Did not go to school	5
Ashford (NSW)	Year 8	70
Ashford (NSW)	Year 9	51
Ashford (NSW)	Year 10	181
Ashford (NSW)	Year 11	33
Ashford (NSW)	Year 12	123
Ashley	Year 8	16
Ashley	Year 9	23
Ashley	Year 10	85
Ashley	Year 11	18
Ashley	Year 12	89
Ashmont	Did not go to school	25
Ashmont	Year 8	248
Ashmont	Year 9	402
Ashmont	Year 10	977
Ashmont	Year 11	226
Ashmont	Year 12	760
Ashtonfield	Year 8	100
Ashtonfield	Year 9	264
Ashtonfield	Year 10	1129
Ashtonfield	Year 11	276
Ashtonfield	Year 12	1556
Asquith	Did not go to school	19
Asquith	Year 8	53
Asquith	Year 9	143
Asquith	Year 10	425
Asquith	Year 11	147
Asquith	Year 12	1755
Atholwood	Year 8	12
Atholwood	Year 9	3
Atholwood	Year 10	26
Atholwood	Year 11	7
Atholwood	Year 12	18
Attunga	Did not go to school	4
Attunga	Year 8	23
Attunga	Year 9	37
Attunga	Year 10	180
Attunga	Year 11	24
Attunga	Year 12	149
Auburn (NSW)	Did not go to school	2018
Auburn (NSW)	Year 8	2515
Auburn (NSW)	Year 9	1168
Auburn (NSW)	Year 10	3220
Auburn (NSW)	Year 11	1317
Auburn (NSW)	Year 12	17622
Auburn Vale	Year 8	8
Auburn Vale	Year 9	10
Auburn Vale	Year 10	30
Auburn Vale	Year 11	3
Auburn Vale	Year 12	34
Austinmer	Did not go to school	3
Austinmer	Year 8	24
Austinmer	Year 9	87
Austinmer	Year 10	349
Austinmer	Year 11	113
Austinmer	Year 12	1347
Austral	Did not go to school	115
Austral	Year 8	331
Austral	Year 9	196
Austral	Year 10	641
Austral	Year 11	107
Austral	Year 12	796
Austral Eden	Year 8	16
Austral Eden	Year 9	7
Austral Eden	Year 10	46
Austral Eden	Year 11	8
Austral Eden	Year 12	29
Avalon Beach	Did not go to school	5
Avalon Beach	Year 8	107
Avalon Beach	Year 9	302
Avalon Beach	Year 10	1486
Avalon Beach	Year 11	533
Avalon Beach	Year 12	5092
Avisford	Year 8	3
Avisford	Year 10	7
Avisford	Year 11	3
Avisford	Year 12	4
Avoca (NSW)	Year 8	3
Avoca (NSW)	Year 9	9
Avoca (NSW)	Year 10	57
Avoca (NSW)	Year 11	17
Avoca (NSW)	Year 12	74
Avoca Beach	Did not go to school	5
Avoca Beach	Year 8	68
Avoca Beach	Year 9	191
Avoca Beach	Year 10	847
Avoca Beach	Year 11	249
Avoca Beach	Year 12	2017
Avondale (NSW)	Did not go to school	4
Avondale (NSW)	Year 8	76
Avondale (NSW)	Year 9	117
Avondale (NSW)	Year 10	502
Avondale (NSW)	Year 11	89
Avondale (NSW)	Year 12	446
Avonside	Year 9	9
Avonside	Year 10	16
Avonside	Year 11	9
Avonside	Year 12	49
Awaba	Did not go to school	4
Awaba	Year 8	19
Awaba	Year 9	32
Awaba	Year 10	112
Awaba	Year 11	36
Awaba	Year 12	102
Aylmerton	Year 8	12
Aylmerton	Year 9	12
Aylmerton	Year 10	47
Aylmerton	Year 11	17
Aylmerton	Year 12	76
Baan Baa	Year 8	8
Baan Baa	Year 9	16
Baan Baa	Year 10	49
Baan Baa	Year 11	5
Baan Baa	Year 12	32
Babinda (NSW)	Year 9	4
Babyl Creek	Year 10	5
Back Creek (Bland - NSW)	Year 9	3
Back Creek (Bland - NSW)	Year 10	14
Back Creek (Bland - NSW)	Year 12	7
Back Creek (Gwydir - NSW)	Year 8	3
Back Creek (Gwydir - NSW)	Year 10	3
Back Creek (Gwydir - NSW)	Year 12	4
Back Creek (Mid-Coast - NSW)	Year 9	3
Back Creek (Mid-Coast - NSW)	Year 10	6
Back Creek (Mid-Coast - NSW)	Year 12	7
Back Creek (Queanbeyan-Palerang Regional - NSW)	Year 12	5
Back Creek (Tenterfield - NSW)	Year 9	3
Back Creek (Tweed - NSW)	Year 10	3
Back Creek (Tweed - NSW)	Year 12	4
Back Forest	Year 8	4
Back Forest	Year 10	13
Back Forest	Year 11	6
Back Forest	Year 12	38
Backmede	Year 8	8
Backmede	Year 9	8
Backmede	Year 10	53
Backmede	Year 11	3
Backmede	Year 12	36
Backwater	Year 8	3
Backwater	Year 9	3
Backwater	Year 10	4
Backwater	Year 12	3
Badgerys Creek	Did not go to school	4
Badgerys Creek	Year 8	23
Badgerys Creek	Year 9	33
Badgerys Creek	Year 10	46
Badgerys Creek	Year 11	7
Badgerys Creek	Year 12	46
Badja	Year 12	3
Baerami	Year 9	4
Baerami	Year 10	15
Baerami	Year 12	17
Baerami Creek	Year 9	3
Baerami Creek	Year 10	9
Baerami Creek	Year 11	3
Baerami Creek	Year 12	6
Bagnoo	Year 8	10
Bagnoo	Year 10	13
Bagnoo	Year 12	10
Bago	Year 9	6
Bago	Year 10	9
Bago	Year 12	6
Bagotville	Year 8	3
Bagotville	Year 9	7
Bagotville	Year 10	18
Bagotville	Year 11	7
Bagotville	Year 12	12
Bakers Creek (Mid-Coast - NSW)	Year 9	12
Bakers Creek (Mid-Coast - NSW)	Year 10	15
Bakers Creek (Mid-Coast - NSW)	Year 12	3
Bakers Creek (Nambucca - NSW)	Year 10	3
Bakers Creek (Nambucca - NSW)	Year 12	3
Bakers Creek (Uralla - NSW)	Year 9	3
Bakers Creek (Uralla - NSW)	Year 10	10
Bakers Creek (Uralla - NSW)	Year 12	7
Bakers Swamp	Year 9	3
Bakers Swamp	Year 10	8
Bakers Swamp	Year 12	23
Balaclava (NSW)	Did not go to school	4
Balaclava (NSW)	Year 8	15
Balaclava (NSW)	Year 9	32
Balaclava (NSW)	Year 10	124
Balaclava (NSW)	Year 11	21
Balaclava (NSW)	Year 12	163
Balala	Year 8	4
Balala	Year 9	10
Balala	Year 10	36
Balala	Year 12	41
Balcolyn	Did not go to school	4
Balcolyn	Year 8	36
Balcolyn	Year 9	62
Balcolyn	Year 10	270
Balcolyn	Year 11	75
Balcolyn	Year 12	282
Bald Blair	Year 10	10
Bald Blair	Year 11	3
Bald Blair	Year 12	14
Bald Hills (NSW)	Year 8	12
Bald Hills (NSW)	Year 9	16
Bald Hills (NSW)	Year 10	52
Bald Hills (NSW)	Year 11	26
Bald Hills (NSW)	Year 12	80
Bald Nob	Year 10	3
Bald Nob	Year 12	4
Bald Ridge	Year 10	6
Baldersleigh	Year 8	3
Baldersleigh	Year 10	12
Baldersleigh	Year 11	4
Baldersleigh	Year 12	16
Baldry	Year 9	6
Baldry	Year 10	24
Baldry	Year 11	3
Baldry	Year 12	31
Balfours Peak	Year 9	8
Balfours Peak	Year 10	7
Balfours Peak	Year 12	10
Balgowlah	Did not go to school	10
Balgowlah	Year 8	65
Balgowlah	Year 9	183
Balgowlah	Year 10	734
Balgowlah	Year 11	320
Balgowlah	Year 12	4515
Balgowlah Heights	Did not go to school	6
Balgowlah Heights	Year 8	40
Balgowlah Heights	Year 9	88
Balgowlah Heights	Year 10	274
Balgowlah Heights	Year 11	103
Balgowlah Heights	Year 12	1840
Balgownie	Did not go to school	37
Balgownie	Year 8	256
Balgownie	Year 9	326
Balgownie	Year 10	1249
Balgownie	Year 11	275
Balgownie	Year 12	2128
Balickera	Year 10	9
Balickera	Year 12	7
Balladoran	Year 8	12
Balladoran	Year 9	10
Balladoran	Year 10	36
Balladoran	Year 11	3
Balladoran	Year 12	20
Ballalaba	Year 10	4
Ballalaba	Year 12	9
Balldale	Year 8	12
Balldale	Year 9	9
Balldale	Year 10	31
Balldale	Year 11	12
Balldale	Year 12	36
Ballengarra	Year 9	3
Ballengarra	Year 10	25
Ballengarra	Year 11	5
Ballengarra	Year 12	25
Ballimore	Year 8	5
Ballimore	Year 9	12
Ballimore	Year 10	54
Ballimore	Year 11	9
Ballimore	Year 12	48
Ballina	Did not go to school	28
Ballina	Year 8	540
Ballina	Year 9	823
Ballina	Year 10	2245
Ballina	Year 11	486
Ballina	Year 12	2360
Ballyroe	Year 10	3
Balmain	Did not go to school	28
Balmain	Year 8	135
Balmain	Year 9	211
Balmain	Year 10	793
Balmain	Year 11	329
Balmain	Year 12	6253
Balmain East	Did not go to school	3
Balmain East	Year 8	29
Balmain East	Year 9	26
Balmain East	Year 10	154
Balmain East	Year 11	55
Balmain East	Year 12	1183
Balmoral (Lake Macquarie - NSW)	Year 8	15
Balmoral (Lake Macquarie - NSW)	Year 9	58
Balmoral (Lake Macquarie - NSW)	Year 10	227
Balmoral (Lake Macquarie - NSW)	Year 11	61
Balmoral (Lake Macquarie - NSW)	Year 12	223
Balmoral (Wingecarribee - NSW)	Year 8	10
Balmoral (Wingecarribee - NSW)	Year 9	25
Balmoral (Wingecarribee - NSW)	Year 10	137
Balmoral (Wingecarribee - NSW)	Year 11	26
Balmoral (Wingecarribee - NSW)	Year 12	129
Balranald	Did not go to school	9
Balranald	Year 8	126
Balranald	Year 9	113
Balranald	Year 10	293
Balranald	Year 11	104
Balranald	Year 12	299
Bamarang	Year 9	5
Bamarang	Year 10	9
Bamarang	Year 11	3
Bamarang	Year 12	7
Bandon Grove	Year 8	4
Bandon Grove	Year 9	8
Bandon Grove	Year 10	39
Bandon Grove	Year 11	7
Bandon Grove	Year 12	29
Bangadang	Year 12	3
Bangalee (NSW)	Did not go to school	3
Bangalee (NSW)	Year 8	16
Bangalee (NSW)	Year 9	36
Bangalee (NSW)	Year 10	181
Bangalee (NSW)	Year 11	30
Bangalee (NSW)	Year 12	261
Bangalow	Did not go to school	3
Bangalow	Year 8	47
Bangalow	Year 9	78
Bangalow	Year 10	315
Bangalow	Year 11	107
Bangalow	Year 12	865
Bangheet	Year 9	3
Bangheet	Year 10	16
Bangheet	Year 12	13
Bango	Year 8	4
Bango	Year 9	6
Bango	Year 10	28
Bango	Year 11	6
Bango	Year 12	39
Bangor (NSW)	Did not go to school	26
Bangor (NSW)	Year 8	146
Bangor (NSW)	Year 9	261
Bangor (NSW)	Year 10	1198
Bangor (NSW)	Year 11	248
Bangor (NSW)	Year 12	2502
Banksia	Did not go to school	61
Banksia	Year 8	200
Banksia	Year 9	93
Banksia	Year 10	476
Banksia	Year 11	140
Banksia	Year 12	1597
Banksmeadow	Year 9	3
Banksmeadow	Year 10	8
Banksmeadow	Year 12	8
Bankstown	Did not go to school	900
Bankstown	Year 8	1732
Bankstown	Year 9	1082
Bankstown	Year 10	3180
Bankstown	Year 11	1100
Bankstown	Year 12	14666
Bannaby	Year 9	3
Bannaby	Year 10	13
Bannaby	Year 11	3
Bannaby	Year 12	15
Bannister (NSW)	Year 8	5
Bannister (NSW)	Year 9	3
Bannister (NSW)	Year 10	27
Bannister (NSW)	Year 11	4
Bannister (NSW)	Year 12	38
Banoon	Year 8	5
Banoon	Year 9	3
Banoon	Year 11	3
Banoon	Year 12	11
Banora Point	Did not go to school	35
Banora Point	Year 8	788
Banora Point	Year 9	1245
Banora Point	Year 10	4428
Banora Point	Year 11	1091
Banora Point	Year 12	5072
Banyabba	Year 8	6
Banyabba	Year 9	5
Banyabba	Year 10	9
Banyabba	Year 11	4
Banyabba	Year 12	11
Bar Beach	Did not go to school	3
Bar Beach	Year 8	18
Bar Beach	Year 9	51
Bar Beach	Year 10	170
Bar Beach	Year 11	49
Bar Beach	Year 12	696
Bar Point	Year 9	5
Bar Point	Year 10	18
Bar Point	Year 11	3
Bar Point	Year 12	30
Bara	Year 8	6
Bara	Year 10	10
Bara	Year 12	4
Baradine	Year 8	77
Baradine	Year 9	89
Baradine	Year 10	231
Baradine	Year 11	28
Baradine	Year 12	141
Barangaroo	Year 10	3
Barangaroo	Year 12	85
Barden Ridge	Did not go to school	11
Barden Ridge	Year 8	96
Barden Ridge	Year 9	167
Barden Ridge	Year 10	897
Barden Ridge	Year 11	225
Barden Ridge	Year 12	1984
Bardia	Did not go to school	6
Bardia	Year 8	10
Bardia	Year 9	29
Bardia	Year 10	165
Bardia	Year 11	52
Bardia	Year 12	809
Bardwell Park	Did not go to school	18
Bardwell Park	Year 8	115
Bardwell Park	Year 9	66
Bardwell Park	Year 10	279
Bardwell Park	Year 11	85
Bardwell Park	Year 12	1194
Bardwell Valley	Did not go to school	42
Bardwell Valley	Year 8	120
Bardwell Valley	Year 9	91
Bardwell Valley	Year 10	325
Bardwell Valley	Year 11	85
Bardwell Valley	Year 12	1124
Barellan	Did not go to school	3
Barellan	Year 8	42
Barellan	Year 9	38
Barellan	Year 10	157
Barellan	Year 11	29
Barellan	Year 12	100
Bargo	Did not go to school	14
Bargo	Year 8	179
Bargo	Year 9	349
Bargo	Year 10	1312
Bargo	Year 11	253
Bargo	Year 12	1113
Barham	Year 8	118
Barham	Year 9	145
Barham	Year 10	317
Barham	Year 11	201
Barham	Year 12	348
Barigan	Year 10	3
Barigan	Year 12	3
Barkers Vale	Year 9	9
Barkers Vale	Year 10	25
Barkers Vale	Year 11	9
Barkers Vale	Year 12	73
Barmedman	Year 8	28
Barmedman	Year 9	41
Barmedman	Year 10	127
Barmedman	Year 11	26
Barmedman	Year 12	88
Barnsley	Year 8	69
Barnsley	Year 9	150
Barnsley	Year 10	608
Barnsley	Year 11	132
Barnsley	Year 12	374
Barooga	Did not go to school	5
Barooga	Year 8	100
Barooga	Year 9	131
Barooga	Year 10	336
Barooga	Year 11	253
Barooga	Year 12	481
Barraba	Did not go to school	4
Barraba	Year 8	144
Barraba	Year 9	177
Barraba	Year 10	337
Barraba	Year 11	79
Barraba	Year 12	300
Barrack Heights	Did not go to school	52
Barrack Heights	Year 8	366
Barrack Heights	Year 9	481
Barrack Heights	Year 10	1637
Barrack Heights	Year 11	312
Barrack Heights	Year 12	1521
Barrack Point	Year 8	29
Barrack Point	Year 9	49
Barrack Point	Year 10	160
Barrack Point	Year 11	43
Barrack Point	Year 12	220
Barraganyatti	Year 8	12
Barraganyatti	Year 9	5
Barraganyatti	Year 10	43
Barraganyatti	Year 11	11
Barraganyatti	Year 12	34
Barragga Bay	Year 8	5
Barragga Bay	Year 10	18
Barragga Bay	Year 11	10
Barragga Bay	Year 12	53
Barrengarry	Year 8	3
Barrengarry	Year 9	15
Barrengarry	Year 10	31
Barrengarry	Year 11	10
Barrengarry	Year 12	67
Barretts Creek	Year 11	4
Barretts Creek	Year 12	3
Barringella	Year 8	6
Barringella	Year 10	4
Barringella	Year 11	6
Barringella	Year 12	11
Barrington (NSW)	Year 8	24
Barrington (NSW)	Year 9	35
Barrington (NSW)	Year 10	119
Barrington (NSW)	Year 11	17
Barrington (NSW)	Year 12	97
Barry (Blayney - NSW)	Year 8	9
Barry (Blayney - NSW)	Year 9	11
Barry (Blayney - NSW)	Year 10	48
Barry (Blayney - NSW)	Year 11	12
Barry (Blayney - NSW)	Year 12	41
Barwang	Year 8	3
Barwang	Year 10	10
Barwang	Year 11	3
Barwang	Year 12	43
