SSC_NAME16	MaxSchoolingCompleted	adults
Aarons Pass	Year 9	7
Aarons Pass	Year 10	3
Aarons Pass	Year 12	9
Abbotsbury	Did not go to school	69
Abbotsbury	Year 8	195
Abbotsbury	Year 9	157
Abbotsbury	Year 10	813
Abbotsbury	Year 11	197
Abbotsbury	Year 12	1946
Abbotsford (NSW)	Did not go to school	36
Abbotsford (NSW)	Year 8	217
Abbotsford (NSW)	Year 9	183
Abbotsford (NSW)	Year 10	739
Abbotsford (NSW)	Year 11	204
Abbotsford (NSW)	Year 12	2805
Abercrombie	Year 8	26
Abercrombie	Year 9	52
Abercrombie	Year 10	220
Abercrombie	Year 11	80
Abercrombie	Year 12	425
Abercrombie River	Year 9	3
Abercrombie River	Year 10	3
Abercrombie River	Year 11	4
Abercrombie River	Year 12	7
Aberdare	Did not go to school	7
Aberdare	Year 8	131
Aberdare	Year 9	231
Aberdare	Year 10	691
Aberdare	Year 11	181
Aberdare	Year 12	529
Aberdeen (NSW)	Did not go to school	6
Aberdeen (NSW)	Year 8	111
Aberdeen (NSW)	Year 9	203
Aberdeen (NSW)	Year 10	609
Aberdeen (NSW)	Year 11	116
Aberdeen (NSW)	Year 12	405
Aberfoyle	Did not go to school	3
Aberfoyle	Year 8	4
Aberfoyle	Year 10	26
Aberfoyle	Year 11	12
Aberfoyle	Year 12	32
Aberglasslyn	Did not go to school	3
Aberglasslyn	Year 8	105
Aberglasslyn	Year 9	332
Aberglasslyn	Year 10	1393
Aberglasslyn	Year 11	371
Aberglasslyn	Year 12	1571
Abermain	Did not go to school	3
Abermain	Year 8	130
Abermain	Year 9	261
Abermain	Year 10	751
Abermain	Year 11	150
Abermain	Year 12	429
Abernethy	Year 8	13
Abernethy	Year 9	17
Abernethy	Year 10	85
Abernethy	Year 11	20
Abernethy	Year 12	55
Abington (NSW)	Year 10	4
Abington (NSW)	Year 12	5
Acacia Creek	Year 9	3
Acacia Creek	Year 10	10
Acacia Creek	Year 12	14
Acacia Gardens	Did not go to school	20
Acacia Gardens	Year 8	64
Acacia Gardens	Year 9	111
Acacia Gardens	Year 10	457
Acacia Gardens	Year 11	168
Acacia Gardens	Year 12	1980
Adaminaby	Year 8	21
Adaminaby	Year 9	37
Adaminaby	Year 10	70
Adaminaby	Year 11	21
Adaminaby	Year 12	96
Adamstown	Did not go to school	20
Adamstown	Year 8	194
Adamstown	Year 9	343
Adamstown	Year 10	1239
Adamstown	Year 11	309
Adamstown	Year 12	2597
Adamstown Heights	Did not go to school	19
Adamstown Heights	Year 8	137
Adamstown Heights	Year 9	281
Adamstown Heights	Year 10	1015
Adamstown Heights	Year 11	234
Adamstown Heights	Year 12	2347
Adelong	Did not go to school	3
Adelong	Year 8	52
Adelong	Year 9	85
Adelong	Year 10	267
Adelong	Year 11	75
Adelong	Year 12	211
Adjungbilly	Year 8	3
Adjungbilly	Year 10	15
Adjungbilly	Year 11	3
Adjungbilly	Year 12	22
Afterlee	Year 8	3
Afterlee	Year 9	3
Afterlee	Year 10	15
Afterlee	Year 11	3
Afterlee	Year 12	12
Agnes Banks	Year 8	34
Agnes Banks	Year 9	65
Agnes Banks	Year 10	239
Agnes Banks	Year 11	61
Agnes Banks	Year 12	247
Airds	Did not go to school	33
Airds	Year 8	235
Airds	Year 9	257
Airds	Year 10	581
Airds	Year 11	186
Airds	Year 12	545
Akolele	Year 8	11
Akolele	Year 9	19
Akolele	Year 10	18
Akolele	Year 11	10
Akolele	Year 12	33
Albert	Year 8	3
Albert	Year 10	18
Albert	Year 12	19
Albion Park	Did not go to school	45
Albion Park	Year 8	453
Albion Park	Year 9	887
Albion Park	Year 10	3764
Albion Park	Year 11	878
Albion Park	Year 12	3688
Albion Park Rail	Did not go to school	33
Albion Park Rail	Year 8	306
Albion Park Rail	Year 9	627
Albion Park Rail	Year 10	2034
Albion Park Rail	Year 11	437
Albion Park Rail	Year 12	1624
Albury	Did not go to school	17
Albury	Year 8	143
Albury	Year 9	187
Albury	Year 10	685
Albury	Year 11	402
Albury	Year 12	2152
Aldavilla	Year 8	35
Aldavilla	Year 9	66
Aldavilla	Year 10	223
Aldavilla	Year 11	31
Aldavilla	Year 12	170
Alectown	Year 8	8
Alectown	Year 9	14
Alectown	Year 10	39
Alectown	Year 11	9
Alectown	Year 12	61
Alexandria	Did not go to school	35
Alexandria	Year 8	79
Alexandria	Year 9	83
Alexandria	Year 10	515
Alexandria	Year 11	241
Alexandria	Year 12	5792
Alfords Point	Did not go to school	27
Alfords Point	Year 8	84
Alfords Point	Year 9	118
Alfords Point	Year 10	561
Alfords Point	Year 11	133
Alfords Point	Year 12	1585
Alfredtown	Year 9	6
Alfredtown	Year 10	23
Alfredtown	Year 11	5
Alfredtown	Year 12	27
Alice	Year 10	8
Alison (Central Coast - NSW)	Year 9	9
Alison (Central Coast - NSW)	Year 10	31
Alison (Central Coast - NSW)	Year 12	19
Alison (Dungog - NSW)	Year 9	5
Alison (Dungog - NSW)	Year 10	17
Alison (Dungog - NSW)	Year 11	3
Alison (Dungog - NSW)	Year 12	29
Allambie Heights	Did not go to school	36
Allambie Heights	Year 8	148
Allambie Heights	Year 9	264
Allambie Heights	Year 10	1072
Allambie Heights	Year 11	305
Allambie Heights	Year 12	3293
Allandale (NSW)	Year 8	3
Allandale (NSW)	Year 9	8
Allandale (NSW)	Year 10	22
Allandale (NSW)	Year 12	16
Allawah	Did not go to school	77
Allawah	Year 8	155
Allawah	Year 9	165
Allawah	Year 10	508
Allawah	Year 11	191
Allawah	Year 12	3507
Alleena	Year 8	3
Alleena	Year 9	3
Alleena	Year 10	6
Alleena	Year 11	3
Alleena	Year 12	21
Allgomera	Did not go to school	3
Allgomera	Year 8	3
Allgomera	Year 9	7
Allgomera	Year 10	49
Allgomera	Year 11	10
Allgomera	Year 12	24
Allworth	Year 8	12
Allworth	Year 9	16
Allworth	Year 10	58
Allworth	Year 11	7
Allworth	Year 12	27
Allynbrook	Year 9	12
Allynbrook	Year 10	18
Allynbrook	Year 11	3
Allynbrook	Year 12	22
Alma Park	Year 8	3
Alma Park	Year 9	4
Alma Park	Year 10	12
Alma Park	Year 11	4
Alma Park	Year 12	16
Alpine	Year 8	3
Alpine	Year 9	8
Alpine	Year 10	20
Alpine	Year 11	8
Alpine	Year 12	59
Alstonvale	Year 8	13
Alstonvale	Year 9	27
Alstonvale	Year 10	96
Alstonvale	Year 11	31
Alstonvale	Year 12	185
Alstonville	Did not go to school	12
Alstonville	Year 8	318
Alstonville	Year 9	417
Alstonville	Year 10	1432
Alstonville	Year 11	304
Alstonville	Year 12	1898
Alumy Creek	Year 8	3
Alumy Creek	Year 9	10
Alumy Creek	Year 10	34
Alumy Creek	Year 12	16
Amaroo (NSW)	Year 10	3
Amaroo (NSW)	Year 12	24
Ambarvale	Did not go to school	43
Ambarvale	Year 8	284
Ambarvale	Year 9	487
Ambarvale	Year 10	1609
Ambarvale	Year 11	414
Ambarvale	Year 12	2291
Amosfield	Year 10	8
Amosfield	Year 11	3
Amosfield	Year 12	9
Anabranch North	Year 12	3
Anabranch South	Year 9	3
Anabranch South	Year 10	12
Anabranch South	Year 11	6
Anabranch South	Year 12	12
Anambah	Year 10	7
Anambah	Year 12	6
Ando	Year 8	4
Ando	Year 9	8
Ando	Year 10	24
Ando	Year 11	3
Ando	Year 12	23
Anembo	Year 9	3
Anembo	Year 10	11
Anembo	Year 11	3
Anembo	Year 12	22
Angledale	Year 8	4
Angledale	Year 9	18
Angledale	Year 10	51
Angledale	Year 11	9
Angledale	Year 12	38
Angledool	Year 9	6
Angledool	Year 10	12
Angledool	Year 11	6
Angledool	Year 12	13
Anglers Reach	Year 8	3
Anglers Reach	Year 9	10
Anglers Reach	Year 10	16
Anglers Reach	Year 11	7
Anglers Reach	Year 12	27
Angourie	Year 8	9
Angourie	Year 9	12
Angourie	Year 10	33
Angourie	Year 11	11
Angourie	Year 12	107
Anna Bay	Did not go to school	6
Anna Bay	Year 8	138
Anna Bay	Year 9	336
Anna Bay	Year 10	1062
Anna Bay	Year 11	285
Anna Bay	Year 12	982
Annandale (NSW)	Did not go to school	21
Annandale (NSW)	Year 8	140
Annandale (NSW)	Year 9	190
Annandale (NSW)	Year 10	717
Annandale (NSW)	Year 11	255
Annandale (NSW)	Year 12	5882
Annangrove	Did not go to school	4
Annangrove	Year 8	29
Annangrove	Year 9	92
Annangrove	Year 10	335
Annangrove	Year 11	79
Annangrove	Year 12	564
Appin (NSW)	Did not go to school	4
Appin (NSW)	Year 8	57
Appin (NSW)	Year 9	168
Appin (NSW)	Year 10	721
