SSC_NAME16	SameAddress1YearAgo	SameAddress5YearsAgo	Sex	persons
Aarons Pass	0	1	F	7
Aarons Pass	0	1	M	9
Aarons Pass	1	0	F	6
Aarons Pass	1	0	M	12
Abbotsbury	0	1	F	1532
Abbotsbury	0	1	M	1466
Abbotsbury	1	0	F	1890
Abbotsbury	1	0	M	1806
Abbotsford (NSW)	0	1	F	1479
Abbotsford (NSW)	0	1	M	1314
Abbotsford (NSW)	1	0	F	2175
Abbotsford (NSW)	1	0	M	1970
Abercrombie	0	1	F	298
Abercrombie	0	1	M	277
Abercrombie	1	0	F	442
Abercrombie	1	0	M	415
Abercrombie River	0	1	F	5
Abercrombie River	0	1	M	9
Abercrombie River	1	0	F	12
Abercrombie River	1	0	M	9
Aberdare	0	1	F	600
Aberdare	0	1	M	618
Aberdare	1	0	F	950
Aberdare	1	0	M	939
Aberdeen (NSW)	0	1	F	575
Aberdeen (NSW)	0	1	M	589
Aberdeen (NSW)	1	0	F	815
Aberdeen (NSW)	1	0	M	830
Aberfoyle	0	1	F	24
Aberfoyle	0	1	M	31
Aberfoyle	1	0	F	32
Aberfoyle	1	0	M	37
Aberglasslyn	0	1	F	943
Aberglasslyn	0	1	M	901
Aberglasslyn	1	0	F	2043
Aberglasslyn	1	0	M	1931
Abermain	0	1	F	687
Abermain	0	1	M	692
Abermain	1	0	F	960
Abermain	1	0	M	952
Abernethy	0	1	F	77
Abernethy	0	1	M	95
Abernethy	1	0	F	115
Abernethy	1	0	M	126
Abington (NSW)	0	1	F	6
Abington (NSW)	0	1	M	7
Abington (NSW)	1	0	F	6
Abington (NSW)	1	0	M	7
Acacia Creek	0	1	F	12
Acacia Creek	0	1	M	16
Acacia Creek	1	0	F	12
Acacia Creek	1	0	M	11
Acacia Gardens	0	1	F	1101
Acacia Gardens	0	1	M	1083
Acacia Gardens	1	0	F	1617
Acacia Gardens	1	0	M	1578
Adaminaby	0	1	F	100
Adaminaby	0	1	M	98
Adaminaby	1	0	F	125
Adaminaby	1	0	M	137
Adamstown	0	1	F	1602
Adamstown	0	1	M	1460
Adamstown	1	0	F	2357
Adamstown	1	0	M	2189
Adamstown Heights	0	1	F	1672
Adamstown Heights	0	1	M	1619
Adamstown Heights	1	0	F	2248
Adamstown Heights	1	0	M	2243
Adelong	0	1	F	309
Adelong	0	1	M	308
Adelong	1	0	F	392
Adelong	1	0	M	404
Adjungbilly	0	1	F	31
Adjungbilly	0	1	M	30
Adjungbilly	1	0	F	33
Adjungbilly	1	0	M	40
Afterlee	0	1	F	14
Afterlee	0	1	M	15
Afterlee	1	0	F	19
Afterlee	1	0	M	21
Agnes Banks	0	1	F	251
Agnes Banks	0	1	M	279
Agnes Banks	1	0	F	359
Agnes Banks	1	0	M	393
Airds	0	1	F	969
Airds	0	1	M	780
Airds	1	0	F	1208
Airds	1	0	M	988
Akolele	0	1	F	43
Akolele	0	1	M	42
Akolele	1	0	F	62
Akolele	1	0	M	56
Albert	0	1	F	25
Albert	0	1	M	24
Albert	1	0	F	30
Albert	1	0	M	33
Albion Park	0	1	F	4023
Albion Park	0	1	M	3845
Albion Park	1	0	F	5702
Albion Park	1	0	M	5290
Albion Park Rail	0	1	F	2014
Albion Park Rail	0	1	M	1931
