SSC_NAME16	Sex	persons
Aarons Pass	F	12
Aarons Pass	M	12
Abbotsbury	F	2177
Abbotsbury	M	2076
Abbotsford (NSW)	F	2838
Abbotsford (NSW)	M	2542
Abercrombie	F	579
Abercrombie	M	535
Abercrombie River	F	7
Abercrombie River	M	13
Aberdare	F	1262
Aberdare	M	1205
Aberdeen (NSW)	F	1036
Aberdeen (NSW)	M	1048
Aberfoyle	F	46
Aberfoyle	M	56
Aberglasslyn	F	2781
Aberglasslyn	M	2624
Abermain	F	1177
Abermain	M	1162
Abernethy	F	168
Abernethy	M	184
Abington (NSW)	F	3
Abington (NSW)	M	5
Acacia Creek	F	22
Acacia Creek	M	17
Acacia Gardens	F	1899
Acacia Gardens	M	1898
Adaminaby	F	142
Adaminaby	M	159
Adamstown	F	3130
Adamstown	M	2918
Adamstown Heights	F	2642
Adamstown Heights	M	2656
Adelong	F	467
Adelong	M	475
Adjungbilly	F	44
Adjungbilly	M	41
Afterlee	F	22
Afterlee	M	29
Agnes Banks	F	440
Agnes Banks	M	472
Airds	F	1591
Airds	M	1333
Akolele	F	86
Akolele	M	85
Albert	F	43
Albert	M	42
Albion Park	F	6893
Albion Park	M	6426
Albion Park Rail	F	3540
Albion Park Rail	M	3372
Albury	F	2470
Albury	M	2335
Aldavilla	F	392
Aldavilla	M	840
Alectown	F	82
Alectown	M	84
Alexandria	F	4054
Alexandria	M	4214
Alfords Point	F	1585
Alfords Point	M	1524
Alfredtown	F	53
Alfredtown	M	58
Alice	F	3
Alice	M	3
Alison (Central Coast - NSW)	F	45
Alison (Central Coast - NSW)	M	44
Alison (Dungog - NSW)	F	34
Alison (Dungog - NSW)	M	43
Allambie Heights	F	3605
Allambie Heights	M	3404
Allandale (NSW)	F	36
Allandale (NSW)	M	39
Allawah	F	2852
Allawah	M	2857
Alleena	F	31
Alleena	M	27
Allgomera	F	72
Allgomera	M	59
Allworth	F	71
Allworth	M	94
Allynbrook	F	31
Allynbrook	M	34
Alma Park	F	28
Alma Park	M	26
Alpine	F	70
Alpine	M	64
Alstonvale	F	230
Alstonvale	M	214
Alstonville	F	3122
Alstonville	M	2613
Alumy Creek	F	48
Alumy Creek	M	44
Amaroo (NSW)	F	26
Amaroo (NSW)	M	21
Ambarvale	F	3782
Ambarvale	M	3598
Amosfield	F	13
Amosfield	M	17
Anabranch North	F	3
Anabranch North	M	3
Anabranch South	F	14
Anabranch South	M	23
Anambah	F	15
Anambah	M	14
Ando	F	31
Ando	M	40
Anembo	F	27
Anembo	M	37
Angledale	F	74
Angledale	M	81
Angledool	F	28
Angledool	M	32
Anglers Reach	F	45
Anglers Reach	M	46
Angourie	F	118
Angourie	M	102
Anna Bay	F	1983
Anna Bay	M	1857
Annandale (NSW)	F	4911
Annandale (NSW)	M	4543
Annangrove	F	669
Annangrove	M	724
Appin (NSW)	F	1285
Appin (NSW)	M	1345
Apple Tree Flat	F	24
Apple Tree Flat	M	19
Appleby	F	15
Appleby	M	19
Appletree Flat	F	8
Appletree Flat	M	11
Apsley (NSW)	F	53
Apsley (NSW)	M	52
Arable	F	4
Arable	M	9
Arakoon	F	197
Arakoon	M	220
Araluen (NSW)	F	77
Araluen (NSW)	M	90
Aratula (NSW)	F	5
Arcadia (NSW)	F	685
