SSC_NAME16	Sex	persons
Arcadia (NSW)	M	698
Arcadia Vale	F	679
Arcadia Vale	M	700
Ardglen	F	32
Ardglen	M	32
Arding	F	94
Arding	M	113
Ardlethan	F	254
Ardlethan	M	261
Argalong	F	19
Argalong	M	11
Argenton	F	671
Argenton	M	679
Argents Hill	F	97
Argents Hill	M	126
Argoon (NSW)	F	9
Argoon (NSW)	M	10
Ariah Park	F	242
Ariah Park	M	248
Arkell	F	20
Arkell	M	27
Arkstone	F	10
Arkstone	M	13
Armatree	F	77
Armatree	M	76
Armidale	F	12209
Armidale	M	11142
Arncliffe	F	5283
Arncliffe	M	5307
Arndell Park	F	6
Arndell Park	M	28
Arrawarra	F	268
Arrawarra	M	253
Arrawarra Headland	F	276
Arrawarra Headland	M	279
Artarmon	F	4876
Artarmon	M	4654
Arthurville	F	19
Arthurville	M	18
Arumpo	F	18
Arumpo	M	15
Ashbury	F	1675
Ashbury	M	1654
Ashby (NSW)	F	166
Ashby (NSW)	M	159
Ashby Heights	F	116
Ashby Heights	M	115
Ashby Island	F	6
Ashby Island	M	10
Ashcroft	F	1827
Ashcroft	M	1753
Ashfield (NSW)	F	12067
Ashfield (NSW)	M	11773
Ashford (NSW)	F	331
Ashford (NSW)	M	322
Ashley	F	176
Ashley	M	191
Ashmont	F	2021
Ashmont	M	1810
Ashtonfield	F	2363
Ashtonfield	M	2288
Asquith	F	1759
Asquith	M	1621
Atholwood	F	45
Atholwood	M	35
Attunga	F	276
Attunga	M	296
Auburn (NSW)	F	16799
Auburn (NSW)	M	20570
Auburn Vale	F	63
Auburn Vale	M	62
Austinmer	F	1317
Austinmer	M	1241
Austral	F	1504
Austral	M	1523
Austral Eden	F	69
Austral Eden	M	79
Avalon Beach	F	5078
Avalon Beach	M	4830
Avisford	F	9
Avisford	M	16
Avoca (NSW)	F	103
Avoca (NSW)	M	98
Avoca Beach	F	2303
Avoca Beach	M	2284
Avondale (NSW)	F	844
Avondale (NSW)	M	809
Avonside	F	59
Avonside	M	56
Awaba	F	197
Awaba	M	202
Aylmerton	F	92
Aylmerton	M	93
Baan Baa	F	70
Baan Baa	M	91
Babinda (NSW)	M	3
Babyl Creek	F	3
Babyl Creek	M	9
Back Creek (Bland - NSW)	F	23
Back Creek (Bland - NSW)	M	28
Back Creek (Gwydir - NSW)	F	9
Back Creek (Gwydir - NSW)	M	9
Back Creek (Mid-Coast - NSW)	F	6
Back Creek (Mid-Coast - NSW)	M	13
Back Creek (Queanbeyan-Palerang Regional - NSW)	F	6
Back Creek (Queanbeyan-Palerang Regional - NSW)	M	3
Back Creek (Tenterfield - NSW)	F	3
Back Creek (Tenterfield - NSW)	M	8
Back Creek (Tweed - NSW)	F	5
Back Creek (Tweed - NSW)	M	9
Back Forest	F	41
Back Forest	M	39
Backmede	F	74
Backmede	M	74
Backwater	F	4
Backwater	M	8
Badgerys Creek	F	109
Badgerys Creek	M	111
Badja	M	4
Baerami	F	30
Baerami	M	34
Baerami Creek	F	19
Baerami Creek	M	27
Bagnoo	F	17
Bagnoo	M	27
Bago	F	22
Bago	M	20
Bagotville	F	22
Bagotville	M	28
Bakers Creek (Mid-Coast - NSW)	F	19
Bakers Creek (Mid-Coast - NSW)	M	22
Bakers Creek (Nambucca - NSW)	F	5
Bakers Creek (Nambucca - NSW)	M	7
Bakers Creek (Uralla - NSW)	F	4
Bakers Creek (Uralla - NSW)	M	8
Bakers Swamp	F	23
Bakers Swamp	M	25
Balaclava (NSW)	F	264
Balaclava (NSW)	M	233
Balala	F	74
Balala	M	71
Balcolyn	F	494
Balcolyn	M	470
Bald Blair	F	25
Bald Blair	M	23
Bald Hills (NSW)	F	134
Bald Hills (NSW)	M	128
Bald Nob	F	4
Bald Nob	M	9
Bald Ridge	F	5
Bald Ridge	M	4
Baldersleigh	F	25
Baldersleigh	M	27
Baldry	F	53
Baldry	M	42
Balfours Peak	F	15
Balfours Peak	M	23
Balgowlah	F	4133
Balgowlah	M	3827
Balgowlah Heights	F	1720
Balgowlah Heights	M	1625
Balgownie	F	2867
Balgownie	M	2658
Balickera	F	10
Balickera	M	9
Balladoran	F	48
Balladoran	M	57
Ballalaba	F	10
Ballalaba	M	12
Balldale	F	73
Balldale	M	82
Ballengarra	F	48
Ballengarra	M	41
Ballimore	F	97
Ballimore	M	104
Ballina	F	4698
Ballina	M	3956
Ballyroe	F	3
Ballyroe	M	6
Balmain	F	5433
Balmain	M	5019
Balmain East	F	986
Balmain East	M	952
Balmoral (Lake Macquarie - NSW)	F	355
Balmoral (Lake Macquarie - NSW)	M	371
Balmoral (Wingecarribee - NSW)	F	203
Balmoral (Wingecarribee - NSW)	M	220
Balranald	F	658
Balranald	M	690
Bamarang	F	12
Bamarang	M	11
Bandon Grove	F	56
Bandon Grove	M	57
Bangadang	F	9
Bangadang	M	4
Bangalee (NSW)	F	330
Bangalee (NSW)	M	323
Bangalow	F	1057
Bangalow	M	960
Bangheet	F	17
Bangheet	M	25
Bango	F	43
Bango	M	53
Bangor (NSW)	F	2804
Bangor (NSW)	M	2764
Banksia	F	1709
Banksia	M	1674
Banksmeadow	F	6
Banksmeadow	M	10
Bankstown	F	16283
Bankstown	M	15831
Bannaby	F	16
Bannaby	M	17
Bannister (NSW)	F	57
Bannister (NSW)	M	61
Banoon	F	9
Banoon	M	16
Banora Point	F	8628
Banora Point	M	7542
Banyabba	F	22
Banyabba	M	24
Bar Beach	F	576
Bar Beach	M	676
Bar Point	F	29
Bar Point	M	35
Bara	F	12
Bara	M	13
Baradine	F	374
Baradine	M	385
Barangaroo	F	80
Barangaroo	M	104
Barden Ridge	F	2196
Barden Ridge	M	2135
Bardia	F	795
Bardia	M	807
Bardwell Park	F	1135
Bardwell Park	M	1100
Bardwell Valley	F	1211
Bardwell Valley	M	1111
Barellan	F	246
Barellan	M	292
Bargo	F	2184
Bargo	M	2208
Barham	F	779
Barham	M	739
Barigan	F	3
Barigan	M	3
Barkers Vale	F	78
Barkers Vale	M	86
Barmedman	F	226
Barmedman	M	230
Barnsley	F	874
Barnsley	M	875
Barooga	F	891
Barooga	M	921
Barraba	F	726
Barraba	M	682
Barrack Heights	F	3034
Barrack Heights	M	2871
Barrack Point	F	340
Barrack Point	M	347
Barraganyatti	F	65
Barraganyatti	M	74
Barragga Bay	F	49
Barragga Bay	M	46
Barrengarry	F	87
Barrengarry	M	109
Barretts Creek	F	5
Barretts Creek	M	4
Barringella	F	15
Barringella	M	15
Barrington (NSW)	F	182
Barrington (NSW)	M	179
Barry (Blayney - NSW)	F	78
Barry (Blayney - NSW)	M	83
Barry (Upper Hunter Shire - NSW)	M	3
Barwang	F	38
Barwang	M	48
Barwon	F	18
Barwon	M	14
Baryulgil	F	46
Baryulgil	M	46
Basin View	F	811
Basin View	M	741
Bass Hill	F	4603
Bass Hill	M	4469
Batar Creek	F	41
Batar Creek	M	36
Bateau Bay	F	6453
Bateau Bay	M	5693
Batehaven	F	953
Batehaven	M	823
Batemans Bay	F	768
Batemans Bay	M	759
Bathampton	F	16
Bathampton	M	15
Bathurst	F	3517
Bathurst	M	3409
Batlow	F	646
Batlow	M	666
Baulkham Hills	F	18917
Baulkham Hills	M	18139
Baw Baw (NSW)	F	124
Baw Baw (NSW)	M	135
Bawley Point	F	354
Bawley Point	M	342
Bayview (NSW)	F	1957
Bayview (NSW)	M	1659
Beacon Hill	F	3731
Beacon Hill	M	3733
Beaconsfield (NSW)	F	473
Beaconsfield (NSW)	M	516
Bean Creek	F	34
Bean Creek	M	38
Bearbong	F	29
Bearbong	M	33
Beaumont (NSW)	F	64
Beaumont (NSW)	M	62
Beaumont Hills	F	4546
Beaumont Hills	M	4494
Beckom	F	53
Beckom	M	71
Bective	F	99
Bective	M	105
Bectric	F	34
Bectric	M	27
Bedgerabong	F	65
Bedgerabong	M	85
Beechwood	F	317
Beechwood	M	292
Beecroft	F	4942
Beecroft	M	4451
Beelbangera	F	204
Beelbangera	M	206
Beemunnel	F	7
Beemunnel	M	9
Bega	F	2419
Bega	M	2245
Beggan Beggan	F	59
Beggan Beggan	M	45
Belanglo	F	13
Belanglo	M	10
Belbora	F	62
Belbora	M	61
Belfield	F	3262
Belfield	M	3054
Belford	F	92
Belford	M	85
Belfrayden	F	18
Belfrayden	M	14
Belgravia	F	63
Belgravia	M	55
Belimbla Park	F	293
Belimbla Park	M	285
Bell (NSW)	F	21
Bell (NSW)	M	22
Bella Vista	F	3963
Bella Vista	M	3869
Bellambi	F	2039
Bellambi	M	1909
Bellangry	F	53
Bellangry	M	47
Bellata	F	167
Bellata	M	183
Bellawongarah	F	61
Bellawongarah	M	68
Bellbird	F	1039
Bellbird	M	993
Bellbird Heights	F	420
Bellbird Heights	M	364
Bellbrook	F	130
Bellbrook	M	140
Bellevue Hill	F	5496
Bellevue Hill	M	5222
Bellimbopinni	F	63
Bellimbopinni	M	63
Bellingen	F	2030
Bellingen	M	1750
Bellmount Forest	F	61
Bellmount Forest	M	56
Belltrees	F	11
Belltrees	M	17
Belmont (NSW)	F	3662
Belmont (NSW)	M	3453
Belmont North	F	3210
Belmont North	M	3128
Belmont South	F	544
Belmont South	M	512
Belmore	F	6386
Belmore	M	6337
Belmore River	F	137
Belmore River	M	136
Beloka	F	10
Beloka	M	11
Belowra	F	3
Belowra	M	3
Belrose	F	4554
Belrose	M	4225
Bemboka	F	285
Bemboka	M	292
Ben Bullen	F	48
Ben Bullen	M	58
Ben Lomond (NSW)	F	74
Ben Lomond (NSW)	M	77
Benandarah	F	68
Benandarah	M	94
Bendalong	F	38
Bendalong	M	51
Bendemeer	F	246
Bendemeer	M	248
Bendick Murrell	F	73
Bendick Murrell	M	83
Bendolba	F	109
Bendolba	M	101
Bendoura	F	35
Bendoura	M	32
Benerembah	F	68
Benerembah	M	66
Bengalla	F	8
Bengalla	M	9
Bennetts Green	F	7
Bennetts Green	M	9
Benolong	F	24
Benolong	M	23
Bensville	F	1279
Bensville	M	1267
Bentley (NSW)	F	99
Bentley (NSW)	M	99
Berala	F	4361
Berala	M	4689
Berambing	F	50
Berambing	M	54
Beresfield	F	1567
Beresfield	M	1616
Bergalia	F	85
Bergalia	M	88
Berkeley	F	3900
Berkeley	M	3706
Berkeley Vale	F	4341
Berkeley Vale	M	4008
Berkshire Park	F	796
Berkshire Park	M	1337
Bermagui	F	788
Bermagui	M	744
Berowra	F	2365
Berowra	M	2353
Berowra Creek	F	8
Berowra Creek	M	8
Berowra Heights	F	2666
Berowra Heights	M	2593
Berowra Waters	F	60
Berowra Waters	M	62
Berrambool	F	231
Berrambool	M	224
Berrara	F	153
Berrara	M	144
Berremangra	F	38
Berremangra	M	38
Berrico	F	16
Berrico	M	16
Berridale	F	574
Berridale	M	621
Berrigal	F	17
Berrigal	M	14
Berrigan	F	629
Berrigan	M	632
Berrilee	F	111
Berrilee	M	121
Berrima	F	347
Berrima	M	327
Berringer Lake	F	10
Berringer Lake	M	14
Berry	F	1452
Berry	M	1212
Berry Jerry	F	43
Berry Jerry	M	37
Berry Mountain	F	13
Berry Mountain	M	14
Berry Park	F	63
Berry Park	M	63
Berthong	F	15
Berthong	M	30
Beryl	F	60
Beryl	M	65
Bethungra	F	78
Bethungra	M	85
Bevendale	F	24
Bevendale	M	20
Beverley Park	F	1197
Beverley Park	M	1202
Beverly Hills	F	5257
Beverly Hills	M	4892
Bewong	F	45
Bewong	M	41
Bexhill	F	253
Bexhill	M	240
Bexley	F	10099
Bexley	M	9632
Bexley North	F	2104
Bexley North	M	1994
Biala	F	28
Biala	M	32
Bibbenluke	F	44
Bibbenluke	M	46
Biddon	F	38
Biddon	M	61
Bidgeemia	F	14
Bidgeemia	M	18
Bidwill (NSW)	F	2287
Bidwill (NSW)	M	1996
Bielsdown Hills	F	55
Bielsdown Hills	M	43
Big Hill (NSW)	F	20
Big Hill (NSW)	M	27
Big Jacks Creek	F	25
Big Jacks Creek	M	33
Big Ridge	F	5
Big Ridge	M	5
Big Springs	F	67
Big Springs	M	52
Bigga	F	114
Bigga	M	132
Bilambil	F	198
Bilambil	M	212
Bilambil Heights	F	1707
Bilambil Heights	M	1655
Bilbul	F	266
Bilbul	M	292
Bilgola Beach	F	128
Bilgola Beach	M	120
Bilgola Plateau	F	1768
Bilgola Plateau	M	1751
Billeroy	F	15
Billeroy	M	26
Billilingra	F	5
Billilingra	M	8
Billimari	F	80
Billimari	M	76
Billinudgel	F	103
Billinudgel	M	111
Billys Creek	F	27
Billys Creek	M	32
Billywillinga	F	99
Billywillinga	M	95
Bilpin	F	342
Bilpin	M	324
Bimbi	F	60
Bimbi	M	62
Bimbimbie	F	56
Bimbimbie	M	62
Binalong	F	264
Binalong	M	281
Binda	F	128
Binda	M	151
Bindera	F	12
Bindera	M	13
Bingara	F	747
Bingara	M	680
Bingeebeebra Creek	F	16
Bingeebeebra Creek	M	20
Bingie	F	100
Bingie	M	104
Bingleburra	F	13
Bingleburra	M	10
Biniguy	F	71
Biniguy	M	77
Binjura	F	169
Binjura	M	155
Binna Burra (NSW)	F	103
Binna Burra (NSW)	M	118
Binnaway	F	287
Binnaway	M	323
Binya	F	61
Binya	M	76
Birchgrove	F	1756
Birchgrove	M	1548
Birdwood (NSW)	F	17
Birdwood (NSW)	M	21
Birganbigil	F	28
Birganbigil	M	29
Birmingham Gardens	F	1114
Birmingham Gardens	M	1261
Birriwa	F	22
Birriwa	M	26
Birrong	F	1583
Birrong	M	1526
Bishops Bridge	F	120
Bishops Bridge	M	120
Bithramere	F	87
Bithramere	M	85
Black Creek (Port Macquarie-Hastings - NSW)	F	23
Black Creek (Port Macquarie-Hastings - NSW)	M	24
Black Creek (Snowy Valleys - NSW)	F	6
Black Creek (Snowy Valleys - NSW)	M	7
Black Head	F	466
Black Head	M	386
Black Hill (NSW)	F	289
Black Hill (NSW)	M	279
Black Hollow	F	9
Black Hollow	M	14
Black Mountain (NSW)	F	144
Black Mountain (NSW)	M	164
Black Range (NSW)	F	105
Black Range (NSW)	M	96
Black Springs (NSW)	F	108
Black Springs (NSW)	M	111
Blackalls Park	F	1430
Blackalls Park	M	1325
Blackbutt (NSW)	F	1732
Blackbutt (NSW)	M	1570
Blackett	F	1789
Blackett	M	1657
Blackheath	F	2291
Blackheath	M	2107
Blackmans Flat	F	18
Blackmans Flat	M	10
Blackmans Point	F	80
Blackmans Point	M	87
Blacksmiths	F	911
Blacksmiths	M	936
Blacktown	F	23411
Blacktown	M	23761
Blackville	F	54
Blackville	M	58
Blackwall (NSW)	F	989
Blackwall (NSW)	M	905
Blair Athol (NSW)	F	1433
Blair Athol (NSW)	M	1444
Blairmount	F	206
Blairmount	M	217
Blakebrook	F	75
Blakebrook	M	71
Blakehurst	F	3179
Blakehurst	M	3046
Blakney Creek	F	34
Blakney Creek	M	33
Bland	F	20
Bland	M	24
Blandford	F	86
Blandford	M	90
Blaxland (NSW)	F	3843
Blaxland (NSW)	M	3606
Blaxlands Creek	F	58
Blaxlands Creek	M	62
Blaxlands Ridge	F	244
Blaxlands Ridge	M	259
Blayney	F	1697
Blayney	M	1676
Bligh Park	F	3287
Bligh Park	M	3075
Blighty	F	68
Blighty	M	78
Blue Bay	F	541
Blue Bay	M	486
Blue Haven	F	3321
Blue Haven	M	3058
Blue Knob	F	105
Blue Knob	M	122
Blue Nobby	F	15
Blue Nobby	M	14
Blue Vale	F	31
Blue Vale	M	33
Blueys Beach	F	87
Blueys Beach	M	100
Boambee	F	810
Boambee	M	854
Boambee East	F	2718
Boambee East	M	2527
Boambolo	F	30
Boambolo	M	23
Boat Harbour (Lismore - NSW)	F	76
Boat Harbour (Lismore - NSW)	M	66
Boat Harbour (Port Stephens - NSW)	F	486
Boat Harbour (Port Stephens - NSW)	M	478
Bobadah	F	3
Bobadah	M	6
Bobin	F	73
Bobin	M	77
Bobs Creek	F	41
Bobs Creek	M	43
Bobs Farm	F	215
Bobs Farm	M	233
Bobundara	F	6
Bobundara	M	6
Bocoble	F	69
Bocoble	M	84
Bocobra	F	16
Bocobra	M	36
Bodalla	F	361
Bodalla	M	373
Bodangora	F	34
Bodangora	M	48
Boeill Creek	F	51
Boeill Creek	M	50
Bogan	F	8
Bogan	M	7
Bogan Gate	F	125
Bogan Gate	M	167
Bogangar	F	1535
Bogangar	M	1531
Bogee	F	37
Bogee	M	40
Boggabilla	F	501
Boggabilla	M	487
Boggabri	F	557
Boggabri	M	569
Bohena Creek	F	83
Bohena Creek	M	85
Bohnock	F	34
Bohnock	M	34
Bolaro	F	21
Bolaro	M	21
Bolivia	F	32
Bolivia	M	35
Bolong	F	53
Bolong	M	53
Bolton Point	F	1115
Bolton Point	M	1010
Bolwarra (NSW)	F	501
Bolwarra (NSW)	M	486
Bolwarra Heights	F	1493
Bolwarra Heights	M	1481
Bom Bom	M	3
Bomaderry	F	3404
Bomaderry	M	3255
Bombah Point	F	8
Bombah Point	M	10
Bombala	F	685
Bombala	M	697
Bombay	F	58
Bombay	M	64
Bombira	F	171
Bombira	M	176
Bombo	F	52
Bombo	M	55
Bombowlee	F	132
Bombowlee	M	159
Bombowlee Creek	F	27
Bombowlee Creek	M	24
Bomen	F	8
Bomen	M	20
Bomera	F	16
Bomera	M	19
Bonalbo	F	184
Bonalbo	M	191
Bondi	F	5096
Bondi	M	4958
Bondi Beach	F	5824
Bondi Beach	M	5831
Bondi Junction	F	4907
Bondi Junction	M	4530
Bonnells Bay	F	1822
Bonnells Bay	M	1758
Bonnet Bay	F	1124
Bonnet Bay	M	1141
Bonny Hills	F	1514
Bonny Hills	M	1461
Bonnyrigg	F	4491
Bonnyrigg	M	4174
Bonnyrigg Heights	F	3678
Bonnyrigg Heights	M	3623
Bonshaw (NSW)	F	65
Bonshaw (NSW)	M	67
Bonville	F	1262
Bonville	M	1291
Booerie Creek	F	84
Booerie Creek	M	82
Book Book	F	44
Book Book	M	52
Booker Bay	F	676
Booker Bay	M	646
Bookham	F	77
Bookham	M	83
Bookookoorara	F	13
Bookookoorara	M	18
Boolambayte	F	45
Boolambayte	M	44
Boolaroo	F	524
Boolaroo	M	514
Boolcarroll	F	3
Boolcarroll	M	6
Booligal	F	43
Booligal	M	55
Boomanoomana	F	38
Boomanoomana	M	56
Boomerang Beach	F	135
Boomerang Beach	M	158
Boomey	F	28
Boomey	M	44
Boomi	F	94
Boomi	M	110
Boomi Creek	F	10
Boomi Creek	M	11
Boona Mount	F	12
Boona Mount	M	12
Boonal	F	18
Boonal	M	29
Boonoo Boonoo	F	6
Boonoo Boonoo	M	13
Boorabee Park	F	45
Boorabee Park	M	59
Booragul	F	694
Booragul	M	586
Booral (NSW)	F	199
Booral (NSW)	M	202
Boorga	F	4
Boorga	M	10
Boorganna	F	11
Boorganna	M	17
Boorolong	F	44
Boorolong	M	45
Boorook	F	16
Boorook	M	14
Boorooma	F	447
Boorooma	M	417
Booroorban	F	11
Booroorban	M	25
Boorowa	F	807
Boorowa	M	834
Bootawa	F	88
Bootawa	M	84
Booyong	F	31
Booyong	M	48
Bora Ridge	F	58
Bora Ridge	M	62
Borah Creek	F	19
Borah Creek	M	14
Borambola	F	51
Borambola	M	62
Boree	F	47
Boree	M	47
Boree Creek	F	101
Boree Creek	M	99
Borenore	F	214
Borenore	M	247
Boro	F	40
Boro	M	49
Bossley Park	F	7361
Bossley Park	M	7220
Bostobrick	F	65
Bostobrick	M	75
Botany	F	5414
Botany	M	5408
Botobolar	F	39
Botobolar	M	48
Bottle Creek	F	11
Bottle Creek	M	13
Bouddi	F	3
Bouddi	M	4
Bourbah	F	25
Bourbah	M	18
Bourke	F	992
Bourke	M	925
Bourkelands	F	1481
Bourkelands	M	1371
Bournda	F	70
Bournda	M	82
Bournewood	F	23
Bournewood	M	23
Bow Bowing	F	803
Bow Bowing	M	805
Bowan Park	F	64
Bowan Park	M	54
Bowen Mountain	F	784
Bowen Mountain	M	793
Bowenfels	F	1062
Bowenfels	M	988
Bowling Alley Point	F	11
Bowling Alley Point	M	14
Bowman	F	73
Bowman	M	73
Bowman Farm	F	22
Bowman Farm	M	22
Bowmans Creek	F	3
Bowmans Creek	M	5
Bowna	F	55
Bowna	M	56
Bowning	F	279
Bowning	M	288
Bowral	F	5573
Bowral	M	4765
Bowraville	F	557
Bowraville	M	564
Box Hill (NSW)	F	442
Box Hill (NSW)	M	460
Box Ridge	F	22
Box Ridge	M	25
Boxers Creek	F	108
Boxers Creek	M	119
Boydtown	F	35
Boydtown	M	41
Bradbury (NSW)	F	4495
Bradbury (NSW)	M	4308
Braefield	F	30
Braefield	M	37
Braemar	F	220
Braemar	M	224
Braemar Bay	F	6
Braemar Bay	M	12
Braidwood	F	863
Braidwood	M	792
Brandy Hill	F	345
Brandy Hill	M	326
Branxton	F	1003
Branxton	M	986
Braunstone	F	142
Braunstone	M	149
Brawboy	F	12
Brawboy	M	9
Bray Park (NSW)	F	432
Bray Park (NSW)	M	362
Brays Creek	F	41
Brays Creek	M	32
Brayton	F	84
Brayton	M	94
Breadalbane (NSW)	F	50
Breadalbane (NSW)	M	49
Breakfast Creek	F	21
Breakfast Creek	M	27
Breakfast Point	F	2240
Breakfast Point	M	1947
Bream Beach	F	4
Bream Beach	M	7
Bredbo	F	174
Bredbo	M	175
Breelong	F	30
Breelong	M	35
Breeza	F	69
Breeza	M	79
Bretti	F	12
Bretti	M	12
Brewarrina	F	548
Brewarrina	M	594
Brewongle	F	57
Brewongle	M	62
Briarbrook	F	4
Briarbrook	M	6
Bribbaree	F	64
Bribbaree	M	75
Bridgman	F	96
Bridgman	M	105
Brierfield	F	161
Brierfield	M	169
Brighton-le-Sands	F	4286
Brighton-le-Sands	M	4040
Brightwaters	F	455
Brightwaters	M	446
Brimbin	F	28
Brimbin	M	27
Brindabella	F	13
Brindabella	M	10
Bringelly	F	1215
Bringelly	M	1289
Bringenbrong	F	25
Bringenbrong	M	27
Brisbane Grove	F	67
Brisbane Grove	M	65
Broadmeadow	F	798
Broadmeadow	M	801
Broadwater (Bega Valley - NSW)	F	61
Broadwater (Bega Valley - NSW)	M	61
Broadwater (Richmond Valley - NSW)	F	306
Broadwater (Richmond Valley - NSW)	M	339
Broadway	F	20
Broadway	M	21
Brobenah	F	6
Brobenah	M	12
Brocklehurst	F	172
Brocklehurst	M	190
Brocklesby	F	92
Brocklesby	M	94
Brockley	F	14
Brockley	M	22
Brodies Plains	F	33
Brodies Plains	M	28
Brogans Creek	F	3
Brogans Creek	M	5
Brogers Creek	F	18
Brogers Creek	M	17
Brogo	F	239
Brogo	M	264
Broke (NSW)	F	282
Broke (NSW)	M	300
Broken Head	F	139
Broken Head	M	137
Broken Hill	F	9137
Broken Hill	M	8676
Brombin	F	55
Brombin	M	57
Bronte	F	3397
Bronte	M	3333
Brookdale (NSW)	F	17
Brookdale (NSW)	M	12
Brookfield (NSW)	F	106
Brookfield (NSW)	M	99
Brooklana	F	20
Brooklana	M	27
Brooklet	F	121
Brooklet	M	136
Brooklyn (NSW)	F	343
Brooklyn (NSW)	M	381
Brookong	F	5
Brookong	M	5
Brookvale	F	1588
Brookvale	M	1571
Brooman	F	11
Brooman	M	11
Brooms Head	F	101
Brooms Head	M	109
Broughams Gate	F	7
Broughams Gate	M	10
Broughton (NSW)	F	47
Broughton (NSW)	M	46
Broughton Vale	F	79
Broughton Vale	M	78
Broughton Village	F	48
Broughton Village	M	43
Broulee	F	914
Broulee	M	803
Brownlow Hill	F	234
Brownlow Hill	M	187
Browns Creek	F	48
Browns Creek	M	50
Browns Mountain	F	9
Browns Mountain	M	8
Brownsville	F	244
Brownsville	M	288
Brucedale	F	87
Brucedale	M	86
Bruie Plains	F	21
Bruie Plains	M	27
Bruinbun	F	19
Bruinbun	M	30
Brundee	F	25
Brundee	M	26
Brungle	F	57
Brungle	M	58
Brungle Creek	F	12
Brungle Creek	M	19
Brunkerville	F	103
Brunkerville	M	103
Brunswick Heads	F	924
Brunswick Heads	M	821
Brushgrove	F	79
Brushgrove	M	113
Brushy Creek	F	14
Brushy Creek	M	13
Bucca (NSW)	F	260
Bucca (NSW)	M	291
Bucca Wauka	F	43
Bucca Wauka	M	40
Buccarumbi	F	10
Buccarumbi	M	14
Buchanan (NSW)	F	101
Buchanan (NSW)	M	95
Buckajo	F	140
Buckajo	M	157
Buckaroo	F	62
Buckaroo	M	68
Buckenbowra	F	12
Buckenbowra	M	7
Buckenderra	F	11
Buckenderra	M	13
Buckendoon	F	16
Buckendoon	M	18
Bucketty	F	89
Bucketty	M	94
Buckra Bendinni	F	39
Buckra Bendinni	M	58
