SSC_NAME16	Address5YearsAgo	Sex	persons
Aarons Pass	(Same Address)	F	7
Aarons Pass	(Same Address)	M	9
Aarons Pass	New South Wales	F	4
Aarons Pass	New South Wales	M	8
Abbotsbury	(Overseas)	F	37
Abbotsbury	(Overseas)	M	29
Abbotsbury	(Same Address)	F	1532
Abbotsbury	(Same Address)	M	1466
Abbotsbury	(Same SA2)	F	102
Abbotsbury	(Same SA2)	M	102
Abbotsbury	New South Wales	F	332
Abbotsbury	New South Wales	M	303
Abbotsbury	Queensland	F	3
Abbotsbury	Queensland	M	3
Abbotsbury	Victoria	F	10
Abbotsford (NSW)	(Overseas)	F	115
Abbotsford (NSW)	(Overseas)	M	95
Abbotsford (NSW)	(Same Address)	F	1479
Abbotsford (NSW)	(Same Address)	M	1314
Abbotsford (NSW)	(Same SA2)	F	220
Abbotsford (NSW)	(Same SA2)	M	172
Abbotsford (NSW)	New South Wales	F	645
Abbotsford (NSW)	New South Wales	M	570
Abbotsford (NSW)	Queensland	F	16
Abbotsford (NSW)	Queensland	M	15
Abbotsford (NSW)	South Australia	F	3
Abbotsford (NSW)	South Australia	M	3
Abbotsford (NSW)	Tasmania	F	3
Abbotsford (NSW)	Victoria	F	14
Abbotsford (NSW)	Victoria	M	11
Abbotsford (NSW)	Western Australia	F	3
Abbotsford (NSW)	Western Australia	M	4
Abercrombie	(Overseas)	F	4
Abercrombie	(Overseas)	M	11
Abercrombie	(Same Address)	F	298
Abercrombie	(Same Address)	M	277
Abercrombie	(Same SA2)	F	101
Abercrombie	(Same SA2)	M	84
Abercrombie	New South Wales	F	111
Abercrombie	New South Wales	M	93
Abercrombie	Queensland	F	4
Abercrombie	Queensland	M	6
Abercrombie River	(Same Address)	F	5
Abercrombie River	(Same Address)	M	9
Abercrombie River	New South Wales	M	3
Aberdare	(Overseas)	F	3
Aberdare	(Overseas)	M	5
Aberdare	(Same Address)	F	600
Aberdare	(Same Address)	M	618
Aberdare	(Same SA2)	F	194
Aberdare	(Same SA2)	M	172
Aberdare	Australian Capital Territory	F	3
Aberdare	New South Wales	F	237
Aberdare	New South Wales	M	214
Aberdare	Queensland	F	14
Aberdare	Queensland	M	7
Aberdare	South Australia	F	3
Aberdare	Tasmania	F	3
Aberdare	Tasmania	M	3
Aberdare	Victoria	F	3
Aberdare	Victoria	M	7
Aberdeen (NSW)	(Overseas)	F	6
Aberdeen (NSW)	(Overseas)	M	3
Aberdeen (NSW)	(Same Address)	F	575
Aberdeen (NSW)	(Same Address)	M	589
Aberdeen (NSW)	(Same SA2)	F	79
Aberdeen (NSW)	(Same SA2)	M	97
Aberdeen (NSW)	New South Wales	F	201
Aberdeen (NSW)	New South Wales	M	162
Aberdeen (NSW)	Queensland	F	12
Aberdeen (NSW)	Queensland	M	13
Aberdeen (NSW)	South Australia	F	3
Aberdeen (NSW)	Victoria	F	4
Aberdeen (NSW)	Victoria	M	3
Aberdeen (NSW)	Western Australia	M	4
Aberfoyle	(Same Address)	F	24
Aberfoyle	(Same Address)	M	31
Aberfoyle	(Same SA2)	F	7
Aberfoyle	(Same SA2)	M	6
Aberfoyle	New South Wales	F	9
