SSC_NAME16	Address5YearsAgo	Sex	persons
Aberfoyle	New South Wales	M	8
Aberfoyle	Queensland	F	3
Aberglasslyn	(Overseas)	F	50
Aberglasslyn	(Overseas)	M	42
Aberglasslyn	(Same Address)	F	943
Aberglasslyn	(Same Address)	M	901
Aberglasslyn	(Same SA2)	F	478
Aberglasslyn	(Same SA2)	M	418
Aberglasslyn	Australian Capital Territory	F	7
Aberglasslyn	Australian Capital Territory	M	4
Aberglasslyn	New South Wales	F	812
Aberglasslyn	New South Wales	M	794
Aberglasslyn	Northern Territory	F	9
Aberglasslyn	Northern Territory	M	7
Aberglasslyn	Queensland	F	65
Aberglasslyn	Queensland	M	53
Aberglasslyn	South Australia	F	10
Aberglasslyn	South Australia	M	9
Aberglasslyn	Tasmania	F	4
Aberglasslyn	Victoria	F	10
Aberglasslyn	Victoria	M	14
Aberglasslyn	Western Australia	F	6
Aberglasslyn	Western Australia	M	9
Abermain	(Overseas)	F	3
Abermain	(Overseas)	M	3
Abermain	(Same Address)	F	687
Abermain	(Same Address)	M	692
Abermain	(Same SA2)	F	123
Abermain	(Same SA2)	M	122
Abermain	New South Wales	F	189
Abermain	New South Wales	M	180
Abermain	Queensland	F	9
Abermain	Queensland	M	7
Abermain	Victoria	F	3
Abermain	Victoria	M	3
Abernethy	(Same Address)	F	77
Abernethy	(Same Address)	M	95
Abernethy	(Same SA2)	M	8
Abernethy	New South Wales	F	34
Abernethy	New South Wales	M	28
Abernethy	Queensland	F	3
Abington (NSW)	(Same Address)	F	6
Abington (NSW)	(Same Address)	M	7
Acacia Creek	(Overseas)	M	3
Acacia Creek	(Same Address)	F	12
Acacia Creek	(Same Address)	M	16
Acacia Creek	Queensland	M	3
Acacia Gardens	(Overseas)	F	109
Acacia Gardens	(Overseas)	M	103
Acacia Gardens	(Same Address)	F	1101
Acacia Gardens	(Same Address)	M	1083
Acacia Gardens	(Same SA2)	F	8
Acacia Gardens	(Same SA2)	M	16
Acacia Gardens	New South Wales	F	485
Acacia Gardens	New South Wales	M	449
Acacia Gardens	Queensland	F	3
Acacia Gardens	Queensland	M	8
Acacia Gardens	South Australia	F	8
Acacia Gardens	South Australia	M	4
Acacia Gardens	Victoria	F	4
Acacia Gardens	Victoria	M	9
Adaminaby	(Overseas)	M	3
Adaminaby	(Same Address)	F	100
Adaminaby	(Same Address)	M	98
Adaminaby	(Same SA2)	F	9
Adaminaby	(Same SA2)	M	5
Adaminaby	Australian Capital Territory	F	3
Adaminaby	Australian Capital Territory	M	3
Adaminaby	New South Wales	F	14
Adaminaby	New South Wales	M	20
Adaminaby	Queensland	M	4
Adamstown	(Overseas)	F	89
Adamstown	(Overseas)	M	89
Adamstown	(Same Address)	F	1602
Adamstown	(Same Address)	M	1460
Adamstown	(Same SA2)	F	144
Adamstown	(Same SA2)	M	130
Adamstown	Australian Capital Territory	F	11
Adamstown	Australian Capital Territory	M	17
Adamstown	New South Wales	F	880
Adamstown	New South Wales	M	811
Adamstown	Northern Territory	F	16
Adamstown	Northern Territory	M	13
Adamstown	Queensland	F	51
Adamstown	Queensland	M	29
Adamstown	South Australia	F	17
Adamstown	South Australia	M	16
Adamstown	Tasmania	M	3
Adamstown	Victoria	F	11
Adamstown	Victoria	M	16
Adamstown	Western Australia	F	15
Adamstown	Western Australia	M	6
Adamstown Heights	(Overseas)	F	54
Adamstown Heights	(Overseas)	M	51
Adamstown Heights	(Same Address)	F	1672
Adamstown Heights	(Same Address)	M	1619
Adamstown Heights	(Same SA2)	F	110
Adamstown Heights	(Same SA2)	M	125
Adamstown Heights	Australian Capital Territory	F	4
Adamstown Heights	New South Wales	F	528
Adamstown Heights	New South Wales	M	542
Adamstown Heights	Northern Territory	F	4
Adamstown Heights	Queensland	F	22
Adamstown Heights	Queensland	M	13
Adamstown Heights	South Australia	F	7
Adamstown Heights	South Australia	M	4
Adamstown Heights	Tasmania	F	3
Adamstown Heights	Tasmania	M	8
Adamstown Heights	Victoria	F	12
Adamstown Heights	Victoria	M	15
Adamstown Heights	Western Australia	F	13
Adamstown Heights	Western Australia	M	7
Adelong	(Overseas)	M	4
Adelong	(Same Address)	F	309
Adelong	(Same Address)	M	308
Adelong	(Same SA2)	F	42
Adelong	(Same SA2)	M	47
Adelong	New South Wales	F	47
Adelong	New South Wales	M	44
Adelong	Queensland	F	5
Adelong	Queensland	M	7
Adjungbilly	(Same Address)	F	31
Adjungbilly	(Same Address)	M	30
Adjungbilly	New South Wales	F	3
Adjungbilly	New South Wales	M	3
Adjungbilly	Victoria	F	3
Adjungbilly	Victoria	M	3
Afterlee	(Same Address)	F	14
Afterlee	(Same Address)	M	15
Afterlee	New South Wales	M	5
Afterlee	Queensland	M	5
Agnes Banks	(Overseas)	M	3
Agnes Banks	(Same Address)	F	251
Agnes Banks	(Same Address)	M	279
Agnes Banks	(Same SA2)	F	26
Agnes Banks	(Same SA2)	M	22
Agnes Banks	New South Wales	F	107
Agnes Banks	New South Wales	M	97
Agnes Banks	Queensland	F	3
Agnes Banks	Queensland	M	3
Agnes Banks	South Australia	F	5
Agnes Banks	Victoria	F	3
Agnes Banks	Victoria	M	3
Airds	(Overseas)	F	8
Airds	(Overseas)	M	9
Airds	(Same Address)	F	969
Airds	(Same Address)	M	780
Airds	(Same SA2)	F	70
Airds	(Same SA2)	M	66
Airds	New South Wales	F	224
Airds	New South Wales	M	165
Airds	Northern Territory	F	3
Airds	Queensland	F	6
Airds	Queensland	M	10
Airds	South Australia	F	3
Airds	South Australia	M	3
Airds	Tasmania	M	3
Airds	Victoria	M	3
Akolele	(Same Address)	F	43
Akolele	(Same Address)	M	42
Akolele	(Same SA2)	F	4
Akolele	(Same SA2)	M	4
Akolele	New South Wales	F	13
Akolele	New South Wales	M	4
Albert	(Same Address)	F	25
Albert	(Same Address)	M	24
Albert	New South Wales	F	7
Albert	New South Wales	M	5
Albion Park	(Overseas)	F	55
Albion Park	(Overseas)	M	60
Albion Park	(Same Address)	F	4023
Albion Park	(Same Address)	M	3845
Albion Park	(Same SA2)	F	577
Albion Park	(Same SA2)	M	543
Albion Park	Australian Capital Territory	F	10
Albion Park	Australian Capital Territory	M	7
Albion Park	New South Wales	F	1336
Albion Park	New South Wales	M	1131
Albion Park	Northern Territory	F	9
Albion Park	Northern Territory	M	3
Albion Park	Queensland	F	49
Albion Park	Queensland	M	42
Albion Park	South Australia	F	3
Albion Park	South Australia	M	6
Albion Park	Tasmania	F	3
Albion Park	Tasmania	M	3
Albion Park	Victoria	F	13
Albion Park	Victoria	M	12
Albion Park	Western Australia	F	6
Albion Park	Western Australia	M	9
Albion Park Rail	(Overseas)	F	26
Albion Park Rail	(Overseas)	M	19
Albion Park Rail	(Same Address)	F	2014
Albion Park Rail	(Same Address)	M	1931
Albion Park Rail	(Same SA2)	F	134
Albion Park Rail	(Same SA2)	M	116
Albion Park Rail	Australian Capital Territory	F	3
Albion Park Rail	New South Wales	F	814
Albion Park Rail	New South Wales	M	780
Albion Park Rail	Queensland	F	39
Albion Park Rail	Queensland	M	24
Albion Park Rail	South Australia	F	3
Albion Park Rail	Tasmania	F	3
Albion Park Rail	Victoria	F	4
Albion Park Rail	Victoria	M	7
Albion Park Rail	Western Australia	F	3
Albury	(Overseas)	F	70
Albury	(Overseas)	M	73
Albury	(Same Address)	F	1150
Albury	(Same Address)	M	1034
Albury	(Same SA2)	F	199
Albury	(Same SA2)	M	166
Albury	Australian Capital Territory	F	18
Albury	Australian Capital Territory	M	17
Albury	New South Wales	F	399
Albury	New South Wales	M	361
Albury	Northern Territory	F	3
Albury	Northern Territory	M	3
Albury	Queensland	F	31
Albury	Queensland	M	31
Albury	South Australia	F	5
Albury	South Australia	M	11
Albury	Tasmania	F	4
Albury	Tasmania	M	13
Albury	Victoria	F	240
Albury	Victoria	M	217
Albury	Western Australia	F	16
Albury	Western Australia	M	13
Aldavilla	(Same Address)	F	230
Aldavilla	(Same Address)	M	228
Aldavilla	(Same SA2)	F	33
Aldavilla	(Same SA2)	M	40
Aldavilla	New South Wales	F	49
Aldavilla	New South Wales	M	39
Aldavilla	Queensland	F	3
Aldavilla	Queensland	M	4
Aldavilla	Victoria	F	3
Alectown	(Overseas)	F	4
Alectown	(Same Address)	F	43
Alectown	(Same Address)	M	47
Alectown	(Same SA2)	F	4
Alectown	(Same SA2)	M	8
Alectown	New South Wales	F	6
Alectown	New South Wales	M	5
Alectown	Queensland	F	6
Alectown	South Australia	M	4
Alexandria	(Overseas)	F	509
Alexandria	(Overseas)	M	524
Alexandria	(Same Address)	F	1303
Alexandria	(Same Address)	M	1391
Alexandria	(Same SA2)	F	153
Alexandria	(Same SA2)	M	170
Alexandria	Australian Capital Territory	F	36
Alexandria	Australian Capital Territory	M	25
Alexandria	New South Wales	F	1272
Alexandria	New South Wales	M	1255
Alexandria	Queensland	F	89
Alexandria	Queensland	M	91
Alexandria	South Australia	F	24
Alexandria	South Australia	M	19
Alexandria	Tasmania	F	3
Alexandria	Tasmania	M	4
Alexandria	Victoria	F	75
Alexandria	Victoria	M	69
Alexandria	Western Australia	F	30
Alexandria	Western Australia	M	39
Alfords Point	(Overseas)	F	25
Alfords Point	(Overseas)	M	24
Alfords Point	(Same Address)	F	1141
Alfords Point	(Same Address)	M	1099
Alfords Point	(Same SA2)	F	46
Alfords Point	(Same SA2)	M	50
Alfords Point	Australian Capital Territory	M	3
Alfords Point	New South Wales	F	259
Alfords Point	New South Wales	M	224
Alfords Point	Queensland	F	3
Alfredtown	(Same Address)	F	23
Alfredtown	(Same Address)	M	37
Alfredtown	New South Wales	F	10
Alfredtown	New South Wales	M	6
Alice	(Same Address)	F	3
Alice	(Same Address)	M	3
Alison (Central Coast - NSW)	(Same Address)	F	19
Alison (Central Coast - NSW)	(Same Address)	M	19
Alison (Central Coast - NSW)	(Same SA2)	F	3
Alison (Central Coast - NSW)	New South Wales	F	14
Alison (Central Coast - NSW)	New South Wales	M	13
Alison (Dungog - NSW)	(Same Address)	F	24
Alison (Dungog - NSW)	(Same Address)	M	24
Alison (Dungog - NSW)	(Same SA2)	F	8
Alison (Dungog - NSW)	(Same SA2)	M	3
Alison (Dungog - NSW)	New South Wales	F	3
Alison (Dungog - NSW)	New South Wales	M	3
Allambie Heights	(Overseas)	F	151
Allambie Heights	(Overseas)	M	132
Allambie Heights	(Same Address)	F	2242
Allambie Heights	(Same Address)	M	2108
Allambie Heights	(Same SA2)	F	149
Allambie Heights	(Same SA2)	M	151
Allambie Heights	Australian Capital Territory	F	4
Allambie Heights	New South Wales	F	633
Allambie Heights	New South Wales	M	631
Allambie Heights	Northern Territory	F	3
Allambie Heights	Queensland	F	12
Allambie Heights	Queensland	M	9
Allambie Heights	South Australia	F	5
Allambie Heights	South Australia	M	3
Allambie Heights	Victoria	F	14
Allambie Heights	Victoria	M	5
Allambie Heights	Western Australia	F	3
Allandale (NSW)	(Same Address)	F	22
Allandale (NSW)	(Same Address)	M	21
Allandale (NSW)	New South Wales	F	10
Allandale (NSW)	New South Wales	M	13
Allawah	(Overseas)	F	502
Allawah	(Overseas)	M	504
Allawah	(Same Address)	F	1337
Allawah	(Same Address)	M	1246
Allawah	(Same SA2)	F	110
Allawah	(Same SA2)	M	108
Allawah	Australian Capital Territory	F	3
Allawah	Australian Capital Territory	M	7
Allawah	New South Wales	F	558
Allawah	New South Wales	M	641
Allawah	Northern Territory	F	3
Allawah	Queensland	F	14
Allawah	Queensland	M	12
Allawah	Victoria	F	5
Allawah	Victoria	M	11
Alleena	(Same Address)	F	12
Alleena	(Same Address)	M	17
Alleena	(Same SA2)	M	3
Alleena	Australian Capital Territory	F	4
Alleena	Queensland	M	3
Allgomera	(Same Address)	F	63
Allgomera	(Same Address)	M	44
Allgomera	(Same SA2)	M	4
Allgomera	New South Wales	F	4
Allgomera	New South Wales	M	8
Allworth	(Same Address)	F	51
Allworth	(Same Address)	M	58
Allworth	(Same SA2)	F	3
Allworth	(Same SA2)	M	4
Allworth	New South Wales	F	9
Allworth	New South Wales	M	21
Allynbrook	(Same Address)	F	12
Allynbrook	(Same Address)	M	22
Allynbrook	(Same SA2)	F	3
Allynbrook	(Same SA2)	M	3
Allynbrook	New South Wales	F	15
Allynbrook	New South Wales	M	12
Alma Park	(Same Address)	F	14
Alma Park	(Same Address)	M	20
Alma Park	(Same SA2)	F	3
Alma Park	(Same SA2)	M	4
Alma Park	New South Wales	F	3
Alma Park	New South Wales	M	3
Alma Park	Victoria	M	3
Alpine	(Same Address)	F	44
Alpine	(Same Address)	M	39
Alpine	(Same SA2)	F	4
Alpine	New South Wales	F	14
Alpine	New South Wales	M	18
Alstonvale	(Overseas)	F	3
Alstonvale	(Same Address)	F	151
Alstonvale	(Same Address)	M	129
Alstonvale	(Same SA2)	F	7
Alstonvale	(Same SA2)	M	15
Alstonvale	New South Wales	F	30
Alstonvale	New South Wales	M	24
Alstonvale	Queensland	F	12
Alstonvale	Queensland	M	10
Alstonvale	Victoria	F	3
Alstonvale	Victoria	M	3
Alstonvale	Western Australia	F	3
Alstonville	(Overseas)	F	32
Alstonville	(Overseas)	M	26
Alstonville	(Same Address)	F	1703
Alstonville	(Same Address)	M	1403
Alstonville	(Same SA2)	F	346
Alstonville	(Same SA2)	M	286
Alstonville	Australian Capital Territory	F	5
Alstonville	Australian Capital Territory	M	4
Alstonville	New South Wales	F	541
Alstonville	New South Wales	M	444
Alstonville	Northern Territory	F	3
Alstonville	Queensland	F	99
Alstonville	Queensland	M	82
Alstonville	South Australia	F	5
Alstonville	Tasmania	F	8
Alstonville	Tasmania	M	4
Alstonville	Victoria	F	8
Alstonville	Victoria	M	7
Alstonville	Western Australia	F	22
Alstonville	Western Australia	M	15
Alumy Creek	(Same Address)	F	29
Alumy Creek	(Same Address)	M	30
Alumy Creek	(Same SA2)	F	5
Alumy Creek	(Same SA2)	M	3
Alumy Creek	New South Wales	F	6
Alumy Creek	New South Wales	M	4
Amaroo (NSW)	(Same Address)	F	17
Amaroo (NSW)	(Same Address)	M	13
Ambarvale	(Overseas)	F	120
Ambarvale	(Overseas)	M	103
Ambarvale	(Same Address)	F	2134
Ambarvale	(Same Address)	M	2011
Ambarvale	(Same SA2)	F	218
Ambarvale	(Same SA2)	M	207
Ambarvale	New South Wales	F	715
Ambarvale	New South Wales	M	642
Ambarvale	Queensland	F	23
Ambarvale	Queensland	M	24
Ambarvale	South Australia	M	3
Ambarvale	Victoria	F	9
Ambarvale	Victoria	M	14
Ambarvale	Western Australia	F	3
Amosfield	(Same Address)	F	8
Amosfield	(Same Address)	M	12
Amosfield	Queensland	F	3
Amosfield	Queensland	M	8
Anabranch North	New South Wales	F	3
Anabranch South	(Same Address)	F	12
Anabranch South	(Same Address)	M	16
Anabranch South	(Same SA2)	F	3
Anambah	(Same Address)	F	3
Anambah	(Same Address)	M	7
Anambah	New South Wales	F	3
Anambah	New South Wales	M	3
Ando	(Same Address)	F	17
Ando	(Same Address)	M	31
Ando	(Same SA2)	M	5
Ando	New South Wales	F	3
Ando	New South Wales	M	5
Anembo	(Same Address)	F	24
Anembo	(Same Address)	M	23
Angledale	(Same Address)	F	51
Angledale	(Same Address)	M	52
Angledale	(Same SA2)	F	4
Angledale	(Same SA2)	M	6
Angledale	New South Wales	F	11
Angledale	New South Wales	M	11
Angledool	(Same Address)	F	17
Angledool	(Same Address)	M	19
Anglers Reach	(Overseas)	F	3
Anglers Reach	(Same Address)	F	17
Anglers Reach	(Same Address)	M	26
Anglers Reach	Australian Capital Territory	F	3
Anglers Reach	Australian Capital Territory	M	4
Anglers Reach	New South Wales	F	8
Anglers Reach	New South Wales	M	6
Angourie	(Overseas)	F	7
Angourie	(Overseas)	M	5
Angourie	(Same Address)	F	64
Angourie	(Same Address)	M	56
Angourie	(Same SA2)	F	17
Angourie	(Same SA2)	M	18
Angourie	New South Wales	F	15
Angourie	New South Wales	M	15
Angourie	Victoria	F	3
Angourie	Victoria	M	4
Anna Bay	(Overseas)	F	22
Anna Bay	(Overseas)	M	10
Anna Bay	(Same Address)	F	960
Anna Bay	(Same Address)	M	953
Anna Bay	(Same SA2)	F	148
Anna Bay	(Same SA2)	M	149
Anna Bay	Australian Capital Territory	F	10
Anna Bay	Australian Capital Territory	M	3
Anna Bay	New South Wales	F	463
Anna Bay	New South Wales	M	420
Anna Bay	Northern Territory	F	3
Anna Bay	Northern Territory	M	5
Anna Bay	Queensland	F	30
Anna Bay	Queensland	M	41
Anna Bay	South Australia	M	3
Anna Bay	Tasmania	F	3
Anna Bay	Victoria	F	13
Anna Bay	Victoria	M	10
Anna Bay	Western Australia	F	6
Anna Bay	Western Australia	M	6
Annandale (NSW)	(Overseas)	F	367
Annandale (NSW)	(Overseas)	M	329
Annandale (NSW)	(Same Address)	F	2106
Annandale (NSW)	(Same Address)	M	1926
Annandale (NSW)	(Same SA2)	F	251
Annandale (NSW)	(Same SA2)	M	229
Annandale (NSW)	Australian Capital Territory	F	27
Annandale (NSW)	Australian Capital Territory	M	22
Annandale (NSW)	New South Wales	F	1282
Annandale (NSW)	New South Wales	M	1178
Annandale (NSW)	Northern Territory	F	6
Annandale (NSW)	Northern Territory	M	7
Annandale (NSW)	Queensland	F	42
Annandale (NSW)	Queensland	M	44
Annandale (NSW)	South Australia	F	18
Annandale (NSW)	South Australia	M	9
Annandale (NSW)	Tasmania	F	7
Annandale (NSW)	Tasmania	M	3
Annandale (NSW)	Victoria	F	64
Annandale (NSW)	Victoria	M	62
Annandale (NSW)	Western Australia	F	32
Annandale (NSW)	Western Australia	M	25
Annangrove	(Overseas)	F	3
Annangrove	(Overseas)	M	17
Annangrove	(Same Address)	F	439
Annangrove	(Same Address)	M	469
Annangrove	(Same SA2)	F	35
Annangrove	(Same SA2)	M	32
Annangrove	New South Wales	F	130
Annangrove	New South Wales	M	150
Appin (NSW)	(Overseas)	F	9
Appin (NSW)	(Overseas)	M	9
Appin (NSW)	(Same Address)	F	559
Appin (NSW)	(Same Address)	M	571
Appin (NSW)	(Same SA2)	F	60
Appin (NSW)	(Same SA2)	M	50
Appin (NSW)	Australian Capital Territory	F	3
Appin (NSW)	New South Wales	F	482
Appin (NSW)	New South Wales	M	471
Appin (NSW)	Queensland	F	3
Appin (NSW)	Queensland	M	6
Apple Tree Flat	(Same Address)	F	9
Apple Tree Flat	(Same Address)	M	10
Apple Tree Flat	New South Wales	F	3
Apple Tree Flat	New South Wales	M	3
Appleby	(Same Address)	F	6
Appleby	(Same Address)	M	7
Appleby	(Same SA2)	F	4
Appleby	(Same SA2)	M	3
Appleby	New South Wales	F	5
Appleby	New South Wales	M	8
Appletree Flat	(Same Address)	F	6
Appletree Flat	(Same Address)	M	3
Apsley (NSW)	(Same Address)	F	32
Apsley (NSW)	(Same Address)	M	33
Apsley (NSW)	(Same SA2)	F	6
Apsley (NSW)	(Same SA2)	M	8
Apsley (NSW)	New South Wales	F	7
Apsley (NSW)	New South Wales	M	6
Arable	(Same Address)	F	3
Arable	(Same Address)	M	7
Arakoon	(Overseas)	F	4
Arakoon	(Overseas)	M	3
Arakoon	(Same Address)	F	126
Arakoon	(Same Address)	M	140
Arakoon	(Same SA2)	F	21
Arakoon	(Same SA2)	M	24
Arakoon	New South Wales	F	16
Arakoon	New South Wales	M	31
Arakoon	Queensland	F	8
Arakoon	Queensland	M	9
Arakoon	Victoria	F	3
Araluen (NSW)	(Overseas)	F	3
Araluen (NSW)	(Same Address)	F	42
Araluen (NSW)	(Same Address)	M	52
Araluen (NSW)	(Same SA2)	M	4
Araluen (NSW)	Australian Capital Territory	F	7
Araluen (NSW)	Australian Capital Territory	M	3
Araluen (NSW)	New South Wales	F	6
Araluen (NSW)	New South Wales	M	9
Arcadia (NSW)	(Overseas)	F	18
Arcadia (NSW)	(Overseas)	M	12
Arcadia (NSW)	(Same Address)	F	443
Arcadia (NSW)	(Same Address)	M	450
Arcadia (NSW)	(Same SA2)	F	26
Arcadia (NSW)	(Same SA2)	M	29
Arcadia (NSW)	New South Wales	F	145
Arcadia (NSW)	New South Wales	M	147
Arcadia (NSW)	Queensland	F	6
Arcadia (NSW)	Queensland	M	6
Arcadia Vale	(Overseas)	F	13
Arcadia Vale	(Overseas)	M	7
Arcadia Vale	(Same Address)	F	379
Arcadia Vale	(Same Address)	M	403
Arcadia Vale	(Same SA2)	F	60
Arcadia Vale	(Same SA2)	M	53
Arcadia Vale	New South Wales	F	135
Arcadia Vale	New South Wales	M	142
Arcadia Vale	Northern Territory	F	3
Arcadia Vale	Northern Territory	M	3
Arcadia Vale	Queensland	F	8
Arcadia Vale	Queensland	M	3
Arcadia Vale	Victoria	M	9
Arcadia Vale	Western Australia	F	3
Arcadia Vale	Western Australia	M	3
Ardglen	(Same Address)	F	9
Ardglen	(Same Address)	M	10
Ardglen	(Same SA2)	F	4
Ardglen	(Same SA2)	M	4
Ardglen	New South Wales	F	10
Ardglen	New South Wales	M	9
Arding	(Same Address)	F	60
Arding	(Same Address)	M	76
Arding	(Same SA2)	F	3
Arding	(Same SA2)	M	4
Arding	New South Wales	F	27
Arding	New South Wales	M	18
Arding	Queensland	F	3
Arding	Queensland	M	6
Ardlethan	(Overseas)	F	3
Ardlethan	(Same Address)	F	136
Ardlethan	(Same Address)	M	150
Ardlethan	(Same SA2)	F	15
Ardlethan	(Same SA2)	M	17
Ardlethan	New South Wales	F	35
Ardlethan	New South Wales	M	31
Ardlethan	Queensland	F	3
Ardlethan	Queensland	M	4
Ardlethan	Victoria	F	3
Ardlethan	Victoria	M	3
Ardlethan	Western Australia	M	3
Argalong	(Same Address)	F	7
Argalong	(Same Address)	M	6
Argalong	(Same SA2)	F	3
Argalong	New South Wales	F	3
Argenton	(Overseas)	F	5
Argenton	(Overseas)	M	6
Argenton	(Same Address)	F	384
Argenton	(Same Address)	M	397
Argenton	(Same SA2)	F	28
Argenton	(Same SA2)	M	25
Argenton	New South Wales	F	163
Argenton	New South Wales	M	144
Argenton	Queensland	F	3
Argenton	Queensland	M	3
Argenton	Tasmania	M	3
Argents Hill	(Same Address)	F	50
Argents Hill	(Same Address)	M	82
Argents Hill	(Same SA2)	F	5
Argents Hill	(Same SA2)	M	13
Argents Hill	New South Wales	F	17
Argents Hill	New South Wales	M	17
Argents Hill	Queensland	F	6
Argoon (NSW)	(Same Address)	M	4
Argoon (NSW)	(Same SA2)	M	3
Argoon (NSW)	New South Wales	F	4
Argoon (NSW)	New South Wales	M	4
Ariah Park	(Same Address)	F	154
Ariah Park	(Same Address)	M	163
Ariah Park	(Same SA2)	F	10
Ariah Park	(Same SA2)	M	5
Ariah Park	Australian Capital Territory	F	3
Ariah Park	New South Wales	F	39
Ariah Park	New South Wales	M	36
Arkell	(Same Address)	F	11
Arkell	(Same Address)	M	20
Arkstone	(Same Address)	F	6
Arkstone	(Same Address)	M	9
Armatree	(Same Address)	F	50
Armatree	(Same Address)	M	48
Armatree	(Same SA2)	F	12
Armatree	(Same SA2)	M	5
Armatree	New South Wales	F	3
Armatree	New South Wales	M	5
Armatree	Queensland	M	3
Armidale	(Overseas)	F	660
Armidale	(Overseas)	M	624
Armidale	(Same Address)	F	5310
Armidale	(Same Address)	M	4882
Armidale	(Same SA2)	F	1928
Armidale	(Same SA2)	M	1788
Armidale	Australian Capital Territory	F	30
Armidale	Australian Capital Territory	M	36
Armidale	New South Wales	F	2060
Armidale	New South Wales	M	1748
Armidale	Northern Territory	F	27
Armidale	Northern Territory	M	19
Armidale	Other Territories	M	3
Armidale	Queensland	F	326
Armidale	Queensland	M	274
Armidale	South Australia	F	23
Armidale	South Australia	M	21
Armidale	Tasmania	F	21
Armidale	Tasmania	M	20
Armidale	Victoria	F	109
Armidale	Victoria	M	92
Armidale	Western Australia	F	42
Armidale	Western Australia	M	34
Arncliffe	(Overseas)	F	652
Arncliffe	(Overseas)	M	693
Arncliffe	(Same Address)	F	2558
Arncliffe	(Same Address)	M	2464
Arncliffe	(Same SA2)	F	227
Arncliffe	(Same SA2)	M	227
Arncliffe	Australian Capital Territory	F	12
Arncliffe	Australian Capital Territory	M	13
Arncliffe	New South Wales	F	1041
Arncliffe	New South Wales	M	1105
Arncliffe	Northern Territory	F	3
Arncliffe	Northern Territory	M	3
Arncliffe	Queensland	F	50
Arncliffe	Queensland	M	45
Arncliffe	South Australia	F	6
Arncliffe	South Australia	M	12
Arncliffe	Tasmania	F	4
Arncliffe	Tasmania	M	3
Arncliffe	Victoria	F	15
Arncliffe	Victoria	M	28
Arncliffe	Western Australia	F	7
Arncliffe	Western Australia	M	13
Arndell Park	(Same Address)	M	3
Arndell Park	New South Wales	M	8
Arrawarra	(Overseas)	F	8
