SSC_NAME16	FamilyComposition	families_with_children
Abbotsbury	Blended family with no other children present	15
Abbotsbury	Intact family with no other children present	684
Abbotsbury	Intact family with other children present	12
Abbotsbury	Step family with no other children present	27
Abbotsford (NSW)	Blended family with no other children present	15
Abbotsford (NSW)	Intact family with no other children present	556
Abbotsford (NSW)	Intact family with other children present	3
Abbotsford (NSW)	Other couple family with other children only	3
Abbotsford (NSW)	Step family with no other children present	40
Abercrombie	Blended family with no other children present	10
Abercrombie	Intact family with no other children present	155
Abercrombie	Step family with no other children present	12
Abercrombie River	Intact family with no other children present	3
Aberdare	Blended family with no other children present	17
Aberdare	Intact family with no other children present	197
Aberdare	Intact family with other children present	3
Aberdare	Step family with no other children present	21
Aberdeen (NSW)	Blended family with no other children present	18
Aberdeen (NSW)	Intact family with no other children present	196
Aberdeen (NSW)	Intact family with other children present	3
Aberdeen (NSW)	Step family with no other children present	20
Aberfoyle	Intact family with no other children present	11
Aberglasslyn	Blended family with no other children present	39
Aberglasslyn	Intact family with no other children present	676
Aberglasslyn	Intact family with other children present	3
Aberglasslyn	Other couple family with other children only	3
Aberglasslyn	Step family with no other children present	67
Aberglasslyn	Step family with other children present	3
Abermain	Blended family with no other children present	19
Abermain	Intact family with no other children present	225
Abermain	Intact family with other children present	4
Abermain	Other couple family with other children only	4
Abermain	Step family with no other children present	17
Abermain	Step family with other children present	3
Abernethy	Blended family with no other children present	4
Abernethy	Intact family with no other children present	41
Abington (NSW)	Intact family with no other children present	3
Acacia Gardens	Blended family with no other children present	11
Acacia Gardens	Intact family with no other children present	627
Acacia Gardens	Intact family with other children present	11
Acacia Gardens	Step family with no other children present	33
Adaminaby	Intact family with no other children present	22
Adamstown	Blended family with no other children present	16
Adamstown	Intact family with no other children present	636
Adamstown	Intact family with other children present	3
Adamstown	Other couple family with other children only	3
Adamstown	Step family with no other children present	38
Adamstown Heights	Blended family with no other children present	24
Adamstown Heights	Intact family with no other children present	691
Adamstown Heights	Intact family with other children present	3
Adamstown Heights	Other couple family with other children only	3
Adamstown Heights	Step family with no other children present	32
Adelong	Blended family with no other children present	4
Adelong	Intact family with no other children present	93
Adelong	Step family with no other children present	6
Adjungbilly	Intact family with no other children present	14
Afterlee	Intact family with no other children present	8
Agnes Banks	Blended family with no other children present	6
Agnes Banks	Intact family with no other children present	112
Agnes Banks	Step family with no other children present	6
Airds	Blended family with no other children present	12
Airds	Blended family with other children present	4
Airds	Intact family with no other children present	158
Airds	Intact family with other children present	11
Airds	Other couple family with other children only	5
Airds	Step family with no other children present	18
Akolele	Intact family with no other children present	7
Albert	Intact family with no other children present	11
Albion Park	Blended family with no other children present	99
Albion Park	Intact family with no other children present	1623
Albion Park	Intact family with other children present	27
Albion Park	Other couple family with other children only	10
Albion Park	Step family with no other children present	147
Albion Park	Step family with other children present	5
Albion Park Rail	Blended family with no other children present	54
Albion Park Rail	Intact family with no other children present	595
