SSC_NAME16	FamilyComposition	families_with_children
Albion Park Rail	Intact family with other children present	13
Albion Park Rail	Other couple family with other children only	11
Albion Park Rail	Step family with no other children present	59
Albion Park Rail	Step family with other children present	4
Albury	Blended family with no other children present	18
Albury	Intact family with no other children present	374
Albury	Step family with no other children present	25
Aldavilla	Intact family with no other children present	72
Aldavilla	Step family with no other children present	3
Alectown	Intact family with no other children present	18
Alexandria	Blended family with no other children present	10
Alexandria	Intact family with no other children present	528
Alexandria	Intact family with other children present	3
Alexandria	Step family with no other children present	33
Alfords Point	Blended family with no other children present	15
Alfords Point	Intact family with no other children present	521
Alfords Point	Intact family with other children present	3
Alfords Point	Step family with no other children present	23
Alfredtown	Intact family with no other children present	11
Alison (Central Coast - NSW)	Intact family with no other children present	7
Alison (Central Coast - NSW)	Other couple family with other children only	3
Alison (Dungog - NSW)	Intact family with no other children present	6
Alison (Dungog - NSW)	Step family with no other children present	3
Allambie Heights	Blended family with no other children present	27
Allambie Heights	Intact family with no other children present	1015
Allambie Heights	Intact family with other children present	10
Allambie Heights	Other couple family with other children only	8
Allambie Heights	Step family with no other children present	35
Allandale (NSW)	Intact family with no other children present	6
Allawah	Blended family with no other children present	16
Allawah	Intact family with no other children present	631
Allawah	Intact family with other children present	8
Allawah	Other couple family with other children only	3
Allawah	Step family with no other children present	34
Alleena	Intact family with no other children present	7
Allgomera	Intact family with no other children present	16
Allworth	Intact family with no other children present	12
Allynbrook	Intact family with no other children present	7
Alma Park	Intact family with no other children present	11
Alpine	Blended family with no other children present	3
Alpine	Intact family with no other children present	18
Alpine	Step family with no other children present	3
Alstonvale	Intact family with no other children present	55
Alstonvale	Step family with no other children present	3
Alstonville	Blended family with no other children present	25
Alstonville	Intact family with no other children present	495
Alstonville	Intact family with other children present	3
Alstonville	Other couple family with other children only	3
Alstonville	Step family with no other children present	30
Alumy Creek	Intact family with no other children present	5
Amaroo (NSW)	Intact family with no other children present	7
Ambarvale	Blended family with no other children present	67
Ambarvale	Intact family with no other children present	661
Ambarvale	Intact family with other children present	23
Ambarvale	Other couple family with other children only	13
Ambarvale	Step family with no other children present	60
Amosfield	Intact family with no other children present	3
Anabranch North	Intact family with no other children present	3
Anabranch South	Intact family with no other children present	4
Ando	Intact family with no other children present	9
Anembo	Intact family with no other children present	8
Angledale	Intact family with no other children present	16
Angledool	Intact family with no other children present	3
Anglers Reach	Intact family with no other children present	3
Angourie	Intact family with no other children present	20
Anna Bay	Blended family with no other children present	20
Anna Bay	Intact family with no other children present	320
Anna Bay	Intact family with other children present	9
Anna Bay	Other couple family with other children only	5
Anna Bay	Step family with no other children present	42
Annandale (NSW)	Blended family with no other children present	21
Annandale (NSW)	Intact family with no other children present	913
Annandale (NSW)	Other couple family with other children only	3
Annandale (NSW)	Step family with no other children present	62
Annangrove	Blended family with no other children present	10
Annangrove	Intact family with no other children present	197
Annangrove	Intact family with other children present	3
Annangrove	Other couple family with other children only	3
Annangrove	Step family with no other children present	12
Appin (NSW)	Blended family with no other children present	22
Appin (NSW)	Intact family with no other children present	337
Appin (NSW)	Intact family with other children present	4
Appin (NSW)	Other couple family with other children only	4
Appin (NSW)	Step family with no other children present	20
Apple Tree Flat	Intact family with no other children present	3
Appleby	Intact family with no other children present	10
Appletree Flat	Intact family with no other children present	3
Apsley (NSW)	Intact family with no other children present	10
Arakoon	Intact family with no other children present	32
Arakoon	Step family with no other children present	4
Araluen (NSW)	Intact family with no other children present	7
Araluen (NSW)	Step family with no other children present	3
Arcadia (NSW)	Blended family with no other children present	5
Arcadia (NSW)	Intact family with no other children present	188
Arcadia (NSW)	Intact family with other children present	3
Arcadia (NSW)	Step family with no other children present	15
Arcadia Vale	Blended family with no other children present	4
Arcadia Vale	Intact family with no other children present	154
Arcadia Vale	Step family with no other children present	11
Ardglen	Intact family with no other children present	4
Arding	Intact family with no other children present	24
Ardlethan	Intact family with no other children present	37
Ardlethan	Step family with no other children present	3
Argalong	Intact family with no other children present	5
Argenton	Blended family with no other children present	11
Argenton	Intact family with no other children present	105
Argenton	Intact family with other children present	4
Argenton	Step family with no other children present	8
Argents Hill	Intact family with no other children present	14
Argoon (NSW)	Intact family with no other children present	3
Ariah Park	Intact family with no other children present	46
Ariah Park	Intact family with other children present	3
Arkell	Intact family with no other children present	3
Arkstone	Intact family with no other children present	3
Armatree	Intact family with no other children present	17
Armidale	Blended family with no other children present	86
Armidale	Blended family with other children present	4
Armidale	Intact family with no other children present	1778
Armidale	Intact family with other children present	23
Armidale	Other couple family with other children only	21
Armidale	Step family with no other children present	131
Arncliffe	Blended family with no other children present	20
Arncliffe	Intact family with no other children present	1107
Arncliffe	Intact family with other children present	18
Arncliffe	Other couple family with other children only	5
Arncliffe	Step family with no other children present	53
Arrawarra	Intact family with no other children present	14
Arrawarra Headland	Blended family with no other children present	6
Arrawarra Headland	Intact family with no other children present	48
Arrawarra Headland	Step family with no other children present	3
Artarmon	Blended family with no other children present	12
Artarmon	Intact family with no other children present	1217
Artarmon	Intact family with other children present	10
Artarmon	Other couple family with other children only	3
Artarmon	Step family with no other children present	39
Arthurville	Intact family with no other children present	3
Arumpo	Intact family with no other children present	5
Ashbury	Blended family with no other children present	6
Ashbury	Intact family with no other children present	514
Ashbury	Intact family with other children present	5
Ashbury	Step family with no other children present	17
Ashby (NSW)	Blended family with no other children present	3
Ashby (NSW)	Intact family with no other children present	17
Ashby Heights	Intact family with no other children present	18
Ashby Heights	Step family with no other children present	3
Ashcroft	Blended family with no other children present	19
Ashcroft	Intact family with no other children present	323
Ashcroft	Intact family with other children present	15
Ashcroft	Other couple family with other children only	4
Ashcroft	Step family with no other children present	23
Ashfield (NSW)	Blended family with no other children present	34
Ashfield (NSW)	Intact family with no other children present	2177
Ashfield (NSW)	Intact family with other children present	31
Ashfield (NSW)	Other couple family with other children only	3
Ashfield (NSW)	Step family with no other children present	92
Ashford (NSW)	Blended family with no other children present	3
Ashford (NSW)	Intact family with no other children present	36
Ashford (NSW)	Step family with no other children present	3
Ashley	Blended family with no other children present	3
Ashley	Intact family with no other children present	34
Ashley	Step family with no other children present	3
Ashmont	Blended family with no other children present	23
Ashmont	Intact family with no other children present	221
Ashmont	Intact family with other children present	3
Ashmont	Other couple family with other children only	3
Ashmont	Step family with no other children present	22
Ashtonfield	Blended family with no other children present	38
Ashtonfield	Intact family with no other children present	618
Ashtonfield	Intact family with other children present	3
Ashtonfield	Other couple family with other children only	7
Ashtonfield	Step family with no other children present	35
Ashtonfield	Step family with other children present	3
Asquith	Blended family with no other children present	10
Asquith	Intact family with no other children present	477
Asquith	Intact family with other children present	5
Asquith	Other couple family with other children only	4
Asquith	Step family with no other children present	19
Atholwood	Blended family with no other children present	3
Atholwood	Intact family with no other children present	8
Attunga	Blended family with no other children present	5
Attunga	Intact family with no other children present	53
Auburn (NSW)	Blended family with no other children present	78
Auburn (NSW)	Blended family with other children present	6
Auburn (NSW)	Intact family with no other children present	4148
Auburn (NSW)	Intact family with other children present	99
Auburn (NSW)	Other couple family with other children only	16
Auburn (NSW)	Step family with no other children present	130
Auburn (NSW)	Step family with other children present	5
Auburn Vale	Intact family with no other children present	8
Austinmer	Blended family with no other children present	14
Austinmer	Intact family with no other children present	317
Austinmer	Intact family with other children present	3
Austinmer	Step family with no other children present	13
Austral	Blended family with no other children present	10
Austral	Intact family with no other children present	303
Austral	Intact family with other children present	5
Austral	Step family with no other children present	27
Austral Eden	Intact family with no other children present	17
Avalon Beach	Blended family with no other children present	32
Avalon Beach	Intact family with no other children present	1262
Avalon Beach	Intact family with other children present	9
Avalon Beach	Other couple family with other children only	8
Avalon Beach	Step family with no other children present	80
Avoca (NSW)	Blended family with no other children present	3
Avoca (NSW)	Intact family with no other children present	18
Avoca Beach	Blended family with no other children present	13
Avoca Beach	Intact family with no other children present	589
Avoca Beach	Intact family with other children present	3
Avoca Beach	Step family with no other children present	32
Avondale (NSW)	Blended family with no other children present	8
Avondale (NSW)	Intact family with no other children present	167
Avondale (NSW)	Intact family with other children present	4
Avondale (NSW)	Step family with no other children present	8
Avonside	Intact family with no other children present	19
Awaba	Blended family with no other children present	3
Awaba	Intact family with no other children present	45
Awaba	Step family with no other children present	4
Aylmerton	Intact family with no other children present	24
Baan Baa	Intact family with no other children present	9
Back Creek (Bland - NSW)	Intact family with no other children present	4
Back Forest	Intact family with no other children present	9
Backmede	Intact family with no other children present	17
Backmede	Intact family with other children present	3
Badgerys Creek	Intact family with no other children present	22
Baerami	Intact family with no other children present	3
Baerami Creek	Intact family with no other children present	3
Bagnoo	Intact family with no other children present	3
Bago	Intact family with no other children present	4
Bagotville	Intact family with no other children present	3
Bakers Creek (Mid-Coast - NSW)	Intact family with no other children present	3
Bakers Swamp	Intact family with no other children present	4
Balaclava (NSW)	Blended family with no other children present	4
Balaclava (NSW)	Intact family with no other children present	49
Balaclava (NSW)	Step family with no other children present	12
Balala	Intact family with no other children present	11
Balcolyn	Blended family with no other children present	9
Balcolyn	Intact family with no other children present	83
Balcolyn	Step family with no other children present	12
Bald Blair	Intact family with no other children present	4
Bald Hills (NSW)	Intact family with no other children present	24
Bald Hills (NSW)	Step family with no other children present	3
Bald Nob	Intact family with no other children present	3
Baldersleigh	Intact family with no other children present	4
Baldry	Intact family with no other children present	5
Balfours Peak	Intact family with no other children present	9
Balgowlah	Blended family with no other children present	15
Balgowlah	Intact family with no other children present	1014
Balgowlah	Intact family with other children present	6
Balgowlah	Step family with no other children present	55
Balgowlah Heights	Blended family with no other children present	12
Balgowlah Heights	Intact family with no other children present	578
Balgowlah Heights	Step family with no other children present	20
Balgownie	Blended family with no other children present	24
Balgownie	Intact family with no other children present	672
Balgownie	Intact family with other children present	3
Balgownie	Step family with no other children present	34
Balickera	Intact family with no other children present	4
Balladoran	Intact family with no other children present	7
Balldale	Intact family with no other children present	17
Ballengarra	Intact family with no other children present	10
Ballimore	Intact family with no other children present	15
Ballimore	Step family with no other children present	3
Ballina	Blended family with no other children present	28
Ballina	Intact family with no other children present	439
Ballina	Intact family with other children present	10
Ballina	Other couple family with other children only	3
Ballina	Step family with no other children present	51
Balmain	Blended family with no other children present	19
Balmain	Intact family with no other children present	1065
Balmain	Intact family with other children present	3
Balmain	Other couple family with other children only	3
Balmain	Step family with no other children present	62
Balmain East	Blended family with no other children present	6
Balmain East	Intact family with no other children present	187
Balmain East	Step family with no other children present	15
Balmoral (Lake Macquarie - NSW)	Intact family with no other children present	85
Balmoral (Lake Macquarie - NSW)	Step family with no other children present	9
Balmoral (Wingecarribee - NSW)	Intact family with no other children present	57
Balmoral (Wingecarribee - NSW)	Step family with no other children present	7
Balranald	Blended family with no other children present	11
Balranald	Intact family with no other children present	113
Balranald	Step family with no other children present	7
Bamarang	Intact family with no other children present	3
Bandon Grove	Intact family with no other children present	14
Bangalee (NSW)	Intact family with no other children present	75
Bangalee (NSW)	Step family with no other children present	12
Bangalow	Blended family with no other children present	12
Bangalow	Intact family with no other children present	228
Bangalow	Intact family with other children present	3
Bangalow	Step family with no other children present	11
Bangheet	Intact family with no other children present	4
Bango	Intact family with no other children present	10
Bangor (NSW)	Blended family with no other children present	20
Bangor (NSW)	Intact family with no other children present	779
Bangor (NSW)	Intact family with other children present	10
Bangor (NSW)	Other couple family with other children only	3
Bangor (NSW)	Step family with no other children present	50
Banksia	Blended family with no other children present	14
Banksia	Intact family with no other children present	408
Banksia	Intact family with other children present	7
Banksia	Step family with no other children present	17
Bankstown	Blended family with no other children present	87
Bankstown	Intact family with no other children present	3666
Bankstown	Intact family with other children present	98
Bankstown	Other couple family with other children only	14
Bankstown	Step family with no other children present	173
Bankstown	Step family with other children present	8
Bannaby	Intact family with no other children present	3
Bannister (NSW)	Intact family with no other children present	11
Banoon	Intact family with no other children present	3
Banora Point	Blended family with no other children present	80
Banora Point	Intact family with no other children present	1301
Banora Point	Intact family with other children present	18
Banora Point	Other couple family with other children only	6
Banora Point	Step family with no other children present	131
Banyabba	Step family with no other children present	3
Bar Beach	Intact family with no other children present	116
Bar Beach	Step family with no other children present	9
Bar Point	Intact family with no other children present	3
Baradine	Intact family with no other children present	50
Baradine	Step family with no other children present	4
Barangaroo	Intact family with no other children present	4
Barden Ridge	Blended family with no other children present	18
Barden Ridge	Intact family with no other children present	696
Barden Ridge	Intact family with other children present	6
Barden Ridge	Step family with no other children present	39
Bardia	Blended family with no other children present	12
Bardia	Intact family with no other children present	235
Bardia	Intact family with other children present	3
Bardia	Step family with no other children present	8
Bardwell Park	Blended family with no other children present	3
Bardwell Park	Intact family with no other children present	321
Bardwell Park	Intact family with other children present	3
Bardwell Park	Step family with no other children present	8
Bardwell Valley	Blended family with no other children present	9
Bardwell Valley	Intact family with no other children present	307
Bardwell Valley	Intact family with other children present	3
Bardwell Valley	Step family with no other children present	13
Barellan	Blended family with no other children present	4
Barellan	Intact family with no other children present	51
Barellan	Step family with no other children present	5
Bargo	Blended family with no other children present	30
Bargo	Intact family with no other children present	477
Bargo	Intact family with other children present	3
Bargo	Other couple family with other children only	3
Bargo	Step family with no other children present	50
Barham	Blended family with no other children present	3
Barham	Intact family with no other children present	95
Barham	Step family with no other children present	8
Barkers Vale	Intact family with no other children present	12
Barmedman	Blended family with no other children present	3
Barmedman	Intact family with no other children present	38
Barnsley	Blended family with no other children present	22
Barnsley	Intact family with no other children present	179
Barnsley	Intact family with other children present	3
Barnsley	Other couple family with other children only	3
Barnsley	Step family with no other children present	27
Barooga	Blended family with no other children present	9
Barooga	Intact family with no other children present	155
Barooga	Step family with no other children present	11
Barraba	Blended family with no other children present	3
Barraba	Intact family with no other children present	79
Barraba	Other couple family with other children only	3
Barraba	Step family with no other children present	10
Barrack Heights	Blended family with no other children present	42
Barrack Heights	Intact family with no other children present	522
Barrack Heights	Intact family with other children present	12
Barrack Heights	Other couple family with other children only	4
Barrack Heights	Step family with no other children present	54
Barrack Heights	Step family with other children present	3
Barrack Point	Blended family with no other children present	3
Barrack Point	Intact family with no other children present	75
Barrack Point	Step family with no other children present	5
Barraganyatti	Intact family with no other children present	17
Barragga Bay	Intact family with no other children present	6
Barrengarry	Intact family with no other children present	20
Barrington (NSW)	Blended family with no other children present	3
Barrington (NSW)	Intact family with no other children present	28
Barrington (NSW)	Step family with no other children present	3
Barry (Blayney - NSW)	Blended family with no other children present	3
Barry (Blayney - NSW)	Intact family with no other children present	22
Barwang	Intact family with no other children present	11
Barwon	Intact family with no other children present	3
Baryulgil	Intact family with no other children present	6
Basin View	Blended family with no other children present	7
Basin View	Intact family with no other children present	121
Basin View	Step family with no other children present	9
Bass Hill	Blended family with no other children present	25
Bass Hill	Intact family with no other children present	1106
Bass Hill	Intact family with other children present	22
Bass Hill	Other couple family with other children only	11
Bass Hill	Step family with no other children present	55
Batar Creek	Intact family with no other children present	4
Bateau Bay	Blended family with no other children present	61
Bateau Bay	Intact family with no other children present	1161
Bateau Bay	Intact family with other children present	11
Bateau Bay	Other couple family with other children only	4
Bateau Bay	Step family with no other children present	86
Batehaven	Blended family with no other children present	9
Batehaven	Intact family with no other children present	86
Batehaven	Intact family with other children present	3
Batehaven	Step family with no other children present	12
Batemans Bay	Blended family with no other children present	8
Batemans Bay	Intact family with no other children present	48
Batemans Bay	Intact family with other children present	3
Batemans Bay	Step family with no other children present	4
Bathampton	Intact family with no other children present	9
Bathurst	Blended family with no other children present	21
Bathurst	Intact family with no other children present	383
Bathurst	Intact family with other children present	3
Bathurst	Other couple family with other children only	3
Bathurst	Step family with no other children present	36
Batlow	Blended family with no other children present	8
Batlow	Intact family with no other children present	81
Batlow	Step family with no other children present	8
Baulkham Hills	Blended family with no other children present	102
Baulkham Hills	Intact family with no other children present	5617
Baulkham Hills	Intact family with other children present	64
Baulkham Hills	Other couple family with other children only	12
Baulkham Hills	Step family with no other children present	232
Baulkham Hills	Step family with other children present	4
Baw Baw (NSW)	Intact family with no other children present	26
Bawley Point	Blended family with no other children present	8
Bawley Point	Intact family with no other children present	50
Bawley Point	Intact family with other children present	3
Bawley Point	Step family with no other children present	3
Bayview (NSW)	Blended family with no other children present	8
Bayview (NSW)	Intact family with no other children present	377
Bayview (NSW)	Intact family with other children present	7
Bayview (NSW)	Step family with no other children present	21
Beacon Hill	Blended family with no other children present	26
Beacon Hill	Intact family with no other children present	1093
Beacon Hill	Intact family with other children present	11
Beacon Hill	Step family with no other children present	57
Beaconsfield (NSW)	Blended family with no other children present	3
Beaconsfield (NSW)	Intact family with no other children present	81
Beaconsfield (NSW)	Step family with no other children present	11
Bean Creek	Intact family with no other children present	6
Bearbong	Intact family with no other children present	6
Beaumont (NSW)	Intact family with no other children present	6
Beaumont Hills	Blended family with no other children present	53
Beaumont Hills	Blended family with other children present	3
Beaumont Hills	Intact family with no other children present	1572
Beaumont Hills	Intact family with other children present	23
Beaumont Hills	Step family with no other children present	66
Beckom	Intact family with no other children present	12
Bective	Intact family with no other children present	22
Bective	Intact family with other children present	3
Bectric	Intact family with no other children present	3
Bedgerabong	Intact family with no other children present	17
Beechwood	Blended family with no other children present	3
Beechwood	Intact family with no other children present	58
Beechwood	Intact family with other children present	3
Beechwood	Step family with no other children present	7
Beecroft	Blended family with no other children present	14
Beecroft	Intact family with no other children present	1433
Beecroft	Intact family with other children present	22
Beecroft	Step family with no other children present	62
Beelbangera	Blended family with no other children present	3
Beelbangera	Intact family with no other children present	42
Beelbangera	Step family with no other children present	4
Bega	Blended family with no other children present	34
Bega	Intact family with no other children present	357
Bega	Intact family with other children present	5
Bega	Other couple family with other children only	4
Bega	Step family with no other children present	37
Beggan Beggan	Intact family with no other children present	13
Belbora	Intact family with no other children present	9
Belfield	Blended family with no other children present	10
Belfield	Intact family with no other children present	848
Belfield	Intact family with other children present	12
Belfield	Step family with no other children present	39
Belfield	Step family with other children present	3
Belford	Blended family with no other children present	3
Belford	Intact family with no other children present	17
Belford	Step family with no other children present	3
Belgravia	Intact family with no other children present	17
Belimbla Park	Blended family with no other children present	4
Belimbla Park	Intact family with no other children present	65
Belimbla Park	Step family with no other children present	5
Bell (NSW)	Intact family with no other children present	3
Bella Vista	Blended family with no other children present	29
Bella Vista	Intact family with no other children present	1322
Bella Vista	Intact family with other children present	14
Bella Vista	Step family with no other children present	44
Bella Vista	Step family with other children present	3
Bellambi	Blended family with no other children present	13
Bellambi	Blended family with other children present	3
Bellambi	Intact family with no other children present	289
Bellambi	Intact family with other children present	7
Bellambi	Other couple family with other children only	11
Bellambi	Step family with no other children present	28
Bellangry	Intact family with no other children present	12
Bellangry	Step family with no other children present	3
Bellata	Intact family with no other children present	33
Bellawongarah	Intact family with no other children present	14
Bellbird	Blended family with no other children present	6
Bellbird	Intact family with no other children present	209
Bellbird	Intact family with other children present	4
Bellbird	Other couple family with other children only	5
Bellbird	Step family with no other children present	11
Bellbird	Step family with other children present	3
Bellbird Heights	Blended family with no other children present	3
Bellbird Heights	Intact family with no other children present	69
Bellbird Heights	Step family with no other children present	13
Bellbrook	Intact family with no other children present	17
Bellbrook	Step family with no other children present	3
Bellevue Hill	Blended family with no other children present	32
Bellevue Hill	Intact family with no other children present	1178
Bellevue Hill	Intact family with other children present	3
Bellevue Hill	Other couple family with other children only	3
Bellevue Hill	Step family with no other children present	51
Bellimbopinni	Intact family with no other children present	11
Bellingen	Blended family with no other children present	20
Bellingen	Intact family with no other children present	333
Bellingen	Intact family with other children present	4
Bellingen	Other couple family with other children only	3
Bellingen	Step family with no other children present	28
Bellmount Forest	Intact family with no other children present	18
Belltrees	Intact family with no other children present	3
Belmont (NSW)	Blended family with no other children present	30
Belmont (NSW)	Intact family with no other children present	634
Belmont (NSW)	Intact family with other children present	9
Belmont (NSW)	Other couple family with other children only	3
Belmont (NSW)	Step family with no other children present	59
Belmont North	Blended family with no other children present	37
Belmont North	Intact family with no other children present	686
Belmont North	Intact family with other children present	9
Belmont North	Other couple family with other children only	7
Belmont North	Step family with no other children present	70
Belmont South	Blended family with no other children present	9
Belmont South	Intact family with no other children present	76
Belmont South	Step family with no other children present	11
Belmore	Blended family with no other children present	47
Belmore	Intact family with no other children present	1431
Belmore	Intact family with other children present	18
Belmore	Other couple family with other children only	6
Belmore	Step family with no other children present	69
Belmore River	Intact family with no other children present	23
Belmore River	Step family with no other children present	4
Belrose	Blended family with no other children present	25
Belrose	Intact family with no other children present	1181
Belrose	Intact family with other children present	10
Belrose	Other couple family with other children only	8
Belrose	Step family with no other children present	60
Bemboka	Blended family with no other children present	4
Bemboka	Intact family with no other children present	39
Ben Bullen	Intact family with no other children present	11
Ben Lomond (NSW)	Intact family with no other children present	11
Benandarah	Intact family with no other children present	12
Bendalong	Intact family with no other children present	3
Bendemeer	Intact family with no other children present	33
Bendemeer	Step family with no other children present	11
Bendick Murrell	Intact family with no other children present	18
Bendick Murrell	Step family with no other children present	3
Bendolba	Intact family with no other children present	19
Bendoura	Intact family with no other children present	4
Benerembah	Intact family with no other children present	12
Bengalla	Intact family with no other children present	5
Benolong	Intact family with no other children present	5
Bensville	Blended family with no other children present	18
Bensville	Intact family with no other children present	354
Bensville	Other couple family with other children only	9
Bensville	Step family with no other children present	20
Bentley (NSW)	Intact family with no other children present	11
Berala	Blended family with no other children present	29
Berala	Blended family with other children present	3
Berala	Intact family with no other children present	1117
Berala	Intact family with other children present	29
Berala	Other couple family with other children only	10
Berala	Step family with no other children present	50
Berala	Step family with other children present	9
Berambing	Intact family with no other children present	8
Beresfield	Blended family with no other children present	16
Beresfield	Intact family with no other children present	247
Beresfield	Other couple family with other children only	3
Beresfield	Step family with no other children present	27
Bergalia	Intact family with no other children present	15
Bergalia	Step family with no other children present	4
Berkeley	Blended family with no other children present	47
Berkeley	Blended family with other children present	3
Berkeley	Intact family with no other children present	708
Berkeley	Intact family with other children present	9
Berkeley	Other couple family with other children only	11
Berkeley	Step family with no other children present	59
Berkeley Vale	Blended family with no other children present	64
Berkeley Vale	Intact family with no other children present	883
Berkeley Vale	Intact family with other children present	10
Berkeley Vale	Other couple family with other children only	12
Berkeley Vale	Step family with no other children present	92
Berkeley Vale	Step family with other children present	3
Berkshire Park	Blended family with no other children present	5
Berkshire Park	Intact family with no other children present	148
Berkshire Park	Step family with no other children present	7
Bermagui	Blended family with no other children present	10
Bermagui	Intact family with no other children present	95
Bermagui	Other couple family with other children only	4
Bermagui	Step family with no other children present	5
Berowra	Blended family with no other children present	13
Berowra	Intact family with no other children present	750
Berowra	Intact family with other children present	6
Berowra	Step family with no other children present	35
Berowra Heights	Blended family with no other children present	26
Berowra Heights	Intact family with no other children present	819
Berowra Heights	Intact family with other children present	3
Berowra Heights	Step family with no other children present	48
Berowra Waters	Intact family with no other children present	5
Berrambool	Intact family with no other children present	22
Berrambool	Step family with no other children present	5
Berrara	Intact family with no other children present	27
Berrara	Step family with no other children present	3
Berremangra	Intact family with no other children present	10
Berridale	Blended family with no other children present	9
Berridale	Intact family with no other children present	120
Berridale	Step family with no other children present	8
Berrigal	Intact family with no other children present	5
Berrigan	Intact family with no other children present	91
Berrigan	Step family with no other children present	6
Berrilee	Intact family with no other children present	30
Berrima	Intact family with no other children present	66
Berringer Lake	Intact family with no other children present	3
Berry	Blended family with no other children present	8
Berry	Intact family with no other children present	228
Berry	Intact family with other children present	8
Berry	Other couple family with other children only	3
Berry	Step family with no other children present	15
Berry Jerry	Intact family with no other children present	3
Berry Park	Intact family with no other children present	15
Berry Park	Step family with no other children present	3
Berthong	Intact family with no other children present	3
Beryl	Blended family with no other children present	3
Beryl	Intact family with no other children present	14
Bethungra	Intact family with no other children present	14
Bethungra	Step family with no other children present	3
Bevendale	Intact family with no other children present	3
Beverley Park	Blended family with no other children present	5
Beverley Park	Intact family with no other children present	332
Beverley Park	Other couple family with other children only	3
Beverley Park	Step family with no other children present	19
Beverly Hills	Blended family with no other children present	29
Beverly Hills	Intact family with no other children present	1303
Beverly Hills	Intact family with other children present	21
Beverly Hills	Other couple family with other children only	4
Beverly Hills	Step family with no other children present	64
Beverly Hills	Step family with other children present	3
Bewong	Intact family with no other children present	4
Bexhill	Intact family with no other children present	56
Bexhill	Step family with no other children present	7
Bexley	Blended family with no other children present	54
Bexley	Intact family with no other children present	2469
Bexley	Intact family with other children present	28
Bexley	Other couple family with other children only	4
Bexley	Step family with no other children present	99
Bexley North	Blended family with no other children present	7
Bexley North	Intact family with no other children present	523
Bexley North	Intact family with other children present	10
Bexley North	Step family with no other children present	22
Biala	Intact family with no other children present	12
Bibbenluke	Intact family with no other children present	10
Biddon	Intact family with no other children present	5
Bidgeemia	Intact family with no other children present	4
Bidwill (NSW)	Blended family with no other children present	32
Bidwill (NSW)	Intact family with no other children present	236
Bidwill (NSW)	Intact family with other children present	15
Bidwill (NSW)	Other couple family with other children only	4
Bidwill (NSW)	Step family with no other children present	26
Bidwill (NSW)	Step family with other children present	3
Bielsdown Hills	Intact family with no other children present	12
