SSC_NAME16	NonSchoolQualification	persons
Aarons Pass	Certificate III and IV Level	10
Abbotsbury	Certificate nfd	105
Abbotsbury	Certificate I and II Level	34
Abbotsbury	Certificate III and IV Level	578
Abbotsbury	Advanced Diploma and Diploma	363
Abbotsbury	Bachelor	497
Abbotsbury	Graduate Diploma and Graduate Certificate	32
Abbotsbury	Postgraduate	95
Abbotsford (NSW)	Certificate nfd	134
Abbotsford (NSW)	Certificate I and II Level	32
Abbotsford (NSW)	Certificate III and IV Level	454
Abbotsford (NSW)	Advanced Diploma and Diploma	444
Abbotsford (NSW)	Bachelor	1011
Abbotsford (NSW)	Graduate Diploma and Graduate Certificate	124
Abbotsford (NSW)	Postgraduate	398
Abercrombie	Certificate nfd	20
Abercrombie	Certificate I and II Level	14
Abercrombie	Certificate III and IV Level	204
Abercrombie	Advanced Diploma and Diploma	77
Abercrombie	Bachelor	139
Abercrombie	Graduate Diploma and Graduate Certificate	15
Abercrombie	Postgraduate	30
Abercrombie River	Certificate III and IV Level	5
Aberdare	Certificate nfd	29
Aberdare	Certificate I and II Level	41
Aberdare	Certificate III and IV Level	452
Aberdare	Advanced Diploma and Diploma	119
Aberdare	Bachelor	70
Aberdare	Graduate Diploma and Graduate Certificate	8
Aberdare	Postgraduate	7
Aberdeen (NSW)	Certificate nfd	39
Aberdeen (NSW)	Certificate I and II Level	26
Aberdeen (NSW)	Certificate III and IV Level	385
Aberdeen (NSW)	Advanced Diploma and Diploma	72
Aberdeen (NSW)	Bachelor	59
Aberdeen (NSW)	Graduate Diploma and Graduate Certificate	10
Aberdeen (NSW)	Postgraduate	9
Aberfoyle	Certificate I and II Level	4
Aberfoyle	Certificate III and IV Level	16
Aberfoyle	Advanced Diploma and Diploma	8
Aberfoyle	Bachelor	13
Aberfoyle	Graduate Diploma and Graduate Certificate	3
Aberfoyle	Postgraduate	3
Aberglasslyn	Certificate nfd	84
Aberglasslyn	Certificate I and II Level	75
Aberglasslyn	Certificate III and IV Level	1098
Aberglasslyn	Advanced Diploma and Diploma	389
Aberglasslyn	Bachelor	352
Aberglasslyn	Graduate Diploma and Graduate Certificate	51
Aberglasslyn	Postgraduate	68
Abermain	Certificate nfd	44
Abermain	Certificate I and II Level	24
Abermain	Certificate III and IV Level	462
Abermain	Advanced Diploma and Diploma	103
Abermain	Bachelor	89
Abermain	Graduate Diploma and Graduate Certificate	11
Abermain	Postgraduate	7
Abernethy	Certificate nfd	4
Abernethy	Certificate I and II Level	8
Abernethy	Certificate III and IV Level	71
Abernethy	Advanced Diploma and Diploma	20
Abernethy	Bachelor	8
Abington (NSW)	Bachelor	3
Acacia Creek	Certificate I and II Level	3
Acacia Creek	Advanced Diploma and Diploma	6
Acacia Gardens	Certificate nfd	56
Acacia Gardens	Certificate I and II Level	23
Acacia Gardens	Certificate III and IV Level	415
Acacia Gardens	Advanced Diploma and Diploma	299
Acacia Gardens	Bachelor	650
Acacia Gardens	Graduate Diploma and Graduate Certificate	53
Acacia Gardens	Postgraduate	230
Adaminaby	Certificate nfd	7
Adaminaby	Certificate I and II Level	3
Adaminaby	Certificate III and IV Level	59
Adaminaby	Advanced Diploma and Diploma	25
Adaminaby	Bachelor	14
Adaminaby	Postgraduate	3
Adamstown	Certificate nfd	124
Adamstown	Certificate I and II Level	54
Adamstown	Certificate III and IV Level	914
Adamstown	Advanced Diploma and Diploma	466
Adamstown	Bachelor	845
Adamstown	Graduate Diploma and Graduate Certificate	102
Adamstown	Postgraduate	220
Adamstown Heights	Certificate nfd	123
Adamstown Heights	Certificate I and II Level	48
Adamstown Heights	Certificate III and IV Level	703
Adamstown Heights	Advanced Diploma and Diploma	451
Adamstown Heights	Bachelor	880
Adamstown Heights	Graduate Diploma and Graduate Certificate	106
Adamstown Heights	Postgraduate	243
Adelong	Certificate nfd	18
Adelong	Certificate I and II Level	18
Adelong	Certificate III and IV Level	173
Adelong	Advanced Diploma and Diploma	51
Adelong	Bachelor	38
Adelong	Graduate Diploma and Graduate Certificate	3
Adelong	Postgraduate	5
Adjungbilly	Certificate I and II Level	3
Adjungbilly	Certificate III and IV Level	17
Adjungbilly	Advanced Diploma and Diploma	4
Adjungbilly	Bachelor	6
Afterlee	Certificate III and IV Level	5
Afterlee	Advanced Diploma and Diploma	3
Agnes Banks	Certificate nfd	22
Agnes Banks	Certificate I and II Level	8
Agnes Banks	Certificate III and IV Level	160
Agnes Banks	Advanced Diploma and Diploma	54
Agnes Banks	Bachelor	57
Agnes Banks	Graduate Diploma and Graduate Certificate	6
Agnes Banks	Postgraduate	15
Airds	Certificate nfd	39
Airds	Certificate I and II Level	43
Airds	Certificate III and IV Level	235
Airds	Advanced Diploma and Diploma	96
Airds	Bachelor	28
Airds	Postgraduate	8
Akolele	Certificate nfd	4
Akolele	Certificate III and IV Level	13
Akolele	Bachelor	3
Akolele	Graduate Diploma and Graduate Certificate	5
Akolele	Postgraduate	6
Albert	Certificate I and II Level	3
Albert	Certificate III and IV Level	10
Albert	Advanced Diploma and Diploma	5
Albert	Bachelor	6
Albion Park	Certificate nfd	285
Albion Park	Certificate I and II Level	138
Albion Park	Certificate III and IV Level	2672
Albion Park	Advanced Diploma and Diploma	922
Albion Park	Bachelor	802
Albion Park	Graduate Diploma and Graduate Certificate	118
Albion Park	Postgraduate	160
Albion Park Rail	Certificate nfd	171
Albion Park Rail	Certificate I and II Level	98
Albion Park Rail	Certificate III and IV Level	1370
Albion Park Rail	Advanced Diploma and Diploma	415
Albion Park Rail	Bachelor	293
Albion Park Rail	Graduate Diploma and Graduate Certificate	39
Albion Park Rail	Postgraduate	47
Albury	Certificate nfd	88
Albury	Certificate I and II Level	33
Albury	Certificate III and IV Level	575
Albury	Advanced Diploma and Diploma	406
Albury	Bachelor	767
Albury	Graduate Diploma and Graduate Certificate	128
Albury	Postgraduate	226
Aldavilla	Certificate nfd	16
Aldavilla	Certificate I and II Level	13
Aldavilla	Certificate III and IV Level	153
Aldavilla	Advanced Diploma and Diploma	39
Aldavilla	Bachelor	44
Aldavilla	Postgraduate	3
Alectown	Certificate nfd	3
Alectown	Certificate I and II Level	4
Alectown	Certificate III and IV Level	15
Alectown	Advanced Diploma and Diploma	19
Alectown	Bachelor	14
Alexandria	Certificate nfd	101
Alexandria	Certificate I and II Level	43
Alexandria	Certificate III and IV Level	583
Alexandria	Advanced Diploma and Diploma	707
Alexandria	Bachelor	2492
Alexandria	Graduate Diploma and Graduate Certificate	267
Alexandria	Postgraduate	966
Alfords Point	Certificate nfd	78
Alfords Point	Certificate I and II Level	25
Alfords Point	Certificate III and IV Level	419
Alfords Point	Advanced Diploma and Diploma	290
Alfords Point	Bachelor	451
Alfords Point	Graduate Diploma and Graduate Certificate	56
Alfords Point	Postgraduate	118
Alfredtown	Certificate nfd	3
Alfredtown	Certificate III and IV Level	24
Alfredtown	Advanced Diploma and Diploma	9
Alfredtown	Bachelor	11
Alison (Central Coast - NSW)	Certificate III and IV Level	16
Alison (Central Coast - NSW)	Bachelor	3
Alison (Dungog - NSW)	Certificate III and IV Level	13
Alison (Dungog - NSW)	Advanced Diploma and Diploma	4
Alison (Dungog - NSW)	Bachelor	11
Alison (Dungog - NSW)	Postgraduate	3
Allambie Heights	Certificate nfd	144
Allambie Heights	Certificate I and II Level	42
Allambie Heights	Certificate III and IV Level	804
Allambie Heights	Advanced Diploma and Diploma	612
Allambie Heights	Bachelor	1098
Allambie Heights	Graduate Diploma and Graduate Certificate	137
Allambie Heights	Postgraduate	322
Allandale (NSW)	Certificate III and IV Level	7
Allandale (NSW)	Advanced Diploma and Diploma	8
Allandale (NSW)	Bachelor	3
Allawah	Certificate nfd	96
Allawah	Certificate I and II Level	35
Allawah	Certificate III and IV Level	400
Allawah	Advanced Diploma and Diploma	535
Allawah	Bachelor	1095
Allawah	Graduate Diploma and Graduate Certificate	62
Allawah	Postgraduate	478
Alleena	Certificate nfd	3
Alleena	Certificate III and IV Level	5
Alleena	Bachelor	3
Allgomera	Certificate I and II Level	5
Allgomera	Certificate III and IV Level	23
Allgomera	Advanced Diploma and Diploma	10
Allgomera	Bachelor	14
Allworth	Certificate nfd	8
Allworth	Certificate III and IV Level	38
Allworth	Advanced Diploma and Diploma	5
Allworth	Bachelor	5
Allynbrook	Certificate III and IV Level	12
Allynbrook	Advanced Diploma and Diploma	6
Allynbrook	Bachelor	10
Allynbrook	Graduate Diploma and Graduate Certificate	5
Allynbrook	Postgraduate	3
Alma Park	Certificate III and IV Level	5
Alma Park	Advanced Diploma and Diploma	3
Alma Park	Bachelor	3
Alpine	Certificate nfd	3
Alpine	Certificate III and IV Level	16
Alpine	Advanced Diploma and Diploma	12
Alpine	Bachelor	23
Alpine	Graduate Diploma and Graduate Certificate	3
Alpine	Postgraduate	7
Alstonvale	Certificate nfd	13
Alstonvale	Certificate III and IV Level	61
Alstonvale	Advanced Diploma and Diploma	44
Alstonvale	Bachelor	68
Alstonvale	Graduate Diploma and Graduate Certificate	12
Alstonvale	Postgraduate	11
Alstonville	Certificate nfd	118
Alstonville	Certificate I and II Level	58
Alstonville	Certificate III and IV Level	860
Alstonville	Advanced Diploma and Diploma	489
Alstonville	Bachelor	678
Alstonville	Graduate Diploma and Graduate Certificate	110
Alstonville	Postgraduate	141
Alumy Creek	Certificate III and IV Level	16
Alumy Creek	Advanced Diploma and Diploma	6
Alumy Creek	Bachelor	3
Amaroo (NSW)	Certificate III and IV Level	5
Amaroo (NSW)	Advanced Diploma and Diploma	3
Amaroo (NSW)	Bachelor	5
Amaroo (NSW)	Graduate Diploma and Graduate Certificate	3
Ambarvale	Certificate nfd	151
Ambarvale	Certificate I and II Level	103
Ambarvale	Certificate III and IV Level	1037
Ambarvale	Advanced Diploma and Diploma	433
Ambarvale	Bachelor	374
Ambarvale	Graduate Diploma and Graduate Certificate	39
Ambarvale	Postgraduate	82
Amosfield	Certificate III and IV Level	10
Amosfield	Advanced Diploma and Diploma	3
Amosfield	Bachelor	3
Anabranch North	Bachelor	3
Anabranch South	Certificate III and IV Level	3
Anabranch South	Bachelor	4
