SSC_NAME16	NonSchoolQualification	persons
Anambah	Certificate III and IV Level	8
Anambah	Advanced Diploma and Diploma	3
Ando	Certificate III and IV Level	17
Ando	Advanced Diploma and Diploma	7
Ando	Bachelor	8
Anembo	Certificate III and IV Level	12
Anembo	Advanced Diploma and Diploma	7
Anembo	Bachelor	3
Angledale	Certificate nfd	5
Angledale	Certificate III and IV Level	41
Angledale	Advanced Diploma and Diploma	7
Angledale	Bachelor	8
Angledool	Certificate III and IV Level	6
Angledool	Bachelor	3
Anglers Reach	Certificate nfd	5
Anglers Reach	Certificate III and IV Level	16
Anglers Reach	Advanced Diploma and Diploma	4
Anglers Reach	Bachelor	8
Anglers Reach	Postgraduate	3
Angourie	Certificate nfd	3
Angourie	Certificate III and IV Level	31
Angourie	Advanced Diploma and Diploma	21
Angourie	Bachelor	49
Angourie	Graduate Diploma and Graduate Certificate	4
Angourie	Postgraduate	12
Anna Bay	Certificate nfd	61
Anna Bay	Certificate I and II Level	37
Anna Bay	Certificate III and IV Level	777
Anna Bay	Advanced Diploma and Diploma	272
Anna Bay	Bachelor	221
Anna Bay	Graduate Diploma and Graduate Certificate	38
Anna Bay	Postgraduate	28
Annandale (NSW)	Certificate nfd	115
Annandale (NSW)	Certificate I and II Level	46
Annandale (NSW)	Certificate III and IV Level	556
Annandale (NSW)	Advanced Diploma and Diploma	652
Annandale (NSW)	Bachelor	2465
Annandale (NSW)	Graduate Diploma and Graduate Certificate	293
Annandale (NSW)	Postgraduate	1155
Annangrove	Certificate nfd	39
Annangrove	Certificate I and II Level	9
Annangrove	Certificate III and IV Level	240
Annangrove	Advanced Diploma and Diploma	122
Annangrove	Bachelor	158
Annangrove	Graduate Diploma and Graduate Certificate	15
Annangrove	Postgraduate	43
Appin (NSW)	Certificate nfd	37
Appin (NSW)	Certificate I and II Level	33
Appin (NSW)	Certificate III and IV Level	543
Appin (NSW)	Advanced Diploma and Diploma	184
Appin (NSW)	Bachelor	183
Appin (NSW)	Graduate Diploma and Graduate Certificate	28
Appin (NSW)	Postgraduate	31
Apple Tree Flat	Certificate nfd	3
Apple Tree Flat	Certificate III and IV Level	5
Apple Tree Flat	Bachelor	4
Appleby	Certificate III and IV Level	9
Appleby	Bachelor	4
Apsley (NSW)	Certificate nfd	3
Apsley (NSW)	Certificate I and II Level	5
Apsley (NSW)	Certificate III and IV Level	9
Apsley (NSW)	Advanced Diploma and Diploma	11
Apsley (NSW)	Bachelor	9
Arakoon	Certificate nfd	17
Arakoon	Certificate I and II Level	7
Arakoon	Certificate III and IV Level	89
Arakoon	Advanced Diploma and Diploma	61
Arakoon	Bachelor	45
Arakoon	Graduate Diploma and Graduate Certificate	3
Arakoon	Postgraduate	9
Araluen (NSW)	Certificate III and IV Level	25
Araluen (NSW)	Advanced Diploma and Diploma	14
Araluen (NSW)	Bachelor	17
Araluen (NSW)	Graduate Diploma and Graduate Certificate	6
Araluen (NSW)	Postgraduate	3
Arcadia (NSW)	Certificate nfd	33
Arcadia (NSW)	Certificate I and II Level	14
Arcadia (NSW)	Certificate III and IV Level	189
Arcadia (NSW)	Advanced Diploma and Diploma	129
Arcadia (NSW)	Bachelor	185
Arcadia (NSW)	Graduate Diploma and Graduate Certificate	29
Arcadia (NSW)	Postgraduate	62
Arcadia Vale	Certificate nfd	32
Arcadia Vale	Certificate I and II Level	18
Arcadia Vale	Certificate III and IV Level	305
Arcadia Vale	Advanced Diploma and Diploma	109
Arcadia Vale	Bachelor	89
Arcadia Vale	Graduate Diploma and Graduate Certificate	11
Arcadia Vale	Postgraduate	26
Ardglen	Certificate III and IV Level	10
Ardglen	Advanced Diploma and Diploma	3
Ardglen	Bachelor	3
Arding	Certificate nfd	6
Arding	Certificate I and II Level	4
Arding	Certificate III and IV Level	26
Arding	Advanced Diploma and Diploma	28
Arding	Bachelor	24
Arding	Graduate Diploma and Graduate Certificate	3
Arding	Postgraduate	11
Ardlethan	Certificate nfd	13
Ardlethan	Certificate I and II Level	11
Ardlethan	Certificate III and IV Level	67
Ardlethan	Advanced Diploma and Diploma	24
Ardlethan	Bachelor	26
Argalong	Certificate nfd	3
Argalong	Certificate III and IV Level	3
Argenton	Certificate nfd	16
Argenton	Certificate I and II Level	14
Argenton	Certificate III and IV Level	231
Argenton	Advanced Diploma and Diploma	60
Argenton	Bachelor	52
Argenton	Graduate Diploma and Graduate Certificate	3
Argenton	Postgraduate	5
Argents Hill	Certificate nfd	3
Argents Hill	Certificate I and II Level	9
Argents Hill	Certificate III and IV Level	57
Argents Hill	Advanced Diploma and Diploma	12
Argents Hill	Bachelor	13
Argoon (NSW)	Certificate III and IV Level	4
Argoon (NSW)	Advanced Diploma and Diploma	3
Argoon (NSW)	Bachelor	3
Ariah Park	Certificate nfd	12
Ariah Park	Certificate I and II Level	10
Ariah Park	Certificate III and IV Level	62
Ariah Park	Advanced Diploma and Diploma	28
Ariah Park	Bachelor	37
Ariah Park	Graduate Diploma and Graduate Certificate	4
Arkell	Certificate III and IV Level	6
Arkell	Advanced Diploma and Diploma	5
Arkell	Bachelor	5
Arkstone	Certificate III and IV Level	3
Armatree	Certificate nfd	3
Armatree	Certificate III and IV Level	14
Armatree	Advanced Diploma and Diploma	10
Armatree	Bachelor	12
Armidale	Certificate nfd	382
Armidale	Certificate I and II Level	264
Armidale	Certificate III and IV Level	2660
Armidale	Advanced Diploma and Diploma	1391
Armidale	Bachelor	2830
Armidale	Graduate Diploma and Graduate Certificate	517
Armidale	Postgraduate	1607
Arncliffe	Certificate nfd	154
Arncliffe	Certificate I and II Level	56
Arncliffe	Certificate III and IV Level	842
Arncliffe	Advanced Diploma and Diploma	770
Arncliffe	Bachelor	1730
Arncliffe	Graduate Diploma and Graduate Certificate	125
Arncliffe	Postgraduate	656
Arndell Park	Certificate III and IV Level	11
Arrawarra	Certificate nfd	15
Arrawarra	Certificate I and II Level	3
Arrawarra	Certificate III and IV Level	103
Arrawarra	Advanced Diploma and Diploma	34
Arrawarra	Bachelor	32
Arrawarra	Graduate Diploma and Graduate Certificate	3
Arrawarra	Postgraduate	3
Arrawarra Headland	Certificate nfd	13
Arrawarra Headland	Certificate I and II Level	7
Arrawarra Headland	Certificate III and IV Level	70
Arrawarra Headland	Advanced Diploma and Diploma	33
Arrawarra Headland	Bachelor	81
Arrawarra Headland	Graduate Diploma and Graduate Certificate	16
Arrawarra Headland	Postgraduate	17
Artarmon	Certificate nfd	119
Artarmon	Certificate I and II Level	31
Artarmon	Certificate III and IV Level	401
Artarmon	Advanced Diploma and Diploma	694
Artarmon	Bachelor	2518
Artarmon	Graduate Diploma and Graduate Certificate	256
Artarmon	Postgraduate	1220
Arthurville	Certificate nfd	3
Arthurville	Certificate III and IV Level	10
Arthurville	Bachelor	8
Arumpo	Certificate III and IV Level	9
Arumpo	Advanced Diploma and Diploma	4
Arumpo	Bachelor	3
Ashbury	Certificate nfd	63
Ashbury	Certificate I and II Level	13
Ashbury	Certificate III and IV Level	354
Ashbury	Advanced Diploma and Diploma	251
Ashbury	Bachelor	510
Ashbury	Graduate Diploma and Graduate Certificate	79
Ashbury	Postgraduate	209
Ashby (NSW)	Certificate nfd	14
Ashby (NSW)	Certificate I and II Level	3
Ashby (NSW)	Certificate III and IV Level	65
Ashby (NSW)	Advanced Diploma and Diploma	29
Ashby (NSW)	Bachelor	22
Ashby (NSW)	Graduate Diploma and Graduate Certificate	6
Ashby (NSW)	Postgraduate	13
Ashby Heights	Certificate nfd	3
Ashby Heights	Certificate I and II Level	4
Ashby Heights	Certificate III and IV Level	48
Ashby Heights	Advanced Diploma and Diploma	23
Ashby Heights	Bachelor	12
Ashby Heights	Postgraduate	4
Ashby Island	Certificate III and IV Level	5
Ashcroft	Certificate nfd	45
Ashcroft	Certificate I and II Level	38
Ashcroft	Certificate III and IV Level	284
Ashcroft	Advanced Diploma and Diploma	119
Ashcroft	Bachelor	109
Ashcroft	Graduate Diploma and Graduate Certificate	10
Ashcroft	Postgraduate	19
Ashfield (NSW)	Certificate nfd	318
Ashfield (NSW)	Certificate I and II Level	117
Ashfield (NSW)	Certificate III and IV Level	1457
Ashfield (NSW)	Advanced Diploma and Diploma	1901
Ashfield (NSW)	Bachelor	5363
Ashfield (NSW)	Graduate Diploma and Graduate Certificate	474
Ashfield (NSW)	Postgraduate	2399
Ashford (NSW)	Certificate nfd	14
Ashford (NSW)	Certificate I and II Level	8
Ashford (NSW)	Certificate III and IV Level	96
Ashford (NSW)	Advanced Diploma and Diploma	30
Ashford (NSW)	Bachelor	22
Ashford (NSW)	Graduate Diploma and Graduate Certificate	3
Ashford (NSW)	Postgraduate	4
Ashley	Certificate nfd	10
Ashley	Certificate I and II Level	3
Ashley	Certificate III and IV Level	55
Ashley	Advanced Diploma and Diploma	15
Ashley	Bachelor	12
Ashley	Graduate Diploma and Graduate Certificate	3
Ashley	Postgraduate	7
Ashmont	Certificate nfd	71
Ashmont	Certificate I and II Level	67
Ashmont	Certificate III and IV Level	551
Ashmont	Advanced Diploma and Diploma	138
Ashmont	Bachelor	118
Ashmont	Graduate Diploma and Graduate Certificate	18
Ashmont	Postgraduate	21
Ashtonfield	Certificate nfd	69
Ashtonfield	Certificate I and II Level	48
Ashtonfield	Certificate III and IV Level	791
Ashtonfield	Advanced Diploma and Diploma	384
Ashtonfield	Bachelor	434
Ashtonfield	Graduate Diploma and Graduate Certificate	70
Ashtonfield	Postgraduate	125
Asquith	Certificate nfd	84
Asquith	Certificate I and II Level	31
Asquith	Certificate III and IV Level	340
Asquith	Advanced Diploma and Diploma	329
Asquith	Bachelor	601
Asquith	Graduate Diploma and Graduate Certificate	67
Asquith	Postgraduate	242
Atholwood	Certificate nfd	5
Atholwood	Certificate III and IV Level	19
Atholwood	Advanced Diploma and Diploma	3
Attunga	Certificate nfd	7
Attunga	Certificate I and II Level	10
Attunga	Certificate III and IV Level	110
Attunga	Advanced Diploma and Diploma	32
Attunga	Bachelor	35
Attunga	Graduate Diploma and Graduate Certificate	11
Attunga	Postgraduate	4
Auburn (NSW)	Certificate nfd	382
Auburn (NSW)	Certificate I and II Level	206
Auburn (NSW)	Certificate III and IV Level	1920
Auburn (NSW)	Advanced Diploma and Diploma	2259
Auburn (NSW)	Bachelor	4296
Auburn (NSW)	Graduate Diploma and Graduate Certificate	229
Auburn (NSW)	Postgraduate	1751
Auburn Vale	Certificate nfd	5
Auburn Vale	Certificate I and II Level	3
Auburn Vale	Certificate III and IV Level	18
Auburn Vale	Advanced Diploma and Diploma	10
Auburn Vale	Bachelor	9
Auburn Vale	Graduate Diploma and Graduate Certificate	3
Austinmer	Certificate nfd	37
Austinmer	Certificate I and II Level	12
Austinmer	Certificate III and IV Level	258
Austinmer	Advanced Diploma and Diploma	229
Austinmer	Bachelor	540
Austinmer	Graduate Diploma and Graduate Certificate	103
Austinmer	Postgraduate	239
Austral	Certificate nfd	46
Austral	Certificate I and II Level	26
Austral	Certificate III and IV Level	408
Austral	Advanced Diploma and Diploma	143
Austral	Bachelor	150
Austral	Graduate Diploma and Graduate Certificate	5
Austral	Postgraduate	31
Austral Eden	Certificate nfd	4
Austral Eden	Certificate III and IV Level	21
Austral Eden	Advanced Diploma and Diploma	3
Austral Eden	Bachelor	4
Avalon Beach	Certificate nfd	244
Avalon Beach	Certificate I and II Level	55
Avalon Beach	Certificate III and IV Level	1092
Avalon Beach	Advanced Diploma and Diploma	1021
Avalon Beach	Bachelor	1690
Avalon Beach	Graduate Diploma and Graduate Certificate	216
Avalon Beach	Postgraduate	485
Avisford	Certificate III and IV Level	7
Avoca (NSW)	Certificate nfd	9
Avoca (NSW)	Certificate I and II Level	8
Avoca (NSW)	Certificate III and IV Level	30
Avoca (NSW)	Advanced Diploma and Diploma	23
Avoca (NSW)	Bachelor	21
Avoca (NSW)	Graduate Diploma and Graduate Certificate	4
Avoca (NSW)	Postgraduate	6
Avoca Beach	Certificate nfd	98
Avoca Beach	Certificate I and II Level	39
Avoca Beach	Certificate III and IV Level	620
Avoca Beach	Advanced Diploma and Diploma	454
Avoca Beach	Bachelor	684
Avoca Beach	Graduate Diploma and Graduate Certificate	92
Avoca Beach	Postgraduate	165
Avondale (NSW)	Certificate nfd	44
Avondale (NSW)	Certificate I and II Level	26
Avondale (NSW)	Certificate III and IV Level	327
Avondale (NSW)	Advanced Diploma and Diploma	108
Avondale (NSW)	Bachelor	84
Avondale (NSW)	Graduate Diploma and Graduate Certificate	21
Avondale (NSW)	Postgraduate	22
Avonside	Certificate III and IV Level	29
Avonside	Advanced Diploma and Diploma	22
Avonside	Bachelor	14
Awaba	Certificate nfd	5
Awaba	Certificate I and II Level	4
Awaba	Certificate III and IV Level	63
Awaba	Advanced Diploma and Diploma	25
Awaba	Bachelor	29
Awaba	Postgraduate	8
Aylmerton	Certificate nfd	3
Aylmerton	Certificate I and II Level	7
Aylmerton	Certificate III and IV Level	32
Aylmerton	Advanced Diploma and Diploma	22
Aylmerton	Bachelor	14
Aylmerton	Graduate Diploma and Graduate Certificate	3
Aylmerton	Postgraduate	4
Baan Baa	Certificate nfd	4
Baan Baa	Certificate III and IV Level	23
Baan Baa	Advanced Diploma and Diploma	9
Baan Baa	Bachelor	3
Back Creek (Bland - NSW)	Certificate nfd	3
Back Creek (Bland - NSW)	Certificate III and IV Level	4
Back Creek (Gwydir - NSW)	Bachelor	3
Back Creek (Mid-Coast - NSW)	Certificate III and IV Level	3
Back Creek (Mid-Coast - NSW)	Bachelor	4
Back Creek (Queanbeyan-Palerang Regional - NSW)	Graduate Diploma and Graduate Certificate	3
Back Creek (Queanbeyan-Palerang Regional - NSW)	Postgraduate	3
Back Creek (Tenterfield - NSW)	Certificate III and IV Level	3
Back Creek (Tweed - NSW)	Bachelor	4
Back Forest	Certificate nfd	4
Back Forest	Certificate III and IV Level	14
Back Forest	Advanced Diploma and Diploma	4
Back Forest	Bachelor	16
Back Forest	Postgraduate	9
Backmede	Certificate III and IV Level	34
Backmede	Advanced Diploma and Diploma	7
Backmede	Bachelor	9
Backmede	Graduate Diploma and Graduate Certificate	3
Backwater	Certificate III and IV Level	4
Backwater	Advanced Diploma and Diploma	4
Backwater	Bachelor	4
Badgerys Creek	Certificate nfd	3
Badgerys Creek	Certificate III and IV Level	21
Badgerys Creek	Advanced Diploma and Diploma	4
Badgerys Creek	Bachelor	7
Badgerys Creek	Graduate Diploma and Graduate Certificate	3
Badja	Bachelor	3
Baerami	Certificate III and IV Level	10
Baerami	Advanced Diploma and Diploma	3
Baerami	Bachelor	3
Baerami Creek	Certificate III and IV Level	8
Bagnoo	Certificate nfd	3
Bagnoo	Certificate III and IV Level	5
Bagnoo	Advanced Diploma and Diploma	3
Bago	Certificate III and IV Level	6
Bago	Advanced Diploma and Diploma	3
Bagotville	Certificate III and IV Level	9
Bagotville	Advanced Diploma and Diploma	6
Bagotville	Bachelor	8
Bagotville	Postgraduate	3
Bakers Creek (Mid-Coast - NSW)	Certificate III and IV Level	3
Bakers Creek (Mid-Coast - NSW)	Advanced Diploma and Diploma	7
Bakers Creek (Mid-Coast - NSW)	Bachelor	3
Bakers Creek (Uralla - NSW)	Certificate III and IV Level	3
Bakers Creek (Uralla - NSW)	Bachelor	3
Bakers Swamp	Certificate III and IV Level	5
Bakers Swamp	Advanced Diploma and Diploma	7
Bakers Swamp	Bachelor	12
Balaclava (NSW)	Certificate nfd	17
Balaclava (NSW)	Certificate I and II Level	9
Balaclava (NSW)	Certificate III and IV Level	90
Balaclava (NSW)	Advanced Diploma and Diploma	33
Balaclava (NSW)	Bachelor	31
Balaclava (NSW)	Graduate Diploma and Graduate Certificate	3
Balaclava (NSW)	Postgraduate	19
Balala	Certificate nfd	3
Balala	Certificate III and IV Level	19
Balala	Advanced Diploma and Diploma	7
Balala	Bachelor	12
Balala	Postgraduate	3
Balcolyn	Certificate nfd	19
Balcolyn	Certificate I and II Level	5
Balcolyn	Certificate III and IV Level	178
Balcolyn	Advanced Diploma and Diploma	84
Balcolyn	Bachelor	91
Balcolyn	Graduate Diploma and Graduate Certificate	11
Balcolyn	Postgraduate	21
Bald Blair	Certificate I and II Level	3
Bald Blair	Certificate III and IV Level	9
Bald Blair	Bachelor	3
Bald Hills (NSW)	Certificate nfd	6
Bald Hills (NSW)	Certificate I and II Level	3
Bald Hills (NSW)	Certificate III and IV Level	40
Bald Hills (NSW)	Advanced Diploma and Diploma	28
Bald Hills (NSW)	Bachelor	12
Bald Hills (NSW)	Graduate Diploma and Graduate Certificate	7
Bald Hills (NSW)	Postgraduate	10
Baldersleigh	Certificate III and IV Level	5
Baldersleigh	Advanced Diploma and Diploma	6
Baldersleigh	Postgraduate	8
Baldry	Certificate nfd	5
Baldry	Certificate III and IV Level	12
Baldry	Advanced Diploma and Diploma	13
Baldry	Bachelor	4
Balfours Peak	Certificate III and IV Level	6
Balfours Peak	Bachelor	4
Balgowlah	Certificate nfd	180
Balgowlah	Certificate I and II Level	34
Balgowlah	Certificate III and IV Level	572
Balgowlah	Advanced Diploma and Diploma	717
Balgowlah	Bachelor	1797
Balgowlah	Graduate Diploma and Graduate Certificate	207
Balgowlah	Postgraduate	582
Balgowlah Heights	Certificate nfd	51
Balgowlah Heights	Certificate I and II Level	12
Balgowlah Heights	Certificate III and IV Level	127
Balgowlah Heights	Advanced Diploma and Diploma	236
Balgowlah Heights	Bachelor	797
Balgowlah Heights	Graduate Diploma and Graduate Certificate	92
Balgowlah Heights	Postgraduate	311
Balgownie	Certificate nfd	121
Balgownie	Certificate I and II Level	49
Balgownie	Certificate III and IV Level	805
Balgownie	Advanced Diploma and Diploma	472
Balgownie	Bachelor	679
Balgownie	Graduate Diploma and Graduate Certificate	114
Balgownie	Postgraduate	235
