SSC_NAME16	PrivateDwelling	Sex	persons
Barraba	1	F	628
Barraba	1	M	591
Barrack Heights	0	F	125
Barrack Heights	0	M	130
Barrack Heights	1	F	2882
Barrack Heights	1	M	2701
Barrack Point	0	F	32
Barrack Point	0	M	36
Barrack Point	1	F	304
Barrack Point	1	M	308
Barraganyatti	0	F	5
Barraganyatti	0	M	5
Barraganyatti	1	F	58
Barraganyatti	1	M	64
Barragga Bay	0	F	10
Barragga Bay	0	M	4
Barragga Bay	1	F	47
Barragga Bay	1	M	44
Barratta (NSW)	1	M	3
Barrengarry	0	F	27
Barrengarry	0	M	22
Barrengarry	1	F	78
Barrengarry	1	M	82
Barretts Creek	1	F	5
Barretts Creek	1	M	4
Barringella	1	F	15
Barringella	1	M	11
Barrington (NSW)	0	F	16
Barrington (NSW)	0	M	15
Barrington (NSW)	1	F	161
Barrington (NSW)	1	M	161
Barry (Blayney - NSW)	0	F	8
Barry (Blayney - NSW)	1	F	70
Barry (Blayney - NSW)	1	M	77
Barry (Upper Hunter Shire - NSW)	1	M	3
Barwang	0	F	3
Barwang	0	M	4
Barwang	1	F	36
Barwang	1	M	40
Barwon	1	F	15
Barwon	1	M	18
Baryulgil	0	F	5
Baryulgil	0	M	6
Baryulgil	1	F	36
Baryulgil	1	M	31
Basin View	0	F	70
Basin View	0	M	46
Basin View	1	F	718
Basin View	1	M	672
Bass Hill	0	F	273
Bass Hill	0	M	316
Bass Hill	1	F	4370
Bass Hill	1	M	4270
Batar Creek	0	F	5
Batar Creek	0	M	6
Batar Creek	1	F	31
Batar Creek	1	M	34
Bateau Bay	0	F	490
Bateau Bay	0	M	306
Bateau Bay	1	F	5847
Bateau Bay	1	M	5265
Batehaven	0	F	159
Batehaven	0	M	118
Batehaven	1	F	806
Batehaven	1	M	717
Batemans Bay	0	F	167
Batemans Bay	0	M	234
Batemans Bay	1	F	650
Batemans Bay	1	M	623
Bathampton	1	F	17
Bathampton	1	M	15
Bathurst	0	F	435
Bathurst	0	M	546
Bathurst	1	F	3049
Bathurst	1	M	2920
Batlow	0	F	63
Batlow	0	M	56
Batlow	1	F	562
Batlow	1	M	591
Baulkham Hills	0	F	592
Baulkham Hills	0	M	478
Baulkham Hills	1	F	18228
Baulkham Hills	1	M	17488
Baw Baw (NSW)	0	F	11
Baw Baw (NSW)	0	M	20
Baw Baw (NSW)	1	F	109
Baw Baw (NSW)	1	M	110
Bawley Point	0	F	38
Bawley Point	0	M	34
Bawley Point	1	F	307
Bawley Point	1	M	301
Bayview (NSW)	0	F	161
Bayview (NSW)	0	M	95
Bayview (NSW)	1	F	1735
Bayview (NSW)	1	M	1516
Beacon Hill	0	F	107
Beacon Hill	0	M	96
Beacon Hill	1	F	3559
Beacon Hill	1	M	3556
Beaconsfield (NSW)	0	F	28
Beaconsfield (NSW)	0	M	28
Beaconsfield (NSW)	1	F	446
Beaconsfield (NSW)	1	M	461
Bean Creek	0	F	9
Bean Creek	0	M	6
Bean Creek	1	F	24
Bean Creek	1	M	29
Bearbong	0	F	4
Bearbong	1	F	22
Bearbong	1	M	30
Beaumont (NSW)	0	F	18
Beaumont (NSW)	0	M	12
Beaumont (NSW)	1	F	46
Beaumont (NSW)	1	M	50
Beaumont Hills	0	F	102
Beaumont Hills	0	M	88
Beaumont Hills	1	F	4389
Beaumont Hills	1	M	4364
Beckom	0	F	3
Beckom	0	M	8
Beckom	1	F	51
Beckom	1	M	60
Bective	0	F	14
Bective	0	M	9
Bective	1	F	90
Bective	1	M	94
Bectric	0	F	4
Bectric	0	M	3
Bectric	1	F	28
Bectric	1	M	23
Bedgerabong	0	F	11
Bedgerabong	0	M	7
Bedgerabong	1	F	63
Bedgerabong	1	M	78
Beechwood	0	F	11
Beechwood	0	M	10
Beechwood	1	F	307
Beechwood	1	M	271
Beecroft	0	F	210
Beecroft	0	M	152
Beecroft	1	F	4709
Beecroft	1	M	4222
Beelbangera	0	F	18
Beelbangera	0	M	16
Beelbangera	1	F	185
Beelbangera	1	M	183
Beemunnel	1	F	7
Beemunnel	1	M	9
Bega	0	F	269
Bega	0	M	215
Bega	1	F	2183
Bega	1	M	2016
Beggan Beggan	0	F	3
Beggan Beggan	0	M	3
Beggan Beggan	1	F	48
Beggan Beggan	1	M	41
Belanglo	0	F	3
Belanglo	0	M	4
Belanglo	1	F	13
Belanglo	1	M	4
Belbora	0	F	11
Belbora	0	M	7
Belbora	1	F	48
Belbora	1	M	53
Belfield	0	F	105
Belfield	0	M	91
Belfield	1	F	3143
Belfield	1	M	2949
Belford	0	F	12
Belford	0	M	13
Belford	1	F	73
Belford	1	M	70
Belfrayden	1	F	11
Belfrayden	1	M	11
Belgravia	1	F	60
Belgravia	1	M	54
Belimbla Park	0	F	16
Belimbla Park	0	M	8
Belimbla Park	1	F	276
Belimbla Park	1	M	268
Bell (NSW)	0	M	3
Bell (NSW)	1	F	21
Bell (NSW)	1	M	20
Bella Vista	0	F	256
Bella Vista	0	M	269
Bella Vista	1	F	3826
Bella Vista	1	M	3705
Bellambi	0	F	89
Bellambi	0	M	84
Bellambi	1	F	1947
Bellambi	1	M	1822
Bellangry	0	M	3
Bellangry	1	F	46
Bellangry	1	M	42
Bellata	0	F	15
Bellata	0	M	14
Bellata	1	F	146
Bellata	1	M	160
Bellawongarah	0	F	8
Bellawongarah	0	M	13
Bellawongarah	1	F	48
Bellawongarah	1	M	53
Bellbird	0	F	59
Bellbird	0	M	54
Bellbird	1	F	964
Bellbird	1	M	931
Bellbird Heights	0	F	10
Bellbird Heights	0	M	13
Bellbird Heights	1	F	404
Bellbird Heights	1	M	336
Bellbrook	0	F	13
Bellbrook	0	M	12
Bellbrook	1	F	129
Bellbrook	1	M	131
Bellevue Hill	0	F	433
Bellevue Hill	0	M	625
Bellevue Hill	1	F	5004
Bellevue Hill	1	M	4541
Bellimbopinni	0	F	11
Bellimbopinni	0	M	12
Bellimbopinni	1	F	54
Bellimbopinni	1	M	46
Bellingen	0	F	179
Bellingen	0	M	143
Bellingen	1	F	1876
Bellingen	1	M	1602
Bellmount Forest	1	F	66
Bellmount Forest	1	M	56
Belltrees	1	F	10
Belltrees	1	M	13
Belmont (NSW)	0	F	221
Belmont (NSW)	0	M	185
Belmont (NSW)	1	F	3442
Belmont (NSW)	1	M	3230
Belmont North	0	F	145
Belmont North	0	M	82
Belmont North	1	F	2991
Belmont North	1	M	2951
Belmont South	0	F	37
Belmont South	0	M	58
Belmont South	1	F	509
Belmont South	1	M	485
Belmore	0	F	375
Belmore	0	M	361
Belmore	1	F	5942
Belmore	1	M	5914
Belmore River	0	M	3
Belmore River	1	F	130
Belmore River	1	M	128
Beloka	1	F	12
Beloka	1	M	10
Belowra	1	F	7
Belowra	1	M	3
Belrose	0	F	396
Belrose	0	M	214
Belrose	1	F	4145
Belrose	1	M	3957
Bemboka	0	F	20
Bemboka	0	M	24
Bemboka	1	F	254
Bemboka	1	M	270
Ben Bullen	0	F	7
Ben Bullen	0	M	17
Ben Bullen	1	F	36
Ben Bullen	1	M	46
Ben Lomond (NSW)	0	F	4
Ben Lomond (NSW)	0	M	6
Ben Lomond (NSW)	1	F	67
Ben Lomond (NSW)	1	M	71
Benandarah	0	F	27
Benandarah	0	M	28
Benandarah	1	F	57
Benandarah	1	M	77
Bendalong	0	F	9
Bendalong	0	M	7
Bendalong	1	F	27
Bendalong	1	M	41
Bendemeer	0	F	20
Bendemeer	0	M	22
Bendemeer	1	F	212
Bendemeer	1	M	220
Bendick Murrell	0	F	11
Bendick Murrell	0	M	15
Bendick Murrell	1	F	67
Bendick Murrell	1	M	71
Bendolba	0	F	5
Bendolba	0	M	4
Bendolba	1	F	99
Bendolba	1	M	98
Bendoura	0	F	3
Bendoura	0	M	3
Bendoura	1	F	30
Bendoura	1	M	27
Benerembah	0	F	14
Benerembah	0	M	13
Benerembah	1	F	48
Benerembah	1	M	49
Bengalla	0	F	3
Bengalla	0	M	3
Bengalla	1	F	5
Bengalla	1	M	9
Bennetts Green	1	F	7
Bennetts Green	1	M	9
Benolong	1	F	19
Benolong	1	M	17
Bensville	0	F	19
Bensville	0	M	17
Bensville	1	F	1232
Bensville	1	M	1209
Bentley (NSW)	0	F	13
Bentley (NSW)	0	M	12
Bentley (NSW)	1	F	91
Bentley (NSW)	1	M	83
Berala	0	F	109
Berala	0	M	108
Berala	1	F	4212
Berala	1	M	4537
Berambing	0	F	3
Berambing	0	M	10
Berambing	1	F	47
Berambing	1	M	50
Beresfield	0	F	51
Beresfield	0	M	47
Beresfield	1	F	1486
Beresfield	1	M	1510
Bergalia	0	F	3
Bergalia	0	M	3
Bergalia	1	F	67
Bergalia	1	M	75
Berkeley	0	F	217
Berkeley	0	M	157
Berkeley	1	F	3646
Berkeley	1	M	3535
Berkeley Vale	0	F	219
Berkeley Vale	0	M	163
Berkeley Vale	1	F	4059
Berkeley Vale	1	M	3757
Berkshire Park	0	F	280
