SSC_NAME16	PrivateDwelling	Sex	persons
Aarons Pass	0	F	3
Aarons Pass	1	F	6
Aarons Pass	1	M	9
Abbotsbury	0	F	37
Abbotsbury	0	M	44
Abbotsbury	1	F	2141
Abbotsbury	1	M	2034
Abbotsford (NSW)	0	F	184
Abbotsford (NSW)	0	M	164
Abbotsford (NSW)	1	F	2625
Abbotsford (NSW)	1	M	2338
Abercrombie	0	F	17
Abercrombie	0	M	15
Abercrombie	1	F	554
Abercrombie	1	M	506
Abercrombie River	1	F	9
Abercrombie River	1	M	13
Aberdare	0	F	65
Aberdare	0	M	51
Aberdare	1	F	1164
Aberdare	1	M	1142
Aberdeen (NSW)	0	F	66
Aberdeen (NSW)	0	M	66
Aberdeen (NSW)	1	F	949
Aberdeen (NSW)	1	M	937
Aberfoyle	0	F	5
Aberfoyle	0	M	4
Aberfoyle	1	F	47
Aberfoyle	1	M	45
Aberglasslyn	0	F	77
Aberglasslyn	0	M	60
Aberglasslyn	1	F	2664
Aberglasslyn	1	M	2501
Abermain	0	F	50
Abermain	0	M	49
Abermain	1	F	1097
Abermain	1	M	1083
Abernethy	0	F	32
Abernethy	0	M	36
Abernethy	1	F	133
Abernethy	1	M	147
Abington (NSW)	1	F	8
Abington (NSW)	1	M	4
Acacia Creek	1	F	22
Acacia Creek	1	M	17
Acacia Gardens	0	F	31
Acacia Gardens	0	M	45
Acacia Gardens	1	F	1857
Acacia Gardens	1	M	1842
Adaminaby	0	F	84
Adaminaby	0	M	93
Adaminaby	1	F	137
Adaminaby	1	M	142
Adamstown	0	F	81
Adamstown	0	M	127
Adamstown	1	F	2980
Adamstown	1	M	2719
Adamstown Heights	0	F	40
Adamstown Heights	0	M	61
Adamstown Heights	1	F	2570
Adamstown Heights	1	M	2546
Adelong	0	F	24
Adelong	0	M	28
Adelong	1	F	429
Adelong	1	M	443
Adjungbilly	0	F	3
Adjungbilly	1	F	32
Adjungbilly	1	M	40
Afterlee	0	M	6
Afterlee	1	F	22
Afterlee	1	M	25
Agnes Banks	0	F	32
Agnes Banks	0	M	40
Agnes Banks	1	F	393
Agnes Banks	1	M	435
Airds	0	F	151
Airds	0	M	130
Airds	1	F	1467
Airds	1	M	1235
Akolele	0	F	22
Akolele	0	M	20
Akolele	1	F	60
Akolele	1	M	65
Albert	0	F	12
Albert	0	M	16
Albert	1	F	29
Albert	1	M	35
Albion Park	0	F	295
Albion Park	0	M	219
Albion Park	1	F	6489
Albion Park	1	M	6037
Albion Park Rail	0	F	261
Albion Park Rail	0	M	185
Albion Park Rail	1	F	3245
Albion Park Rail	1	M	3118
Albury	0	F	532
Albury	0	M	724
Albury	1	F	2114
Albury	1	M	1956
Aldavilla	0	F	66
Aldavilla	0	M	502
Aldavilla	1	F	322
Aldavilla	1	M	326
Alectown	0	F	3
Alectown	0	M	4
Alectown	1	F	84
Alectown	1	M	76
Alexandria	0	F	266
Alexandria	0	M	340
Alexandria	1	F	3694
Alexandria	1	M	3770
Alfords Point	0	F	20
Alfords Point	0	M	21
Alfords Point	1	F	1538
Alfords Point	1	M	1497
Alfredtown	0	F	6
Alfredtown	0	M	12
Alfredtown	1	F	43
Alfredtown	1	M	39
Alice	1	F	4
Alice	1	M	3
Alison (Central Coast - NSW)	0	M	3
Alison (Central Coast - NSW)	1	F	42
Alison (Central Coast - NSW)	1	M	43
Alison (Dungog - NSW)	0	M	4
Alison (Dungog - NSW)	1	F	31
Alison (Dungog - NSW)	1	M	39
Allambie Heights	0	F	198
Allambie Heights	0	M	106
Allambie Heights	1	F	3325
Allambie Heights	1	M	3216
Allandale (NSW)	0	F	3
Allandale (NSW)	1	F	31
Allandale (NSW)	1	M	38
Allawah	0	F	86
Allawah	0	M	89
Allawah	1	F	2733
Allawah	1	M	2738
Alleena	0	F	3
Alleena	0	M	6
Alleena	1	F	23
Alleena	1	M	25
Allgomera	0	F	4
Allgomera	0	M	4
Allgomera	1	F	61
Allgomera	1	M	55
Allworth	0	F	7
Allworth	0	M	11
Allworth	1	F	70
Allworth	1	M	86
Allynbrook	1	F	25
Allynbrook	1	M	35
Alma Park	1	F	26
Alma Park	1	M	24
Alpine	0	F	7
Alpine	0	M	11
Alpine	1	F	61
Alpine	1	M	60
Alstonvale	0	F	14
Alstonvale	0	M	8
Alstonvale	1	F	217
Alstonvale	1	M	198
Alstonville	0	F	237
Alstonville	0	M	155
Alstonville	1	F	2836
Alstonville	1	M	2432
Alumy Creek	0	M	3
Alumy Creek	1	F	45
Alumy Creek	1	M	39
Amaroo (NSW)	0	F	3
Amaroo (NSW)	0	M	3
Amaroo (NSW)	1	F	19
Amaroo (NSW)	1	M	18
Ambarvale	0	F	213
Ambarvale	0	M	177
Ambarvale	1	F	3554
Ambarvale	1	M	3390
Amosfield	1	F	16
Amosfield	1	M	17
Anabranch North	1	F	3
Anabranch North	1	M	3
Anabranch South	0	M	4
Anabranch South	1	F	13
Anabranch South	1	M	20
Anambah	0	F	7
Anambah	0	M	7
Anambah	1	F	7
Anambah	1	M	13
Ando	1	F	31
Ando	1	M	38
Anembo	0	F	7
Anembo	0	M	10
Anembo	1	F	24
Anembo	1	M	25
Angledale	0	F	4
Angledale	0	M	6
Angledale	1	F	68
Angledale	1	M	70
Angledool	0	F	7
Angledool	0	M	9
Angledool	1	F	15
Angledool	1	M	20
Anglers Reach	0	F	55
Anglers Reach	0	M	67
Anglers Reach	1	F	35
Anglers Reach	1	M	36
Angourie	0	F	13
Angourie	0	M	16
Angourie	1	F	98
Angourie	1	M	95
Anna Bay	0	F	196
Anna Bay	0	M	158
Anna Bay	1	F	1740
Anna Bay	1	M	1632
Annandale (NSW)	0	F	461
Annandale (NSW)	0	M	521
Annandale (NSW)	1	F	4348
Annandale (NSW)	1	M	3930
Annangrove	0	F	17
Annangrove	0	M	18
Annangrove	1	F	639
Annangrove	1	M	691
Appin (NSW)	0	F	48
Appin (NSW)	0	M	72
Appin (NSW)	1	F	1211
Appin (NSW)	1	M	1255
Apple Tree Flat	0	F	7
Apple Tree Flat	0	M	5
Apple Tree Flat	1	F	11
Apple Tree Flat	1	M	14
Appleby	1	F	16
Appleby	1	M	19
Appletree Flat	0	F	3
Appletree Flat	0	M	3
Appletree Flat	1	F	9
Appletree Flat	1	M	5
Apsley (NSW)	1	F	49
Apsley (NSW)	1	M	58
Arable	1	F	4
Arable	1	M	11
Arakoon	0	F	20
Arakoon	0	M	23
Arakoon	1	F	187
Arakoon	1	M	201
Araluen (NSW)	0	F	17
Araluen (NSW)	0	M	15
Araluen (NSW)	1	F	59
Araluen (NSW)	1	M	71
Aratula (NSW)	1	F	5
Arcadia (NSW)	0	F	19
Arcadia (NSW)	0	M	16
Arcadia (NSW)	1	F	655
Arcadia (NSW)	1	M	664
Arcadia Vale	0	F	16
Arcadia Vale	0	M	17
Arcadia Vale	1	F	640
Arcadia Vale	1	M	664
Ardglen	0	M	5
Ardglen	1	F	23
Ardglen	1	M	26
Arding	0	F	3
Arding	0	M	3
Arding	1	F	101
Arding	1	M	108
Ardlethan	0	F	39
Ardlethan	0	M	46
Ardlethan	1	F	216
Ardlethan	1	M	212
Argalong	1	F	16
Argalong	1	M	11
Argenton	0	F	36
Argenton	0	M	39
Argenton	1	F	642
Argenton	1	M	641
Argents Hill	0	F	7
Argents Hill	0	M	8
Argents Hill	1	F	86
Argents Hill	1	M	112
Argoon (NSW)	1	F	9
Argoon (NSW)	1	M	12
Ariah Park	0	F	17
Ariah Park	0	M	23
Ariah Park	1	F	210
Ariah Park	1	M	221
Arkell	0	F	4
Arkell	0	M	3
Arkell	1	F	16
Arkell	1	M	25
Arkstone	0	M	3
Arkstone	1	F	3
Arkstone	1	M	11
Armatree	0	F	4
Armatree	0	M	5
Armatree	1	F	63
Armatree	1	M	62
Armidale	0	F	2357
Armidale	0	M	2165
Armidale	1	F	10048
Armidale	1	M	9172
Arncliffe	0	F	392
Arncliffe	0	M	365
Arncliffe	1	F	4861
Arncliffe	1	M	4911
Arndell Park	0	F	24
Arndell Park	0	M	100
Arndell Park	1	F	3
Arndell Park	1	M	4
Arrawarra	0	F	100
Arrawarra	0	M	103
Arrawarra	1	F	245
Arrawarra	1	M	234
Arrawarra Headland	0	F	29
Arrawarra Headland	0	M	27
Arrawarra Headland	1	F	260
Arrawarra Headland	1	M	260
Artarmon	0	F	225
Artarmon	0	M	222
Artarmon	1	F	4588
Artarmon	1	M	4349
Arthurville	1	F	22
Arthurville	1	M	18
Arumpo	0	F	12
Arumpo	0	M	9
Arumpo	1	F	19
Arumpo	1	M	20
Ashbury	0	F	45
Ashbury	0	M	46
Ashbury	1	F	1618
Ashbury	1	M	1574
Ashby (NSW)	0	F	14
Ashby (NSW)	0	M	13
Ashby (NSW)	1	F	148
Ashby (NSW)	1	M	151
Ashby Heights	0	F	11
Ashby Heights	0	M	6
Ashby Heights	1	F	114
Ashby Heights	1	M	108
Ashby Island	0	F	3
Ashby Island	0	M	4
Ashby Island	1	F	4
Ashby Island	1	M	4
Ashcroft	0	F	187
Ashcroft	0	M	179
Ashcroft	1	F	1659
Ashcroft	1	M	1599
Ashfield (NSW)	0	F	1183
Ashfield (NSW)	0	M	1208
Ashfield (NSW)	1	F	10828
Ashfield (NSW)	1	M	10534
Ashford (NSW)	0	F	41
Ashford (NSW)	0	M	38
Ashford (NSW)	1	F	286
Ashford (NSW)	1	M	274
Ashley	0	F	18
Ashley	0	M	10
Ashley	1	F	156
Ashley	1	M	177
Ashmont	0	F	193
Ashmont	0	M	144
Ashmont	1	F	1798
Ashmont	1	M	1650
Ashtonfield	0	F	144
Ashtonfield	0	M	133
Ashtonfield	1	F	2241
Ashtonfield	1	M	2113
Asquith	0	F	76
Asquith	0	M	56
Asquith	1	F	1677
Asquith	1	M	1539
Atholwood	1	F	39
Atholwood	1	M	34
Attunga	0	F	18
Attunga	0	M	24
Attunga	1	F	259
Attunga	1	M	268
Auburn (NSW)	0	F	982
Auburn (NSW)	0	M	1044
Auburn (NSW)	1	F	15757
Auburn (NSW)	1	M	19460
Auburn Vale	0	F	5
Auburn Vale	0	M	4
Auburn Vale	1	F	47
Auburn Vale	1	M	52
Austinmer	0	F	59
Austinmer	0	M	51
Austinmer	1	F	1213
Austinmer	1	M	1127
Austral	0	F	274
Austral	0	M	215
Austral	1	F	1214
Austral	1	M	1286
Austral Eden	0	F	3
Austral Eden	0	M	3
Austral Eden	1	F	64
Austral Eden	1	M	72
Avalon Beach	0	F	248
Avalon Beach	0	M	185
Avalon Beach	1	F	4682
Avalon Beach	1	M	4436
Avisford	0	M	4
Avisford	1	F	8
Avisford	1	M	13
Avoca (NSW)	0	F	4
Avoca (NSW)	0	M	7
Avoca (NSW)	1	F	99
Avoca (NSW)	1	M	92
Avoca Beach	0	F	112
Avoca Beach	0	M	140
Avoca Beach	1	F	2151
Avoca Beach	1	M	2099
Avondale (NSW)	0	F	37
Avondale (NSW)	0	M	39
Avondale (NSW)	1	F	806
Avondale (NSW)	1	M	775
Avonside	0	F	21
Avonside	0	M	28
Avonside	1	F	61
Avonside	1	M	59
Awaba	0	F	7
Awaba	0	M	3
Awaba	1	F	187
Awaba	1	M	204
Aylmerton	1	F	86
Aylmerton	1	M	87
Baan Baa	0	F	4
Baan Baa	0	M	10
Baan Baa	1	F	69
Baan Baa	1	M	77
Babinda (NSW)	1	M	3
Babyl Creek	1	F	3
Babyl Creek	1	M	8
Back Creek (Bland - NSW)	0	F	7
Back Creek (Bland - NSW)	0	M	11
Back Creek (Bland - NSW)	1	F	18
Back Creek (Bland - NSW)	1	M	18
Back Creek (Gwydir - NSW)	1	F	7
Back Creek (Gwydir - NSW)	1	M	10
Back Creek (Mid-Coast - NSW)	1	F	11
Back Creek (Mid-Coast - NSW)	1	M	17
Back Creek (Queanbeyan-Palerang Regional - NSW)	0	M	4
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	F	7
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	M	4
Back Creek (Tenterfield - NSW)	1	F	3
Back Creek (Tenterfield - NSW)	1	M	11
Back Creek (Tweed - NSW)	1	F	7
Back Creek (Tweed - NSW)	1	M	5
Back Forest	0	F	3
Back Forest	1	F	35
Back Forest	1	M	35
Backmede	0	F	10
Backmede	0	M	10
Backmede	1	F	66
Backmede	1	M	73
Backwater	1	F	8
Backwater	1	M	8
Badgerys Creek	0	F	8
Badgerys Creek	0	M	4
Badgerys Creek	1	F	97
Badgerys Creek	1	M	108
Badja	1	M	3
Baerami	0	F	6
Baerami	0	M	4
Baerami	1	F	23
Baerami	1	M	31
Baerami Creek	0	F	5
Baerami Creek	0	M	12
Baerami Creek	1	F	15
Baerami Creek	1	M	15
Bagnoo	1	F	12
Bagnoo	1	M	23
Bago	0	F	4
Bago	1	F	17
Bago	1	M	20
Bagotville	0	F	3
Bagotville	0	M	3
Bagotville	1	F	16
Bagotville	1	M	25
Bakers Creek (Mid-Coast - NSW)	1	F	19
Bakers Creek (Mid-Coast - NSW)	1	M	19
Bakers Creek (Nambucca - NSW)	0	F	7
Bakers Creek (Nambucca - NSW)	0	M	4
Bakers Creek (Nambucca - NSW)	1	F	3
Bakers Creek (Nambucca - NSW)	1	M	8
Bakers Creek (Uralla - NSW)	1	F	4
Bakers Creek (Uralla - NSW)	1	M	8
Bakers Swamp	0	M	4
Bakers Swamp	1	F	22
Bakers Swamp	1	M	24
Balaclava (NSW)	0	F	24
Balaclava (NSW)	0	M	18
Balaclava (NSW)	1	F	232
Balaclava (NSW)	1	M	209
Balala	0	F	11
Balala	0	M	16
Balala	1	F	49
Balala	1	M	55
Balcolyn	0	F	17
Balcolyn	0	M	25
Balcolyn	1	F	472
Balcolyn	1	M	432
Bald Blair	1	F	22
Bald Blair	1	M	28
Bald Hills (NSW)	0	F	3
Bald Hills (NSW)	0	M	6
Bald Hills (NSW)	1	F	111
Bald Hills (NSW)	1	M	118
Bald Nob	1	F	4
Bald Nob	1	M	9
Bald Ridge	1	F	5
Bald Ridge	1	M	3
Baldersleigh	0	F	3
Baldersleigh	0	M	3
Baldersleigh	1	F	23
Baldersleigh	1	M	20
Baldry	0	F	4
Baldry	1	F	47
Baldry	1	M	45
Balfours Peak	1	F	11
Balfours Peak	1	M	19
Balgowlah	0	F	190
Balgowlah	0	M	184
Balgowlah	1	F	3856
Balgowlah	1	M	3537
Balgowlah Heights	0	F	39
Balgowlah Heights	0	M	40
Balgowlah Heights	1	F	1641
Balgowlah Heights	1	M	1525
Balgownie	0	F	84
Balgownie	0	M	72
Balgownie	1	F	2742
Balgownie	1	M	2531
Balickera	1	F	10
Balickera	1	M	9
Balladoran	0	F	3
Balladoran	0	M	7
Balladoran	1	F	47
Balladoran	1	M	50
Ballalaba	1	F	10
Ballalaba	1	M	17
Balldale	0	F	10
Balldale	0	M	10
Balldale	1	F	64
Balldale	1	M	74
Ballengarra	0	F	5
Ballengarra	0	M	9
Ballengarra	1	F	48
Ballengarra	1	M	36
Ballimore	0	F	15
Ballimore	0	M	13
Ballimore	1	F	80
Ballimore	1	M	73
Ballina	0	F	774
Ballina	0	M	651
Ballina	1	F	4012
Ballina	1	M	3469
Ballyroe	1	F	3
Ballyroe	1	M	8
Balmain	0	F	469
Balmain	0	M	549
Balmain	1	F	4905
Balmain	1	M	4380
Balmain East	0	F	76
Balmain East	0	M	75
Balmain East	1	F	881
Balmain East	1	M	847
Balmoral (Lake Macquarie - NSW)	0	F	5
Balmoral (Lake Macquarie - NSW)	0	M	3
Balmoral (Lake Macquarie - NSW)	1	F	335
Balmoral (Lake Macquarie - NSW)	1	M	346
Balmoral (Wingecarribee - NSW)	0	F	7
Balmoral (Wingecarribee - NSW)	0	M	10
Balmoral (Wingecarribee - NSW)	1	F	198
Balmoral (Wingecarribee - NSW)	1	M	212
Balranald	0	F	104
Balranald	0	M	138
Balranald	1	F	587
Balranald	1	M	620
Bamarang	1	F	12
Bamarang	1	M	9
Bandon Grove	0	F	4
Bandon Grove	0	M	6
Bandon Grove	1	F	49
Bandon Grove	1	M	47
Bangadang	1	F	9
Bangadang	1	M	4
Bangalee (NSW)	0	F	10
Bangalee (NSW)	0	M	8
Bangalee (NSW)	1	F	311
Bangalee (NSW)	1	M	302
Bangalow	0	F	105
Bangalow	0	M	68
Bangalow	1	F	943
Bangalow	1	M	865
Bangheet	0	F	3
Bangheet	0	M	4
Bangheet	1	F	19
Bangheet	1	M	23
Bango	0	F	3
Bango	1	F	43
Bango	1	M	51
Bangor (NSW)	0	F	124
Bangor (NSW)	0	M	67
Bangor (NSW)	1	F	2651
Bangor (NSW)	1	M	2632
Banksia	0	F	73
Banksia	0	M	73
Banksia	1	F	1626
Banksia	1	M	1568
Banksmeadow	0	F	3
Banksmeadow	0	M	7
Banksmeadow	1	F	3
Banksmeadow	1	M	3
Bankstown	0	F	1492
Bankstown	0	M	1418
Bankstown	1	F	14935
Bankstown	1	M	14556
Bannaby	0	F	3
Bannaby	1	F	14
Bannaby	1	M	15
Bannister (NSW)	0	F	4
Bannister (NSW)	0	M	3
Bannister (NSW)	1	F	56
Bannister (NSW)	1	M	59
Banoon	1	F	9
Banoon	1	M	12
Banora Point	0	F	448
Banora Point	0	M	336
Banora Point	1	F	8071
Banora Point	1	M	7009
Banyabba	1	F	22
Banyabba	1	M	24
Bar Beach	0	F	35
Bar Beach	0	M	56
Bar Beach	1	F	509
Bar Beach	1	M	571
Bar Point	0	F	5
Bar Point	0	M	3
Bar Point	1	F	29
Bar Point	1	M	31
Bara	1	F	8
Bara	1	M	13
Baradine	0	F	32
Baradine	0	M	22
Baradine	1	F	351
Baradine	1	M	364
Barangaroo	0	F	40
Barangaroo	0	M	52
Barangaroo	1	F	44
Barangaroo	1	M	53
Barden Ridge	0	F	84
Barden Ridge	0	M	41
Barden Ridge	1	F	2054
Barden Ridge	1	M	2043
Bardia	0	F	33
Bardia	0	M	42
Bardia	1	F	765
Bardia	1	M	761
Bardwell Park	0	F	24
Bardwell Park	0	M	27
Bardwell Park	1	F	1097
Bardwell Park	1	M	1063
Bardwell Valley	0	F	46
Bardwell Valley	0	M	32
Bardwell Valley	1	F	1144
Bardwell Valley	1	M	1082
Barellan	0	F	18
Barellan	0	M	26
Barellan	1	F	227
Barellan	1	M	267
Bargo	0	F	75
Bargo	0	M	97
Bargo	1	F	2080
Bargo	1	M	2081
Barham	0	F	98
Barham	0	M	146
Barham	1	F	664
Barham	1	M	627
Barigan	1	F	3
Barkers Vale	0	F	7
Barkers Vale	0	M	6
Barkers Vale	1	F	68
Barkers Vale	1	M	77
Barmedman	0	F	15
Barmedman	0	M	10
Barmedman	1	F	204
Barmedman	1	M	219
Barnsley	0	F	32
Barnsley	0	M	25
Barnsley	1	F	813
Barnsley	1	M	828
Barooga	0	F	96
Barooga	0	M	139
Barooga	1	F	784
Barooga	1	M	798
Barraba	0	F	74
Barraba	0	M	76
