SSC_NAME16	AgeStudent	students
Abbotsbury	0-4	68
Abbotsbury	5-14	501
Abbotsbury	15-19	283
Abbotsbury	20-24	166
Abbotsbury	25+	93
Abbotsford (NSW)	0-4	73
Abbotsford (NSW)	5-14	492
Abbotsford (NSW)	15-19	196
Abbotsford (NSW)	20-24	83
Abbotsford (NSW)	25+	179
Abercrombie	0-4	13
Abercrombie	5-14	205
Abercrombie	15-19	68
Abercrombie	20-24	25
Abercrombie	25+	36
Aberdare	0-4	44
Aberdare	5-14	283
Aberdare	15-19	111
Aberdare	20-24	22
Aberdare	25+	66
Aberdeen (NSW)	0-4	42
Aberdeen (NSW)	5-14	278
Aberdeen (NSW)	15-19	95
Aberdeen (NSW)	20-24	13
Aberdeen (NSW)	25+	45
Aberfoyle	5-14	16
Aberfoyle	15-19	6
Aberfoyle	25+	3
Aberglasslyn	0-4	120
Aberglasslyn	5-14	865
Aberglasslyn	15-19	294
Aberglasslyn	20-24	99
Aberglasslyn	25+	202
Abermain	0-4	44
Abermain	5-14	288
Abermain	15-19	102
Abermain	20-24	23
Abermain	25+	69
Abernethy	0-4	7
Abernethy	5-14	47
Abernethy	15-19	16
Abernethy	20-24	3
Abernethy	25+	10
Acacia Creek	0-4	5
Acacia Creek	5-14	4
Acacia Creek	15-19	4
Acacia Creek	25+	3
Acacia Gardens	0-4	78
Acacia Gardens	5-14	569
Acacia Gardens	15-19	195
Acacia Gardens	20-24	117
Acacia Gardens	25+	132
Adaminaby	5-14	22
Adaminaby	15-19	11
Adaminaby	25+	3
Adamstown	0-4	91
Adamstown	5-14	725
Adamstown	15-19	271
Adamstown	20-24	218
Adamstown	25+	272
Adamstown Heights	0-4	109
Adamstown Heights	5-14	728
Adamstown Heights	15-19	245
Adamstown Heights	20-24	129
Adamstown Heights	25+	168
Adelong	0-4	16
Adelong	5-14	132
Adelong	15-19	37
Adelong	20-24	4
Adelong	25+	17
Adjungbilly	5-14	22
Adjungbilly	15-19	8
Afterlee	5-14	7
Agnes Banks	0-4	16
Agnes Banks	5-14	150
Agnes Banks	15-19	53
Agnes Banks	20-24	21
Agnes Banks	25+	25
Airds	0-4	46
Airds	5-14	467
