SSC_NAME16	AgeStudent	students
Airds	15-19	143
Airds	20-24	32
Airds	25+	57
Akolele	5-14	24
Akolele	15-19	6
Albert	5-14	15
Albion Park	0-4	292
Albion Park	5-14	1934
Albion Park	15-19	801
Albion Park	20-24	234
Albion Park	25+	313
Albion Park Rail	0-4	125
Albion Park Rail	5-14	759
Albion Park Rail	15-19	286
Albion Park Rail	20-24	100
Albion Park Rail	25+	197
Albury	0-4	53
Albury	5-14	457
Albury	15-19	208
Albury	20-24	98
Albury	25+	182
Aldavilla	0-4	9
Aldavilla	5-14	66
Aldavilla	15-19	33
Aldavilla	20-24	5
Aldavilla	25+	16
Alectown	0-4	3
Alectown	5-14	14
Alectown	15-19	6
Alectown	20-24	3
Alectown	25+	8
Alexandria	0-4	76
Alexandria	5-14	386
Alexandria	15-19	130
Alexandria	20-24	242
Alexandria	25+	574
Alfords Point	0-4	49
Alfords Point	5-14	364
Alfords Point	15-19	207
Alfords Point	20-24	129
Alfords Point	25+	81
Alfredtown	5-14	18
Alfredtown	15-19	3
Alfredtown	25+	3
Alison (Central Coast - NSW)	5-14	12
Alison (Central Coast - NSW)	15-19	4
Alison (Central Coast - NSW)	25+	3
Alison (Dungog - NSW)	0-4	3
Alison (Dungog - NSW)	5-14	9
Alison (Dungog - NSW)	15-19	4
Allambie Heights	0-4	150
Allambie Heights	5-14	1044
Allambie Heights	15-19	381
Allambie Heights	20-24	143
Allambie Heights	25+	209
Allandale (NSW)	5-14	12
Allandale (NSW)	15-19	4
Allandale (NSW)	20-24	3
Allawah	0-4	63
Allawah	5-14	431
Allawah	15-19	243
Allawah	20-24	303
Allawah	25+	398
Alleena	5-14	8
Alleena	15-19	3
Allgomera	5-14	15
Allgomera	15-19	10
Allgomera	25+	5
Allworth	0-4	3
Allworth	5-14	26
Allworth	25+	4
Allynbrook	5-14	5
Allynbrook	25+	3
Alma Park	5-14	18
Alpine	5-14	22
Alpine	15-19	7
Alpine	25+	3
Alstonvale	0-4	3
Alstonvale	5-14	47
Alstonvale	15-19	34
Alstonvale	20-24	4
Alstonvale	25+	11
Alstonville	0-4	88
Alstonville	5-14	633
Alstonville	15-19	250
Alstonville	20-24	41
Alstonville	25+	179
Alumy Creek	5-14	9
Alumy Creek	25+	4
Amaroo (NSW)	5-14	3
Amaroo (NSW)	15-19	4
Ambarvale	0-4	116
Ambarvale	5-14	1007
Ambarvale	15-19	345
Ambarvale	20-24	135
Ambarvale	25+	192
Amosfield	15-19	3
Anabranch South	5-14	8
Anabranch South	25+	3
Ando	5-14	4
Ando	15-19	5
Anembo	5-14	9
Angledale	5-14	13
Angledale	15-19	4
Angledale	25+	3
Angledool	5-14	4
Angledool	15-19	6
Anglers Reach	5-14	4
Angourie	5-14	20
Angourie	15-19	6
Angourie	20-24	3
Angourie	25+	5
Anna Bay	0-4	47
Anna Bay	5-14	391
Anna Bay	15-19	187
Anna Bay	20-24	43
Anna Bay	25+	83
Annandale (NSW)	0-4	133
Annandale (NSW)	5-14	877
Annandale (NSW)	15-19	291
Annandale (NSW)	20-24	349
Annandale (NSW)	25+	565
Annangrove	0-4	11
Annangrove	5-14	181
Annangrove	15-19	98
Annangrove	20-24	43
Annangrove	25+	25
Appin (NSW)	0-4	60
Appin (NSW)	5-14	387
Appin (NSW)	15-19	134
Appin (NSW)	20-24	29
Appin (NSW)	25+	57
Apple Tree Flat	5-14	4
Appleby	5-14	10
Appleby	15-19	4
Appletree Flat	5-14	3
Apsley (NSW)	0-4	3
Apsley (NSW)	5-14	13
Apsley (NSW)	15-19	4
Arakoon	0-4	6
Arakoon	5-14	27
Arakoon	15-19	15
Arakoon	20-24	5
Arakoon	25+	6
Araluen (NSW)	5-14	5
Araluen (NSW)	15-19	7
Araluen (NSW)	25+	4
Aratula (NSW)	0-4	3
Arcadia (NSW)	0-4	18
Arcadia (NSW)	5-14	216
Arcadia (NSW)	15-19	80
Arcadia (NSW)	20-24	42
Arcadia (NSW)	25+	43
Arcadia Vale	0-4	20
Arcadia Vale	5-14	158
Arcadia Vale	15-19	58
Arcadia Vale	20-24	17
Arcadia Vale	25+	36
Ardglen	5-14	12
Arding	5-14	29
Arding	15-19	11
Arding	20-24	5
Arding	25+	4
Ardlethan	0-4	3
Ardlethan	5-14	36
Ardlethan	15-19	12
Ardlethan	20-24	3
Argalong	5-14	8
Argenton	0-4	17
Argenton	5-14	142
Argenton	15-19	42
Argenton	20-24	15
Argenton	25+	43
Argents Hill	0-4	3
Argents Hill	5-14	21
Argents Hill	15-19	3
Argents Hill	25+	6
Argoon (NSW)	5-14	3
Ariah Park	0-4	14
Ariah Park	5-14	73
Ariah Park	15-19	24
Ariah Park	25+	7
Arkstone	5-14	3
Arkstone	15-19	3
Arkstone	25+	3
Armatree	0-4	5
Armatree	5-14	26
Armatree	15-19	7
Armatree	20-24	3
Armidale	0-4	342
Armidale	5-14	2610
Armidale	15-19	1686
Armidale	20-24	1465
Armidale	25+	1414
Arncliffe	0-4	124
Arncliffe	5-14	936
Arncliffe	15-19	425
Arncliffe	20-24	475
Arncliffe	25+	659
Arndell Park	15-19	3
Arrawarra	5-14	21
Arrawarra	15-19	9
Arrawarra	20-24	3
Arrawarra	25+	8
Arrawarra Headland	0-4	7
Arrawarra Headland	5-14	48
Arrawarra Headland	15-19	33
Arrawarra Headland	20-24	3
Arrawarra Headland	25+	8
Artarmon	0-4	145
Artarmon	5-14	1114
Artarmon	15-19	365
Artarmon	20-24	292
Artarmon	25+	584
Arumpo	5-14	4
Ashbury	0-4	62
Ashbury	5-14	457
Ashbury	15-19	200
Ashbury	20-24	80
Ashbury	25+	105
Ashby (NSW)	0-4	3
Ashby (NSW)	5-14	25
Ashby (NSW)	15-19	8
Ashby (NSW)	20-24	3
Ashby (NSW)	25+	8
Ashby Heights	5-14	19
Ashby Heights	15-19	5
Ashby Heights	20-24	4
Ashby Heights	25+	5
Ashcroft	0-4	58
Ashcroft	5-14	486
Ashcroft	15-19	189
Ashcroft	20-24	66
Ashcroft	25+	85
Ashfield (NSW)	0-4	248
Ashfield (NSW)	5-14	1547
Ashfield (NSW)	15-19	828
Ashfield (NSW)	20-24	1354
Ashfield (NSW)	25+	1929
Ashford (NSW)	0-4	13
Ashford (NSW)	5-14	68
Ashford (NSW)	15-19	32
Ashford (NSW)	25+	12
Ashley	0-4	10
Ashley	5-14	54
Ashley	15-19	7
Ashley	20-24	11
Ashley	25+	7
Ashmont	0-4	60
Ashmont	5-14	486
Ashmont	15-19	148
Ashmont	20-24	54
Ashmont	25+	93
Ashtonfield	0-4	93
Ashtonfield	5-14	756
Ashtonfield	15-19	252
Ashtonfield	20-24	87
Ashtonfield	25+	144
Asquith	0-4	43
Asquith	5-14	469
Asquith	15-19	179
Asquith	20-24	103
Asquith	25+	122
Atholwood	5-14	12
Atholwood	15-19	3
Atholwood	25+	4
Attunga	0-4	7
Attunga	5-14	65
Attunga	15-19	13
Attunga	20-24	4
Attunga	25+	14
Auburn (NSW)	0-4	419
Auburn (NSW)	5-14	3846
Auburn (NSW)	15-19	1786
Auburn (NSW)	20-24	1893
Auburn (NSW)	25+	2568
Auburn Vale	0-4	3
Auburn Vale	5-14	14
Auburn Vale	20-24	3
Austinmer	0-4	50
Austinmer	5-14	343
Austinmer	15-19	129
Austinmer	20-24	65
Austinmer	25+	101
Austral	0-4	30
Austral	5-14	296
Austral	15-19	143
Austral	20-24	60
Austral	25+	50
Austral Eden	5-14	23
Austral Eden	15-19	4
Austral Eden	25+	3
Avalon Beach	0-4	197
Avalon Beach	5-14	1323
Avalon Beach	15-19	571
Avalon Beach	20-24	217
Avalon Beach	25+	254
Avisford	5-14	3
Avoca (NSW)	0-4	3
Avoca (NSW)	5-14	35
Avoca (NSW)	15-19	13
Avoca (NSW)	25+	3
Avoca Beach	0-4	91
Avoca Beach	5-14	687
Avoca Beach	15-19	275
Avoca Beach	20-24	85
Avoca Beach	25+	148
Avondale (NSW)	0-4	36
Avondale (NSW)	5-14	172
Avondale (NSW)	15-19	53
Avondale (NSW)	20-24	25
Avondale (NSW)	25+	38
Avonside	5-14	21
Avonside	15-19	7
Avonside	25+	4
Awaba	0-4	3
Awaba	5-14	56
Awaba	15-19	20
Awaba	20-24	9
Awaba	25+	18
Aylmerton	5-14	14
Aylmerton	15-19	5
Aylmerton	20-24	4
Aylmerton	25+	5
Baan Baa	0-4	3
Baan Baa	5-14	16
Baan Baa	15-19	3
Baan Baa	25+	3
Babyl Creek	5-14	3
Back Creek (Bland - NSW)	5-14	8
Back Creek (Gwydir - NSW)	5-14	3
Back Forest	5-14	5
Back Forest	15-19	5
Back Forest	20-24	3
Back Forest	25+	6
Backmede	0-4	4
Backmede	5-14	18
Backmede	15-19	10
Backmede	20-24	6
Badgerys Creek	0-4	3
Badgerys Creek	5-14	31
Badgerys Creek	15-19	8
Badgerys Creek	20-24	3
Badgerys Creek	25+	3
Baerami	5-14	8
Baerami	15-19	3
Baerami Creek	5-14	4
Baerami Creek	15-19	4
Bagnoo	5-14	9
Bago	5-14	4
Bago	15-19	4
Bagotville	15-19	3
Bakers Creek (Mid-Coast - NSW)	5-14	3
Bakers Swamp	5-14	3
Balaclava (NSW)	0-4	5
Balaclava (NSW)	5-14	40
Balaclava (NSW)	15-19	15
Balaclava (NSW)	20-24	11
Balaclava (NSW)	25+	18
Balala	5-14	14
Balcolyn	0-4	10
Balcolyn	5-14	118
Balcolyn	15-19	32
Balcolyn	20-24	9
Balcolyn	25+	26
Bald Blair	5-14	7
Bald Blair	15-19	3
Bald Hills (NSW)	0-4	5
Bald Hills (NSW)	5-14	40
Bald Hills (NSW)	15-19	11
Bald Hills (NSW)	25+	3
Bald Nob	5-14	3
Baldersleigh	5-14	7
Baldersleigh	15-19	3
Baldry	5-14	25
Baldry	25+	3
Balfours Peak	0-4	3
Balfours Peak	5-14	11
Balgowlah	0-4	166
Balgowlah	5-14	1015
Balgowlah	15-19	296
Balgowlah	20-24	162
Balgowlah	25+	275
Balgowlah Heights	0-4	75
Balgowlah Heights	5-14	671
Balgowlah Heights	15-19	224
Balgowlah Heights	20-24	91
Balgowlah Heights	25+	66
Balgownie	0-4	93
Balgownie	5-14	640
Balgownie	15-19	296
Balgownie	20-24	130
Balgownie	25+	166
Balickera	5-14	4
Balickera	15-19	5
Balickera	25+	3
Balladoran	5-14	13
Balladoran	15-19	6
Balladoran	20-24	3
Balldale	5-14	23
Balldale	15-19	9
Balldale	25+	3
Ballengarra	0-4	3
Ballengarra	5-14	19
Ballengarra	15-19	7
Ballengarra	25+	3
Ballimore	0-4	3
Ballimore	5-14	18
Ballimore	15-19	10
Ballimore	20-24	3
Ballimore	25+	4
Ballina	0-4	73
Ballina	5-14	584
Ballina	15-19	229
Ballina	20-24	79
Ballina	25+	220
Balmain	0-4	180
Balmain	5-14	1002
Balmain	15-19	293
Balmain	20-24	201
Balmain	25+	446
Balmain East	0-4	26
Balmain East	5-14	187
Balmain East	15-19	56
Balmain East	20-24	52
Balmain East	25+	68
Balmoral (Lake Macquarie - NSW)	0-4	12
Balmoral (Lake Macquarie - NSW)	5-14	78
Balmoral (Lake Macquarie - NSW)	15-19	48
Balmoral (Lake Macquarie - NSW)	20-24	19
Balmoral (Lake Macquarie - NSW)	25+	16
Balmoral (Wingecarribee - NSW)	0-4	10
Balmoral (Wingecarribee - NSW)	5-14	43
Balmoral (Wingecarribee - NSW)	15-19	22
Balmoral (Wingecarribee - NSW)	20-24	12
Balmoral (Wingecarribee - NSW)	25+	5
Balranald	0-4	13
Balranald	5-14	160
Balranald	15-19	53
Balranald	20-24	3
Balranald	25+	17
Bamarang	15-19	3
Bamarang	25+	3
Bandon Grove	0-4	5
Bandon Grove	5-14	14
Bandon Grove	15-19	3
Bangadang	5-14	4
Bangalee (NSW)	0-4	12
Bangalee (NSW)	5-14	56
Bangalee (NSW)	15-19	37
Bangalee (NSW)	20-24	9
Bangalee (NSW)	25+	15
Bangalow	0-4	37
Bangalow	5-14	284
Bangalow	15-19	79
Bangalow	20-24	14
Bangalow	25+	67
Bangheet	0-4	3
Bango	5-14	4
Bango	15-19	5
Bango	25+	3
Bangor (NSW)	0-4	96
Bangor (NSW)	5-14	634
Bangor (NSW)	15-19	306
Bangor (NSW)	20-24	141
Bangor (NSW)	25+	131
Banksia	0-4	62
Banksia	5-14	353
Banksia	15-19	152
Banksia	20-24	102
Banksia	25+	163
Bankstown	0-4	478
Bankstown	5-14	3626
Bankstown	15-19	1493
Bankstown	20-24	1118
Bankstown	25+	1699
Bannaby	5-14	5
Bannister (NSW)	0-4	3
Bannister (NSW)	5-14	20
Bannister (NSW)	15-19	3
Bannister (NSW)	25+	4
Banoon	25+	3
Banora Point	0-4	178
Banora Point	5-14	1548
Banora Point	15-19	653
Banora Point	20-24	193
Banora Point	25+	398
Banyabba	15-19	3
Bar Beach	0-4	9
Bar Beach	5-14	115
Bar Beach	15-19	68
Bar Beach	20-24	61
Bar Beach	25+	69
Bar Point	5-14	5
Bar Point	25+	3
Bara	5-14	7
Baradine	0-4	12
Baradine	5-14	83
Baradine	15-19	22
Baradine	20-24	4
Baradine	25+	11
Barangaroo	20-24	6
Barangaroo	25+	5
Barden Ridge	0-4	67
Barden Ridge	5-14	619
Barden Ridge	15-19	361
Barden Ridge	20-24	151
Barden Ridge	25+	109
Bardia	0-4	40
Bardia	5-14	205
Bardia	15-19	65
Bardia	20-24	35
Bardia	25+	73
Bardwell Park	0-4	33
Bardwell Park	5-14	284
Bardwell Park	15-19	107
Bardwell Park	20-24	48
Bardwell Park	25+	82
Bardwell Valley	0-4	27
Bardwell Valley	5-14	277
Bardwell Valley	15-19	126
Bardwell Valley	20-24	59
Bardwell Valley	25+	86
Barellan	0-4	4
Barellan	5-14	71
Barellan	15-19	16
Barellan	20-24	3
Barellan	25+	15
Bargo	0-4	73
Bargo	5-14	585
Bargo	15-19	199
Bargo	20-24	66
Bargo	25+	97
Barham	0-4	14
Barham	5-14	126
Barham	15-19	36
Barham	20-24	10
Barham	25+	11
Barkers Vale	5-14	23
Barkers Vale	20-24	3
Barkers Vale	25+	5
Barmedman	0-4	4
Barmedman	5-14	67
Barmedman	15-19	18
Barmedman	20-24	4
Barmedman	25+	7
Barnsley	0-4	35
Barnsley	5-14	206
Barnsley	15-19	91
Barnsley	20-24	19
Barnsley	25+	36
Barooga	0-4	26
Barooga	5-14	198
Barooga	15-19	73
Barooga	20-24	10
Barooga	25+	29
Barraba	0-4	17
Barraba	5-14	108
Barraba	15-19	34
Barraba	20-24	10
Barraba	25+	25
Barrack Heights	0-4	112
Barrack Heights	5-14	676
Barrack Heights	15-19	211
Barrack Heights	20-24	105
Barrack Heights	25+	150
Barrack Point	0-4	11
Barrack Point	5-14	95
Barrack Point	15-19	35
Barrack Point	20-24	15
Barrack Point	25+	17
Barraganyatti	5-14	6
Barraganyatti	15-19	6
Barraganyatti	25+	3
Barragga Bay	0-4	3
Barragga Bay	5-14	3
Barrengarry	5-14	23
Barrengarry	15-19	10
Barrengarry	25+	3
Barretts Creek	5-14	3
Barringella	5-14	9
Barringella	15-19	3
Barrington (NSW)	0-4	3
Barrington (NSW)	5-14	27
Barrington (NSW)	15-19	14
Barrington (NSW)	25+	3
Barry (Blayney - NSW)	5-14	24
Barry (Blayney - NSW)	15-19	10
Barry (Blayney - NSW)	20-24	3
Barry (Blayney - NSW)	25+	4
Barwang	0-4	4
Barwang	5-14	11
Barwang	15-19	3
Barwon	5-14	8
Baryulgil	5-14	8
Basin View	0-4	23
Basin View	5-14	186
Basin View	15-19	50
Basin View	20-24	14
Basin View	25+	26
Bass Hill	0-4	143
Bass Hill	5-14	1268
Bass Hill	15-19	506
Bass Hill	20-24	236
Bass Hill	25+	275
Batar Creek	5-14	6
Bateau Bay	0-4	215
Bateau Bay	5-14	1355
Bateau Bay	15-19	494
Bateau Bay	20-24	190
Bateau Bay	25+	334
Batehaven	0-4	8
Batehaven	5-14	136
Batehaven	15-19	63
Batehaven	20-24	6
Batehaven	25+	44
Batemans Bay	0-4	14
Batemans Bay	5-14	107
Batemans Bay	15-19	23
Batemans Bay	20-24	8
Batemans Bay	25+	30
Bathampton	5-14	7
Bathampton	15-19	3
Bathurst	0-4	74
Bathurst	5-14	498
Bathurst	15-19	308
Bathurst	20-24	424
Bathurst	25+	369
Batlow	0-4	18
Batlow	5-14	117
Batlow	15-19	36
Batlow	20-24	8
Batlow	25+	22
Baulkham Hills	0-4	683
Baulkham Hills	5-14	5164
Baulkham Hills	15-19	1898
Baulkham Hills	20-24	1055
Baulkham Hills	25+	1326
Baw Baw (NSW)	0-4	3
Baw Baw (NSW)	5-14	31
Baw Baw (NSW)	15-19	13
Baw Baw (NSW)	20-24	6
Baw Baw (NSW)	25+	12
Bawley Point	0-4	9
Bawley Point	5-14	56
Bawley Point	15-19	25
Bawley Point	20-24	6
Bawley Point	25+	18
Bayview (NSW)	0-4	33
Bayview (NSW)	5-14	338
Bayview (NSW)	15-19	155
Bayview (NSW)	20-24	73
Bayview (NSW)	25+	78
Beacon Hill	0-4	132
Beacon Hill	5-14	1055
Beacon Hill	15-19	466
Beacon Hill	20-24	208
Beacon Hill	25+	191
Beaconsfield (NSW)	0-4	13
Beaconsfield (NSW)	5-14	59
Beaconsfield (NSW)	15-19	23
Beaconsfield (NSW)	20-24	29
Beaconsfield (NSW)	25+	78
Bean Creek	5-14	7
Bearbong	5-14	3
Beaumont (NSW)	5-14	8
Beaumont (NSW)	15-19	4
Beaumont (NSW)	25+	7
Beaumont Hills	0-4	163
Beaumont Hills	5-14	1624
Beaumont Hills	15-19	681
Beaumont Hills	20-24	267
Beaumont Hills	25+	268
Beckom	5-14	25
Beckom	15-19	7
Bective	5-14	16
Bective	15-19	10
Bective	20-24	8
Bective	25+	3
Bectric	5-14	8
Bectric	15-19	3
Bedgerabong	5-14	23
Bedgerabong	15-19	3
Bedgerabong	25+	4
Beechwood	0-4	11
Beechwood	5-14	81
Beechwood	15-19	24
Beechwood	20-24	6
Beechwood	25+	19
Beecroft	0-4	122
Beecroft	5-14	1326
Beecroft	15-19	594
Beecroft	20-24	385
Beecroft	25+	279
Beelbangera	0-4	5
Beelbangera	5-14	39
Beelbangera	15-19	22
Beelbangera	20-24	3
Beelbangera	25+	9
Beemunnel	5-14	6
Bega	0-4	68
Bega	5-14	547
Bega	15-19	179
Bega	20-24	35
Bega	25+	103
Beggan Beggan	5-14	20
Belanglo	5-14	5
Belanglo	15-19	3
Belbora	5-14	7
Belbora	25+	3
Belfield	0-4	107
Belfield	5-14	806
Belfield	15-19	308
Belfield	20-24	163
Belfield	25+	176
Belford	5-14	14
Belford	15-19	10
Belford	25+	3
Belfrayden	5-14	4
Belgravia	0-4	3
Belgravia	5-14	25
Belgravia	15-19	12
Belgravia	25+	7
Belimbla Park	0-4	11
Belimbla Park	5-14	88
Belimbla Park	15-19	27
Belimbla Park	20-24	8
Belimbla Park	25+	11
Bell (NSW)	0-4	3
Bell (NSW)	5-14	3
Bell (NSW)	15-19	3
Bella Vista	0-4	113
Bella Vista	5-14	969
Bella Vista	15-19	596
Bella Vista	20-24	451
Bella Vista	25+	264
Bellambi	0-4	49
Bellambi	5-14	435
Bellambi	15-19	199
Bellambi	20-24	71
Bellambi	25+	127
Bellangry	5-14	7
Bellangry	15-19	6
Bellata	0-4	10
Bellata	5-14	55
Bellata	15-19	12
Bellata	25+	6
Bellawongarah	5-14	10
Bellawongarah	20-24	3
Bellawongarah	25+	7
Bellbird	0-4	33
Bellbird	5-14	252
Bellbird	15-19	79
Bellbird	20-24	20
Bellbird	25+	40
Bellbird Heights	0-4	14
Bellbird Heights	5-14	100
Bellbird Heights	15-19	25
Bellbird Heights	20-24	9
Bellbird Heights	25+	23
Bellbrook	0-4	3
Bellbrook	5-14	30
Bellbrook	15-19	13
Bellbrook	25+	9
Bellevue Hill	0-4	163
Bellevue Hill	5-14	1271
Bellevue Hill	15-19	592
Bellevue Hill	20-24	341
Bellevue Hill	25+	444
Bellimbopinni	0-4	3
Bellimbopinni	5-14	13
Bellimbopinni	15-19	3
Bellimbopinni	25+	3
Bellingen	0-4	67
Bellingen	5-14	561
Bellingen	15-19	165
Bellingen	20-24	23
Bellingen	25+	150
Bellmount Forest	5-14	23
Bellmount Forest	15-19	3
Bellmount Forest	20-24	3
Bellmount Forest	25+	5
Belltrees	5-14	4
Belmont (NSW)	0-4	86
Belmont (NSW)	5-14	721
Belmont (NSW)	15-19	322
Belmont (NSW)	20-24	123
Belmont (NSW)	25+	170
Belmont North	0-4	123
Belmont North	5-14	803
Belmont North	15-19	315
Belmont North	20-24	130
Belmont North	25+	159
Belmont South	0-4	4
Belmont South	5-14	115
Belmont South	15-19	54
Belmont South	20-24	21
Belmont South	25+	16
Belmore	0-4	161
Belmore	5-14	1324
Belmore	15-19	623
Belmore	20-24	380
Belmore	25+	630
Belmore River	5-14	39
Belmore River	15-19	11
Belmore River	20-24	4
Beloka	5-14	3
Beloka	20-24	3
Belrose	0-4	143
Belrose	5-14	1222
Belrose	15-19	517
Belrose	20-24	178
Belrose	25+	189
Bemboka	0-4	4
Bemboka	5-14	60
Bemboka	15-19	18
Bemboka	20-24	3
Bemboka	25+	7
Ben Bullen	5-14	10
Ben Bullen	15-19	4
Ben Bullen	20-24	3
Ben Bullen	25+	3
Ben Lomond (NSW)	0-4	4
Ben Lomond (NSW)	5-14	10
Ben Lomond (NSW)	15-19	4
Benandarah	5-14	12
Benandarah	15-19	8
Bendalong	0-4	4
Bendalong	5-14	8
Bendemeer	0-4	5
Bendemeer	5-14	48
Bendemeer	15-19	20
Bendemeer	20-24	3
Bendemeer	25+	13
Bendick Murrell	5-14	14
Bendick Murrell	15-19	3
Bendick Murrell	20-24	3
Bendolba	0-4	3
Bendolba	5-14	26
Bendolba	15-19	11
Bendolba	25+	4
Bendoura	5-14	5
Bendoura	15-19	3
Bendoura	25+	3
Benerembah	0-4	3
Benerembah	5-14	24
Benerembah	15-19	4
Bengalla	5-14	3
Bengalla	15-19	3
Benolong	5-14	14
Benolong	15-19	3
Benolong	20-24	3
Bensville	0-4	50
Bensville	5-14	389
Bensville	15-19	148
Bensville	20-24	56
Bensville	25+	67
Bentley (NSW)	5-14	14
Bentley (NSW)	15-19	6
Bentley (NSW)	25+	7
Berala	0-4	91
Berala	5-14	895
Berala	15-19	441
Berala	20-24	326
Berala	25+	532
Berambing	0-4	4
Berambing	5-14	11
Berambing	15-19	8
Berambing	25+	6
Beresfield	0-4	58
Beresfield	5-14	319
Beresfield	15-19	104
Beresfield	20-24	51
Beresfield	25+	100
Bergalia	0-4	3
Bergalia	5-14	24
Bergalia	15-19	3
Bergalia	20-24	3
Bergalia	25+	3
Berkeley	0-4	131
Berkeley	5-14	875
Berkeley	15-19	335
Berkeley	20-24	133
Berkeley	25+	188
Berkeley Vale	0-4	156
Berkeley Vale	5-14	1113
Berkeley Vale	15-19	388
Berkeley Vale	20-24	128
Berkeley Vale	25+	260
Berkshire Park	0-4	16
Berkshire Park	5-14	131
Berkshire Park	15-19	57
Berkshire Park	20-24	13
Berkshire Park	25+	15
Bermagui	0-4	22
Bermagui	5-14	138
Bermagui	15-19	44
Bermagui	20-24	14
Bermagui	25+	36
Berowra	0-4	81
Berowra	5-14	703
Berowra	15-19	318
Berowra	20-24	137
Berowra	25+	141
Berowra Creek	5-14	3
Berowra Heights	0-4	121
Berowra Heights	5-14	815
Berowra Heights	15-19	300
Berowra Heights	20-24	103
Berowra Heights	25+	160
Berowra Waters	15-19	5
Berrambool	0-4	4
Berrambool	5-14	41
Berrambool	15-19	17
Berrambool	20-24	10
Berrambool	25+	12
Berrara	5-14	18
Berrara	15-19	9
Berrara	20-24	3
Berremangra	5-14	6
Berremangra	15-19	3
Berremangra	20-24	5
Berrico	5-14	3
Berridale	0-4	22
Berridale	5-14	143
Berridale	15-19	34
Berridale	20-24	10
Berridale	25+	48
Berrigal	15-19	3
Berrigan	0-4	11
Berrigan	5-14	115
Berrigan	15-19	40
Berrigan	20-24	3
Berrigan	25+	25
Berrilee	0-4	3
Berrilee	5-14	21
Berrilee	15-19	14
Berrilee	20-24	7
Berrilee	25+	11
Berrima	0-4	5
Berrima	5-14	75
Berrima	15-19	20
Berrima	20-24	3
Berrima	25+	16
Berringer Lake	25+	3
Berry	0-4	46
Berry	5-14	252
Berry	15-19	68
Berry	20-24	28
Berry	25+	68
Berry Jerry	5-14	7
Berry Jerry	15-19	5
Berry Park	5-14	4
Berry Park	15-19	7
Berry Park	20-24	5
Berry Park	25+	4
Berthong	5-14	4
Berthong	15-19	3
Beryl	5-14	15
Beryl	15-19	7
Bethungra	0-4	3
Bethungra	5-14	13
Bethungra	15-19	6
Bethungra	20-24	3
Bethungra	25+	4
Bevendale	5-14	4
Bevendale	15-19	3
Bevendale	25+	3
Beverley Park	0-4	43
Beverley Park	5-14	301
Beverley Park	15-19	121
Beverley Park	20-24	66
Beverley Park	25+	80
Beverly Hills	0-4	123
Beverly Hills	5-14	1002
Beverly Hills	15-19	528
Beverly Hills	20-24	366
Beverly Hills	25+	382
Bewong	5-14	10
Bewong	25+	3
Bexhill	0-4	5
Bexhill	5-14	69
Bexhill	15-19	14
Bexhill	20-24	5
Bexhill	25+	19
Bexley	0-4	293
Bexley	5-14	2101
Bexley	15-19	982
Bexley	20-24	592
Bexley	25+	697
Bexley North	0-4	83
Bexley North	5-14	471
Bexley North	15-19	180
Bexley North	20-24	108
Bexley North	25+	137
Biala	5-14	9
Bibbenluke	5-14	7
Bibbenluke	15-19	9
Biddon	0-4	3
Biddon	5-14	16
