SSC_NAME16	medianRent
Big Hill (NSW)	
Big Jacks Creek	
Big Ridge	
Big Springs	9776
Bigga	2600
Bilambil	17160
Bilambil Heights	19240
Bilbul	12480
Bilgola Beach	47424
Bilgola Plateau	42120
Billeroy	
Billilingra	
Billimari	9100
Billinudgel	14924
Billys Creek	
Billywillinga	13000
Bilpin	14300
Bimberi	
Bimbi	5200
Bimbimbie	18200
Binalong	10296
Binda	1300
Bindera	
Bingara	8580
Bingeebeebra Creek	
Bingie	10140
Bingleburra	
Biniguy	2600
Binjura	14300
Binna Burra (NSW)	16380
Binnaway	6500
Binya	
Birchgrove	33800
Birdwood (NSW)	
Birganbigil	
Birmingham Gardens	18200
Birriwa	
Birrong	22360
Bishops Bridge	5096
Bithramere	7800
Black Creek (Port Macquarie-Hastings - NSW)	
Black Creek (Snowy Valleys - NSW)	
Black Head	15600
Black Hill (NSW)	18200
Black Hollow	
Black Mountain (NSW)	10400
Black Range (NSW)	11960
Black Springs (NSW)	4680
Blackalls Park	16120
Blackbutt (NSW)	19240
Blackett	15288
Blackheath	16640
Blackmans Flat	
Blackmans Point	11804
Blacksmiths	15600
Blacktown	19760
Blackville	
Blackwall (NSW)	18200
Blair Athol (NSW)	23400
Blairmount	19656
Blakebrook	14716
Blakehurst	26000
Blakney Creek	
Bland	
Blandford	4160
Blaxland (NSW)	20280
Blaxlands Creek	
Blaxlands Ridge	26000
Blayney	11960
Bligh Park	20280
Blighty	2600
Blowering	
Blue Bay	18200
Blue Haven	19240
Blue Knob	10920
Blue Mountains National Park	
Blue Nobby	
Blue Vale	6500
Blueys Beach	16380
Boambee	13260
Boambee East	18200
Boambolo	14716
Boat Harbour (Lismore - NSW)	19500
Boat Harbour (Port Stephens - NSW)	20800
Bobadah	
Bobin	7384
Bobs Creek	
Bobs Farm	12220
Bobundara	
Boco	
Bocoble	
Bocobra	
Bodalla	8996
Bodangora	4160
Boeill Creek	4420
Bogan	
Bogan Gate	10660
Bogangar	18720
Bogee	9100
Boggabilla	6240
Boggabri	13000
Bogong Peaks Wilderness	
Bohena Creek	7020
Bohnock	12480
Bolaro	
Bolivia	
Bolong	11440
Bolton Point	11700
Bolwarra (NSW)	18200
Bolwarra Heights	20280
Bom Bom	
Bomaderry	13000
Bombah Point	
Bombala	9100
Bombay	6500
Bombira	11700
Bombo	18980
Bombowlee	10400
Bombowlee Creek	
Bomen	
Bomera	
Bonalbo	7800
Bondi	32240
Bondi Beach	32760
Bondi Forest	
Bondi Junction	32760
Bonnells Bay	18720
Bonnet Bay	33800
Bonny Hills	19500
Bonnyrigg	15080
Bonnyrigg Heights	22360
Bonshaw (NSW)	5200
Bonville	19240
Booerie Creek	8840
Book Book	7800
Booker Bay	18200
Bookham	3120
Bookookoorara	
Bookram	
Boolambayte	
Boolaroo	16796
Boolcarroll	
Booligal	
Boolijah	
Boomanoomana	
Boomerang Beach	15600
Boomey	3900
Boomi	
Boomi Creek	
Boona Mount	
Boonal	
Boonoo Boonoo	
Boorabee Park	7800
Booragul	13000
Booral (NSW)	13000
Boorga	
Boorganna	
Boorolong	2600
Boorook	
Boorooma	20540
Booroorban	
Boorowa	9360
Bootawa	5200
Booti Booti	
Booyong	10400
Bora Ridge	
Borah Creek	6240
Borambola	6760
Border Ranges	
Boree	12480
Boree Creek	7800
Borenore	9360
Boro	
Bossley Park	22880
Bostobrick	10400
Botany	27040
Botobolar	5980
Bottle Creek	
Bouddi	
Bourbah	
Bourke	7800
Bourkelands	18200
Bournda	11440
Bournewood	
Bow Bowing	20800
Bowan Park	
Bowen Mountain	20280
Bowenfels	8684
Bowling Alley Point	
Bowman	
Bowman Farm	9100
Bowmans Creek	
Bowna	
Bowning	10400
Bowral	20800
Bowraville	10920
Box Head	
Box Hill (NSW)	26000
Box Ridge	
Boxers Creek	13520
Boydtown	9100
Bradbury (NSW)	18720
Braefield	
Braemar	22360
Braemar Bay	
Braidwood	14456
Brandy Hill	7800
Branxton	15600
Braunstone	13520
Brawboy	
Bray Park (NSW)	14820
Brays Creek	16640
Brayton	3640
Breadalbane (NSW)	
Breakfast Creek	
Breakfast Point	35360
Bream Beach	
Bredbo	13000
Breelong	
Breeza	7488
Bretti	
Brewarrina	4680
Brewongle	11180
Briarbrook	
Bribbaree	
Bridgman	18252
Brierfield	14040
Brighton-le-Sands	22620
Brightwaters	18096
Bril Bril	
Brimbin	
Brindabella	
Brinerville	
Bringelly	20800
Bringenbrong	
Brisbane Grove	13520
Broadmeadow	17160
Broadwater (Bega Valley - NSW)	10400
Broadwater (Richmond Valley - NSW)	13000
Broadway	
Brobenah	
Brocklehurst	11960
Brocklesby	5200
Brockley	
Brodies Plains	10400
Brogans Creek	
Brogers Creek	
Brogo	7800
Broke (NSW)	18200
Broken Head	20540
Broken Hill	9828
Brombin	11700
Bronte	32240
Brookdale (NSW)	
Brookfield (NSW)	5356
Brooklana	6500
Brooklet	15600
Brooklyn (NSW)	22100
Brookong	
Brookvale	26000
Brooman	
Brooms Head	11960
Broughams Gate	
Broughton (NSW)	23400
Broughton Vale	
Broughton Village	13780
Broulee	14040
Brownlow Hill	20280
Browns Creek	8060
Browns Mountain	
Brownsville	13780
Brucedale	
Bruie Plains	
Bruinbun	
Brumby Plains	
Brundee	7800
Brungle	8840
Brungle Creek	
Brunkerville	12272
Brunswick Heads	16120
Brushgrove	11700
Brushy Creek	
Buangla	
Bucca (NSW)	17316
Bucca Wauka	
Buccarumbi	
Buchanan (NSW)	10400
Buckajo	8320
Buckaroo	14300
Buckenbowra	
Buckenderra	
Buckendoon	
Bucketty	11960
Buckra Bendinni	10920
Budawang	
Buddabadah	
Budden	
Budderoo	
Buddong	
Budgee Budgee (NSW)	14560
Budgewoi	15600
Budgewoi Peninsula	
Budgong	
Buff Point	17160
Bugaldie	
Bukalong	
Bukkulla	4420
Bulahdelah	11440
Bulee	
Bulga (NSW)	16900
Bulga Forest	
Bulgary	
Bulla (NSW)	
Bulla Creek	4680
Bullaburra	18200
Bullagreen	
Bullarah	520
Bullatale	
Bullawa Creek	
Bulldog	
Bulli	16536
Bulliac	5200
Bullio	
Bulyeroi	
Bumbaldry	
Bumbalong	
Bundabah	14820
Bundagen	1716
Bundanoon (NSW)	16848
Bundarra	7800
Bundeena	22776
Bundella	
Bundemar	
Bundewallah	
Bundook	
Bundure	
Bungaba	
Bungabbee	
Bungalora	10400
Bungarby	
Bungarribee	30836
Bungawalbin	3900
Bungendore	23400
Bungonia	11440
Bungowannah	8320
Bungwahl	10660
Bunnaloo	
Bunnan	
Bunyah	8320
Bunyan	
Burcher	1300
Bureen	8476
Burnt Bridge	7280
Burnt Yards	
Buronga	9880
Burra (Queanbeyan-Palerang Regional - NSW)	17680
Burra (Snowy Valleys - NSW)	13000
Burra Creek	5200
Burraboi	
Burradoo	24700
Burraga	2600
Burragate	
Burrandana	
Burraneer	26520
Burrangong	10400
Burrapine	10400
Burrawang	20800
Burrell Creek	15080
Burren Junction	468
Burrier	
Burrill Lake	14040
Burringbar	15080
Burrinjuck	
Burroway	
Burrumbuttock	7800
Burrundulla	5200
Burwood (NSW)	27040
Burwood Heights	27560
Busby	13936
Busbys Flat	
Bushells Ridge	16640
Buttaba	17680
Buttai	
Butterwick	
Buxton (NSW)	18876
Byabarra	10400
Byadbo Wilderness	
Byangum	18200
Bylong	
Byng	
Byrock	
Byron Bay	23920
Byrrill Creek	11700
Bywong	17680
Cabarita (NSW)	44200
Cabarita Beach	18876
Cabbage Tree Island (Ballina - NSW)	5980
Cabbage Tree Island (Mid-Coast - NSW)	
Cabramatta	16120
Cabramatta West	18200
Cabramurra	
Caddens	26000
Cadgee (NSW)	
Cadia	
Caffreys Flat	14040
Cairncross	
Calala	17160
Calamia	
Calderwood	13000
Caldwell	
Calga	17940
Califat	
Calimo	
Callaghan	
Callaghans Creek	
Callala Bay	17160
Callala Beach	17160
Calliope (NSW)	7020
Caloola	5200
Cambalong	
Camberwell (NSW)	10400
Cambewarra	18200
Cambewarra Village	21840
Camboon (NSW)	
Cambra	
Cambridge Gardens	19708
Cambridge Park	18720
Cambridge Plateau	
Camden	19760
Camden Head	17680
Camden Park (NSW)	29640
Camden South	22360
Camellia	
Cameron Park	24440
Camerons Creek	
Camira (NSW)	
Cammeray	30160
Camp Creek (NSW)	
Campbelltown (NSW)	18720
Camperdown (NSW)	26000
Campsie	20540
Campvale	18252
Cams Wharf	16640
Canada Bay	26000
Canadian Lead	
Canbelego	
Candelo	11440
Cangai	
Caniaba	11076
Canley Heights	19240
Canley Vale	16640
Canobolas	13000
Canoelands	14456
Canonba	
Canowindra	9360
Canterbury (NSW)	23400
Canton Beach	14560
Canyonleigh	10400
Caparra	
Capeen Creek	
Capertee	7800
Capoompeta	
Captains Flat	14820
Carabost	
Caragabal	
Carcalgong	
Carcoar	5980
Cardiff (NSW)	17680
Cardiff Heights	18720
Cardiff South	17940
Carey Bay	14560
Cargo	8060
Carinda	
Caringbah	22360
Caringbah South	32240
Carlaminda	
Carlingford	26520
Carlton (NSW)	22880
Carnes Hill	29120
Carnham	
Carool	15340
Caroona	6552
Carrabolla	
Carrai	
Carramar (NSW)	15080
Carrathool	
Carrick (NSW)	10400
Carrington (Mid-Coast - NSW)	
Carrington (Newcastle - NSW)	18720
Carrington Falls	
Carroll	8320
Carrowbrook	
Carrs Creek	12480
Carrs Island	
Carrs Peninsula	
Carss Park	11024
Cartwright	8736
Cartwrights Hill	15860
Carwell	
Carwoola	18200
Cascade (NSW)	
Casino	12480
Cassilis (NSW)	2340
Castle Cove	47996
Castle Doyle	17420
Castle Hill (NSW)	28860
Castle Rock	11960
Castlecrag	49400
Castlereagh	18720
Casuarina (NSW)	23920
Casula	21840
Catalina	14560
Cataract	
Cathcart (NSW)	5200
Catherine Field	19760
Catherine Hill Bay	16380
Cathundral	
Cattai	24440
Cattle Creek (NSW)	
Cavan (NSW)	13000
Caves Beach	18720
Cawdor (NSW)	13520
Cawongla	12740
Cecil Hills	26000
Cecil Park	19240
Cedar Brush Creek	7800
Cedar Creek (Cessnock - NSW)	
Cedar Creek (Tweed - NSW)	
Cedar Party	9880
Cedar Point	14560
Cells River	
Centennial Park (NSW)	26260
Central Colo	
Central Macdonald	
Central Mangrove	15600
Central Tilba	10400
Cessnock	14560
Chaelundi	
Chain Valley Bay	16640
Chakola	
Chambigne	
Charbon	7800
Charles Sturt University	
Charlestown (NSW)	18200
Charleys Forest	
Charlotte Bay	15860
Charlton (NSW)	
Charmhaven	17680
Chatham Valley	
Chatsbury	5928
Chatswood	31200
Chatswood West	36400
Chatsworth (NSW)	13260
Cheero Point	23920
Cheltenham (NSW)	34840
Cherry Tree Hill	
Cherrybrook	33800
Chester Hill	17160
Chichester (NSW)	
Chifley (NSW)	12324
Chilcotts Creek	
Chilcotts Grass	19240
Chillingham	16640
Chinderah	10972
Chinnock	
Chippendale	29744
Chipping Norton	23400
Chisholm (NSW)	24076
Chiswick	31200
Chittaway Bay	17680
Chittaway Point	19240
Chowan Creek	
Chullora	
Church Point	40300
Clandulla	10400
Clare (NSW)	
Claremont Meadows	20800
Clarence	
Clarence Town	14560
Clarendon (NSW)	18200
Clarenza	13000
Clareville	33800
Claymore	10348
Clear Creek	
Clear Range	
Clearfield	
Clemton Park	11856
Clergate	3900
Cleveland (NSW)	8580
Clifden	
Cliftleigh	19760
Clifton (NSW)	
Clifton Grove	23400
Clontarf (NSW)	62400
Clothiers Creek	17680
Clouds Creek	
Clovelly	32760
Clunes (NSW)	20540
Clybucca	11700
Clyde (NSW)	
Clydesdale (NSW)	3900
Coal Point	19500
Coalcliff	23920
Coaldale	11440
Coasters Retreat	
Cobaki	13520
Cobaki Lakes	
Cobar	8840
Cobar Park	
Cobargo	10400
Cobark	
Cobbadah	
Cobbitty	26000
Cobramunga	
Cockwhy	
Codrington (NSW)	8060
Coffee Camp	10920
Coffs Harbour	15340
Coggan	
Cogra Bay	
Coila	14560
Coldstream (NSW)	4160
Coleambally	7280
Colebee	33800
Coledale	26000
Colinroobie	
Colinton (NSW)	
Collarenebri	6864
Collaroy (NSW)	27560
Collaroy Plateau	39000
Collector	14820
Collendina	
Collerina	
Collie (NSW)	
Collingullie	10400
Collingwood (NSW)	16640
Collins Creek	10400
Collombatti	10400
Collum Collum	
Colly Blue	
Colo (Bathurst Regional - NSW)	
Colo (Hawkesbury - NSW)	
Colo Heights	5720
Colo Vale	19760
Colongra	
Colyton	18980
Comara	
Combaning	
Combara	
Comberton	
Comboyne	10400
Come By Chance	676
Comerong Island	
Commissioners Creek	13000
Como (NSW)	28600
Comobella	8320
Conargo	
Concord	25792
Concord West	24960
Condell Park	23400
Condobolin	8840
Condong	20800
Coneac	
Congarinni	10400
Congarinni North	11960
Congewai	
Congo	15340
Conimbia	
Coniston	15340
Conjola	13000
Conjola Park	15600
Connells Point	30940
Constitution Hill	19760
Coogee (NSW)	31200
Cookamidgera	7748
Cookardinia	6760
Cooks Gap	12480
Cooks Hill	19240
Cooks Myalls	
Coolabah	
Coolac	3484
Coolagolite	10400
Coolah	7800
Coolamon	11440
Coolangatta (NSW)	13780
Coolangubra	
Coolatai	
Cooleman	
Cooleys Creek	
Coolgardie (NSW)	20800
Coolongolook	12740
Coolringdon	7020
Coolumbooka	
Coolumburra	
Cooma (NSW)	11700
Coomba Bay	
Coomba Park	13000
Coombadjha	
Coombell	8060
Coomealla	6760
Coomoo Coomoo	
Coonabarabran	9360
Coonamble	9256
Coongbar	
Cooperabung	11700
Coopernook	11440
Coopers Gully	9360
Coopers Shoot	17056
Cooplacurripa	3380
Coorabell	13000
Cooranbong	16120
Cootamundra	10140
Cootralantra	3900
Cooyal	
Copacabana	21476
Cope	
Copeland	
Copeton	7800
Copmanhurst	11960
Coppabella (NSW)	
Copperhannia	
Coraki	13000
Coralville	10400
Coramba	18200
Corang	
Corangula	
Corbie Hill	10400
Cordeaux	
Cordeaux Heights	23400
Coree	
Coreen	2600
Corindi Beach	18200
Corinella (NSW)	
Corlette	19240
Corndale (NSW)	15080
Corney Town	13520
Cornwallis	13000
Corobimilla	6240
Corowa	10400
Corrabare	
Corrimal	16120
Corrong	
Corrowong	
Corunna	
Cottage Point	30004
Cottonvale (NSW)	
Cougal	
Countegany	
Courabyra	3900
Couradda	
Couragago	
Couridjah	15860
Coutts Crossing	13936
Cow Flat	8320
Cowabbie	
Cowan	22360
Cowper	12480
Cowra	9880
Coxs Creek	
Coxs Crown	
Crabbes Creek	19136
Crackenback	9100
Craigie (NSW)	
Cranebrook	19760
Crangan Bay	
Craven	10660
Craven Plateau	
Crawford River	
Crawney	1976
Creewah	
Cremorne (NSW)	30524
Cremorne Point	31200
Crescent Head	13000
Crestwood	13520
Cringila	15600
Croki	15756
Cromer (NSW)	31200
Cronulla	23400
Crooble	
Croobyar	7800
Crooked Corner	
Crookwell	11440
Croom	1976
Croppa Creek	
Cross Roads (NSW)	
Crosslands	19760
Croudace Bay	21840
Crowdy Bay National Park	
Crowdy Head	14560
Crows Nest (NSW)	28600
Crowther	
Crowther Island	
Croydon (NSW)	23400
Croydon Park (NSW)	20800
Crudine	4160
Cryon	
Crystal Creek (NSW)	13000
Cubba	
Cudal	9360
Cudgegong	
Cudgel	
Cudgen	17680
Cudgera Creek	18720
Cudmirrah	12480
Culburra Beach	15080
Culcairn	9360
Cullen Bullen	10140
Cullenbone	
Cullendore	
Cullerin	8580
Cullivel	
Culmaran Creek	
Cumbalum	25896
Cumbandry	
Cumberland Reach	
Cumbo	
Cumborah	
Cumnock	5200
Cundle Flat	
Cundletown	14820
Cundumbul	
Cunjurong Point	14820
Cunningar	7800
Cunninyeuk	
Curban	3900
Curl Curl	32240
Curlew Waters	
Curlewis (NSW)	10920
Curlwaa	8060
Curra Creek	
Currabubula	6240
Curragh	
Curramore (NSW)	17680
Currans Hill	22360
Currarong	14040
Currawang	
Currawarna	10400
Curraweela	
Curricabark	
Currowan	
Cuttabri	
Cuttagee	
Dabee	4160
Daceyville	6760
Dairy Arm	
Dairy Flat	
Dairymans Plains	4160
Daleys Point	20540
Dalgety	7800
Dalmeny	12480
Dalmorton	
Dalswinton	
Dalton	
Dalwood (Ballina - NSW)	17160
Dalwood (Singleton - NSW)	17420
Dandaloo	
Dandry	
Dangar Island	17940
Dangarsleigh	10140
Dangelong	
Dapto	17680
Darawank	14820
Darbalara	
Darbys Falls	7800
Dareton	7800
Dargan	
Dark Corner	
Darkes Forest	21320
Darkwood	13260
Darling Point	40924
Darlinghurst	29120
Darlington (Singleton - NSW)	14040
Darlington (Sydney - NSW)	26000
Darlington Point	8840
Darlow	
Dartbrook	10400
Daruka	19240
Davidson	45656
Davis Creek	
Davistown	18200
Dawes Point	78000
Daysdale	1456
Dean Park	20800
Deauville	
Debenham	
Dee Why	26000
Deep Creek (Clarence Valley - NSW)	
Deep Creek (Kempsey - NSW)	
Deep Creek (Kyogle - NSW)	
Deepwater (NSW)	8060
Deer Vale	12740
Delegate	4160
Delungra	9100
Denham Court	11180
Denhams Beach	16796
Deniliquin	10140
Denistone	29380
Denistone East	31200
Denistone West	29120
Denman	13520
Depot Beach	
Derriwong	
Deua	
Deua River Valley	
Devils Hole	
Dewitt	
Dharruk	16900
Dhulura	
Dhuragoon	
Diamond Beach	15496
Diamond Head	
Diehard	
Diggers Camp	
Dignams Creek	10920
Dilkoon	
Dilpurra	
Dingo Forest	
Dinoga	2600
Dirnaseer	
Dirty Creek	
Dobies Bight	9620
Doctor George Mountain	
Doctors Gap	
Dog Rocks	
Dolans Bay	31200
Dolls Point	22620
Dollys Flat	
Dolphin Point	16640
Dombarton	
Donald Creek	
Dondingalong	14560
Doon Doon	9880
Doonbah	6136
Doonside	16120
Dooralong	13000
Dora Creek	16276
Dorrigo	11700
Dorrigo Mountain	9880
Dorroughby	13156
Double Bay	35360
Doubtful Creek	
Douglas Park	18200
Dover Heights	37700
Downside	10400
Doyalson	17940
Doyalson North	7800
Doyles Creek	
Doyles River	
Drake	6396
Drildool	
Dripstone	
Drummoyne	29692
Dry Creek (NSW)	
Dry Plain	8840
Dubbo	13780
Duck Creek	
Duckenfield	11440
Duckmaloi	
Dudley	18980
Duffys Forest	32500
Dulguigan	13000
Dulwich Hill	23400
Dum Dum	15340
Dumaresq	8840
Dumaresq Island	13000
Dumaresq Valley	
Dumbudgery	
Dunbible	12220
Dunbogan	15080
Duncans Creek	
Dundas (NSW)	22360
Dundas Valley	18200
Dundee	6240
Dundurrabin	2600
Dunedoo	9100
Dungarubba	
Dungay	14040
Dungeree	
Dungog	12532
Dungowan	12480
Dunkeld (NSW)	
Dunmore (NSW)	8320
Dunolly (NSW)	10660
Dunoon	14976
Duns Creek	18200
Dunville Loop	
Dural (Hornsby - NSW)	28600
Dural (Singleton - NSW)	
Duramana	7800
Duranbah	17940
Duri	11960
Duroby	
Durran Durra	
Durras North	
Durren Durren	
Duval	
Dyers Crossing	13000
Dyraaba	13000
Dyrring	
Eagle Vale	19240
Eagleton	13520
Earlwood	26000
East Albury	13000
East Ballina	19240
East Branxton	17160
East Coraki	12480
East Corrimal	15600
East Gosford	17160
East Gresford	10400
East Hills	16744
East Jindabyne	18200
East Kangaloon	10400
East Kempsey	13520
East Killara	47840
East Kurrajong	18200
East Lindfield	50700
East Lismore	13520
East Lynne	10400
East Maitland	14560
East Ryde	35100
East Seaham	15600
East Tamworth	15080
East Wagga Wagga	14560
East Wardell	15600
Eastern Creek	19760
Eastgardens	10504
Eastlakes	20800
Eastwood (NSW)	23140
Eatonsville	13000
Ebenezer (NSW)	16900
Ebor	2080
Eccleston	
Edderton	
Eden	11960
Eden Creek	6500
Edensor Park	22100
Edenville	
Edgecliff	31200
Edgeroi	5200
Edgeworth	16120
Edith (NSW)	
Edmondson Park	29120
Edrom	
Eenaweena	
Eglinton (NSW)	17940
Eighteen Mile	
Elands	5720
Elanora Heights	36400
Elcombe	
Elderslie (Camden - NSW)	24440
Elderslie (Singleton - NSW)	5616
Eleebana	21840
Elermore Vale	16900
Elizabeth Bay	25636
Elizabeth Beach	15600
Elizabeth Hills	28080
Ellalong	15600
Elland	15860
Ellangowan (NSW)	10920
Ellenborough	13000
Ellerslie (Snowy Valleys - NSW)	7800
Ellerslie (Wentworth - NSW)	780
Ellerston	
Ellis Lane	23400
Elong Elong	10660
Elrington	
Elsmore	
Eltham (NSW)	17316
Elvina Bay	23400
Emerald Beach	18720
Emerald Hill	2340
Emerton	16120
Emmaville	6916
Empire Bay	18200
Empire Vale	
Emu Heights (NSW)	21580
Emu Plains	20800
Emu Swamp	14040
Endrick	
Enfield (NSW)	23400
Engadine	22360
Englorie Park	19760
Enmore (Armidale Regional - NSW)	
Enmore (Inner West - NSW)	25480
Enngonia	6760
Environa	
Epping (NSW)	27560
Eraring	7176
Eremerang	
Erigolia	
Erin Vale	
Erina	17316
Erina Heights	24960
Ermington	14404
Erowal Bay	15600
Errowanbang	10036
Erskine Park	21320
Erskineville	31304
Erudgere	11180
Eschol Park	20280
Esk (NSW)	
Essington	9100
Estella	18200
Ettalong Beach	18200
Ettamogah	
Ettrema	
Ettrick (NSW)	10400
Euabalong	
Euabalong West	624
Euberta	6760
Euchareena	8476
Eucumbene	
Eugowra	7800
