SSC_NAME16	medianRent
Aarons Pass	
Abbotsbury	26260
Abbotsford (NSW)	27040
Abercrombie	19240
Abercrombie River	
Aberdare	14040
Aberdeen (NSW)	12480
Aberfoyle	2600
Aberglasslyn	19760
Abermain	14560
Abernethy	15600
Abington (NSW)	
Acacia Creek	12220
Acacia Gardens	27040
Adaminaby	7800
Adamstown	16900
Adamstown Heights	20540
Adelong	9360
Adjungbilly	
Afterlee	7020
Agnes Banks	19760
Airds	9256
Akolele	8580
Albert	
Albion Park	20020
Albion Park Rail	16640
Albury	12480
Aldavilla	13000
Alectown	5720
Alexandria	30680
Alfords Point	38480
Alfredtown	10400
Alice	
Alison (Central Coast - NSW)	30940
Alison (Dungog - NSW)	12480
Allambie Heights	24856
Allandale (NSW)	19240
Allawah	22880
Alleena	
Allgomera	11960
Allworth	11960
Allynbrook	
Alma Park	
Alpine	
Alstonvale	16120
Alstonville	15600
Alumy Creek	
Amaroo (NSW)	
Ambarvale	17160
Amosfield	
Anabranch North	
Anabranch South	
Anambah	22100
Ando	7800
Anembo	4680
Angledale	13520
Angledool	
Anglers Reach	
Angourie	16640
Anna Bay	18200
Annandale (NSW)	28080
Annangrove	26000
Appin (NSW)	20800
Apple Tree Flat	
Appleby	7800
Appletree Flat	
Apsley (NSW)	
Arable	
Arakoon	18200
Araluen (NSW)	7800
Aratula (NSW)	
Arcadia (NSW)	22100
Arcadia Vale	16900
Ardglen	3016
Arding	7800
Ardlethan	4628
Argalong	
Argenton	14300
Argents Hill	9100
Argoon (NSW)	
Ariah Park	5980
Arkell	
Arkstone	
Armatree	5200
Armidale	13520
Arncliffe	26000
Arndell Park	
Arrawarra	11440
Arrawarra Headland	16640
Artarmon	28132
Arthurville	
Arumpo	
Ashbury	29120
Ashby (NSW)	15340
Ashby Heights	17316
Ashby Island	
Ashcroft	11700
Ashfield (NSW)	22880
Ashford (NSW)	7800
Ashley	10400
Ashmont	10400
Ashtonfield	19760
Asquith	27456
Atholwood	
Attunga	13000
Auburn (NSW)	20800
Auburn Vale	11700
Austinmer	24596
Austral	19760
Austral Eden	14820
Avalon Beach	32500
Avisford	
Avoca (NSW)	13312
Avoca Beach	22880
Avon (NSW)	
Avondale (NSW)	11024
Avonside	
Awaba	15600
Aylmerton	20696
Baan Baa	11180
Babinda (NSW)	
Babyl Creek	
Back Creek (Bland - NSW)	
Back Creek (Gwydir - NSW)	
Back Creek (Mid-Coast - NSW)	
Back Creek (Queanbeyan-Palerang Regional - NSW)	
Back Creek (Tenterfield - NSW)	
Back Creek (Tweed - NSW)	
Back Forest	
Backmede	12012
Backwater	
Badgerys Creek	15080
Badja	
Baerami	5200
Baerami Creek	
Bagnoo	
Bago	
Bagotville	14820
Bakers Creek (Mid-Coast - NSW)	
Bakers Creek (Nambucca - NSW)	
Bakers Creek (Uralla - NSW)	
Bakers Swamp	3900
Balaclava (NSW)	19760
Balala	1300
Balcolyn	19136
Bald Blair	
Bald Hills (NSW)	18200
Bald Nob	
Bald Ridge	
Baldersleigh	
Baldry	2600
Balfours Peak	
Balgowlah	30160
Balgowlah Heights	57200
Balgownie	19500
Balickera	
Balladoran	
Ballalaba	
Balldale	
Ballengarra	15600
Ballimore	12480
Ballina	15340
Ballyroe	
Balmain	31200
Balmain East	30160
Balmoral (Lake Macquarie - NSW)	18200
Balmoral (Wingecarribee - NSW)	17160
Balranald	7800
Bamarang	
Banda Banda	
Bandon Grove	4836
Bangadang	
Bangalee (NSW)	15600
Bangalow	26000
Bangheet	
Bango	
Bangor (NSW)	31096
Banksia	24960
Banksmeadow	
Bankstown	20800
Bankstown Aerodrome	
Bannaby	
Bannister (NSW)	9880
Banoon	
Banora Point	18720
Banyabba	
Bar Beach	15600
Bar Point	10400
Bara	
Baradine	7280
Barangaroo	62400
Barcoongere	
Barden Ridge	31980
Bardia	26000
Bardwell Park	26000
Bardwell Valley	25480
Barellan	6500
Bargo	18720
Barham	7800
Barigan	
Barkers Vale	7176
Barmedman	6240
Barneys Reef	
Barnsley	17680
Barooga	11180
Barraba	8060
Barrack Heights	16640
Barrack Point	17680
Barraganyatti	10400
Barragga Bay	10816
Barratta (NSW)	
Barren Grounds	
Barrengarry	10400
Barretts Creek	
Barringella	
Barrington (NSW)	12116
Barrington Tops	
Barry (Blayney - NSW)	8320
Barry (Upper Hunter Shire - NSW)	
Barwang	
Barwon	
Baryulgil	
Basin View	15600
Bass Hill	19760
Bassendean (NSW)	
Batar Creek	
Bateau Bay	17680
Batehaven	13780
Batemans Bay	11960
Bathampton	
Bathurst	13520
Batlow	7800
Baulkham Hills	27040
Baw Baw (NSW)	18200
Bawley Point	14560
Baxters Ridge	
Bayview (NSW)	26000
Beacon Hill	38272
Beaconsfield (NSW)	32396
Bean Creek	
Bearbong	
Beaumont (NSW)	
Beaumont Hills	34060
Beckom	
Bective	14040
Bectric	2080
Bedgerabong	
Beechwood	14040
Beecroft	30940
Beecroft Peninsula	
Beelbangera	12012
Beemunnel	
Bega	14040
Beggan Beggan	
Belanglo	
Belbora	11440
Belfield	22360
Belford	13520
Belfrayden	
Belgravia	13000
Belimbla Park	20800
Bell (NSW)	
Bella Vista	36920
Bellambi	11180
Bellangry	8320
Bellata	4784
Bellawongarah	
Bellbird	14560
Bellbird Heights	16120
Bellbrook	7800
Bellevue Hill	32500
Bellimbopinni	12740
Bellingen	16640
Bellmount Forest	20280
Belltrees	10400
Belmont (NSW)	15340
Belmont North	18200
Belmont South	13000
Belmore	18720
Belmore River	13000
Beloka	
Belowra	
Belrose	42640
Bemboka	8840
Ben Bullen	
Ben Lomond (NSW)	6656
Benandarah	7800
Bendalong	13520
Bendemeer	7800
Bendick Murrell	10400
Bendolba	13416
Bendoura	
Benerembah	
Bengalla	13000
Bennetts Green	
Benolong	
Bensville	20800
Bentley (NSW)	11700
Berala	19760
Berambing	19760
Beresfield	15600
Bergalia	
Berkeley	11960
Berkeley Vale	19240
Berkshire Park	20800
Berlang	
Bermagui	12220
Berowra	28600
Berowra Creek	
Berowra Heights	28600
Berowra Waters	
Berrambool	13520
Berrara	13000
Berremangra	
Berrico	
Berridale	10400
Berrigal	6760
Berrigan	6968
Berrilee	15600
Berrima	20800
Berringer Lake	11960
Berry	19240
Berry Jerry	
Berry Mountain	
Berry Park	6760
Berthong	4056
Beryl	14040
Bethungra	
Bevendale	
Beverley Park	28600
Beverly Hills	23400
Bewong	6500
Bexhill	14040
Bexley	23400
Bexley North	22360
Biala	2600
Bibbenluke	
Biddon	
Bidgeemia	
Bidwill (NSW)	9880
Bielsdown Hills	15080
