SSC_NAME16	Sex	employmentToPopulation
Aarons Pass	F	66.7
Aarons Pass	M	57.1
Abbotsbury	F	61.3
Abbotsbury	M	69.7
Abbotsford (NSW)	F	54.1
Abbotsford (NSW)	M	63.4
Abercrombie	F	65.8
Abercrombie	M	70.8
Abercrombie River	F	85.7
Abercrombie River	M	53.8
Aberdare	F	47.2
Aberdare	M	49.9
Aberdeen (NSW)	F	49.1
Aberdeen (NSW)	M	61.5
Aberfoyle	F	85.3
Aberfoyle	M	80
Aberglasslyn	F	62.8
Aberglasslyn	M	73.8
Abermain	F	48.1
Abermain	M	54
Abernethy	F	43.2
Abernethy	M	51.9
Abington (NSW)	F	100
Abington (NSW)	M	60
Acacia Creek	F	66.7
Acacia Creek	M	45
Acacia Gardens	F	67.4
Acacia Gardens	M	76.2
Adaminaby	F	44.5
Adaminaby	M	54.7
Adamstown	F	60.3
Adamstown	M	65.9
Adamstown Heights	F	57.4
Adamstown Heights	M	63.1
Adelong	F	45.8
Adelong	M	53.5
Adjungbilly	F	48.4
Adjungbilly	M	62.5
Afterlee	F	52.9
Afterlee	M	76.2
Agnes Banks	F	63.7
Agnes Banks	M	69.6
Airds	F	20.7
Airds	M	30.2
Akolele	F	18.6
Akolele	M	27
Albert	F	38.7
Albert	M	77.8
Albion Park	F	56.2
Albion Park	M	66.5
Albion Park Rail	F	46.3
Albion Park Rail	M	57.3
Albury	F	55.1
Albury	M	57.7
Aldavilla	F	43.3
Aldavilla	M	21
Alectown	F	54.1
Alectown	M	67.2
Alexandria	F	75
Alexandria	M	78.3
Alfords Point	F	66.9
Alfords Point	M	71.8
Alfredtown	F	79.4
Alfredtown	M	74.4
Alison (Central Coast - NSW)	F	30.6
Alison (Central Coast - NSW)	M	52.4
Alison (Dungog - NSW)	F	48.5
Alison (Dungog - NSW)	M	58.3
Allambie Heights	F	58.2
Allambie Heights	M	66.5
Allandale (NSW)	F	75.9
Allandale (NSW)	M	65.5
Allawah	F	54.8
Allawah	M	66.5
Alleena	F	66.7
Alleena	M	40.9
Allgomera	F	40.3
Allgomera	M	44.7
Allworth	F	44.8
Allworth	M	62.5
Allynbrook	F	53.8
Allynbrook	M	65.6
Alma Park	F	86.7
Alma Park	M	94.7
Alpine	F	40.7
Alpine	M	78
Alstonvale	F	54.5
Alstonvale	M	68.1
Alstonville	F	42.4
Alstonville	M	52.1
Alumy Creek	F	47.6
Alumy Creek	M	69.4
Amaroo (NSW)	F	46.7
Amaroo (NSW)	M	72.2
Ambarvale	F	45.4
Ambarvale	M	58.6
Amosfield	F	50
Amosfield	M	55.6
Anabranch South	F	50
Anabranch South	M	55
Anambah	F	50
Anambah	M	42.9
Ando	F	48.1
Ando	M	63.6
Anembo	F	41.7
Anembo	M	66.7
Angledale	F	51.8
Angledale	M	70.4
Angledool	F	50
Angledool	M	50
Anglers Reach	F	17.9
Anglers Reach	M	26.1
Angourie	F	49.5
Angourie	M	52.1
Anna Bay	F	44.1
Anna Bay	M	49.9
Annandale (NSW)	F	67
Annandale (NSW)	M	68.7
Annangrove	F	63.5
Annangrove	M	70.6
Appin (NSW)	F	65.4
Appin (NSW)	M	72.6
Apple Tree Flat	F	17.6
Apple Tree Flat	M	37.5
Appleby	F	80
Appleby	M	56.3
Appletree Flat	F	60
Appletree Flat	M	75
Apsley (NSW)	F	52.3
Apsley (NSW)	M	54.2
Arable	F	75
Arable	M	77.8
Arakoon	F	48.7
Arakoon	M	38.6
Araluen (NSW)	F	38
Araluen (NSW)	M	38.3
Arcadia (NSW)	F	61.8
