SSC_NAME16	Sex	employmentToPopulation
Arcadia (NSW)	M	68.7
Arcadia Vale	F	55
Arcadia Vale	M	55.7
Ardglen	F	14.3
Ardglen	M	60.9
Arding	F	56.6
Arding	M	38
Ardlethan	F	28.8
Ardlethan	M	41.6
Argalong	F	122.2
Argalong	M	72.7
Argenton	F	40.7
Argenton	M	48.9
Argents Hill	F	35
Argents Hill	M	40.9
Argoon (NSW)	F	75
Argoon (NSW)	M	100
Ariah Park	F	41.9
Ariah Park	M	55.6
Arkell	F	121.4
Arkell	M	63.2
Arkstone	F	80
Arkstone	M	66.7
Armatree	F	48.2
Armatree	M	74.5
Armidale	F	47.7
Armidale	M	52.9
Arncliffe	F	51.4
Arncliffe	M	61.5
Arndell Park	F	100
Arndell Park	M	39.3
Arrawarra	F	17.7
Arrawarra	M	18.8
Arrawarra Headland	F	51.3
Arrawarra Headland	M	49.8
Artarmon	F	61.4
Artarmon	M	70.5
Arthurville	F	78.9
Arthurville	M	66.7
Arumpo	F	83.3
Arumpo	M	125
Ashbury	F	57.5
Ashbury	M	65.5
Ashby (NSW)	F	37
Ashby (NSW)	M	39.2
Ashby Heights	F	35.4
Ashby Heights	M	41.2
Ashby Island	F	50
Ashcroft	F	26.5
Ashcroft	M	39.9
Ashfield (NSW)	F	53.9
Ashfield (NSW)	M	63.3
Ashford (NSW)	F	32.1
Ashford (NSW)	M	37.3
Ashley	F	61.6
Ashley	M	72.9
Ashmont	F	38.7
Ashmont	M	49.9
Ashtonfield	F	60.2
Ashtonfield	M	69.1
Asquith	F	57.9
Asquith	M	68.1
Atholwood	F	29
Atholwood	M	62.9
Attunga	F	55.1
Attunga	M	62.9
Auburn (NSW)	F	36.8
Auburn (NSW)	M	54.5
Auburn Vale	F	58.7
Auburn Vale	M	61.2
Austinmer	F	57.9
Austinmer	M	64.3
Austral	F	41
Austral	M	54.7
Austral Eden	F	63.8
Austral Eden	M	66.1
Avalon Beach	F	58.6
Avalon Beach	M	67.3
Avisford	F	37.5
Avisford	M	20
Avoca (NSW)	F	53.5
Avoca (NSW)	M	77.3
Avoca Beach	F	60.4
Avoca Beach	M	66
Avondale (NSW)	F	51.7
Avondale (NSW)	M	58
Avonside	F	63.8
Avonside	M	50
Awaba	F	56.5
Awaba	M	60.9
Aylmerton	F	55.2
Aylmerton	M	72.6
Baan Baa	F	44.3
Baan Baa	M	66.2
Babinda (NSW)	M	100
Babyl Creek	M	100
Back Creek (Bland - NSW)	F	23.1
Back Creek (Bland - NSW)	M	50
Back Creek (Gwydir - NSW)	F	75
Back Creek (Gwydir - NSW)	M	71.4
Back Creek (Mid-Coast - NSW)	F	50
Back Creek (Mid-Coast - NSW)	M	63.6
Back Creek (Tweed - NSW)	F	37.5
Back Forest	F	68.8
Back Forest	M	79.4
Backmede	F	43.9
Backmede	M	55
Backwater	F	100
Backwater	M	50
Badgerys Creek	F	38.3
Badgerys Creek	M	51.7
Baerami	F	46.7
Baerami	M	53.6
Baerami Creek	F	20
Baerami Creek	M	47.6
Bagnoo	F	50
Bagnoo	M	41.2
Bago	F	43.8
Bago	M	50
Bagotville	F	78.9
Bagotville	M	40.7
Bakers Creek (Mid-Coast - NSW)	F	40
Bakers Creek (Mid-Coast - NSW)	M	53.3
Bakers Creek (Nambucca - NSW)	M	42.9
Bakers Creek (Uralla - NSW)	F	75
Bakers Creek (Uralla - NSW)	M	100
Bakers Swamp	F	40
Bakers Swamp	M	73.9
Balaclava (NSW)	F	51.9
Balaclava (NSW)	M	61.2
Balala	F	44.6
Balala	M	46.2
Balcolyn	F	46.1
Balcolyn	M	53.7
Bald Blair	F	55.6
Bald Blair	M	65
Bald Hills (NSW)	F	51.5
Bald Hills (NSW)	M	52.6
Bald Nob	F	80
Bald Nob	M	133.3
Baldersleigh	F	78.3
Baldersleigh	M	69.6
Baldry	F	58.8
Baldry	M	85.7
Balfours Peak	F	90.9
Balfours Peak	M	40
Balgowlah	F	62.2
Balgowlah	M	71.3
Balgowlah Heights	F	55.3
Balgowlah Heights	M	71.3
Balgownie	F	51.2
Balgownie	M	58.3
Balickera	F	60
Balickera	M	60
Balladoran	F	71.8
Balladoran	M	64.6
Ballalaba	F	40
Ballalaba	M	83.3
Balldale	F	48.3
Balldale	M	51.7
Ballengarra	F	44.4
Ballengarra	M	56.3
Ballimore	F	54.7
Ballimore	M	53.9
Ballina	F	33.7
Ballina	M	41.6
Ballyroe	F	100
Balmain	F	62.8
Balmain	M	67.8
Balmain East	F	55.8
Balmain East	M	66.9
Balmoral (Lake Macquarie - NSW)	F	55.7
Balmoral (Lake Macquarie - NSW)	M	63.1
Balmoral (Wingecarribee - NSW)	F	58.3
Balmoral (Wingecarribee - NSW)	M	68.3
Balranald	F	45.5
Balranald	M	56
Bamarang	F	27.3
Bamarang	M	91.7
Bandon Grove	F	66.7
Bandon Grove	M	73.3
Bangadang	M	100
Bangalee (NSW)	F	55.6
Bangalee (NSW)	M	61.5
Bangalow	F	59.4
Bangalow	M	65.1
Bangheet	F	75
Bangheet	M	63.2
Bango	F	73.8
Bango	M	79.5
Bangor (NSW)	F	61.6
Bangor (NSW)	M	68.6
Banksia	F	54.2
Banksia	M	60.9
Banksmeadow	F	116.7
Banksmeadow	M	81.8
Bankstown	F	37.6
Bankstown	M	54.6
Bannaby	F	47.4
Bannaby	M	30
Bannister (NSW)	F	72.9
Bannister (NSW)	M	65.9
Banoon	F	33.3
Banoon	M	111.1
Banora Point	F	43.3
Banora Point	M	48.6
Banyabba	F	36.4
Banyabba	M	28.6
Bar Beach	F	59.5
Bar Beach	M	59.3
Bar Point	F	37
Bar Point	M	46.7
Bara	F	33.3
Bara	M	62.5
Baradine	F	33.1
Baradine	M	39.4
Barangaroo	F	39.2
Barangaroo	M	48.9
Barden Ridge	F	68.7
Barden Ridge	M	76.2
Bardia	F	63
Bardia	M	78.6
Bardwell Park	F	57.7
Bardwell Park	M	67.2
Bardwell Valley	F	50.4
Bardwell Valley	M	62.1
Barellan	F	46.3
Barellan	M	59
Bargo	F	54
Bargo	M	62.7
Barham	F	40.8
Barham	M	48.1
Barkers Vale	F	35.1
Barkers Vale	M	52.2
Barmedman	F	30.2
Barmedman	M	49.5
Barnsley	F	55.7
Barnsley	M	65.9
Barooga	F	49.8
Barooga	M	53.3
Barraba	F	32.9
Barraba	M	37.2
Barrack Heights	F	45
Barrack Heights	M	51.7
Barrack Point	F	51.1
Barrack Point	M	56.6
Barraganyatti	F	32.3
Barraganyatti	M	29.7
Barragga Bay	F	53.2
Barragga Bay	M	42.9
Barrengarry	F	51.9
Barrengarry	M	48.2
Barretts Creek	F	100
Barretts Creek	M	60
Barringella	F	85.7
Barringella	M	28.6
Barrington (NSW)	F	39.2
Barrington (NSW)	M	43.9
Barry (Blayney - NSW)	F	61.5
Barry (Blayney - NSW)	M	54.9
Barwang	F	59.4
Barwang	M	71.4
Barwon	F	30
Barwon	M	58.3
Baryulgil	F	19
Baryulgil	M	32.4
Basin View	F	42
Basin View	M	48.3
Bass Hill	F	39.4
Bass Hill	M	54.6
Batar Creek	F	30.3
Batar Creek	M	52.8
Bateau Bay	F	46.8
Bateau Bay	M	57.2
Batehaven	F	36.2
Batehaven	M	39.6
Batemans Bay	F	28.7
Batemans Bay	M	32.8
Bathampton	F	78.6
Bathampton	M	77.8
Bathurst	F	49.7
Bathurst	M	55.2
Batlow	F	45.2
Batlow	M	52.2
Baulkham Hills	F	58.7
Baulkham Hills	M	68.9
Baw Baw (NSW)	F	50.5
Baw Baw (NSW)	M	49.1
Bawley Point	F	43.2
Bawley Point	M	42.4
Bayview (NSW)	F	39.4
Bayview (NSW)	M	53.6
Beacon Hill	F	63
Beacon Hill	M	68.5
Beaconsfield (NSW)	F	77.8
Beaconsfield (NSW)	M	77.2
Bean Creek	F	28.6
Bean Creek	M	20.6
Bearbong	F	88
Bearbong	M	65.5
Beaumont (NSW)	F	38.6
Beaumont (NSW)	M	59.6
Beaumont Hills	F	65
Beaumont Hills	M	75.4
Beckom	F	71.8
Beckom	M	64.3
Bective	F	56.6
Bective	M	60
Bectric	F	11.5
Bectric	M	63.2
Bedgerabong	F	47.2
Bedgerabong	M	78.7
Beechwood	F	48.4
Beechwood	M	54
Beecroft	F	55.4
Beecroft	M	64.5
Beelbangera	F	60
Beelbangera	M	64
Beemunnel	M	42.9
Bega	F	45.8
Bega	M	53.2
Beggan Beggan	F	77.4
Beggan Beggan	M	97
Belanglo	F	60
Belanglo	M	70
Belbora	F	54.9
Belbora	M	47.5
Belfield	F	49.1
Belfield	M	61.3
Belford	F	62.5
Belford	M	79.4
Belfrayden	F	33.3
Belfrayden	M	42.9
Belgravia	F	62.8
Belgravia	M	68.9
Belimbla Park	F	61.8
Belimbla Park	M	71.5
Bell (NSW)	F	29.2
Bell (NSW)	M	33.3
Bella Vista	F	61.2
Bella Vista	M	70.8
Bellambi	F	42.7
Bellambi	M	47.6
Bellangry	F	54.8
Bellangry	M	59.1
Bellata	F	57.6
Bellata	M	62
Bellawongarah	F	42.3
Bellawongarah	M	43.3
Bellbird	F	47.8
Bellbird	M	54.1
Bellbird Heights	F	54
Bellbird Heights	M	56.3
Bellbrook	F	31.5
Bellbrook	M	36.2
Bellevue Hill	F	57.7
Bellevue Hill	M	67.3
Bellimbopinni	F	37.3
Bellimbopinni	M	63.8
Bellingen	F	46.9
Bellingen	M	51.9
Bellmount Forest	F	81.3
Bellmount Forest	M	68.9
Belltrees	F	88.9
Belltrees	M	50
Belmont (NSW)	F	43.9
Belmont (NSW)	M	51.5
Belmont North	F	51.5
Belmont North	M	58.3
Belmont South	F	47.9
Belmont South	M	46.1
Belmore	F	43.6
Belmore	M	56.4
Belmore River	F	50.9
Belmore River	M	53.2
Beloka	F	137.5
Beloka	M	36.4
Belrose	F	50.6
Belrose	M	61
Bemboka	F	47.2
Bemboka	M	46.4
Ben Bullen	F	41.5
Ben Bullen	M	55.8
Ben Lomond (NSW)	F	43.9
Ben Lomond (NSW)	M	57.1
Benandarah	F	28.1
Benandarah	M	26.8
Bendalong	F	41.7
Bendalong	M	33.3
Bendemeer	F	47.1
Bendemeer	M	55.5
Bendick Murrell	F	43.5
Bendick Murrell	M	54.7
Bendolba	F	44.7
Bendolba	M	55.1
Bendoura	F	40.7
Bendoura	M	44.4
Benerembah	F	52.5
Benerembah	M	59.6
Bengalla	M	36.4
Bennetts Green	F	42.9
Benolong	F	47.1
Benolong	M	100
Bensville	F	63.6
Bensville	M	70.9
Bentley (NSW)	F	45.1
Bentley (NSW)	M	53.1
Berala	F	42.9
Berala	M	57.8
Berambing	F	75
Berambing	M	44.2
Beresfield	F	43.8
Beresfield	M	51.7
Bergalia	F	56.3
Bergalia	M	50.7
Berkeley	F	40.4
Berkeley	M	52.5
Berkeley Vale	F	54.1
Berkeley Vale	M	64.4
Berkshire Park	F	34.8
Berkshire Park	M	26.5
Bermagui	F	39.3
Bermagui	M	39.1
Berowra	F	66
Berowra	M	71.6
Berowra Creek	F	50
Berowra Creek	M	57.1
Berowra Heights	F	65.9
Berowra Heights	M	71.7
Berowra Waters	F	20
Berowra Waters	M	25.5
Berrambool	F	50
Berrambool	M	46.8
Berrara	F	36
Berrara	M	50
Berremangra	F	60
Berremangra	M	53.8
Berrico	F	69.2
Berrico	M	18.8
Berridale	F	57
Berridale	M	63.1
Berrigal	F	66.7
Berrigal	M	62.5
Berrigan	F	40.9
Berrigan	M	50
Berrilee	F	54.5
Berrilee	M	60.4
Berrima	F	53.7
Berrima	M	58.2
Berringer Lake	F	37.5
Berringer Lake	M	30
Berry	F	40.3
Berry	M	48.6
Berry Jerry	F	45.7
Berry Jerry	M	50
Berry Mountain	F	23.1
Berry Mountain	M	21.4
Berry Park	F	53.7
Berry Park	M	70.2
Berthong	F	78.6
Berthong	M	51.9
Beryl	F	36.4
Beryl	M	50.9
Bethungra	F	47.8
Bethungra	M	63.2
Bevendale	F	50
Bevendale	M	45.5
Beverley Park	F	55.7
Beverley Park	M	61.7
Beverly Hills	F	48.4
Beverly Hills	M	59.6
Bewong	F	72.4
Bewong	M	52.9
Bexhill	F	61.4
Bexhill	M	65.1
Bexley	F	47.8
Bexley	M	58.6
Bexley North	F	49.2
Bexley North	M	58.6
Biala	F	76.5
Biala	M	83.3
Bibbenluke	F	52.6
Bibbenluke	M	47.2
Biddon	F	58.3
Biddon	M	74.4
Bidgeemia	F	84.6
Bidgeemia	M	86.7
Bidwill (NSW)	F	25.5
Bidwill (NSW)	M	37.5
Bielsdown Hills	F	41.7
Bielsdown Hills	M	69.8
Big Hill (NSW)	F	57.9
Big Hill (NSW)	M	81.3
Big Jacks Creek	F	84.2
Big Jacks Creek	M	81
Big Ridge	M	60
Big Springs	F	68
Big Springs	M	75.6
Bigga	F	35.8
Bigga	M	42.2
Bilambil	F	48.8
Bilambil	M	56.5
Bilambil Heights	F	52.4
Bilambil Heights	M	57.8
Bilbul	F	65
Bilbul	M	71.7
Bilgola Beach	F	51.4
Bilgola Beach	M	64
Bilgola Plateau	F	62.9
Bilgola Plateau	M	68.5
Billeroy	F	66.7
Billeroy	M	70
Billilingra	F	100
Billilingra	M	100
Billimari	F	32.8
Billimari	M	52.5
Billinudgel	F	47.7
Billinudgel	M	57.1
Billys Creek	F	36
Billys Creek	M	38.5
Billywillinga	F	51.9
Billywillinga	M	55.6
Bilpin	F	56.7
Bilpin	M	61.7
Bimbi	F	46.2
Bimbi	M	33.3
Bimbimbie	F	45.5
Bimbimbie	M	46.8
Binalong	F	45.8
Binalong	M	64.1
Binda	F	41
Binda	M	54
Bindera	F	25
Bindera	M	69.2
Bingara	F	32.8
Bingara	M	36.8
Bingeebeebra Creek	F	40
Bingeebeebra Creek	M	23.5
Bingie	F	30.3
Bingie	M	47.4
Bingleburra	F	120
Bingleburra	M	66.7
Biniguy	F	57.1
Biniguy	M	58.3
Binjura	F	59.5
Binjura	M	55.5
Binna Burra (NSW)	F	44.2
Binna Burra (NSW)	M	50
Binnaway	F	24.7
Binnaway	M	31.3
Binya	F	66.7
Binya	M	74
Birchgrove	F	61.3
Birchgrove	M	69.7
Birdwood (NSW)	F	58.8
Birdwood (NSW)	M	47.6
Birganbigil	F	47.4
Birganbigil	M	112.5
Birmingham Gardens	F	43.2
Birmingham Gardens	M	43.7
Birriwa	F	38.9
Birriwa	M	33.3
Birrong	F	40.8
Birrong	M	57.5
Bishops Bridge	F	54.3
Bishops Bridge	M	62.7
Bithramere	F	62.3
Bithramere	M	51.9
Black Creek (Port Macquarie-Hastings - NSW)	F	47.8
Black Creek (Port Macquarie-Hastings - NSW)	M	50
Black Creek (Snowy Valleys - NSW)	M	37.5
Black Head	F	30.1
Black Head	M	36.5
Black Hill (NSW)	F	53.3
Black Hill (NSW)	M	64.2
Black Hollow	F	50
Black Hollow	M	71.4
Black Mountain (NSW)	F	56.5
Black Mountain (NSW)	M	64.6
Black Range (NSW)	F	62.9
Black Range (NSW)	M	64.8
Black Springs (NSW)	F	37.2
Black Springs (NSW)	M	49.5
Blackalls Park	F	47.7
Blackalls Park	M	55.9
Blackbutt (NSW)	F	54.4
Blackbutt (NSW)	M	61
Blackett	F	32
Blackett	M	49.1
Blackheath	F	46.7
Blackheath	M	52.5
Blackmans Flat	F	25
Blackmans Flat	M	25
Blackmans Point	F	41.4
Blackmans Point	M	37
Blacksmiths	F	44.2
Blacksmiths	M	50.3
Blacktown	F	48.2
Blacktown	M	63.4
Blackville	F	57.1
Blackville	M	52.2
Blackwall (NSW)	F	46
Blackwall (NSW)	M	50.8
Blair Athol (NSW)	F	61.6
Blair Athol (NSW)	M	68.9
Blairmount	F	56.1
Blairmount	M	68.8
Blakebrook	F	50
Blakebrook	M	60.7
Blakehurst	F	50.9
Blakehurst	M	62.8
Blakney Creek	F	51.9
Blakney Creek	M	65.5
Bland	F	23.1
Bland	M	68.4
Blandford	F	46.7
Blandford	M	71.1
Blaxland (NSW)	F	59
Blaxland (NSW)	M	65.5
Blaxlands Creek	F	45.3
Blaxlands Creek	M	30.2
Blaxlands Ridge	F	59.2
Blaxlands Ridge	M	70.4
Blayney	F	47.5
Blayney	M	57.4
Bligh Park	F	64
Bligh Park	M	78.7
Blighty	F	61.7
Blighty	M	73.7
Blue Bay	F	47
Blue Bay	M	56.6
Blue Haven	F	51
Blue Haven	M	60.8
Blue Knob	F	32
Blue Knob	M	26.9
Blue Nobby	F	100
Blue Nobby	M	57.1
Blue Vale	F	66.7
Blue Vale	M	88.9
Blueys Beach	F	35.6
Blueys Beach	M	38.4
Boambee	F	58.8
Boambee	M	59.7
Boambee East	F	52.5
Boambee East	M	56.1
Boambolo	F	79.2
Boambolo	M	95
Boat Harbour (Lismore - NSW)	F	55
Boat Harbour (Lismore - NSW)	M	56.9
Boat Harbour (Port Stephens - NSW)	F	51.9
Boat Harbour (Port Stephens - NSW)	M	60.9
Bobadah	F	100
Bobadah	M	37.5
Bobin	F	42.4
Bobin	M	32.4
Bobs Creek	F	47.4
Bobs Creek	M	57.1
Bobs Farm	F	55.9
Bobs Farm	M	56.5
Bobundara	F	77.8
Bobundara	M	70
Bocoble	F	49
Bocoble	M	33.8
Bocobra	F	31.3
Bocobra	M	37.9
Bodalla	F	48.1
Bodalla	M	48.6
Bodangora	F	53.6
Bodangora	M	52.3
Boeill Creek	F	62.8
Boeill Creek	M	46.7
Bogan	F	75
Bogan	M	37.5
Bogan Gate	F	41.6
Bogan Gate	M	44.6
Bogangar	F	55.8
Bogangar	M	60.3
Bogee	F	25
Bogee	M	35.9
Boggabilla	F	31.7
Boggabilla	M	38.5
Boggabri	F	44.1
Boggabri	M	51.6
Bohena Creek	F	58.9
Bohena Creek	M	60.3
Bohnock	F	51.7
Bohnock	M	60.9
Bolaro	F	33.3
Bolaro	M	28.6
Bolivia	F	58.3
Bolivia	M	69.2
Bolong	F	67.5
Bolong	M	78.8
Bolton Point	F	37.8
Bolton Point	M	42.9
Bolwarra (NSW)	F	53.2
Bolwarra (NSW)	M	65.1
Bolwarra Heights	F	61.3
Bolwarra Heights	M	68.4
Bomaderry	F	39.5
Bomaderry	M	47.1
Bombala	F	48.2
Bombala	M	61.8
Bombay	F	67.4
Bombay	M	71.7
Bombira	F	58.6
Bombira	M	62.7
Bombo	F	55.1
Bombo	M	52.8
Bombowlee	F	48.1
Bombowlee	M	59
Bombowlee Creek	F	23.1
Bombowlee Creek	M	72.7
Bomen	F	100
Bomen	M	80
Bomera	F	40
Bomera	M	66.7
Bonalbo	F	29.4
Bonalbo	M	31.4
Bondi	F	64.2
Bondi	M	68.7
Bondi Beach	F	65.3
Bondi Beach	M	68.8
Bondi Junction	F	57.9
Bondi Junction	M	64.5
Bonnells Bay	F	48.7
Bonnells Bay	M	52.1
Bonnet Bay	F	64.5
Bonnet Bay	M	68.6
Bonny Hills	F	49.9
Bonny Hills	M	51.6
Bonnyrigg	F	37
Bonnyrigg	M	50.6
Bonnyrigg Heights	F	47.3
Bonnyrigg Heights	M	60.1
Bonshaw (NSW)	F	53.8
Bonshaw (NSW)	M	60.5
Bonville	F	54.3
Bonville	M	56.4
Booerie Creek	F	49.4
Booerie Creek	M	32.9
Book Book	F	63.6
Book Book	M	69.7
Booker Bay	F	37.7
Booker Bay	M	44.4
Bookham	F	55.7
Bookham	M	67.6
Bookookoorara	M	50
Boolambayte	F	34.3
Boolambayte	M	48.7
Boolaroo	F	50.1
Boolaroo	M	60.1
Boolcarroll	M	100
Booligal	F	61.1
Booligal	M	86.4
Boomanoomana	F	44.8
Boomanoomana	M	48.9
Boomerang Beach	F	53.6
Boomerang Beach	M	56.8
Boomey	F	93.8
Boomey	M	80
Boomi	F	63.8
Boomi	M	71.6
Boomi Creek	F	30
Boomi Creek	M	54.5
Boona Mount	F	75
Boona Mount	M	42.9
Boonal	F	40
Boonal	M	106.3
Boonoo Boonoo	M	50
Boorabee Park	F	71.9
Boorabee Park	M	51
Booragul	F	37.7
Booragul	M	46.9
Booral (NSW)	F	51.2
Booral (NSW)	M	64.8
Boorga	F	150
Boorga	M	200
Boorganna	F	45.5
Boorolong	F	48.6
Boorolong	M	51.5
Boorook	M	54.5
Boorooma	F	74.5
Boorooma	M	72.5
Booroorban	F	76.9
Booroorban	M	65
Boorowa	F	45.2
Boorowa	M	56.5
Bootawa	F	45.3
Bootawa	M	39.7
Booyong	F	67.9
Booyong	M	61.8
Bora Ridge	F	54.8
Bora Ridge	M	51.1
Borah Creek	F	40
Borah Creek	M	50
Borambola	F	71.4
Borambola	M	90.9
Boree	F	47.6
Boree	M	87.5
Boree Creek	F	46.3
Boree Creek	M	62.3
Borenore	F	66.7
Borenore	M	64.9
Boro	F	40
Boro	M	52.5
Bossley Park	F	41.5
Bossley Park	M	55
Bostobrick	F	56.6
Bostobrick	M	39.7
Botany	F	62.5
Botany	M	68.7
Botobolar	F	83.9
Botobolar	M	81.8
Bottle Creek	F	37.5
Bottle Creek	M	44.4
Bourbah	F	42.9
Bourbah	M	140
Bourke	F	49.9
Bourke	M	52.4
Bourkelands	F	69.2
Bourkelands	M	76
Bournda	F	54
Bournda	M	52.8
Bournewood	F	63.2
Bournewood	M	58.3
Bow Bowing	F	62.5
Bow Bowing	M	74.3
Bowan Park	F	69
Bowan Park	M	75
Bowen Mountain	F	63.5
Bowen Mountain	M	71.6
Bowenfels	F	32.3
Bowenfels	M	35.4
Bowling Alley Point	F	36.4
Bowling Alley Point	M	30
Bowman	F	31.5
Bowman	M	46.6
Bowman Farm	F	46.7
Bowman Farm	M	34.6
Bowna	F	61.9
Bowna	M	71.4
Bowning	F	57.1
Bowning	M	62.1
Bowral	F	42.3
Bowral	M	51.9
Bowraville	F	39.2
Bowraville	M	40.8
Box Hill (NSW)	F	50.5
Box Hill (NSW)	M	59.7
Box Ridge	F	40
Box Ridge	M	43.5
Boxers Creek	F	53.3
Boxers Creek	M	62.2
Boydtown	F	31.4
Boydtown	M	33.3
Bradbury (NSW)	F	48.2
Bradbury (NSW)	M	60
Braefield	F	54.5
Braefield	M	42.4
Braemar	F	62.1
Braemar	M	77.7
Braemar Bay	F	50
Braemar Bay	M	25
Braidwood	F	45
Braidwood	M	57.7
Brandy Hill	F	58.9
Brandy Hill	M	69.6
Branxton	F	56.5
Branxton	M	66.4
Braunstone	F	43.3
Braunstone	M	52.3
Brawboy	F	33.3
Brawboy	M	100
Bray Park (NSW)	F	34.7
Bray Park (NSW)	M	46.1
Brays Creek	F	47.1
Brays Creek	M	28
Brayton	F	45.1
Brayton	M	54.3
Breadalbane (NSW)	F	52.8
Breadalbane (NSW)	M	54.1
Breakfast Creek	F	15.8
Breakfast Creek	M	35
Breakfast Point	F	57
Breakfast Point	M	68.8
Bredbo	F	55.6
Bredbo	M	73.9
Breelong	F	47.8
Breelong	M	46.4
Breeza	F	52.5
Breeza	M	68.8
Bretti	M	23.1
Brewarrina	F	36.7
Brewarrina	M	35.1
Brewongle	F	54.7
Brewongle	M	56
Bribbaree	F	51
Bribbaree	M	65.1
Bridgman	F	66.7
Bridgman	M	82.9
Brierfield	F	51.3
Brierfield	M	55.9
Brighton-le-Sands	F	50.2
Brighton-le-Sands	M	60.9
Brightwaters	F	48
Brightwaters	M	54.1
Brimbin	F	50
Brimbin	M	42.3
Brindabella	F	30.8
Brindabella	M	55.6
Bringelly	F	51.7
Bringelly	M	64.8
Bringenbrong	F	61.1
Bringenbrong	M	68.4
Brisbane Grove	F	53.4
Brisbane Grove	M	61.4
Broadmeadow	F	61.8
Broadmeadow	M	63.6
Broadwater (Bega Valley - NSW)	F	34
Broadwater (Bega Valley - NSW)	M	59.6
Broadwater (Richmond Valley - NSW)	F	50.2
Broadwater (Richmond Valley - NSW)	M	49.5
Broadway	F	75
Broadway	M	69.2
Brobenah	F	50
Brobenah	M	60
Brocklehurst	F	56.4
Brocklehurst	M	63.4
Brocklesby	F	55.9
Brocklesby	M	57.5
Brockley	F	54.5
Brockley	M	68.8
Brodies Plains	F	66.7
Brodies Plains	M	47.4
Brogers Creek	F	56.3
Brogers Creek	M	47.1
Brogo	F	46.3
Brogo	M	50.4
Broke (NSW)	F	47.8
Broke (NSW)	M	49.4
Broken Head	F	55.6
Broken Head	M	56.5
Broken Hill	F	44.6
Broken Hill	M	49.4
