SSC_NAME16	OnlyEnglishSpokenHome	Sex	persons
Aarons Pass	1	F	6
Aarons Pass	1	M	12
Abbotsbury	0	F	1012
Abbotsbury	0	M	911
Abbotsbury	1	F	1102
Abbotsbury	1	M	1098
Abbotsford (NSW)	0	F	785
Abbotsford (NSW)	0	M	674
Abbotsford (NSW)	1	F	1867
Abbotsford (NSW)	1	M	1679
Abercrombie	0	F	18
Abercrombie	0	M	19
Abercrombie	1	F	539
Abercrombie	1	M	499
Abercrombie River	1	F	11
Abercrombie River	1	M	8
Aberdare	0	F	21
Aberdare	0	M	24
Aberdare	1	F	1164
Aberdare	1	M	1120
Aberdeen (NSW)	0	F	25
Aberdeen (NSW)	0	M	14
Aberdeen (NSW)	1	F	935
Aberdeen (NSW)	1	M	935
Aberfoyle	1	F	43
Aberfoyle	1	M	50
Aberglasslyn	0	F	145
Aberglasslyn	0	M	126
Aberglasslyn	1	F	2531
Aberglasslyn	1	M	2408
Abermain	0	F	20
Abermain	0	M	13
Abermain	1	F	1090
Abermain	1	M	1082
Abernethy	0	F	3
Abernethy	0	M	3
Abernethy	1	F	134
Abernethy	1	M	141
Abington (NSW)	1	F	3
Abington (NSW)	1	M	5
Acacia Creek	0	M	3
Acacia Creek	1	F	20
Acacia Creek	1	M	20
Acacia Gardens	0	F	824
Acacia Gardens	0	M	823
Acacia Gardens	1	F	1029
Acacia Gardens	1	M	1025
Adaminaby	0	F	7
Adaminaby	0	M	8
Adaminaby	1	F	130
Adaminaby	1	M	143
Adamstown	0	F	240
Adamstown	0	M	225
Adamstown	1	F	2804
Adamstown	1	M	2602
Adamstown Heights	0	F	244
Adamstown Heights	0	M	227
Adamstown Heights	1	F	2345
Adamstown Heights	1	M	2369
Adelong	0	F	10
Adelong	0	M	16
Adelong	1	F	433
Adelong	1	M	432
Adjungbilly	1	F	37
Adjungbilly	1	M	40
Afterlee	1	F	22
Afterlee	1	M	27
Agnes Banks	0	F	38
Agnes Banks	0	M	34
Agnes Banks	1	F	382
Agnes Banks	1	M	413
Airds	0	F	272
Airds	0	M	188
Airds	1	F	1153
Airds	1	M	986
Akolele	0	M	7
Akolele	1	F	59
Akolele	1	M	60
Albert	1	F	33
