SSC_NAME16	OnlyEnglishSpokenHome	Sex	persons
Albert	1	M	33
Albion Park	0	F	413
Albion Park	0	M	360
Albion Park	1	F	6217
Albion Park	1	M	5834
Albion Park Rail	0	F	215
Albion Park Rail	0	M	184
Albion Park Rail	1	F	3142
Albion Park Rail	1	M	2999
Albury	0	F	174
Albury	0	M	167
Albury	1	F	2100
Albury	1	M	1951
Aldavilla	1	F	326
Aldavilla	1	M	334
Alectown	0	F	3
Alectown	1	F	75
Alectown	1	M	79
Alexandria	0	F	876
Alexandria	0	M	761
Alexandria	1	F	2874
Alexandria	1	M	3102
Alfords Point	0	F	470
Alfords Point	0	M	410
Alfords Point	1	F	1077
Alfords Point	1	M	1083
Alfredtown	1	F	48
Alfredtown	1	M	48
Alice	1	F	3
Alice	1	M	3
Alison (Central Coast - NSW)	1	F	38
Alison (Central Coast - NSW)	1	M	39
Alison (Dungog - NSW)	1	F	28
Alison (Dungog - NSW)	1	M	39
Allambie Heights	0	F	497
Allambie Heights	0	M	399
Allambie Heights	1	F	2962
Allambie Heights	1	M	2912
Allandale (NSW)	1	F	34
Allandale (NSW)	1	M	31
Allawah	0	F	1994
Allawah	0	M	1947
Allawah	1	F	756
Allawah	1	M	790
Alleena	1	F	23
Alleena	1	M	27
Allgomera	1	F	67
Allgomera	1	M	55
Allworth	0	F	3
Allworth	0	M	4
Allworth	1	F	69
Allworth	1	M	82
Allynbrook	1	F	25
Allynbrook	1	M	37
Alma Park	1	F	28
Alma Park	1	M	27
Alpine	0	M	4
Alpine	1	F	60
Alpine	1	M	59
Alstonvale	0	F	6
Alstonvale	0	M	10
Alstonvale	1	F	209
Alstonvale	1	M	193
Alstonville	0	F	93
Alstonville	0	M	86
Alstonville	1	F	2869
Alstonville	1	M	2398
Alumy Creek	1	F	46
Alumy Creek	1	M	40
Amaroo (NSW)	1	F	20
Amaroo (NSW)	1	M	17
Ambarvale	0	F	872
Ambarvale	0	M	751
Ambarvale	1	F	2634
Ambarvale	1	M	2599
Amosfield	1	F	17
Amosfield	1	M	17
Anabranch North	1	F	3
Anabranch North	1	M	3
Anabranch South	1	F	14
Anabranch South	1	M	23
Anambah	1	F	8
Anambah	1	M	11
Ando	1	F	31
Ando	1	M	39
Anembo	0	M	3
Anembo	1	F	21
Anembo	1	M	25
Angledale	1	F	64
Angledale	1	M	72
Angledool	0	F	4
Angledool	1	F	17
Angledool	1	M	26
Anglers Reach	0	F	3
Anglers Reach	0	M	5
Anglers Reach	1	F	25
Anglers Reach	1	M	33
Angourie	0	F	8
Angourie	0	M	3
Angourie	1	F	96
Angourie	1	M	92
Anna Bay	0	F	81
Anna Bay	0	M	61
Anna Bay	1	F	1692
Anna Bay	1	M	1633
Annandale (NSW)	0	F	781
Annandale (NSW)	0	M	663
Annandale (NSW)	1	F	3792
Annandale (NSW)	1	M	3529
Annangrove	0	F	54
Annangrove	0	M	64
Annangrove	1	F	591
Annangrove	1	M	634
Appin (NSW)	0	F	71
Appin (NSW)	0	M	83
Appin (NSW)	1	F	1141
Appin (NSW)	1	M	1175
Apple Tree Flat	1	F	14
Apple Tree Flat	1	M	14
Appleby	1	F	16
Appleby	1	M	19
Appletree Flat	1	F	9
Appletree Flat	1	M	9
Apsley (NSW)	1	F	49
Apsley (NSW)	1	M	56
Arable	1	F	4
Arable	1	M	7
Arakoon	0	F	9
Arakoon	0	M	6
Arakoon	1	F	181
Arakoon	1	M	202
Araluen (NSW)	0	F	4
Araluen (NSW)	0	M	4
Araluen (NSW)	1	F	65
Araluen (NSW)	1	M	70
Aratula (NSW)	1	F	5
Arcadia (NSW)	0	F	52
Arcadia (NSW)	0	M	52
Arcadia (NSW)	1	F	612
Arcadia (NSW)	1	M	621
Arcadia Vale	0	F	14
Arcadia Vale	0	M	12
Arcadia Vale	1	F	632
Arcadia Vale	1	M	659
Ardglen	1	F	27
Ardglen	1	M	24
Arding	1	F	94
Arding	1	M	110
Ardlethan	0	F	4
Ardlethan	0	M	7
Ardlethan	1	F	213
Ardlethan	1	M	212
Argalong	1	F	19
Argalong	1	M	11
Argenton	0	F	54
Argenton	0	M	45
Argenton	1	F	589
Argenton	1	M	598
Argents Hill	1	F	87
Argents Hill	1	M	116
Argoon (NSW)	1	F	9
Argoon (NSW)	1	M	10
Ariah Park	0	M	3
Ariah Park	1	F	224
Ariah Park	1	M	228
Arkell	1	F	15
Arkell	1	M	27
Arkstone	1	F	6
Arkstone	1	M	15
Armatree	1	F	70
Armatree	1	M	70
Armidale	0	F	1113
Armidale	0	M	1083
Armidale	1	F	10192
Armidale	1	M	9256
Arncliffe	0	F	3095
Arncliffe	0	M	2978
Arncliffe	1	F	1887
Arncliffe	1	M	1998
Arndell Park	0	F	3
Arndell Park	0	M	5
Arndell Park	1	F	3
Arndell Park	1	M	10
Arrawarra	0	F	6
Arrawarra	0	M	5
Arrawarra	1	F	230
Arrawarra	1	M	224
Arrawarra Headland	0	F	15
Arrawarra Headland	0	M	14
Arrawarra Headland	1	F	245
Arrawarra Headland	1	M	251
Artarmon	0	F	2265
Artarmon	0	M	1928
Artarmon	1	F	2357
Artarmon	1	M	2480
Arthurville	1	F	18
Arthurville	1	M	17
Arumpo	1	F	18
Arumpo	1	M	15
Ashbury	0	F	640
Ashbury	0	M	596
Ashbury	1	F	976
Ashbury	1	M	995
Ashby (NSW)	0	F	5
Ashby (NSW)	1	F	147
Ashby (NSW)	1	M	153
Ashby Heights	1	F	104
Ashby Heights	1	M	106
Ashby Island	1	F	3
Ashby Island	1	M	4
Ashcroft	0	F	911
Ashcroft	0	M	863
Ashcroft	1	F	716
Ashcroft	1	M	691
Ashfield (NSW)	0	F	6651
Ashfield (NSW)	0	M	6272
Ashfield (NSW)	1	F	4664
Ashfield (NSW)	1	M	4756
Ashford (NSW)	0	F	5
Ashford (NSW)	0	M	7
Ashford (NSW)	1	F	290
Ashford (NSW)	1	M	280
Ashley	0	F	3
Ashley	1	F	158
Ashley	1	M	180
Ashmont	0	F	64
Ashmont	0	M	68
Ashmont	1	F	1795
Ashmont	1	M	1598
Ashtonfield	0	F	184
Ashtonfield	0	M	173
Ashtonfield	1	F	2096
Ashtonfield	1	M	2005
Asquith	0	F	494
Asquith	0	M	431
Asquith	1	F	1207
Asquith	1	M	1129
Atholwood	0	F	6
Atholwood	0	M	3
Atholwood	1	F	35
Atholwood	1	M	37
Attunga	0	M	3
Attunga	1	F	250
Attunga	1	M	270
Auburn (NSW)	0	F	13608
Auburn (NSW)	0	M	16821
Auburn (NSW)	1	F	2223
Auburn (NSW)	1	M	2599
Auburn Vale	1	F	55
Auburn Vale	1	M	55
Austinmer	0	F	78
Austinmer	0	M	55
Austinmer	1	F	1166
Austinmer	1	M	1128
Austral	0	F	590
Austral	0	M	530
Austral	1	F	751
Austral	1	M	817
Austral Eden	0	F	5
Austral Eden	1	F	61
Austral Eden	1	M	75
Avalon Beach	0	F	317
Avalon Beach	0	M	270
Avalon Beach	1	F	4554
Avalon Beach	1	M	4348
Avisford	1	F	9
Avisford	1	M	10
Avoca (NSW)	0	M	3
Avoca (NSW)	1	F	99
Avoca (NSW)	1	M	89
Avoca Beach	0	F	113
Avoca Beach	0	M	97
Avoca Beach	1	F	2088
Avoca Beach	1	M	2071
Avondale (NSW)	0	F	59
Avondale (NSW)	0	M	54
Avondale (NSW)	1	F	743
Avondale (NSW)	1	M	707
Avonside	0	F	5
Avonside	0	M	3
Avonside	1	F	52
Avonside	1	M	54
Awaba	0	F	7
Awaba	1	F	175
Awaba	1	M	197
Aylmerton	0	F	4
Aylmerton	0	M	4
Aylmerton	1	F	89
Aylmerton	1	M	87
Baan Baa	1	F	62
Baan Baa	1	M	78
Babinda (NSW)	1	M	3
Babyl Creek	1	F	3
Babyl Creek	1	M	9
Back Creek (Bland - NSW)	1	F	23
Back Creek (Bland - NSW)	1	M	21
Back Creek (Gwydir - NSW)	1	F	5
Back Creek (Gwydir - NSW)	1	M	9
Back Creek (Mid-Coast - NSW)	1	F	6
Back Creek (Mid-Coast - NSW)	1	M	13
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	F	7
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	M	4
Back Creek (Tenterfield - NSW)	1	F	3
Back Creek (Tenterfield - NSW)	1	M	7
Back Creek (Tweed - NSW)	1	F	7
Back Creek (Tweed - NSW)	1	M	5
Back Forest	0	M	3
Back Forest	1	F	33
Back Forest	1	M	37
Backmede	1	F	66
Backmede	1	M	69
Backwater	1	F	4
Backwater	1	M	8
Badgerys Creek	0	F	41
Badgerys Creek	0	M	42
Badgerys Creek	1	F	63
Badgerys Creek	1	M	69
Badja	1	M	3
Baerami	1	F	22
Baerami	1	M	28
Baerami Creek	1	F	12
Baerami Creek	1	M	16
Bagnoo	1	F	17
Bagnoo	1	M	23
Bago	1	F	19
Bago	1	M	16
Bagotville	1	F	16
Bagotville	1	M	23
Bakers Creek (Mid-Coast - NSW)	0	F	3
Bakers Creek (Mid-Coast - NSW)	1	F	15
Bakers Creek (Mid-Coast - NSW)	1	M	21
Bakers Creek (Nambucca - NSW)	1	F	3
Bakers Creek (Nambucca - NSW)	1	M	5
Bakers Creek (Uralla - NSW)	1	F	5
Bakers Creek (Uralla - NSW)	1	M	5
Bakers Swamp	1	F	18
Bakers Swamp	1	M	21
Balaclava (NSW)	0	F	25
Balaclava (NSW)	0	M	20
Balaclava (NSW)	1	F	206
Balaclava (NSW)	1	M	184
Balala	1	F	54
Balala	1	M	53
Balcolyn	0	F	21
Balcolyn	0	M	13
Balcolyn	1	F	456
Balcolyn	1	M	428
Bald Blair	1	F	23
Bald Blair	1	M	24
Bald Hills (NSW)	0	F	3
Bald Hills (NSW)	0	M	4
Bald Hills (NSW)	1	F	124
Bald Hills (NSW)	1	M	121
Bald Nob	1	F	4
Bald Nob	1	M	9
Bald Ridge	1	M	3
Baldersleigh	0	F	3
Baldersleigh	1	F	23
Baldersleigh	1	M	21
Baldry	1	F	49
Baldry	1	M	44
Balfours Peak	1	F	11
Balfours Peak	1	M	19
Balgowlah	0	F	572
Balgowlah	0	M	467
Balgowlah	1	F	3337
Balgowlah	1	M	3133
Balgowlah Heights	0	F	195
Balgowlah Heights	0	M	138
Balgowlah Heights	1	F	1479
Balgowlah Heights	1	M	1424
Balgownie	0	F	494
Balgownie	0	M	412
Balgownie	1	F	2269
Balgownie	1	M	2151
Balickera	1	F	10
Balickera	1	M	9
Balladoran	1	F	45
Balladoran	1	M	51
Ballalaba	1	F	5
Ballalaba	1	M	11
Balldale	1	F	58
Balldale	1	M	73
Ballengarra	0	F	3
Ballengarra	1	F	46
Ballengarra	1	M	37
Ballimore	1	F	79
Ballimore	1	M	82
Ballina	0	F	166
Ballina	0	M	158
Ballina	1	F	3966
Ballina	1	M	3390
Ballyroe	1	F	3
Ballyroe	1	M	6
Balmain	0	F	666
Balmain	0	M	584
Balmain	1	F	4321
Balmain	1	M	3974
Balmain East	0	F	114
Balmain East	0	M	102
Balmain East	1	F	785
Balmain East	1	M	760
Balmoral (Lake Macquarie - NSW)	0	F	14
Balmoral (Lake Macquarie - NSW)	0	M	12
Balmoral (Lake Macquarie - NSW)	1	F	333
Balmoral (Lake Macquarie - NSW)	1	M	354
Balmoral (Wingecarribee - NSW)	0	F	12
Balmoral (Wingecarribee - NSW)	0	M	10
Balmoral (Wingecarribee - NSW)	1	F	186
Balmoral (Wingecarribee - NSW)	1	M	207
Balranald	0	F	18
Balranald	0	M	30
Balranald	1	F	577
Balranald	1	M	604
Bamarang	1	F	12
Bamarang	1	M	15
Bandon Grove	1	F	55
Bandon Grove	1	M	55
Bangadang	1	F	9
Bangadang	1	M	4
Bangalee (NSW)	0	F	8
Bangalee (NSW)	0	M	6
Bangalee (NSW)	1	F	308
Bangalee (NSW)	1	M	307
Bangalow	0	F	57
Bangalow	0	M	46
Bangalow	1	F	909
Bangalow	1	M	843
Bangheet	1	F	16
Bangheet	1	M	20
Bango	1	F	47
Bango	1	M	48
Bangor (NSW)	0	F	299
Bangor (NSW)	0	M	279
Bangor (NSW)	1	F	2443
Bangor (NSW)	1	M	2412
Banksia	0	F	897
Banksia	0	M	864
Banksia	1	F	723
Banksia	1	M	704
Banksmeadow	1	F	9
Banksmeadow	1	M	11
Bankstown	0	F	12233
Bankstown	0	M	11652
Bankstown	1	F	2736
Bankstown	1	M	2936
Bannaby	1	F	16
Bannaby	1	M	16
Bannister (NSW)	1	F	56
Bannister (NSW)	1	M	56
Banoon	1	F	13
Banoon	1	M	12
Banora Point	0	F	398
Banora Point	0	M	280
Banora Point	1	F	7833
Banora Point	1	M	6916
Banyabba	1	F	17
Banyabba	1	M	22
Bar Beach	0	F	33
Bar Beach	0	M	33
Bar Beach	1	F	497
Bar Beach	1	M	581
Bar Point	0	F	3
Bar Point	0	M	3
Bar Point	1	F	23
Bar Point	1	M	33
Bara	1	F	12
Bara	1	M	12
Baradine	0	M	3
Baradine	1	F	353
Baradine	1	M	361
Barangaroo	0	F	27
Barangaroo	0	M	28
Barangaroo	1	F	23
Barangaroo	1	M	35
Barden Ridge	0	F	293
Barden Ridge	0	M	261
Barden Ridge	1	F	1836
Barden Ridge	1	M	1825
Bardia	0	F	438
Bardia	0	M	402
Bardia	1	F	312
Bardia	1	M	344
Bardwell Park	0	F	562
Bardwell Park	0	M	520
Bardwell Park	1	F	545
Bardwell Park	1	M	542
Bardwell Valley	0	F	580
Bardwell Valley	0	M	490
Bardwell Valley	1	F	571
Bardwell Valley	1	M	589
Barellan	0	F	4
Barellan	0	M	6
Barellan	1	F	215
Barellan	1	M	250
Bargo	0	F	125
Bargo	0	M	122
Bargo	1	F	1954
Bargo	1	M	1961
Barham	0	F	22
Barham	0	M	15
Barham	1	F	690
Barham	1	M	660
Barigan	1	F	3
Barkers Vale	0	F	14
Barkers Vale	0	M	5
Barkers Vale	1	F	56
Barkers Vale	1	M	77
Barmedman	0	M	3
Barmedman	1	F	200
Barmedman	1	M	211
Barnsley	0	F	23
Barnsley	0	M	19
Barnsley	1	F	825
Barnsley	1	M	831
Barooga	0	F	44
Barooga	0	M	41
Barooga	1	F	775
Barooga	1	M	800
Barraba	0	F	13
Barraba	0	M	11
Barraba	1	F	642
Barraba	1	M	588
Barrack Heights	0	F	417
Barrack Heights	0	M	409
Barrack Heights	1	F	2468
Barrack Heights	1	M	2305
Barrack Point	0	F	23
Barrack Point	0	M	17
Barrack Point	1	F	287
Barrack Point	1	M	298
Barraganyatti	0	F	4
Barraganyatti	0	M	3
Barraganyatti	1	F	56
Barraganyatti	1	M	61
Barragga Bay	1	F	48
Barragga Bay	1	M	42
Barrengarry	1	F	70
Barrengarry	1	M	86
Barretts Creek	1	F	5
Barretts Creek	1	M	4
Barringella	1	F	15
Barringella	1	M	15
Barrington (NSW)	0	F	3
Barrington (NSW)	1	F	171
Barrington (NSW)	1	M	163
Barry (Blayney - NSW)	0	F	4
Barry (Blayney - NSW)	0	M	3
Barry (Blayney - NSW)	1	F	74
Barry (Blayney - NSW)	1	M	73
Barry (Upper Hunter Shire - NSW)	1	M	3
Barwang	1	F	31
Barwang	1	M	37
Barwon	1	F	18
Barwon	1	M	14
Baryulgil	0	F	3
Baryulgil	0	M	3
Baryulgil	1	F	36
Baryulgil	1	M	32
Basin View	0	F	32
Basin View	0	M	17
Basin View	1	F	708
Basin View	1	M	674
Bass Hill	0	F	2725
Bass Hill	0	M	2564
Bass Hill	1	F	1687
Bass Hill	1	M	1723
Batar Creek	1	F	35
Batar Creek	1	M	31
Bateau Bay	0	F	216
Bateau Bay	0	M	164
Bateau Bay	1	F	5819
Bateau Bay	1	M	5231
Batehaven	0	F	55
Batehaven	0	M	44
Batehaven	1	F	846
Batehaven	1	M	732
Batemans Bay	0	F	35
Batemans Bay	0	M	40
Batemans Bay	1	F	659
Batemans Bay	1	M	633
Bathampton	0	M	3
Bathampton	1	F	17
Bathampton	1	M	17
Bathurst	0	F	273
Bathurst	0	M	275
Bathurst	1	F	2921
Bathurst	1	M	2829
Batlow	0	F	69
Batlow	0	M	62
Batlow	1	F	515
Batlow	1	M	546
Baulkham Hills	0	F	6938
Baulkham Hills	0	M	6314
Baulkham Hills	1	F	11497
Baulkham Hills	1	M	11390
Baw Baw (NSW)	0	F	3
Baw Baw (NSW)	0	M	4
Baw Baw (NSW)	1	F	108
Baw Baw (NSW)	1	M	120
Bawley Point	0	F	9
Bawley Point	0	M	9
Bawley Point	1	F	321
Bawley Point	1	M	319
Bayview (NSW)	0	F	138
Bayview (NSW)	0	M	125
Bayview (NSW)	1	F	1694
Bayview (NSW)	1	M	1442
Beacon Hill	0	F	750
Beacon Hill	0	M	727
Beacon Hill	1	F	2839
Beacon Hill	1	M	2864
Beaconsfield (NSW)	0	F	128
Beaconsfield (NSW)	0	M	139
Beaconsfield (NSW)	1	F	317
Beaconsfield (NSW)	1	M	340
Bean Creek	1	F	28
Bean Creek	1	M	29
Bearbong	1	F	18
Bearbong	1	M	35
Beaumont (NSW)	0	F	3
Beaumont (NSW)	0	M	3
Beaumont (NSW)	1	F	48
Beaumont (NSW)	1	M	49
Beaumont Hills	0	F	1514
Beaumont Hills	0	M	1408
Beaumont Hills	1	F	2897
Beaumont Hills	1	M	2963
Beckom	1	F	51
Beckom	1	M	67
Bective	1	F	87
Bective	1	M	93
Bectric	1	F	24
Bectric	1	M	23
Bedgerabong	0	F	3
Bedgerabong	0	M	3
Bedgerabong	1	F	59
Bedgerabong	1	M	70
Beechwood	0	F	10
Beechwood	0	M	4
Beechwood	1	F	301
Beechwood	1	M	275
Beecroft	0	F	1489
Beecroft	0	M	1254
Beecroft	1	F	3258
Beecroft	1	M	3018
Beelbangera	0	F	9
Beelbangera	0	M	15
Beelbangera	1	F	175
Beelbangera	1	M	177
Beemunnel	1	F	7
Beemunnel	1	M	9
Bega	0	F	92
Bega	0	M	66
Bega	1	F	2169
Bega	1	M	2012
Beggan Beggan	1	F	48
Beggan Beggan	1	M	41
Belanglo	0	M	3
Belanglo	1	F	13
Belanglo	1	M	9
Belbora	1	F	50
Belbora	1	M	54
Belfield	0	F	1799
Belfield	0	M	1592
Belfield	1	F	1334
Belfield	1	M	1338
Belford	0	F	3
Belford	0	M	3
Belford	1	F	77
Belford	1	M	72
Belfrayden	1	F	13
Belfrayden	1	M	14
Belgravia	0	M	3
Belgravia	1	F	60
Belgravia	1	M	55
Belimbla Park	0	F	21
Belimbla Park	0	M	20
Belimbla Park	1	F	258
Belimbla Park	1	M	260
Bell (NSW)	1	F	22
Bell (NSW)	1	M	22
Bella Vista	0	F	1930
Bella Vista	0	M	1831
Bella Vista	1	F	1921
Bella Vista	1	M	1923
Bellambi	0	F	214
Bellambi	0	M	189
Bellambi	1	F	1707
Bellambi	1	M	1613
Bellangry	1	F	45
Bellangry	1	M	41
Bellata	1	F	151
Bellata	1	M	166
Bellawongarah	0	F	3
Bellawongarah	0	M	3
Bellawongarah	1	F	49
Bellawongarah	1	M	59
Bellbird	0	F	15
Bellbird	0	M	14
Bellbird	1	F	946
Bellbird	1	M	914
Bellbird Heights	0	F	12
Bellbird Heights	0	M	13
Bellbird Heights	1	F	400
Bellbird Heights	1	M	337
Bellbrook	0	M	8
Bellbrook	1	F	123
Bellbrook	1	M	132
Bellevue Hill	0	F	998
Bellevue Hill	0	M	871
Bellevue Hill	1	F	4082
Bellevue Hill	1	M	3939
Bellimbopinni	0	F	3
Bellimbopinni	1	F	47
Bellimbopinni	1	M	51
Bellingen	0	F	99
Bellingen	0	M	77
Bellingen	1	F	1813
Bellingen	1	M	1563
Bellmount Forest	0	F	3
Bellmount Forest	0	M	3
Bellmount Forest	1	F	59
Bellmount Forest	1	M	51
Belltrees	1	F	10
Belltrees	1	M	13
Belmont (NSW)	0	F	159
Belmont (NSW)	0	M	102
Belmont (NSW)	1	F	3297
Belmont (NSW)	1	M	3158
Belmont North	0	F	116
Belmont North	0	M	109
Belmont North	1	F	2939
Belmont North	1	M	2903
Belmont South	0	F	14
Belmont South	0	M	13
Belmont South	1	F	503
Belmont South	1	M	475
Belmore	0	F	4300
Belmore	0	M	4160
Belmore	1	F	1704
Belmore	1	M	1810
Belmore River	1	F	128
Belmore River	1	M	127
Beloka	0	F	3
Beloka	1	F	8
Beloka	1	M	10
Belowra	1	F	3
Belowra	1	M	3
Belrose	0	F	736
Belrose	0	M	651
Belrose	1	F	3565
Belrose	1	M	3404
Bemboka	0	F	15
Bemboka	0	M	5
Bemboka	1	F	249
Bemboka	1	M	268
Ben Bullen	1	F	33
Ben Bullen	1	M	42
Ben Lomond (NSW)	1	F	65
Ben Lomond (NSW)	1	M	67
Benandarah	0	F	3
Benandarah	0	M	8
Benandarah	1	F	53
Benandarah	1	M	67
Bendalong	1	F	35
Bendalong	1	M	43
Bendemeer	0	F	3
Bendemeer	0	M	9
Bendemeer	1	F	212
Bendemeer	1	M	214
Bendick Murrell	1	F	68
Bendick Murrell	1	M	74
Bendolba	1	F	99
Bendolba	1	M	95
Bendoura	1	F	28
Bendoura	1	M	27
Benerembah	1	F	48
Benerembah	1	M	56
Bengalla	1	F	10
Bengalla	1	M	6
Bennetts Green	1	F	7
Bennetts Green	1	M	9
Benolong	1	F	24
Benolong	1	M	23
Bensville	0	F	50
Bensville	0	M	45
Bensville	1	F	1196
Bensville	1	M	1185
Bentley (NSW)	0	F	6
Bentley (NSW)	0	M	3
Bentley (NSW)	1	F	83
Bentley (NSW)	1	M	88
Berala	0	F	3349
Berala	0	M	3493
Berala	1	F	858
Berala	1	M	1019
Berambing	0	F	3
Berambing	1	F	44
Berambing	1	M	48
Beresfield	0	F	108
Beresfield	0	M	74
Beresfield	1	F	1378
Beresfield	1	M	1460
Bergalia	0	F	4
Bergalia	1	F	76
Bergalia	1	M	79
Berkeley	0	F	818
Berkeley	0	M	740
Berkeley	1	F	2864
Berkeley	1	M	2776
Berkeley Vale	0	F	162
Berkeley Vale	0	M	142
Berkeley Vale	1	F	4024
Berkeley Vale	1	M	3722
Berkshire Park	0	F	95
Berkshire Park	0	M	94
Berkshire Park	1	F	420
Berkshire Park	1	M	457
Bermagui	0	F	33
Bermagui	0	M	33
Bermagui	1	F	703
Bermagui	1	M	674
Berowra	0	F	326
Berowra	0	M	257
Berowra	1	F	1985
Berowra	1	M	2039
Berowra Creek	0	M	4
Berowra Creek	1	F	6
Berowra Creek	1	M	8
Berowra Heights	0	F	225
Berowra Heights	0	M	208
Berowra Heights	1	F	2390
Berowra Heights	1	M	2328
Berowra Waters	0	F	5
Berowra Waters	0	M	3
Berowra Waters	1	F	25
Berowra Waters	1	M	28
Berrambool	0	F	7
Berrambool	0	M	4
Berrambool	1	F	214
Berrambool	1	M	196
Berrara	0	F	4
Berrara	1	F	139
Berrara	1	M	140
Berremangra	1	F	32
Berremangra	1	M	36
Berrico	1	F	15
Berrico	1	M	12
Berridale	0	F	20
Berridale	0	M	14
Berridale	1	F	520
Berridale	1	M	572
Berrigal	1	F	11
Berrigal	1	M	13
Berrigan	0	F	6
Berrigan	0	M	16
Berrigan	1	F	530
Berrigan	1	M	538
Berrilee	0	F	17
Berrilee	0	M	14
Berrilee	1	F	93
Berrilee	1	M	102
Berrima	0	F	27
Berrima	0	M	12
Berrima	1	F	285
Berrima	1	M	275
Berringer Lake	1	F	9
Berringer Lake	1	M	15
Berry	0	F	32
Berry	0	M	23
Berry	1	F	1346
Berry	1	M	1118
Berry Jerry	1	F	31
Berry Jerry	1	M	30
Berry Mountain	1	F	12
Berry Mountain	1	M	9
Berry Park	0	M	3
Berry Park	1	F	56
Berry Park	1	M	54
Berthong	1	F	14
Berthong	1	M	25
Beryl	1	F	52
Beryl	1	M	55
Bethungra	0	M	3
Bethungra	1	F	68
Bethungra	1	M	80
Bevendale	1	F	21
Bevendale	1	M	17
Beverley Park	0	F	533
Beverley Park	0	M	528
Beverley Park	1	F	605
Beverley Park	1	M	606
Beverly Hills	0	F	3144
Beverly Hills	0	M	2793
Beverly Hills	1	F	1894
Beverly Hills	1	M	1885
Bewong	1	F	32
Bewong	1	M	30
Bexhill	0	F	8
Bexhill	0	M	8
Bexhill	1	F	235
Bexhill	1	M	221
Bexley	0	F	5662
Bexley	0	M	5270
Bexley	1	F	3632
Bexley	1	M	3640
Bexley North	0	F	1157
Bexley North	0	M	1025
Bexley North	1	F	851
Bexley North	1	M	868
Biala	0	F	3
Biala	1	F	21
Biala	1	M	32
Bibbenluke	1	F	42
Bibbenluke	1	M	42
Biddon	1	F	38
Biddon	1	M	59
Bidgeemia	1	F	13
Bidgeemia	1	M	18
Bidwill (NSW)	0	F	499
Bidwill (NSW)	0	M	399
Bidwill (NSW)	1	F	1503
Bidwill (NSW)	1	M	1335
Bielsdown Hills	0	F	3
Bielsdown Hills	1	F	53
Bielsdown Hills	1	M	40
Big Hill (NSW)	0	M	3
Big Hill (NSW)	1	F	20
Big Hill (NSW)	1	M	26
Big Jacks Creek	1	F	25
Big Jacks Creek	1	M	24
Big Ridge	1	F	5
Big Ridge	1	M	5
Big Springs	1	F	58
Big Springs	1	M	48
Bigga	1	F	92
Bigga	1	M	108
Bilambil	0	F	12
Bilambil	0	M	7
Bilambil	1	F	185
Bilambil	1	M	194
Bilambil Heights	0	F	59
Bilambil Heights	0	M	70
Bilambil Heights	1	F	1546
Bilambil Heights	1	M	1475
Bilbul	0	F	28
Bilbul	0	M	29
Bilbul	1	F	214
Bilbul	1	M	236
Bilgola Beach	0	F	4
Bilgola Beach	0	M	4
Bilgola Beach	1	F	118
Bilgola Beach	1	M	111
Bilgola Plateau	0	F	128
