SSC_NAME16	AustCitizen	Sex	persons
Alison (Dungog - NSW)	1	M	38
Allambie Heights	0	F	458
Allambie Heights	0	M	366
Allambie Heights	1	F	3147
Allambie Heights	1	M	3038
Allandale (NSW)	0	F	6
Allandale (NSW)	0	M	2
Allandale (NSW)	1	F	30
Allandale (NSW)	1	M	37
Allawah	0	F	945
Allawah	0	M	988
Allawah	1	F	1907
Allawah	1	M	1869
Alleena	0	F	8
Alleena	0	M	0
Alleena	1	F	23
Alleena	1	M	27
Allgomera	0	F	11
Allgomera	0	M	8
Allgomera	1	F	61
Allgomera	1	M	51
Allworth	0	F	9
Allworth	0	M	8
Allworth	1	F	62
Allworth	1	M	86
Allynbrook	0	F	8
Allynbrook	0	M	-4
Allynbrook	1	F	23
Allynbrook	1	M	38
Alma Park	0	F	4
Alma Park	0	M	-1
Alma Park	1	F	24
Alma Park	1	M	27
Alpine	0	F	7
Alpine	0	M	5
Alpine	1	F	63
Alpine	1	M	59
Alstonvale	0	F	23
Alstonvale	0	M	21
Alstonvale	1	F	207
Alstonvale	1	M	193
Alstonville	0	F	258
Alstonville	0	M	196
Alstonville	1	F	2864
Alstonville	1	M	2417
Alumy Creek	0	F	8
Alumy Creek	0	M	5
Alumy Creek	1	F	40
Alumy Creek	1	M	39
Amaroo (NSW)	0	F	7
Amaroo (NSW)	0	M	1
Amaroo (NSW)	1	F	19
Amaroo (NSW)	1	M	20
Ambarvale	0	F	601
Ambarvale	0	M	554
Ambarvale	1	F	3181
Ambarvale	1	M	3044
Amosfield	0	F	2
Amosfield	0	M	3
Amosfield	1	F	11
Amosfield	1	M	14
Anabranch North	0	F	0
Anabranch North	0	M	0
Anabranch North	1	F	3
Anabranch North	1	M	3
Anabranch South	0	F	0
Anabranch South	0	M	0
Anabranch South	1	F	14
Anabranch South	1	M	23
Anambah	0	F	6
Anambah	0	M	3
Anambah	1	F	9
Anambah	1	M	11
Ando	0	F	0
Ando	0	M	2
Ando	1	F	31
Ando	1	M	38
Anembo	0	F	-2
Anembo	0	M	10
Anembo	1	F	29
Anembo	1	M	27
Angledale	0	F	14
Angledale	0	M	12
Angledale	1	F	60
Angledale	1	M	69
Angledool	0	F	8
Angledool	0	M	7
Angledool	1	F	20
Angledool	1	M	25
Anglers Reach	0	F	14
Anglers Reach	0	M	14
Anglers Reach	1	F	31
Anglers Reach	1	M	32
Angourie	0	F	19
Angourie	0	M	14
Angourie	1	F	99
Angourie	1	M	88
Anna Bay	0	F	289
Anna Bay	0	M	237
Anna Bay	1	F	1694
Anna Bay	1	M	1620
Annandale (NSW)	0	F	845
Annandale (NSW)	0	M	870
Annandale (NSW)	1	F	4066
Annandale (NSW)	1	M	3673
Annangrove	0	F	48
Annangrove	0	M	60
Annangrove	1	F	621
Annangrove	1	M	664
Appin (NSW)	0	F	111
Appin (NSW)	0	M	130
Appin (NSW)	1	F	1174
Appin (NSW)	1	M	1215
Apple Tree Flat	0	F	13
Apple Tree Flat	0	M	5
Apple Tree Flat	1	F	11
Apple Tree Flat	1	M	14
Appleby	0	F	-1
Appleby	0	M	0
Appleby	1	F	16
Appleby	1	M	19
Appletree Flat	0	F	-1
Appletree Flat	0	M	2
Appletree Flat	1	F	9
Appletree Flat	1	M	9
Apsley (NSW)	0	F	5
Apsley (NSW)	0	M	5
Apsley (NSW)	1	F	48
Apsley (NSW)	1	M	47
Arable	0	F	0
Arable	0	M	3
Arable	1	F	4
Arable	1	M	6
Arakoon	0	F	19
Arakoon	0	M	18
Arakoon	1	F	178
Arakoon	1	M	202
Araluen (NSW)	0	F	13
Araluen (NSW)	0	M	23
Araluen (NSW)	1	F	64
Araluen (NSW)	1	M	67
Aratula (NSW)	0	F	0
Aratula (NSW)	0	M	0
Aratula (NSW)	1	F	5
Aratula (NSW)	1	M	0
Arcadia (NSW)	0	F	62
Arcadia (NSW)	0	M	61
Arcadia (NSW)	1	F	623
Arcadia (NSW)	1	M	637
Arcadia Vale	0	F	53
Arcadia Vale	0	M	50
Arcadia Vale	1	F	626
Arcadia Vale	1	M	650
Ardglen	0	F	5
Ardglen	0	M	8
Ardglen	1	F	27
Ardglen	1	M	24
Arding	0	F	2
Arding	0	M	6
Arding	1	F	92
Arding	1	M	107
Ardlethan	0	F	42
Ardlethan	0	M	40
Ardlethan	1	F	212
Ardlethan	1	M	221
Argalong	0	F	0
Argalong	0	M	0
Argalong	1	F	19
Argalong	1	M	11
Argenton	0	F	60
Argenton	0	M	55
Argenton	1	F	611
Argenton	1	M	624
Argents Hill	0	F	12
Argents Hill	0	M	13
Argents Hill	1	F	85
Argents Hill	1	M	113
Argoon (NSW)	0	F	0
Argoon (NSW)	0	M	0
Argoon (NSW)	1	F	9
Argoon (NSW)	1	M	10
Ariah Park	0	F	19
Ariah Park	0	M	21
Ariah Park	1	F	223
Ariah Park	1	M	227
Arkell	0	F	5
Arkell	0	M	0
Arkell	1	F	15
Arkell	1	M	27
Arkstone	0	F	0
Arkstone	0	M	-2
Arkstone	1	F	10
Arkstone	1	M	15
Armatree	0	F	11
Armatree	0	M	4
Armatree	1	F	66
Armatree	1	M	72
Armidale	0	F	1833
Armidale	0	M	1763
Armidale	1	F	10376
Armidale	1	M	9379
Arncliffe	0	F	1367
Arncliffe	0	M	1494
Arncliffe	1	F	3916
Arncliffe	1	M	3813
Arndell Park	0	F	6
Arndell Park	0	M	16
Arndell Park	1	F	0
Arndell Park	1	M	12
Arrawarra	0	F	47
Arrawarra	0	M	34
Arrawarra	1	F	221
Arrawarra	1	M	219
Arrawarra Headland	0	F	37
Arrawarra Headland	0	M	39
Arrawarra Headland	1	F	239
Arrawarra Headland	1	M	240
Artarmon	0	F	1449
Artarmon	0	M	1290
Artarmon	1	F	3427
Artarmon	1	M	3364
Arthurville	0	F	3
Arthurville	0	M	0
Arthurville	1	F	16
Arthurville	1	M	18
Arumpo	0	F	2
Arumpo	0	M	-5
Arumpo	1	F	16
Arumpo	1	M	20
Ashbury	0	F	150
Ashbury	0	M	163
Ashbury	1	F	1525
Ashbury	1	M	1491
Ashby (NSW)	0	F	20
Ashby (NSW)	0	M	13
Ashby (NSW)	1	F	146
Ashby (NSW)	1	M	146
Ashby Heights	0	F	10
Ashby Heights	0	M	16
Ashby Heights	1	F	106
Ashby Heights	1	M	99
Ashby Island	0	F	3
Ashby Island	0	M	6
Ashby Island	1	F	3
Ashby Island	1	M	4
Ashcroft	0	F	418
Ashcroft	0	M	408
Ashcroft	1	F	1409
Ashcroft	1	M	1345
Ashfield (NSW)	0	F	4229
Ashfield (NSW)	0	M	4301
Ashfield (NSW)	1	F	7838
Ashfield (NSW)	1	M	7472
Ashford (NSW)	0	F	46
Ashford (NSW)	0	M	36
Ashford (NSW)	1	F	285
Ashford (NSW)	1	M	286
Ashley	0	F	14
Ashley	0	M	18
Ashley	1	F	162
Ashley	1	M	173
Ashmont	0	F	210
Ashmont	0	M	217
Ashmont	1	F	1811
Ashmont	1	M	1593
Ashtonfield	0	F	183
Ashtonfield	0	M	209
Ashtonfield	1	F	2180
Ashtonfield	1	M	2079
Asquith	0	F	290
Asquith	0	M	255
Asquith	1	F	1469
Asquith	1	M	1366
Atholwood	0	F	3
Atholwood	0	M	-4
Atholwood	1	F	42
Atholwood	1	M	39
Attunga	0	F	22
Attunga	0	M	23
Attunga	1	F	254
Attunga	1	M	273
Auburn (NSW)	0	F	5724
Auburn (NSW)	0	M	9181
Auburn (NSW)	1	F	11075
Auburn (NSW)	1	M	11389
Auburn Vale	0	F	9
Auburn Vale	0	M	3
Auburn Vale	1	F	54
Auburn Vale	1	M	59
Austinmer	0	F	157
Austinmer	0	M	130
Austinmer	1	F	1160
Austinmer	1	M	1111
Austral	0	F	265
Austral	0	M	261
Austral	1	F	1239
Austral	1	M	1262
Austral Eden	0	F	13
Austral Eden	0	M	7
Austral Eden	1	F	56
Austral Eden	1	M	72
Avalon Beach	0	F	594
Avalon Beach	0	M	548
Avalon Beach	1	F	4484
Avalon Beach	1	M	4282
Avisford	0	F	0
Avisford	0	M	3
Avisford	1	F	9
Avisford	1	M	13
Avoca (NSW)	0	F	4
Avoca (NSW)	0	M	10
Avoca (NSW)	1	F	99
Avoca (NSW)	1	M	88
Avoca Beach	0	F	265
Avoca Beach	0	M	269
Avoca Beach	1	F	2038
Avoca Beach	1	M	2015
Avon (NSW)	0	F	0
Avon (NSW)	0	M	0
Avon (NSW)	1	F	0
Avon (NSW)	1	M	0
Avondale (NSW)	0	F	96
Avondale (NSW)	0	M	85
Avondale (NSW)	1	F	748
Avondale (NSW)	1	M	724
Avonside	0	F	4
Avonside	0	M	0
Avonside	1	F	55
Avonside	1	M	56
Awaba	0	F	18
Awaba	0	M	6
Awaba	1	F	179
Awaba	1	M	196
Aylmerton	0	F	3
Aylmerton	0	M	1
Aylmerton	1	F	89
Aylmerton	1	M	92
Baan Baa	0	F	9
Baan Baa	0	M	12
Baan Baa	1	F	61
Baan Baa	1	M	79
Babinda (NSW)	0	F	0
Babinda (NSW)	0	M	0
Babinda (NSW)	1	F	0
Babinda (NSW)	1	M	3
Babyl Creek	0	F	0
Babyl Creek	0	M	0
Babyl Creek	1	F	3
Babyl Creek	1	M	9
Back Creek (Bland - NSW)	0	F	0
Back Creek (Bland - NSW)	0	M	7
Back Creek (Bland - NSW)	1	F	23
Back Creek (Bland - NSW)	1	M	21
Back Creek (Gwydir - NSW)	0	F	0
Back Creek (Gwydir - NSW)	0	M	0
Back Creek (Gwydir - NSW)	1	F	9
Back Creek (Gwydir - NSW)	1	M	9
Back Creek (Mid-Coast - NSW)	0	F	0
Back Creek (Mid-Coast - NSW)	0	M	0
Back Creek (Mid-Coast - NSW)	1	F	6
Back Creek (Mid-Coast - NSW)	1	M	13
Back Creek (Queanbeyan-Palerang Regional - NSW)	0	F	-1
Back Creek (Queanbeyan-Palerang Regional - NSW)	0	M	0
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	F	7
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	M	3
Back Creek (Tenterfield - NSW)	0	F	0
Back Creek (Tenterfield - NSW)	0	M	0
Back Creek (Tenterfield - NSW)	1	F	3
Back Creek (Tenterfield - NSW)	1	M	8
Back Creek (Tweed - NSW)	0	F	-2
Back Creek (Tweed - NSW)	0	M	4
Back Creek (Tweed - NSW)	1	F	7
Back Creek (Tweed - NSW)	1	M	5
Back Forest	0	F	9
Back Forest	0	M	-3
Back Forest	1	F	32
Back Forest	1	M	42
Backmede	0	F	8
Backmede	0	M	11
Backmede	1	F	66
Backmede	1	M	63
Backwater	0	F	0
Backwater	0	M	0
Backwater	1	F	4
Backwater	1	M	8
Badgerys Creek	0	F	12
Badgerys Creek	0	M	4
Badgerys Creek	1	F	97
Badgerys Creek	1	M	107
Badja	0	F	0
Badja	0	M	4
Badja	1	F	0
Badja	1	M	0
Baerami	0	F	8
Baerami	0	M	3
Baerami	1	F	22
Baerami	1	M	31
Baerami Creek	0	F	4
Baerami Creek	0	M	13
Baerami Creek	1	F	15
Baerami Creek	1	M	14
Bagnoo	0	F	0
Bagnoo	0	M	0
Bagnoo	1	F	17
Bagnoo	1	M	27
Bago	0	F	5
Bago	0	M	4
Bago	1	F	17
Bago	1	M	16
Bagotville	0	F	6
Bagotville	0	M	2
Bagotville	1	F	16
Bagotville	1	M	26
Bakers Creek (Mid-Coast - NSW)	0	F	9
Bakers Creek (Mid-Coast - NSW)	0	M	5
Bakers Creek (Mid-Coast - NSW)	1	F	10
Bakers Creek (Mid-Coast - NSW)	1	M	17
Bakers Creek (Nambucca - NSW)	0	F	2
Bakers Creek (Nambucca - NSW)	0	M	2
Bakers Creek (Nambucca - NSW)	1	F	3
Bakers Creek (Nambucca - NSW)	1	M	5
Bakers Creek (Uralla - NSW)	0	F	0
Bakers Creek (Uralla - NSW)	0	M	3
Bakers Creek (Uralla - NSW)	1	F	4
Bakers Creek (Uralla - NSW)	1	M	5
Bakers Swamp	0	F	7
Bakers Swamp	0	M	4
Bakers Swamp	1	F	16
Bakers Swamp	1	M	21
Balaclava (NSW)	0	F	46
Balaclava (NSW)	0	M	33
Balaclava (NSW)	1	F	218
Balaclava (NSW)	1	M	200
Balala	0	F	22
Balala	0	M	20
Balala	1	F	52
Balala	1	M	51
Balcolyn	0	F	43
Balcolyn	0	M	46
Balcolyn	1	F	451
Balcolyn	1	M	424
Bald Blair	0	F	3
Bald Blair	0	M	-1
Bald Blair	1	F	22
Bald Blair	1	M	24
Bald Hills (NSW)	0	F	6
Bald Hills (NSW)	0	M	9
Bald Hills (NSW)	1	F	128
Bald Hills (NSW)	1	M	119
Bald Nob	0	F	-2
Bald Nob	0	M	4
Bald Nob	1	F	6
Bald Nob	1	M	5
Bald Ridge	0	F	0
Bald Ridge	0	M	0
Bald Ridge	1	F	5
Bald Ridge	1	M	4
Baldersleigh	0	F	5
Baldersleigh	0	M	4
Baldersleigh	1	F	20
Baldersleigh	1	M	23
Baldry	0	F	8
Baldry	0	M	-4
Baldry	1	F	45
Baldry	1	M	46
Balfours Peak	0	F	1
Balfours Peak	0	M	6
Balfours Peak	1	F	14
Balfours Peak	1	M	17
Balgowlah	0	F	768
Balgowlah	0	M	718
Balgowlah	1	F	3365
Balgowlah	1	M	3109
Balgowlah Heights	0	F	209
Balgowlah Heights	0	M	206
Balgowlah Heights	1	F	1511
Balgowlah Heights	1	M	1419
Balgownie	0	F	259
Balgownie	0	M	229
Balgownie	1	F	2608
Balgownie	1	M	2429
Balickera	0	F	0
Balickera	0	M	0
Balickera	1	F	10
Balickera	1	M	9
Balladoran	0	F	5
Balladoran	0	M	5
Balladoran	1	F	43
Balladoran	1	M	52
Ballalaba	0	F	6
Ballalaba	0	M	0
Ballalaba	1	F	4
Ballalaba	1	M	12
Balldale	0	F	8
Balldale	0	M	11
Balldale	1	F	65
Balldale	1	M	71
Ballengarra	0	F	1
Ballengarra	0	M	6
Ballengarra	1	F	47
Ballengarra	1	M	35
Ballimore	0	F	23
Ballimore	0	M	17
Ballimore	1	F	74
Ballimore	1	M	87
Ballina	0	F	624
Ballina	0	M	513
Ballina	1	F	4074
Ballina	1	M	3443
Ballyroe	0	F	0
Ballyroe	0	M	0
Ballyroe	1	F	3
Ballyroe	1	M	6
Balmain	0	F	1105
Balmain	0	M	1072
Balmain	1	F	4328
Balmain	1	M	3947
Balmain East	0	F	190
Balmain East	0	M	199
Balmain East	1	F	796
Balmain East	1	M	753
Balmoral (Lake Macquarie - NSW)	0	F	17
Balmoral (Lake Macquarie - NSW)	0	M	18
Balmoral (Lake Macquarie - NSW)	1	F	338
Balmoral (Lake Macquarie - NSW)	1	M	353
Balmoral (Wingecarribee - NSW)	0	F	16
Balmoral (Wingecarribee - NSW)	0	M	19
Balmoral (Wingecarribee - NSW)	1	F	187
Balmoral (Wingecarribee - NSW)	1	M	201
Balranald	0	F	75
Balranald	0	M	75
Balranald	1	F	583
Balranald	1	M	615
Bamarang	0	F	0
Bamarang	0	M	-4
Bamarang	1	F	12
Bamarang	1	M	15
Banda Banda	0	F	0
Banda Banda	0	M	0
Banda Banda	1	F	0
Banda Banda	1	M	0
Bandon Grove	0	F	3
Bandon Grove	0	M	3
Bandon Grove	1	F	53
Bandon Grove	1	M	54
Bangadang	0	F	1
Bangadang	0	M	0
Bangadang	1	F	8
Bangadang	1	M	4
Bangalee (NSW)	0	F	23
Bangalee (NSW)	0	M	26
Bangalee (NSW)	1	F	307
Bangalee (NSW)	1	M	297
Bangalow	0	F	144
Bangalow	0	M	121
Bangalow	1	F	913
Bangalow	1	M	839
Bangheet	0	F	1
Bangheet	0	M	4
Bangheet	1	F	16
Bangheet	1	M	21
Bango	0	F	-1
Bango	0	M	10
Bango	1	F	44
Bango	1	M	43
Bangor (NSW)	0	F	194
Bangor (NSW)	0	M	190
Bangor (NSW)	1	F	2610
Bangor (NSW)	1	M	2574
Banksia	0	F	333
Banksia	0	M	354
Banksia	1	F	1376
Banksia	1	M	1320
Banksmeadow	0	F	0
Banksmeadow	0	M	-3
Banksmeadow	1	F	6
Banksmeadow	1	M	13
Bankstown	0	F	4429
Bankstown	0	M	4224
Bankstown	1	F	11854
Bankstown	1	M	11607
Bankstown Aerodrome	0	F	0
Bankstown Aerodrome	0	M	0
Bankstown Aerodrome	1	F	0
Bankstown Aerodrome	1	M	0
Bannaby	0	F	0
Bannaby	0	M	-3
Bannaby	1	F	16
Bannaby	1	M	20
Bannister (NSW)	0	F	1
Bannister (NSW)	0	M	1
Bannister (NSW)	1	F	56
Bannister (NSW)	1	M	60
Banoon	0	F	3
Banoon	0	M	9
Banoon	1	F	6
Banoon	1	M	7
Banora Point	0	F	851
Banora Point	0	M	735
Banora Point	1	F	7777
Banora Point	1	M	6807
Banyabba	0	F	0
Banyabba	0	M	6
Banyabba	1	F	22
Banyabba	1	M	18
Bar Beach	0	F	75
Bar Beach	0	M	93
Bar Beach	1	F	501
Bar Beach	1	M	583
Bar Point	0	F	3
Bar Point	0	M	5
Bar Point	1	F	26
Bar Point	1	M	30
Bara	0	F	0
Bara	0	M	0
Bara	1	F	12
Bara	1	M	13
Baradine	0	F	32
Baradine	0	M	32
Baradine	1	F	342
Baradine	1	M	353
Barangaroo	0	F	53
Barangaroo	0	M	69
Barangaroo	1	F	27
Barangaroo	1	M	35
Barcoongere	0	F	0
Barcoongere	0	M	0
Barcoongere	1	F	0
Barcoongere	1	M	0
Barden Ridge	0	F	136
Barden Ridge	0	M	115
Barden Ridge	1	F	2060
Barden Ridge	1	M	2020
Bardia	0	F	196
Bardia	0	M	181
Bardia	1	F	599
Bardia	1	M	626
Bardwell Park	0	F	129
Bardwell Park	0	M	123
Bardwell Park	1	F	1006
Bardwell Park	1	M	977
Bardwell Valley	0	F	167
Bardwell Valley	0	M	138
Bardwell Valley	1	F	1044
Bardwell Valley	1	M	973
Barellan	0	F	24
Barellan	0	M	36
Barellan	1	F	222
Barellan	1	M	256
Bargo	0	F	194
Bargo	0	M	202
Bargo	1	F	1990
Bargo	1	M	2006
Barham	0	F	80
Barham	0	M	75
Barham	1	F	699
Barham	1	M	664
Barigan	0	F	0
Barigan	0	M	0
Barigan	1	F	3
Barigan	1	M	3
Barkers Vale	0	F	17
Barkers Vale	0	M	9
Barkers Vale	1	F	61
Barkers Vale	1	M	77
Barmedman	0	F	28
Barmedman	0	M	19
Barmedman	1	F	198
Barmedman	1	M	211
Barneys Reef	0	F	0
Barneys Reef	0	M	0
Barneys Reef	1	F	0
Barneys Reef	1	M	0
Barnsley	0	F	40
Barnsley	0	M	48
Barnsley	1	F	834
Barnsley	1	M	827
Barooga	0	F	105
Barooga	0	M	110
Barooga	1	F	786
Barooga	1	M	811
Barraba	0	F	83
Barraba	0	M	85
Barraba	1	F	643
Barraba	1	M	597
Barrack Heights	0	F	304
Barrack Heights	0	M	280
Barrack Heights	1	F	2730
Barrack Heights	1	M	2591
Barrack Point	0	F	47
Barrack Point	0	M	54
Barrack Point	1	F	293
Barrack Point	1	M	293
Barraganyatti	0	F	9
Barraganyatti	0	M	8
Barraganyatti	1	F	56
Barraganyatti	1	M	66
Barragga Bay	0	F	5
Barragga Bay	0	M	1
Barragga Bay	1	F	44
Barragga Bay	1	M	45
Barratta (NSW)	0	F	0
Barratta (NSW)	0	M	0
Barratta (NSW)	1	F	0
Barratta (NSW)	1	M	0
Barren Grounds	0	F	0
Barren Grounds	0	M	0
Barren Grounds	1	F	0
Barren Grounds	1	M	0
Barrengarry	0	F	10
Barrengarry	0	M	25
Barrengarry	1	F	77
Barrengarry	1	M	84
Barretts Creek	0	F	0
Barretts Creek	0	M	0
Barretts Creek	1	F	5
Barretts Creek	1	M	4
Barringella	0	F	0
Barringella	0	M	4
Barringella	1	F	15
Barringella	1	M	11
Barrington (NSW)	0	F	9
Barrington (NSW)	0	M	20
Barrington (NSW)	1	F	173
Barrington (NSW)	1	M	159
Barrington Tops	0	F	0
Barrington Tops	0	M	0
Barrington Tops	1	F	0
Barrington Tops	1	M	0
Barry (Blayney - NSW)	0	F	7
Barry (Blayney - NSW)	0	M	7
Barry (Blayney - NSW)	1	F	71
Barry (Blayney - NSW)	1	M	76
Barry (Upper Hunter Shire - NSW)	0	F	0
Barry (Upper Hunter Shire - NSW)	0	M	0
Barry (Upper Hunter Shire - NSW)	1	F	0
Barry (Upper Hunter Shire - NSW)	1	M	3
Barwang	0	F	3
Barwang	0	M	5
Barwang	1	F	35
Barwang	1	M	43
Barwon	0	F	0
Barwon	0	M	0
Barwon	1	F	18
Barwon	1	M	14
Baryulgil	0	F	3
Baryulgil	0	M	8
Baryulgil	1	F	43
Baryulgil	1	M	38
Basin View	0	F	98
Basin View	0	M	95
Basin View	1	F	713
Basin View	1	M	646
Bass Hill	0	F	592
Bass Hill	0	M	548
Bass Hill	1	F	4011
Bass Hill	1	M	3921
Bassendean (NSW)	0	F	0
Bassendean (NSW)	0	M	0
Bassendean (NSW)	1	F	0
Bassendean (NSW)	1	M	0
Batar Creek	0	F	6
Batar Creek	0	M	5
Batar Creek	1	F	35
Batar Creek	1	M	31
Bateau Bay	0	F	585
Bateau Bay	0	M	490
Bateau Bay	1	F	5868
Bateau Bay	1	M	5203
Batehaven	0	F	86
Batehaven	0	M	84
Batehaven	1	F	867
Batehaven	1	M	739
Batemans Bay	0	F	109
Batemans Bay	0	M	135
Batemans Bay	1	F	659
Batemans Bay	1	M	624
Bathampton	0	F	-5
Bathampton	0	M	0
Bathampton	1	F	21
Bathampton	1	M	15
Bathurst	0	F	555
Bathurst	0	M	535
Bathurst	1	F	2962
Bathurst	1	M	2874
Batlow	0	F	112
Batlow	0	M	101
Batlow	1	F	534
Batlow	1	M	565
Baulkham Hills	0	F	3091
Baulkham Hills	0	M	2803
Baulkham Hills	1	F	15826
Baulkham Hills	1	M	15336
Baw Baw (NSW)	0	F	11
Baw Baw (NSW)	0	M	16
Baw Baw (NSW)	1	F	113
Baw Baw (NSW)	1	M	119
Bawley Point	0	F	34
Bawley Point	0	M	36
Bawley Point	1	F	320
Bawley Point	1	M	306
Baxters Ridge	0	F	0
Baxters Ridge	0	M	0
Baxters Ridge	1	F	0
Baxters Ridge	1	M	0
Bayview (NSW)	0	F	276
Bayview (NSW)	0	M	233
Bayview (NSW)	1	F	1681
Bayview (NSW)	1	M	1426
Beacon Hill	0	F	518
Beacon Hill	0	M	478
Beacon Hill	1	F	3213
Beacon Hill	1	M	3255
Beaconsfield (NSW)	0	F	113
Beaconsfield (NSW)	0	M	118
Beaconsfield (NSW)	1	F	360
Beaconsfield (NSW)	1	M	398
Bean Creek	0	F	1
Bean Creek	0	M	4
Bean Creek	1	F	33
Bean Creek	1	M	34
Bearbong	0	F	10
Bearbong	0	M	-2
Bearbong	1	F	19
Bearbong	1	M	35
Beaumont (NSW)	0	F	18
Beaumont (NSW)	0	M	13
Beaumont (NSW)	1	F	46
Beaumont (NSW)	1	M	49
Beaumont Hills	0	F	607
Beaumont Hills	0	M	543
Beaumont Hills	1	F	3939
Beaumont Hills	1	M	3951
Beckom	0	F	4
Beckom	0	M	7
Beckom	1	F	49
Beckom	1	M	64
Bective	0	F	14
Bective	0	M	6
Bective	1	F	85
Bective	1	M	99
Bectric	0	F	7
Bectric	0	M	10
Bectric	1	F	27
Bectric	1	M	17
Bedgerabong	0	F	7
Bedgerabong	0	M	14
Bedgerabong	1	F	58
Bedgerabong	1	M	71
Beechwood	0	F	19
Beechwood	0	M	23
Beechwood	1	F	298
Beechwood	1	M	269
Beecroft	0	F	645
Beecroft	0	M	557
Beecroft	1	F	4297
Beecroft	1	M	3894
Beecroft Peninsula	0	F	0
Beecroft Peninsula	0	M	0
Beecroft Peninsula	1	F	0
Beecroft Peninsula	1	M	0
Beelbangera	0	F	23
Beelbangera	0	M	21
Beelbangera	1	F	181
Beelbangera	1	M	185
Beemunnel	0	F	0
Beemunnel	0	M	0
Beemunnel	1	F	7
Beemunnel	1	M	9
Bega	0	F	230
Bega	0	M	243
Bega	1	F	2189
