SSC_NAME16	AustCitizen	Sex	persons
Aarons Pass	0	F	6
Aarons Pass	0	M	0
Aarons Pass	1	F	6
Aarons Pass	1	M	12
Abbotsbury	0	F	182
Abbotsbury	0	M	165
Abbotsbury	1	F	1995
Abbotsbury	1	M	1911
Abbotsford (NSW)	0	F	433
Abbotsford (NSW)	0	M	351
Abbotsford (NSW)	1	F	2405
Abbotsford (NSW)	1	M	2191
Abercrombie	0	F	46
Abercrombie	0	M	35
Abercrombie	1	F	533
Abercrombie	1	M	500
Abercrombie River	0	F	-2
Abercrombie River	0	M	0
Abercrombie River	1	F	9
Abercrombie River	1	M	13
Aberdare	0	F	119
Aberdare	0	M	89
Aberdare	1	F	1143
Aberdare	1	M	1116
Aberdeen (NSW)	0	F	96
Aberdeen (NSW)	0	M	106
Aberdeen (NSW)	1	F	940
Aberdeen (NSW)	1	M	942
Aberfoyle	0	F	3
Aberfoyle	0	M	9
Aberfoyle	1	F	43
Aberfoyle	1	M	47
Aberglasslyn	0	F	226
Aberglasslyn	0	M	218
Aberglasslyn	1	F	2555
Aberglasslyn	1	M	2406
Abermain	0	F	73
Abermain	0	M	75
Abermain	1	F	1104
Abermain	1	M	1087
Abernethy	0	F	39
Abernethy	0	M	40
Abernethy	1	F	129
Abernethy	1	M	144
Abington (NSW)	0	F	0
Abington (NSW)	0	M	0
Abington (NSW)	1	F	3
Abington (NSW)	1	M	5
Acacia Creek	0	F	0
Acacia Creek	0	M	0
Acacia Creek	1	F	22
Acacia Creek	1	M	17
Acacia Gardens	0	F	286
Acacia Gardens	0	M	279
Acacia Gardens	1	F	1613
Acacia Gardens	1	M	1619
Adaminaby	0	F	13
Adaminaby	0	M	16
Adaminaby	1	F	129
Adaminaby	1	M	143
Adamstown	0	F	226
Adamstown	0	M	229
Adamstown	1	F	2904
Adamstown	1	M	2689
Adamstown Heights	0	F	153
Adamstown Heights	0	M	169
Adamstown Heights	1	F	2489
Adamstown Heights	1	M	2487
Adelong	0	F	43
Adelong	0	M	37
Adelong	1	F	424
Adelong	1	M	438
Adjungbilly	0	F	7
Adjungbilly	0	M	2
Adjungbilly	1	F	37
Adjungbilly	1	M	39
Afterlee	0	F	2
Afterlee	0	M	2
Afterlee	1	F	20
Afterlee	1	M	27
Agnes Banks	0	F	43
Agnes Banks	0	M	41
Agnes Banks	1	F	397
Agnes Banks	1	M	431
Airds	0	F	293
Airds	0	M	237
Airds	1	F	1298
Airds	1	M	1096
Akolele	0	F	19
Akolele	0	M	22
Akolele	1	F	67
Akolele	1	M	63
Albert	0	F	10
Albert	0	M	9
Albert	1	F	33
Albert	1	M	33
Albion Park	0	F	528
Albion Park	0	M	496
Albion Park	1	F	6365
Albion Park	1	M	5930
Albion Park Rail	0	F	364
Albion Park Rail	0	M	343
Albion Park Rail	1	F	3176
Albion Park Rail	1	M	3029
Albury	0	F	306
Albury	0	M	343
Albury	1	F	2164
Albury	1	M	1992
Aldavilla	0	F	73
Aldavilla	0	M	511
Aldavilla	1	F	319
Aldavilla	1	M	329
Alectown	0	F	5
Alectown	0	M	3
Alectown	1	F	77
Alectown	1	M	81
Alexandria	0	F	982
Alexandria	0	M	1111
Alexandria	1	F	3072
Alexandria	1	M	3103
Alfords Point	0	F	106
Alfords Point	0	M	103
Alfords Point	1	F	1479
Alfords Point	1	M	1421
Alfredtown	0	F	5
Alfredtown	0	M	10
Alfredtown	1	F	48
Alfredtown	1	M	48
Alice	0	F	0
Alice	0	M	0
Alice	1	F	3
Alice	1	M	3
Alison (Central Coast - NSW)	0	F	5
Alison (Central Coast - NSW)	0	M	4
Alison (Central Coast - NSW)	1	F	40
Alison (Central Coast - NSW)	1	M	40
Alison (Dungog - NSW)	0	F	5
Alison (Dungog - NSW)	0	M	5
Alison (Dungog - NSW)	1	F	29
