SSC_NAME16	employmentToPopulation
Bass Hill	47
Bassendean (NSW)	100
Batar Creek	36.2
Bateau Bay	51.5
Batehaven	37.7
Batemans Bay	31
Bathampton	66.7
Bathurst	52.5
Batlow	48.9
Baulkham Hills	63.7
Baw Baw (NSW)	51.8
Bawley Point	42.4
Bayview (NSW)	45.7
Beacon Hill	65.6
Beaconsfield (NSW)	77.4
Bean Creek	30.3
Bearbong	80.8
Beaumont (NSW)	52.7
Beaumont Hills	70
Beckom	60.6
Bective	64
Bectric	45.5
Bedgerabong	68.2
Beechwood	51.7
Beecroft	59.8
Beelbangera	61.4
Beemunnel	37.5
Bega	49.4
Beggan Beggan	75.7
Belanglo	66.7
Belbora	47.7
Belfield	54.7
Belford	67.4
Belfrayden	12.5
Belgravia	73.3
Belimbla Park	66.8
Bell (NSW)	28.6
Bella Vista	65.6
Bellambi	44.9
Bellangry	51.7
Bellata	62.5
Bellawongarah	38.6
Bellbird	50.6
Bellbird Heights	54.7
Bellbrook	37.3
Bellevue Hill	62.3
Bellimbopinni	55.2
Bellingen	49.3
Bellmount Forest	82
Belltrees	69.2
Belmont (NSW)	47.6
Belmont North	54.8
Belmont South	46.8
Belmore	49.9
Belmore River	55
Beloka	94.7
Belowra	33.3
Belrose	55.5
Bemboka	48
Ben Bullen	53.1
Ben Lomond (NSW)	54.9
Benandarah	27.4
Bendalong	38.7
Bendemeer	52
Bendick Murrell	51.9
Bendolba	47.1
Bendoura	63.5
Benerembah	62.1
Bengalla	50
Benolong	62.9
Bensville	66.8
Bentley (NSW)	47.6
Berala	50.6
Berambing	51.9
Beresfield	47.6
Bergalia	56.9
Berkeley	46.2
Berkeley Vale	59.1
Berkshire Park	29.4
Bermagui	38.6
Berowra	68.7
Berowra Creek	40
Berowra Heights	68.5
Berowra Waters	23.4
Berrambool	48.5
Berrara	44.1
Berremangra	60.3
Berrico	56.7
Berridale	60.4
Berrigal	73.3
Berrigan	45.9
Berrilee	63.2
Berrima	55.1
Berringer Lake	23.1
Berry	43.9
Berry Jerry	56.9
Berry Mountain	21.4
Berry Park	58.8
Berthong	61
Beryl	40.4
Bethungra	58.6
Bevendale	51.2
Beverley Park	58.8
Beverly Hills	53.8
Bewong	59.1
Bexhill	63.3
Bexley	52.9
Bexley North	53.6
Biala	72.3
Bibbenluke	47.9
Biddon	70.1
Bidgeemia	82.1
Bidwill (NSW)	30.9
Bielsdown Hills	59.6
Big Hill (NSW)	85.7
Big Jacks Creek	70.7
Big Ridge	21.4
Big Springs	73.9
Bigga	41.6
Bilambil	51.9
Bilambil Heights	55.1
Bilbul	67.8
Bilgola Beach	52.2
Bilgola Plateau	65.9
Billeroy	78.8
Billilingra	80
Billimari	42.5
Billinudgel	51.9
Billys Creek	48
Billywillinga	53.6
Bilpin	57
Bimbi	37.4
Bimbimbie	49.5
Binalong	55.2
Binda	47.9
Bindera	77.8
Bingara	35.4
Bingeebeebra Creek	46.4
Bingie	38.2
Bingleburra	34.6
Biniguy	60
Binjura	57.7
Binna Burra (NSW)	45.2
Binnaway	28.8
Binya	73.7
Birchgrove	65.2
Birdwood (NSW)	40
Birganbigil	71.1
Birmingham Gardens	43.2
Birriwa	40
Birrong	48.9
Bishops Bridge	58.7
Bithramere	65.5
Black Creek (Port Macquarie-Hastings - NSW)	61.1
Black Creek (Snowy Valleys - NSW)	27.3
Black Head	33
Black Hill (NSW)	54.9
Black Hollow	66.7
Black Mountain (NSW)	60.5
Black Range (NSW)	58.9
Black Springs (NSW)	44
Blackalls Park	51.5
Blackbutt (NSW)	57.6
Blackett	39.6
Blackheath	49.6
Blackmans Flat	50
Blackmans Point	36.2
Blacksmiths	47.9
Blacktown	55.8
Blackville	40.9
Blackwall (NSW)	47.9
Blair Athol (NSW)	65.4
Blairmount	59.2
Blakebrook	56.9
Blakehurst	56.8
Blakney Creek	71.4
Bland	58.3
Blandford	66.9
Blaxland (NSW)	62
Blaxlands Creek	48.2
Blaxlands Ridge	66
Blayney	52.1
Bligh Park	70.7
Blighty	72.1
Blue Bay	50.3
Blue Haven	55.6
Blue Knob	29.4
Blue Nobby	68.2
Blue Vale	75
Blueys Beach	39.4
Boambee	59.5
Boambee East	54.3
Boambolo	71.1
Boat Harbour (Lismore - NSW)	52.1
Boat Harbour (Port Stephens - NSW)	57.9
Bobadah	42.9
Bobin	39.6
Bobs Creek	48.6
Bobs Farm	52.6
Bobundara	100
Bocoble	36.4
Bocobra	29.3
Bodalla	50.7
Bodangora	56.3
Boeill Creek	59.3
Bogan	75
Bogan Gate	41.5
Bogangar	57.8
Bogee	41.7
Boggabilla	33.5
Boggabri	48.8
Bohena Creek	66.4
Bohnock	59.6
Bolaro	40.5
Bolivia	52.6
Bolong	68.4
Bolton Point	40.1
Bolwarra (NSW)	60.8
Bolwarra Heights	64.9
Bomaderry	43.4
Bombah Point	21.4
Bombala	54.7
Bombay	55.6
Bombira	63
Bombo	55.8
Bombowlee	55.1
Bombowlee Creek	46
Bomen	73.9
Bomera	57.1
Bonalbo	29.2
Bondi	66.4
Bondi Beach	67.1
Bondi Junction	61
Bonnells Bay	50.3
Bonnet Bay	66.7
Bonny Hills	50.7
Bonnyrigg	43.4
Bonnyrigg Heights	53.5
Bonshaw (NSW)	48.8
Bonville	55.9
Booerie Creek	44.1
Book Book	54.9
Booker Bay	41.8
Bookham	59
Bookookoorara	15
Boolambayte	35.2
Boolaroo	56.2
Boolcarroll	88.9
Booligal	71.1
Boomanoomana	48.6
Boomerang Beach	53
Boomey	81
Boomi	65
Boomi Creek	30
Boona Mount	66.7
Boonal	63.6
Boonoo Boonoo	23.5
Boorabee Park	56.8
Booragul	41.1
Booral (NSW)	54.8
Boorga	90
Boorganna	22.7
Boorolong	50.7
Boorook	52.2
Boorooma	73.5
Booroorban	62.1
Boorowa	51.2
Bootawa	43.8
Booyong	50.8
Bora Ridge	42.4
Borah Creek	60
Borambola	75.9
Boree	68.4
Boree Creek	54.4
Borenore	64.8
Boro	51.4
Bossley Park	48.2
Bostobrick	52.3
Botany	65.6
Botobolar	77.8
Bottle Creek	46.7
Bourbah	46.9
Bourke	50.9
Bourkelands	72.6
Bournda	52
Bournewood	73.2
Bow Bowing	68.2
Bowan Park	71.8
Bowen Mountain	67.7
Bowenfels	33.5
Bowling Alley Point	42.9
Bowman	46
Bowman Farm	50
Bowmans Creek	50
Bowna	78.3
Bowning	59.8
Bowral	46.7
Bowraville	38.9
Box Hill (NSW)	57.7
Box Ridge	54.1
Boxers Creek	55.6
Boydtown	30.4
Bradbury (NSW)	53.9
Braefield	44.1
Braemar	67.9
Braemar Bay	33.3
Braidwood	50.9
Brandy Hill	63.7
Branxton	60.4
Braunstone	52.7
Brawboy	75
Bray Park (NSW)	39.2
Brays Creek	38.3
Brayton	46.9
Breadalbane (NSW)	64.3
Breakfast Creek	30.8
Breakfast Point	62.4
Bredbo	62.6
Breelong	47.2
Breeza	55.5
Bretti	11.5
Brewarrina	36.6
Brewongle	51.4
Briarbrook	30
Bribbaree	50.5
Bridgman	68
Brierfield	51.2
Brighton-le-Sands	55.4
Brightwaters	50.2
Brimbin	37
Brindabella	60.9
Bringelly	58.7
Bringenbrong	86.1
Brisbane Grove	61.1
Broadmeadow	62.7
Broadwater (Bega Valley - NSW)	50
Broadwater (Richmond Valley - NSW)	50.8
Broadway	44.4
Brobenah	114.3
Brocklehurst	58.9
Brocklesby	60.3
Brockley	56
Brodies Plains	35.9
Brogers Creek	43.2
Brogo	48.7
Broke (NSW)	50.2
Broken Head	53.8
Broken Hill	46.9
Brombin	59.8
Bronte	67.4
Brookdale (NSW)	80
Brookfield (NSW)	52.9
Brooklana	44.4
Brooklet	56.3
Brooklyn (NSW)	61.7
Brookvale	70
Brooman	64.7
Brooms Head	27.9
Broughams Gate	46.2
Broughton (NSW)	50.7
Broughton Vale	47.9
Broughton Village	85.5
Broulee	44
Brownlow Hill	52.6
Browns Creek	70.2
Browns Mountain	58.3
Brownsville	44.1
Brucedale	74.5
Bruie Plains	51.6
Bruinbun	31
Brumby Plains	100
Brundee	78.9
Brungle	42.7
Brungle Creek	64
Brunkerville	60.7
Brunswick Heads	45.4
Brushgrove	40.1
Brushy Creek	100
Bucca (NSW)	59.3
Bucca Wauka	46.5
Buccarumbi	29.4
Buchanan (NSW)	58.9
Buckajo	65.3
Buckaroo	59.5
Buckenbowra	42.9
Buckenderra	23.8
Buckendoon	68
Bucketty	55.2
Buckra Bendinni	40.2
Buddabadah	65.9
Budden	72.2
Budgee Budgee (NSW)	57.6
Budgewoi	48
Budgong	55.2
Buff Point	47.2
Bugaldie	40.7
Bukkulla	60.6
Bulahdelah	40.4
Bulga (NSW)	55.1
Bulgary	72.7
Bulla Creek	72.2
Bullaburra	57.9
Bullagreen	58.1
Bullarah	65
Bullatale	76.5
Bullawa Creek	43.7
Bulli	62.1
Bulliac	39.4
Bullio	59.7
Bulyeroi	100
Bumbaldry	35.8
Bumbalong	33.3
Bundabah	41.1
Bundagen	34.5
Bundanoon (NSW)	44
Bundarra	42.5
Bundeena	59.3
Bundella	82
Bundemar	80.6
Bundewallah	35.6
Bundook	35.6
Bundure	133.3
Bungaba	31.9
Bungalora	46.6
Bungarby	40.9
Bungarribee	72
Bungawalbin	44.1
Bungendore	70.5
Bungonia	48.7
Bungowannah	73
Bungwahl	47.9
Bunnaloo	70
Bunnan	45.2
Bunyah	43.7
Bunyan	67.7
Burcher	37
Bureen	65.2
Burnt Bridge	17.1
Burnt Yards	53.8
Buronga	55.9
Burra (Queanbeyan-Palerang Regional - NSW)	59.5
Burra (Snowy Valleys - NSW)	60
Burra Creek	65.7
Burraboi	76.5
Burradoo	40.6
Burraga	58.2
Burragate	51.1
Burrandana	63.6
Burraneer	65.2
Burrangong	59.5
Burrapine	11.3
Burrawang	55.9
Burrell Creek	50.5
Burren Junction	57.5
Burrier	66.7
Burrill Lake	42.8
Burringbar	53.4
Burrinjuck	41.2
Burroway	63.8
Burrumbuttock	64.6
Burrundulla	62.5
Burwood (NSW)	49.7
Burwood Heights	53.3
Busby	36.8
Busbys Flat	48.3
Bushells Ridge	44.4
Buttaba	53.7
Buttai	71.1
Butterwick	59.5
Buxton (NSW)	66.4
Byabarra	57.9
Byangum	50.4
Bylong	84.2
Byng	72.9
Byrock	27.5
Byron Bay	48.5
Byrrill Creek	35.5
Bywong	66
Cabarita (NSW)	58.6
Cabarita Beach	46.5
Cabbage Tree Island (Ballina - NSW)	19.6
Cabramatta	41.7
Cabramatta West	43.9
Cabramurra	53.3
Caddens	57.2
Cadgee (NSW)	30.6
Caffreys Flat	32.6
Calala	62.5
Calderwood	68.1
Caldwell	75
Calga	59.8
Califat	100
Calimo	62.7
Callaghan	34.8
Callaghans Creek	75
Callala Bay	44.9
Callala Beach	36.1
Calliope (NSW)	55.1
Caloola	51.4
Camberwell (NSW)	54
Cambewarra	69.1
Cambewarra Village	66.4
Camboon (NSW)	62.1
Cambra	60
Cambridge Gardens	65.2
Cambridge Park	58.1
Camden	56.1
Camden Head	38.3
Camden Park (NSW)	73.9
Camden South	64.2
Cameron Park	69.5
Camerons Creek	37.1
Camira (NSW)	22.6
Cammeray	70.1
Camp Creek (NSW)	60
Campbelltown (NSW)	50.2
Camperdown (NSW)	62
Campsie	52.8
Campvale	63.4
Cams Wharf	50.9
Canada Bay	60.7
Canbelego	70.4
Candelo	54.3
Cangai	46.4
Caniaba	65.2
Canley Heights	45.4
Canley Vale	42.5
Canobolas	68.6
Canoelands	70.8
Canonba	111.8
Canowindra	51.4
Canterbury (NSW)	59.6
Canton Beach	24.8
Canyonleigh	63.6
Caparra	39.7
Capeen Creek	60
Capertee	49.2
Capoompeta	100
Captains Flat	60
Carabost	53.5
Caragabal	60.4
Carcalgong	31.6
Carcoar	42.7
Cardiff (NSW)	55.9
Cardiff Heights	53.1
Cardiff South	60.8
Carey Bay	39
Cargo	61.4
Carinda	77.9
Caringbah	63.1
Caringbah South	62.2
Carlaminda	70.4
Carlingford	55.8
Carlton (NSW)	58.6
Carnes Hill	68.4
Carnham	100
Carool	56.3
Caroona	48.8
Carramar (NSW)	41
Carrathool	63.2
Carrick (NSW)	58.9
Carrington (Mid-Coast - NSW)	36.7
Carrington (Newcastle - NSW)	61.2
Carrington Falls	33.3
Carroll	50.6
Carrowbrook	55.6
Carrs Creek	54.4
Carrs Island	21.4
Carrs Peninsula	63.6
Carss Park	53.5
Cartwright	32.9
Cartwrights Hill	56.5
Carwell	62.5
Carwoola	63
Casino	41.4
Cassilis (NSW)	62.5
Castle Cove	56.4
Castle Doyle	70.1
Castle Hill (NSW)	60.4
Castle Rock	58.6
Castlecrag	60
Castlereagh	60.5
Casuarina (NSW)	65.7
Casula	53.7
Catalina	37.8
Cataract	37.5
Cathcart (NSW)	48.9
Catherine Field	56.4
Catherine Hill Bay	44.7
Cathundral	83.3
Cattai	67
Cattle Creek (NSW)	68.2
Cavan (NSW)	72.5
Caves Beach	51.9
Cawdor (NSW)	58.7
Cawongla	42.5
Cecil Hills	60.2
Cecil Park	61.4
Cedar Brush Creek	56.3
Cedar Creek (Cessnock - NSW)	17.9
Cedar Party	46.4
Cedar Point	55.4
Centennial Park (NSW)	69.2
Central Colo	69.6
Central Macdonald	47.7
Central Mangrove	70.5
Central Tilba	49.4
Cessnock	40.6
Chain Valley Bay	37
Chakola	62.2
Chambigne	34.8
Charbon	30.8
Charles Sturt University	38.6
Charlestown (NSW)	58.5
Charleys Forest	52.8
Charlotte Bay	46.6
Charlton (NSW)	93.3
Charmhaven	49.9
Chatham Valley	60
Chatsbury	67.1
Chatswood	55.7
Chatswood West	60
Chatsworth (NSW)	58.2
Cheero Point	61.3
Cheltenham (NSW)	61.5
Cherry Tree Hill	38.7
Cherrybrook	60.9
Chester Hill	44.4
Chichester (NSW)	60
Chifley (NSW)	56.7
Chilcotts Grass	57.8
Chillingham	44.2
Chinderah	30.9
Chinnock	28.6
Chippendale	46.2
Chipping Norton	58.9
Chisholm (NSW)	73.4
Chiswick	65.3
Chittaway Bay	58.4
Chittaway Point	61.1
Chowan Creek	8.8
Church Point	56.2
Clandulla	34.6
Clare (NSW)	81.3
Claremont Meadows	70.8
Clarence	46.2
Clarence Town	56.2
Clarendon (NSW)	64.2
Clarenza	53.7
Clareville	53.7
Claymore	23.2
Clear Creek	76
Clear Range	64
Clearfield	30
Clemton Park	48.6
Clergate	67.1
Cleveland (NSW)	57.9
Clifden	60
Cliftleigh	52.2
Clifton (NSW)	40.7
Clifton Grove	63.4
Clontarf (NSW)	57.5
Clothiers Creek	58.4
Clouds Creek	133.3
Clovelly	69.3
Clunes (NSW)	61.4
Clybucca	59
Clyde (NSW)	50
Clydesdale (NSW)	70.3
Coal Point	54.2
Coalcliff	67.1
Coaldale	56.6
Coasters Retreat	9.1
Cobaki	59.2
Cobaki Lakes	59.5
Cobar	56.3
Cobar Park	39.3
Cobargo	42.4
Cobark	42.4
Cobbadah	72.7
Cobbitty	63.5
Cobramunga	55.2
Cockwhy	78.6
Codrington (NSW)	54.9
Coffee Camp	45.9
Coffs Harbour	47.4
Cogra Bay	61.5
Coila	45.5
Coldstream (NSW)	61.5
Coleambally	62.3
Colebee	72.9
Coledale	63.8
Colinroobie	61.7
Colinton (NSW)	71.2
Collarenebri	42
Collaroy (NSW)	64.8
Collaroy Plateau	66.8
Collector	67.5
Collendina	63.2
Collerina	84.8
Collie (NSW)	70.8
Collingullie	61
Collingwood (NSW)	71.8
Collins Creek	58.2
Collombatti	42.5
Colly Blue	42.3
Colo (Hawkesbury - NSW)	88.4
Colo Heights	52.9
Colo Vale	58.3
Colyton	54.4
Comara	38.9
Combaning	68.9
Combara	54.7
Comberton	26.9
Comboyne	50.8
Come By Chance	65.7
Comerong Island	87.5
Commissioners Creek	29.6
Como (NSW)	68
Comobella	60.5
Conargo	52
Concord	59
Concord West	59
Condell Park	49.4
Condobolin	50.9
Condong	53.5
Coneac	18.8
Congarinni	50.4
Congarinni North	49.8
Congewai	47.5
Congo	41.7
Conimbia	118.2
Coniston	48.9
Conjola	68.5
Conjola Park	42.9
Connells Point	60.3
Constitution Hill	54.1
Coogee (NSW)	70.4
Cookamidgera	50
Cookardinia	58.3
Cooks Gap	47.2
Cooks Hill	62.1
Cooks Myalls	57.1
Coolabah	51.9
Coolac	58.7
Coolagolite	46.9
Coolah	50
Coolamon	52.3
Coolangatta (NSW)	62.9
Coolatai	59.2
Cooleys Creek	37.5
Coolgardie (NSW)	32.7
Coolongolook	38.6
Coolringdon	76.3
Coolumbooka	100
Cooma (NSW)	50.9
Coomba Bay	29.9
Coomba Park	22.8
Coombadjha	71.4
Coombell	38.9
Coomealla	46.2
Coomoo Coomoo	87.5
Coonabarabran	41
Coonamble	43.6
Cooperabung	57.6
Coopernook	43.6
Coopers Gully	57.9
Coopers Shoot	43.8
Cooplacurripa	60
Coorabell	53.7
Cooranbong	47.7
Cootamundra	44.4
Cootralantra	69
Cooyal	56.5
Copacabana	63.3
Cope	44.4
Copeland	53.7
Copeton	29.7
Copmanhurst	34.6
Coppabella (NSW)	27.3
Copperhannia	100
Coraki	40.7
Coralville	27.9
Coramba	59.6
Corang	30
Corangula	14.3
Corbie Hill	60.4
Cordeaux Heights	67.3
Coree	79.2
Coreen	60.2
Corindi Beach	51.5
Corinella (NSW)	67.2
Corlette	47.6
Corndale (NSW)	61.8
Corney Town	32.3
Cornwallis	61.9
Corobimilla	86.8
Corowa	48.3
Corrabare	30
Corrimal	53
Corrong	100
Corrowong	30.8
Corunna	47.5
Cottage Point	37.6
Cottonvale (NSW)	21.1
Cougal	24.2
Countegany	48.3
Courabyra	58.3
Couradda	47.7
Couragago	60
Couridjah	62.6
Coutts Crossing	46.5
Cow Flat	53.6
Cowabbie	100
Cowan	64.6
Cowper	59.2
Cowra	46.4
Coxs Creek	34.9
Coxs Crown	75
Crabbes Creek	55.5
Crackenback	72.5
Craigie (NSW)	80.8
Cranebrook	66.2
Craven	43.3
Craven Plateau	75
Crawford River	59.5
Crawney	83.9
Creewah	24.1
Cremorne (NSW)	68.1
Cremorne Point	64
Crescent Head	49.3
Crestwood	63.1
Cringila	36.3
Croki	21.4
Cromer (NSW)	62.7
Cronulla	64.4
Crooble	69.4
Croobyar	52.6
Crooked Corner	57.1
Crookwell	50.1
Croom	70.8
Croppa Creek	76.1
Cross Roads (NSW)	76.5
Crosslands	52.3
Croudace Bay	56.2
Crowdy Head	33.8
Crows Nest (NSW)	72.2
Crowther	58.8
Croydon (NSW)	56.6
Croydon Park (NSW)	59.5
Crudine	44.6
Cryon	96.4
Crystal Creek (NSW)	51.2
Cubba	72
Cudal	55.8
Cudgegong	45.2
Cudgel	60
Cudgen	59.9
Cudgera Creek	67.3
Cudmirrah	36.2
Culburra Beach	39.7
Culcairn	51.1
Cullen Bullen	35.6
Cullenbone	62.1
Cullendore	93.3
Cullerin	64.7
Cullivel	30
Culmaran Creek	30
Cumbalum	66.5
Cumberland Reach	74.3
Cumborah	25
Cumnock	51
Cundle Flat	70
Cundletown	47.3
Cundumbul	60
Cunjurong Point	36.5
Cunningar	63.6
Cunninyeuk	63
Curban	66.7
Curl Curl	62.9
Curlew Waters	90
Curlewis (NSW)	55.2
Curlwaa	58.9
Curra Creek	46
Currabubula	59.7
Curramore (NSW)	53
Currans Hill	71.7
Currarong	34.9
Currawang	55.5
Currawarna	53
Curraweela	57.5
Curricabark	40
Currowan	48.1
Cuttabri	50
Cuttagee	24.1
Dabee	41.9
Daceyville	28.3
Dairy Arm	38.1
Dairy Flat	85.7
Dairymans Plains	62.5
Daleys Point	36.1
Dalgety	58.1
Dalmeny	33.8
Dalswinton	61.9
Dalton	60.8
Dalwood (Ballina - NSW)	62.6
Dalwood (Singleton - NSW)	75.5
Dandaloo	63
Dandry	33.3
Dangar Island	48.2
Dangarsleigh	59.7
Dapto	51.9
Darawank	43.8
Darbalara	60
Darbys Falls	43.2
Dareton	25.2
Dargan	32.6
Dark Corner	88.2
Darkes Forest	62.9
Darkwood	46.3
Darling Point	55.1
Darlinghurst	66.1
Darlington (Singleton - NSW)	57.9
Darlington (Sydney - NSW)	50.5
Darlington Point	52.2
Darlow	60
Dartbrook	66.3
Daruka	74.2
Davidson	63.6
Davis Creek	50
Davistown	49.2
Dawes Point	63.5
Daysdale	50
Dean Park	57.5
Deauville	76
Dee Why	68.6
Deep Creek (Clarence Valley - NSW)	60
Deep Creek (Kempsey - NSW)	30
Deep Creek (Kyogle - NSW)	40.9
Deepwater (NSW)	32.8
Deer Vale	40.5
Delegate	52.4
Delungra	50.4
Denham Court	46.8
Denhams Beach	30.6
Deniliquin	50.8
Denistone	59.8
Denistone East	59.7
Denistone West	60.5
Denman	54.7
Depot Beach	31.6
Derriwong	60
Deua River Valley	24.2
Devils Hole	37.5
Dewitt	23.1
Dharruk	48.1
Dhulura	66.7
Dhuragoon	95.5
Diamond Beach	49.9
Diehard	7.7
Diggers Camp	16.7
Dignams Creek	34.2
Dilkoon	31
Dilpurra	56.3
Dinoga	55.8
Dirnaseer	70.1
Dirty Creek	55.4
Dobies Bight	56.7
Doctor George Mountain	46
Doctors Gap	41.9
Dog Rocks	60
Dolans Bay	67.4
Dolls Point	62.5
Dollys Flat	67.2
Dolphin Point	34.5
Dombarton	75.2
Donald Creek	72.7
Dondingalong	46.4
Doon Doon	40.5
Doonbah	29.6
Doonside	50.4
Dooralong	49.5
Dora Creek	47
Dorrigo	39.8
Dorrigo Mountain	48.9
Dorroughby	53.7
Double Bay	61.6
Doubtful Creek	57.1
Douglas Park	61
Dover Heights	61.4
Downside	79.8
Doyalson	57.1
Doyalson North	16
Doyles Creek	48.6
Drake	24.6
Drildool	58.8
Dripstone	38.1
Drummoyne	63
Dry Creek (NSW)	54.5
Dry Plain	59.5
Dubbo	59
Duck Creek	39.6
Duckenfield	58.7
Duckmaloi	52.3
Dudley	59.4
Duffys Forest	62.9
Dulguigan	61.7
Dulwich Hill	64.8
Dum Dum	33.9
Dumaresq	79.7
Dumaresq Island	50
Dumaresq Valley	76
Dunbible	42.6
Dunbogan	35.3
Duncans Creek	54.8
Dundas (NSW)	56.7
Dundas Valley	57.2
Dundee	55.2
Dundurrabin	25.3
Dunedoo	40.7
Dungarubba	69.6
Dungay	59.3
Dungog	41.9
Dungowan	66.6
Dunkeld (NSW)	55.6
Dunmore (NSW)	60.8
Dunolly (NSW)	45.8
Dunoon	55.6
Duns Creek	60.8
Dunville Loop	87.5
Dural (Hornsby - NSW)	60.2
Duramana	65.5
Duranbah	58
Duri	62.8
Duroby	55
Durran Durra	58.2
Durras North	40
Durren Durren	89.1
Dyers Crossing	51.4
Dyraaba	41.8
Dyrring	69.2
Eagle Vale	61.1
Eagleton	58.4
Earlwood	55.8
East Albury	59.3
East Ballina	54.9
East Branxton	62.9
East Coraki	70.5
East Corrimal	56.8
East Gosford	49.5
East Gresford	60.8
East Hills	57
East Jindabyne	71.6
East Kangaloon	63
East Kempsey	47.9
East Killara	53
East Kurrajong	65.5
East Lindfield	56.7
East Lismore	47.6
East Lynne	54.7
East Maitland	52.1
East Ryde	64
East Seaham	64.8
East Tamworth	57.9
