SSC_NAME16	employmentToPopulation
Aarons Pass	50
Abbotsbury	65.7
Abbotsford (NSW)	58.6
Abercrombie	67.8
Abercrombie River	45.5
Aberdare	48.7
Aberdeen (NSW)	55.5
Aberfoyle	82.9
Aberglasslyn	68
Abermain	51.3
Abernethy	44
Abington (NSW)	45.5
Acacia Creek	50
Acacia Gardens	71.6
Adaminaby	53.1
Adamstown	63.3
Adamstown Heights	60
Adelong	48.7
Adjungbilly	72.4
Afterlee	51.1
Agnes Banks	65.9
Airds	24.4
Akolele	17.6
Albert	69
Albion Park	61.2
Albion Park Rail	51.6
Albury	56.6
Aldavilla	27.6
Alectown	53.1
Alexandria	76.8
Alfords Point	69.4
Alfredtown	77.4
Alison (Central Coast - NSW)	48
Alison (Dungog - NSW)	38.5
Allambie Heights	62.2
Allandale (NSW)	71.9
Allawah	60.4
Alleena	62.5
Allgomera	40.7
Allworth	52.3
Allynbrook	53.6
Alma Park	76.5
Alpine	58.3
Alstonvale	59.3
Alstonville	46.6
Alumy Creek	46.1
Amaroo (NSW)	69.7
Ambarvale	51.6
Amosfield	50
Anabranch South	55.2
Anambah	34.5
Ando	62.1
Anembo	49
Angledale	60.9
Angledool	34.6
Anglers Reach	28.4
Angourie	53.6
Anna Bay	47.1
Annandale (NSW)	68
Annangrove	67.4
Appin (NSW)	69.1
Apple Tree Flat	41.9
Appleby	96.4
Appletree Flat	63.6
Apsley (NSW)	49.5
Arable	50
Arakoon	43
Araluen (NSW)	39.4
Aratula (NSW)	100
Arcadia (NSW)	65.3
Arcadia Vale	54.9
Ardglen	40.5
Arding	50.9
Ardlethan	35.7
Argalong	80
Argenton	44.2
Argents Hill	43.9
Argoon (NSW)	122.2
Ariah Park	50.5
Arkell	65
Arkstone	33.3
Armatree	61.3
Armidale	50.2
Arncliffe	56.3
Arndell Park	55.6
Arrawarra	17.9
Arrawarra Headland	51.1
Artarmon	65.7
Arthurville	55.9
Arumpo	104.2
Ashbury	61.7
Ashby (NSW)	37.8
Ashby Heights	37.1
Ashby Island	50
Ashcroft	33.4
Ashfield (NSW)	58.5
Ashford (NSW)	37.3
Ashley	67.7
Ashmont	44
Ashtonfield	64.6
Asquith	62.8
Atholwood	56.3
Attunga	60.7
Auburn (NSW)	46.7
Auburn Vale	67
Austinmer	61
Austral	47.7
Austral Eden	61.7
Avalon Beach	62.7
Avisford	68.4
Avoca (NSW)	62.8
Avoca Beach	63.2
Avondale (NSW)	55
Avonside	56.5
Awaba	56.5
Aylmerton	65.9
Baan Baa	54.6
Babyl Creek	140
Back Creek (Bland - NSW)	61.8
Back Creek (Gwydir - NSW)	58.3
Back Creek (Mid-Coast - NSW)	58.8
Back Creek (Tenterfield - NSW)	57.1
Back Creek (Tweed - NSW)	120
Back Forest	63.2
Backmede	54.8
Backwater	35.7
Badgerys Creek	47.1
Baerami	47.2
Baerami Creek	54.1
Bagnoo	42.9
Bago	30.8
Bagotville	55.6
Bakers Creek (Mid-Coast - NSW)	35.5
Bakers Creek (Nambucca - NSW)	28.6
Bakers Creek (Uralla - NSW)	81.3
Bakers Swamp	47.8
Balaclava (NSW)	58.2
Balala	46.7
Balcolyn	49
Bald Blair	84.4
Bald Hills (NSW)	53.3
Bald Nob	77.8
Baldersleigh	72
Baldry	72.1
Balfours Peak	44.8
Balgowlah	66.4
Balgowlah Heights	62.7
Balgownie	54.6
Balickera	50
Balladoran	67.7
Ballalaba	47.4
Balldale	48.4
Ballengarra	54.8
Ballimore	58.5
Ballina	37.4
Ballyroe	166.7
Balmain	65.1
Balmain East	61.2
Balmoral (Lake Macquarie - NSW)	58.8
Balmoral (Wingecarribee - NSW)	64.4
Balranald	52.1
Bamarang	72.7
Bandon Grove	53
Bangadang	37.5
Bangalee (NSW)	59.6
Bangalow	61.5
Bangheet	70
Bango	78.4
Bangor (NSW)	65
Banksia	57.5
Banksmeadow	57.1
Bankstown	45.8
Bannaby	41.7
Bannister (NSW)	73.1
Banoon	45.8
Banora Point	45.7
Banyabba	27.9
Bar Beach	59.4
Bar Point	55.4
Bara	55
Baradine	37.4
Barangaroo	45.9
Barden Ridge	72.3
Bardia	71
Bardwell Park	62.7
Bardwell Valley	56.3
Barellan	52.2
Bargo	58.2
Barham	44.4
Barkers Vale	52
Barmedman	39
Barnsley	61.2
Barooga	52
Barraba	34.2
Barrack Heights	48.2
Barrack Point	52.9
Barraganyatti	45.4
Barragga Bay	44.7
Barrengarry	56.5
Barretts Creek	40
Barringella	65.2
Barrington (NSW)	44.6
Barry (Blayney - NSW)	49.2
Barwang	78.1
Barwon	66.7
Baryulgil	20.8
Basin View	45.4
