SSC_NAME16	HomeCensusNight	persons
Aarons Pass	1	19
Abbotsbury	0	67
Abbotsbury	1	4183
Abbotsford (NSW)	0	182
Abbotsford (NSW)	1	5199
Abercrombie	0	42
Abercrombie	1	1065
Abercrombie River	1	18
Aberdare	0	160
Aberdare	1	2313
Aberdeen (NSW)	0	129
Aberdeen (NSW)	1	1953
Aberfoyle	0	6
Aberfoyle	1	96
Aberglasslyn	0	228
Aberglasslyn	1	5179
Abermain	0	129
Abermain	1	2211
Abernethy	0	12
Abernethy	1	335
Abington (NSW)	0	3
Abington (NSW)	1	7
Acacia Creek	1	42
Acacia Gardens	0	51
Acacia Gardens	1	3743
Adaminaby	0	27
Adaminaby	1	279
Adamstown	0	313
Adamstown	1	5732
Adamstown Heights	0	245
Adamstown Heights	1	5055
Adelong	0	51
Adelong	1	892
Adjungbilly	0	6
Adjungbilly	1	78
Afterlee	1	51
Agnes Banks	0	26
Agnes Banks	1	883
Airds	0	141
Airds	1	2785
Akolele	0	9
Akolele	1	157
Albert	0	4
Albert	1	75
Albion Park	0	551
Albion Park	1	12764
Albion Park Rail	0	297
Albion Park Rail	1	6614
Albury	0	379
Albury	1	4426
Aldavilla	0	27
Aldavilla	1	1200
Alectown	0	5
Alectown	1	163
Alexandria	0	375
Alexandria	1	7890
Alfords Point	0	77
Alfords Point	1	3030
Alfredtown	0	5
Alfredtown	1	104
Alice	0	3
Alice	1	10
Alison (Central Coast - NSW)	0	9
Alison (Central Coast - NSW)	1	85
Alison (Dungog - NSW)	1	76
Allambie Heights	0	261
Allambie Heights	1	6750
Allandale (NSW)	0	3
Allandale (NSW)	1	71
Allawah	0	130
Allawah	1	5576
Alleena	1	57
Allgomera	0	10
Allgomera	1	123
Allworth	0	8
Allworth	1	158
Allynbrook	0	3
Allynbrook	1	63
Alma Park	0	9
Alma Park	1	52
Alpine	0	7
Alpine	1	128
Alstonvale	0	21
Alstonvale	1	417
Alstonville	0	298
Alstonville	1	5438
Alumy Creek	0	5
Alumy Creek	1	87
Amaroo (NSW)	1	42
Ambarvale	0	258
Ambarvale	1	7118
Amosfield	0	5
Amosfield	1	24
Anabranch North	1	9
Anabranch South	0	3
Anabranch South	1	34
Anambah	0	5
Anambah	1	29
Ando	0	3
Ando	1	62
Anembo	0	8
Anembo	1	59
Angledale	0	10
Angledale	1	147
Angledool	0	17
Angledool	1	40
Anglers Reach	0	7
Anglers Reach	1	87
Angourie	0	21
Angourie	1	202
Anna Bay	0	267
Anna Bay	1	3574
Annandale (NSW)	0	424
Annandale (NSW)	1	9028
Annangrove	0	60
Annangrove	1	1332
Appin (NSW)	0	110
Appin (NSW)	1	2521
Apple Tree Flat	1	38
Appleby	1	37
Appletree Flat	1	16
Apsley (NSW)	0	5
Apsley (NSW)	1	99
Arable	0	4
Arable	1	14
Arakoon	0	28
Arakoon	1	393
Araluen (NSW)	0	17
Araluen (NSW)	1	146
Aratula (NSW)	1	9
Arcadia (NSW)	0	49
Arcadia (NSW)	1	1337
Arcadia Vale	0	66
Arcadia Vale	1	1308
Ardglen	0	4
Ardglen	1	56
Arding	0	4
Arding	1	200
Ardlethan	0	35
Ardlethan	1	480
Argalong	1	29
Argenton	0	50
Argenton	1	1295
Argents Hill	0	15
Argents Hill	1	199
Argoon (NSW)	1	13
Ariah Park	0	47
Ariah Park	1	445
Arkell	0	3
Arkell	1	44
Arkstone	0	7
Arkstone	1	18
Armatree	0	20
Armatree	1	128
Armidale	0	1736
Armidale	1	21611
Arncliffe	0	321
Arncliffe	1	10272
Arndell Park	0	5
Arndell Park	1	27
Arrawarra	0	37
Arrawarra	1	484
Arrawarra Headland	0	27
Arrawarra Headland	1	526
Artarmon	0	328
Artarmon	1	9198
Arthurville	1	39
Arumpo	1	34
Ashbury	0	121
Ashbury	1	3207
Ashby (NSW)	0	16
Ashby (NSW)	1	304
Ashby Heights	0	10
Ashby Heights	1	220
Ashby Island	1	11
Ashcroft	0	110
Ashcroft	1	3476
Ashfield (NSW)	0	738
Ashfield (NSW)	1	23097
Ashford (NSW)	0	44
Ashford (NSW)	1	607
Ashley	0	20
Ashley	1	347
Ashmont	0	212
Ashmont	1	3615
Ashtonfield	0	240
Ashtonfield	1	4412
Asquith	0	118
Asquith	1	3257
Atholwood	0	6
Atholwood	1	77
Attunga	0	34
Attunga	1	536
Auburn (NSW)	0	1005
Auburn (NSW)	1	36368
Auburn Vale	0	14
Auburn Vale	1	110
Austinmer	0	171
Austinmer	1	2391
Austral	0	109
Austral	1	2914
Austral Eden	0	12
Austral Eden	1	140
Avalon Beach	0	571
Avalon Beach	1	9334
Avisford	0	10
Avisford	1	19
Avoca (NSW)	0	8
Avoca (NSW)	1	195
Avoca Beach	0	275
Avoca Beach	1	4307
Avondale (NSW)	0	50
Avondale (NSW)	1	1600
Avonside	0	14
Avonside	1	111
Awaba	0	16
Awaba	1	384
Aylmerton	0	16
Aylmerton	1	177
Baan Baa	0	6
Baan Baa	1	159
Babyl Creek	1	8
Back Creek (Bland - NSW)	0	3
Back Creek (Bland - NSW)	1	52
Back Creek (Gwydir - NSW)	1	13
Back Creek (Mid-Coast - NSW)	1	20
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	12
Back Creek (Tenterfield - NSW)	1	14
Back Creek (Tweed - NSW)	1	14
Back Forest	0	13
Back Forest	1	73
Backmede	0	12
Backmede	1	142
Backwater	1	10
Badgerys Creek	0	14
Badgerys Creek	1	208
Badja	1	6
Baerami	0	7
Baerami	1	67
Baerami Creek	0	3
Baerami Creek	1	47
Bagnoo	1	41
Bago	1	35
Bagotville	0	3
Bagotville	1	47
Bakers Creek (Mid-Coast - NSW)	0	3
Bakers Creek (Mid-Coast - NSW)	1	32
Bakers Creek (Nambucca - NSW)	1	13
Bakers Creek (Uralla - NSW)	1	15
Bakers Swamp	0	6
Bakers Swamp	1	48
Balaclava (NSW)	0	20
Balaclava (NSW)	1	476
Balala	0	20
Balala	1	118
Balcolyn	0	58
Balcolyn	1	903
Bald Blair	0	3
Bald Blair	1	43
Bald Hills (NSW)	0	31
Bald Hills (NSW)	1	237
Bald Nob	1	9
Bald Ridge	1	9
Baldersleigh	0	3
Baldersleigh	1	50
Baldry	0	9
Baldry	1	87
Balfours Peak	1	38
Balgowlah	0	330
Balgowlah	1	7637
Balgowlah Heights	0	148
