SSC_NAME16	HomeCensusNight	persons
Balgowlah Heights	1	3202
Balgownie	0	201
Balgownie	1	5330
Balickera	1	27
Balladoran	0	7
Balladoran	1	102
Ballalaba	1	22
Balldale	0	3
Balldale	1	153
Ballengarra	0	3
Ballengarra	1	91
Ballimore	0	22
Ballimore	1	170
Ballina	0	417
Ballina	1	8238
Ballyroe	1	3
Balmain	0	521
Balmain	1	9928
Balmain East	0	103
Balmain East	1	1832
Balmoral (Lake Macquarie - NSW)	0	47
Balmoral (Lake Macquarie - NSW)	1	676
Balmoral (Wingecarribee - NSW)	0	10
Balmoral (Wingecarribee - NSW)	1	420
Balranald	0	79
Balranald	1	1269
Bamarang	0	3
Bamarang	1	21
Bandon Grove	0	6
Bandon Grove	1	107
Bangadang	1	11
Bangalee (NSW)	0	43
Bangalee (NSW)	1	612
Bangalow	0	109
Bangalow	1	1912
Bangheet	1	41
Bango	0	4
Bango	1	95
Bangor (NSW)	0	198
Bangor (NSW)	1	5367
Banksia	0	96
Banksia	1	3291
Banksmeadow	0	9
Banksmeadow	1	16
Bankstown	0	947
Bankstown	1	31171
Bannaby	1	35
Bannister (NSW)	0	9
Bannister (NSW)	1	116
Banoon	1	25
Banora Point	0	821
Banora Point	1	15342
Banyabba	1	51
Bar Beach	0	133
Bar Beach	1	1126
Bar Point	0	6
Bar Point	1	63
Bara	1	25
Baradine	0	37
Baradine	1	718
Barangaroo	0	5
Barangaroo	1	179
Barden Ridge	0	152
Barden Ridge	1	4180
Bardia	0	39
Bardia	1	1562
Bardwell Park	0	70
Bardwell Park	1	2168
Bardwell Valley	0	74
Bardwell Valley	1	2250
Barellan	0	28
Barellan	1	508
Bargo	0	147
Bargo	1	4241
Barham	0	132
Barham	1	1381
Barigan	1	4
Barkers Vale	0	9
Barkers Vale	1	157
Barmedman	0	24
Barmedman	1	434
Barnsley	0	93
Barnsley	1	1655
Barooga	0	175
Barooga	1	1644
Barraba	0	102
Barraba	1	1306
Barrack Heights	0	283
Barrack Heights	1	5623
Barrack Point	0	31
Barrack Point	1	657
Barraganyatti	0	7
Barraganyatti	1	133
Barragga Bay	0	4
Barragga Bay	1	96
Barratta (NSW)	1	3
Barrengarry	0	4
Barrengarry	1	189
Barretts Creek	1	13
Barringella	1	28
Barrington (NSW)	0	28
Barrington (NSW)	1	337
Barry (Blayney - NSW)	0	7
Barry (Blayney - NSW)	1	153
Barry (Upper Hunter Shire - NSW)	1	4
Barwang	0	9
Barwang	1	75
Barwon	0	4
Barwon	1	31
Baryulgil	0	12
Baryulgil	1	85
Basin View	0	120
Basin View	1	1432
Bass Hill	0	259
Bass Hill	1	8813
Bassendean (NSW)	1	3
Batar Creek	0	3
Batar Creek	1	75
Bateau Bay	0	557
Bateau Bay	1	11586
Batehaven	0	128
Batehaven	1	1652
Batemans Bay	0	119
Batemans Bay	1	1416
Bathampton	0	3
Bathampton	1	32
Bathurst	0	508
Bathurst	1	6425
Batlow	0	84
Batlow	1	1226
Baulkham Hills	0	1017
Baulkham Hills	1	36037
Baw Baw (NSW)	0	14
Baw Baw (NSW)	1	244
Bawley Point	0	66
Bawley Point	1	629
Bayview (NSW)	0	199
Bayview (NSW)	1	3420
Beacon Hill	0	281
Beacon Hill	1	7183
Beaconsfield (NSW)	0	54
Beaconsfield (NSW)	1	941
Bean Creek	0	6
Bean Creek	1	73
Bearbong	0	3
Bearbong	1	55
Beaumont (NSW)	0	12
Beaumont (NSW)	1	120
Beaumont Hills	0	219
Beaumont Hills	1	8825
Beckom	0	9
Beckom	1	116
Bective	0	13
Bective	1	195
Bectric	0	3
Bectric	1	52
Bedgerabong	0	3
Bedgerabong	1	148
Beechwood	0	33
Beechwood	1	579
Beecroft	0	291
Beecroft	1	9104
Beelbangera	0	23
Beelbangera	1	381
Beemunnel	1	17
Bega	0	271
Bega	1	4390
Beggan Beggan	1	98
Belanglo	0	3
Belanglo	1	18
Belbora	0	14
Belbora	1	112
Belfield	0	158
Belfield	1	6163
Belford	0	11
Belford	1	169
Belfrayden	0	3
Belfrayden	1	25
Belgravia	0	7
Belgravia	1	105
Belimbla Park	0	40
Belimbla Park	1	546
Bell (NSW)	0	6
Bell (NSW)	1	44
Bella Vista	0	173
Bella Vista	1	7664
Bellambi	0	158
Bellambi	1	3786
Bellangry	0	7
Bellangry	1	90
Bellata	0	29
Bellata	1	317
Bellawongarah	0	13
Bellawongarah	1	111
Bellbird	0	118
Bellbird	1	1910
Bellbird Heights	0	33
Bellbird Heights	1	754
Bellbrook	0	8
Bellbrook	1	265
Bellevue Hill	0	485
Bellevue Hill	1	10231
Bellimbopinni	0	3
Bellimbopinni	1	120
Bellingen	0	189
Bellingen	1	3594
Bellmount Forest	1	117
Belltrees	1	27
Belmont (NSW)	0	360
Belmont (NSW)	1	6754
Belmont North	0	311
Belmont North	1	6024
Belmont South	0	46
Belmont South	1	1006
Belmore	0	395
Belmore	1	12317
Belmore River	0	15
Belmore River	1	253
Beloka	0	4
Beloka	1	15
Belowra	1	9
Belrose	0	247
Belrose	1	8531
Bemboka	0	36
Bemboka	1	537
Ben Bullen	0	7
Ben Bullen	1	97
Ben Lomond (NSW)	0	8
Ben Lomond (NSW)	1	142
Benandarah	0	17
Benandarah	1	147
Bendalong	0	16
Bendalong	1	72
Bendemeer	0	35
Bendemeer	1	456
Bendick Murrell	0	12
Bendick Murrell	1	147
Bendolba	0	10
Bendolba	1	198
Bendoura	0	4
Bendoura	1	66
Benerembah	0	10
Benerembah	1	123
Bengalla	1	19
Bennetts Green	1	9
Benolong	0	8
Benolong	1	42
Bensville	0	124
Bensville	1	2419
Bentley (NSW)	0	10
Bentley (NSW)	1	191
Berala	0	238
Berala	1	8808
Berambing	0	3
Berambing	1	98
Beresfield	0	167
Beresfield	1	3016
Bergalia	0	19
Bergalia	1	149
Berkeley	0	288
Berkeley	1	7324
Berkeley Vale	0	411
Berkeley Vale	1	7941
Berkshire Park	0	32
Berkshire Park	1	2102
Bermagui	0	144
Bermagui	1	1390
Berowra	0	203
Berowra	1	4520
Berowra Creek	0	4
Berowra Creek	1	10
Berowra Heights	0	172
Berowra Heights	1	5088
Berowra Waters	1	116
Berrambool	0	28
Berrambool	1	425
Berrara	0	39
Berrara	1	260
Berremangra	0	10
Berremangra	1	71
Berrico	0	3
Berrico	1	34
Berridale	0	66
Berridale	1	1130
Berrigal	1	34
Berrigan	0	92
Berrigan	1	1171
Berrilee	0	15
Berrilee	1	207
Berrima	0	57
Berrima	1	616
Berringer Lake	0	6
Berringer Lake	1	24
Berry	0	164
Berry	1	2502
Berry Jerry	1	76
Berry Mountain	1	22
Berry Park	0	14
Berry Park	1	116
Berthong	0	3
Berthong	1	43
Beryl	1	130
Bethungra	0	17
Bethungra	1	150
Bevendale	0	8
Bevendale	1	37
Beverley Park	0	83
Beverley Park	1	2313
Beverly Hills	0	270
Beverly Hills	1	9885
Bewong	0	6
Bewong	1	72
Bexhill	0	35
Bexhill	1	461
Bexley	0	513
Bexley	1	19220
Bexley North	0	121
Bexley North	1	3969
Biala	0	3
Biala	1	56
Bibbenluke	0	3
Bibbenluke	1	88
Biddon	0	5
Biddon	1	90
Bidgeemia	1	31
Bidwill (NSW)	0	172
Bidwill (NSW)	1	4111
Bielsdown Hills	1	103
Big Hill (NSW)	0	5
Big Hill (NSW)	1	43
Big Jacks Creek	0	7
Big Jacks Creek	1	47
Big Ridge	1	14
Big Springs	0	7
Big Springs	1	109
Bigga	0	20
Bigga	1	224
Bilambil	0	23
Bilambil	1	387
Bilambil Heights	0	183
Bilambil Heights	1	3184
Bilbul	0	20
Bilbul	1	544
Bilgola Beach	0	9
Bilgola Beach	1	235
Bilgola Plateau	0	163
Bilgola Plateau	1	3358
Billeroy	0	6
Billeroy	1	33
Billilingra	1	13
Billimari	0	18
Billimari	1	132
Billinudgel	0	12
Billinudgel	1	207
Billys Creek	0	3
Billys Creek	1	56
Billywillinga	0	19
Billywillinga	1	174
Bilpin	0	31
Bilpin	1	629
Bimbi	0	9
Bimbi	1	110
Bimbimbie	0	11
Bimbimbie	1	110
Binalong	0	26
Binalong	1	517
Binda	0	15
Binda	1	267
Bindera	1	30
Bingara	0	117
Bingara	1	1312
Bingeebeebra Creek	1	32
Bingie	0	26
Bingie	1	168
Bingleburra	1	25
Biniguy	0	16
Biniguy	1	133
Binjura	0	16
Binjura	1	308
Binna Burra (NSW)	0	18
Binna Burra (NSW)	1	198
Binnaway	0	52
Binnaway	1	553
Binya	0	15
Binya	1	128
Birchgrove	0	185
Birchgrove	1	3112
Birdwood (NSW)	0	8
Birdwood (NSW)	1	39
Birganbigil	0	4
Birganbigil	1	53
Birmingham Gardens	0	90
Birmingham Gardens	1	2287
Birriwa	0	4
Birriwa	1	51
Birrong	0	94
Birrong	1	3013
Bishops Bridge	0	19
Bishops Bridge	1	228
Bithramere	0	7
Bithramere	1	163
Black Creek (Port Macquarie-Hastings - NSW)	1	46
Black Creek (Snowy Valleys - NSW)	0	3
Black Creek (Snowy Valleys - NSW)	1	14
Black Head	0	99
Black Head	1	753
Black Hill (NSW)	0	26
Black Hill (NSW)	1	531
Black Hollow	1	21
Black Mountain (NSW)	0	21
Black Mountain (NSW)	1	284
Black Range (NSW)	0	16
Black Range (NSW)	1	186
Black Springs (NSW)	0	21
Black Springs (NSW)	1	199
Blackalls Park	0	141
Blackalls Park	1	2611
Blackbutt (NSW)	0	110
Blackbutt (NSW)	1	3193
Blackett	0	178
Blackett	1	3271
Blackheath	0	287
Blackheath	1	4113
Blackmans Flat	1	28
Blackmans Point	0	27
Blackmans Point	1	142
Blacksmiths	0	94
Blacksmiths	1	1745
Blacktown	0	1285
Blacktown	1	45890
Blackville	0	5
Blackville	1	107
Blackwall (NSW)	0	85
Blackwall (NSW)	1	1802
Blair Athol (NSW)	0	73
Blair Athol (NSW)	1	2808
Blairmount	0	6
Blairmount	1	414
Blakebrook	0	7
Blakebrook	1	146
Blakehurst	0	206
Blakehurst	1	6014
Blakney Creek	1	60
Bland	1	44
Blandford	0	10
Blandford	1	176
Blaxland (NSW)	0	328
Blaxland (NSW)	1	7123
Blaxlands Creek	0	3
Blaxlands Creek	1	120
Blaxlands Ridge	0	28
Blaxlands Ridge	1	479
Blayney	0	162
Blayney	1	3212
Bligh Park	0	188
Bligh Park	1	6175
Blighty	0	3
Blighty	1	138
Blue Bay	0	49
Blue Bay	1	977
Blue Haven	0	236
Blue Haven	1	6142
Blue Knob	0	16
Blue Knob	1	208
Blue Nobby	0	10
Blue Nobby	1	16
Blue Vale	1	64
Blueys Beach	0	21
Blueys Beach	1	162
Boambee	0	81
Boambee	1	1585
Boambee East	0	296
Boambee East	1	4950
Boambolo	0	3
Boambolo	1	54
Boat Harbour (Lismore - NSW)	0	4
Boat Harbour (Lismore - NSW)	1	136
Boat Harbour (Port Stephens - NSW)	0	76
Boat Harbour (Port Stephens - NSW)	1	882
Bobadah	1	10
Bobin	0	17
Bobin	1	143
Bobs Creek	0	3
Bobs Creek	1	83
Bobs Farm	0	23
Bobs Farm	1	426
Bobundara	1	13
Boco	1	3
Bocoble	0	11
Bocoble	1	139
Bocobra	0	7
Bocobra	1	45
Bodalla	0	43
Bodalla	1	696
Bodangora	0	3
Bodangora	1	77
Boeill Creek	0	15
Boeill Creek	1	88
Bogan	0	3
Bogan	1	12
Bogan Gate	0	20
Bogan Gate	1	269
Bogangar	0	160
Bogangar	1	2897
Bogee	0	9
Bogee	1	68
Boggabilla	0	52
Boggabilla	1	936
Boggabri	0	67
Boggabri	1	1066
Bohena Creek	0	13
Bohena Creek	1	160
Bohnock	1	69
Bolaro	0	7
Bolaro	1	34
Bolivia	0	10
Bolivia	1	60
Bolong	0	13
Bolong	1	90
Bolton Point	0	134
Bolton Point	1	1983
Bolwarra (NSW)	0	57
Bolwarra (NSW)	1	930
Bolwarra Heights	0	114
Bolwarra Heights	1	2861
Bom Bom	0	3
Bomaderry	0	424
Bomaderry	1	6237
Bombah Point	1	12
Bombala	0	86
Bombala	1	1302
Bombay	0	5
Bombay	1	110
Bombira	0	15
Bombira	1	330
Bombo	0	6
Bombo	1	103
Bombowlee	0	17
Bombowlee	1	279
Bombowlee Creek	1	53
Bomen	1	25
Bomera	1	39
Bonalbo	0	23
Bonalbo	1	350
Bondi	0	410
Bondi	1	9636
Bondi Beach	0	587
Bondi Beach	1	11065
Bondi Junction	0	387
Bondi Junction	1	9052
Bonnells Bay	0	190
Bonnells Bay	1	3385
Bonnet Bay	0	127
Bonnet Bay	1	2139
Bonny Hills	0	173
Bonny Hills	1	2797
Bonnyrigg	0	296
Bonnyrigg	1	8377
Bonnyrigg Heights	0	147
Bonnyrigg Heights	1	7159
Bonshaw (NSW)	0	5
Bonshaw (NSW)	1	125
Bonville	0	118
Bonville	1	2434
Booerie Creek	0	16
Booerie Creek	1	151
Book Book	0	3
Book Book	1	93
Booker Bay	0	72
Booker Bay	1	1252
Bookham	0	20
Bookham	1	137
Bookookoorara	0	3
Bookookoorara	1	22
Boolambayte	0	9
Boolambayte	1	77
Boolaroo	0	77
Boolaroo	1	958
Boolcarroll	0	5
Boolcarroll	1	8
Booligal	0	7
Booligal	1	94
Boomanoomana	1	99
Boomerang Beach	0	38
Boomerang Beach	1	252
Boomey	1	76
Boomi	0	30
Boomi	1	170
Boomi Creek	1	20
Boona Mount	1	18
Boonal	1	43
Boonoo Boonoo	1	15
Boorabee Park	0	8
Boorabee Park	1	94
Booragul	0	58
Booragul	1	1223
Booral (NSW)	0	31
Booral (NSW)	1	374
Boorga	1	14
Boorganna	0	11
Boorganna	1	16
Boorolong	0	6
Boorolong	1	77
Boorook	1	33
Boorooma	0	47
Boorooma	1	812
Booroorban	1	37
Boorowa	0	88
Boorowa	1	1553
Bootawa	0	24
Bootawa	1	147
Booyong	1	76
Bora Ridge	0	3
Bora Ridge	1	109
Borah Creek	1	30
Borambola	0	5
Borambola	1	102
Boree	1	91
Boree Creek	0	16
Boree Creek	1	190
Borenore	0	52
Borenore	1	413
Boro	0	19
Boro	1	70
Bossley Park	0	355
Bossley Park	1	14224
Bostobrick	0	3
Bostobrick	1	131
Botany	0	325
Botany	1	10492
Botobolar	0	5
Botobolar	1	79
Bottle Creek	1	22
Bouddi	1	4
Bourbah	0	7
Bourbah	1	34
Bourke	0	170
Bourke	1	1743
Bourkelands	0	167
Bourkelands	1	2687
Bournda	0	14
Bournda	1	141
Bournewood	0	4
Bournewood	1	46
Bow Bowing	0	35
Bow Bowing	1	1569
Bowan Park	0	10
Bowan Park	1	108
Bowen Mountain	0	57
Bowen Mountain	1	1517
Bowenfels	0	100
Bowenfels	1	1952
Bowling Alley Point	1	31
Bowman	0	10
Bowman	1	132
Bowman Farm	0	3
Bowman Farm	1	41
Bowmans Creek	1	8
Bowna	0	7
Bowna	1	100
Bowning	0	38
Bowning	1	530
Bowral	0	567
Bowral	1	9770
Bowraville	0	59
Bowraville	1	1060
Box Hill (NSW)	0	36
Box Hill (NSW)	1	864
Box Ridge	0	3
Box Ridge	1	45
Boxers Creek	0	6
Boxers Creek	1	219
Boydtown	0	11
Boydtown	1	66
Bradbury (NSW)	0	324
Bradbury (NSW)	1	8473
Braefield	0	3
Braefield	1	65
Braemar	0	21
Braemar	1	424
Braemar Bay	0	3
Braemar Bay	1	15
Braidwood	0	139
Braidwood	1	1512
Brandy Hill	0	30
Brandy Hill	1	641
Branxton	0	96
Branxton	1	1893
Braunstone	0	26
Braunstone	1	263
Brawboy	1	19
Bray Park (NSW)	0	35
Bray Park (NSW)	1	761
Brays Creek	0	14
Brays Creek	1	60
Brayton	0	12
Brayton	1	158
Breadalbane (NSW)	0	9
Breadalbane (NSW)	1	84
Breakfast Creek	1	48
Breakfast Point	0	188
Breakfast Point	1	4004
Bream Beach	0	3
Bream Beach	1	9
Bredbo	0	23
Bredbo	1	325
Breelong	1	59
Breeza	0	3
Breeza	1	146
Bretti	1	28
Brewarrina	0	89
Brewarrina	1	1054
Brewongle	0	9
Brewongle	1	116
Briarbrook	0	3
Briarbrook	1	7
Bribbaree	0	10
Bribbaree	1	131
Bridgman	0	6
Bridgman	1	196
Brierfield	0	12
Brierfield	1	323
Brighton-le-Sands	0	275
Brighton-le-Sands	1	8054
Brightwaters	0	74
Brightwaters	1	833
Brimbin	1	55
Brindabella	0	8
Brindabella	1	22
Bringelly	0	98
Bringelly	1	2411
Bringenbrong	0	9
Bringenbrong	1	41
Brisbane Grove	0	19
Brisbane Grove	1	112
Broadmeadow	0	86
Broadmeadow	1	1508
Broadwater (Bega Valley - NSW)	0	3
Broadwater (Bega Valley - NSW)	1	113
Broadwater (Richmond Valley - NSW)	0	43
Broadwater (Richmond Valley - NSW)	1	601
Broadway	1	39
Brobenah	1	18
Brocklehurst	0	21
Brocklehurst	1	339
Brocklesby	0	4
Brocklesby	1	176
Brockley	0	5
Brockley	1	38
Brodies Plains	1	58
Brogans Creek	1	10
Brogers Creek	1	42
Brogo	0	47
Brogo	1	455
Broke (NSW)	0	37
Broke (NSW)	1	540
Broken Head	0	40
Broken Head	1	236
Broken Hill	0	1384
Broken Hill	1	16430
Brombin	0	7
Brombin	1	104
Bronte	0	374
Bronte	1	6361
Brookdale (NSW)	1	26
Brookfield (NSW)	0	11
Brookfield (NSW)	1	199
Brooklana	0	5
Brooklana	1	39
Brooklet	0	22
Brooklet	1	233
Brooklyn (NSW)	0	40
Brooklyn (NSW)	1	687
Brookong	0	5
Brookvale	0	128
Brookvale	1	3032
Brooman	0	5
Brooman	1	24
Brooms Head	0	20
Brooms Head	1	193
Broughams Gate	0	3
Broughams Gate	1	11
Broughton (NSW)	0	12
Broughton (NSW)	1	78
Broughton Vale	0	8
Broughton Vale	1	158
Broughton Village	0	3
Broughton Village	1	82
Broulee	0	141
Broulee	1	1576
Brownlow Hill	0	8
Brownlow Hill	1	418
Browns Creek	0	14
Browns Creek	1	91
Browns Mountain	1	21
Brownsville	0	40
Brownsville	1	497
Brucedale	0	9
Brucedale	1	173
Bruie Plains	0	3
Bruie Plains	1	46
Bruinbun	0	7
Bruinbun	1	37
Brumby Plains	1	3
Brundee	0	5
Brundee	1	43
Brungle	0	6
Brungle	1	98
Brungle Creek	1	32
Brunkerville	0	11
Brunkerville	1	188
Brunswick Heads	0	109
Brunswick Heads	1	1632
Brushgrove	0	17
Brushgrove	1	178
Brushy Creek	0	3
Brushy Creek	1	21
Bucca (NSW)	0	37
Bucca (NSW)	1	518
Bucca Wauka	0	7
Bucca Wauka	1	76
Buccarumbi	1	19
Buchanan (NSW)	0	9
Buchanan (NSW)	1	185
Buckajo	0	31
Buckajo	1	262
Buckaroo	0	7
Buckaroo	1	128
Buckenbowra	0	5
Buckenbowra	1	10
Buckenderra	0	4
Buckenderra	1	14
Buckendoon	1	35
Bucketty	0	9
Bucketty	1	176
Buckra Bendinni	1	99
Budawang	0	3
Budawang	1	14
Buddabadah	0	16
Buddabadah	1	36
Budden	1	20
Budgee Budgee (NSW)	0	19
Budgee Budgee (NSW)	1	180
Budgewoi	0	202
Budgewoi	1	3158
Budgong	0	8
Budgong	1	59
Buff Point	0	206
Buff Point	1	3300
Bugaldie	0	14
Bugaldie	1	127
Bukkulla	0	7
Bukkulla	1	128
Bulahdelah	0	91
Bulahdelah	1	1333
Bulga (NSW)	0	18
Bulga (NSW)	1	343
Bulga Forest	1	7
Bulgary	0	3
Bulgary	1	8
Bulla (NSW)	1	4
Bulla Creek	0	6
Bulla Creek	1	49
Bullaburra	0	52
Bullaburra	1	1174
Bullagreen	1	48
Bullarah	0	17
Bullarah	1	92
Bullatale	0	4
Bullatale	1	38
Bullawa Creek	0	4
Bullawa Creek	1	104
Bulldog	1	23
Bulli	0	334
Bulli	1	5774
Bulliac	0	12
Bulliac	1	35
Bullio	0	12
Bullio	1	78
Bulyeroi	1	15
Bumbaldry	0	11
Bumbaldry	1	89
Bumbalong	0	3
Bumbalong	1	21
Bundabah	0	3
Bundabah	1	104
Bundagen	0	8
Bundagen	1	128
Bundanoon (NSW)	0	166
Bundanoon (NSW)	1	2561
Bundarra	0	38
Bundarra	1	638
Bundeena	0	113
Bundeena	1	1803
Bundella	0	8
Bundella	1	64
Bundemar	1	37
Bundewallah	1	42
Bundook	0	7
Bundook	1	93
Bundure	1	3
Bungaba	0	5
Bungaba	1	88
Bungalora	0	3
Bungalora	1	66
Bungarby	0	9
Bungarby	1	62
Bungarribee	0	30
Bungarribee	1	2607
Bungawalbin	0	14
Bungawalbin	1	107
Bungendore	0	235
Bungendore	1	3944
Bungonia	0	23
Bungonia	1	342
Bungowannah	0	12
Bungowannah	1	152
Bungwahl	0	12
Bungwahl	1	217
Bunnaloo	0	3
Bunnaloo	1	98
Bunnan	0	7
Bunnan	1	93
Bunyah	0	4
Bunyah	1	137
Bunyan	0	8
Bunyan	1	147
Burcher	0	19
Burcher	1	64
Bureen	1	61
Burnt Bridge	0	14
Burnt Bridge	1	142
Burnt Yards	1	31
Buronga	0	102
Buronga	1	1112
Burra (Queanbeyan-Palerang Regional - NSW)	0	60
Burra (Queanbeyan-Palerang Regional - NSW)	1	738
Burra (Snowy Valleys - NSW)	0	16
Burra (Snowy Valleys - NSW)	1	53
Burra Creek	0	3
Burra Creek	1	78
Burraboi	0	3
Burraboi	1	64
Burradoo	0	167
Burradoo	1	2473
Burraga	0	11
Burraga	1	77
Burragate	0	10
Burragate	1	99
Burrandana	1	21
Burraneer	0	165
Burraneer	1	3423
