SSC_NAME16	OnlyEnglishSpokenHome	persons
Arrawarra	0	10
Arrawarra	1	456
Arrawarra Headland	0	25
Arrawarra Headland	1	498
Artarmon	0	4194
Artarmon	1	4834
Arthurville	0	4
Arthurville	1	35
Arumpo	1	34
Ashbury	0	1234
Ashbury	1	1974
Ashby (NSW)	0	5
Ashby (NSW)	1	303
Ashby Heights	1	206
Ashby Island	1	8
Ashcroft	0	1773
Ashcroft	1	1409
Ashfield (NSW)	0	12922
Ashfield (NSW)	1	9422
Ashford (NSW)	0	16
Ashford (NSW)	1	577
Ashley	0	3
Ashley	1	343
Ashmont	0	132
Ashmont	1	3391
Ashtonfield	0	354
Ashtonfield	1	4095
Asquith	0	933
Asquith	1	2336
Atholwood	0	9
Atholwood	1	76
Attunga	0	3
Attunga	1	525
Auburn (NSW)	0	30428
Auburn (NSW)	1	4824
Auburn Vale	1	116
Austinmer	0	136
Austinmer	1	2292
Austral	0	1123
Austral	1	1570
Austral Eden	0	4
Austral Eden	1	132
Avalon Beach	0	587
Avalon Beach	1	8900
Avisford	1	22
Avoca (NSW)	0	3
Avoca (NSW)	1	190
Avoca Beach	0	210
Avoca Beach	1	4162
Avondale (NSW)	0	108
Avondale (NSW)	1	1446
Avonside	0	10
Avonside	1	102
Awaba	0	13
Awaba	1	371
Aylmerton	0	10
Aylmerton	1	181
Baan Baa	1	142
Babyl Creek	1	9
Back Creek (Bland - NSW)	1	42
Back Creek (Gwydir - NSW)	1	9
Back Creek (Mid-Coast - NSW)	1	20
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	6
Back Creek (Tenterfield - NSW)	1	12
Back Creek (Tweed - NSW)	1	9
Back Forest	0	3
Back Forest	1	74
Backmede	1	134
Backwater	1	14
Badgerys Creek	0	79
Badgerys Creek	1	131
Badja	1	4
Baerami	1	51
Baerami Creek	1	26
Bagnoo	1	42
Bago	1	33
Bagotville	1	41
Bakers Creek (Mid-Coast - NSW)	0	3
Bakers Creek (Mid-Coast - NSW)	1	31
Bakers Creek (Nambucca - NSW)	1	8
Bakers Creek (Uralla - NSW)	0	3
Bakers Creek (Uralla - NSW)	1	10
Bakers Swamp	1	38
Balaclava (NSW)	0	47
Balaclava (NSW)	1	390
Balala	0	3
Balala	1	107
Balcolyn	0	35
Balcolyn	1	885
Bald Blair	1	48
Bald Hills (NSW)	0	10
Bald Hills (NSW)	1	246
Bald Nob	1	9
Bald Ridge	1	4
Baldersleigh	0	5
Baldersleigh	1	40
Baldry	1	92
Balfours Peak	1	31
Balgowlah	0	1045
Balgowlah	1	6476
Balgowlah Heights	0	333
Balgowlah Heights	1	2897
Balgownie	0	907
Balgownie	1	4418
Balickera	1	27
Balladoran	1	97
Ballalaba	1	16
Balldale	0	4
Balldale	1	134
Ballengarra	0	3
Ballengarra	1	83
Ballimore	0	3
Ballimore	1	160
Ballina	0	320
Ballina	1	7352
Ballyroe	1	3
Balmain	0	1248
Balmain	1	8294
Balmain East	0	217
Balmain East	1	1545
Balmoral (Lake Macquarie - NSW)	0	23
Balmoral (Lake Macquarie - NSW)	1	690
Balmoral (Wingecarribee - NSW)	0	25
Balmoral (Wingecarribee - NSW)	1	387
Balranald	0	56
Balranald	1	1177
Bamarang	1	22
Bandon Grove	1	105
Bangadang	1	11
Bangalee (NSW)	0	21
Bangalee (NSW)	1	613
Bangalow	0	102
Bangalow	1	1756
Bangheet	1	31
Bango	1	91
Bangor (NSW)	0	583
Bangor (NSW)	1	4856
Banksia	0	1761
Banksia	1	1425
Banksmeadow	0	3
Banksmeadow	1	16
Bankstown	0	23886
Bankstown	1	5675
Bannaby	1	36
Bannister (NSW)	1	111
Banoon	1	20
Banora Point	0	684
Banora Point	1	14749
Banyabba	1	42
Bar Beach	0	67
Bar Beach	1	1078
Bar Point	0	4
Bar Point	1	57
Bara	0	6
Bara	1	22
Baradine	0	4
Baradine	1	706
Barangaroo	0	53
Barangaroo	1	56
Barden Ridge	0	553
Barden Ridge	1	3660
Bardia	0	841
Bardia	1	657
Bardwell Park	0	1085
Bardwell Park	1	1087
Bardwell Valley	0	1064
Bardwell Valley	1	1163
Barellan	0	8
Barellan	1	470
Bargo	0	248
Bargo	1	3913
Barham	0	30
Barham	1	1355
Barigan	1	4
Barkers Vale	0	15
Barkers Vale	1	134
Barmedman	0	3
Barmedman	1	410
Barnsley	0	39
Barnsley	1	1659
Barooga	0	90
Barooga	1	1571
Barraba	0	27
Barraba	1	1235
Barrack Heights	0	821
Barrack Heights	1	4773
Barrack Point	0	40
Barrack Point	1	589
Barraganyatti	0	6
Barraganyatti	1	120
Barragga Bay	1	89
Barrengarry	0	3
Barrengarry	1	158
Barretts Creek	1	13
Barringella	1	31
Barrington (NSW)	0	3
Barrington (NSW)	1	329
Barry (Blayney - NSW)	0	5
Barry (Blayney - NSW)	1	146
Barry (Upper Hunter Shire - NSW)	1	3
Barwang	1	71
Barwon	1	33
Baryulgil	0	6
Baryulgil	1	71
Basin View	0	44
Basin View	1	1380
Bass Hill	0	5291
Bass Hill	1	3407
Bassendean (NSW)	1	3
Batar Creek	1	62
Bateau Bay	0	379
Bateau Bay	1	11047
Batehaven	0	103
Batehaven	1	1574
Batemans Bay	0	76
Batemans Bay	1	1291
Bathampton	0	7
Bathampton	1	34
Bathurst	0	549
Bathurst	1	5752
Batlow	0	131
Batlow	1	1060
Baulkham Hills	0	13256
Baulkham Hills	1	22889
Baw Baw (NSW)	0	9
Baw Baw (NSW)	1	230
Bawley Point	0	19
Bawley Point	1	639
Bayview (NSW)	0	267
Bayview (NSW)	1	3133
Beacon Hill	0	1479
Beacon Hill	1	5712
Beaconsfield (NSW)	0	270
Beaconsfield (NSW)	1	655
Bean Creek	0	3
Bean Creek	1	63
Bearbong	1	54
Beaumont (NSW)	0	5
Beaumont (NSW)	1	94
Beaumont Hills	0	2921
Beaumont Hills	1	5857
Beckom	1	116
Bective	1	176
Bectric	1	47
Bedgerabong	0	6
Bedgerabong	1	129
Beechwood	0	7
Beechwood	1	573
Beecroft	0	2741
Beecroft	1	6280
Beelbangera	0	23
Beelbangera	1	356
Beemunnel	1	17
Bega	0	151
Bega	1	4177
Beggan Beggan	1	91
Belanglo	0	3
Belanglo	1	19
Belbora	1	103
Belfield	0	3392
Belfield	1	2672
Belford	0	3
Belford	1	151
Belfrayden	1	24
Belgravia	0	6
Belgravia	1	111
Belimbla Park	0	40
Belimbla Park	1	520
Bell (NSW)	1	50
Bella Vista	0	3761
Bella Vista	1	3848
Bellambi	0	397
Bellambi	1	3319
Bellangry	0	3
Bellangry	1	85
Bellata	1	318
Bellawongarah	0	5
Bellawongarah	1	105
Bellbird	0	35
Bellbird	1	1863
Bellbird Heights	0	22
Bellbird Heights	1	736
Bellbrook	0	5
Bellbrook	1	256
Bellevue Hill	0	1872
Bellevue Hill	1	8024
Bellimbopinni	0	3
Bellimbopinni	1	98
Bellingen	0	174
Bellingen	1	3378
Bellmount Forest	0	7
Bellmount Forest	1	110
Belltrees	1	23
Belmont (NSW)	0	265
Belmont (NSW)	1	6451
Belmont North	0	229
Belmont North	1	5843
Belmont South	0	29
Belmont South	1	977
Belmore	0	8456
Belmore	1	3512
Belmore River	1	256
Beloka	0	4
Beloka	1	18
Belowra	1	9
Belrose	0	1390
Belrose	1	6974
Bemboka	0	17
Bemboka	1	519
Ben Bullen	1	77
Ben Lomond (NSW)	1	132
Benandarah	0	9
Benandarah	1	121
Bendalong	1	84
Bendemeer	0	10
Bendemeer	1	426
Bendick Murrell	1	135
Bendolba	1	193
Bendoura	1	59
Benerembah	0	3
Benerembah	1	101
Bengalla	1	18
Bennetts Green	1	13
Benolong	1	49
Bensville	0	92
Bensville	1	2385
Bentley (NSW)	0	3
Bentley (NSW)	1	170
Berala	0	6840
Berala	1	1878
Berambing	0	3
Berambing	1	90
Beresfield	0	183
Beresfield	1	2839
Bergalia	0	4
Bergalia	1	156
Berkeley	0	1555
Berkeley	1	5639
Berkeley Vale	0	302
Berkeley Vale	1	7744
Berkshire Park	0	184
Berkshire Park	1	877
Bermagui	0	63
Bermagui	1	1374
Berowra	0	583
Berowra	1	4030
Berowra Creek	0	3
Berowra Creek	1	8
Berowra Heights	0	431
Berowra Heights	1	4719
Berowra Waters	0	9
Berowra Waters	1	45
Berrambool	0	16
Berrambool	1	410
Berrara	0	3
Berrara	1	284
Berremangra	0	4
Berremangra	1	69
Berrico	1	22
Berridale	0	32
Berridale	1	1088
Berrigal	1	24
Berrigan	0	24
Berrigan	1	1069
Berrilee	0	31
Berrilee	1	190
Berrima	0	38
Berrima	1	564
Berringer Lake	1	24
Berry	0	60
Berry	1	2463
Berry Jerry	1	62
Berry Mountain	0	3
Berry Mountain	1	17
Berry Park	0	6
Berry Park	1	109
Berthong	1	39
Beryl	1	114
Bethungra	0	3
Bethungra	1	149
Bevendale	0	3
Bevendale	1	37
Beverley Park	0	1064
Beverley Park	1	1209
Beverly Hills	0	5941
Beverly Hills	1	3778
Bewong	1	64
Bexhill	0	17
Bexhill	1	453
Bexley	0	10939
Bexley	1	7279
Bexley North	0	2183
Bexley North	1	1716
Biala	0	3
Biala	1	54
Bibbenluke	1	84
Biddon	1	95
Bidgeemia	1	31
Bidwill (NSW)	0	891
Bidwill (NSW)	1	2841
Bielsdown Hills	0	4
Bielsdown Hills	1	88
Big Hill (NSW)	0	3
Big Hill (NSW)	1	46
Big Jacks Creek	1	49
Big Ridge	1	14
Big Springs	1	113
Bigga	0	3
Bigga	1	203
Bilambil	0	16
Bilambil	1	375
Bilambil Heights	0	130
Bilambil Heights	1	3016
Bilbul	0	56
Bilbul	1	447
Bilgola Beach	0	10
Bilgola Beach	1	228
Bilgola Plateau	0	243
Bilgola Plateau	1	3188
Billeroy	1	41
Billilingra	1	7
Billimari	0	3
Billimari	1	125
Billinudgel	0	14
Billinudgel	1	180
Billys Creek	0	3
Billys Creek	1	53
Billywillinga	0	6
Billywillinga	1	180
Bilpin	0	29
Bilpin	1	572
Bimbi	1	91
Bimbimbie	1	106
Binalong	0	7
Binalong	1	502
Binda	0	3
Binda	1	226
Bindera	1	19
Bingara	0	22
Bingara	1	1260
Bingeebeebra Creek	1	23
Bingie	0	4
Bingie	1	180
Bingleburra	1	25
Biniguy	1	118
Binjura	0	11
Binjura	1	288
Binna Burra (NSW)	0	4
Binna Burra (NSW)	1	182
Binnaway	0	23
Binnaway	1	533
Binya	0	3
Binya	1	129
Birchgrove	0	300
Birchgrove	1	2743
Birdwood (NSW)	1	30
Birganbigil	1	52
Birmingham Gardens	0	666
Birmingham Gardens	1	1601
Birriwa	1	40
Birrong	0	1964
Birrong	1	1006
Bishops Bridge	0	3
Bishops Bridge	1	203
Bithramere	1	159
Black Creek (Port Macquarie-Hastings - NSW)	1	50
Black Creek (Snowy Valleys - NSW)	1	15
Black Head	0	25
Black Head	1	798
Black Hill (NSW)	0	10
Black Hill (NSW)	1	510
Black Hollow	1	20
Black Mountain (NSW)	0	12
Black Mountain (NSW)	1	269
Black Range (NSW)	0	3
Black Range (NSW)	1	172
Black Springs (NSW)	0	10
Black Springs (NSW)	1	188
Blackalls Park	0	53
Blackalls Park	1	2609
Blackbutt (NSW)	0	813
Blackbutt (NSW)	1	2362
Blackett	0	803
Blackett	1	2329
Blackheath	0	275
Blackheath	1	3847
Blackmans Flat	1	21
Blackmans Point	0	3
Blackmans Point	1	150
Blacksmiths	0	39
Blacksmiths	1	1735
Blacktown	0	23797
Blacktown	1	20866
Blackville	1	95
Blackwall (NSW)	0	108
Blackwall (NSW)	1	1666
Blair Athol (NSW)	0	1392
Blair Athol (NSW)	1	1428
Blairmount	0	137
Blairmount	1	271
Blakebrook	0	5
Blakebrook	1	138
Blakehurst	0	2801
Blakehurst	1	3214
Blakney Creek	1	60
Bland	1	36
Blandford	1	173
Blaxland (NSW)	0	349
Blaxland (NSW)	1	6849
Blaxlands Creek	1	111
Blaxlands Ridge	0	13
Blaxlands Ridge	1	444
Blayney	0	57
Blayney	1	3085
Bligh Park	0	250
Bligh Park	1	5936
Blighty	1	136
Blue Bay	0	38
Blue Bay	1	901
Blue Haven	0	303
Blue Haven	1	5836
Blue Knob	0	25
Blue Knob	1	154
Blue Nobby	1	26
Blue Vale	1	54
Blueys Beach	0	8
Blueys Beach	1	172
Boambee	0	97
Boambee	1	1474
Boambee East	0	170
Boambee East	1	4827
Boambolo	1	52
Boat Harbour (Lismore - NSW)	0	5
Boat Harbour (Lismore - NSW)	1	124
Boat Harbour (Port Stephens - NSW)	0	22
Boat Harbour (Port Stephens - NSW)	1	898
Bobadah	1	11
Bobin	0	10
Bobin	1	130
Bobs Creek	1	72
Bobs Farm	0	11
Bobs Farm	1	404
Bobundara	1	13
Boco	1	3
Bocoble	1	126
Bocobra	1	42
Bodalla	0	8
Bodalla	1	705
Bodangora	1	65
Boeill Creek	1	83
Bogan	1	12
Bogan Gate	0	4
Bogan Gate	1	234
Bogangar	0	146
Bogangar	1	2697
Bogee	0	5
Bogee	1	76
Boggabilla	0	17
Boggabilla	1	878
Boggabri	0	20
Boggabri	1	982
Bohena Creek	1	149
Bohnock	1	67
Bolaro	0	3
Bolaro	1	34
Bolivia	1	69
Bolong	1	101
Bolton Point	0	85
Bolton Point	1	1820
Bolwarra (NSW)	0	26
Bolwarra (NSW)	1	919
Bolwarra Heights	0	81
Bolwarra Heights	1	2788
Bom Bom	1	3
Bomaderry	0	306
Bomaderry	1	5894
Bombah Point	1	8
Bombala	0	47
Bombala	1	1243
Bombay	1	104
Bombira	0	6
Bombira	1	327
Bombo	1	92
Bombowlee	0	14
Bombowlee	1	254
Bombowlee Creek	1	44
Bomen	1	26
Bomera	0	5
Bomera	1	33
Bonalbo	0	23
Bonalbo	1	306
Bondi	0	2474
Bondi	1	6442
Bondi Beach	0	2444
Bondi Beach	1	7558
Bondi Junction	0	2644
Bondi Junction	1	5543
Bonnells Bay	0	166
Bonnells Bay	1	3274
Bonnet Bay	0	190
Bonnet Bay	1	2013
Bonny Hills	0	51
Bonny Hills	1	2788
Bonnyrigg	0	6435
Bonnyrigg	1	1897
Bonnyrigg Heights	0	5164
Bonnyrigg Heights	1	1951
Bonshaw (NSW)	0	6
Bonshaw (NSW)	1	110
Bonville	0	140
Bonville	1	2288
Booerie Creek	0	11
Booerie Creek	1	125
Book Book	0	3
Book Book	1	79
Booker Bay	0	64
Booker Bay	1	1165
Bookham	1	142
Bookookoorara	0	3
Bookookoorara	1	26
Boolambayte	1	83
Boolaroo	0	41
Boolaroo	1	964
Boolcarroll	1	14
Booligal	1	89
Boomanoomana	1	74
Boomerang Beach	0	5
Boomerang Beach	1	259
Boomey	1	67
Boomi	0	3
Boomi	1	176
Boomi Creek	1	16
Boona Mount	1	18
Boonal	1	36
Boonoo Boonoo	1	16
Boorabee Park	0	4
Boorabee Park	1	88
Booragul	0	47
Booragul	1	1176
Booral (NSW)	0	11
Booral (NSW)	1	371
Boorga	1	14
Boorganna	1	22
Boorolong	1	83
Boorook	1	29
Boorooma	0	171
Boorooma	1	659
Booroorban	1	33
Boorowa	0	30
Boorowa	1	1485
Bootawa	0	4
Bootawa	1	139
Booyong	0	4
Booyong	1	76
Bora Ridge	0	5
Bora Ridge	1	95
Borah Creek	1	30
Borambola	1	105
Boree	1	86
Boree Creek	1	187
Borenore	0	5
Borenore	1	409
Boro	1	76
Bossley Park	0	9365
Bossley Park	1	4760
Bostobrick	0	5
Bostobrick	1	130
Botany	0	2753
Botany	1	7395
Botobolar	1	82
Bottle Creek	1	22
Bourbah	1	32
Bourke	0	58
Bourke	1	1520
Bourkelands	0	198
Bourkelands	1	2552
Bournda	0	6
Bournda	1	117
Bournewood	1	50
Bow Bowing	0	586
Bow Bowing	1	989
Bowan Park	0	3
Bowan Park	1	113
Bowen Mountain	0	70
Bowen Mountain	1	1427
Bowenfels	0	82
Bowenfels	1	1724
Bowling Alley Point	1	27
Bowman	0	3
Bowman	1	118
Bowman Farm	0	4
Bowman Farm	1	43
Bowmans Creek	1	8
Bowna	1	106
Bowning	0	9
Bowning	1	516
Bowral	0	691
Bowral	1	9051
Bowraville	0	29
Bowraville	1	1011
Box Hill (NSW)	0	183
Box Hill (NSW)	1	672
Box Ridge	1	44
Boxers Creek	0	21
Boxers Creek	1	194
Boydtown	0	3
Boydtown	1	60
Bradbury (NSW)	0	1475
Bradbury (NSW)	1	6873
Braefield	1	57
Braemar	0	44
Braemar	1	385
Braemar Bay	0	4
Braemar Bay	1	12
Braidwood	0	61
Braidwood	1	1430
Brandy Hill	0	18
Brandy Hill	1	630
Branxton	0	37
Branxton	1	1855
Braunstone	0	3
Braunstone	1	265
Brawboy	1	18
Bray Park (NSW)	0	29
Bray Park (NSW)	1	719
Brays Creek	1	55
Brayton	0	6
Brayton	1	144
Breadalbane (NSW)	0	3
Breadalbane (NSW)	1	82
Breakfast Creek	1	40
Breakfast Point	0	1537
Breakfast Point	1	2406
Bream Beach	1	9
Bredbo	0	5
Bredbo	1	311
Breelong	1	52
Breeza	0	5
Breeza	1	133
Bretti	0	3
Bretti	1	18
Brewarrina	0	33
Brewarrina	1	978
Brewongle	0	4
Brewongle	1	109
Briarbrook	1	10
Bribbaree	1	126
Bridgman	1	196
Brierfield	0	9
Brierfield	1	299
Brighton-le-Sands	0	4084
Brighton-le-Sands	1	3535
Brightwaters	0	38
Brightwaters	1	832
Brimbin	0	3
Brimbin	1	49
Brindabella	1	18
Bringelly	0	651
Bringelly	1	1714
Bringenbrong	1	45
Brisbane Grove	0	3
Brisbane Grove	1	117
Broadmeadow	0	201
Broadmeadow	1	1336
Broadwater (Bega Valley - NSW)	0	8
Broadwater (Bega Valley - NSW)	1	106
Broadwater (Richmond Valley - NSW)	0	9
Broadwater (Richmond Valley - NSW)	1	580
Broadway	1	35
Brobenah	1	15
Brocklehurst	0	4
Brocklehurst	1	320
Brocklesby	1	171
Brockley	1	43
Brodies Plains	1	47
Brogans Creek	1	10
Brogers Creek	1	30
Brogo	0	18
Brogo	1	446
Broke (NSW)	0	15
Broke (NSW)	1	481
Broken Head	0	15
Broken Head	1	238
Broken Hill	0	447
Broken Hill	1	15804
Brombin	1	105
Bronte	0	964
Bronte	1	5275
Brookdale (NSW)	1	24
Brookfield (NSW)	0	3
Brookfield (NSW)	1	173
Brooklana	1	40
Brooklet	0	5
Brooklet	1	223
Brooklyn (NSW)	0	67
Brooklyn (NSW)	1	617
Brookong	1	8
Brookvale	0	997
Brookvale	1	2042
Brooman	1	21
Brooms Head	0	7
Brooms Head	1	197
Broughams Gate	1	15
Broughton (NSW)	1	89
Broughton Vale	0	3
Broughton Vale	1	149
Broughton Village	0	3
Broughton Village	1	82
Broulee	0	53
Broulee	1	1539
Brownlow Hill	0	107
Brownlow Hill	1	299
Browns Creek	1	91
Browns Mountain	1	21
Brownsville	0	26
Brownsville	1	472
Brucedale	0	6
Brucedale	1	159
Bruie Plains	1	49
Bruinbun	1	25
Brumby Plains	1	3
Brundee	1	42
Brungle	0	4
Brungle	1	98
Brungle Creek	1	26
Brunkerville	0	6
Brunkerville	1	185
Brunswick Heads	0	83
Brunswick Heads	1	1492
Brushgrove	0	3
Brushgrove	1	182
Brushy Creek	1	18
Bucca (NSW)	0	37
Bucca (NSW)	1	476
Bucca Wauka	1	72
Buccarumbi	1	14
Buchanan (NSW)	0	4
Buchanan (NSW)	1	169
Buckajo	0	4
Buckajo	1	278
Buckaroo	0	3
Buckaroo	1	118
Buckenbowra	1	15
Buckenderra	1	20
Buckendoon	1	32
Bucketty	0	14
Bucketty	1	146
Buckra Bendinni	0	4
Buckra Bendinni	1	79
Budawang	1	9
Buddabadah	1	49
Budden	1	18
Budgee Budgee (NSW)	0	9
Budgee Budgee (NSW)	1	173
Budgewoi	0	89
Budgewoi	1	3072
Budgong	0	3
Budgong	1	56
Buff Point	0	124
Buff Point	1	3165
Bugaldie	0	3
Bugaldie	1	134
Bukkulla	1	132
Bulahdelah	0	29
Bulahdelah	1	1298
Bulga (NSW)	0	16
Bulga (NSW)	1	299
Bulga Forest	1	6
Bulgary	1	10
Bulla (NSW)	1	4
Bulla Creek	1	57
Bullaburra	0	80
Bullaburra	1	1083
Bullagreen	1	48
Bullarah	1	88
Bullatale	1	43
Bullawa Creek	1	92
Bulldog	1	24
Bulli	0	334
Bulli	1	5503
Bulliac	1	45
Bullio	1	63
Bulyeroi	1	15
Bumbaldry	0	3
Bumbaldry	1	83
Bumbalong	1	14
Bundabah	0	10
Bundabah	1	94
Bundagen	0	27
Bundagen	1	94
Bundanoon (NSW)	0	84
Bundanoon (NSW)	1	2527
Bundarra	0	8
Bundarra	1	610
Bundeena	0	138
Bundeena	1	1708
Bundella	1	60
Bundemar	1	34
Bundewallah	1	40
Bundook	1	87
Bundure	1	5
Bungaba	1	69
Bungalora	0	3
Bungalora	1	59
Bungarby	0	12
Bungarby	1	58
Bungarribee	0	1884
Bungarribee	1	659
Bungawalbin	0	4
Bungawalbin	1	99
Bungendore	0	166
Bungendore	1	3713
Bungonia	0	38
Bungonia	1	314
Bungowannah	0	9
Bungowannah	1	154
Bungwahl	0	9
Bungwahl	1	211
Bunnaloo	1	99
Bunnan	1	93
Bunyah	0	4
Bunyah	1	128
Bunyan	0	3
Bunyan	1	144
Burcher	1	66
Bureen	0	5
Bureen	1	51
Burnt Bridge	0	12
Burnt Bridge	1	138
Burnt Yards	1	32
Buronga	0	66
Buronga	1	1042
Burra (Queanbeyan-Palerang Regional - NSW)	0	27
Burra (Queanbeyan-Palerang Regional - NSW)	1	684
Burra (Snowy Valleys - NSW)	1	59
Burra Creek	0	3
Burra Creek	1	74
Burraboi	1	56
Burradoo	0	102
Burradoo	1	2405
Burraga	1	80
Burragate	0	3
Burragate	1	94
Burrandana	1	21
Burraneer	0	291
Burraneer	1	3180
Burrangong	0	25
Burrangong	1	202
Burrapine	1	45
Burrawang	0	15
Burrawang	1	326
Burrell Creek	1	198
Burren Junction	0	5
Burren Junction	1	245
Burrier	1	39
Burrill Lake	0	34
Burrill Lake	1	1336
Burringbar	0	32
Burringbar	1	739
Burrinjuck	1	15
Burroway	1	106
Burrumbuttock	0	10
Burrumbuttock	1	315
Burrundulla	1	124
Burwood (NSW)	0	11953
Burwood (NSW)	1	3222
Burwood Heights	0	532
Burwood Heights	1	385
Busby	0	2024
Busby	1	1840
Busbys Flat	1	30
Bushells Ridge	1	8
Buttaba	0	37
Buttaba	1	1023
Buttai	1	57
Butterwick	0	3
Butterwick	1	134
Buxton (NSW)	0	58
Buxton (NSW)	1	1878
Byabarra	0	11
Byabarra	1	280
Byangum	0	6
Byangum	1	126
Bylong	1	14
Byng	0	3
Byng	1	49
Byrock	0	4
Byrock	1	43
Byron Bay	0	453
Byron Bay	1	4010
Byrrill Creek	0	6
Byrrill Creek	1	100
Bywong	0	49
Bywong	1	1188
Cabarita (NSW)	0	608
Cabarita (NSW)	1	1284
Cabarita Beach	1	103
Cabbage Tree Island (Ballina - NSW)	1	70
Cabbage Tree Island (Mid-Coast - NSW)	1	5
Cabramatta	0	18065
Cabramatta	1	2694
Cabramatta West	0	5430
Cabramatta West	1	1457
Cabramurra	0	3
Cabramurra	1	20
Caddens	0	399
Caddens	1	976
Cadgee (NSW)	1	43
Caffreys Flat	0	3
Caffreys Flat	1	46
Cairncross	1	3
Calala	0	122
Calala	1	3606
Calamia	1	10
Calderwood	0	12
Calderwood	1	154
Caldwell	1	33
Calga	0	14
Calga	1	112
Califat	1	15
Calimo	0	3
Calimo	1	61
Callaghan	0	310
Callaghan	1	963
Callaghans Creek	1	4
Callala Bay	0	112
Callala Bay	1	1990
Callala Beach	0	61
Callala Beach	1	680
Calliope (NSW)	1	89
Caloola	1	70
Camberwell (NSW)	1	76
Cambewarra	0	8
Cambewarra	1	219
Cambewarra Village	0	36
Cambewarra Village	1	1115
Camboon (NSW)	1	32
Cambra	1	30
Cambridge Gardens	0	150
Cambridge Gardens	1	1805
Cambridge Park	0	661
Cambridge Park	1	5665
Camden	0	202
Camden	1	2816
Camden Head	0	3
Camden Head	1	143
Camden Park (NSW)	0	97
Camden Park (NSW)	1	2082
Camden South	0	188
Camden South	1	4248
Cameron Park	0	668
Cameron Park	1	7049
Camerons Creek	1	41
Camira (NSW)	1	26
Cammeray	0	1169
Cammeray	1	5474
Camp Creek (NSW)	1	18
Campbelltown (NSW)	0	3005
Campbelltown (NSW)	1	8672
Camperdown (NSW)	0	2730
Camperdown (NSW)	1	6683
Campsie	0	18801
Campsie	1	4382
Campvale	0	4
Campvale	1	35
Cams Wharf	0	4
Cams Wharf	1	133
Canada Bay	0	456
Canada Bay	1	730
Canadian Lead	1	7
