SSC_NAME16	OnlyEnglishSpokenHome	persons
Aarons Pass	1	22
Abbotsbury	0	1929
Abbotsbury	1	2206
Abbotsford (NSW)	0	1459
Abbotsford (NSW)	1	3549
Abercrombie	0	35
Abercrombie	1	1037
Abercrombie River	1	19
Aberdare	0	41
Aberdare	1	2283
Aberdeen (NSW)	0	35
Aberdeen (NSW)	1	1866
Aberfoyle	1	95
Aberglasslyn	0	272
Aberglasslyn	1	4937
Abermain	0	33
Abermain	1	2170
Abernethy	0	3
Abernethy	1	273
Abington (NSW)	1	12
Acacia Creek	0	3
Acacia Creek	1	35
Acacia Gardens	0	1648
Acacia Gardens	1	2055
Adaminaby	0	13
Adaminaby	1	280
Adamstown	0	462
Adamstown	1	5405
Adamstown Heights	0	469
Adamstown Heights	1	4714
Adelong	0	25
Adelong	1	867
Adjungbilly	1	81
Afterlee	1	42
Agnes Banks	0	68
Agnes Banks	1	791
Airds	0	465
Airds	1	2138
Akolele	0	3
Akolele	1	120
Albert	1	67
Albion Park	0	774
Albion Park	1	12054
Albion Park Rail	0	406
Albion Park Rail	1	6140
Albury	0	345
Albury	1	4050
Aldavilla	1	654
Alectown	0	3
Alectown	1	156
Alexandria	0	1638
Alexandria	1	5972
Alfords Point	0	879
Alfords Point	1	2162
Alfredtown	1	96
Alice	1	8
Alison (Central Coast - NSW)	0	3
Alison (Central Coast - NSW)	1	83
Alison (Dungog - NSW)	1	72
Allambie Heights	0	895
Allambie Heights	1	5870
Allandale (NSW)	1	64
Allawah	0	3939
Allawah	1	1547
Alleena	1	52
Allgomera	1	119
Allworth	0	3
Allworth	1	146
Allynbrook	1	59
Alma Park	1	52
Alpine	0	3
Alpine	1	117
Alstonvale	0	18
Alstonvale	1	400
Alstonville	0	183
Alstonville	1	5264
Alumy Creek	1	78
Amaroo (NSW)	1	37
Ambarvale	0	1627
Ambarvale	1	5228
Amosfield	1	28
Anabranch North	1	9
Anabranch South	1	34
Anambah	1	23
Ando	1	71
Anembo	0	5
Anembo	1	50
Angledale	1	143
Angledool	0	5
Angledool	1	38
Anglers Reach	0	10
Anglers Reach	1	54
Angourie	0	7
Angourie	1	188
Anna Bay	0	135
Anna Bay	1	3324
Annandale (NSW)	0	1440
Annandale (NSW)	1	7314
Annangrove	0	117
Annangrove	1	1227
Appin (NSW)	0	160
Appin (NSW)	1	2320
Apple Tree Flat	1	30
Appleby	1	38
Appletree Flat	1	15
Apsley (NSW)	1	106
Arable	1	11
Arakoon	0	8
Arakoon	1	385
Araluen (NSW)	0	7
Araluen (NSW)	1	137
Aratula (NSW)	1	9
Arcadia (NSW)	0	104
Arcadia (NSW)	1	1238
Arcadia Vale	0	30
Arcadia Vale	1	1289
Ardglen	1	52
Arding	1	206
Ardlethan	0	10
Ardlethan	1	427
Argalong	1	30
Argenton	0	97
Argenton	1	1188
Argents Hill	1	198
Argoon (NSW)	1	13
Ariah Park	0	3
Ariah Park	1	457
Arkell	1	35
Arkstone	1	24
Armatree	0	3
Armatree	1	138
Armidale	0	2200
Armidale	1	19446
Arncliffe	0	6074
Arncliffe	1	3882
Arndell Park	0	3
Arndell Park	1	10
