SSC_NAME16	labourForceParticipation
Pelican (NSW)	52
Pelton	58
Pembrooke	58.9
Pemulwuy	73.5
Pendle Hill	55.2
Pennant Hills	65
Penrith	56.7
Penrose	50
Penshurst (NSW)	63.5
Pericoe	30.8
Perthville	66.4
Petersham	69.7
Pheasants Nest	66.1
Phegans Bay	68.3
Phillip Bay	62
Phoenix Park	60.5
Piallamore	69.7
Piallaway	75
Piambong	64.3
Picketts Valley	64.8
Picnic Point	65.4
Picton (NSW)	67.2
Pigeonbah	88.9
Piggabeen	57
Pillar Valley	50
Pilliga	44
Pimlico (NSW)	57.8
Pindaroi	61.3
Pindimar	49.7
Pine Camp	77.8
Pine Clump	33.3
Pine Grove (NSW)	100
Pine Lodge (NSW)	71.4
Pine Ridge	69.3
Pine Valley	79.2
Piney Range	65.5
Pinkett	59.2
Pinnacle (NSW)	84.4
Pinnacle Swamp	60
Piora	53.2
Pipeclay	50
Pitnacree	84.2
Pitt Town	72.8
Pitt Town Bottoms	56.3
Pleasant Hills	53.5
Pleasure Point	77.1
Plumpton (NSW)	65.3
Point Clare	57.3
Point Frederick	54.6
Point Piper	55.9
Pointer Mountain	50
Pokolbin	61.3
Pola Creek	58.2
Polo Flat	70
Pomeroy	57.3
Pomona (NSW)	50.4
Ponto	69.2
Pooncarie	62.9
Port Hacking	67.7
Port Kembla	48.8
Port Macquarie	49.7
Porters Retreat	50
Portland (NSW)	45.9
Possum Brush	52
Possum Creek	54
Potato Point	44.4
Pottery Estate	40.7
Potts Hill	63.9
Potts Point	58.2
Pottsville	55.8
Prairiewood	49.7
Premer	60.7
Prestons	65
Pretty Beach (Central Coast - NSW)	52.4
Pretty Pine	53.6
Primbee	51.1
Primrose Valley	67.5
Prospect (NSW)	63.9
Pucawan	57.6
Puddledock	78.9
Pulganbar	50
Pullabooka	69.2
Pulletop	65.2
Pumpenbil	48.5
Punchbowl (Canterbury-Bankstown - NSW)	50.2
Punchbowl (Clarence Valley - NSW)	100
Purfleet	10.7
Purlewaugh	63.5
Putney	64.6
Putta Bucca	65
Putty	22.8
Pyangle	20
Pymble	64.9
Pyramul	50.8
Pyree	59.8
Pyrmont	70.6
Quaama	48.4
Quakers Hill	70.4
Quambone	50.4
Quanda	44.4
Quandary	83.3
Quandialla	49
Queanbeyan	63
Queanbeyan East	70.6
Queanbeyan West	69
Queens Park (NSW)	66.2
Queens Pinch	66.7
Queenscliff (NSW)	75.3
Quialigo	54.2
Quidong	42.9
Quipolly	69
Quirindi	52.7
Quorrobolong	64.9
Raby	69.1
Raglan (NSW)	66.1
Rainbow Flat	53.1
Rainbow Reach	59.7
Raleigh	52.5
Ramornie	41.7
Ramsgate	61.8
Ramsgate Beach	54.3
Rand	63.5
Randwick	67.7
Rangari	88.9
Rangers Valley	84.2
Rankin Park	60.8
Rankins Springs	70.1
Rannock	66.7
Rappville	33.3
Rathmines	54.3
Ravensdale	48.1
Ravenswood (NSW)	37
Ravensworth (NSW)	37.5
Rawdon Island	55.4
Rawdon Vale	47.4
Raworth	67.1
Rawsonville	88.9
Raymond Terrace	53.9
Razorback	70.5
Red Head	48.5
Red Hill (Tamworth Regional - NSW)	33.3
Red Hill (Warren - NSW)	100
Red Range	55.3
Red Rock	50.1
Red Rocks	100
Redbank (NSW)	55.7
Redbournberry	66.8
Reddestone	44.2
Redfern	64.4
Redhead	55.6
Redlands	77.4
Reedy Creek (NSW)	56.4
Reedy Swamp	56.9
Reefton (NSW)	58.1
Regents Park (NSW)	54.1
Regentville	68.2
Reids Flat	46.2
Reidsdale	57.7
Rennie	70.3
Renwick	63.5
Repentance Creek	52.3
Repton	55.2
Reserve Creek	66.7
Retreat (NSW)	51.1
Revesby	58.3
Revesby Heights	70.3
Rhine Falls	58.3
Rhodes	61.8
Richlands (NSW)	64.5
Richmond (NSW)	54.7
Richmond Hill (NSW)	63.4
Richmond Lowlands	67.6
Richmond Vale	59.7
Rileys Hill	58.4
Ringwood (NSW)	66.7
Riverlea	71.4
Riverside (NSW)	45.8
Riverstone	63.4
Rivertree	66.7
Riverview (NSW)	61.4
Riverwood	50.9
Rixs Creek	68.2
Rob Roy	68.5
Robertson (NSW)	57
Robin Hill	68.8
Rock Flat	65.2
Rock Forest	65.5
Rock Valley	59.2
Rockdale	65.8
Rockley	55.3
Rockley Mount	66.7
Rockton	39.1
Rocky Creek (Gwydir - NSW)	60.5
Rocky Creek (Inverell - NSW)	27.3
Rocky Glen	53.8
Rocky Hall	26.3
Rocky Plain (NSW)	90.2
Rocky Point (NSW)	62.7
Rocky River (Tenterfield - NSW)	22.7
Rocky River (Uralla - NSW)	59.8
Rodd Point	68.2
Rollands Plains	55.6
Rookhurst	39.3
Rooty Hill	60.6
Ropers Road	110
Ropes Crossing	70.4
Rose Bay (NSW)	64.4
Rose Valley (Kiama - NSW)	60
Rose Valley (Snowy Monaro Regional - NSW)	48
Rosebank	55.2
Roseberg	52.2
Roseberry	57.1
Roseberry Creek	52.9
Rosebery (NSW)	63
Rosebrook (NSW)	72.9
Rosedale (NSW)	45.8
Rosehill (NSW)	67
Roselands	56.2
Rosemeadow	61.2
Rosemeath	87.5
Roseville	63.8
Roseville Chase	65.2
Rosewood (Port Macquarie-Hastings - NSW)	61.2
Rosewood (Snowy Valleys - NSW)	54.3
Roslyn	63.9
Rossglen	26.7
Rossi	73.6
Rossmore (NSW)	56.5
Roto	58.1
Rouchel	75.8
Rouchel Brook	38.1
Roughit	65.5
Round Mountain	63.4
Round Swamp	60
Rous	67.2
Rous Mill	66.1
Rouse Hill	74.9
Rowan	91.1
Rowena	69.1
Rowlands Creek	39.4
Royal National Park	50
Royalla	70.4
Rozelle	72.5
Ruby Creek	61.5
Rufus	45.8
Rugby	73.5
Rukenvale	63.3
Run-o-Waters	63.7
Running Stream	54.9
Runnyford	63.2
Ruse	64.2
Rushcutters Bay	68
Rushes Creek	52.3
Rushforth	54.6
Russell Lea	64.7
Russell Vale	60.1
Rutherford	57.8
Ruthven	62
Ryan (NSW)	125
Rydal	46.3
Rydalmere	62.4
Ryde	63.4
Rye Park	48.8
Ryhope	73.9
Rylstone	45.9
Sackville	58
Sackville North	56.1
Saddleback Mountain	50
Sadleir	41.1
Safety Beach (NSW)	56.7
Salamander Bay	44.3
Salisbury (NSW)	42.6
Salisbury Plains	71.8
Sallys Flat	28.6
Salt Ash	55.9
Saltwater	100
San Isidore	59.2
San Remo (NSW)	56.7
Sancrox	61.4
Sanctuary Point	40.7
Sandgate (NSW)	22.3
Sandigo	75.4
Sandilands (NSW)	37.5
Sandon (NSW)	63.6
Sandringham (NSW)	61
Sandy Beach	59.1
Sandy Creek (Cobar - NSW)	50
Sandy Creek (Upper Hunter Shire - NSW)	76.2
Sandy Crossing	30.4
Sandy Flat	67.6
Sandy Gully (NSW)	100
Sandy Hill	51.6
Sandy Hollow	62.1
Sandy Point (NSW)	70.1
Sanger	100
Sans Souci	57.8
Sapphire	73
Sapphire Beach	61
Saratoga	63.6
Sassafras (NSW)	48.4
Saumarez	51.3
Saumarez Ponds	70.1
Savernake	66.7
Sawpit Creek	66.7
Sawtell	55
Sawyers Gully	62
Scarborough (NSW)	71.5
Scheyville	40
Schofields	71.1
Scone	59.6
Scotia	42.3
Scotland Island	68.1
Scotts Creek (NSW)	47.4
Scotts Flat	83.9
Scotts Head	46.7
Seaforth (NSW)	67.3
Seaham	69.9
Seahampton	69.8
Seal Rocks	29.7
Sebastopol (NSW)	78.8
Sedgefield	58.8
Seelands	53.4
Sefton	52.4
Segenhoe	70.2
Seven Hills (NSW)	60.7
Seven Oaks	50.9
Sextonville	57.9
Shadforth (NSW)	65.6
Shallow Bay	23.3
Shalvey	48.6
Shanes Park	61.1
Shannon Brook	59.7
Shannon Vale	60.6
Shannondale	66.1
Shannons Flat	52.9
Shark Creek	22.2
Sharps Creek	100
Sheedys Gully	33.7
Shell Cove	69.4
Shellharbour	57.7
Shellharbour City Centre	23.9
Shelly Beach (NSW)	53.9
Sherwood (Clarence Valley - NSW)	38.8
Sherwood (Kempsey - NSW)	61.8
Sherwood (Kyogle - NSW)	85
Shoal Bay (NSW)	35.3
Shoalhaven Heads	42.7
Shooters Hill	74.2
Shortland	54.7
Silent Grove	28.6
Silverdale (NSW)	71.7
Silverton (NSW)	57.4
Silverwater (Lake Macquarie - NSW)	50.2
Silverwater (Parramatta - NSW)	32.5
Simpkins Creek	66.7
Singleton (NSW)	57.7
Singleton Heights	62.7
Singleton Military Area	99.7
Skennars Head	58.9
Skillion Flat	52.9
Skinners Shoot	42.2
Sleepy Hollow	60
Smeaton Grange	100
Smithfield (NSW)	47.6
Smiths Creek (Clarence Valley - NSW)	42.9
Smiths Creek (Kyogle - NSW)	58.8
Smiths Creek (Tweed - NSW)	53.1
Smiths Lake	46.5
Smithtown	50.8
Snakes Plain	100
Sodwalls	72.2
Sofala	29.8
Soldiers Point	49.6
Somersby	60.4
Somerton (NSW)	63.5
South Albury	62.7
South Arm (Clarence Valley - NSW)	51.5
South Arm (Nambucca - NSW)	42.1
South Ballina	62.9
South Bathurst	52.9
South Bowenfels	54.2
South Coogee	56.1
South Durras	51
South Golden Beach	59.7
South Grafton	43.5
South Granville	41.8
South Gundagai	57.6
South Gundurimba	69
South Guyra	58.6
South Hurstville	58.9
South Kempsey	40.3
South Lismore	54.6
South Littleton	56.2
South Maitland	45
South Maroota	64.8
South Murwillumbah	47.9
South Nowra	57
South Pambula	58.4
South Penrith	62.8
South Tamworth	50.9
South Turramurra	64.7
South Wentworthville	59.7
South West Rocks	37.6
South Windsor	60.8
South Wolumla	59.4
Southampton (NSW)	50
Southgate	64.8
Speers Point	58.6
Speewa	50
Spencer	36
Spicers Creek	70.4
Spicketts Creek	55.9
Splitters Creek	70.2
Spring Creek (NSW)	61.9
Spring Farm (NSW)	78.9
Spring Flat	60.1
Spring Grove	61.5
Spring Hill (Cabonne - NSW)	63.2
Spring Mountain (NSW)	15
Spring Plains	70.9
Spring Ridge	66
Spring Terrace	61.6
Springdale (NSW)	44.6
Springdale Heights	51.5
Springfield (Central Coast - NSW)	65.1
Springfield (Snowy Monaro Regional - NSW)	82.8
Springrange	69.9
Springside (NSW)	72.5
Springvale (Lithgow - NSW)	44.7
Springvale (Wagga Wagga - NSW)	75.7
Springwood (NSW)	58
St Albans (NSW)	41.2
St Andrews (NSW)	65.2
St Clair (Penrith - NSW)	68.5
St Clair (Singleton - NSW)	116.7
St Fillans	54.6
St Georges Basin	45.1
St Helens Park	67.6
St Huberts Island	50.4
St Ives (NSW)	61.6
St Ives Chase	62.5
St Johns Park	50.5
St Leonards (NSW)	75.6
St Marys (NSW)	56.8
St Peters (NSW)	76.4
Stanborough	46.7
Stanbridge	57.4
Stanford Merthyr	54.5
Stanhope (NSW)	62.1
Stanhope Gardens	71.5
Stanmore (NSW)	70.9
Stannifer	50
Stannum	43.8
Stanwell Park	68.8
Stanwell Tops	66
State Mine Gully	47.1
Steam Plains	60
Steeple Flat	86.2
Stewarts Brook	25
Stewarts River	49.5
Stockinbingal	43.4
Stockrington	71.4
Stockton (NSW)	48.9
Stockyard Creek (NSW)	37.8
Stokers Siding	53.3
Stonehenge (NSW)	64.2
Stonequarry	75
Stony Chute	43.5
Stony Creek (Bega Valley - NSW)	59.8
Stony Creek (Mid-Western Regional - NSW)	80.5
Stony Crossing	30.8
Stratford (NSW)	44
Strathcedar	53.7
Stratheden	65.4
Strathfield (NSW)	61.9
Strathfield South	64.4
Stroud	52.1
Stroud Hill	65.4
Stroud Road	56.8
Stuart Town	47.7
Stuarts Point	37.1
Stubbo	52.2
Stud Park	68.9
Suffolk Park	63.2
Sugarloaf (NSW)	53.2
Summer Hill (Dungog - NSW)	70
Summer Hill (Inner West - NSW)	70.5
Summer Hill Creek	70.2
Summer Island	60.8
Summerland Point	52.1
Sun Valley (NSW)	62
Sunny Corner	42.5
Sunset Strip (NSW)	28.8
Sunshine (NSW)	49
Sunshine Bay	42.2
Suntop	70.6
Surf Beach (NSW)	43.8
Surfside	46.1
Surry Hills	68.4
Sussex Inlet	33
Sutherland (NSW)	68.4
Sutton (NSW)	57.8
Sutton Forest	59.4
Swan Bay (Port Stephens - NSW)	57.2
Swan Bay (Richmond Valley - NSW)	57.7
Swan Creek (NSW)	51.8
Swan Vale	66.7
Swanbrook	137.5
Swanhaven	29.7
Swansea (NSW)	44
Swansea Heads	57.9
Sweetmans Creek	46.3
Sydenham (NSW)	68.7
Sydney	64.7
Sydney Olympic Park	62.2
Sylvania	56.5
Sylvania Waters	62.2
Tabbil Creek	77.8
Tabbimoble	30.8
Tabbita	71.7
Table Top	72.5
Tabulam	38.7
Tacoma	62.6
Tacoma South	61.9
Tahlee	37.5
Tahmoor	58.9
Talarm	54.6
Talawanta	70
Talbingo	31.4
Tallawang	46.7
Tallimba	61.5
Tallong	54.3
Tallowwood Ridge	35.1
Tallwood	73.4
Tallwoods Village	44.2
Talmalmo	62.3
Talofa	63.4
Taloumbi	43.4
Tamarama	69.3
Tamban	39.5
Tambar Springs	51.9
Tambaroora	44.4
Taminda	70.5
Tamworth	57.1
Tanglewood	69.4
Tanilba Bay	44.9
Tanja	51.8
Tannabar	78.2
Tannas Mount	58.8
Tantawangalo	54
Tantonan	75
Tapitallee	57.8
Tara (NSW)	70
Taradale (NSW)	60
Tarago	64
Taralga	54.5
Tarana	65.1
Tarban	112.5
Tarbuck Bay	51
Tarcutta	57.5
Taree	42.9
Taree South	44.9
Taren Point	42.2
Tarlo	53.5
Tarraganda	59.6
Tarrawanna	50.8
Tarriaro	67.1
Tarro	51.5
Tascott	61.5
Tatham	65.1
Tathra	49.9
Tatton	70.3
Taylors Arm	43.5
Taylors Beach (NSW)	50.5
Taylors Flat	63.2
Tea Gardens	29.3
Telarah	55.4
Telegraph Point	62.3
Telopea	56.6
Temagog	43.4
Temora	51.8
Tempe	67.4
Tenambit	54.3
Tenandra	90.4
Tennyson (NSW)	66.6
Tennyson Point	61.9
Tenterden (NSW)	82.8
Tenterfield	46
Teralba	51.6
Terania Creek	49.4
Terara	51.9
Teridgerie	87.2
Termeil	63.1
Terrabella	107.1
Terrace Creek	45
Terragon	57.6
Terramungamine	73.9
Terranora	65.2
Terreel	42.9
Terrey Hills	63.9
Terrigal	62.2
Terry Hie Hie	56.5
Teven	63.4
Tewinga	46.1
Texas (NSW)	73.3
Thalgarrah	68.5
Tharbogang	55
The Angle	56.9
The Bight	63
The Branch	67.1
The Brothers	62.1
The Channon	61.4
The Entrance	44.9
The Entrance North	53.5
The Freshwater	42.9
The Gap (Wagga Wagga - NSW)	61.8
The Glen (NSW)	125
The Hatch	52.4
The Hill	72.1
The Junction	67
The Lagoon	66.7
The Marra	95.2
The Meadows	120
The Oaks	68.2
The Pinnacles	36.1
The Pocket	66.5
The Ponds	74.6
The Ridgeway	64.3
The Risk	57.7
The Rock	53.8
The Rocks (Bathurst Regional - NSW)	66.7
The Rocks (Sydney - NSW)	49
The Slopes	65.8
The Whiteman	56.2
Theresa Creek (NSW)	63.8
Theresa Park	64.4
Thirlmere	58.6
Thirroul	62.4
Thora	55.2
Thornleigh	65.7
Thornton (NSW)	69.4
Thrumster	73.9
Thuddungra	79.2
Thule	48
Thumb Creek	17.4
Thurgoona	68.6
Thyra	85.7
Tibbuc	52.4
Tibooburra	66.7
Tichborne	56.9
Tichular	100
Tighes Hill	61.7
Tilba Tilba	58.2
Tilbuster	63.6
Tilpa	59
Timbarra (NSW)	81.8
Timbillica	33.3
Timbumburi	75
Timor (NSW)	55.8
Tindarey	63
Tinderry	32.2
Tingha	40.3
Tingira Heights	66.4
Tinonee	53.3
Tintenbar	54
Tintinhull	59
Tipperary (NSW)	48.1
Tirrannaville	67.5
Titaatee Creek	71.4
Tocal (NSW)	39.6
Tocumwal	43.4
Tolland	54.4
Tomago	42
Tomakin	40.8
Tomalla	62.5
Tombong	64.3
Tomboye	34.4
Tomerong	61.9
Tomewin	56.3
Tomingley	54.8
Tomki	46.4
Toms Creek	51.5
Tonderburine	83.3
Tongarra	79.3
Toogong	50.7
Tooleybuc	51.3
Toolijooa	50
Tooloom	88.9
Tooloon	54.3
Tooma	82.6
Toongabbie (NSW)	62.8
Toongi	89.1
Toonumbar	51.6
Tooranie	100
Tooraweenah	66.2
Toormina	48.1
Toorooka	51
Toothdale	56.9
Tootool	61.2
Toowoon Bay	46.1
Topi Topi	43.9
Toronto	44.6
Torrington (NSW)	31
Torryburn (Dungog - NSW)	68
Torryburn (Uralla - NSW)	100
Totnes Valley	46.9
Tottenham (NSW)	47.1
Toukley	41.3
Towamba	38.8
Townsend	48.2
Towradgi	57.2
Towrang	55.3
Tralee	112.5
Trangie	51.2
Tregeagle	65
Tregear	43
Trenayr	53.3
Trentham Cliffs	59
Trewilga	53.1
Triamble	41.7
Triangle Flat	76.1
Trundle	49.4
Trungley Hall	71.9
Trunkey Creek	51.5
Tubbamurra	80
Tubbul	69.4
Tucabia	49.7
Tucki Tucki	54.7
Tuckombil	67
Tuckurimba	67.6
Tuena	34.5
Tuggerah	64.1
Tuggerawong	58.3
Tugrabakh	38.1
Tullakool	73.7
Tullamore	58.4
Tullera	75.9
Tullibigeal	63
Tullimbar	67.6
Tulloona	76.9
Tullymorgan	50
Tumbarumba	53.7
Tumbi Umbi	57.1
Tumblong	62.7
Tumbulgum	65.6
Tumorrama	71.4
Tumut	52.1
Tumut Plains	72.1
Tuncester	63.1
Tuncurry	32.7
Tunglebung	51.9
Tuntable Creek	61.5
Tuppal	122.2
Tura Beach	41.3
Turill	42.9
Turlinjah	56.3
Turners Flat	59.2
Turondale	65.2
Tuross	50
Tuross Head	37.5
Turramurra	62
Turrawan	69.7
Turrella	64.3
Turvey Park	67.8
Tweed Heads	42.7
Tweed Heads South	41.9
Tweed Heads West	44.9
Twelve Mile	69.6
Twelve Mile Creek	42.2
Twin Rivers	71
Two Mile Flat	66.2
Tyagarah	57.7
Tyalgum	46.4
Tyalgum Creek	44.6
Tygalgah	58.8
Tyndale	44.7
Tyringham	45.3
Uarbry	42.1
Uki	51.1
Ulamambri	55.1
Ulan	43.6
Ulladulla	42.5
Ulmarra	48.3
Ulong	38.5
Ultimo	50
Umina Beach	53.6
Unanderra	46.7
Underbank	68
Undercliffe	69.2
Ungarie	51.4
Unumgar	65
Upper Allyn	66.7
Upper Bingara	48.1
Upper Burringbar	52.2
Upper Bylong	75
Upper Colo	60.4
Upper Coopers Creek	56
Upper Copmanhurst	40.8
Upper Corindi	50
Upper Crystal Creek	51
Upper Dartbrook	65.5
Upper Duck Creek	50
Upper Duroby	63.6
Upper Eden Creek	48.8
Upper Fine Flower	29.2
Upper Growee	120
Upper Horseshoe Creek	41.8
Upper Horton	51.2
Upper Kangaroo River	52.5
Upper Lansdowne	49.6
Upper Macdonald	70
Upper Main Arm	43.2
Upper Manilla	63.6
Upper Mongogarie	33.3
Upper Myall	82.6
Upper Nile	37.5
Upper Orara	57.5
Upper Pappinbarra	35.6
Upper Rollands Plains	55.8
Upper Rouchel	58.5
Upper Taylors Arm	48.1
Upper Tooloom	65.5
Upper Wilsons Creek	36.5
Upsalls Creek	55.8
Uralba	57.2
Uralla (NSW)	53.7
Urana	42.8
Urangeline	50
Urangeline East	116.7
Uranquinty	66.1
Urawilkie	66.7
Urbenville	33.2
Uriarra	106.3
Urila	59.3
Urliup	47.6
Urunga	45
Utungun	57.1
Vacy	68.9
Vale Of Clwydd	49.4
Valentine	61.3
Valery	61.1
Valla	56.4
Valla Beach	46
Valley Heights	63.4
Varroville	46.1
Vaucluse	60.9
Verges Creek	53.6
Verona	54.9
Villawood	35.5
Vincentia	49.7
Vineyard	52.5
Vittoria (NSW)	61.7
Voyager Point	73.4
Wadalba	66.8
Wadeville	30.9
Wagga Wagga	61.8
Wagstaffe	52.2
Wahroonga	59.9
Waitara	64.6
Waitui	38.2
Wakefield	61.4
Wakeley	52.7
Wakool	54.2
Walang	48.6
Walbundrie	70.8
Walcha	57
Walcha Road	64.4
Waldegrave	82.6
Walgett	52.2
Walla Walla	58.4
Wallabadah	53.8
Wallabi Point	62.9
Wallacia	63.9
Wallaga Lake	34.7
Wallagoot	58.1
Wallalong	70.1
Wallamore	77
Wallanbah	52.2
Wallangra	40.8
Wallanthery	92.6
Wallarah	58
Wallaringa	50
Wallarobba	61.3
Wallaroo (NSW)	63.1
Wallendbeen	58.3
Wallerawang	52.6
Walleroobie	58.8
Wallsend	54
Walmer (NSW)	61.8
Wamban	59
Wambangalang	50
Wamberal	65.7
Wamboin	65.9
Wambool	51.9
Wambrook	57.9
Wanaaring	44.8
Wandandian	53.7
Wandella (NSW)	58.1
Wandera	35.3
Wandook	62.9
Wandsworth	73.1
Wang Wauk	28
Wanganella	59.4
Wanganui	35.1
Wangi Wangi	49.1
Wantabadgery	55.7
Wantagong	53.8
Wantiool	51.7
Wapengo	52.4
Warabrook	52.6
Waratah (NSW)	57.4
Waratah West	54.7
Warburn	67.1
Wardell	43.5
Wardrop Valley	52.6
Wards Mistake	114.3
Wards River	45
Wareemba	62.8
Warialda	47.3
Warialda Rail	51.6
Warilla	43.2
Warkworth	52.6
Warners Bay	56.1
Warnervale	67.6
Warraderry	78.9
Warragai Creek	48
Warragamba	64.5
Warragoon	64.2
Warrah	57.1
Warrah Creek	54.2
Warrah Ridge	64.9
Warral	64.7
Warranulla	58.8
Warrawee	61.9
Warrawidgee	62.5
Warrawong	38
Warrazambil Creek	36.4
Warregah Island	40
Warrell Creek	58.8
Warren	56
Warri	72.3
Warriewood	67.4
Warrimoo	70.9
Warroo (NSW)	76.5
Warrumbungle	100
Warwick Farm	47.3
Washpool (Mid-Coast - NSW)	60
Watagan	48.1
Watanobbi	57.5
Waterfall	69.6
Waterloo (NSW)	57.2
Watersleigh	61.9
Waterview	55.4
Waterview Heights	54.6
Watsons Bay	61.5
Watsons Creek (NSW)	39.2
Wattamolla	54
Wattamondara	62
Wattle Flat (NSW)	43.1
Wattle Grove (NSW)	73
Wattle Ponds	72.4
Wattle Ridge (NSW)	100
Wattle Springs	58.6
Watton	63.8
Wauchope	46.4
Waugorah	50
Waukivory	45.7
Waverley (NSW)	58.4
Waverly	70.7
Waverton	69.4
Way Way	59.2
Wayo	60.9
Weabonga	48.8
Wean	72.2
Webbers Creek	85.7
Webbs Creek	75
Wedderburn (NSW)	62.7
Wee Jasper	58
Wee Waa	53.7
Weedallion	53.8
Weemelah	68.7
Weetaliba	27.7
Weethalle	55.7
Weilmoringle	42
Weismantels	37
Welaregang	69.7
Welby	53.5
Wellingrove	53.1
Wellington (NSW)	41.6
Wellington Vale	87.9
Wells Crossing	37
Wendoree Park	71.1
Wentworth (NSW)	40.1
Wentworth Falls	52.2
Wentworth Point	71.3
Wentworthville	63.1
Werai	56.1
Wermatong	69.4
Werombi	68.7
Werri Beach	57.5
Werrington	62.5
Werrington County	67.4
Werrington Downs	72
Werris Creek	39.9
West Albury	51.7
West Ballina	41.8
West Bathurst	56.1
West Bungawalbin	22.9
West Coraki	37.6
West Gosford	48.4
West Haven	28.1
West Hoxton	68
West Kempsey	37.9
West Nowra	62.3
West Pennant Hills	65.3
West Pymble	66.1
West Ryde	66
West Tamworth	49.7
West Wallsend	59.2
West Wiangaree	66.3
West Wollongong	60.8
West Wyalong	54.7
Westbrook (NSW)	70.8
Westdale (Tamworth Regional - NSW)	67.4
Westleigh	65.2
Westmead	63.4
Weston (NSW)	52.1
Westwood (NSW)	100
Wetherill Park	53.9
Wetuppa	33.3
Whalan	44.2
Whale Beach	55.5
Wheeler Heights	68.4
Wheeny Creek	63.2
Wheeo	65.6
Wherrol Flat	56.7
Whian Whian	66.7
Whiporie	44.6
White Cliffs	56.1
White Rock (NSW)	64.3
Whitebridge	62
Whiteman Creek	44.8
Whitlow	75
Whittingham	58.9
Whitton	46.9
Whoota	36.7
Wiagdon	52
Wiangaree	56.8
Wiarborough	16.7
Wickham (NSW)	69.4
Widden	90
Widgelli	60.8
Wilberforce (NSW)	68.7
Wilbetree	50
Wilcannia	41.9
Wildes Meadow	60.7
Wiley Park	53.6
Willala	75.6
Willawarrin	46.8
Willbriggie	61.9
Willi Willi	55.2
Williamsdale	76.5
Williamtown	46.9
Willigobung	66.7
Willina	40
Willmot	41.9
Willoughby (NSW)	67.4
Willoughby East	65.9
Willow Tree	41.1
Willow Vale (Kiama - NSW)	57.7
Willow Vale (Wingecarribee - NSW)	60.7
Wilsons Creek	43.4
Wilton (NSW)	76.8
Wimbledon	65.6
Wimborne	77.8
Windale	35
Windang	43.2
Windella	71.7
Windellama	47.2
Windera (NSW)	72.4
Windermere (NSW)	75
Windermere Park	57.5
Windeyer (NSW)	37.7
Windowie	50
Windradyne	60.9
Windsor (NSW)	59
Windsor Downs	67
Winegrove	33.3
Wingadee	85.7
Wingello	59.2
Wingen	54.2
Wingham	46.7
Winifred	74.1
Winmalee	66.3
Winston Hills	63.6
Winton (NSW)	67
Wirlinga	68.4
Wirragulla	44.8
Wirrimah	39.7
Wirrimbi	62.5
Wirrinya	63.8
Wisemans Creek	61.3
Wisemans Ferry	56.5
Wittitrin	36.5
Wog Wog (Queanbeyan-Palerang Regional - NSW)	53.3
Woko	60
Wolgan Valley	87.1
Wollar	41.8
Wolli Creek	70.2
Wollogorang	66.7
Wollombi	45.3
Wollomombi	71.1
Wollongbar	62.5
Wollongong	52.8
Wollstonecraft	73.8
Wollumboola	66.7
Wollun	68.2
Wolumla	55.5
Wombarra	66.5
Wombat	58.8
Wombeyan Caves	34.8
Womboota	62.4
Wonboyn	46.2
Wondabyne	166.7
Wondalga	66.3
Wongarbon	66.9
Wongawilli	73.2
Wongo Creek	68.4
Wongwibinda	95.5
Woodberry	52.6
Woodbine (NSW)	60.2
Woodburn (Richmond Valley - NSW)	50.2
Woodburn (Shoalhaven - NSW)	69.8
Woodcroft (NSW)	71.3
Woodenbong	48.5
Woodford (NSW)	62.7
Woodford Island	58.6
Woodhill (NSW)	45.7
Woodhouselee	71.4
Woodlands (Eurobodalla - NSW)	49.2
Woodlands (Wingecarribee - NSW)	67.8
Woodlawn	67.9
Woodpark	58.9
Woodrising	65
Woodside (NSW)	62.9
Woodsreef	56.9
Woodstock (Cowra - NSW)	46.8
Woodstock (Inverell - NSW)	50
Woodstock (Shoalhaven - NSW)	44.9
Woodview	65.5
Woodville (NSW)	63.8
Woolbrook	46
Woolgarlo	75
Woolgoolga	48
Wooli	38.4
Woollahra	62.5
Woollamia	56.8
Woolloomooloo	61.4
Woolners Arm	90.9
Woolomin	49.8
Woolooma	75
Woolooware	68.8
Wooloweyah	59.7
Woolwich	54
Woomargama	64.4
Woombah	36.5
Woongarrah	64.5
Woonona	58.5
Wootton	47.2
Wooyung	43
Woronora	68.6
Woronora Heights	77.2
Worrigee	61
Worrowing Heights	8.4
Woy Woy	46.3
Woy Woy Bay	63
Wrathall	31.6
Wrights Beach	38.1
Wrights Creek (NSW)	26.3
Wuuluman	6.3
Wyalong	62.2
Wyan	42.4
Wyanbene	37
Wyangala	37
Wyangle	90.6
Wybong	51.1
Wyee	51.7
Wyee Point	64
Wylie Creek	100
Wylies Flat	72.9
Wymah	50
Wyndham (NSW)	47.7
Wyneden	45.5
Wyoming	52.9
Wyong	45.6
Wyong Creek	62.1
Wyongah	63.2
Wyrallah	64.2
Yabbra	100
Yadboro	133.3
Yagoona	51.1
Yalbraith	90
Yallah	62.8
Yallaroi	79.8
Yamba (NSW)	38.9
Yanco	40.6
Yanderra	67.6
Yanga	48.1
Yannergee	76.9
Yantabulla	31.8
Yaouk	50
Yarara	95
Yarra	65.3
Yarrabandai	71.4
Yarrabin	57.4
Yarragal	73.3
Yarragrin	57.7
Yarragundry	80.3
Yarrahapinni	49.1
Yarramalong	70.8
Yarraman (NSW)	61.5
Yarramundi	70.9
