SSC_NAME16	labourForceParticipation
Avalon Beach	65
Avisford	73.7
Avoca (NSW)	64
Avoca Beach	66.4
Avondale (NSW)	59.5
Avonside	60.9
Awaba	60.3
Aylmerton	71.3
Baan Baa	62.3
Babyl Creek	100
Back Creek (Bland - NSW)	52.9
Back Creek (Gwydir - NSW)	116.7
Back Creek (Mid-Coast - NSW)	47.1
Back Creek (Queanbeyan-Palerang Regional - NSW)	33.3
Back Creek (Tenterfield - NSW)	100
Back Creek (Tweed - NSW)	110
Back Forest	70.6
Backmede	54
Backwater	78.6
Badgerys Creek	53.5
Baerami	50.9
Baerami Creek	37.8
Bagnoo	34.3
Bago	46.2
Bagotville	62.2
Bakers Creek (Mid-Coast - NSW)	51.6
Bakers Creek (Nambucca - NSW)	28.6
Bakers Creek (Uralla - NSW)	81.3
Bakers Swamp	56.5
Balaclava (NSW)	59.5
Balala	45.8
Balcolyn	52.6
Bald Blair	90.6
Bald Hills (NSW)	58.4
Bald Nob	44.4
Baldersleigh	66
Baldry	69.1
Balfours Peak	65.5
Balgowlah	68.6
Balgowlah Heights	65.1
Balgownie	57.1
Balickera	50
Balladoran	68.8
Ballalaba	31.6
Balldale	49.2
Ballengarra	58.9
Ballimore	62.3
Ballina	40.3
Ballyroe	100
Balmain	67.7
Balmain East	64.4
Balmoral (Lake Macquarie - NSW)	64.6
Balmoral (Wingecarribee - NSW)	66.9
Balranald	55.9
Bamarang	68.2
Bandon Grove	61
Bangadang	37.5
Bangalee (NSW)	61.3
Bangalow	63.9
Bangheet	80
Bango	68.2
Bangor (NSW)	67.3
Banksia	61.1
Banksmeadow	71.4
Bankstown	51.4
Bannaby	44.4
Bannister (NSW)	73.1
Banoon	54.2
Banora Point	48.8
Banyabba	27.9
Bar Beach	62.1
Bar Point	50
Bara	35
Baradine	40.9
Barangaroo	42.4
Barden Ridge	74.7
Bardia	75.5
Bardwell Park	65.1
Bardwell Valley	60.2
Barellan	53.6
Bargo	61.2
Barham	46.4
Barkers Vale	51.2
Barmedman	42.4
Barnsley	66.3
Barooga	54.5
Barraba	37.8
Barrack Heights	52.6
Barrack Point	55.1
Barraganyatti	39.5
Barragga Bay	54.3
Barrengarry	57.1
Barretts Creek	70
Barringella	52.2
Barrington (NSW)	43
Barry (Blayney - NSW)	60.6
Barwang	73.4
Barwon	66.7
Baryulgil	23.6
Basin View	48.7
Bass Hill	51.8
Bassendean (NSW)	100
Batar Creek	36.2
Bateau Bay	54.6
Batehaven	42.3
Batemans Bay	36
Bathampton	80
Bathurst	57
Batlow	51.8
Baulkham Hills	67
Baw Baw (NSW)	55
Bawley Point	47.2
Bayview (NSW)	47.7
Beacon Hill	68
Beaconsfield (NSW)	79.4
Bean Creek	37.9
Bearbong	71.2
Beaumont (NSW)	49.1
Beaumont Hills	73.1
Beckom	62.8
Bective	64
Bectric	47.7
Bedgerabong	68.2
Beechwood	56.1
Beecroft	62.3
Beelbangera	62
Beemunnel	50
Bega	52.6
Beggan Beggan	80
Belanglo	61.1
Belbora	46.8
Belfield	57.6
Belford	73.2
Belfrayden	37.5
Belgravia	79.1
Belimbla Park	68.6
Bell (NSW)	38.1
Bella Vista	69.7
Bellambi	50.3
Bellangry	59.8
Bellata	64.1
Bellawongarah	43.9
Bellbird	55.4
Bellbird Heights	58.5
Bellbrook	36.9
Bellevue Hill	64.5
Bellimbopinni	56.3
Bellingen	52.7
Bellmount Forest	78.7
Belltrees	69.2
Belmont (NSW)	51.6
Belmont North	59.1
Belmont South	53.4
Belmore	54.5
Belmore River	57.8
Beloka	94.7
Belowra	33.3
Belrose	57.6
Bemboka	51.2
Ben Bullen	53.1
Ben Lomond (NSW)	56.4
Benandarah	32.9
Bendalong	42.7
Bendemeer	54.9
Bendick Murrell	49.6
Bendolba	45.1
Bendoura	57.7
Benerembah	65.5
Bengalla	72.2
Bennetts Green	23.1
Benolong	88.6
Bensville	69.8
Bentley (NSW)	49.4
Berala	56.5
Berambing	66.7
Beresfield	53
Bergalia	57.7
Berkeley	50.8
Berkeley Vale	63.2
Berkshire Park	30.3
Bermagui	41.4
Berowra	71.5
