SSC_NAME16	BornAust	persons
Barham	0	86
Barham	1	1266
Barigan	1	5
Barkers Vale	0	41
Barkers Vale	1	109
Barmedman	0	22
Barmedman	1	387
Barnsley	0	81
Barnsley	1	1605
Barooga	0	141
Barooga	1	1476
Barraba	0	87
Barraba	1	1144
Barrack Heights	0	1159
Barrack Heights	1	4327
Barrack Point	0	100
Barrack Point	1	519
Barraganyatti	0	14
Barraganyatti	1	107
Barragga Bay	0	16
Barragga Bay	1	72
Barrengarry	0	14
Barrengarry	1	145
Barretts Creek	1	6
Barringella	1	30
Barrington (NSW)	0	27
Barrington (NSW)	1	310
Barry (Blayney - NSW)	0	11
Barry (Blayney - NSW)	1	138
Barry (Upper Hunter Shire - NSW)	1	3
Barwang	1	73
Barwon	1	30
Baryulgil	1	79
Basin View	0	181
Basin View	1	1239
Bass Hill	0	3312
Bass Hill	1	5305
Bassendean (NSW)	1	3
Batar Creek	0	5
Batar Creek	1	58
Bateau Bay	0	1344
Bateau Bay	1	10066
Batehaven	0	269
Batehaven	1	1386
Batemans Bay	0	208
Batemans Bay	1	1118
Bathampton	0	3
Bathampton	1	34
Bathurst	0	838
Bathurst	1	5411
Batlow	0	205
Batlow	1	981
Baulkham Hills	0	13803
Baulkham Hills	1	22287
Baw Baw (NSW)	0	23
Baw Baw (NSW)	1	210
Bawley Point	0	99
Bawley Point	1	547
Bayview (NSW)	0	981
Bayview (NSW)	1	2431
Beacon Hill	0	2149
Beacon Hill	1	5011
Beaconsfield (NSW)	0	337
Beaconsfield (NSW)	1	580
Bean Creek	0	3
Bean Creek	1	60
Bearbong	1	52
Beaumont (NSW)	0	25
Beaumont (NSW)	1	79
Beaumont Hills	0	3368
Beaumont Hills	1	5379
Beckom	0	3
Beckom	1	112
Bective	0	4
Bective	1	182
Bectric	0	3
Bectric	1	44
Bedgerabong	0	11
Bedgerabong	1	123
Beechwood	0	52
Beechwood	1	523
Beecroft	0	3074
Beecroft	1	6072
Beelbangera	0	26
Beelbangera	1	343
Beemunnel	1	17
Bega	0	363
Bega	1	3907
Beggan Beggan	1	85
Belanglo	1	21
Belbora	0	6
Belbora	1	94
Belfield	0	2461
Belfield	1	3558
Belford	0	12
Belford	1	141
Belfrayden	0	4
Belfrayden	1	24
Belgravia	0	4
Belgravia	1	112
Belimbla Park	0	67
Belimbla Park	1	486
Bell (NSW)	0	3
Bell (NSW)	1	45
Bella Vista	0	3589
Bella Vista	1	4003
Bellambi	0	702
Bellambi	1	2955
Bellangry	0	10
Bellangry	1	72
Bellata	0	4
Bellata	1	306
Bellawongarah	0	32
Bellawongarah	1	76
Bellbird	0	96
Bellbird	1	1778
Bellbird Heights	0	62
Bellbird Heights	1	686
Bellbrook	0	25
Bellbrook	1	226
Bellevue Hill	0	3631
Bellevue Hill	1	6230
Bellimbopinni	0	4
Bellimbopinni	1	100
Bellingen	0	536
Bellingen	1	2967
Bellmount Forest	0	16
Bellmount Forest	1	96
Belltrees	0	3
Belltrees	1	22
Belmont (NSW)	0	632
Belmont (NSW)	1	6058
Belmont North	0	482
Belmont North	1	5625
Belmont South	0	85
Belmont South	1	918
Belmore	0	6281
Belmore	1	5569
Belmore River	0	11
Belmore River	1	243
Beloka	0	3
Beloka	1	14
Belowra	1	4
Belrose	0	2418
Belrose	1	5935
Bemboka	0	49
Bemboka	1	464
Ben Bullen	0	6
Ben Bullen	1	72
Ben Lomond (NSW)	0	13
Ben Lomond (NSW)	1	116
Benandarah	0	20
Benandarah	1	108
Bendalong	0	3
Bendalong	1	76
Bendemeer	0	35
Bendemeer	1	394
Bendick Murrell	0	8
Bendick Murrell	1	124
Bendolba	0	4
Bendolba	1	186
Bendoura	0	11
Bendoura	1	49
Benerembah	0	3
Benerembah	1	102
Bengalla	1	14
Bennetts Green	1	13
Benolong	1	46
Bensville	0	364
Bensville	1	2107
Bentley (NSW)	0	15
Bentley (NSW)	1	158
Berala	0	5379
Berala	1	3297
Berambing	0	7
Berambing	1	86
Beresfield	0	293
Beresfield	1	2706
Bergalia	0	18
Bergalia	1	135
Berkeley	0	1645
Berkeley	1	5407
Berkeley Vale	0	918
Berkeley Vale	1	7081
Berkshire Park	0	421
Berkshire Park	1	1599
Bermagui	0	213
Bermagui	1	1187
Berowra	0	1156
Berowra	1	3446
Berowra Creek	0	3
Berowra Creek	1	10
Berowra Heights	0	1022
Berowra Heights	1	4099
Berowra Waters	0	20
Berowra Waters	1	37
Berrambool	0	43
Berrambool	1	370
Berrara	0	18
Berrara	1	263
Berremangra	0	3
Berremangra	1	69
Berrico	0	3
Berrico	1	21
Berridale	0	124
Berridale	1	976
Berrigal	0	3
Berrigal	1	23
Berrigan	0	71
Berrigan	1	1021
Berrilee	0	49
Berrilee	1	177
Berrima	0	119
Berrima	1	482
Berringer Lake	1	24
Berry	0	399
Berry	1	2098
Berry Jerry	1	60
Berry Mountain	0	8
Berry Mountain	1	17
Berry Park	0	8
Berry Park	1	102
Berthong	1	35
Beryl	0	6
Beryl	1	103
Bethungra	0	8
Bethungra	1	135
Bevendale	0	6
Bevendale	1	38
Beverley Park	0	814
Beverley Park	1	1454
Beverly Hills	0	4637
Beverly Hills	1	5016
Bewong	0	6
Bewong	1	57
Bexhill	0	32
Bexhill	1	422
Bexley	0	8235
Bexley	1	9808
Bexley North	0	1573
Bexley North	1	2282
Biala	0	4
Biala	1	52
Bibbenluke	1	76
Biddon	0	4
Biddon	1	92
Bidgeemia	1	26
Bidwill (NSW)	0	899
Bidwill (NSW)	1	2792
Bielsdown Hills	0	13
Bielsdown Hills	1	88
Big Hill (NSW)	0	9
Big Hill (NSW)	1	34
Big Jacks Creek	0	4
Big Jacks Creek	1	45
Big Ridge	1	14
Big Springs	1	102
Bigga	0	5
Bigga	1	192
Bilambil	0	61
Bilambil	1	333
Bilambil Heights	0	526
Bilambil Heights	1	2589
Bilbul	0	48
Bilbul	1	452
Bilgola Beach	0	56
Bilgola Beach	1	182
Bilgola Plateau	0	926
Bilgola Plateau	1	2499
Billeroy	1	36
Billilingra	1	10
Billimari	0	12
Billimari	1	115
Billinudgel	0	45
Billinudgel	1	144
Billys Creek	0	8
Billys Creek	1	46
Billywillinga	0	17
Billywillinga	1	159
Bilpin	0	87
Bilpin	1	516
Bimbi	0	3
Bimbi	1	91
Bimbimbie	0	11
Bimbimbie	1	96
Binalong	0	40
Binalong	1	455
Binda	0	13
Binda	1	213
Bindera	0	3
Bindera	1	22
Bingara	0	65
Bingara	1	1181
Bingeebeebra Creek	0	3
Bingeebeebra Creek	1	21
Bingie	0	32
Bingie	1	153
Bingleburra	1	26
Biniguy	0	3
Biniguy	1	108
Binjura	0	39
Binjura	1	255
Binna Burra (NSW)	0	24
Binna Burra (NSW)	1	166
Binnaway	0	51
Binnaway	1	483
Binya	0	3
Binya	1	130
Birchgrove	0	921
Birchgrove	1	2103
Birdwood (NSW)	1	28
Birganbigil	1	49
Birmingham Gardens	0	725
Birmingham Gardens	1	1515
Birriwa	1	34
Birrong	0	1380
Birrong	1	1577
Bishops Bridge	0	5
Bishops Bridge	1	191
Bithramere	0	10
Bithramere	1	140
Black Creek (Port Macquarie-Hastings - NSW)	1	40
Black Creek (Snowy Valleys - NSW)	1	18
Black Head	0	132
Black Head	1	684
Black Hill (NSW)	0	42
Black Hill (NSW)	1	481
Black Hollow	1	17
Black Mountain (NSW)	0	41
Black Mountain (NSW)	1	242
Black Range (NSW)	0	11
Black Range (NSW)	1	167
Black Springs (NSW)	0	26
Black Springs (NSW)	1	174
Blackalls Park	0	236
Blackalls Park	1	2409
Blackbutt (NSW)	0	758
Blackbutt (NSW)	1	2367
Blackett	0	906
Blackett	1	2183
Blackheath	0	863
Blackheath	1	3224
Blackmans Flat	0	3
Blackmans Flat	1	14
Blackmans Point	0	18
Blackmans Point	1	130
Blacksmiths	0	84
Blacksmiths	1	1668
Blacktown	0	22757
Blacktown	1	21764
Blackville	0	5
Blackville	1	94
Blackwall (NSW)	0	273
Blackwall (NSW)	1	1462
Blair Athol (NSW)	0	1344
Blair Athol (NSW)	1	1448
Blairmount	0	122
Blairmount	1	283
Blakebrook	0	8
Blakebrook	1	123
Blakehurst	0	1956
Blakehurst	1	3999
Blakney Creek	0	3
Blakney Creek	1	50
Bland	0	5
Bland	1	39
Blandford	0	12
Blandford	1	165
Blaxland (NSW)	0	1061
Blaxland (NSW)	1	6117
Blaxlands Creek	0	6
Blaxlands Creek	1	99
Blaxlands Ridge	0	53
Blaxlands Ridge	1	393
Blayney	0	193
Blayney	1	2899
Bligh Park	0	640
Bligh Park	1	5514
Blighty	0	8
Blighty	1	126
Blue Bay	0	112
Blue Bay	1	815
Blue Haven	0	681
Blue Haven	1	5354
Blue Knob	0	57
Blue Knob	1	127
Blue Nobby	0	3
Blue Nobby	1	22
Blue Vale	1	55
Blueys Beach	0	18
Blueys Beach	1	157
Boambee	0	227
Boambee	1	1341
Boambee East	0	537
Boambee East	1	4415
Boambolo	0	3
Boambolo	1	53
Boat Harbour (Lismore - NSW)	0	14
Boat Harbour (Lismore - NSW)	1	114
Boat Harbour (Port Stephens - NSW)	0	94
Boat Harbour (Port Stephens - NSW)	1	823
Bobadah	1	11
Bobin	0	12
Bobin	1	123
Bobs Creek	0	4
Bobs Creek	1	69
Bobs Farm	0	47
Bobs Farm	1	361
Bobundara	1	13
Boco	1	3
Bocoble	0	12
Bocoble	1	115
Bocobra	1	39
Bodalla	0	88
Bodalla	1	598
Bodangora	0	5
Bodangora	1	60
Boeill Creek	0	3
Boeill Creek	1	81
Bogan	1	11
Bogan Gate	0	9
Bogan Gate	1	232
Bogangar	0	406
Bogangar	1	2408
Bogee	0	16
Bogee	1	60
Boggabilla	0	18
Boggabilla	1	881
Boggabri	0	34
Boggabri	1	961
Bohena Creek	1	142
Bohnock	0	7
Bohnock	1	58
Bolaro	0	11
Bolaro	1	28
Bolivia	0	5
Bolivia	1	58
Bolong	0	3
Bolong	1	97
Bolton Point	0	200
Bolton Point	1	1767
Bolwarra (NSW)	0	84
Bolwarra (NSW)	1	859
Bolwarra Heights	0	227
Bolwarra Heights	1	2624
Bom Bom	1	3
Bomaderry	0	827
Bomaderry	1	5275
Bombah Point	1	8
Bombala	0	106
Bombala	1	1166
Bombay	0	14
Bombay	1	97
Bombira	0	18
Bombira	1	302
Bombo	0	13
Bombo	1	86
Bombowlee	0	19
Bombowlee	1	244
Bombowlee Creek	1	46
Bomen	1	25
Bomera	0	13
Bomera	1	22
Bonalbo	0	46
Bonalbo	1	276
Bondi	0	4375
Bondi	1	4476
Bondi Beach	0	4636
Bondi Beach	1	5287
Bondi Junction	0	4313
Bondi Junction	1	3838
Bonnells Bay	0	459
Bonnells Bay	1	2963
Bonnet Bay	0	406
Bonnet Bay	1	1790
Bonny Hills	0	273
Bonny Hills	1	2553
Bonnyrigg	0	4673
Bonnyrigg	1	3554
Bonnyrigg Heights	0	3700
Bonnyrigg Heights	1	3351
Bonshaw (NSW)	0	12
Bonshaw (NSW)	1	108
Bonville	0	296
Bonville	1	2135
Booerie Creek	0	15
Booerie Creek	1	114
Book Book	0	3
Book Book	1	71
Booker Bay	0	197
Booker Bay	1	1012
Bookham	0	12
Bookham	1	134
Bookookoorara	0	3
Bookookoorara	1	22
Boolambayte	0	15
Boolambayte	1	70
Boolaroo	0	95
Boolaroo	1	910
Boolcarroll	1	13
Booligal	0	3
Booligal	1	81
Boomanoomana	0	5
Boomanoomana	1	72
Boomerang Beach	0	27
Boomerang Beach	1	236
Boomey	0	3
Boomey	1	59
Boomi	0	15
Boomi	1	165
Boomi Creek	1	12
Boona Mount	1	18
Boonal	1	33
Boonoo Boonoo	1	16
Boorabee Park	0	7
Boorabee Park	1	81
Booragul	0	99
Booragul	1	1110
Booral (NSW)	0	38
Booral (NSW)	1	338
Boorga	1	14
Boorganna	0	5
Boorganna	1	17
Boorolong	0	3
Boorolong	1	79
Boorook	0	9
Boorook	1	18
Boorooma	0	173
Boorooma	1	649
Booroorban	0	8
Booroorban	1	32
Boorowa	0	95
Boorowa	1	1412
Bootawa	0	17
Bootawa	1	125
Booyong	0	6
Booyong	1	70
Bora Ridge	0	6
Bora Ridge	1	89
Borah Creek	1	30
Borambola	0	3
Borambola	1	98
Boree	0	4
Boree	1	85
Boree Creek	0	6
Boree Creek	1	180
Borenore	0	28
Borenore	1	394
Boro	0	5
Boro	1	70
Bossley Park	0	7346
Bossley Park	1	6628
Bostobrick	0	16
Bostobrick	1	115
Botany	0	3299
Botany	1	6825
Botobolar	1	74
Bottle Creek	1	22
Bourbah	1	34
Bourke	0	79
Bourke	1	1470
Bourkelands	0	302
Bourkelands	1	2439
Bournda	0	18
Bournda	1	107
Bournewood	0	3
Bournewood	1	45
Bow Bowing	0	581
Bow Bowing	1	975
Bowan Park	0	14
Bowan Park	1	102
Bowen Mountain	0	206
Bowen Mountain	1	1286
Bowenfels	0	166
Bowenfels	1	1605
Bowling Alley Point	0	3
Bowling Alley Point	1	27
Bowman	0	19
Bowman	1	101
Bowman Farm	0	5
Bowman Farm	1	36
Bowmans Creek	1	8
Bowna	0	4
Bowna	1	95
Bowning	0	55
Bowning	1	458
Bowral	0	1978
Bowral	1	7705
Bowraville	0	86
Bowraville	1	937
Box Hill (NSW)	0	165
Box Hill (NSW)	1	690
Box Ridge	1	40
Boxers Creek	0	29
Boxers Creek	1	184
Boydtown	0	9
Boydtown	1	51
Bradbury (NSW)	0	1975
Bradbury (NSW)	1	6277
Braefield	0	3
Braefield	1	56
Braemar	0	65
Braemar	1	358
Braemar Bay	0	4
Braemar Bay	1	16
Braidwood	0	196
Braidwood	1	1285
Brandy Hill	0	54
Brandy Hill	1	581
Branxton	0	144
Branxton	1	1723
Braunstone	0	10
Braunstone	1	252
Brawboy	1	18
Bray Park (NSW)	0	77
Bray Park (NSW)	1	654
Brays Creek	0	3
Brays Creek	1	50
Brayton	0	24
Brayton	1	122
Breadalbane (NSW)	0	11
Breadalbane (NSW)	1	71
Breakfast Creek	1	38
Breakfast Point	0	1665
Breakfast Point	1	2258
Bream Beach	1	9
Bredbo	0	32
Bredbo	1	276
Breelong	1	52
Breeza	0	9
Breeza	1	138
Bretti	1	21
Brewarrina	0	26
Brewarrina	1	993
Brewongle	0	16
Brewongle	1	96
Briarbrook	1	10
Bribbaree	0	3
Bribbaree	1	128
Bridgman	0	4
Bridgman	1	187
Brierfield	0	59
Brierfield	1	253
Brighton-le-Sands	0	3345
Brighton-le-Sands	1	4119
Brightwaters	0	114
Brightwaters	1	750
Brimbin	0	6
Brimbin	1	48
Brindabella	0	5
Brindabella	1	14
Bringelly	0	529
Bringelly	1	1814
Bringenbrong	0	3
Bringenbrong	1	42
Brisbane Grove	0	19
Brisbane Grove	1	109
Broadmeadow	0	238
Broadmeadow	1	1300
Broadwater (Bega Valley - NSW)	0	19
Broadwater (Bega Valley - NSW)	1	92
Broadwater (Richmond Valley - NSW)	0	45
Broadwater (Richmond Valley - NSW)	1	542
Broadway	0	4
Broadway	1	31
Brobenah	1	15
Brocklehurst	0	12
Brocklehurst	1	305
Brocklesby	0	7
Brocklesby	1	159
Brockley	1	42
Brodies Plains	0	3
Brodies Plains	1	43
Brogans Creek	0	3
Brogans Creek	1	9
Brogers Creek	0	9
Brogers Creek	1	23
Brogo	0	84
Brogo	1	382
Broke (NSW)	0	56
Broke (NSW)	1	426
Broken Head	0	44
Broken Head	1	206
Broken Hill	0	805
Broken Hill	1	15457
Brombin	0	6
Brombin	1	98
Bronte	0	2000
Bronte	1	4207
Brookdale (NSW)	1	24
Brookfield (NSW)	0	14
Brookfield (NSW)	1	157
Brooklana	0	3
Brooklana	1	34
Brooklet	0	35
Brooklet	1	198
Brooklyn (NSW)	0	143
Brooklyn (NSW)	1	536
Brookong	1	3
Brookvale	0	1312
Brookvale	1	1699
Brooman	1	25
Brooms Head	0	19
Brooms Head	1	188
Broughams Gate	1	19
Broughton (NSW)	0	8
Broughton (NSW)	1	79
Broughton Vale	0	26
Broughton Vale	1	124
Broughton Village	0	10
Broughton Village	1	74
Broulee	0	208
Broulee	1	1373
Brownlow Hill	0	136
Brownlow Hill	1	274
Browns Creek	0	11
Browns Creek	1	87
Browns Mountain	0	3
Browns Mountain	1	13
Brownsville	0	109
Brownsville	1	382
Brucedale	0	4
Brucedale	1	157
Bruie Plains	1	42
Bruinbun	1	23
Brumby Plains	1	3
Brundee	0	6
Brundee	1	39
Brungle	1	101
Brungle Creek	1	25
Brunkerville	0	22
Brunkerville	1	161
Brunswick Heads	0	270
Brunswick Heads	1	1279
Brushgrove	0	9
Brushgrove	1	172
Brushy Creek	1	16
Bucca (NSW)	0	56
Bucca (NSW)	1	447
Bucca Wauka	0	7
Bucca Wauka	1	68
Buccarumbi	0	3
Buccarumbi	1	11
Buchanan (NSW)	0	10
Buchanan (NSW)	1	164
Buckajo	0	13
Buckajo	1	262
Buckaroo	0	15
Buckaroo	1	107
Buckenbowra	0	3
Buckenbowra	1	12
Buckenderra	0	3
Buckenderra	1	14
Buckendoon	1	31
Bucketty	0	40
Bucketty	1	121
Buckra Bendinni	0	3
Buckra Bendinni	1	70
Budawang	0	4
Budawang	1	12
Buddabadah	1	44
Budden	1	14
Budgee Budgee (NSW)	0	4
Budgee Budgee (NSW)	1	176
Budgewoi	0	336
Budgewoi	1	2777
Budgong	0	15
Budgong	1	50
Buff Point	0	382
Buff Point	1	2842
Bugaldie	0	12
Bugaldie	1	112
Bukkulla	1	125
Bulahdelah	0	119
Bulahdelah	1	1173
Bulga (NSW)	0	27
Bulga (NSW)	1	273
Bulga Forest	1	7
Bulgary	1	10
Bulla (NSW)	1	4
Bulla Creek	1	56
Bullaburra	0	194
Bullaburra	1	962
Bullagreen	1	43
Bullarah	0	3
Bullarah	1	79
Bullatale	1	38
Bullawa Creek	0	5
Bullawa Creek	1	84
Bulldog	1	18
Bulli	0	863
Bulli	1	4940
Bulliac	0	4
Bulliac	1	40
Bullio	0	10
Bullio	1	58
Bulyeroi	1	17
Bumbaldry	0	6
Bumbaldry	1	79
Bumbalong	0	5
Bumbalong	1	12
Bundabah	0	25
Bundabah	1	80
Bundagen	0	32
Bundagen	1	87
Bundanoon (NSW)	0	504
Bundanoon (NSW)	1	2082
Bundarra	0	30
Bundarra	1	579
Bundeena	0	394
Bundeena	1	1447
Bundella	0	3
Bundella	1	58
Bundemar	1	34
Bundewallah	0	7
Bundewallah	1	27
Bundook	0	8
Bundook	1	81
Bundure	1	5
Bungaba	0	12
Bungaba	1	62
Bungalora	0	6
Bungalora	1	56
Bungarby	0	16
Bungarby	1	57
Bungarribee	0	1621
Bungarribee	1	948
Bungawalbin	0	16
Bungawalbin	1	86
Bungendore	0	513
Bungendore	1	3342
Bungonia	0	56
Bungonia	1	277
Bungowannah	0	11
Bungowannah	1	141
Bungwahl	0	26
Bungwahl	1	182
Bunnaloo	1	93
Bunnan	0	5
Bunnan	1	92
Bunyah	0	17
Bunyah	1	117
Bunyan	0	18
Bunyan	1	119
Burcher	0	3
Burcher	1	62
Bureen	0	9
Bureen	1	53
Burnt Bridge	0	7
Burnt Bridge	1	148
Burnt Yards	0	3
Burnt Yards	1	29
Buronga	0	93
Buronga	1	1000
Burra (Queanbeyan-Palerang Regional - NSW)	0	105
Burra (Queanbeyan-Palerang Regional - NSW)	1	608
Burra (Snowy Valleys - NSW)	0	5
Burra (Snowy Valleys - NSW)	1	48
Burra Creek	0	7
Burra Creek	1	71
Burraboi	1	57
Burradoo	0	498
Burradoo	1	1945
Burraga	0	5
Burraga	1	77
Burragate	0	18
Burragate	1	75
Burrandana	1	22
Burraneer	0	476
Burraneer	1	2983
Burrangong	0	19
Burrangong	1	199
