SSC_NAME16	BornAust	persons
Aarons Pass	0	3
Aarons Pass	1	15
Abbotsbury	0	1466
Abbotsbury	1	2655
Abbotsford (NSW)	0	1574
Abbotsford (NSW)	1	3415
Abercrombie	0	86
Abercrombie	1	978
Abercrombie River	0	3
Abercrombie River	1	19
Aberdare	0	117
Aberdare	1	2179
Aberdeen (NSW)	0	94
Aberdeen (NSW)	1	1797
Aberfoyle	1	93
Aberglasslyn	0	473
Aberglasslyn	1	4738
Abermain	0	99
Abermain	1	2087
Abernethy	0	9
Abernethy	1	255
Abington (NSW)	1	12
Acacia Creek	0	3
Acacia Creek	1	34
Acacia Gardens	0	1569
Acacia Gardens	1	2108
Adaminaby	0	54
Adaminaby	1	239
Adamstown	0	713
Adamstown	1	5131
Adamstown Heights	0	691
Adamstown Heights	1	4454
Adelong	0	58
Adelong	1	805
Adjungbilly	0	3
Adjungbilly	1	75
Afterlee	1	41
Agnes Banks	0	97
Agnes Banks	1	756
Airds	0	489
Airds	1	2070
Akolele	0	12
Akolele	1	122
Albert	1	66
Albion Park	0	1726
Albion Park	1	11027
Albion Park Rail	0	997
Albion Park Rail	1	5468
Albury	0	575
Albury	1	3793
Aldavilla	0	86
Aldavilla	1	1103
Alectown	0	12
Alectown	1	143
Alexandria	0	2739
Alexandria	1	4854
Alfords Point	0	688
Alfords Point	1	2346
Alfredtown	1	88
Alice	1	8
Alison (Central Coast - NSW)	0	8
Alison (Central Coast - NSW)	1	76
Alison (Dungog - NSW)	0	3
Alison (Dungog - NSW)	1	62
Allambie Heights	0	1835
Allambie Heights	1	4967
Allandale (NSW)	0	3
Allandale (NSW)	1	61
Allawah	0	3490
Allawah	1	1969
Alleena	0	4
Alleena	1	40
Allgomera	0	14
Allgomera	1	106
Allworth	0	10
Allworth	1	139
Allynbrook	0	6
Allynbrook	1	59
Alma Park	1	45
Alpine	0	20
Alpine	1	101
Alstonvale	0	55
Alstonvale	1	360
Alstonville	0	604
Alstonville	1	4811
Alumy Creek	0	7
Alumy Creek	1	77
Amaroo (NSW)	1	40
Ambarvale	0	1819
Ambarvale	1	4925
Amosfield	0	5
Amosfield	1	24
Anabranch North	1	9
Anabranch South	1	34
Anambah	1	21
Ando	1	64
Anembo	0	6
Anembo	1	46
Angledale	0	14
Angledale	1	126
Angledool	1	36
Anglers Reach	0	25
Anglers Reach	1	43
Angourie	0	27
Angourie	1	168
Anna Bay	0	458
Anna Bay	1	2972
Annandale (NSW)	0	2454
Annandale (NSW)	1	6263
Annangrove	0	221
Annangrove	1	1118
Appin (NSW)	0	306
Appin (NSW)	1	2183
Apple Tree Flat	1	29
Appleby	1	38
Appletree Flat	1	15
Apsley (NSW)	0	7
Apsley (NSW)	1	97
Arable	1	16
Arakoon	0	53
Arakoon	1	339
Araluen (NSW)	0	22
Araluen (NSW)	1	116
Aratula (NSW)	1	9
Arcadia (NSW)	0	234
Arcadia (NSW)	1	1102
Arcadia Vale	0	142
Arcadia Vale	1	1177
Ardglen	0	3
Ardglen	1	47
Arding	0	14
Arding	1	185
Ardlethan	0	33
Ardlethan	1	404
Argalong	1	29
Argenton	0	118
Argenton	1	1154
Argents Hill	0	23
Argents Hill	1	165
Argoon (NSW)	1	13
Ariah Park	0	28
Ariah Park	1	424
Arkell	0	3
Arkell	1	35
Arkstone	0	3
Arkstone	1	18
Armatree	0	9
Armatree	1	130
Armidale	0	3269
Armidale	1	18245
Arncliffe	0	5008
Arncliffe	1	4896
Arndell Park	0	12
Arndell Park	1	5
Arrawarra	0	79
Arrawarra	1	365
Arrawarra Headland	0	79
Arrawarra Headland	1	438
Artarmon	0	4575
Artarmon	1	4430
Arthurville	1	32
Arumpo	0	3
Arumpo	1	24
Ashbury	0	1005
Ashbury	1	2175
Ashby (NSW)	0	47
Ashby (NSW)	1	252
Ashby Heights	0	20
Ashby Heights	1	190
Ashby Island	1	8
Ashcroft	0	1223
Ashcroft	1	1905
Ashfield (NSW)	0	13065
Ashfield (NSW)	1	9221
Ashford (NSW)	0	41
Ashford (NSW)	1	523
Ashley	0	18
Ashley	1	318
Ashmont	0	219
Ashmont	1	3240
Ashtonfield	0	499
Ashtonfield	1	3917
Asquith	0	1125
Asquith	1	2126
Atholwood	0	13
Atholwood	1	65
Attunga	0	14
Attunga	1	503
Auburn (NSW)	0	24118
Auburn (NSW)	1	11028
Auburn Vale	0	3
Auburn Vale	1	111
Austinmer	0	380
Austinmer	1	2024
Austral	0	822
Austral	1	1819
Austral Eden	0	10
Austral Eden	1	125
Avalon Beach	0	2199
Avalon Beach	1	7241
Avisford	0	3
Avisford	1	24
Avoca (NSW)	0	13
Avoca (NSW)	1	181
Avoca Beach	0	856
Avoca Beach	1	3509
Avondale (NSW)	0	262
Avondale (NSW)	1	1292
Avonside	0	18
Avonside	1	93
Awaba	0	30
Awaba	1	353
Aylmerton	0	28
Aylmerton	1	160
Baan Baa	0	4
Baan Baa	1	126
Babyl Creek	1	9
Back Creek (Bland - NSW)	1	42
Back Creek (Gwydir - NSW)	1	9
Back Creek (Mid-Coast - NSW)	1	17
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	5
Back Creek (Tenterfield - NSW)	1	14
Back Creek (Tweed - NSW)	1	10
Back Forest	0	9
Back Forest	1	65
Backmede	0	10
Backmede	1	123
Backwater	0	3
Backwater	1	11
Badgerys Creek	0	60
Badgerys Creek	1	146
Badja	0	6
Baerami	0	4
Baerami	1	52
Baerami Creek	1	30
Bagnoo	1	44
Bago	1	30
Bagotville	0	3
Bagotville	1	34
Bakers Creek (Mid-Coast - NSW)	0	7
Bakers Creek (Mid-Coast - NSW)	1	28
Bakers Creek (Nambucca - NSW)	0	3
Bakers Creek (Nambucca - NSW)	1	7
Bakers Creek (Uralla - NSW)	0	3
Bakers Creek (Uralla - NSW)	1	10
Bakers Swamp	0	9
Bakers Swamp	1	31
Balaclava (NSW)	0	78
Balaclava (NSW)	1	352
Balala	0	20
Balala	1	93
Balcolyn	0	104
Balcolyn	1	803
Bald Blair	0	3
Bald Blair	1	37
Bald Hills (NSW)	0	29
Bald Hills (NSW)	1	226
Bald Nob	1	9
Bald Ridge	1	4
Baldersleigh	0	3
Baldersleigh	1	39
Baldry	0	4
Baldry	1	88
Balfours Peak	0	4
Balfours Peak	1	29
Balgowlah	0	2467
Balgowlah	1	5022
Balgowlah Heights	0	985
Balgowlah Heights	1	2235
Balgownie	0	1144
Balgownie	1	4128
Balickera	0	3
Balickera	1	21
Balladoran	1	96
Ballalaba	1	19
Balldale	0	6
Balldale	1	121
Ballengarra	0	3
Ballengarra	1	78
Ballimore	0	3
Ballimore	1	154
Ballina	0	950
Ballina	1	6808
Ballyroe	1	3
Balmain	0	3072
Balmain	1	6448
Balmain East	0	532
Balmain East	1	1213
Balmoral (Lake Macquarie - NSW)	0	73
Balmoral (Lake Macquarie - NSW)	1	635
Balmoral (Wingecarribee - NSW)	0	66
Balmoral (Wingecarribee - NSW)	1	341
Balranald	0	60
Balranald	1	1153
Bamarang	0	3
Bamarang	1	20
Bandon Grove	0	7
Bandon Grove	1	102
Bangadang	1	11
Bangalee (NSW)	0	88
Bangalee (NSW)	1	549
Bangalow	0	332
Bangalow	1	1486
Bangheet	1	36
Bango	0	10
Bango	1	81
Bangor (NSW)	0	921
Bangor (NSW)	1	4499
Banksia	0	1477
Banksia	1	1691
Banksmeadow	0	3
Banksmeadow	1	16
Bankstown	0	17437
Bankstown	1	11918
Bannaby	0	4
Bannaby	1	26
Bannister (NSW)	0	5
Bannister (NSW)	1	102
Banoon	0	3
Banoon	1	19
Banora Point	0	2499
Banora Point	1	12780
Banyabba	0	10
Banyabba	1	31
Bar Beach	0	179
Bar Beach	1	963
Bar Point	0	7
Bar Point	1	54
Bara	0	5
Bara	1	23
Baradine	0	28
Baradine	1	663
Barangaroo	0	66
Barangaroo	1	40
Barden Ridge	0	657
Barden Ridge	1	3573
Bardia	0	718
Bardia	1	790
Bardwell Park	0	752
Bardwell Park	1	1422
Bardwell Valley	0	804
Bardwell Valley	1	1419
Barellan	0	13
Barellan	1	457
Bargo	0	531
Bargo	1	3597
