SSC_NAME16	ModeTravelToWork	NumberModes	employed_persons
Acacia Gardens	Motorbike scooter	1	8
Acacia Gardens	Other two methods	2	13
Acacia Gardens	Taxi	1	5
Acacia Gardens	Train	1	120
Acacia Gardens	Train and two other methods	3	18
Acacia Gardens	Truck	1	13
Acacia Gardens	Walked only	1	15
Adaminaby	(Other)	1	3
Adaminaby	Car as driver	1	74
Adaminaby	Car as passenger	1	7
Adaminaby	Walked only	1	19
Adamstown			35
Adamstown	(Other)	1	12
Adamstown	Bicycle	1	52
Adamstown	Bus	1	79
Adamstown	Bus and two other methods excludes train	3	4
Adamstown	Car as driver	1	2166
Adamstown	Car as passenger	1	142
Adamstown	Motorbike scooter	1	26
Adamstown	Other two methods	2	21
Adamstown	Taxi	1	5
Adamstown	Train	1	18
Adamstown	Truck	1	12
Adamstown	Walked only	1	80
Adamstown Heights			22
Adamstown Heights	(Other)	1	9
Adamstown Heights	Bicycle	1	33
Adamstown Heights	Bus	1	37
Adamstown Heights	Car as driver	1	1772
Adamstown Heights	Car as passenger	1	112
Adamstown Heights	Motorbike scooter	1	19
Adamstown Heights	Other two methods	2	12
Adamstown Heights	Train	1	24
Adamstown Heights	Truck	1	15
Adamstown Heights	Walked only	1	59
Adelong			4
Adelong	Car as driver	1	288
Adelong	Car as passenger	1	11
Adelong	Truck	1	9
Adelong	Walked only	1	13
Adjungbilly	Car as driver	1	22
Adjungbilly	Truck	1	3
Adjungbilly	Walked only	1	4
Afterlee	Car as driver	1	11
Agnes Banks	Car as driver	1	318
Agnes Banks	Car as passenger	1	15
Agnes Banks	Train	1	8
Agnes Banks	Truck	1	16
Agnes Banks	Walked only	1	19
Airds			25
Airds	(Other)	1	8
Airds	Bus	1	29
Airds	Car as driver	1	279
Airds	Car as passenger	1	46
Airds	Motorbike scooter	1	10
Airds	Train	1	16
Airds	Train and two other methods	3	3
Airds	Truck	1	4
Airds	Walked only	1	8
Akolele	Car as driver	1	25
Albert	Car as driver	1	17
Albion Park			41
Albion Park	(Other)	1	24
Albion Park	Bicycle	1	9
Albion Park	Bus	1	30
Albion Park	Bus and two other methods excludes train	3	3
Albion Park	Car as driver	1	4789
Albion Park	Car as passenger	1	296
Albion Park	Motorbike scooter	1	20
Albion Park	Other two methods	2	34
Albion Park	Taxi	1	5
Albion Park	Train	1	54
Albion Park	Train and two other methods	3	5
Albion Park	Truck	1	65
Albion Park	Walked only	1	66
Albion Park Rail			25
Albion Park Rail	(Other)	1	20
Albion Park Rail	Bicycle	1	13
Albion Park Rail	Bus	1	18
Albion Park Rail	Car as driver	1	2116
Albion Park Rail	Car as passenger	1	149
Albion Park Rail	Motorbike scooter	1	14
Albion Park Rail	Other two methods	2	22
Albion Park Rail	Train	1	62
Albion Park Rail	Train and two other methods	3	3
Albion Park Rail	Truck	1	37
Albion Park Rail	Walked only	1	22
Albury			3
Albury	(Other)	1	12
Albury	Bicycle	1	38
Albury	Bus	1	6
Albury	Car as driver	1	1502
Albury	Car as passenger	1	88
Albury	Motorbike scooter	1	5
Albury	Other two methods	2	22
Albury	Taxi	1	9
Albury	Train	1	3
Albury	Train and two other methods	3	3
Albury	Truck	1	5
Albury	Walked only	1	227
Aldavilla	Bus	1	5
Aldavilla	Car as driver	1	229
Aldavilla	Car as passenger	1	11
Aldavilla	Truck	1	9
Aldavilla	Walked only	1	4
Alectown	Car as driver	1	39
Alectown	Truck	1	3
Alectown	Walked only	1	3
Alexandria			34
Alexandria	(Other)	1	37
Alexandria	Bicycle	1	260
Alexandria	Bus	1	288
Alexandria	Car as driver	1	1614
Alexandria	Car as passenger	1	146
Alexandria	Motorbike scooter	1	96
Alexandria	Other three methods	3	3
Alexandria	Other two methods	2	33
Alexandria	Taxi	1	33
Alexandria	Train	1	1528
Alexandria	Train and two other methods	3	37
Alexandria	Tram includes light rail	1	3
Alexandria	Truck	1	20
Alexandria	Walked only	1	536
Alfords Point			11
Alfords Point	(Other)	1	11
Alfords Point	Bus	1	11
Alfords Point	Car as driver	1	1211
Alfords Point	Car as passenger	1	77
Alfords Point	Other two methods	2	13
Alfords Point	Train	1	106
Alfords Point	Train and two other methods	3	10
Alfords Point	Truck	1	19
Alfords Point	Walked only	1	4
Alfredtown	Car as driver	1	28
Alfredtown	Car as passenger	1	4
Alfredtown	Walked only	1	8
Alison (Central Coast - NSW)	Car as driver	1	30
Alison (Central Coast - NSW)	Car as passenger	1	3
Alison (Dungog - NSW)	Car as driver	1	22
Alison (Dungog - NSW)	Car as passenger	1	3
Allambie Heights			38
Allambie Heights	(Other)	1	17
Allambie Heights	Bicycle	1	34
Allambie Heights	Bus	1	410
Allambie Heights	Bus and two other methods excludes train	3	15
Allambie Heights	Car as driver	1	1826
Allambie Heights	Car as passenger	1	113
Allambie Heights	Ferry	1	9
Allambie Heights	Motorbike scooter	1	47
Allambie Heights	Other three methods	3	3
Allambie Heights	Other two methods	2	23
Allambie Heights	Taxi	1	8
Allambie Heights	Train	1	3
Allambie Heights	Train and two other methods	3	20
Allambie Heights	Truck	1	33
Allambie Heights	Walked only	1	120
Allandale (NSW)	Car as driver	1	28
Allandale (NSW)	Walked only	1	4
Allawah			25
Allawah	(Other)	1	12
Allawah	Bicycle	1	3
Allawah	Bus	1	23
Allawah	Car as driver	1	1232
Allawah	Car as passenger	1	102
Allawah	Motorbike scooter	1	10
Allawah	Other two methods	2	9
Allawah	Taxi	1	4
Allawah	Train	1	1002
Allawah	Train and two other methods	3	14
Allawah	Truck	1	7
Allawah	Walked only	1	78
Alleena	Car as driver	1	9
Allgomera	Car as driver	1	38
Allworth	Car as driver	1	50
Allworth	Car as passenger	1	3
Allworth	Walked only	1	3
Allynbrook	Car as driver	1	14
Allynbrook	Car as passenger	1	3
Allynbrook	Truck	1	4
Alma Park	Car as driver	1	20
Alpine	Car as driver	1	50
Alpine	Car as passenger	1	6
Alstonvale			3
Alstonvale	Car as driver	1	144
Alstonvale	Car as passenger	1	14
Alstonvale	Walked only	1	4
Alstonville			19
Alstonville	(Other)	1	17
Alstonville	Bicycle	1	11
Alstonville	Bus	1	12
Alstonville	Car as driver	1	1561
Alstonville	Car as passenger	1	110
Alstonville	Motorbike scooter	1	13
Alstonville	Other two methods	2	11
Alstonville	Truck	1	15
Alstonville	Walked only	1	67
Alumy Creek			3
Alumy Creek	Car as driver	1	26
Alumy Creek	Truck	1	4
Alumy Creek	Walked only	1	3
Amaroo (NSW)	Car as driver	1	10
Amaroo (NSW)	Car as passenger	1	4
Ambarvale			34
Ambarvale	(Other)	1	13
Ambarvale	Bicycle	1	4
Ambarvale	Bus	1	54
Ambarvale	Car as driver	1	1831
Ambarvale	Car as passenger	1	192
Ambarvale	Motorbike scooter	1	15
Ambarvale	Other two methods	2	13
Ambarvale	Taxi	1	3
Ambarvale	Train	1	166
Ambarvale	Train and two other methods	3	28
Ambarvale	Truck	1	36
Ambarvale	Walked only	1	33
Amosfield	Car as driver	1	6
Anabranch South	Car as driver	1	6
Anabranch South	Walked only	1	3
Anambah	Car as driver	1	10
Ando	Car as driver	1	21
Anembo	Car as driver	1	16
Angledale			4
Angledale	Bicycle	1	3
Angledale	Car as driver	1	55
Angledool	Car as driver	1	6
Angledool	Car as passenger	1	3
Angledool	Other two methods	2	3
Anglers Reach	Car as driver	1	11
Angourie	Car as driver	1	69
Angourie	Car as passenger	1	3
Angourie	Walked only	1	4
Anna Bay			8
Anna Bay	(Other)	1	14
Anna Bay	Bicycle	1	4
Anna Bay	Bus	1	22
Anna Bay	Car as driver	1	1089
Anna Bay	Car as passenger	1	81
Anna Bay	Motorbike scooter	1	7
Anna Bay	Other two methods	2	14
Anna Bay	Truck	1	16
Anna Bay	Walked only	1	51
Annandale (NSW)			47
Annandale (NSW)	(Other)	1	39
Annandale (NSW)	Bicycle	1	199
Annandale (NSW)	Bus	1	951
Annandale (NSW)	Bus and two other methods excludes train	3	5
Annandale (NSW)	Car as driver	1	2024
Annandale (NSW)	Car as passenger	1	150
Annandale (NSW)	Motorbike scooter	1	85
Annandale (NSW)	Other three methods	3	6
Annandale (NSW)	Other two methods	2	38
Annandale (NSW)	Taxi	1	35
Annandale (NSW)	Train	1	137
Annandale (NSW)	Train and two other methods	3	29
Annandale (NSW)	Tram includes light rail	1	169
Annandale (NSW)	Truck	1	18
Annandale (NSW)	Walked only	1	380
Annangrove			7
Annangrove	(Other)	1	4
Annangrove	Bus	1	3
Annangrove	Car as driver	1	522
Annangrove	Car as passenger	1	28
Annangrove	Motorbike scooter	1	3
Annangrove	Train	1	3
Annangrove	Train and two other methods	3	3
Annangrove	Truck	1	30
Annangrove	Walked only	1	19
Appin (NSW)			14
Appin (NSW)	Bicycle	1	4
Appin (NSW)	Bus	1	6
Appin (NSW)	Car as driver	1	969
Appin (NSW)	Car as passenger	1	41
Appin (NSW)	Motorbike scooter	1	10
Appin (NSW)	Other two methods	2	4
Appin (NSW)	Train	1	26
Appin (NSW)	Train and two other methods	3	4
Appin (NSW)	Truck	1	30
Appin (NSW)	Walked only	1	22
Apple Tree Flat	Car as driver	1	12
Appleby			4
Appleby	Car as driver	1	9
Appleby	Car as passenger	1	3
Appletree Flat	Car as driver	1	3
Apsley (NSW)	Car as driver	1	36
Apsley (NSW)	Car as passenger	1	3
Apsley (NSW)	Walked only	1	3
Arable	Car as driver	1	5
Arable	Other three methods	3	3
Arakoon			3
Arakoon	Bicycle	1	3
Arakoon	Car as driver	1	100
Arakoon	Car as passenger	1	15
Arakoon	Walked only	1	7
Araluen (NSW)			6
Araluen (NSW)	Bus	1	3
Araluen (NSW)	Car as driver	1	31
Araluen (NSW)	Car as passenger	1	3
Araluen (NSW)	Walked only	1	6
Arcadia (NSW)			5
Arcadia (NSW)	(Other)	1	6
Arcadia (NSW)	Bus	1	3
Arcadia (NSW)	Car as driver	1	439
Arcadia (NSW)	Car as passenger	1	34
Arcadia (NSW)	Motorbike scooter	1	4
Arcadia (NSW)	Other two methods	2	8
Arcadia (NSW)	Train	1	14
Arcadia (NSW)	Truck	1	12
Arcadia (NSW)	Walked only	1	18
Arcadia Vale			4
Arcadia Vale	(Other)	1	5
Arcadia Vale	Bus	1	3
Arcadia Vale	Car as driver	1	436
Arcadia Vale	Car as passenger	1	30
Arcadia Vale	Other two methods	2	5
Arcadia Vale	Train	1	7
Arcadia Vale	Truck	1	7
Arcadia Vale	Walked only	1	3
Ardglen	Car as driver	1	10
Arding	Car as driver	1	53
Arding	Car as passenger	1	3
Arding	Motorbike scooter	1	3
Arding	Walked only	1	3
Ardlethan			4
Ardlethan	Car as driver	1	74
Ardlethan	Car as passenger	1	12
Ardlethan	Truck	1	3
Ardlethan	Walked only	1	19
Argalong	Car as driver	1	16
Argenton	Bus	1	4
Argenton	Car as driver	1	348
Argenton	Car as passenger	1	29
Argenton	Motorbike scooter	1	3
Argenton	Other two methods	2	4
Argenton	Train	1	3
Argenton	Truck	1	10
Argenton	Walked only	1	14
Argents Hill	Car as driver	1	40
Argents Hill	Truck	1	7
Argoon (NSW)	Car as driver	1	6
Argoon (NSW)	Walked only	1	3
Ariah Park	(Other)	1	4
Ariah Park	Car as driver	1	81
Ariah Park	Car as passenger	1	7
Ariah Park	Motorbike scooter	1	3
Ariah Park	Truck	1	4
Ariah Park	Walked only	1	31
Arkell	Car as driver	1	8
Arkell	Truck	1	3
Arkell	Walked only	1	3
Arkstone	Car as driver	1	3
Armatree	(Other)	1	3
Armatree	Car as driver	1	30
Armatree	Other two methods	2	3
Armatree	Walked only	1	3
Armidale			97
Armidale	(Other)	1	59
Armidale	Bicycle	1	109
Armidale	Bus	1	47
Armidale	Bus and two other methods excludes train	3	3
Armidale	Car as driver	1	6351
Armidale	Car as passenger	1	683
Armidale	Motorbike scooter	1	67
Armidale	Other three methods	3	3
Armidale	Other two methods	2	70
Armidale	Taxi	1	35
Armidale	Train	1	3
Armidale	Train and two other methods	3	3
Armidale	Tram includes light rail	1	3
Armidale	Truck	1	94
Armidale	Walked only	1	535
Arncliffe			59
Arncliffe	(Other)	1	37
Arncliffe	Bicycle	1	36
Arncliffe	Bus	1	75
Arncliffe	Car as driver	1	2164
Arncliffe	Car as passenger	1	221
Arncliffe	Motorbike scooter	1	24
Arncliffe	Other two methods	2	23
Arncliffe	Taxi	1	15
Arncliffe	Train	1	1424
Arncliffe	Train and two other methods	3	32
Arncliffe	Truck	1	51
Arncliffe	Walked only	1	107
Arndell Park	Car as driver	1	6
Arndell Park	Car as passenger	1	4
Arndell Park	Truck	1	4
Arndell Park	Walked only	1	3
Arrawarra	(Other)	1	3
Arrawarra	Car as driver	1	50
Arrawarra	Car as passenger	1	8
Arrawarra	Walked only	1	6
Arrawarra Headland			4
Arrawarra Headland	(Other)	1	4
Arrawarra Headland	Car as driver	1	158
Arrawarra Headland	Car as passenger	1	18
Arrawarra Headland	Motorbike scooter	1	3
Arrawarra Headland	Walked only	1	3
Artarmon			28
Artarmon	(Other)	1	28
Artarmon	Bicycle	1	37
Artarmon	Bus	1	133
Artarmon	Car as driver	1	1481
Artarmon	Car as passenger	1	131
Artarmon	Motorbike scooter	1	27
Artarmon	Other two methods	2	20
Artarmon	Taxi	1	8
Artarmon	Train	1	2047
Artarmon	Train and two other methods	3	24
Artarmon	Tram includes light rail	1	4
Artarmon	Truck	1	3
Artarmon	Walked only	1	278
Arthurville	Car as driver	1	19
Arumpo	Car as driver	1	16
Arumpo	Walked only	1	3
Ashbury			9
Ashbury	(Other)	1	6
Ashbury	Bicycle	1	19
Ashbury	Bus	1	63
Ashbury	Car as driver	1	876
Ashbury	Car as passenger	1	64
Ashbury	Motorbike scooter	1	16
Ashbury	Other two methods	2	7
Ashbury	Train	1	195
Ashbury	Train and two other methods	3	9
Ashbury	Tram includes light rail	1	3
Ashbury	Truck	1	12
Ashbury	Walked only	1	33
Ashby (NSW)	Car as driver	1	77
Ashby (NSW)	Car as passenger	1	3
Ashby (NSW)	Truck	1	7
Ashby (NSW)	Walked only	1	3
Ashby Heights			3
Ashby Heights	Car as driver	1	53
Ashby Heights	Truck	1	3
Ashby Island	Car as driver	1	3
Ashcroft			23
Ashcroft	(Other)	1	7
Ashcroft	Bicycle	1	3
Ashcroft	Bus	1	20
Ashcroft	Car as driver	1	575
Ashcroft	Car as passenger	1	68
Ashcroft	Train	1	37
Ashcroft	Train and two other methods	3	5
Ashcroft	Truck	1	12
Ashcroft	Walked only	1	9
Ashfield (NSW)			93
Ashfield (NSW)	(Other)	1	59
Ashfield (NSW)	Bicycle	1	100
Ashfield (NSW)	Bus	1	447
Ashfield (NSW)	Car as driver	1	3975
Ashfield (NSW)	Car as passenger	1	338
Ashfield (NSW)	Motorbike scooter	1	94
Ashfield (NSW)	Other two methods	2	56
Ashfield (NSW)	Taxi	1	27
Ashfield (NSW)	Train	1	4119
Ashfield (NSW)	Train and two other methods	3	77
Ashfield (NSW)	Tram includes light rail	1	35
Ashfield (NSW)	Truck	1	41
Ashfield (NSW)	Walked only	1	543
Ashford (NSW)			3
Ashford (NSW)	(Other)	1	6
Ashford (NSW)	Bus	1	4
Ashford (NSW)	Car as driver	1	103
Ashford (NSW)	Car as passenger	1	8
Ashford (NSW)	Walked only	1	22
Ashley			4
Ashley	Car as driver	1	116
Ashley	Car as passenger	1	6
Ashley	Truck	1	10
Ashley	Walked only	1	5
Ashmont			28
Ashmont	(Other)	1	3
Ashmont	Bicycle	1	6
Ashmont	Bus	1	11
Ashmont	Car as driver	1	951
Ashmont	Car as passenger	1	108
Ashmont	Motorbike scooter	1	11
Ashmont	Other two methods	2	6
Ashmont	Taxi	1	3
Ashmont	Truck	1	8
Ashmont	Walked only	1	35
Ashtonfield			10
Ashtonfield	(Other)	1	7
Ashtonfield	Bicycle	1	3
Ashtonfield	Bus	1	16
Ashtonfield	Car as driver	1	1700
Ashtonfield	Car as passenger	1	107
Ashtonfield	Motorbike scooter	1	5
Ashtonfield	Other two methods	2	18
Ashtonfield	Taxi	1	3
Ashtonfield	Train	1	8
Ashtonfield	Train and two other methods	3	5
Ashtonfield	Truck	1	8
Ashtonfield	Walked only	1	37
Asquith			5
Asquith	(Other)	1	9
Asquith	Bicycle	1	8
Asquith	Bus	1	9
Asquith	Car as driver	1	752
Asquith	Car as passenger	1	56
Asquith	Motorbike scooter	1	5
Asquith	Other two methods	2	10
Asquith	Train	1	399
Asquith	Train and two other methods	3	15
Asquith	Truck	1	11
Asquith	Walked only	1	44
Atholwood	Car as driver	1	17
Attunga			5
Attunga	Bus	1	4
Attunga	Car as driver	1	189
Attunga	Car as passenger	1	9
Attunga	Motorbike scooter	1	5
Attunga	Truck	1	8
Attunga	Walked only	1	14
Auburn (NSW)			242
Auburn (NSW)	(Other)	1	81
Auburn (NSW)	Bicycle	1	32
Auburn (NSW)	Bus	1	144
Auburn (NSW)	Bus and two other methods excludes train	3	5
Auburn (NSW)	Car as driver	1	6772
Auburn (NSW)	Car as passenger	1	765
Auburn (NSW)	Ferry	1	4
Auburn (NSW)	Motorbike scooter	1	32
Auburn (NSW)	Other two methods	2	94
Auburn (NSW)	Taxi	1	55
Auburn (NSW)	Train	1	3243
Auburn (NSW)	Train and two other methods	3	117
Auburn (NSW)	Tram includes light rail	1	16
Auburn (NSW)	Truck	1	121
Auburn (NSW)	Walked only	1	422
Auburn Vale			3
Auburn Vale	Car as driver	1	42
Austinmer			3
Austinmer	(Other)	1	8
Austinmer	Bicycle	1	11
Austinmer	Bus	1	14
Austinmer	Car as driver	1	740
Austinmer	Car as passenger	1	42
Austinmer	Motorbike scooter	1	7
Austinmer	Other two methods	2	8
Austinmer	Train	1	122
Austinmer	Train and two other methods	3	6
Austinmer	Truck	1	3
Austinmer	Walked only	1	33
Austral			29
Austral	(Other)	1	14
Austral	Bus	1	5
Austral	Car as driver	1	718
Austral	Car as passenger	1	49
Austral	Motorbike scooter	1	4
Austral	Other two methods	2	10
Austral	Train	1	48
Austral	Truck	1	74
Austral	Walked only	1	45
Austral Eden			3
Austral Eden	Car as driver	1	47
Austral Eden	Truck	1	4
Avalon Beach			45
Avalon Beach	(Other)	1	27
Avalon Beach	Bicycle	1	35
Avalon Beach	Bus	1	256
Avalon Beach	Bus and two other methods excludes train	3	3
Avalon Beach	Car as driver	1	2988
Avalon Beach	Car as passenger	1	162
Avalon Beach	Ferry	1	3
Avalon Beach	Motorbike scooter	1	46
Avalon Beach	Other three methods	3	4
Avalon Beach	Other two methods	2	43
Avalon Beach	Taxi	1	7
Avalon Beach	Train	1	12
Avalon Beach	Train and two other methods	3	10
Avalon Beach	Truck	1	64
Avalon Beach	Walked only	1	191
Avisford	Car as driver	1	6
Avoca (NSW)			4
Avoca (NSW)	Car as driver	1	58
Avoca (NSW)	Truck	1	3
Avoca (NSW)	Walked only	1	11
Avoca Beach			19
Avoca Beach	(Other)	1	15
Avoca Beach	Bicycle	1	5
Avoca Beach	Bus	1	9
Avoca Beach	Car as driver	1	1438
Avoca Beach	Car as passenger	1	77
Avoca Beach	Ferry	1	6
Avoca Beach	Motorbike scooter	1	10
Avoca Beach	Other three methods	3	3
Avoca Beach	Other two methods	2	16
Avoca Beach	Train	1	44
Avoca Beach	Train and two other methods	3	15
Avoca Beach	Truck	1	21
Avoca Beach	Walked only	1	21
Avondale (NSW)			10
Avondale (NSW)	(Other)	1	3
Avondale (NSW)	Bicycle	1	3
Avondale (NSW)	Bus	1	5
Avondale (NSW)	Car as driver	1	536
Avondale (NSW)	Car as passenger	1	37
Avondale (NSW)	Other two methods	2	3
Avondale (NSW)	Train	1	10
Avondale (NSW)	Truck	1	6
Avondale (NSW)	Walked only	1	6
Avonside	Car as driver	1	38
Awaba			5
Awaba	(Other)	1	3
Awaba	Car as driver	1	138
Awaba	Car as passenger	1	7
Awaba	Train and two other methods	3	3
Awaba	Walked only	1	3
Aylmerton	Car as driver	1	68
Aylmerton	Car as passenger	1	13
Aylmerton	Other two methods	2	3
Aylmerton	Truck	1	3
Aylmerton	Walked only	1	3
Baan Baa	Car as driver	1	38
Baan Baa	Truck	1	8
Baan Baa	Walked only	1	8
Babyl Creek	Car as driver	1	5
Back Creek (Bland - NSW)	Car as driver	1	13
Back Creek (Gwydir - NSW)	Car as driver	1	3
Back Creek (Gwydir - NSW)	Truck	1	3
Back Creek (Mid-Coast - NSW)	Car as driver	1	3
Back Creek (Mid-Coast - NSW)	Walked only	1	3
Back Creek (Queanbeyan-Palerang Regional - NSW)	Car as driver	1	3
Back Creek (Tenterfield - NSW)	Car as driver	1	3
Back Creek (Tweed - NSW)	Car as driver	1	5
Back Forest	Car as driver	1	24
Backmede			3
Backmede	Car as driver	1	41
Backmede	Car as passenger	1	3
Backwater	Car as driver	1	3
Badgerys Creek	Car as driver	1	41
Badgerys Creek	Train	1	3
Badgerys Creek	Truck	1	3
Badgerys Creek	Walked only	1	7
Baerami	Car as driver	1	18
Baerami	Other two methods	2	3
Baerami Creek	Car as driver	1	8
Bagnoo	Car as driver	1	13
Bago	Car as driver	1	14
Bagotville	Car as driver	1	12
Bagotville	Car as passenger	1	3
Bagotville	Truck	1	3
Bakers Creek (Mid-Coast - NSW)	Car as driver	1	9
Bakers Creek (Mid-Coast - NSW)	Truck	1	3
Bakers Creek (Nambucca - NSW)	Walked only	1	3
Bakers Creek (Uralla - NSW)	Car as driver	1	6
Bakers Swamp	Car as driver	1	11
Balaclava (NSW)			6
Balaclava (NSW)	(Other)	1	3
Balaclava (NSW)	Car as driver	1	157
Balaclava (NSW)	Car as passenger	1	10
Balaclava (NSW)	Other two methods	2	4
Balaclava (NSW)	Truck	1	7
Balaclava (NSW)	Walked only	1	5
Balala			5
Balala	(Other)	1	3
Balala	Car as driver	1	32
Balcolyn			3
Balcolyn	(Other)	1	3
Balcolyn	Car as driver	1	287
Balcolyn	Car as passenger	1	9
Balcolyn	Train	1	5
Balcolyn	Truck	1	5
Balcolyn	Walked only	1	3
Bald Blair	Car as driver	1	10
Bald Blair	Motorbike scooter	1	3
Bald Blair	Walked only	1	3
Bald Hills (NSW)	Car as driver	1	81
Bald Hills (NSW)	Car as passenger	1	3
Bald Hills (NSW)	Truck	1	3
Bald Ridge	Car as driver	1	3
Baldersleigh	Car as driver	1	20
Baldersleigh	Truck	1	3
Baldry	Car as driver	1	24
Baldry	Walked only	1	3
Balfours Peak	Car as driver	1	12
Balgowlah			36
Balgowlah	(Other)	1	31
Balgowlah	Bicycle	1	63
Balgowlah	Bus	1	783
Balgowlah	Bus and two other methods excludes train	3	10
Balgowlah	Car as driver	1	1788
Balgowlah	Car as passenger	1	112
Balgowlah	Ferry	1	65
Balgowlah	Motorbike scooter	1	75
Balgowlah	Other two methods	2	46
Balgowlah	Taxi	1	7
Balgowlah	Train	1	8
Balgowlah	Train and two other methods	3	39
Balgowlah	Truck	1	14
Balgowlah	Walked only	1	163
Balgowlah Heights			10
Balgowlah Heights	(Other)	1	17
Balgowlah Heights	Bicycle	1	23
Balgowlah Heights	Bus	1	186
Balgowlah Heights	Bus and two other methods excludes train	3	3
Balgowlah Heights	Car as driver	1	751
Balgowlah Heights	Car as passenger	1	59
Balgowlah Heights	Ferry	1	34
Balgowlah Heights	Motorbike scooter	1	18
Balgowlah Heights	Other three methods	3	3
Balgowlah Heights	Other two methods	2	32
Balgowlah Heights	Taxi	1	3
Balgowlah Heights	Train	1	4
Balgowlah Heights	Train and two other methods	3	16
Balgowlah Heights	Truck	1	10
Balgowlah Heights	Walked only	1	23
Balgownie			18
Balgownie	(Other)	1	16
Balgownie	Bicycle	1	14
Balgownie	Bus	1	27
Balgownie	Car as driver	1	1754
Balgownie	Car as passenger	1	164
Balgownie	Motorbike scooter	1	4
Balgownie	Other two methods	2	7
Balgownie	Taxi	1	3
Balgownie	Train	1	46
Balgownie	Train and two other methods	3	3
Balgownie	Truck	1	15
Balgownie	Walked only	1	27
Balickera	Car as driver	1	10
Balladoran	Bus	1	3
Balladoran	Car as driver	1	37
Balladoran	Walked only	1	3
Balldale	Car as driver	1	38
Ballengarra	(Other)	1	3
Ballengarra	Car as driver	1	26
Ballengarra	Car as passenger	1	3
Ballimore	Car as driver	1	47
Ballimore	Truck	1	3
Ballina			40
Ballina	(Other)	1	12
Ballina	Bicycle	1	92
Ballina	Bus	1	26
Ballina	Car as driver	1	1835
Ballina	Car as passenger	1	157
Ballina	Motorbike scooter	1	22
Ballina	Other two methods	2	18
Ballina	Train	1	4
Ballina	Truck	1	38
Ballina	Walked only	1	169
Ballyroe	Car as driver	1	4
Balmain			33
Balmain	(Other)	1	34
Balmain	Bicycle	1	139
Balmain	Bus	1	1159
