SSC_NAME16	ModeTravelToWork	NumberModes	employed_persons
Aarons Pass	Car as driver	1	7
Abbotsbury			25
Abbotsbury	(Other)	1	6
Abbotsbury	Bicycle	1	3
Abbotsbury	Bus	1	40
Abbotsbury	Car as driver	1	1618
Abbotsbury	Car as passenger	1	120
Abbotsbury	Motorbike scooter	1	7
Abbotsbury	Other two methods	2	21
Abbotsbury	Train	1	70
Abbotsbury	Train and two other methods	3	19
Abbotsbury	Truck	1	44
Abbotsbury	Walked only	1	7
Abbotsford (NSW)			10
Abbotsford (NSW)	(Other)	1	24
Abbotsford (NSW)	Bicycle	1	27
Abbotsford (NSW)	Bus	1	335
Abbotsford (NSW)	Bus and two other methods excludes train	3	3
Abbotsford (NSW)	Car as driver	1	1475
Abbotsford (NSW)	Car as passenger	1	85
Abbotsford (NSW)	Ferry	1	139
Abbotsford (NSW)	Motorbike scooter	1	18
Abbotsford (NSW)	Other two methods	2	15
Abbotsford (NSW)	Train	1	9
Abbotsford (NSW)	Train and two other methods	3	13
Abbotsford (NSW)	Tram includes light rail	1	3
Abbotsford (NSW)	Truck	1	11
Abbotsford (NSW)	Walked only	1	35
Abercrombie			3
Abercrombie	(Other)	1	3
Abercrombie	Bicycle	1	3
Abercrombie	Car as driver	1	435
Abercrombie	Car as passenger	1	29
Abercrombie	Motorbike scooter	1	6
Abercrombie	Other two methods	2	8
Abercrombie	Walked only	1	3
Abercrombie River	Car as driver	1	5
Abercrombie River	Walked only	1	3
Aberdare			11
Aberdare	(Other)	1	3
Aberdare	Bicycle	1	3
Aberdare	Bus	1	3
Aberdare	Car as driver	1	676
Aberdare	Car as passenger	1	43
Aberdare	Other two methods	2	8
Aberdare	Taxi	1	3
Aberdare	Truck	1	10
Aberdare	Walked only	1	14
Aberdeen (NSW)			7
Aberdeen (NSW)	Bus	1	3
Aberdeen (NSW)	Car as driver	1	642
Aberdeen (NSW)	Car as passenger	1	46
Aberdeen (NSW)	Motorbike scooter	1	3
Aberdeen (NSW)	Other two methods	2	4
Aberdeen (NSW)	Truck	1	10
Aberdeen (NSW)	Walked only	1	28
Aberfoyle	(Other)	1	5
Aberfoyle	Car as driver	1	22
Aberfoyle	Walked only	1	7
Aberglasslyn			20
Aberglasslyn	(Other)	1	13
Aberglasslyn	Bicycle	1	3
Aberglasslyn	Bus	1	11
Aberglasslyn	Car as driver	1	2019
Aberglasslyn	Car as passenger	1	147
Aberglasslyn	Motorbike scooter	1	5
Aberglasslyn	Other two methods	2	21
Aberglasslyn	Train	1	12
Aberglasslyn	Train and two other methods	3	7
Aberglasslyn	Truck	1	21
Aberglasslyn	Walked only	1	10
Abermain			15
Abermain	Bus	1	3
Abermain	Car as driver	1	699
Abermain	Car as passenger	1	52
Abermain	Motorbike scooter	1	4
Abermain	Other two methods	2	12
Abermain	Train	1	3
Abermain	Truck	1	12
Abermain	Walked only	1	10
Abernethy	Car as driver	1	92
Abernethy	Car as passenger	1	3
Abernethy	Walked only	1	7
Abington (NSW)	Car as driver	1	3
Acacia Creek	Car as driver	1	11
Acacia Gardens			21
Acacia Gardens	(Other)	1	9
Acacia Gardens	Bus	1	115
Acacia Gardens	Car as driver	1	1333
Acacia Gardens	Car as passenger	1	73
