SSC_NAME16	Sex	labourForceParticipation
Alma Park	M	84.2
Alpine	F	51.9
Alpine	M	72
Alstonvale	F	57.1
Alstonvale	M	67
Alstonville	F	45.1
Alstonville	M	55.4
Alumy Creek	F	38.1
Alumy Creek	M	52.8
Amaroo (NSW)	F	66.7
Amaroo (NSW)	M	88.9
Ambarvale	F	51
Ambarvale	M	63.8
Amosfield	F	44.4
Amosfield	M	88.9
Anabranch South	F	162.5
Anabranch South	M	60
Anambah	F	91.7
Anambah	M	50
Ando	F	66.7
Ando	M	60.6
Anembo	F	58.3
Anembo	M	75
Angledale	F	60.7
Angledale	M	69
Angledool	F	35.7
Angledool	M	46.2
Anglers Reach	F	15.4
Anglers Reach	M	23.9
Angourie	F	53.5
Angourie	M	59.6
Anna Bay	F	47
Anna Bay	M	54.4
Annandale (NSW)	F	70
Annandale (NSW)	M	71.8
Annangrove	F	64.2
Annangrove	M	72.2
Appin (NSW)	F	67.9
Appin (NSW)	M	75.1
Apple Tree Flat	F	17.6
Apple Tree Flat	M	62.5
Appleby	F	73.3
Appleby	M	75
Appletree Flat	F	80
Appletree Flat	M	75
Apsley (NSW)	F	56.8
Apsley (NSW)	M	62.5
Arable	F	100
Arable	M	55.6
Arakoon	F	49.2
Arakoon	M	43.7
Araluen (NSW)	F	43.7
Araluen (NSW)	M	50.6
Arcadia (NSW)	F	64.6
Arcadia (NSW)	M	71.1
Arcadia Vale	F	56.5
Arcadia Vale	M	62.4
Ardglen	F	57.1
Ardglen	M	73.9
Arding	F	59
Arding	M	54.3
Ardlethan	F	33.8
Ardlethan	M	43.3
Argalong	F	100
Argalong	M	81.8
Argenton	F	44.8
Argenton	M	55.8
Argents Hill	F	46.3
Argents Hill	M	44.5
Argoon (NSW)	F	100
Argoon (NSW)	M	100
Ariah Park	F	46.1
Ariah Park	M	57.1
Arkell	F	100
Arkell	M	78.9
Arkstone	F	80
Arkstone	M	33.3
Armatree	F	53.6
Armatree	M	78.2
Armidale	F	51.7
Armidale	M	58.1
Arncliffe	F	54.4
Arncliffe	M	65.8
Arndell Park	F	100
Arndell Park	M	42.9
Arrawarra	F	19.3
Arrawarra	M	20.9
Arrawarra Headland	F	55.1
Arrawarra Headland	M	57.1
Artarmon	F	64.8
Artarmon	M	74.1
Arthurville	F	52.6
Arthurville	M	100
Arumpo	F	100
Arumpo	M	83.3
Ashbury	F	59.8
Ashbury	M	68.3
Ashby (NSW)	F	39
Ashby (NSW)	M	41.2
Ashby Heights	F	44.4
Ashby Heights	M	45.4
Ashby Island	F	50
Ashcroft	F	30.6
Ashcroft	M	47.1
Ashfield (NSW)	F	58.2
Ashfield (NSW)	M	67.8
Ashford (NSW)	F	36.9
Ashford (NSW)	M	44.8
Ashley	F	64
Ashley	M	76.7
Ashmont	F	44.1
Ashmont	M	57.7
Ashtonfield	F	63
Ashtonfield	M	73.7
Asquith	F	61.5
Asquith	M	71.3
Atholwood	F	38.7
Atholwood	M	65.7
Attunga	F	57.8
Attunga	M	67.5
Auburn (NSW)	F	42
Auburn (NSW)	M	62.6
Auburn Vale	F	58.7
Auburn Vale	M	67.3
Austinmer	F	62.2
Austinmer	M	67
Austral	F	43.1
Austral	M	56.5
Austral Eden	F	63.8
Austral Eden	M	69.4
Avalon Beach	F	60.6
Avalon Beach	M	69.5
Avisford	F	37.5
Avisford	M	73.3
Avoca (NSW)	F	61.6
Avoca (NSW)	M	73.3
Avoca Beach	F	62.9
Avoca Beach	M	70.1
Avondale (NSW)	F	55.8
Avondale (NSW)	M	62.7
Avonside	F	68.1
Avonside	M	65.2
Awaba	F	60.4
Awaba	M	66
Aylmerton	F	56.3
Aylmerton	M	76.2
Baan Baa	F	55.7
Baan Baa	M	71.6
Babinda (NSW)	M	100
Babyl Creek	F	100
Babyl Creek	M	100
Back Creek (Bland - NSW)	F	61.5
Back Creek (Bland - NSW)	M	83.3
Back Creek (Gwydir - NSW)	F	75
Back Creek (Gwydir - NSW)	M	85.7
Back Creek (Mid-Coast - NSW)	F	50
Back Creek (Mid-Coast - NSW)	M	90.9
Back Creek (Tenterfield - NSW)	M	75
Back Creek (Tweed - NSW)	F	37.5
Back Creek (Tweed - NSW)	M	55.6
Back Forest	F	75
Back Forest	M	73.5
Backmede	F	51.5
Backmede	M	58.3
Backwater	F	75
Backwater	M	50
Badgerys Creek	F	39.5
Badgerys Creek	M	65.2
Baerami	F	46.7
Baerami	M	46.4
Baerami Creek	F	30
Baerami Creek	M	61.9
Bagnoo	F	37.5
Bagnoo	M	58.8
Bago	F	37.5
Bago	M	62.5
Bagotville	F	63.2
Bagotville	M	40.7
Bakers Creek (Mid-Coast - NSW)	F	20
Bakers Creek (Mid-Coast - NSW)	M	46.7
Bakers Creek (Nambucca - NSW)	M	42.9
Bakers Creek (Uralla - NSW)	F	75
Bakers Creek (Uralla - NSW)	M	100
Bakers Swamp	F	65
Bakers Swamp	M	78.3
Balaclava (NSW)	F	55.7
Balaclava (NSW)	M	63.8
Balala	F	50
Balala	M	41.5
Balcolyn	F	48.8
Balcolyn	M	57.5
Bald Blair	F	55.6
Bald Blair	M	90
Bald Hills (NSW)	F	55.3
Bald Hills (NSW)	M	53.6
Bald Nob	F	100
Bald Nob	M	133.3
Baldersleigh	F	69.6
Baldersleigh	M	82.6
Baldry	F	50
Baldry	M	85.7
Balfours Peak	F	81.8
Balfours Peak	M	86.7
Balgowlah	F	64.4
Balgowlah	M	73.4
Balgowlah Heights	F	57.5
Balgowlah Heights	M	73.6
Balgownie	F	53.1
Balgownie	M	61.6
Balickera	F	80
Balickera	M	60
Balladoran	F	69.2
Balladoran	M	66.7
Ballalaba	F	30
Ballalaba	M	83.3
Balldale	F	46.6
Balldale	M	60
Ballengarra	F	61.1
Ballengarra	M	78.1
Ballimore	F	57.3
Ballimore	M	56.2
Ballina	F	35.8
Ballina	M	45.8
Ballyroe	F	100
Ballyroe	M	100
Balmain	F	65.1
Balmain	M	70.5
Balmain East	F	58.9
Balmain East	M	69.7
Balmoral (Lake Macquarie - NSW)	F	60.3
Balmoral (Lake Macquarie - NSW)	M	68.4
Balmoral (Wingecarribee - NSW)	F	63.7
Balmoral (Wingecarribee - NSW)	M	69.9
Balranald	F	51.1
Balranald	M	61.1
Bamarang	F	54.5
Bamarang	M	75
Bandon Grove	F	62.5
Bandon Grove	M	66.7
Bangadang	F	133.3
Bangadang	M	100
Bangalee (NSW)	F	60.5
Bangalee (NSW)	M	62.6
Bangalow	F	60.6
Bangalow	M	68.1
Bangheet	F	62.5
Bangheet	M	89.5
Bango	F	69
Bango	M	79.5
Bangor (NSW)	F	63.7
Bangor (NSW)	M	71.1
Banksia	F	58.5
Banksia	M	64.5
Banksmeadow	F	116.7
Banksmeadow	M	72.7
Bankstown	F	42.9
Bankstown	M	60.4
Bannaby	F	36.8
Bannaby	M	60
Bannister (NSW)	F	75
Bannister (NSW)	M	77.3
Banoon	F	55.6
Banoon	M	111.1
Banora Point	F	45.8
Banora Point	M	52.2
Banyabba	F	22.7
Banyabba	M	23.8
Bar Beach	F	62.3
Bar Beach	M	62.6
Bar Point	F	37
Bar Point	M	60
Bara	F	44.4
Bara	M	37.5
Baradine	F	36.3
Baradine	M	44.4
Barangaroo	F	39.2
Barangaroo	M	50
Barden Ridge	F	70.7
Barden Ridge	M	78.9
Bardia	F	69.6
Bardia	M	81.9
Bardwell Park	F	60.8
Bardwell Park	M	70
Bardwell Valley	F	53.5
Bardwell Valley	M	66.7
Barellan	F	45.3
Barellan	M	60.4
Bargo	F	57.2
Bargo	M	65.3
Barham	F	41.6
Barham	M	51.3
Barkers Vale	F	50.9
Barkers Vale	M	56.7
Barmedman	F	34.9
Barmedman	M	54.4
Barnsley	F	60.3
Barnsley	M	71.8
Barooga	F	51.4
Barooga	M	56.9
Barraba	F	35.1
Barraba	M	40.8
Barrack Heights	F	48.6
Barrack Heights	M	56.8
Barrack Point	F	51.4
Barrack Point	M	57.7
Barraganyatti	F	38.7
Barraganyatti	M	35.9
Barragga Bay	F	48.9
Barragga Bay	M	54.8
Barrengarry	F	57
Barrengarry	M	50.6
Barretts Creek	F	100
Barringella	F	128.6
Barringella	M	85.7
Barrington (NSW)	F	40.4
Barrington (NSW)	M	49.7
Barry (Blayney - NSW)	F	53.8
Barry (Blayney - NSW)	M	57.7
Barwang	F	56.3
Barwang	M	80
Barwon	F	60
Barwon	M	83.3
Baryulgil	F	21.4
Baryulgil	M	20.6
Basin View	F	45
Basin View	M	53.5
Bass Hill	F	44.1
Bass Hill	M	59.6
Batar Creek	F	27.3
Batar Creek	M	52.8
Bateau Bay	F	49.7
Bateau Bay	M	60.5
Batehaven	F	39.1
Batehaven	M	46.6
Batemans Bay	F	33.2
Batemans Bay	M	39.2
Bathampton	F	100
Bathampton	M	77.8
Bathurst	F	53.2
Bathurst	M	61
Batlow	F	48.3
Batlow	M	55
Baulkham Hills	F	61.9
Baulkham Hills	M	72.4
Baw Baw (NSW)	F	55.1
Baw Baw (NSW)	M	51.7
Bawley Point	F	46.6
Bawley Point	M	46.8
Bayview (NSW)	F	41.2
Bayview (NSW)	M	55.2
Beacon Hill	F	65.2
Beacon Hill	M	71.1
Beaconsfield (NSW)	F	77.8
Beaconsfield (NSW)	M	79.7
Bean Creek	F	35.7
Bean Creek	M	38.2
Bearbong	F	52
Bearbong	M	65.5
Beaumont (NSW)	F	49.1
Beaumont (NSW)	M	56.1
Beaumont Hills	F	67.8
Beaumont Hills	M	78.7
Beckom	F	59
Beckom	M	62.5
Bective	F	57.8
Bective	M	64.4
Bectric	F	34.6
Bectric	M	84.2
Bedgerabong	F	52.8
Bedgerabong	M	72.1
Beechwood	F	52.8
Beechwood	M	59.3
Beecroft	F	57.4
Beecroft	M	67.6
Beelbangera	F	60.6
Beelbangera	M	66.3
Beemunnel	M	42.9
Bega	F	48.4
Bega	M	57.3
Beggan Beggan	F	87.1
Beggan Beggan	M	90.9
Belanglo	F	80
Belanglo	M	50
Belbora	F	54.9
Belbora	M	50.8
Belfield	F	51.4
Belfield	M	64.7
Belford	F	70.8
Belford	M	77.9
Belfrayden	F	55.6
Belfrayden	M	57.1
Belgravia	F	72.1
Belgravia	M	71.1
Belimbla Park	F	61.8
Belimbla Park	M	73.3
Bell (NSW)	F	45.8
Bell (NSW)	M	27.8
Bella Vista	F	65.1
Bella Vista	M	74.5
Bellambi	F	47.5
Bellambi	M	53
Bellangry	F	40.5
Bellangry	M	75
Bellata	F	56.8
Bellata	M	70.8
Bellawongarah	F	48.1
Bellawongarah	M	46.7
Bellbird	F	50.7
Bellbird	M	59.4
Bellbird Heights	F	56.1
Bellbird Heights	M	63.3
Bellbrook	F	34.2
Bellbrook	M	40.5
Bellevue Hill	F	59.9
Bellevue Hill	M	69.5
Bellimbopinni	F	49
Bellimbopinni	M	57.4
Bellingen	F	48.9
Bellingen	M	56.7
Bellmount Forest	F	79.2
Bellmount Forest	M	82.2
Belltrees	F	133.3
Belltrees	M	100
Belmont (NSW)	F	47.1
Belmont (NSW)	M	56.5
Belmont North	F	54.8
Belmont North	M	63.9
Belmont South	F	52.7
Belmont South	M	54.8
Belmore	F	47.7
Belmore	M	61.4
Belmore River	F	58.5
Belmore River	M	62.4
Beloka	F	100
Beloka	M	45.5
Belrose	F	52.5
Belrose	M	63.7
Bemboka	F	49.4
Bemboka	M	53.6
Ben Bullen	F	39
Ben Bullen	M	65.1
Ben Lomond (NSW)	F	48.5
Ben Lomond (NSW)	M	54.3
Benandarah	F	35.9
Benandarah	M	36.6
Bendalong	F	33.3
Bendalong	M	45.2
Bendemeer	F	50
Bendemeer	M	59.2
Bendick Murrell	F	42
Bendick Murrell	M	59.4
Bendolba	F	46.1
Bendolba	M	55.1
Bendoura	F	51.9
Bendoura	M	63
Benerembah	F	60
Benerembah	M	63.8
Bengalla	F	75
Bengalla	M	90.9
Bennetts Green	F	42.9
Bennetts Green	M	100
Benolong	F	76.5
Benolong	M	107.7
Bensville	F	67.1
Bensville	M	73.1
Bentley (NSW)	F	48.8
Bentley (NSW)	M	60.5
Berala	F	48.2
Berala	M	64.1
Berambing	F	72.5
Berambing	M	62.8
Beresfield	F	48.9
Beresfield	M	57.3
Bergalia	F	63.4
Bergalia	M	52.1
Berkeley	F	44.7
Berkeley	M	57.4
Berkeley Vale	F	58
Berkeley Vale	M	68.8
Berkshire Park	F	36.1
Berkshire Park	M	27.1
Bermagui	F	40.7
Bermagui	M	42.2
Berowra	F	68.8
Berowra	M	74.5
Berowra Creek	F	50
Berowra Creek	M	57.1
Berowra Heights	F	68.1
Berowra Heights	M	74.1
Berowra Waters	F	14.5
Berowra Waters	M	23.6
Berrambool	F	47.6
Berrambool	M	51.6
Berrara	F	39.7
Berrara	M	50.8
Berremangra	F	60
Berremangra	M	69.2
Berrico	F	38.5
Berrico	M	43.8
Berridale	F	58.5
Berridale	M	64.1
Berrigal	F	73.3
Berrigal	M	56.3
Berrigan	F	44.3
Berrigan	M	53.9
Berrilee	F	61.4
Berrilee	M	64.6
Berrima	F	56.2
Berrima	M	58.9
Berringer Lake	F	50
Berringer Lake	M	50
Berry	F	40.9
Berry	M	50
Berry Jerry	F	42.9
Berry Jerry	M	67.9
Berry Mountain	F	23.1
Berry Mountain	M	21.4
Berry Park	F	51.9
Berry Park	M	73.7
Berthong	F	92.9
Berthong	M	55.6
Beryl	F	54.5
Beryl	M	47.2
Bethungra	F	56.7
Bethungra	M	61.8
Bevendale	F	61.1
Bevendale	M	27.3
Beverley Park	F	58.9
Beverley Park	M	65.7
Beverly Hills	F	52
Beverly Hills	M	64.2
Bewong	F	48.3
Bewong	M	58.8
Bexhill	F	63.5
Bexhill	M	65.6
Bexley	F	50.7
Bexley	M	62.4
Bexley North	F	51.1
Bexley North	M	62.8
Biala	F	88.2
Biala	M	79.2
Bibbenluke	F	44.7
Bibbenluke	M	61.1
Biddon	F	55.6
Biddon	M	69.8
Bidgeemia	F	46.2
Bidgeemia	M	86.7
Bidwill (NSW)	F	33.3
Bidwill (NSW)	M	45.8
Bielsdown Hills	F	54.2
Bielsdown Hills	M	65.1
Big Hill (NSW)	F	84.2
Big Hill (NSW)	M	87.5
Big Jacks Creek	F	73.7
Big Jacks Creek	M	85.7
Big Ridge	M	60
Big Springs	F	60
Big Springs	M	80.5
Bigga	F	41.1
Bigga	M	50
Bilambil	F	55.9
Bilambil	M	60
Bilambil Heights	F	56.3
Bilambil Heights	M	61.2
Bilbul	F	68
Bilbul	M	71.2
Bilgola Beach	F	49.5
Bilgola Beach	M	64
Bilgola Plateau	F	65.3
Bilgola Plateau	M	70.4
Billeroy	F	60
Billeroy	M	70
Billilingra	F	100
Billilingra	M	100
Billimari	F	43.8
Billimari	M	57.4
Billinudgel	F	54.5
Billinudgel	M	57.1
Billys Creek	F	36
Billys Creek	M	50
Billywillinga	F	51.9
Billywillinga	M	66.7
Bilpin	F	59.6
Bilpin	M	63.9
Bimbi	F	53.8
Bimbi	M	45.8
Bimbimbie	F	59.1
Bimbimbie	M	66
Binalong	F	46.7
Binalong	M	67.7
Binda	F	41
Binda	M	56.5
Bindera	F	43.8
Bindera	M	46.2
Bingara	F	34.5
Bingara	M	40.9
Bingeebeebra Creek	F	30
Bingeebeebra Creek	M	41.2
Bingie	F	30.3
Bingie	M	54.6
Bingleburra	F	90
Bingleburra	M	55.6
Biniguy	F	47.6
Biniguy	M	65
Binjura	F	61.1
Binjura	M	63.9
Binna Burra (NSW)	F	47.7
Binna Burra (NSW)	M	53.3
Binnaway	F	30.3
Binnaway	M	35.4
Binya	F	71.1
Binya	M	82
Birchgrove	F	64.3
Birchgrove	M	72.2
Birdwood (NSW)	F	58.8
Birdwood (NSW)	M	52.4
Birganbigil	F	63.2
Birganbigil	M	100
Birmingham Gardens	F	50.4
Birmingham Gardens	M	52.1
Birriwa	F	38.9
Birriwa	M	37.5
Birrong	F	44.8
Birrong	M	63
Bishops Bridge	F	55.2
Bishops Bridge	M	68.6
Bithramere	F	58.4
Bithramere	M	62.3
Black Creek (Port Macquarie-Hastings - NSW)	F	60.9
Black Creek (Port Macquarie-Hastings - NSW)	M	65
Black Creek (Snowy Valleys - NSW)	M	37.5
Black Head	F	33.4
Black Head	M	41.3
Black Hill (NSW)	F	53.7
Black Hill (NSW)	M	63.7
Black Hollow	F	70
Black Hollow	M	114.3
Black Mountain (NSW)	F	60.9
Black Mountain (NSW)	M	65.4
Black Range (NSW)	F	61.4
Black Range (NSW)	M	64.8
Black Springs (NSW)	F	33.7
Black Springs (NSW)	M	53.7
Blackalls Park	F	51.1
Blackalls Park	M	60.6
Blackbutt (NSW)	F	58
Blackbutt (NSW)	M	65.2
Blackett	F	37.3
Blackett	M	54
Blackheath	F	49.1
Blackheath	M	55.8
Blackmans Flat	F	58.3
Blackmans Flat	M	41.7
Blackmans Point	F	42.9
Blackmans Point	M	35.8
Blacksmiths	F	47.8
Blacksmiths	M	56
Blacktown	F	53
Blacktown	M	68.5
Blackville	F	54.8
Blackville	M	47.8
Blackwall (NSW)	F	49.4
Blackwall (NSW)	M	55.4
Blair Athol (NSW)	F	66.8
Blair Athol (NSW)	M	73.8
Blairmount	F	58
Blairmount	M	71.9
Blakebrook	F	48.4
Blakebrook	M	55.7
Blakehurst	F	53.9
Blakehurst	M	65.3
Blakney Creek	F	63
Blakney Creek	M	58.6
Bland	F	61.5
Bland	M	68.4
Blandford	F	52
Blandford	M	72.2
Blaxland (NSW)	F	61.3
Blaxland (NSW)	M	67.9
Blaxlands Creek	F	58.5
Blaxlands Creek	M	41.5
Blaxlands Ridge	F	62.3
Blaxlands Ridge	M	70.9
Blayney	F	51.7
Blayney	M	62.5
Bligh Park	F	67.2
Bligh Park	M	81.4
Blighty	F	68.1
Blighty	M	82.5
Blue Bay	F	47.4
Blue Bay	M	59.3
Blue Haven	F	56
Blue Haven	M	66.8
Blue Knob	F	35.1
Blue Knob	M	41.7
Blue Nobby	F	112.5
Blue Nobby	M	57.1
Blue Vale	F	57.1
Blue Vale	M	81.5
Blueys Beach	F	38.4
Blueys Beach	M	40.7
Boambee	F	60.9
Boambee	M	63.5
Boambee East	F	56.2
Boambee East	M	61
Boambolo	F	62.5
Boambolo	M	90
Boat Harbour (Lismore - NSW)	F	61.7
Boat Harbour (Lismore - NSW)	M	60.3
Boat Harbour (Port Stephens - NSW)	F	55.8
Boat Harbour (Port Stephens - NSW)	M	63.6
Bobadah	F	100
Bobadah	M	75
Bobin	F	47
Bobin	M	46.5
Bobs Creek	F	57.9
Bobs Creek	M	65.7
Bobs Farm	F	54.7
Bobs Farm	M	60.3
Bobundara	F	100
Bobundara	M	50
Bocoble	F	42.9
Bocoble	M	41.2
Bocobra	F	25
Bocobra	M	37.9
Bodalla	F	50.6
Bodalla	M	55.4
Bodangora	F	60.7
Bodangora	M	63.6
Boeill Creek	F	69.8
Boeill Creek	M	53.3
Bogan	F	100
Bogan	M	37.5
Bogan Gate	F	45.5
Bogan Gate	M	44.6
Bogangar	F	59.1
Bogangar	M	65.6
Bogee	F	43.8
Bogee	M	48.7
Boggabilla	F	37
Boggabilla	M	43.6
Boggabri	F	45.7
Boggabri	M	56.7
Bohena Creek	F	64.4
Bohena Creek	M	61.8
Bohnock	F	65.5
Bohnock	M	69.6
Bolaro	F	28.6
Bolaro	M	47.6
Bolivia	F	54.2
Bolivia	M	53.8
Bolong	F	70
Bolong	M	84.8
Bolton Point	F	42.5
Bolton Point	M	50.3
Bolwarra (NSW)	F	57.1
Bolwarra (NSW)	M	69.7
Bolwarra Heights	F	63.6
Bolwarra Heights	M	71.6
Bomaderry	F	42.7
Bomaderry	M	51.8
Bombah Point	M	30
Bombala	F	50.9
Bombala	M	63.9
Bombay	F	48.8
Bombay	M	63
Bombira	F	61.4
Bombira	M	68.7
Bombo	F	51
Bombo	M	56.6
Bombowlee	F	55.7
Bombowlee	M	64.2
Bombowlee Creek	F	42.3
Bombowlee Creek	M	81.8
Bomen	F	142.9
Bomen	M	93.3
Bomera	F	40
Bomera	M	75
Bonalbo	F	31.3
Bonalbo	M	38.5
Bondi	F	67
Bondi	M	71.4
Bondi Beach	F	67.9
Bondi Beach	M	71.5
Bondi Junction	F	60.1
Bondi Junction	M	67.7
Bonnells Bay	F	52.3
Bonnells Bay	M	57
Bonnet Bay	F	66.8
Bonnet Bay	M	70.7
Bonny Hills	F	51.8
Bonny Hills	M	55.1
Bonnyrigg	F	41.8
Bonnyrigg	M	57.4
Bonnyrigg Heights	F	51.5
Bonnyrigg Heights	M	65.1
Bonshaw (NSW)	F	51.3
Bonshaw (NSW)	M	62.8
Bonville	F	57
Bonville	M	60.8
Booerie Creek	F	50.6
Booerie Creek	M	46.6
Book Book	F	63.6
Book Book	M	81.8
Booker Bay	F	40
Booker Bay	M	47.4
Bookham	F	54.3
Bookham	M	69.1
Bookookoorara	M	50
Boolambayte	F	31.4
Boolambayte	M	48.7
Boolaroo	F	54.6
Boolaroo	M	67
Boolcarroll	F	57.1
Boolcarroll	M	166.7
Booligal	F	58.3
Booligal	M	75
Boomanoomana	F	44.8
Boomanoomana	M	53.3
Boomerang Beach	F	56.4
Boomerang Beach	M	58.4
Boomey	F	68.8
Boomey	M	100
Boomi	F	62.3
Boomi	M	65.9
Boomi Creek	M	100
Boona Mount	F	50
Boona Mount	M	114.3
Boonal	F	70
Boonal	M	87.5
Boonoo Boonoo	F	50
Boonoo Boonoo	M	66.7
Boorabee Park	F	75
Boorabee Park	M	61.2
Booragul	F	40.1
Booragul	M	54
Booral (NSW)	F	56
Booral (NSW)	M	67.3
Boorga	F	75
Boorga	M	200
Boorganna	F	36.4
Boorganna	M	46.2
Boorolong	F	51.4
Boorolong	M	63.6
Boorook	F	25
Boorook	M	63.6
Boorooma	F	75.4
Boorooma	M	74.4
Booroorban	F	84.6
Booroorban	M	55
Boorowa	F	48
Boorowa	M	58.8
Bootawa	F	57.3
Bootawa	M	44.9
Booyong	F	60.7
Booyong	M	58.8
Bora Ridge	F	47.6
Bora Ridge	M	40.4
Borah Creek	F	70
Borah Creek	M	50
Borambola	F	73.8
Borambola	M	77.3
Boree	F	59.5
Boree	M	87.5
Boree Creek	F	52.5
Boree Creek	M	66.2
Borenore	F	67.2
Borenore	M	69.1
Boro	F	50
Boro	M	55
Bossley Park	F	44.9
Bossley Park	M	59.3
Bostobrick	F	58.5
Bostobrick	M	51.7
Botany	F	64.9
Botany	M	71.4
Botobolar	F	74.2
Botobolar	M	75.8
Bottle Creek	F	50
Bottle Creek	M	33.3
Bourbah	F	42.9
Bourbah	M	140
Bourke	F	52.9
Bourke	M	57.3
Bourkelands	F	71.6
Bourkelands	M	77.5
Bournda	F	56
Bournda	M	45.8
Bournewood	F	89.5
Bournewood	M	66.7
Bow Bowing	F	66.3
Bow Bowing	M	79.4
Bowan Park	F	61.9
Bowan Park	M	70.5
Bowen Mountain	F	66.7
Bowen Mountain	M	74.8
Bowenfels	F	35.9
Bowenfels	M	42.7
Bowling Alley Point	F	72.7
Bowling Alley Point	M	30
Bowman	F	44.4
Bowman	M	48.3
Bowman Farm	F	53.3
Bowman Farm	M	50
Bowmans Creek	F	75
Bowmans Creek	M	100
Bowna	F	64.3
Bowna	M	81
Bowning	F	60.5
Bowning	M	66
Bowral	F	44.1
Bowral	M	54.2
Bowraville	F	43.4
Bowraville	M	44
Box Hill (NSW)	F	52.1
Box Hill (NSW)	M	63.7
Box Ridge	F	66.7
Box Ridge	M	60.9
Boxers Creek	F	53.3
Boxers Creek	M	62.2
Boydtown	F	31.4
Boydtown	M	30.8
Bradbury (NSW)	F	53.2
Bradbury (NSW)	M	64.6
Braefield	F	81.8
Braefield	M	45.5
Braemar	F	64.4
Braemar	M	80.1
Braemar Bay	F	50
Braemar Bay	M	25
Braidwood	F	47.7
Braidwood	M	60.3
Brandy Hill	F	62.1
Brandy Hill	M	70.2
Branxton	F	59.3
Branxton	M	69.3
Braunstone	F	52
Braunstone	M	55.4
Brawboy	F	50
Brawboy	M	80
Bray Park (NSW)	F	39.8
Bray Park (NSW)	M	51.8
Brays Creek	F	50
Brays Creek	M	52
Brayton	F	49.3
Brayton	M	60
Breadalbane (NSW)	F	52.8
Breadalbane (NSW)	M	59.5
Breakfast Creek	F	15.8
Breakfast Creek	M	45
Breakfast Point	F	59.9
Breakfast Point	M	71.5
Bredbo	F	62.5
Bredbo	M	69.6
Breelong	F	34.8
Breelong	M	60.7
Breeza	F	54.1
Breeza	M	71.9
Bretti	M	46.2
Brewarrina	F	43
Brewarrina	M	44.9
Brewongle	F	43.4
Brewongle	M	62
Briarbrook	M	100
Bribbaree	F	44.9
Bribbaree	M	69.8
Bridgman	F	63.9
Bridgman	M	86.8
Brierfield	F	52.9
Brierfield	M	58.1
Brighton-le-Sands	F	53.1
Brighton-le-Sands	M	64
Brightwaters	F	50.9
Brightwaters	M	58.2
Brimbin	F	42.9
Brimbin	M	53.8
Brindabella	F	30.8
Brindabella	M	55.6
Bringelly	F	55.2
Bringelly	M	67.5
Bringenbrong	F	88.9
Bringenbrong	M	63.2
Brisbane Grove	F	58.6
Brisbane Grove	M	63.2
Broadmeadow	F	66.8
Broadmeadow	M	70.2
Broadwater (Bega Valley - NSW)	F	31.9
Broadwater (Bega Valley - NSW)	M	61.7
Broadwater (Richmond Valley - NSW)	F	51
Broadwater (Richmond Valley - NSW)	M	55.2
Broadway	F	25
Broadway	M	100
Brobenah	F	150
Brobenah	M	80
Brocklehurst	F	60.7
Brocklehurst	M	61.3
Brocklesby	F	54.4
Brocklesby	M	69.9
Brockley	F	63.6
Brockley	M	87.5
