SSC_NAME16	Sex	labourForceParticipation
Aarons Pass	F	88.9
Aarons Pass	M	100
Abbotsbury	F	63.9
Abbotsbury	M	73.3
Abbotsford (NSW)	F	56.2
Abbotsford (NSW)	M	66.1
Abercrombie	F	67.7
Abercrombie	M	73.3
Abercrombie River	F	42.9
Abercrombie River	M	53.8
Aberdare	F	53.4
Aberdare	M	58.4
Aberdeen (NSW)	F	53.6
Aberdeen (NSW)	M	64.6
Aberfoyle	F	73.5
Aberfoyle	M	92.5
Aberglasslyn	F	67.1
Aberglasslyn	M	78
Abermain	F	52.7
Abermain	M	61.2
Abernethy	F	50.8
Abernethy	M	48.9
Abington (NSW)	F	100
Abington (NSW)	M	60
Acacia Creek	F	88.9
Acacia Creek	M	65
Acacia Gardens	F	71.6
Acacia Gardens	M	79.1
Adaminaby	F	50
Adaminaby	M	57.7
Adamstown	F	64.5
Adamstown	M	71.1
Adamstown Heights	F	60.1
Adamstown Heights	M	67.1
Adelong	F	48.7
Adelong	M	56.6
Adjungbilly	F	64.5
Adjungbilly	M	65.6
Afterlee	F	52.9
Afterlee	M	66.7
Agnes Banks	F	65.6
Agnes Banks	M	72.1
Airds	F	27.5
Airds	M	40
Akolele	F	25.7
Akolele	M	22.2
Albert	F	48.4
Albert	M	77.8
Albion Park	F	60.2
Albion Park	M	70.2
Albion Park Rail	F	50.2
Albion Park Rail	M	61.6
Albury	F	58
Albury	M	61.9
Aldavilla	F	44.4
Aldavilla	M	21.8
Alectown	F	54.1
Alectown	M	64.2
Alexandria	F	77.5
Alexandria	M	81.6
Alfords Point	F	69.1
Alfords Point	M	75.2
Alfredtown	F	91.2
Alfredtown	M	81.4
Alison (Central Coast - NSW)	F	44.4
Alison (Central Coast - NSW)	M	50
Alison (Dungog - NSW)	F	45.5
Alison (Dungog - NSW)	M	55.6
Allambie Heights	F	59.9
Allambie Heights	M	68.7
Allandale (NSW)	F	79.3
Allandale (NSW)	M	82.8
Allawah	F	59.4
Allawah	M	71.8
Alleena	F	52.4
Alleena	M	31.8
Allgomera	F	54.8
Allgomera	M	44.7
Allworth	F	44.8
Allworth	M	62.5
Allynbrook	F	53.8
Allynbrook	M	62.5
Alma Park	F	80
