SSC_NAME16	unemployment
Kahibah	5.6
Kains Flat	12.7
Kalang	13.3
Kalaru	4.6
Kameruka	5.2
Kanahooka	5.7
Kandos	16.5
Kangaloon	4.3
Kangaroo Creek	18.9
Kangaroo Point (NSW)	4
Kangaroo Valley	2.4
Kangaroobie	10
Kangy Angy	9.9
Kanimbla (NSW)	7
Kanwal	9.3
Karabar	4.7
Karangi	5.7
Kareela	3.9
Kariong	6.4
Karuah	10
Katoomba	7.1
Kayuga	12
Kearns	3.6
Kearsley	8
Keerrong	13.8
Keinbah	6.9
Keiraville	11.9
Keith Hall	4
Kellys Plains	8.6
Kellyville	4.5
Kellyville Ridge	4.5
Kelso (NSW)	6.2
Kelvin	3.3
Kembla Heights	12.7
Kemps Creek	6.9
Kempsey	16.9
Kendall	8.1
Kensington (NSW)	10.6
Kenthurst	3.5
Kentlyn	6.1
Kentucky South	4.6
Kew (NSW)	6.4
Khancoban	10.7
Kiah	9.8
Kiama	5
Kiama Downs	5
Kiama Heights	5.7
Kianga (NSW)	6.1
Kielvale	4.1
Kikiamah	5.4
Kilaben Bay	6.6
Killabakh	10.5
Killara (NSW)	5.8
Killarney Heights	4.2
Killarney Vale	6.9
Killcare	5.3
Killcare Heights	4.8
Killingworth (NSW)	6.5
Kinchela	8.3
Kincumber	6.1
Kincumber South	6
Kindee	6.8
King Creek	5.2
Kingfisher Shores	6
Kings Langley	4.2
Kings Park (NSW)	4.5
Kings Point	4.2
Kingscliff	6
Kingsford (NSW)	10.6
Kingsgrove	6
Kingstown	15.6
Kingsvale	9.2
Kingswood (Penrith - NSW)	8.5
Kingswood (Tamworth Regional - NSW)	3.4
Kioloa	6.6
Kirkham	1.7
Kirrawee	3.6
Kirribilli	4.3
Kitchener	7.3
Knockrow	9.3
Knorrit Flat	17.6
Kogarah	7.4
Kogarah Bay	4.1
Koolewong	6.4
Koonawarra	12.5
Koonorigan	6.5
Koorainghat	12.4
Koorawatha	6.5
Kooringal (NSW)	6.1
Kootingal	4.7
Koraleigh	8.4
Korora	4.7
Kosciuszko National Park	1.2
Kotara	5.2
Kotara South	5.9
Krambach	9
Kremnos	4.1
Kulnura	3.1
Kundabung	5.4
Kundibakh	14.7
Kundle Kundle	3.2
Kungala	10.9
Kurmond	3.3
Kurnell	4
Kurraba Point	3.5
Kurrajong	3.7
Kurrajong Heights	2.8
Kurrajong Hills	4.2
Kurri Kurri	9.9
Kyeemagh	3.9
Kyle Bay	5.4
Kynnumboon	5.5
Kyogle	9.8
La Perouse	4.9
Lacmalac	5.5
Ladysmith	5.6
Laggan	2.1
Laguna	15.2
Lake Albert (NSW)	3.3
Lake Bathurst	6.5
Lake Cargelligo	7.3
Lake Cathie	6.8
Lake Conjola	3.7
Lake Haven	10.6
Lake Heights	8.8
Lake Illawarra	9.8
Lake Innes	3.3
Lake Munmorah	7.5
Lake Tabourie	9.9
Lake Wyangan	2.4
Lakelands (NSW)	4.7
Lakemba	13.5
Lakesland	6.4
Lakewood	9.1
Lalor Park	7.3
Lambs Valley (Glen Innes Severn - NSW)	7.3
Lambs Valley (Singleton - NSW)	3.6
Lambton	5.7
Lane Cove	4.4
Lane Cove North	4.3
Lane Cove West	5.1
Lanitza	13.3
Lansdowne (Mid-Coast - NSW)	13.6
Lansvale	9.1
Lapstone	1.9
Largs	4.1
Larnook	15.8
Laurieton	12.8
Lavadia	37.5
Lavender Bay	3.5
Lavington	9.2
Lawrence (NSW)	9.2
Lawson (NSW)	5.4
Leadville	13.7
Leconfield	5.3
Leeton	5.2
Leeville	6.8
Legume	11.8
Leichhardt (NSW)	4
Lemon Tree Passage	8.9
Lennox Head	5.2
Leonay	3.5
Leppington	4.9
Lethbridge Park	14.3
Leumeah	7.8
Leura	6
Lewis Ponds	3.7
Lewisham (NSW)	6.1
Leycester	4.6
Liberty Grove	5.4
Lidcombe	8.5
Lidsdale	4.6
Lidster	4.2
Lightning Ridge	14.8
Lilli Pilli (Eurobodalla - NSW)	5.1
Lilli Pilli (Sutherland Shire - NSW)	2.7
Lillian Rock	10.5
Lilyfield	4.3
Limeburners Creek (Mid-Coast - NSW)	6.3
Limpinwood	5.2
Linburn	9.4
Linden (NSW)	9.3
Lindesay Creek	37.5
Lindfield	4.3
Linley Point	5.7
Lisarow	5.2
Lismore (NSW)	12.5
Lismore Heights	7.2
Liston	4.8
Lithgow	8.5
Little Bay	4.1
Little Forest	3.9
Little Hartley	4
Little Jilliby	12.1
Littleton	3.8
Liverpool	11.5
Llanarth (NSW)	3.2
Llandilo	4.9
Lloyd	2.4
Lochiel (NSW)	4.7
Lochinvar	5.8
Lockhart	3.5
Loftus	3
Loftville	22.7
Logans Crossing	7.1
Londonderry (NSW)	3.5
Long Beach	3.8
Long Flat (NSW)	5.8
Long Jetty	7.9
Long Point (Campbelltown - NSW)	3.8
Longreach (NSW)	7.7
Longueville	3.2
Loomberah	4
Lord Howe Island	1.3
Lorn	4
Lorne (NSW)	3.6
Louth Park	7.2
Lovedale	3.6
Lowanna	17.6
Lower Belford	1.4
Lower Boro	3.8
Lower Macdonald	6.9
Lower Pappinbarra	7.9
Lower Portland	4
Lowesdale	7.5
Lucknow (NSW)	1.8
Luddenham	2.4
Lue	5
Lugarno	3.7
Lurnea	11.1
Lynchs Creek	14.6
Lyndhurst (Blayney - NSW)	6.4
Lynwood (NSW)	7.3
Macksville	8.8
Maclean	10.2
Macmasters Beach	3.7
Macquarie Fields	10.6
Macquarie Hills	5.5
Macquarie Links	4
Macquarie Park	11.1
Maddens Plains	75
Magenta (NSW)	3.2
Maianbar	3.2
Maimuru	3.8
Main Arm	7.1
Main Creek	9.7
Maison Dieu	3.6
Maitland (NSW)	10.7
Maitland Vale	4.5
Majors Creek (NSW)	4.8
Malabar	4.9
Mallabula	9.7
Mallanganee	8.5
Mallowa	5.5
Maloneys Beach	4.2
Malua Bay	6.2
Manar	4.3
Mandalong	6.6
Mandemar	10
Mandurama	6.3
Mangerton	7.8
Mangoplah	3.5
Mangrove Mountain	0.8
Manildra	5.4
Manilla	9.6
Manly (NSW)	3.9
Manly Vale	4.2
Mannering Park	8.3
Manning Point	19.7
Mannus	9.1
Manobalai	9.4
Manton (NSW)	1.9
Manyana	8.7
Maraylya	3.3
Marayong	8.2
Mardi	6.7
Marks Point	7.8
Markwell	4.5
Marlee	5.6
Marlow	33.3
Marmong Point	5.9
Marom Creek	8.5
Maroota	2
Maroubra	5.4
Marrangaroo	2.8
Marrickville	5.6
Marsden Park	4
Marsfield	7.6
Marshall Mount	4.4
Martindale	3.8
Martins Creek	4
Martinsville	4
Marulan	5.7
Maryland (Newcastle - NSW)	6.6
Maryvale (NSW)	4.3
Maryville	5.4
Mascot	5.2
Matcham	2.5
Mathoura	5.9
Matong	4.1
Matraville	4.7
Maules Creek	5
Mayers Flat	12.5
Mayfield (Newcastle - NSW)	9.1
Mayfield East	7.7
Mayfield West	7.3
Mays Hill	11
McCullys Gap	2.3
McGraths Hill	2.7
McKees Hill	1.8
McKellars Park	5.6
McLeans Ridges	4.7
McMahons Point	4.1
McMahons Reef	10.3
Meadowbank (NSW)	6.7
Medlow Bath	6.1
Medowie	5.3
Meerschaum Vale	4.8
Megalong Valley	6.2
Megan	5.2
Melinga	7
Melrose Park (NSW)	5
Menai	4.1
Menangle	1.9
Menangle Park	10.7
Mendooran	7.7
Menindee	18.3
Merah North	3.6
Merewether	4.2
Merewether Heights	2.8
Merimbula	5.7
Meroo Meadow	4.6
Merriwa (NSW)	5.2
Merrygoen	6.7
Merrylands	10
Merrylands West	9.1
Merungle Hill	2.6
Metford	9.8
Michelago	2.3
Middle Arm	2.5
Middle Brook	2.5
Middle Brother	16.7
Middle Cove	4.7
Middle Dural	3.7
Middle Falbrook	5.5
Middle Pocket	4.8
Middleton Grange	4.8
Midginbil	13.6
Milbrodale	5.7
Milbrulong	7
Millbank (NSW)	15.6
Miller	15.4
Millers Forest	3
Millers Point	2.7
Millfield	10
Millingandi	1.9
Millthorpe	3.9
Milperra	5.3
Milsons Point	3.3
Milton (NSW)	3.5
Minchinbury	6
Minimbah	3.8
Minmi	5.4
Minnamurra	3.2
Minnie Water	6.4
Minore	5.1
Minto	8.4
Minto Heights	1.6
Mirador	3.5
Miranda (NSW)	4.4
Mirrabooka (NSW)	6.6
Missabotti	10.8
Mitchell (NSW)	20.9
Mitchells Flat	5.2
Mitchells Island	8.6
Mittagong	4
Moama	4
Modanville	8.4
Mogendoura	7.4
Mogilla	7.7
Mogo (Eurobodalla - NSW)	12.4
Mollymook	5.9
Mollymook Beach	5.3
Molong	3.9
Mona Vale	2.9
Monaltrie	3.7
Mongarlowe	5.3
Monteagle	5.3
Montefiores	3.8
Monterey	4.7
Mooball	9.5
Moonbah	1.3
Moonbi	4.4
Moonee Beach	6.1
Mooney Mooney	3.9
Mooral Creek	16.7
Moorbel	5.4
Moore Creek	2.5
Moorebank	5
Moorland (NSW)	12.4
Moorong	3.6
Moparrabah	18.8
Moree	6.8
Morisset	10.6
Morisset Park	4.9
Mororo	7.1
Morpeth	4.8
Mortdale	5.1
Mortlake (NSW)	3.6
Morton	5.2
Mortons Creek	2.9
Morts Estate	11.3
Moruya	6.3
Moruya Heads	6.2
Mosman	3.9
Moss Vale	3.8
Mossy Point	3.5
Moto	7.5
Moulamein	1.4
Mount Annan	4.6
Mount Austin	9.7
Mount Burrell	15.7
Mount Colah	3.8
Mount Druitt	10.6
Mount Elliot (NSW)	3.2
Mount Fairy	2.8
Mount Frome	6
Mount George (NSW)	14.4
Mount Harris	17.6
Mount Hunter	5.7
Mount Hutton (NSW)	5.7
Mount Keira	4.7
Mount Kembla	3.4
Mount Kuring-Gai	4.1
Mount Lewis	8
Mount Mitchell	7.5
Mount Murray	10.7
Mount Olive (Singleton - NSW)	3.6
Mount Ousley	5.1
Mount Pleasant (NSW)	3.9
Mount Pritchard	10.8
Mount Rankin	1.5
Mount Riverview	4.7
Mount Saint Thomas	6.7
Mount Vernon	2.8
Mount Victoria	6.7
Mount Vincent	3.2
Mount Warning	37
Mount Warrigal	10.1
Mount White	3
Mount Wilson	13.6
Mountain Creek (NSW)	8.8
Mountain View (NSW)	4.3
Mudgee	5.8
Mulbring	4.4
Mulgoa	4.2
Muli Muli	78.6
Mullaley	13.3
Mullaway	6.6
Mullion Creek	2.9
Mulloon	4.2
Mullumbimby	6.6
Mullumbimby Creek	9
Mulwala	3.8
Mumbil	14.6
Mummel	4.8
Mummulgum	13.6
Mundamia	10
Mundongo	5.1
Mungay Creek	7.5
Mungindi (NSW)	6.2
Murrami	6
Murray Downs	2.2
Murrays Beach	4.8
Murrin Bridge	84.6
Murringo	8.3
Murrumbateman	3.1
Murrurundi	7.6
Murwillumbah	7.3
Muscle Creek	2.2
Muswellbrook	9.6
Muttama	5
Mylestom	4.8
Mylneford	10.3
Myocum	5.7
Nabiac	9.3
Nambucca Heads	11.5
Namoi River	12.1
Nana Glen	8.7
Nangus	5.5
Narara	6.1
Narellan	4.9
Narellan Vale	4.8
Naremburn	3.5
Narooma	6.1
Narrabeen	2.7
Narrabri	5.7
Narrandera	6.7
Narrawa	5.3
Narrawallee	6.4
Narraweena	3.3
Narromine	7.8
Narwee	8.8
Nashdale	3.4
Nashua	2.3
Neath	14.8
Nelligen	7
Nelson (The Hills Shire - NSW)	1.3
Nelson Bay (NSW)	7.9
Nelsons Plains	2.1
Nemingha	4.3
Nericon	4.4
Nerong	10.3
Nethercote	7.1
Neurea	5.2
Neutral Bay	3.6
Nevertire	6.2
Neville	4.6
New Berrima	4.2
New Brighton	7.2
New Italy	8.3
New Lambton	5.7
New Lambton Heights	5
New Park	6.9
Newbridge (NSW)	8.6
Newcastle	5.2
Newcastle East	5.8
Newcastle West	10.1
Newee Creek	5.8
Newington (NSW)	4.3
Newport (NSW)	3.3
Newrybar	1.8
Newtown (NSW)	4.5
Niagara Park	6.4
Niangala	3.9
Nimbin	15.5
Nimmitabel	4.7
Nobbys Creek	6.3
Nombi	11.1
Nooroo	11.1
Norah Head	5.7
Noraville	6.6
Nords Wharf	5.4
Normanhurst	4.6
North Albury	9.2
North Arm (NSW)	6.1
North Arm Cove	8
North Avoca	4.3
North Balgowlah	3.6
North Batemans Bay	8.7
North Boambee Valley	4.5
North Bondi	3.6
North Bourke	2.3
North Casino	6
North Curl Curl	3
North Dorrigo	11.1
North Epping	4.2
North Gosford	7.9
North Haven (NSW)	9.9
North Lambton	10.4
North Lismore	14.6
North Macksville	7.3
North Manly	4.3
North Narooma	5
North Narrabeen	3
North Nowra	5.3
North Parramatta	7.6
North Richmond	4.6
North Rocks	4.2
North Rothbury	5.2
North Ryde	5.1
North Shore (NSW)	6
North St Marys	12
North Star	3.4
North Strathfield	5.7
North Sydney	4.1
North Tamworth	5.2
North Tumbulgum	4.2
North Turramurra	3.7
North Wagga Wagga	6.7
North Wahroonga	4.3
North Willoughby	4.8
North Wollongong	14.9
North Woodburn	16.2
Northbridge (NSW)	3.8
Northmead	5.2
Northwood (NSW)	4.7
Nowra	12
Nowra Hill	4.3
Nulkaba	2.6
Nullamanna	4.1
Nullo Mountain	41.2
Number One	75
Numeralla	4.6
Numinbah	7.3
Numulgi	3.6
Nunderi	3.1
Nundle	9.2
Nymagee	10
Nymboida	20.3
Nyngan	5.4
O'Connell (NSW)	2.4
Oak Flats	7
Oakdale (NSW)	5.4
Oakey Park	7.5
Oakhampton	5.1
Oakhampton Heights	4.1
Oakhurst (NSW)	6.8
Oaklands	5.7
Oakville	3.2
Oakwood (NSW)	5.4
Oallen	6.5
Oatlands (NSW)	5
Oatley	4.1
Oberon	7.4
Ocean Shores	8
Ogunbil	14.5
Old Bar	8.5
Old Erowal Bay	9.9
Old Grevillia	15
Old Guildford	9.8
Old Junee	2.2
Old Toongabbie	4.8
One Mile (NSW)	6.7
Ophir	14.1
Oran Park	2.8
Orange	6.5
Orangeville	3.8
Orchard Hills	4.5
Orient Point	10.5
Otford	1.4
Oura	4.5
Ourimbah	5.3
Ournie	15.8
Oxley Island	4.4
Oxley Park	9
Oxley Vale	7.8
Oyster Bay	2.9
Oyster Cove (NSW)	25
Paddington (NSW)	3.3
Padstow	6.7
Padstow Heights	4.2
Pagewood	3.9
Pallamallawa	1.5
Palm Beach (NSW)	5.5
Palm Grove (NSW)	7.3
Palmers Island	7.4
Palmvale	17.5
Palmwoods (NSW)	8.8
Pambula	6.6
Pambula Beach	2.1
Pampoolah	7.9
Panania	5.6
Parkes (NSW)	7.2
Parkesbourne	5.4
Parklea	5.4
Parkville (NSW)	5.1
Parma	3.4
Parramatta	9.6
Paterson (NSW)	4.6
Patonga	5.3
Paxton	7.9
Peak Hill (NSW)	12.8
Peakhurst	5.3
Peakhurst Heights	4.2
Pearces Creek	3.5
Pearl Beach	5.5
Peats Ridge	5.4
Peel	2.1
Pelaw Main	8.4
Pelican (NSW)	7.1
Pemulwuy	4.3
Pendle Hill	8.4
Pennant Hills	5.6
Penrith	8.5
Penrose	2.8
Penshurst (NSW)	6.5
Perthville	4.8
Petersham	4.6
Pheasants Nest	3.1
Phegans Bay	5.7
Phillip Bay	4.5
Piallamore	2.2
Picnic Point	4
Picton (NSW)	4
Piggabeen	4.8
Pillar Valley	16.3
Pilliga	18.9
Pimlico (NSW)	10.1
Pindimar	3.4
Pine Camp	21.4
Pine Ridge	4.9
Pinkett	10.3
Piora	14.6
Pipeclay	10
Pitnacree	9.4
Pitt Town	2.2
Pleasure Point	1.7
Plumpton (NSW)	7.6
Point Clare	6.2
Point Frederick	6.9
Point Piper	2.9
Pokolbin	2.5
Pooncarie	3.3
Port Hacking	2.4
Port Kembla	10.8
Port Macquarie	6.6
Portland (NSW)	9.9
Possum Brush	4.7
Possum Creek	7.5
Potato Point	12.5
Pottery Estate	13
Potts Hill	4.9
Potts Point	4.1
Pottsville	6.1
Prairiewood	8.3
Premer	16.2
Prestons	6.2
Pretty Beach (Central Coast - NSW)	2.6
Primbee	9.2
Primrose Valley	5.2
Prospect (NSW)	4.7
Pumpenbil	4.8
Punchbowl (Canterbury-Bankstown - NSW)	10.4
Purfleet	36.4
Putney	3.9
Putta Bucca	2.6
Pymble	5.1
Pyrmont	5
Quaama	5.1
Quakers Hill	6.2
Quambone	7.6
Quandialla	3.9
Queanbeyan	5.2
Queanbeyan East	5.5
Queanbeyan West	3.9
Queens Park (NSW)	4.3
Queenscliff (NSW)	2.4
Quialigo	2.7
Quipolly	4.1
Quirindi	7.5
Quorrobolong	5
Raby	5.4
Raglan (NSW)	7.2
Rainbow Flat	8.8
Rainbow Reach	6.5
Raleigh	5.1
Ramornie	10
Ramsgate	3.7
Ramsgate Beach	3.9
Randwick	3.9
Rankin Park	4.7
Rankins Springs	3.1
Rappville	18.2
Rathmines	5.8
Ravenswood (NSW)	11.5
Raworth	6
Raymond Terrace	9.9
Razorback	3.3
Red Head	7.8
Red Range	6.8
Red Rock	9.7
Redbank (NSW)	7
Redbournberry	3.1
Redfern	5.5
Redhead	5.5
Reedy Creek (NSW)	6
Regents Park (NSW)	9.3
Regentville	3.6
Reids Flat	8.3
Renwick	1.7
Repentance Creek	10.9
Repton	6.9
Reserve Creek	8.6
Revesby	6.5
Revesby Heights	3.4
Rhodes	9.4
Richmond (NSW)	7.3
Richmond Hill (NSW)	2.5
Rileys Hill	9.2
Riverside (NSW)	10.7
Riverstone	6.3
Riverview (NSW)	4.1
Riverwood	9.5
Rob Roy	8.1
Robertson (NSW)	3.6
Robin Hill	3.1
Rock Flat	6.7
Rock Forest	2.8
Rock Valley	10.9
Rockdale	7.5
Rockley	12.4
Rockley Mount	8.7
Rocky Glen	8.6
Rocky Point (NSW)	10.5
Rocky River (Tenterfield - NSW)	60
Rocky River (Uralla - NSW)	9.7
Rodd Point	3.1
Rollands Plains	4.1
Rooty Hill	7.3
Ropes Crossing	5.1
Rose Bay (NSW)	3.7
Rosebank	10.7
Roseberry	15
Rosebery (NSW)	5.2
Rosedale (NSW)	4.6
Rosehill (NSW)	8.4
Roselands	7.5
Rosemeadow	7.8
Roseville	4.5
Roseville Chase	2.9
Rosewood (Port Macquarie-Hastings - NSW)	8.1
Rosewood (Snowy Valleys - NSW)	10.6
Rossglen	25
Rossi	5.7
Rossmore (NSW)	5.3
Roughit	5.3
Round Mountain	9
Round Swamp	33.3
Rous Mill	3.6
Rouse Hill	4.5
Rowena	9.7
Royalla	2.4
Rozelle	3.2
Rugby	6
Rukenvale	15.8
Run-o-Waters	4.5
Running Stream	6.5
Ruse	5.2
Rushcutters Bay	4.2
Rushes Creek	8.7
Rushforth	3
Russell Lea	3.3
Russell Vale	4
Rutherford	9.8
Ruthven	5.3
Rydal	3.7
Rydalmere	7.5
Ryde	5.9
Rye Park	5.7
Rylstone	8.4
Sackville	3.3
Sackville North	3.6
Sadleir	16.4
Safety Beach (NSW)	4.1
Salamander Bay	7.1
Salisbury Plains	5.9
Salt Ash	6.6
Saltwater	100
San Isidore	2
San Remo (NSW)	9.9
Sancrox	3.1
Sanctuary Point	9.7
Sandgate (NSW)	21.3
Sandringham (NSW)	5.9
Sandy Beach	8.7
Sandy Point (NSW)	4.7
Sans Souci	4.6
Sapphire	11.1
Sapphire Beach	4.9
Saratoga	4.5
Saumarez Ponds	1.3
Savernake	5.4
Sawtell	6.6
Sawyers Gully	5.4
Scarborough (NSW)	3.5
Schofields	5.1
Scone	4.4
Scotland Island	3.5
Scotts Head	9.5
Seaforth (NSW)	3.6
Seaham	6.4
Seahampton	7.1
Sedgefield	6.3
Seelands	6.3
Sefton	9.5
Seven Hills (NSW)	7.2
Sextonville	27.3
Shadforth (NSW)	7.1
Shalvey	10
Shanes Park	7.8
Shannon Brook	3.5
Shannon Vale	3.6
Shannondale	29.7
Sheedys Gully	10.3
Shell Cove	5.9
Shellharbour	5
Shelly Beach (NSW)	4.1
Sherwood (Kempsey - NSW)	3.7
Shoal Bay (NSW)	10.9
Shoalhaven Heads	3.5
Shortland	8.7
Silverdale (NSW)	3.9
Silverwater (Lake Macquarie - NSW)	2.5
Silverwater (Parramatta - NSW)	8
Singleton (NSW)	9
Singleton Heights	6.5
Skennars Head	4.4
Skinners Shoot	20.4
Smeaton Grange	33.3
Smithfield (NSW)	9.2
Smiths Creek (Kyogle - NSW)	20
Smiths Creek (Tweed - NSW)	12.3
Smiths Lake	10.2
Smithtown	5.1
Sofala	8.8
Soldiers Point	6.4
Somersby	4.6
Somerton (NSW)	2
South Albury	9.5
South Arm (Clarence Valley - NSW)	7.7
South Arm (Nambucca - NSW)	3.8
South Bathurst	7.4
South Bowenfels	2.6
South Coogee	5.9
South Durras	8.1
South Golden Beach	7.6
South Grafton	14.8
South Granville	11.9
South Gundagai	5.9
South Gundurimba	1.7
South Guyra	7.6
South Hurstville	6.2
South Kempsey	13.7
South Lismore	10.8
South Littleton	8.3
South Maitland	15.6
South Maroota	2.8
South Murwillumbah	7.4
South Nowra	5.6
South Pambula	3.5
South Penrith	5.5
South Tamworth	9.4
South Turramurra	4.1
South Wentworthville	7.5
South West Rocks	7.9
South Windsor	6.4
South Wolumla	8.5
Southgate	4.8
Speers Point	6.5
Spencer	5
Spicers Creek	7.9
Splitters Creek	2
Spring Farm (NSW)	2.6
Spring Flat	4.2
Spring Grove	4.4
Spring Hill (Cabonne - NSW)	1.7
Spring Ridge	2.2
Spring Terrace	6.6
Springdale (NSW)	5.6
Springdale Heights	9.7
Springfield (Central Coast - NSW)	6.3
Springrange	2.4
Springside (NSW)	4.6
Springvale (Lithgow - NSW)	17.6
Springvale (Wagga Wagga - NSW)	3.4
Springwood (NSW)	4.1
St Andrews (NSW)	6.9
St Clair (Penrith - NSW)	5.1
St Fillans	3.8
St Georges Basin	7.4
St Helens Park	6.5
St Huberts Island	3
St Ives (NSW)	4.4
St Ives Chase	3.4
St Johns Park	8.5
St Leonards (NSW)	4.4
St Marys (NSW)	9.4
St Peters (NSW)	3.9
Stanborough	10.7
Stanbridge	7.9
Stanford Merthyr	9.3
Stanhope (NSW)	4.2
Stanhope Gardens	5.4
Stanmore (NSW)	3.7
Stannifer	22.6
Stannum	14.3
Stanwell Park	3.8
Stanwell Tops	3.5
Stewarts River	5.8
Stockinbingal	3.1
Stockton (NSW)	6.8
Stockyard Creek (NSW)	21.4
Stokers Siding	8.6
Stonehenge (NSW)	5.9
Stony Chute	17.2
Stratford (NSW)	9.1
Stratheden	5.9
Strathfield (NSW)	6.7
Strathfield South	6.8
Stroud	5.9
Stroud Road	6.4
Stuart Town	7.4
Stuarts Point	14.5
Stubbo	3.2
Suffolk Park	5.9
Summer Hill (Inner West - NSW)	4.1
Summer Hill Creek	2.5
Summerland Point	9.5
Sunny Corner	10.8
Sunset Strip (NSW)	15.8
Sunshine (NSW)	8.1
Sunshine Bay	11.2
Surf Beach (NSW)	8.9
Surfside	8.1
Surry Hills	4.6
Sussex Inlet	7.3
Sutherland (NSW)	4.2
Sutton (NSW)	3.8
Sutton Forest	2.6
Swan Bay (Port Stephens - NSW)	5.8
Swan Bay (Richmond Valley - NSW)	3
Swan Creek (NSW)	9.1
Swanhaven	10.2
Swansea (NSW)	9.4
Swansea Heads	7.8
Sydenham (NSW)	6.2
Sydney	5.9
Sydney Olympic Park	8.9
Sylvania	4.3
Sylvania Waters	5
Table Top	2.4
Tabulam	7.3
Tacoma	4.8
Tacoma South	2.3
Tahlee	50
Tahmoor	6.1
Talarm	10.9
Talbingo	4.5
Tallong	5.6
Tallowwood Ridge	30.8
Tallwoods Village	4.1
Talofa	5.1
Taloumbi	22.2
Tamarama	3.2
Tamban	23.5
Tambar Springs	7.2
Tambaroora	18.8
Taminda	9.7
Tamworth	13.5
Tanglewood	12
Tanilba Bay	8.6
Tanja	4.2
Tapitallee	5.3
Tarago	2.3
Taralga	5.7
Tarbuck Bay	7.7
Tarcutta	7.5
Taree	11.9
Taree South	13
Taren Point	4.7
Tarraganda	4.1
Tarrawanna	5.5
Tarro	9.2
Tascott	6.2
Tatham	4.6
Tathra	3
Tatton	4.1
Taylors Arm	7.4
Taylors Beach (NSW)	6.3
Tea Gardens	8.4
Telarah	10.3
Telegraph Point	4.4
Telopea	8.6
Temagog	16.9
Temora	5.4
Tempe	4.6
Tenambit	9.5
Tennyson (NSW)	2.8
Tennyson Point	4.4
Tenterfield	7.3
Teralba	10
Terania Creek	10.5
Terara	3.7
Termeil	3.6
Terrace Creek	16.7
Terragon	7.9
Terranora	6.6
Terrey Hills	3.5
Terrigal	5.2
Terry Hie Hie	8.6
Teven	6.7
Tewinga	8.6
Texas (NSW)	13.6
Thalgarrah	3.1
Tharbogang	4.1
The Angle	7.3
The Bight	11.8
The Branch	6.4
The Channon	9.7
The Entrance	11.9
The Entrance North	7.4
The Gap (Wagga Wagga - NSW)	11.8
The Hill	5.6
The Junction	5
The Lagoon	7.9
The Marra	7.5
The Oaks	3.7
The Pinnacles	26.9
The Pocket	6.4
The Ponds	4.4
The Ridgeway	5.4
The Rock	4.5
The Rocks (Sydney - NSW)	2.8
The Slopes	4.9
The Whiteman	5.1
Theresa Creek (NSW)	10.8
Thirlmere	5.2
Thirroul	4.2
Thora	9
Thornleigh	4
Thornton (NSW)	5.7
Thrumster	1.3
Thurgoona	4.9
Tibooburra	4.1
Tichborne	8.1
Tighes Hill	6.5
Tilba Tilba	6.5
Timor (NSW)	12.5
Tingha	16.6
Tingira Heights	5.3
Tinonee	6.5
Tintenbar	2.3
Tintinhull	2.2
Tocal (NSW)	15.8
Tocumwal	3.9
Tolland	10.2
Tomago	11.8
Tomakin	4.7
Tomerong	4.7
Tomingley	3.6
Tonderburine	7.5
Tongarra	4.1
Tooleybuc	3.3
Toongabbie (NSW)	6.9
Toonumbar	18.8
Tooraweenah	2.3
Toormina	11.1
Toowoon Bay	7
Toronto	9.9
Torryburn (Dungog - NSW)	4.8
Tottenham (NSW)	4.5
Toukley	9.3
Towamba	13.2
Townsend	4.7
Towradgi	4.9
Towrang	5.1
Trangie	7.8
Tregeagle	6.2
Tregear	16.5
Trenayr	7.5
Trentham Cliffs	8.3
Trundle	7.2
Tucabia	7.5
Tuckombil	3.8
Tuckurimba	6
Tuggerah	5.7
Tuggerawong	8.6
Tugrabakh	12.5
Tullakool	7.1
Tullamore	2.9
Tullera	1.7
Tullimbar	3
Tullymorgan	7.3
Tumbarumba	5.1
Tumbi Umbi	6.2
Tumblong	3.2
Tumbulgum	3.2
Tumut	6.6
Tuncester	12.2
Tuncurry	10
Tuntable Creek	9.4
Tura Beach	4.8
Turners Flat	4.1
Turondale	6.7
Tuross Head	8.4
Turramurra	4.6
Turrella	8.1
Turvey Park	5.3
Tweed Heads	8.3
Tweed Heads South	8.2
Tweed Heads West	9.5
Twelve Mile	18.8
Twelve Mile Creek	16.1
Tyagarah	13.9
Tyalgum	9.5
Tyndale	7.5
Uarbry	18.8
Uki	7.4
Ulamambri	4.1
Ulan	12.5
Ulladulla	8.1
Ulmarra	10.7
Ulong	11.4
Ultimo	12.7
Umina Beach	7.6
Unanderra	8.7
Underbank	17.6
Ungarie	5.3
Upper Burringbar	5.8
Upper Colo	10.3
Upper Coopers Creek	25
Upper Copmanhurst	9.7
Upper Corindi	10.8
Upper Crystal Creek	12.5
Upper Dartbrook	3.9
Upper Duroby	8.2
Upper Horseshoe Creek	15.8
Upper Kangaroo River	5.8
Upper Lansdowne	8.1
Upper Main Arm	15.1
Upper Manilla	4.4
Upper Nile	100
Upper Orara	4.7
Upper Rollands Plains	13.8
Upper Taylors Arm	5.9
Upper Tooloom	31.6
Upsalls Creek	11.3
Uralba	9.3
Uralla (NSW)	5.9
Urana	2.9
Uranquinty	3.9
Urbenville	6.7
Urila	4.5
Urliup	16.3
Urunga	8.3
Utungun	10.5
Vacy	4.5
Vale Of Clwydd	13
Valentine	5.6
Valery	4.5
