SSC_NAME16	AgeStudent	Sex	students
Adamstown	5-14	M	351
Adamstown	15-19	F	132
Adamstown	15-19	M	142
Adamstown	20-24	F	123
Adamstown	20-24	M	92
Adamstown	25+	F	176
Adamstown	25+	M	96
Adamstown Heights	0-4	F	54
Adamstown Heights	0-4	M	57
Adamstown Heights	5-14	F	349
Adamstown Heights	5-14	M	382
Adamstown Heights	15-19	F	121
Adamstown Heights	15-19	M	122
Adamstown Heights	20-24	F	58
Adamstown Heights	20-24	M	71
Adamstown Heights	25+	F	101
Adamstown Heights	25+	M	69
Adelong	0-4	F	5
Adelong	0-4	M	10
Adelong	5-14	F	59
Adelong	5-14	M	69
Adelong	15-19	F	19
Adelong	15-19	M	21
Adelong	20-24	F	4
Adelong	25+	F	14
Adelong	25+	M	4
Adjungbilly	5-14	F	11
Adjungbilly	5-14	M	9
Adjungbilly	15-19	F	3
Adjungbilly	15-19	M	3
Afterlee	5-14	F	4
Afterlee	5-14	M	3
Agnes Banks	0-4	F	6
Agnes Banks	0-4	M	9
Agnes Banks	5-14	F	73
Agnes Banks	5-14	M	71
Agnes Banks	15-19	F	19
Agnes Banks	15-19	M	31
Agnes Banks	20-24	F	8
Agnes Banks	20-24	M	6
Agnes Banks	25+	F	20
Agnes Banks	25+	M	4
Airds	0-4	F	18
Airds	0-4	M	28
Airds	5-14	F	205
Airds	5-14	M	259
Airds	15-19	F	75
Airds	15-19	M	65
Airds	20-24	F	17
Airds	20-24	M	13
Airds	25+	F	47
Airds	25+	M	9
Akolele	5-14	F	8
Akolele	5-14	M	15
Akolele	15-19	F	4
Akolele	15-19	M	3
Albert	5-14	F	5
Albert	5-14	M	8
Albert	15-19	M	3
Albion Park	0-4	F	144
Albion Park	0-4	M	149
Albion Park	5-14	F	989
Albion Park	5-14	M	947
Albion Park	15-19	F	419
Albion Park	15-19	M	377
Albion Park	20-24	F	129
Albion Park	20-24	M	107
Albion Park	25+	F	234
Albion Park	25+	M	86
Albion Park Rail	0-4	F	68
Albion Park Rail	0-4	M	62
Albion Park Rail	5-14	F	365
Albion Park Rail	5-14	M	394
Albion Park Rail	15-19	F	147
Albion Park Rail	15-19	M	136
Albion Park Rail	20-24	F	56
Albion Park Rail	20-24	M	44
Albion Park Rail	25+	F	119
Albion Park Rail	25+	M	77
Albury	0-4	F	30
Albury	0-4	M	25
Albury	5-14	F	227
Albury	5-14	M	228
Albury	15-19	F	103
Albury	15-19	M	98
Albury	20-24	F	62
Albury	20-24	M	40
Albury	25+	F	108
Albury	25+	M	76
Aldavilla	0-4	M	9
Aldavilla	5-14	F	38
Aldavilla	5-14	M	31
Aldavilla	15-19	F	19
Aldavilla	15-19	M	15
Aldavilla	20-24	F	3
Aldavilla	20-24	M	3
Aldavilla	25+	F	13
Aldavilla	25+	M	5
Alectown	0-4	M	3
Alectown	5-14	F	5
Alectown	5-14	M	8
Alectown	15-19	F	6
Alectown	15-19	M	3
Alectown	20-24	M	3
Alectown	25+	F	4
Alectown	25+	M	3
Alexandria	0-4	F	37
Alexandria	0-4	M	44
Alexandria	5-14	F	213
Alexandria	5-14	M	174
Alexandria	15-19	F	70
Alexandria	15-19	M	60
Alexandria	20-24	F	124
Alexandria	20-24	M	115
Alexandria	25+	F	319
Alexandria	25+	M	257
Alfords Point	0-4	F	25
Alfords Point	0-4	M	24
Alfords Point	5-14	F	191
Alfords Point	5-14	M	172
Alfords Point	15-19	F	110
Alfords Point	15-19	M	97
Alfords Point	20-24	F	69
Alfords Point	20-24	M	57
Alfords Point	25+	F	51
Alfords Point	25+	M	26
Alfredtown	5-14	F	8
Alfredtown	5-14	M	6
Alfredtown	15-19	F	3
Alfredtown	25+	F	3
Alison (Central Coast - NSW)	5-14	F	6
Alison (Central Coast - NSW)	5-14	M	7
Alison (Central Coast - NSW)	15-19	F	4
Alison (Central Coast - NSW)	25+	F	3
Alison (Dungog - NSW)	0-4	M	3
Alison (Dungog - NSW)	5-14	M	4
Alison (Dungog - NSW)	15-19	F	3
Allambie Heights	0-4	F	67
Allambie Heights	0-4	M	84
Allambie Heights	5-14	F	504
Allambie Heights	5-14	M	540
Allambie Heights	15-19	F	181
Allambie Heights	15-19	M	194
Allambie Heights	20-24	F	66
Allambie Heights	20-24	M	81
Allambie Heights	25+	F	132
Allambie Heights	25+	M	77
Allandale (NSW)	5-14	F	5
Allandale (NSW)	5-14	M	7
Allandale (NSW)	15-19	F	4
Allandale (NSW)	20-24	M	3
Allawah	0-4	F	34
Allawah	0-4	M	31
Allawah	5-14	F	198
Allawah	5-14	M	229
Allawah	15-19	F	117
Allawah	15-19	M	131
Allawah	20-24	F	126
Allawah	20-24	M	174
Allawah	25+	F	216
Allawah	25+	M	181
Alleena	5-14	F	4
Alleena	5-14	M	7
Alleena	15-19	F	3
Allgomera	5-14	F	11
Allgomera	5-14	M	9
Allgomera	15-19	F	10
Allgomera	25+	F	4
Allworth	0-4	M	3
Allworth	5-14	F	7
Allworth	5-14	M	11
Allworth	25+	F	3
Allynbrook	5-14	M	3
Allynbrook	25+	F	3
Alma Park	5-14	F	7
Alma Park	5-14	M	7
Alpine	5-14	F	13
Alpine	5-14	M	9
Alpine	15-19	F	6
Alpine	15-19	M	3
Alpine	25+	F	3
Alstonvale	0-4	M	5
Alstonvale	5-14	F	31
Alstonvale	5-14	M	17
Alstonvale	15-19	F	24
Alstonvale	15-19	M	13
Alstonvale	25+	F	7
Alstonvale	25+	M	12
Alstonville	0-4	F	45
Alstonville	0-4	M	44
Alstonville	5-14	F	306
Alstonville	5-14	M	330
Alstonville	15-19	F	126
Alstonville	15-19	M	128
Alstonville	20-24	F	28
Alstonville	20-24	M	13
Alstonville	25+	F	123
Alstonville	25+	M	51
Alumy Creek	5-14	F	4
Alumy Creek	5-14	M	6
Alumy Creek	25+	F	4
Amaroo (NSW)	5-14	F	3
Amaroo (NSW)	15-19	M	3
Ambarvale	0-4	F	62
Ambarvale	0-4	M	55
Ambarvale	5-14	F	495
Ambarvale	5-14	M	514
Ambarvale	15-19	F	178
Ambarvale	15-19	M	167
Ambarvale	20-24	F	78
Ambarvale	20-24	M	65
Ambarvale	25+	F	132
Ambarvale	25+	M	60
Amosfield	15-19	M	3
Anabranch South	5-14	M	8
Ando	5-14	F	3
Ando	5-14	M	5
Ando	15-19	F	3
Anembo	5-14	F	3
Anembo	5-14	M	9
Angledale	5-14	F	11
Angledale	5-14	M	3
Angledale	15-19	F	4
Angledale	15-19	M	3
Angledale	25+	F	3
Angledool	15-19	F	3
Anglers Reach	5-14	F	3
Anglers Reach	5-14	M	3
Angourie	5-14	F	13
Angourie	5-14	M	10
Angourie	15-19	M	6
Angourie	25+	F	5
Anna Bay	0-4	F	21
Anna Bay	0-4	M	26
Anna Bay	5-14	F	182
Anna Bay	5-14	M	216
Anna Bay	15-19	F	79
Anna Bay	15-19	M	106
Anna Bay	20-24	F	20
Anna Bay	20-24	M	19
Anna Bay	25+	F	61
Anna Bay	25+	M	27
Annandale (NSW)	0-4	F	60
Annandale (NSW)	0-4	M	71
Annandale (NSW)	5-14	F	427
Annandale (NSW)	5-14	M	455
Annandale (NSW)	15-19	F	136
Annandale (NSW)	15-19	M	149
Annandale (NSW)	20-24	F	189
Annandale (NSW)	20-24	M	162
Annandale (NSW)	25+	F	333
Annandale (NSW)	25+	M	235
Annangrove	0-4	F	8
Annangrove	0-4	M	4
Annangrove	5-14	F	81
Annangrove	5-14	M	102
Annangrove	15-19	F	43
Annangrove	15-19	M	57
Annangrove	20-24	F	24
Annangrove	20-24	M	20
Annangrove	25+	F	11
Annangrove	25+	M	10
Appin (NSW)	0-4	F	21
Appin (NSW)	0-4	M	35
Appin (NSW)	5-14	F	190
Appin (NSW)	5-14	M	194
Appin (NSW)	15-19	F	61
Appin (NSW)	15-19	M	72
Appin (NSW)	20-24	F	17
Appin (NSW)	20-24	M	14
Appin (NSW)	25+	F	40
Appin (NSW)	25+	M	18
Apple Tree Flat	5-14	F	4
Apple Tree Flat	5-14	M	3
Appleby	5-14	F	3
Appleby	15-19	M	3
Appletree Flat	5-14	M	3
Apsley (NSW)	5-14	F	7
Apsley (NSW)	5-14	M	8
Apsley (NSW)	15-19	F	3
Apsley (NSW)	15-19	M	4
Arakoon	0-4	F	4
Arakoon	0-4	M	3
Arakoon	5-14	F	5
Arakoon	5-14	M	20
Arakoon	15-19	F	4
Arakoon	15-19	M	6
Arakoon	20-24	F	3
Arakoon	25+	F	3
Arakoon	25+	M	4
Araluen (NSW)	5-14	F	5
Araluen (NSW)	5-14	M	4
Araluen (NSW)	15-19	M	3
Aratula (NSW)	0-4	F	3
Arcadia (NSW)	0-4	F	7
Arcadia (NSW)	0-4	M	8
Arcadia (NSW)	5-14	F	102
Arcadia (NSW)	5-14	M	115
Arcadia (NSW)	15-19	F	39
Arcadia (NSW)	15-19	M	39
Arcadia (NSW)	20-24	F	22
Arcadia (NSW)	20-24	M	22
Arcadia (NSW)	25+	F	20
Arcadia (NSW)	25+	M	24
Arcadia Vale	0-4	F	16
Arcadia Vale	0-4	M	12
Arcadia Vale	5-14	F	78
Arcadia Vale	5-14	M	81
Arcadia Vale	15-19	F	21
Arcadia Vale	15-19	M	31
Arcadia Vale	20-24	F	8
Arcadia Vale	20-24	M	10
Arcadia Vale	25+	F	25
Arcadia Vale	25+	M	10
Ardglen	5-14	F	4
Ardglen	5-14	M	7
Arding	5-14	F	11
Arding	5-14	M	16
Arding	15-19	F	3
Arding	15-19	M	5
Arding	20-24	M	3
Arding	25+	M	3
Ardlethan	0-4	F	3
Ardlethan	5-14	F	24
Ardlethan	5-14	M	18
Ardlethan	15-19	F	5
Ardlethan	15-19	M	4
Argalong	5-14	F	8
Argenton	0-4	F	3
Argenton	0-4	M	8
Argenton	5-14	F	71
Argenton	5-14	M	74
Argenton	15-19	F	21
Argenton	15-19	M	19
Argenton	20-24	F	9
Argenton	20-24	M	12
Argenton	25+	F	25
Argenton	25+	M	14
Argents Hill	5-14	F	12
Argents Hill	5-14	M	11
Argents Hill	15-19	M	7
Argents Hill	25+	F	3
Argents Hill	25+	M	3
Argoon (NSW)	5-14	M	3
Ariah Park	0-4	F	7
Ariah Park	0-4	M	5
Ariah Park	5-14	F	35
Ariah Park	5-14	M	38
Ariah Park	15-19	F	13
Ariah Park	15-19	M	7
Ariah Park	25+	M	3
Arkstone	5-14	M	3
Arkstone	15-19	M	3
Armatree	0-4	F	4
Armatree	0-4	M	3
Armatree	5-14	F	13
Armatree	5-14	M	12
Armatree	15-19	F	7
Armatree	20-24	F	3
Armidale	0-4	F	166
Armidale	0-4	M	180
Armidale	5-14	F	1302
Armidale	5-14	M	1311
Armidale	15-19	F	898
Armidale	15-19	M	791
Armidale	20-24	F	786
Armidale	20-24	M	679
Armidale	25+	F	816
Armidale	25+	M	599
Arncliffe	0-4	F	56
Arncliffe	0-4	M	65
Arncliffe	5-14	F	451
Arncliffe	5-14	M	483
Arncliffe	15-19	F	209
Arncliffe	15-19	M	213
Arncliffe	20-24	F	235
Arncliffe	20-24	M	239
Arncliffe	25+	F	348
Arncliffe	25+	M	308
Arndell Park	15-19	M	3
Arrawarra	5-14	F	3
Arrawarra	5-14	M	13
Arrawarra	15-19	F	3
Arrawarra	15-19	M	3
Arrawarra	25+	F	11
Arrawarra	25+	M	5
Arrawarra Headland	0-4	F	3
Arrawarra Headland	0-4	M	3
Arrawarra Headland	5-14	F	25
Arrawarra Headland	5-14	M	28
Arrawarra Headland	15-19	F	11
Arrawarra Headland	15-19	M	16
Arrawarra Headland	20-24	M	3
Arrawarra Headland	25+	F	3
Arrawarra Headland	25+	M	4
Artarmon	0-4	F	71
Artarmon	0-4	M	69
Artarmon	5-14	F	526
Artarmon	5-14	M	584
Artarmon	15-19	F	164
Artarmon	15-19	M	202
Artarmon	20-24	F	161
Artarmon	20-24	M	132
Artarmon	25+	F	347
Artarmon	25+	M	239
Arthurville	5-14	M	3
Arumpo	5-14	F	3
Arumpo	5-14	M	3
Ashbury	0-4	F	22
Ashbury	0-4	M	38
Ashbury	5-14	F	235
Ashbury	5-14	M	222
Ashbury	15-19	F	91
Ashbury	15-19	M	103
Ashbury	20-24	F	36
Ashbury	20-24	M	41
Ashbury	25+	F	68
Ashbury	25+	M	33
Ashby (NSW)	0-4	F	3
Ashby (NSW)	5-14	F	7
Ashby (NSW)	5-14	M	14
Ashby (NSW)	15-19	F	6
Ashby (NSW)	15-19	M	3
Ashby (NSW)	20-24	F	3
Ashby (NSW)	25+	F	8
Ashby Heights	5-14	F	13
Ashby Heights	5-14	M	11
Ashby Heights	15-19	F	4
Ashby Heights	25+	F	8
Ashby Heights	25+	M	3
Ashcroft	0-4	F	33
Ashcroft	0-4	M	29
Ashcroft	5-14	F	243
Ashcroft	5-14	M	238
Ashcroft	15-19	F	101
Ashcroft	15-19	M	85
Ashcroft	20-24	F	41
Ashcroft	20-24	M	32
Ashcroft	25+	F	67
Ashcroft	25+	M	23
Ashfield (NSW)	0-4	F	120
Ashfield (NSW)	0-4	M	125
Ashfield (NSW)	5-14	F	789
Ashfield (NSW)	5-14	M	752
Ashfield (NSW)	15-19	F	389
Ashfield (NSW)	15-19	M	439
Ashfield (NSW)	20-24	F	644
Ashfield (NSW)	20-24	M	713
Ashfield (NSW)	25+	F	1056
Ashfield (NSW)	25+	M	870
Ashford (NSW)	0-4	F	5
Ashford (NSW)	0-4	M	3
Ashford (NSW)	5-14	F	36
Ashford (NSW)	5-14	M	33
Ashford (NSW)	15-19	F	12
Ashford (NSW)	15-19	M	19
Ashford (NSW)	25+	F	13
Ashford (NSW)	25+	M	3
Ashley	0-4	M	10
Ashley	5-14	F	26
Ashley	5-14	M	28
Ashley	15-19	F	3
Ashley	15-19	M	3
Ashley	20-24	F	5
Ashley	20-24	M	7
Ashley	25+	F	4
Ashmont	0-4	F	24
Ashmont	0-4	M	34
Ashmont	5-14	F	241
Ashmont	5-14	M	247
Ashmont	15-19	F	83
Ashmont	15-19	M	65
Ashmont	20-24	F	29
Ashmont	20-24	M	31
Ashmont	25+	F	68
Ashmont	25+	M	29
Ashtonfield	0-4	F	48
Ashtonfield	0-4	M	42
Ashtonfield	5-14	F	383
Ashtonfield	5-14	M	367
Ashtonfield	15-19	F	107
Ashtonfield	15-19	M	146
Ashtonfield	20-24	F	48
Ashtonfield	20-24	M	39
Ashtonfield	25+	F	92
Ashtonfield	25+	M	52
Asquith	0-4	F	25
Asquith	0-4	M	19
Asquith	5-14	F	251
Asquith	5-14	M	222
Asquith	15-19	F	95
Asquith	15-19	M	83
Asquith	20-24	F	37
Asquith	20-24	M	59
Asquith	25+	F	78
Asquith	25+	M	43
Atholwood	5-14	F	14
Atholwood	5-14	M	3
Atholwood	15-19	F	3
Atholwood	25+	F	3
Attunga	0-4	M	7
Attunga	5-14	F	27
Attunga	5-14	M	35
Attunga	15-19	F	9
Attunga	15-19	M	7
Attunga	25+	F	7
Attunga	25+	M	3
Auburn (NSW)	0-4	F	206
Auburn (NSW)	0-4	M	217
Auburn (NSW)	5-14	F	1874
Auburn (NSW)	5-14	M	1970
Auburn (NSW)	15-19	F	872
Auburn (NSW)	15-19	M	915
Auburn (NSW)	20-24	F	761
Auburn (NSW)	20-24	M	1136
Auburn (NSW)	25+	F	1093
Auburn (NSW)	25+	M	1474
Auburn Vale	0-4	M	3
Auburn Vale	5-14	F	10
Auburn Vale	5-14	M	9
Auburn Vale	20-24	F	3
Austinmer	0-4	F	29
Austinmer	0-4	M	21
Austinmer	5-14	F	169
Austinmer	5-14	M	176
Austinmer	15-19	F	68
Austinmer	15-19	M	59
Austinmer	20-24	F	32
Austinmer	20-24	M	32
Austinmer	25+	F	62
Austinmer	25+	M	41
Austral	0-4	F	19
Austral	0-4	M	15
Austral	5-14	F	146
Austral	5-14	M	144
Austral	15-19	F	62
Austral	15-19	M	77
Austral	20-24	F	29
Austral	20-24	M	36
Austral	25+	F	36
Austral	25+	M	16
Austral Eden	5-14	F	9
Austral Eden	5-14	M	12
Austral Eden	15-19	F	3
Austral Eden	25+	F	3
Avalon Beach	0-4	F	104
Avalon Beach	0-4	M	89
Avalon Beach	5-14	F	653
Avalon Beach	5-14	M	674
Avalon Beach	15-19	F	288
Avalon Beach	15-19	M	283
Avalon Beach	20-24	F	88
Avalon Beach	20-24	M	133
Avalon Beach	25+	F	174
Avalon Beach	25+	M	76
Avisford	5-14	F	4
Avisford	5-14	M	3
Avoca (NSW)	0-4	M	3
Avoca (NSW)	5-14	F	20
Avoca (NSW)	5-14	M	17
Avoca (NSW)	15-19	F	9
Avoca (NSW)	15-19	M	9
Avoca (NSW)	25+	F	3
Avoca Beach	0-4	F	47
Avoca Beach	0-4	M	42
Avoca Beach	5-14	F	351
Avoca Beach	5-14	M	337
Avoca Beach	15-19	F	129
Avoca Beach	15-19	M	146
Avoca Beach	20-24	F	35
Avoca Beach	20-24	M	49
Avoca Beach	25+	F	101
Avoca Beach	25+	M	50
Avondale (NSW)	0-4	F	25
Avondale (NSW)	0-4	M	12
Avondale (NSW)	5-14	F	82
Avondale (NSW)	5-14	M	83
Avondale (NSW)	15-19	F	29
Avondale (NSW)	15-19	M	26
Avondale (NSW)	20-24	F	11
Avondale (NSW)	20-24	M	13
Avondale (NSW)	25+	F	21
Avondale (NSW)	25+	M	12
Avonside	5-14	F	13
Avonside	5-14	M	9
Avonside	15-19	F	3
Avonside	15-19	M	3
Avonside	25+	F	3
Awaba	0-4	M	5
Awaba	5-14	F	28
Awaba	5-14	M	31
Awaba	15-19	F	9
Awaba	15-19	M	12
Awaba	20-24	F	5
Awaba	20-24	M	5
Awaba	25+	F	8
Awaba	25+	M	5
Aylmerton	5-14	F	4
Aylmerton	5-14	M	12
Aylmerton	15-19	F	3
Aylmerton	20-24	F	3
Aylmerton	25+	F	3
Baan Baa	5-14	F	6
Baan Baa	5-14	M	8
Baan Baa	15-19	F	3
Baan Baa	15-19	M	3
Baan Baa	25+	F	5
Back Creek (Bland - NSW)	5-14	F	6
Back Creek (Bland - NSW)	5-14	M	4
Back Forest	5-14	F	4
Back Forest	5-14	M	3
Back Forest	15-19	F	5
Back Forest	20-24	M	7
Backmede	0-4	M	4
Backmede	5-14	F	9
Backmede	5-14	M	9
Backmede	15-19	F	3
Backmede	15-19	M	3
Backmede	20-24	M	3
Badgerys Creek	0-4	F	3
Badgerys Creek	5-14	F	16
Badgerys Creek	5-14	M	14
Badgerys Creek	15-19	F	4
Badgerys Creek	15-19	M	5
Badgerys Creek	20-24	M	3
Badgerys Creek	25+	F	3
Baerami	5-14	M	8
Baerami	15-19	F	5
Baerami Creek	5-14	M	3
Bagnoo	5-14	F	3
Bagnoo	5-14	M	5
Bago	5-14	F	3
Bago	5-14	M	3
Bago	15-19	F	3
Bagotville	15-19	M	3
Bakers Creek (Mid-Coast - NSW)	5-14	M	3
Bakers Swamp	5-14	F	3
Balaclava (NSW)	0-4	F	7
Balaclava (NSW)	0-4	M	3
Balaclava (NSW)	5-14	F	22
Balaclava (NSW)	5-14	M	23
Balaclava (NSW)	15-19	F	8
Balaclava (NSW)	15-19	M	5
Balaclava (NSW)	20-24	F	5
Balaclava (NSW)	20-24	M	4
Balaclava (NSW)	25+	F	12
Balaclava (NSW)	25+	M	6
Balala	5-14	F	11
Balala	5-14	M	9
Balcolyn	0-4	F	7
Balcolyn	0-4	M	8
Balcolyn	5-14	F	54
Balcolyn	5-14	M	64
Balcolyn	15-19	F	23
Balcolyn	15-19	M	7
Balcolyn	20-24	F	3
Balcolyn	20-24	M	4
Balcolyn	25+	F	23
Balcolyn	25+	M	11
Bald Blair	5-14	F	3
Bald Blair	5-14	M	5
Bald Hills (NSW)	0-4	F	3
Bald Hills (NSW)	5-14	F	17
Bald Hills (NSW)	5-14	M	28
Bald Hills (NSW)	15-19	F	5
Bald Hills (NSW)	15-19	M	3
Bald Nob	5-14	M	3
Baldersleigh	5-14	F	3
Baldersleigh	5-14	M	4
Baldersleigh	15-19	F	4
Baldersleigh	15-19	M	3
Baldry	5-14	F	17
Baldry	5-14	M	10
Balfours Peak	0-4	M	3
Balfours Peak	5-14	F	3
Balfours Peak	5-14	M	6
Balgowlah	0-4	F	73
Balgowlah	0-4	M	96
Balgowlah	5-14	F	511
Balgowlah	5-14	M	501
Balgowlah	15-19	F	140
Balgowlah	15-19	M	157
Balgowlah	20-24	F	88
Balgowlah	20-24	M	77
Balgowlah	25+	F	180
Balgowlah	25+	M	93
Balgowlah Heights	0-4	F	40
Balgowlah Heights	0-4	M	29
Balgowlah Heights	5-14	F	339
Balgowlah Heights	5-14	M	330
Balgowlah Heights	15-19	F	123
Balgowlah Heights	15-19	M	101
Balgowlah Heights	20-24	F	29
Balgowlah Heights	20-24	M	60
Balgowlah Heights	25+	F	41
Balgowlah Heights	25+	M	26
Balgownie	0-4	F	42
Balgownie	0-4	M	51
Balgownie	5-14	F	318
Balgownie	5-14	M	322
Balgownie	15-19	F	145
Balgownie	15-19	M	144
Balgownie	20-24	F	66
Balgownie	20-24	M	63
Balgownie	25+	F	109
Balgownie	25+	M	61
Balickera	5-14	F	3
Balickera	5-14	M	3
Balickera	15-19	M	3
Balickera	25+	F	3
Balladoran	5-14	F	10
Balladoran	5-14	M	3
Balladoran	15-19	F	6
Balladoran	15-19	M	3
Balldale	5-14	F	11
Balldale	5-14	M	13
Balldale	15-19	F	4
Balldale	15-19	M	3
Ballengarra	0-4	F	3
Ballengarra	5-14	F	8
Ballengarra	5-14	M	7
Ballengarra	15-19	F	6
Ballengarra	25+	F	3
Ballimore	0-4	M	3
Ballimore	5-14	F	16
Ballimore	5-14	M	7
Ballimore	15-19	F	3
Ballimore	15-19	M	3
Ballimore	20-24	F	3
Ballimore	25+	F	3
Ballina	0-4	F	39
Ballina	0-4	M	31
Ballina	5-14	F	294
Ballina	5-14	M	283
Ballina	15-19	F	103
Ballina	15-19	M	127
Ballina	20-24	F	47
Ballina	20-24	M	26
Ballina	25+	F	141
Ballina	25+	M	73
Balmain	0-4	F	96
Balmain	0-4	M	85
Balmain	5-14	F	462
Balmain	5-14	M	535
Balmain	15-19	F	146
Balmain	15-19	M	149
Balmain	20-24	F	106
Balmain	20-24	M	96
Balmain	25+	F	276
Balmain	25+	M	173
Balmain East	0-4	F	14
Balmain East	0-4	M	14
Balmain East	5-14	F	87
Balmain East	5-14	M	96
Balmain East	15-19	F	25
Balmain East	15-19	M	32
Balmain East	20-24	F	23
Balmain East	20-24	M	22
Balmain East	25+	F	42
Balmain East	25+	M	22
Balmoral (Lake Macquarie - NSW)	0-4	F	7
Balmoral (Lake Macquarie - NSW)	0-4	M	6
Balmoral (Lake Macquarie - NSW)	5-14	F	33
Balmoral (Lake Macquarie - NSW)	5-14	M	42
Balmoral (Lake Macquarie - NSW)	15-19	F	19
Balmoral (Lake Macquarie - NSW)	15-19	M	26
Balmoral (Lake Macquarie - NSW)	20-24	F	12
Balmoral (Lake Macquarie - NSW)	20-24	M	6
Balmoral (Lake Macquarie - NSW)	25+	F	9
Balmoral (Lake Macquarie - NSW)	25+	M	3
Balmoral (Wingecarribee - NSW)	0-4	F	8
Balmoral (Wingecarribee - NSW)	0-4	M	3
Balmoral (Wingecarribee - NSW)	5-14	F	16
Balmoral (Wingecarribee - NSW)	5-14	M	26
Balmoral (Wingecarribee - NSW)	15-19	F	11
Balmoral (Wingecarribee - NSW)	15-19	M	10
Balmoral (Wingecarribee - NSW)	20-24	F	4
Balmoral (Wingecarribee - NSW)	20-24	M	3
Balmoral (Wingecarribee - NSW)	25+	F	7
Balranald	0-4	F	7
Balranald	0-4	M	4
Balranald	5-14	F	75
Balranald	5-14	M	88
Balranald	15-19	F	22
Balranald	15-19	M	32
Balranald	20-24	F	4
Balranald	20-24	M	3
Balranald	25+	F	6
Balranald	25+	M	3
Bamarang	15-19	F	3
Bamarang	15-19	M	3
Bandon Grove	0-4	F	3
Bandon Grove	5-14	F	7
Bandon Grove	5-14	M	12
Bandon Grove	15-19	F	3
Bangadang	5-14	M	4
Bangalee (NSW)	0-4	F	8
Bangalee (NSW)	0-4	M	9
Bangalee (NSW)	5-14	F	26
Bangalee (NSW)	5-14	M	36
Bangalee (NSW)	15-19	F	27
Bangalee (NSW)	15-19	M	15
Bangalee (NSW)	20-24	F	10
Bangalee (NSW)	25+	F	7
Bangalee (NSW)	25+	M	6
Bangalow	0-4	F	13
Bangalow	0-4	M	19
Bangalow	5-14	F	152
Bangalow	5-14	M	141
