SSC_NAME16	AgeStudent	Sex	students
Abbotsbury	0-4	F	33
Abbotsbury	0-4	M	29
Abbotsbury	5-14	F	258
Abbotsbury	5-14	M	239
Abbotsbury	15-19	F	151
Abbotsbury	15-19	M	128
Abbotsbury	20-24	F	83
Abbotsbury	20-24	M	84
Abbotsbury	25+	F	61
Abbotsbury	25+	M	32
Abbotsford (NSW)	0-4	F	38
Abbotsford (NSW)	0-4	M	38
Abbotsford (NSW)	5-14	F	243
Abbotsford (NSW)	5-14	M	240
Abbotsford (NSW)	15-19	F	95
Abbotsford (NSW)	15-19	M	101
Abbotsford (NSW)	20-24	F	41
Abbotsford (NSW)	20-24	M	37
Abbotsford (NSW)	25+	F	107
Abbotsford (NSW)	25+	M	67
Abercrombie	0-4	F	9
Abercrombie	0-4	M	8
Abercrombie	5-14	F	114
Abercrombie	5-14	M	94
Abercrombie	15-19	F	38
Abercrombie	15-19	M	31
Abercrombie	20-24	F	13
Abercrombie	20-24	M	8
Abercrombie	25+	F	26
Abercrombie	25+	M	9
Aberdare	0-4	F	18
Aberdare	0-4	M	20
Aberdare	5-14	F	147
Aberdare	5-14	M	140
Aberdare	15-19	F	49
Aberdare	15-19	M	63
Aberdare	20-24	F	14
Aberdare	20-24	M	12
Aberdare	25+	F	50
Aberdare	25+	M	15
Aberdeen (NSW)	0-4	F	23
Aberdeen (NSW)	0-4	M	19
Aberdeen (NSW)	5-14	F	145
Aberdeen (NSW)	5-14	M	133
Aberdeen (NSW)	15-19	F	45
Aberdeen (NSW)	15-19	M	50
Aberdeen (NSW)	20-24	F	8
Aberdeen (NSW)	20-24	M	7
Aberdeen (NSW)	25+	F	35
Aberdeen (NSW)	25+	M	7
Aberfoyle	5-14	F	9
Aberfoyle	5-14	M	4
Aberfoyle	15-19	F	3
Aberfoyle	25+	F	3
Aberglasslyn	0-4	F	59
Aberglasslyn	0-4	M	64
Aberglasslyn	5-14	F	431
Aberglasslyn	5-14	M	435
Aberglasslyn	15-19	F	152
Aberglasslyn	15-19	M	140
Aberglasslyn	20-24	F	53
Aberglasslyn	20-24	M	43
Aberglasslyn	25+	F	131
Aberglasslyn	25+	M	68
Abermain	0-4	F	28
Abermain	0-4	M	14
Abermain	5-14	F	144
Abermain	5-14	M	143
Abermain	15-19	F	56
Abermain	15-19	M	44
Abermain	20-24	F	15
Abermain	20-24	M	8
Abermain	25+	F	41
Abermain	25+	M	31
Abernethy	0-4	F	3
Abernethy	0-4	M	3
Abernethy	5-14	F	15
Abernethy	5-14	M	31
Abernethy	15-19	F	6
Abernethy	15-19	M	11
Abernethy	20-24	F	3
Abernethy	25+	F	7
Abernethy	25+	M	3
Acacia Creek	0-4	F	5
Acacia Creek	5-14	F	6
Acacia Creek	15-19	M	3
Acacia Gardens	0-4	F	34
Acacia Gardens	0-4	M	44
Acacia Gardens	5-14	F	267
Acacia Gardens	5-14	M	301
Acacia Gardens	15-19	F	98
Acacia Gardens	15-19	M	100
Acacia Gardens	20-24	F	59
Acacia Gardens	20-24	M	58
Acacia Gardens	25+	F	80
Acacia Gardens	25+	M	49
Adaminaby	5-14	F	9
Adaminaby	5-14	M	12
Adaminaby	15-19	F	6
Adaminaby	15-19	M	3
Adaminaby	25+	M	6
Adamstown	0-4	F	52
Adamstown	0-4	M	41
Adamstown	5-14	F	375
