SSC_NAME16	EduInstitutionType	Sex	students
Acacia Gardens	Pre-school	F	37
Acacia Gardens	Pre-school	M	45
Acacia Gardens	Secondary	F	145
Acacia Gardens	Secondary	M	129
Acacia Gardens	Technical or Further Educational Institution	F	25
Acacia Gardens	Technical or Further Educational Institution	M	31
Acacia Gardens	University or other tertiary	F	113
Acacia Gardens	University or other tertiary	M	117
Adaminaby		F	8
Adaminaby		M	9
Adaminaby	Infants/Primary	F	3
Adaminaby	Infants/Primary	M	11
Adaminaby	Pre-school	M	3
Adaminaby	Secondary	F	3
Adaminaby	Secondary	M	5
Adaminaby	Technical or Further Educational Institution	M	3
Adamstown		F	143
Adamstown		M	113
Adamstown	Infants/Primary	F	265
Adamstown	Infants/Primary	M	247
Adamstown	Pre-school	F	63
Adamstown	Pre-school	M	53
Adamstown	Secondary	F	190
Adamstown	Secondary	M	204
Adamstown	Technical or Further Educational Institution	F	84
Adamstown	Technical or Further Educational Institution	M	67
Adamstown	University or other tertiary	F	220
Adamstown	University or other tertiary	M	155
Adamstown Heights		F	94
Adamstown Heights		M	82
Adamstown Heights	Infants/Primary	F	268
Adamstown Heights	Infants/Primary	M	267
Adamstown Heights	Pre-school	F	62
Adamstown Heights	Pre-school	M	86
Adamstown Heights	Secondary	F	166
Adamstown Heights	Secondary	M	181
Adamstown Heights	Technical or Further Educational Institution	F	36
Adamstown Heights	Technical or Further Educational Institution	M	42
Adamstown Heights	University or other tertiary	F	138
Adamstown Heights	University or other tertiary	M	125
Adelong		F	41
Adelong		M	38
Adelong	Infants/Primary	F	47
Adelong	Infants/Primary	M	52
Adelong	Pre-school	F	5
Adelong	Pre-school	M	11
Adelong	Secondary	F	32
Adelong	Secondary	M	36
Adelong	Technical or Further Educational Institution	F	8
Adelong	Technical or Further Educational Institution	M	3
Adelong	University or other tertiary	F	9
Adelong	University or other tertiary	M	3
Adjungbilly		F	3
Adjungbilly	Infants/Primary	F	3
Adjungbilly	Infants/Primary	M	9
Adjungbilly	Secondary	F	6
Adjungbilly	Secondary	M	7
Afterlee		M	3
Afterlee	Infants/Primary	F	4
Afterlee	Infants/Primary	M	5
Afterlee	Secondary	M	3
Agnes Banks		F	27
Agnes Banks		M	33
Agnes Banks	Infants/Primary	F	47
Agnes Banks	Infants/Primary	M	56
Agnes Banks	Pre-school	F	8
Agnes Banks	Pre-school	M	7
Agnes Banks	Secondary	F	47
Agnes Banks	Secondary	M	40
Agnes Banks	Technical or Further Educational Institution	F	10
Agnes Banks	Technical or Further Educational Institution	M	9
Agnes Banks	University or other tertiary	F	22
Agnes Banks	University or other tertiary	M	12
Airds		F	227
Airds		M	194
Airds	Infants/Primary	F	139
Airds	Infants/Primary	M	175
Airds	Pre-school	F	24
Airds	Pre-school	M	33
Airds	Secondary	F	124
Airds	Secondary	M	137
Airds	Technical or Further Educational Institution	F	48
Airds	Technical or Further Educational Institution	M	21
Airds	University or other tertiary	F	20
Airds	University or other tertiary	M	8
Akolele		F	23
Akolele		M	19
Akolele	Infants/Primary	F	5
Akolele	Infants/Primary	M	8
Akolele	Secondary	F	8
Akolele	Secondary	M	10
Albert		F	8
Albert		M	6
Albert	Infants/Primary	F	5
Albert	Infants/Primary	M	8
Albert	Secondary	M	3
Albion Park		F	364
Albion Park		M	280
Albion Park	Infants/Primary	F	705
Albion Park	Infants/Primary	M	677
Albion Park	Pre-school	F	164
Albion Park	Pre-school	M	192
Albion Park	Secondary	F	568
Albion Park	Secondary	M	524
Albion Park	Technical or Further Educational Institution	F	141
Albion Park	Technical or Further Educational Institution	M	138
Albion Park	University or other tertiary	F	261
Albion Park	University or other tertiary	M	114
Albion Park Rail		F	363
Albion Park Rail		M	265
Albion Park Rail	Infants/Primary	F	255
Albion Park Rail	Infants/Primary	M	288
Albion Park Rail	Pre-school	F	72
Albion Park Rail	Pre-school	M	80
Albion Park Rail	Secondary	F	212
Albion Park Rail	Secondary	M	202
Albion Park Rail	Technical or Further Educational Institution	F	86
Albion Park Rail	Technical or Further Educational Institution	M	61
Albion Park Rail	University or other tertiary	F	102
Albion Park Rail	University or other tertiary	M	64
Albury		F	242
Albury		M	242
Albury	Infants/Primary	F	144
Albury	Infants/Primary	M	156
Albury	Pre-school	F	36
Albury	Pre-school	M	36
Albury	Secondary	F	166
Albury	Secondary	M	140
Albury	Technical or Further Educational Institution	F	61
Albury	Technical or Further Educational Institution	M	50
Albury	University or other tertiary	F	125
Albury	University or other tertiary	M	70
Aldavilla		F	73
Aldavilla		M	510
Aldavilla	Infants/Primary	F	30
Aldavilla	Infants/Primary	M	13
Aldavilla	Pre-school	M	9
Aldavilla	Secondary	F	26
Aldavilla	Secondary	M	15
Aldavilla	Technical or Further Educational Institution	M	7
Aldavilla	University or other tertiary	F	9
Aldavilla	University or other tertiary	M	3
Alectown		F	9
Alectown		M	4
Alectown	Infants/Primary	F	7
Alectown	Infants/Primary	M	10
Alectown	Pre-school	M	3
Alectown	Secondary	F	5
Alectown	University or other tertiary	M	3
Alexandria		F	363
Alexandria		M	393
Alexandria	Infants/Primary	F	162
Alexandria	Infants/Primary	M	134
Alexandria	Pre-school	F	36
Alexandria	Pre-school	M	47
Alexandria	Secondary	F	104
Alexandria	Secondary	M	76
Alexandria	Technical or Further Educational Institution	F	74
Alexandria	Technical or Further Educational Institution	M	74
Alexandria	University or other tertiary	F	342
Alexandria	University or other tertiary	M	277
Alfords Point		F	50
Alfords Point		M	52
Alfords Point	Infants/Primary	F	131
Alfords Point	Infants/Primary	M	111
Alfords Point	Pre-school	F	22
Alfords Point	Pre-school	M	25
Alfords Point	Secondary	F	127
Alfords Point	Secondary	M	117
Alfords Point	Technical or Further Educational Institution	F	20
Alfords Point	Technical or Further Educational Institution	M	37
Alfords Point	University or other tertiary	F	122
Alfords Point	University or other tertiary	M	67
Alfredtown		F	6
Alfredtown		M	7
Alfredtown	Infants/Primary	F	5
Alfredtown	Infants/Primary	M	7
Alfredtown	University or other tertiary	F	3
Alison (Central Coast - NSW)		F	3
Alison (Central Coast - NSW)		M	4
Alison (Central Coast - NSW)	Infants/Primary	F	3
Alison (Central Coast - NSW)	Infants/Primary	M	6
Alison (Central Coast - NSW)	Secondary	F	6
Alison (Dungog - NSW)		M	6
Alison (Dungog - NSW)	Infants/Primary	M	3
Alison (Dungog - NSW)	Pre-school	M	3
Alison (Dungog - NSW)	Secondary	F	3
Alison (Dungog - NSW)	Secondary	M	3
Allambie Heights		F	194
Allambie Heights		M	141
Allambie Heights	Infants/Primary	F	364
Allambie Heights	Infants/Primary	M	417
Allambie Heights	Pre-school	F	78
Allambie Heights	Pre-school	M	97
Allambie Heights	Secondary	F	280
Allambie Heights	Secondary	M	277
Allambie Heights	Technical or Further Educational Institution	F	69
Allambie Heights	Technical or Further Educational Institution	M	40
Allambie Heights	University or other tertiary	F	144
Allambie Heights	University or other tertiary	M	129
Allandale (NSW)		F	4
Allandale (NSW)		M	3
Allandale (NSW)	Infants/Primary	F	3
Allandale (NSW)	Infants/Primary	M	6
Allandale (NSW)	Secondary	F	3
Allawah		F	191
Allawah		M	182
Allawah	Infants/Primary	F	139
Allawah	Infants/Primary	M	156
Allawah	Pre-school	F	33
Allawah	Pre-school	M	34
Allawah	Secondary	F	138
Allawah	Secondary	M	148
Allawah	Technical or Further Educational Institution	F	85
Allawah	Technical or Further Educational Institution	M	70
Allawah	University or other tertiary	F	243
Allawah	University or other tertiary	M	289
Alleena		F	6
Alleena		M	8
Alleena	Infants/Primary	M	3
Alleena	Secondary	F	3
Alleena	Secondary	M	3
Allgomera		F	3
Allgomera		M	8
Allgomera	Infants/Primary	F	6
Allgomera	Infants/Primary	M	4
Allgomera	Secondary	F	14
Allgomera	University or other tertiary	F	3
Allworth		F	3
Allworth		M	6
Allworth	Infants/Primary	F	4
Allworth	Infants/Primary	M	10
Allworth	Pre-school	M	6
Allworth	Secondary	F	4
Allynbrook	Infants/Primary	F	3
Alma Park	Infants/Primary	F	3
Alma Park	Infants/Primary	M	8
Alpine		F	13
Alpine		M	8
Alpine	Infants/Primary	F	6
Alpine	Infants/Primary	M	3
Alpine	Secondary	F	10
Alpine	Secondary	M	6
Alpine	University or other tertiary	F	3
Alstonvale		F	10
Alstonvale		M	14
Alstonvale	Infants/Primary	F	20
Alstonvale	Infants/Primary	M	10
Alstonvale	Pre-school	M	3
Alstonvale	Secondary	F	24
Alstonvale	Secondary	M	16
Alstonvale	University or other tertiary	F	3
Alstonvale	University or other tertiary	M	10
Alstonville		F	216
Alstonville		M	152
Alstonville	Infants/Primary	F	210
Alstonville	Infants/Primary	M	239
Alstonville	Pre-school	F	56
Alstonville	Pre-school	M	50
Alstonville	Secondary	F	183
Alstonville	Secondary	M	181
Alstonville	Technical or Further Educational Institution	F	79
Alstonville	Technical or Further Educational Institution	M	39
Alstonville	University or other tertiary	F	83
Alstonville	University or other tertiary	M	40
Alumy Creek		M	3
Alumy Creek	Infants/Primary	F	5
Alumy Creek	Secondary	M	3
Amaroo (NSW)		M	3
Amaroo (NSW)	Infants/Primary	F	3
Amaroo (NSW)	Secondary	M	3
Ambarvale		F	399
Ambarvale		M	290
Ambarvale	Infants/Primary	F	359
Ambarvale	Infants/Primary	M	379
Ambarvale	Pre-school	F	69
Ambarvale	Pre-school	M	64
Ambarvale	Secondary	F	272
Ambarvale	Secondary	M	251
Ambarvale	Technical or Further Educational Institution	F	76
Ambarvale	Technical or Further Educational Institution	M	65
Ambarvale	University or other tertiary	F	118
Ambarvale	University or other tertiary	M	91
Amosfield	Secondary	M	5
Anabranch South	Infants/Primary	F	3
Anabranch South	Infants/Primary	M	4
Anabranch South	Secondary	M	3
Anambah		F	11
Anambah		M	5
Ando	Secondary	M	4
Anembo		F	8
Anembo		M	6
Anembo	Infants/Primary	M	3
Anembo	Secondary	M	3
Angledale		F	11
Angledale		M	9
Angledale	Infants/Primary	F	3
Angledale	Infants/Primary	M	3
Angledale	Secondary	F	4
Angledale	Secondary	M	3
Angledool		F	9
Angledool		M	6
Angledool	Secondary	F	3
Angledool	Secondary	M	3
Anglers Reach		F	9
Anglers Reach		M	17
Anglers Reach	Infants/Primary	F	3
Angourie		F	16
Angourie		M	10
Angourie	Infants/Primary	F	15
Angourie	Infants/Primary	M	4
Angourie	Secondary	M	3
Angourie	University or other tertiary	F	3
Anna Bay		F	242
Anna Bay		M	192
Anna Bay	Infants/Primary	F	125
Anna Bay	Infants/Primary	M	132
Anna Bay	Pre-school	F	25
Anna Bay	Pre-school	M	29
Anna Bay	Secondary	F	109
Anna Bay	Secondary	M	181
Anna Bay	Technical or Further Educational Institution	F	43
Anna Bay	Technical or Further Educational Institution	M	17
Anna Bay	University or other tertiary	F	44
Anna Bay	University or other tertiary	M	26
Annandale (NSW)		F	395
Annandale (NSW)		M	389
Annandale (NSW)	Infants/Primary	F	336
Annandale (NSW)	Infants/Primary	M	339
Annandale (NSW)	Pre-school	F	75
Annandale (NSW)	Pre-school	M	86
Annandale (NSW)	Secondary	F	163
Annandale (NSW)	Secondary	M	212
Annandale (NSW)	Technical or Further Educational Institution	F	66
Annandale (NSW)	Technical or Further Educational Institution	M	66
Annandale (NSW)	University or other tertiary	F	460
Annandale (NSW)	University or other tertiary	M	336
Annangrove		F	36
Annangrove		M	30
Annangrove	Infants/Primary	F	51
Annangrove	Infants/Primary	M	61
Annangrove	Pre-school	F	6
Annangrove	Pre-school	M	3
Annangrove	Secondary	F	58
Annangrove	Secondary	M	79
Annangrove	Technical or Further Educational Institution	F	12
Annangrove	Technical or Further Educational Institution	M	14
Annangrove	University or other tertiary	F	27
Annangrove	University or other tertiary	M	37
Appin (NSW)		F	69
Appin (NSW)		M	75
Appin (NSW)	Infants/Primary	F	149
Appin (NSW)	Infants/Primary	M	138
Appin (NSW)	Pre-school	F	28
Appin (NSW)	Pre-school	M	39
Appin (NSW)	Secondary	F	81
Appin (NSW)	Secondary	M	98
Appin (NSW)	Technical or Further Educational Institution	F	17
Appin (NSW)	Technical or Further Educational Institution	M	27
Appin (NSW)	University or other tertiary	F	38
Appin (NSW)	University or other tertiary	M	26
Apple Tree Flat		F	7
Apple Tree Flat		M	5
Apple Tree Flat	Infants/Primary	F	4
Appleby	Secondary	F	3
Appleby	Secondary	M	3
Appletree Flat		F	3
Appletree Flat	Infants/Primary	M	3
Apsley (NSW)		F	3
Apsley (NSW)		M	3
Apsley (NSW)	Infants/Primary	F	4
Apsley (NSW)	Infants/Primary	M	4
Apsley (NSW)	Pre-school	F	3
Apsley (NSW)	Secondary	F	3
Apsley (NSW)	Secondary	M	3
Arakoon		F	14
Arakoon		M	6
Arakoon	Infants/Primary	F	9
Arakoon	Infants/Primary	M	10
Arakoon	Pre-school	F	4
Arakoon	Pre-school	M	7
Arakoon	Secondary	F	7
Arakoon	Secondary	M	13
Arakoon	University or other tertiary	F	7
Araluen (NSW)		F	13
Araluen (NSW)		M	18
Araluen (NSW)	Secondary	F	3
Araluen (NSW)	Secondary	M	3
Aratula (NSW)	Pre-school	F	3
Arcadia (NSW)		F	38
Arcadia (NSW)		M	26
Arcadia (NSW)	Infants/Primary	F	76
Arcadia (NSW)	Infants/Primary	M	72
Arcadia (NSW)	Pre-school	F	7
Arcadia (NSW)	Pre-school	M	10
Arcadia (NSW)	Secondary	F	52
Arcadia (NSW)	Secondary	M	75
Arcadia (NSW)	Technical or Further Educational Institution	F	4
Arcadia (NSW)	Technical or Further Educational Institution	M	21
Arcadia (NSW)	University or other tertiary	F	32
Arcadia (NSW)	University or other tertiary	M	33
Arcadia Vale		F	42
Arcadia Vale		M	32
Arcadia Vale	Infants/Primary	F	54
Arcadia Vale	Infants/Primary	M	54
Arcadia Vale	Pre-school	F	9
Arcadia Vale	Pre-school	M	15
Arcadia Vale	Secondary	F	46
Arcadia Vale	Secondary	M	44
Arcadia Vale	Technical or Further Educational Institution	F	6
Arcadia Vale	Technical or Further Educational Institution	M	12
Arcadia Vale	University or other tertiary	F	19
Arcadia Vale	University or other tertiary	M	12
Ardglen		F	8
Ardglen		M	7
Ardglen	Infants/Primary	F	4
Ardglen	Infants/Primary	M	3
Arding		F	3
Arding		M	3
Arding	Infants/Primary	F	4
Arding	Infants/Primary	M	18
Arding	Secondary	F	6
Arding	Secondary	M	11
Arding	University or other tertiary	M	3
Ardlethan		F	45
Ardlethan		M	48
Ardlethan	Infants/Primary	F	17
Ardlethan	Infants/Primary	M	11
Ardlethan	Pre-school	F	3
Ardlethan	Secondary	F	13
Ardlethan	Secondary	M	7
Argalong	Infants/Primary	F	3
Argenton		F	47
Argenton		M	39
Argenton	Infants/Primary	F	60
Argenton	Infants/Primary	M	47
Argenton	Pre-school	F	3
Argenton	Pre-school	M	13
Argenton	Secondary	F	32
Argenton	Secondary	M	35
Argenton	Technical or Further Educational Institution	F	23
Argenton	Technical or Further Educational Institution	M	8
Argenton	University or other tertiary	F	16
Argenton	University or other tertiary	M	12
Argents Hill		F	12
Argents Hill		M	18
Argents Hill	Infants/Primary	F	6
Argents Hill	Infants/Primary	M	9
Argents Hill	Secondary	F	4
Argents Hill	Secondary	M	6
Argoon (NSW)	Infants/Primary	F	3
Argoon (NSW)	Infants/Primary	M	3
Ariah Park		F	16
Ariah Park		M	25
Ariah Park	Infants/Primary	F	26
Ariah Park	Infants/Primary	M	20
Ariah Park	Pre-school	F	4
Ariah Park	Pre-school	M	7
Ariah Park	Secondary	F	16
Ariah Park	Secondary	M	17
Ariah Park	Technical or Further Educational Institution	M	3
Arkell		F	5
Arkell		M	7
Arkstone		M	3
Arkstone	Secondary	M	5
Armatree		F	10
Armatree		M	6
Armatree	Infants/Primary	F	17
Armatree	Infants/Primary	M	8
Armatree	Pre-school	F	3
Armatree	Pre-school	M	3
Armatree	Secondary	F	4
Armatree	Secondary	M	3
Armatree	University or other tertiary	F	3
Armidale		F	1055
Armidale		M	926
Armidale	Infants/Primary	F	908
Armidale	Infants/Primary	M	897
Armidale	Pre-school	F	183
Armidale	Pre-school	M	201
Armidale	Secondary	F	884
Armidale	Secondary	M	875
Armidale	Technical or Further Educational Institution	F	225
Armidale	Technical or Further Educational Institution	M	230
Armidale	University or other tertiary	F	1706
Armidale	University or other tertiary	M	1298
Arncliffe		F	449
Arncliffe		M	470
Arncliffe	Infants/Primary	F	318
Arncliffe	Infants/Primary	M	356
Arncliffe	Pre-school	F	66
Arncliffe	Pre-school	M	65
Arncliffe	Secondary	F	242
Arncliffe	Secondary	M	251
Arncliffe	Technical or Further Educational Institution	F	135
Arncliffe	Technical or Further Educational Institution	M	149
Arncliffe	University or other tertiary	F	452
Arncliffe	University or other tertiary	M	420
Arndell Park		M	14
Arrawarra		F	41
Arrawarra		M	34
Arrawarra	Infants/Primary	F	3
Arrawarra	Infants/Primary	M	9
Arrawarra	Pre-school	M	3
Arrawarra	Secondary	F	4
Arrawarra	Secondary	M	6
Arrawarra Headland		F	22
Arrawarra Headland		M	20
Arrawarra Headland	Infants/Primary	F	11
Arrawarra Headland	Infants/Primary	M	14
Arrawarra Headland	Pre-school	F	3
Arrawarra Headland	Pre-school	M	5
Arrawarra Headland	Secondary	F	20
Arrawarra Headland	Secondary	M	28
Arrawarra Headland	Technical or Further Educational Institution	M	7
Artarmon		F	354
Artarmon		M	303
Artarmon	Infants/Primary	F	407
Artarmon	Infants/Primary	M	453
Artarmon	Pre-school	F	80
Artarmon	Pre-school	M	89
Artarmon	Secondary	F	236
Artarmon	Secondary	M	282
Artarmon	Technical or Further Educational Institution	F	109
Artarmon	Technical or Further Educational Institution	M	54
Artarmon	University or other tertiary	F	369
Artarmon	University or other tertiary	M	300
Arthurville	Infants/Primary	M	3
Arthurville	Secondary	F	4
Arumpo	Infants/Primary	M	3
Ashbury		F	71
Ashbury		M	82
Ashbury	Infants/Primary	F	166
Ashbury	Infants/Primary	M	162
Ashbury	Pre-school	F	22
Ashbury	Pre-school	M	47
Ashbury	Secondary	F	130
Ashbury	Secondary	M	135
Ashbury	Technical or Further Educational Institution	F	17
Ashbury	Technical or Further Educational Institution	M	18
Ashbury	University or other tertiary	F	110
Ashbury	University or other tertiary	M	76
Ashby (NSW)		F	15
Ashby (NSW)		M	13
Ashby (NSW)	Infants/Primary	F	5
Ashby (NSW)	Infants/Primary	M	11
Ashby (NSW)	Pre-school	F	3
Ashby (NSW)	Secondary	F	12
Ashby (NSW)	Secondary	M	9
Ashby (NSW)	University or other tertiary	F	7
Ashby Heights		F	13
Ashby Heights		M	10
Ashby Heights	Infants/Primary	F	12
Ashby Heights	Infants/Primary	M	4
Ashby Heights	Secondary	F	10
Ashby Heights	Secondary	M	3
Ashby Heights	Technical or Further Educational Institution	F	3
Ashby Heights	University or other tertiary	F	3
Ashby Island		F	3
Ashby Island		M	3
Ashcroft		F	261
Ashcroft		M	243
Ashcroft	Infants/Primary	F	163
Ashcroft	Infants/Primary	M	184
Ashcroft	Pre-school	F	35
Ashcroft	Pre-school	M	27
Ashcroft	Secondary	F	144
Ashcroft	Secondary	M	123
Ashcroft	Technical or Further Educational Institution	F	50
Ashcroft	Technical or Further Educational Institution	M	19
Ashcroft	University or other tertiary	F	65
Ashcroft	University or other tertiary	M	35
Ashfield (NSW)		F	1085
Ashfield (NSW)		M	1052
Ashfield (NSW)	Infants/Primary	F	566
Ashfield (NSW)	Infants/Primary	M	564
Ashfield (NSW)	Pre-school	F	132
Ashfield (NSW)	Pre-school	M	138
Ashfield (NSW)	Secondary	F	485
Ashfield (NSW)	Secondary	M	454
Ashfield (NSW)	Technical or Further Educational Institution	F	313
Ashfield (NSW)	Technical or Further Educational Institution	M	240
Ashfield (NSW)	University or other tertiary	F	1239
Ashfield (NSW)	University or other tertiary	M	1289
Ashford (NSW)		F	32
Ashford (NSW)		M	30
Ashford (NSW)	Infants/Primary	F	26
Ashford (NSW)	Infants/Primary	M	21
Ashford (NSW)	Pre-school	F	8
Ashford (NSW)	Pre-school	M	7
Ashford (NSW)	Secondary	F	24
Ashford (NSW)	Secondary	M	25
Ashford (NSW)	Technical or Further Educational Institution	F	6
Ashley		F	16
Ashley		M	14
Ashley	Infants/Primary	F	20
Ashley	Infants/Primary	M	19
Ashley	Pre-school	F	3
Ashley	Pre-school	M	7
Ashley	Secondary	F	7
Ashley	Secondary	M	15
Ashley	Technical or Further Educational Institution	F	3
Ashley	Technical or Further Educational Institution	M	3
Ashley	University or other tertiary	F	10
Ashmont		F	205
Ashmont		M	168
Ashmont	Infants/Primary	F	178
Ashmont	Infants/Primary	M	168
Ashmont	Pre-school	F	35
Ashmont	Pre-school	M	39
Ashmont	Secondary	F	117
Ashmont	Secondary	M	122
Ashmont	Technical or Further Educational Institution	F	38
Ashmont	Technical or Further Educational Institution	M	31
Ashmont	University or other tertiary	F	58
Ashmont	University or other tertiary	M	26
Ashtonfield		F	111
Ashtonfield		M	136
Ashtonfield	Infants/Primary	F	280
Ashtonfield	Infants/Primary	M	270
Ashtonfield	Pre-school	F	63
Ashtonfield	Pre-school	M	55
Ashtonfield	Secondary	F	182
Ashtonfield	Secondary	M	204
Ashtonfield	Technical or Further Educational Institution	F	33
Ashtonfield	Technical or Further Educational Institution	M	49
Ashtonfield	University or other tertiary	F	102
Ashtonfield	University or other tertiary	M	73
Asquith		F	84
Asquith		M	64
Asquith	Infants/Primary	F	188
Asquith	Infants/Primary	M	172
Asquith	Pre-school	F	32
Asquith	Pre-school	M	23
Asquith	Secondary	F	122
Asquith	Secondary	M	107
Asquith	Technical or Further Educational Institution	F	41
Asquith	Technical or Further Educational Institution	M	32
Asquith	University or other tertiary	F	90
Asquith	University or other tertiary	M	81
Atholwood	Infants/Primary	F	8
Atholwood	Secondary	F	7
Attunga		F	25
Attunga		M	24
Attunga	Infants/Primary	F	15
Attunga	Infants/Primary	M	27
Attunga	Pre-school	F	3
Attunga	Pre-school	M	7
Attunga	Secondary	F	14
Attunga	Secondary	M	18
Attunga	Technical or Further Educational Institution	F	6
Attunga	Technical or Further Educational Institution	M	3
Attunga	University or other tertiary	F	3
Auburn (NSW)		F	1604
Auburn (NSW)		M	1944
Auburn (NSW)	Infants/Primary	F	1361
Auburn (NSW)	Infants/Primary	M	1433
Auburn (NSW)	Pre-school	F	222
Auburn (NSW)	Pre-school	M	245
Auburn (NSW)	Secondary	F	1107
Auburn (NSW)	Secondary	M	1148
Auburn (NSW)	Technical or Further Educational Institution	F	445
Auburn (NSW)	Technical or Further Educational Institution	M	526
Auburn (NSW)	University or other tertiary	F	1289
Auburn (NSW)	University or other tertiary	M	1925
Auburn Vale		F	7
Auburn Vale		M	7
Auburn Vale	Infants/Primary	F	6
Auburn Vale	Infants/Primary	M	3
Auburn Vale	Pre-school	M	3
Auburn Vale	Secondary	M	3
Auburn Vale	University or other tertiary	F	3
Austinmer		F	95
Austinmer		M	76
Austinmer	Infants/Primary	F	135
Austinmer	Infants/Primary	M	134
Austinmer	Pre-school	F	29
Austinmer	Pre-school	M	27
Austinmer	Secondary	F	85
Austinmer	Secondary	M	80
Austinmer	Technical or Further Educational Institution	F	14
Austinmer	Technical or Further Educational Institution	M	27
Austinmer	University or other tertiary	F	92
Austinmer	University or other tertiary	M	57
Austral		F	201
Austral		M	201
Austral	Infants/Primary	F	105
Austral	Infants/Primary	M	100
Austral	Pre-school	F	19
Austral	Pre-school	M	20
Austral	Secondary	F	78
Austral	Secondary	M	103
Austral	Technical or Further Educational Institution	F	18
Austral	Technical or Further Educational Institution	M	25
Austral	University or other tertiary	F	67
Austral	University or other tertiary	M	43
Austral Eden		F	7
Austral Eden		M	5
Austral Eden	Infants/Primary	F	7
Austral Eden	Infants/Primary	M	9
Austral Eden	Secondary	F	3
Austral Eden	Secondary	M	6
Austral Eden	Technical or Further Educational Institution	F	3
Avalon Beach		F	286
Avalon Beach		M	246
Avalon Beach	Infants/Primary	F	445
