SSC_NAME16	EduInstitutionType	Sex	students
Aarons Pass		F	3
Abbotsbury		F	88
Abbotsbury		M	100
Abbotsbury	Infants/Primary	F	165
Abbotsbury	Infants/Primary	M	167
Abbotsbury	Pre-school	F	39
Abbotsbury	Pre-school	M	33
Abbotsbury	Secondary	F	183
Abbotsbury	Secondary	M	164
Abbotsbury	Technical or Further Educational Institution	F	39
Abbotsbury	Technical or Further Educational Institution	M	39
Abbotsbury	University or other tertiary	F	145
Abbotsbury	University or other tertiary	M	105
Abbotsford (NSW)		F	209
Abbotsford (NSW)		M	197
Abbotsford (NSW)	Infants/Primary	F	179
Abbotsford (NSW)	Infants/Primary	M	180
Abbotsford (NSW)	Pre-school	F	47
Abbotsford (NSW)	Pre-school	M	48
Abbotsford (NSW)	Secondary	F	127
Abbotsford (NSW)	Secondary	M	121
Abbotsford (NSW)	Technical or Further Educational Institution	F	26
Abbotsford (NSW)	Technical or Further Educational Institution	M	19
Abbotsford (NSW)	University or other tertiary	F	146
Abbotsford (NSW)	University or other tertiary	M	100
Abercrombie		F	20
Abercrombie		M	25
Abercrombie	Infants/Primary	F	83
Abercrombie	Infants/Primary	M	71
Abercrombie	Pre-school	F	12
Abercrombie	Pre-school	M	14
Abercrombie	Secondary	F	64
Abercrombie	Secondary	M	43
Abercrombie	Technical or Further Educational Institution	F	9
Abercrombie	Technical or Further Educational Institution	M	8
Abercrombie	University or other tertiary	F	39
Abercrombie	University or other tertiary	M	15
Aberdare		F	112
Aberdare		M	89
Aberdare	Infants/Primary	F	101
Aberdare	Infants/Primary	M	96
Aberdare	Pre-school	F	28
Aberdare	Pre-school	M	29
Aberdare	Secondary	F	81
Aberdare	Secondary	M	90
Aberdare	Technical or Further Educational Institution	F	34
Aberdare	Technical or Further Educational Institution	M	22
Aberdare	University or other tertiary	F	39
Aberdare	University or other tertiary	M	10
Aberdeen (NSW)		F	105
Aberdeen (NSW)		M	99
Aberdeen (NSW)	Infants/Primary	F	110
Aberdeen (NSW)	Infants/Primary	M	90
Aberdeen (NSW)	Pre-school	F	24
Aberdeen (NSW)	Pre-school	M	25
Aberdeen (NSW)	Secondary	F	71
Aberdeen (NSW)	Secondary	M	74
Aberdeen (NSW)	Technical or Further Educational Institution	F	23
Aberdeen (NSW)	Technical or Further Educational Institution	M	15
Aberdeen (NSW)	University or other tertiary	F	16
Aberfoyle		F	3
Aberfoyle		M	8
Aberfoyle	Infants/Primary	F	5
Aberfoyle	Infants/Primary	M	3
Aberfoyle	Secondary	F	4
Aberfoyle	University or other tertiary	F	3
Aberglasslyn		F	125
Aberglasslyn		M	110
Aberglasslyn	Infants/Primary	F	313
Aberglasslyn	Infants/Primary	M	317
Aberglasslyn	Pre-school	F	87
Aberglasslyn	Pre-school	M	90
Aberglasslyn	Secondary	F	200
Aberglasslyn	Secondary	M	197
Aberglasslyn	Technical or Further Educational Institution	F	91
Aberglasslyn	Technical or Further Educational Institution	M	61
Aberglasslyn	University or other tertiary	F	112
Aberglasslyn	University or other tertiary	M	65
Abermain		F	93
Abermain		M	75
Abermain	Infants/Primary	F	104
Abermain	Infants/Primary	M	110
Abermain	Pre-school	F	31
Abermain	Pre-school	M	13
Abermain	Secondary	F	77
Abermain	Secondary	M	69
Abermain	Technical or Further Educational Institution	F	28
Abermain	Technical or Further Educational Institution	M	16
Abermain	University or other tertiary	F	27
Abermain	University or other tertiary	M	15
Abernethy		F	40
Abernethy		M	43
Abernethy	Infants/Primary	F	4
Abernethy	Infants/Primary	M	22
Abernethy	Pre-school	F	5
Abernethy	Pre-school	M	3
Abernethy	Secondary	F	16
Abernethy	Secondary	M	10
Abernethy	Technical or Further Educational Institution	M	3
Acacia Creek	Infants/Primary	F	3
Acacia Creek	Pre-school	F	5
Acacia Creek	Secondary	F	4
Acacia Creek	Secondary	M	3
Acacia Gardens		F	68
Acacia Gardens		M	67
Acacia Gardens	Infants/Primary	F	195
Acacia Gardens	Infants/Primary	M	234
