SSC_NAME16	Age	persons
Alfredtown	25-34	14
Alfredtown	35-44	15
Alfredtown	45-54	18
Alfredtown	55-64	21
Alfredtown	65-74	3
Alfredtown	75-84	5
Alice	20-24	3
Alice	35-44	3
Alice	45-54	3
Alice	65-74	3
Alison (Central Coast - NSW)	0-4	3
Alison (Central Coast - NSW)	5-14	12
Alison (Central Coast - NSW)	15-19	8
Alison (Central Coast - NSW)	20-24	3
Alison (Central Coast - NSW)	25-34	4
Alison (Central Coast - NSW)	35-44	7
Alison (Central Coast - NSW)	45-54	14
Alison (Central Coast - NSW)	55-64	16
Alison (Central Coast - NSW)	65-74	10
Alison (Central Coast - NSW)	75-84	3
Alison (Dungog - NSW)	0-4	4
Alison (Dungog - NSW)	5-14	9
Alison (Dungog - NSW)	15-19	9
Alison (Dungog - NSW)	20-24	3
Alison (Dungog - NSW)	25-34	5
Alison (Dungog - NSW)	35-44	8
Alison (Dungog - NSW)	45-54	13
Alison (Dungog - NSW)	55-64	17
Alison (Dungog - NSW)	65-74	6
Alison (Dungog - NSW)	75-84	4
Allambie Heights	0-4	464
Allambie Heights	5-14	1100
Allambie Heights	15-19	437
Allambie Heights	20-24	309
Allambie Heights	25-34	507
Allambie Heights	35-44	1047
Allambie Heights	45-54	1040
Allambie Heights	55-64	746
Allambie Heights	65-74	644
Allambie Heights	75-84	455
Allambie Heights	85+	259
Allandale (NSW)	5-14	12
Allandale (NSW)	15-19	4
Allandale (NSW)	25-34	5
Allandale (NSW)	35-44	6
Allandale (NSW)	45-54	18
Allandale (NSW)	55-64	6
Allandale (NSW)	65-74	13
Allandale (NSW)	85+	3
Allawah	0-4	394
Allawah	5-14	462
Allawah	15-19	298
Allawah	20-24	493
Allawah	25-34	1356
Allawah	35-44	746
Allawah	45-54	657
Allawah	55-64	663
Allawah	65-74	380
Allawah	75-84	200
Allawah	85+	65
Alleena	0-4	3
Alleena	5-14	15
Alleena	15-19	9
Alleena	25-34	4
Alleena	35-44	8
Alleena	45-54	7
Alleena	55-64	7
Alleena	65-74	5
Alleena	75-84	4
Alleena	85+	3
Allgomera	5-14	22
Allgomera	15-19	9
Allgomera	20-24	9
Allgomera	25-34	4
Allgomera	35-44	15
Allgomera	45-54	22
Allgomera	55-64	28
Allgomera	65-74	22
Allgomera	75-84	4
Allworth	0-4	10
Allworth	5-14	28
Allworth	15-19	3
Allworth	20-24	3
Allworth	25-34	18
Allworth	35-44	13
Allworth	45-54	22
Allworth	55-64	32
Allworth	65-74	19
Allworth	75-84	15
Allynbrook	0-4	3
Allynbrook	5-14	5
Allynbrook	25-34	5
Allynbrook	35-44	5
Allynbrook	45-54	12
Allynbrook	55-64	9
Allynbrook	65-74	16
Allynbrook	75-84	5
Alma Park	0-4	4
Alma Park	5-14	18
Alma Park	25-34	6
Alma Park	35-44	7
Alma Park	45-54	7
Alma Park	55-64	7
Alma Park	65-74	10
Alpine	0-4	4
Alpine	5-14	27
Alpine	15-19	8
Alpine	20-24	4
Alpine	25-34	3
Alpine	35-44	18
Alpine	45-54	32
Alpine	55-64	15
Alpine	65-74	16
Alpine	75-84	11
Alstonvale	0-4	15
Alstonvale	5-14	51
Alstonvale	15-19	38
Alstonvale	20-24	18
Alstonvale	25-34	31
Alstonvale	35-44	34
Alstonvale	45-54	69
Alstonvale	55-64	84
Alstonvale	65-74	69
Alstonvale	75-84	19
Alstonville	0-4	298
Alstonville	5-14	679
Alstonville	15-19	339
Alstonville	20-24	171
Alstonville	25-34	381
Alstonville	35-44	633
Alstonville	45-54	699
Alstonville	55-64	815
Alstonville	65-74	786
Alstonville	75-84	580
Alstonville	85+	366
Alumy Creek	0-4	3
Alumy Creek	5-14	9
Alumy Creek	15-19	4
Alumy Creek	20-24	5
Alumy Creek	25-34	10
Alumy Creek	35-44	8
Alumy Creek	45-54	14
Alumy Creek	55-64	16
Alumy Creek	65-74	14
Alumy Creek	75-84	7
Amaroo (NSW)	0-4	3
Amaroo (NSW)	5-14	4
Amaroo (NSW)	15-19	5
Amaroo (NSW)	20-24	3
Amaroo (NSW)	35-44	12
Amaroo (NSW)	45-54	9
Amaroo (NSW)	65-74	3
Ambarvale	0-4	557
Ambarvale	5-14	1161
Ambarvale	15-19	540
Ambarvale	20-24	615
Ambarvale	25-34	1051
Ambarvale	35-44	876
Ambarvale	45-54	909
Ambarvale	55-64	933
Ambarvale	65-74	529
Ambarvale	75-84	168
Ambarvale	85+	42
Amosfield	5-14	3
Amosfield	15-19	3
Amosfield	35-44	3
Amosfield	45-54	6
Amosfield	65-74	10
Amosfield	75-84	4
Anabranch North	25-34	3
Anabranch South	5-14	8
Anabranch South	25-34	5
Anabranch South	35-44	7
Anabranch South	45-54	9
Anabranch South	55-64	7
Anabranch South	75-84	3
Anambah	5-14	4
Anambah	15-19	3
Anambah	20-24	3
Anambah	35-44	4
Anambah	45-54	5
Anambah	55-64	8
Anambah	65-74	4
Ando	0-4	4
Ando	5-14	4
Ando	15-19	3
Ando	20-24	3
Ando	25-34	6
Ando	35-44	3
Ando	45-54	19
Ando	55-64	12
Ando	65-74	7
Ando	75-84	4
Anembo	0-4	3
Anembo	5-14	9
Anembo	25-34	8
Anembo	35-44	10
Anembo	45-54	12
Anembo	55-64	9
Anembo	65-74	5
Anembo	75-84	3
Anembo	85+	3
Angledale	0-4	12
Angledale	5-14	19
Angledale	15-19	12
Angledale	20-24	12
Angledale	25-34	11
Angledale	35-44	20
Angledale	45-54	28
Angledale	55-64	31
Angledale	65-74	12
Angledale	75-84	8
Angledale	85+	3
Angledool	5-14	4
Angledool	15-19	6
Angledool	20-24	5
Angledool	25-34	3
Angledool	35-44	7
Angledool	45-54	15
Angledool	55-64	9
Angledool	65-74	10
Angledool	75-84	4
Anglers Reach	5-14	8
Anglers Reach	25-34	6
Anglers Reach	35-44	7
Anglers Reach	45-54	14
Anglers Reach	55-64	12
Anglers Reach	65-74	27
Anglers Reach	75-84	17
Anglers Reach	85+	4
Angourie	0-4	3
Angourie	5-14	28
Angourie	15-19	10
Angourie	20-24	3
Angourie	25-34	15
Angourie	35-44	31
Angourie	45-54	29
Angourie	55-64	66
Angourie	65-74	29
Angourie	75-84	4
Angourie	85+	5
Anna Bay	0-4	177
Anna Bay	5-14	420
Anna Bay	15-19	286
Anna Bay	20-24	202
Anna Bay	25-34	310
Anna Bay	35-44	391
Anna Bay	45-54	539
Anna Bay	55-64	545
Anna Bay	65-74	589
Anna Bay	75-84	312
Anna Bay	85+	70
Annandale (NSW)	0-4	626
Annandale (NSW)	5-14	937
Annandale (NSW)	15-19	349
Annandale (NSW)	20-24	642
Annandale (NSW)	25-34	1685
Annandale (NSW)	35-44	1781
Annandale (NSW)	45-54	1368
Annandale (NSW)	55-64	1012
Annandale (NSW)	65-74	658
Annandale (NSW)	75-84	282
Annandale (NSW)	85+	114
Annangrove	0-4	47
Annangrove	5-14	198
Annangrove	15-19	126
Annangrove	20-24	118
Annangrove	25-34	125
Annangrove	35-44	148
Annangrove	45-54	222
Annangrove	55-64	179
Annangrove	65-74	150
Annangrove	75-84	72
Annangrove	85+	11
Appin (NSW)	0-4	257
Appin (NSW)	5-14	415
Appin (NSW)	15-19	172
Appin (NSW)	20-24	147
Appin (NSW)	25-34	454
Appin (NSW)	35-44	370
Appin (NSW)	45-54	328
Appin (NSW)	55-64	264
Appin (NSW)	65-74	139
Appin (NSW)	75-84	57
Appin (NSW)	85+	18
Apple Tree Flat	0-4	5
Apple Tree Flat	5-14	4
Apple Tree Flat	35-44	7
Apple Tree Flat	45-54	9
Apple Tree Flat	55-64	3
Apple Tree Flat	65-74	10
Appleby	0-4	4
Appleby	5-14	10
Appleby	15-19	4
Appleby	35-44	5
Appleby	45-54	7
Appleby	65-74	3
Appletree Flat	0-4	3
Appletree Flat	5-14	3
Appletree Flat	45-54	3
Appletree Flat	55-64	4
Appletree Flat	65-74	5
Apsley (NSW)	0-4	3
Apsley (NSW)	5-14	18
Apsley (NSW)	15-19	11
Apsley (NSW)	25-34	4
Apsley (NSW)	35-44	14
Apsley (NSW)	45-54	9
Apsley (NSW)	55-64	26
Apsley (NSW)	65-74	15
Apsley (NSW)	75-84	8
Arable	20-24	3
Arable	35-44	3
Arable	55-64	3
Arable	65-74	3
Arakoon	0-4	10
Arakoon	5-14	26
Arakoon	15-19	23
Arakoon	20-24	16
Arakoon	25-34	19
Arakoon	35-44	38
