SSC_NAME16	persons
Avisford	26
Avoca (NSW)	199
Avoca Beach	4584
Avondale (NSW)	1653
Avonside	118
Awaba	402
Aylmerton	194
Baan Baa	163
Babyl Creek	9
Back Creek (Bland - NSW)	52
Back Creek (Gwydir - NSW)	13
Back Creek (Mid-Coast - NSW)	20
Back Creek (Queanbeyan-Palerang Regional - NSW)	12
Back Creek (Tenterfield - NSW)	14
Back Creek (Tweed - NSW)	14
Back Forest	84
Backmede	150
Backwater	14
Badgerys Creek	225
Badja	6
Baerami	70
Baerami Creek	50
Bagnoo	44
Bago	35
Bagotville	49
Bakers Creek (Mid-Coast - NSW)	38
Bakers Creek (Nambucca - NSW)	14
Bakers Creek (Uralla - NSW)	16
Bakers Swamp	53
Balaclava (NSW)	496
Balala	144
Balcolyn	967
Bald Blair	45
Bald Hills (NSW)	263
Bald Nob	9
Bald Ridge	9
Baldersleigh	54
Baldry	96
Balfours Peak	38
Balgowlah	7961
Balgowlah Heights	3342
Balgownie	5525
Balickera	27
Balladoran	108
Ballalaba	22
Balldale	156
Ballengarra	94
Ballimore	197
Ballina	8655
Ballyroe	3
Balmain	10453
Balmain East	1932
Balmoral (Lake Macquarie - NSW)	723
Balmoral (Wingecarribee - NSW)	426
Balranald	1343
Bamarang	29
Bandon Grove	119
Bangadang	11
Bangalee (NSW)	657
Bangalow	2021
Bangheet	41
Bango	96
Bangor (NSW)	5568
Banksia	3388
Banksmeadow	18
Bankstown	32113
Bannaby	36
Bannister (NSW)	120
Banoon	25
Banora Point	16167
Banyabba	51
Bar Beach	1256
Bar Point	64
Bara	25
Baradine	760
Barangaroo	189
Barden Ridge	4329
Bardia	1602
Bardwell Park	2242
Bardwell Valley	2323
Barellan	538
Bargo	4393
Barham	1518
Barigan	9
Barkers Vale	165
Barmedman	459
Barnsley	1747
Barooga	1817
Barraba	1410
Barrack Heights	5900
Barrack Point	689
Barraganyatti	139
Barragga Bay	94
Barratta (NSW)	3
Barrengarry	200
Barretts Creek	13
Barringella	31
Barrington (NSW)	361
Barry (Blayney - NSW)	166
Barry (Upper Hunter Shire - NSW)	4
Barwang	80
Barwon	33
Baryulgil	90
Basin View	1554
Bass Hill	9069
Bassendean (NSW)	3
Batar Creek	80
Bateau Bay	12146
Batehaven	1776
Batemans Bay	1530
Bathampton	39
Bathurst	6932
Batlow	1313
Baulkham Hills	37050
Baw Baw (NSW)	260
Bawley Point	698
Bayview (NSW)	3620
Beacon Hill	7457
Beaconsfield (NSW)	987
Bean Creek	75
Bearbong	60
Beaumont (NSW)	125
Beaumont Hills	9042
Beckom	125
Bective	206
Bectric	54
Bedgerabong	149
Beechwood	615
Beecroft	9396
Beelbangera	409
Beemunnel	17
Bega	4668
Beggan Beggan	98
Belanglo	27
Belbora	125
Belfield	6322
Belford	171
Belfrayden	30
Belgravia	118
Belimbla Park	581
Bell (NSW)	51
Bella Vista	7837
Bellambi	3947
Bellangry	100
Bellata	350
Bellawongarah	127
Bellbird	2032
Bellbird Heights	788
Bellbrook	273
Bellevue Hill	10716
Bellimbopinni	123
Bellingen	3779
Bellmount Forest	114
Belltrees	27
Belmont (NSW)	7114
Belmont North	6335
Belmont South	1054
Belmore	12718
Belmore River	269
Beloka	17
Belowra	9
Belrose	8780
Bemboka	577
Ben Bullen	100
Ben Lomond (NSW)	152
Benandarah	166
Bendalong	95
Bendemeer	492
Bendick Murrell	155
Bendolba	205
Bendoura	70
Benerembah	130
Bengalla	26
Bennetts Green	9
Benolong	49
Bensville	2545
Bentley (NSW)	197
Berala	9049
Berambing	106
Beresfield	3181
Bergalia	171
Berkeley	7605
Berkeley Vale	8355
Berkshire Park	2134
Bermagui	1536
Berowra	4721
Berowra Creek	18
Berowra Heights	5264
Berowra Waters	120
Berrambool	456
Berrara	297
Berremangra	81
Berrico	32
Berridale	1197
Berrigal	34
Berrigan	1260
Berrilee	224
Berrima	666
Berringer Lake	26
Berry	2667
Berry Jerry	76
Berry Mountain	28
Berry Park	127
Berthong	46
Beryl	132
Bethungra	164
Bevendale	41
Beverley Park	2393
Beverly Hills	10156
Bewong	83
Bexhill	495
Bexley	19733
Bexley North	4097
Biala	59
Bibbenluke	87
Biddon	98
Bidgeemia	31
Bidwill (NSW)	4280
Bielsdown Hills	99
Big Hill (NSW)	44
Big Jacks Creek	56
Big Ridge	14
Big Springs	117
Bigga	245
Bilambil	417
Bilambil Heights	3364
Bilbul	555
Bilgola Beach	240
Bilgola Plateau	3518
Billeroy	43
Billilingra	13
Billimari	152
Billinudgel	218
Billys Creek	61
Billywillinga	194
Bilpin	665
Bimbi	114
Bimbimbie	118
Binalong	543
Binda	280
Bindera	30
Bingara	1428
Bingeebeebra Creek	35
Bingie	196
Bingleburra	25
Biniguy	147
Binjura	321
Binna Burra (NSW)	218
Binnaway	602
Binya	140
Birchgrove	3303
Birdwood (NSW)	41
Birganbigil	50
Birmingham Gardens	2376
Birriwa	49
Birrong	3103
Bishops Bridge	248
Bithramere	172
Black Creek (Port Macquarie-Hastings - NSW)	46
Black Creek (Snowy Valleys - NSW)	17
Black Head	851
Black Hill (NSW)	560
Black Hollow	24
Black Mountain (NSW)	310
Black Range (NSW)	202
Black Springs (NSW)	225
Blackalls Park	2753
Blackbutt (NSW)	3301
Blackett	3452
Blackheath	4396
Blackmans Flat	28
Blackmans Point	170
Blacksmiths	1846
Blacktown	47176
Blackville	113
Blackwall (NSW)	1888
Blair Athol (NSW)	2877
Blairmount	422
Blakebrook	151
Blakehurst	6219
Blakney Creek	60
Bland	46
Blandford	183
Blaxland (NSW)	7451
Blaxlands Creek	124
Blaxlands Ridge	501
Blayney	3378
Bligh Park	6366
Blighty	138
Blue Bay	1027
Blue Haven	6378
Blue Knob	221
Blue Nobby	24
Blue Vale	62
Blueys Beach	183
Boambee	1668
Boambee East	5243
Boambolo	53
Boat Harbour (Lismore - NSW)	139
Boat Harbour (Port Stephens - NSW)	959
Bobadah	10
Bobin	155
Bobs Creek	87
Bobs Farm	451
Bobundara	13
Boco	3
Bocoble	152
Bocobra	54
Bodalla	739
Bodangora	79
Boeill Creek	101
Bogan	11
Bogan Gate	289
Bogangar	3060
Bogee	82
Boggabilla	990
Boggabri	1130
Bohena Creek	167
Bohnock	71
Bolaro	39
Bolivia	66
Bolong	104
Bolton Point	2119
Bolwarra (NSW)	989
Bolwarra Heights	2979
Bom Bom	3
Bomaderry	6661
Bombah Point	12
Bombala	1387
Bombay	117
Bombira	348
Bombo	112
Bombowlee	293
Bombowlee Creek	51
Bomen	25
Bomera	39
Bonalbo	371
Bondi	10045
Bondi Beach	11656
Bondi Junction	9445
Bonnells Bay	3578
Bonnet Bay	2262
Bonny Hills	2971
Bonnyrigg	8670
Bonnyrigg Heights	7303
Bonshaw (NSW)	133
Bonville	2554
Booerie Creek	167
Book Book	92
Booker Bay	1326
Bookham	161
Bookookoorara	30
Boolambayte	87
Boolaroo	1039
Boolcarroll	14
Booligal	95
Boomanoomana	99
Boomerang Beach	298
Boomey	76
Boomi	201
Boomi Creek	20
Boona Mount	22
Boonal	43
Boonoo Boonoo	16
Boorabee Park	104
Booragul	1281
Booral (NSW)	407
Boorga	14
Boorganna	28
Boorolong	88
Boorook	33
Boorooma	863
Booroorban	33
Boorowa	1641
Bootawa	169
Booyong	76
Bora Ridge	113
Borah Creek	31
Borambola	107
Boree	93
Boree Creek	199
Borenore	462
Boro	94
Bossley Park	14585
Bostobrick	136
Botany	10817
Botobolar	87
Bottle Creek	22
Bouddi	4
Bourbah	40
Bourke	1909
Bourkelands	2852
Bournda	152
Bournewood	53
Bow Bowing	1602
Bowan Park	117
Bowen Mountain	1571
Bowenfels	2048
Bowling Alley Point	32
Bowman	139
Bowman Farm	47
Bowmans Creek	8
Bowna	110
Bowning	573
Bowral	10335
Bowraville	1122
Box Hill (NSW)	902
Box Ridge	48
Boxers Creek	226
Boydtown	70
Bradbury (NSW)	8800
Braefield	62
Braemar	447
Braemar Bay	21
Braidwood	1651
Brandy Hill	674
Branxton	1991
Braunstone	294
Brawboy	19
Bray Park (NSW)	795
Brays Creek	71
Brayton	173
Breadalbane (NSW)	100
Breakfast Creek	48
Breakfast Point	4188
Bream Beach	13
Bredbo	352
Breelong	59
Breeza	146
Bretti	28
Brewarrina	1143
Brewongle	124
Briarbrook	10
Bribbaree	141
Bridgman	200
Brierfield	333
Brighton-le-Sands	8325
Brightwaters	903
Brimbin	61
Brindabella	22
Bringelly	2507
Bringenbrong	52
Brisbane Grove	131
Broadmeadow	1592
Broadwater (Bega Valley - NSW)	117
Broadwater (Richmond Valley - NSW)	640
Broadway	39
Brobenah	15
Brocklehurst	361
Brocklesby	183
Brockley	43
Brodies Plains	58
Brogans Creek	10
Brogers Creek	39
Brogo	503
Broke (NSW)	579
Broken Head	274
Broken Hill	17814
Brombin	116
Bronte	6733
Brookdale (NSW)	26
Brookfield (NSW)	205
Brooklana	42
Brooklet	257
Brooklyn (NSW)	722
Brookong	8
Brookvale	3161
Brooman	21
Brooms Head	212
Broughams Gate	15
Broughton (NSW)	87
Broughton Vale	165
Broughton Village	86
Broulee	1717
Brownlow Hill	424
Browns Creek	97
Browns Mountain	21
Brownsville	534
Brucedale	179
Bruie Plains	49
Bruinbun	47
Brumby Plains	3
Brundee	47
Brungle	112
Brungle Creek	32
Brunkerville	204
Brunswick Heads	1737
Brushgrove	199
Brushy Creek	26
Bucca (NSW)	553
Bucca Wauka	82
Buccarumbi	16
Buchanan (NSW)	197
Buckajo	295
Buckaroo	128
Buckenbowra	15
Buckenderra	21
Buckendoon	35
Bucketty	186
Buckra Bendinni	99
Budawang	11
Buddabadah	48
Budden	19
Budgee Budgee (NSW)	194
Budgewoi	3360
Budgong	68
Buff Point	3511
Bugaldie	144
Bukkulla	140
Bulahdelah	1424
Bulga (NSW)	354
Bulga Forest	3
Bulgary	10
Bulla (NSW)	4
Bulla Creek	59
Bullaburra	1230
Bullagreen	48
Bullarah	111
Bullatale	42
Bullawa Creek	108
Bulldog	23
Bulli	6105
Bulliac	45
Bullio	82
Bulyeroi	15
Bumbaldry	100
Bumbalong	24
Bundabah	109
Bundagen	135
Bundanoon (NSW)	2729
Bundarra	676
Bundeena	1919
Bundella	69
Bundemar	42
Bundewallah	48
Bundook	102
Bundure	6
Bungaba	93
Bungalora	69
Bungarby	71
Bungarribee	2638
Bungawalbin	120
Bungendore	4178
Bungonia	367
Bungowannah	159
Bungwahl	234
Bunnaloo	101
Bunnan	100
Bunyah	140
Bunyan	152
Burcher	82
Bureen	61
Burnt Bridge	152
Burnt Yards	32
Buronga	1212
Burra (Queanbeyan-Palerang Regional - NSW)	794
Burra (Snowy Valleys - NSW)	65
Burra Creek	84
Burraboi	63
Burradoo	2645
Burraga	91
Burragate	104
Burrandana	21
Burraneer	3584
Burrangong	237
Burrapine	59
Burrawang	361
Burrell Creek	219
Burren Junction	276
Burrier	44
Burrill Lake	1465
Burringbar	852
Burrinjuck	19
Burroway	118
Burrumbuttock	366
Burrundulla	149
Burwood (NSW)	16030
Burwood Heights	989
Busby	4290
Busbys Flat	37
Bushells Ridge	18
Buttaba	1101
Buttai	54
Butterwick	144
Buxton (NSW)	2028
Byabarra	328
Byangum	133
Bylong	23
Byng	50
Byrock	50
Byron Bay	5521
Byrrill Creek	124
Bywong	1322
Cabarita (NSW)	1957
Cabarita Beach	103
Cabbage Tree Island (Ballina - NSW)	78
Cabbage Tree Island (Mid-Coast - NSW)	8
Cabramatta	21783
Cabramatta West	7222
Cabramurra	37
Caddens	1475
Cadgee (NSW)	43
Caffreys Flat	49
Cairncross	3
Calala	3927
Calamia	13
Calderwood	173
Caldwell	33
Calga	142
Califat	15
Calimo	72
Callaghan	1326
Callaghans Creek	4
Callala Bay	2196
Callala Beach	803
Calliope (NSW)	107
Caloola	88
Camberwell (NSW)	83
Cambewarra	238
Cambewarra Village	1189
Camboon (NSW)	39
Cambra	30
Cambridge Gardens	2014
Cambridge Park	6726
Camden	3230
Camden Head	152
Camden Park (NSW)	2238
Camden South	4539
Cameron Park	7995
Camerons Creek	49
Camira (NSW)	29
Cammeray	7006
Camp Creek (NSW)	21
Campbelltown (NSW)	12566
Camperdown (NSW)	10341
Campsie	24541
Campvale	41
Cams Wharf	138
Canada Bay	1238
Canadian Lead	11
Canbelego	39
Candelo	686
Cangai	36
Caniaba	655
Canley Heights	10974
Canley Vale	10216
Canobolas	476
Canoelands	175
Canonba	22
Canowindra	2258
Canterbury (NSW)	7233
Canton Beach	1171
Canyonleigh	398
Caparra	72
Capeen Creek	5
Capertee	145
Capoompeta	3
Captains Flat	610
Carabost	55
Caragabal	185
Carcalgong	45
Carcoar	301
Cardiff (NSW)	5830
Cardiff Heights	1443
Cardiff South	2830
Carey Bay	896
Cargo	596
Carinda	158
Caringbah	11658
Caringbah South	12242
Carlaminda	36
Carlingford	24394
Carlton (NSW)	10722
Carnes Hill	2043
Carnham	8
Carool	174
Caroona	202
Carrabolla	10
Carramar (NSW)	3550
Carrathool	238
Carrick (NSW)	136
Carrington (Mid-Coast - NSW)	30
Carrington (Newcastle - NSW)	1929
Carrington Falls	20
Carroll	337
Carrowbrook	35
Carrs Creek	135
Carrs Island	14
Carrs Peninsula	23
Carss Park	1252
Cartwright	2370
Cartwrights Hill	189
Carwell	15
Carwoola	1428
Cascade (NSW)	5
Casino	10914
Cassilis (NSW)	304
Castle Cove	2554
Castle Doyle	164
Castle Hill (NSW)	39594
Castle Rock	175
Castlecrag	2939
Castlereagh	1171
Casuarina (NSW)	2678
Casula	15662
Catalina	2334
Cataract	8
Cathcart (NSW)	108
Catherine Field	1657
Catherine Hill Bay	162
Cathundral	45
Cattai	790
Cattle Creek (NSW)	30
Cavan (NSW)	47
Caves Beach	4054
Cawdor (NSW)	434
Cawongla	192
Cecil Hills	7018
Cecil Park	771
Cedar Brush Creek	114
Cedar Creek (Cessnock - NSW)	33
Cedar Creek (Tweed - NSW)	20
Cedar Party	364
Cedar Point	170
Centennial Park (NSW)	2376
Central Colo	27
Central Macdonald	55
Central Mangrove	264
Central Tilba	288
Cessnock	15177
Chain Valley Bay	2459
Chakola	47
Chambigne	55
Charbon	131
Charles Sturt University	340
Charlestown (NSW)	12912
Charleys Forest	65
Charlotte Bay	172
Charlton (NSW)	26
Charmhaven	2551
Chatham Valley	25
Chatsbury	91
Chatswood	24913
Chatswood West	1499
Chatsworth (NSW)	163
Cheero Point	87
Cheltenham (NSW)	2243
Cherry Tree Hill	68
Cherrybrook	18765
Chester Hill	12814
Chichester (NSW)	29
Chifley (NSW)	3233
Chilcotts Creek	3
Chilcotts Grass	232
Chillingham	232
Chinderah	1566
Chinnock	22
Chippendale	8617
Chipping Norton	9001
Chisholm (NSW)	1461
Chiswick	2926
Chittaway Bay	2028
Chittaway Point	941
Chowan Creek	37
Church Point	997
Clandulla	197
Clare (NSW)	17
Claremont Meadows	4776
Clarence	200
Clarence Town	1994
Clarendon (NSW)	122
Clarenza	551
Clareville	742
Claymore	2644
Clear Creek	118
Clear Range	36
Clearfield	10
Clemton Park	1666
Clergate	210
Cleveland (NSW)	21
Clifden	24
Cliftleigh	888
Clifton (NSW)	28
Clifton Grove	851
Clontarf (NSW)	1737
Clothiers Creek	277
Clouds Creek	3
Clovelly	4736
Clunes (NSW)	868
Clybucca	144
Clyde (NSW)	6
Clydesdale (NSW)	78
Coal Point	1723
Coalcliff	189
Coaldale	61
Coasters Retreat	44
Cobaki	205
Cobaki Lakes	42
Cobar	3990
Cobar Park	43
Cobargo	776
Cobark	41
Cobbadah	90
Cobbitty	2063
Cobramunga	33
Cockwhy	17
Codrington (NSW)	68
Coffee Camp	218
Coffs Harbour	25752
Coggan	4
Cogra Bay	18
Coila	52
Coldstream (NSW)	48
Coleambally	1331
Colebee	1931
Coledale	1260
Colinroobie	65
Colinton (NSW)	127
Collarenebri	650
Collaroy (NSW)	7870
Collaroy Plateau	4767
Collector	313
Collendina	107
Collerina	47
Collie (NSW)	194
Collingullie	221
Collingwood (NSW)	43
Collins Creek	132
Collombatti	647
Colly Blue	31
Colo (Bathurst Regional - NSW)	3
Colo (Hawkesbury - NSW)	60
Colo Heights	334
Colo Vale	1618
Colyton	8439
Comara	15
Combaning	103
Combara	79
Comberton	31
Comboyne	454
Come By Chance	125
Comerong Island	12
Commissioners Creek	65
Como (NSW)	3977
Comobella	59
Conargo	123
Concord	14533
Concord West	5914
Condell Park	11574
Condobolin	3486
Condong	308
Coneac	24
Congarinni	312
Congarinni North	380
Congewai	179
Congo	245
Conimbia	12
Coniston	2268
Conjola	148
Conjola Park	340
Connells Point	2829
Constitution Hill	3966
Coogee (NSW)	15212
Cookamidgera	164
Cookardinia	68
Cooks Gap	540
Cooks Hill	3621
Cooks Myalls	47
Coolabah	69
Coolac	216
Coolagolite	278
Coolah	1290
Coolamon	2199
Coolangatta (NSW)	329
Coolatai	121
Cooleys Creek	8
Coolgardie (NSW)	124
Coolongolook	392
Coolringdon	67
Coolumbooka	3
Cooma (NSW)	6681
Coomba Bay	123
Coomba Park	625
Coombadjha	18
Coombell	24
Coomealla	826
Coomoo Coomoo	8
Coonabarabran	3290
Coonamble	2750
Coongbar	3
Cooperabung	296
Coopernook	538
Coopers Gully	166
Coopers Shoot	265
Cooplacurripa	12
Coorabell	420
Cooranbong	5449
Cootamundra	6782
Cootralantra	89
Cooyal	114
Copacabana	2735
Cope	128
Copeland	64
Copeton	46
Copmanhurst	304
Coppabella (NSW)	11
Copperhannia	3
Coraki	1277
Coralville	141
Coramba	810
Corang	13
Corangula	21
Corbie Hill	228
Cordeaux Heights	4559
Coree	36
Coreen	109
Corindi Beach	1686
Corinella (NSW)	73
Corlette	5356
Corndale (NSW)	320
Corney Town	76
Cornwallis	53
Corobimilla	71
Corowa	5482
Corrabare	10
Corrimal	6519
Corrong	3
Corrowong	13
Corunna	63
Cottage Point	98
Cottonvale (NSW)	24
Cougal	38
Countegany	34
Courabyra	99
Couradda	54
Couragago	5
Couridjah	303
Coutts Crossing	1060
Cow Flat	63
Cowabbie	17
Cowan	649
Cowper	94
Cowra	10063
Coxs Creek	57
Coxs Crown	13
Crabbes Creek	290
Crackenback	197
Craigie (NSW)	26
Cranebrook	15759
Crangan Bay	3
Craven	115
Craven Plateau	4
Crawford River	43
Crawney	34
Creewah	36
Cremorne (NSW)	11227
Cremorne Point	2409
Crescent Head	1531
Crestwood	4603
Cringila	2198
Croki	43
Cromer (NSW)	7592
Cronulla	18070
Crooble	62
Croobyar	155
Crooked Corner	61
Crookwell	2641
Croom	113
Croppa Creek	120
Cross Roads (NSW)	17
Crosslands	566
Croudace Bay	574
Crowdy Bay National Park	3
Crowdy Head	77
Crows Nest (NSW)	4798
Crowther	55
Croydon (NSW)	10612
Croydon Park (NSW)	11012
Crudine	65
Cryon	46
Crystal Creek (NSW)	259
Cubba	33
Cudal	553
Cudgegong	44
Cudgel	32
Cudgen	857
Cudgera Creek	331
Cudmirrah	275
Culburra Beach	2874
Culcairn	1473
Cullen Bullen	279
Cullenbone	35
Cullendore	19
Cullerin	38
Cullivel	15
Culmaran Creek	10
Cumbalum	1522
Cumbandry	15
Cumberland Reach	181
Cumbo	11
Cumborah	249
Cumnock	443
Cundle Flat	17
Cundletown	2054
Cundumbul	38
Cunjurong Point	74
Cunningar	145
Cunninyeuk	37
Curban	131
Curl Curl	2414
Curlew Waters	14
Curlewis (NSW)	771
Curlwaa	393
Curra Creek	66
Currabubula	332
Curramore (NSW)	193
Currans Hill	5309
Currarong	452
Currawang	182
Currawarna	189
Curraweela	47
Curricabark	11
Currowan	53
Cuttabri	43
Cuttagee	55
Dabee	37
Daceyville	1209
Dairy Arm	24
Dairy Flat	17
Dairymans Plains	152
Daleys Point	681
Dalgety	205
Dalmeny	1937
Dalmorton	4
Dalswinton	51
Dalton	195
Dalwood (Ballina - NSW)	234
Dalwood (Singleton - NSW)	106
Dandaloo	37
Dandry	94
Dangar Island	303
Dangarsleigh	150
Dangelong	6
Dapto	10730
Darawank	395
Darbalara	50
Darbys Falls	251
Dareton	501
Dargan	94
Dark Corner	17
Darkes Forest	115
Darkwood	177
Darling Point	4190
Darlinghurst	11320
Darlington (Singleton - NSW)	373
Darlington (Sydney - NSW)	3097
Darlington Point	1162
Darlow	39
Dartbrook	113
Daruka	783
Davidson	2849
Davis Creek	17
Davistown	2488
Dawes Point	357
Daysdale	95
Dean Park	3227
Deauville	25
Debenham	7
Dee Why	21518
Deep Creek (Clarence Valley - NSW)	9
Deep Creek (Kempsey - NSW)	88
Deep Creek (Kyogle - NSW)	30
Deepwater (NSW)	435
Deer Vale	163
Delegate	351
Delungra	647
Denham Court	1981
Denhams Beach	648
Deniliquin	7862
Denistone	3751
Denistone East	2250
Denistone West	933
Denman	1789
Depot Beach	21
Derriwong	38
Deua River Valley	76
Devils Hole	17
Dewitt	12
Dharruk	2774
Dhulura	47
Dhuragoon	26
Diamond Beach	886
Diamond Head	3
Diehard	44
Diggers Camp	18
Dignams Creek	85
Dilkoon	51
Dilpurra	22
Dinoga	61
Dirnaseer	76
Dirty Creek	91
Dobies Bight	133
Doctor George Mountain	58
Doctors Gap	29
Dog Rocks	5
Dolans Bay	598
Dolls Point	1661
Dollys Flat	74
Dolphin Point	204
Dombarton	146
Donald Creek	30
Dondingalong	664
Doon Doon	97
Doonbah	243
Doonside	13451
Dooralong	362
Dora Creek	1643
Dorrigo	1191
Dorrigo Mountain	98
Dorroughby	137
Double Bay	4642
Doubtful Creek	140
Douglas Park	1362
Dover Heights	3802
Downside	124
Doyalson	313
Doyalson North	384
Doyles Creek	47
Drake	345
Drildool	15
Dripstone	76
Drummoyne	11950
Dry Creek (NSW)	32
Dry Plain	42
Dubbo	38943
Duck Creek	57
Duckenfield	108
Duckmaloi	49
Dudley	2414
Duffys Forest	474
Dulguigan	127
Dulwich Hill	13715
Dum Dum	117
Dumaresq	77
Dumaresq Island	62
Dumaresq Valley	41
Dunbible	354
Dunbogan	1002
Duncans Creek	57
Dundas (NSW)	4740
Dundas Valley	5412
Dundee	155
Dundurrabin	97
Dunedoo	1221
Dungarubba	59
Dungay	219
Dungeree	3
Dungog	2025
Dungowan	398
Dunkeld (NSW)	47
Dunmore (NSW)	208
Dunolly (NSW)	89
Dunoon	686
Duns Creek	546
Dunville Loop	8
Dural (Hornsby - NSW)	7570
Duramana	206
Duranbah	239
Duri	532
Duroby	58
Durran Durra	107
Durras North	27
Durren Durren	79
Dyers Crossing	337
Dyraaba	98
Dyrring	91
Eagle Vale	5788
Eagleton	211
Earlwood	17741
East Albury	6098
East Ballina	5571
East Branxton	1808
East Coraki	205
East Corrimal	3405
East Gosford	4238
East Gresford	306
East Hills	3206
East Jindabyne	697
East Kangaloon	83
East Kempsey	1358
East Killara	2978
East Kurrajong	2195
East Lindfield	3711
East Lismore	4985
East Lynne	95
East Maitland	11782
East Ryde	2454
East Seaham	324
East Tamworth	5342
East Wagga Wagga	237
East Wardell	305
Eastern Creek	827
Eastgardens	860
Eastlakes	6912
Eastwood (NSW)	17865
Eatonsville	216
Ebenezer (NSW)	993
Ebor	166
Eccleston	35
Eden	3151
Eden Creek	150
Edensor Park	9772
Edenville	76
Edgecliff	2580
Edgeroi	109
Edgeworth	6207
Edith (NSW)	94
Edmondson Park	2271
Eenaweena	10
Eglinton (NSW)	2256
Eighteen Mile	3
Elands	206
Elanora Heights	4357
Elcombe	31
Elderslie (Camden - NSW)	6005
Elderslie (Singleton - NSW)	132
Eleebana	5760
Elermore Vale	5526
Elizabeth Bay	5215
Elizabeth Beach	218
Elizabeth Hills	2535
Ellalong	1098
Elland	332
Ellangowan (NSW)	328
Ellenborough	194
Ellerslie (Snowy Valleys - NSW)	52
Ellerslie (Wentworth - NSW)	82
Ellerston	131
Ellis Lane	857
Elong Elong	115
Elrington	115
Elsmore	349
Eltham (NSW)	343
Elvina Bay	86
Emerald Beach	2234
Emerald Hill	142
Emerton	2252
Emmaville	519
Empire Bay	2400
Empire Vale	173
Emu Heights (NSW)	3289
Emu Plains	8421
Emu Swamp	162
Enfield (NSW)	2833
Engadine	17375
Englorie Park	416
Enmore (Armidale Regional - NSW)	55
Enmore (Inner West - NSW)	3880
Enngonia	148
Epping (NSW)	23688
Eraring	216
Eremerang	17
Erigolia	47
Erin Vale	51
Erina	4774
Erina Heights	421
Ermington	10737
Erowal Bay	623
Errowanbang	38
Erskine Park	6436
Erskineville	8014
Erudgere	107
Eschol Park	2582
Essington	95
Estella	2269
Ettalong Beach	4793
Ettamogah	45
Ettrick (NSW)	134
Euabalong	188
Euabalong West	66
Euberta	139
Euchareena	197
Eucumbene	12
Eugowra	779
Eulah Creek	76
Eumungerie	304
Eunanoreenya	169
Eungai Creek	423
Eungai Rail	227
Eungella (NSW)	338
Eureka (NSW)	343
Eurimbla	38
Eurobodalla	92
Euroka	352
Euroley	77
Eurongilly	120
Eurunderee	164
Euston	839
Evans Head	2847
Evans Plains	164
Eveleigh	663
Eviron	194
Ewingar	67
Ewingsdale	825
Exeter (NSW)	949
Failford	516
Fairfield (NSW)	18081
Fairfield East	5273
Fairfield Heights	7517
Fairfield West	11575
Fairholme	19
Fairlight	5840
Fairy Hill	385
Fairy Meadow	7405
Falbrook	27
Falconer	50
Falls Creek (NSW)	935
Far Meadow	215
Fargunyah	19
Farley	218
Farmborough Heights	4198
Farnham	28
Farrants Hill	124
Farringdon	14
Fassifern (NSW)	601
Faulconbridge	4025
Faulkland	77
Fawcetts Plain	154
Federal (NSW)	688
Fennell Bay	1613
Fern Bay	2763
Fern Gully	64
Fernances	13
Fernances Crossing	37
Fernbank Creek	133
Fernbrook	111
Fernhill	1023
Fernleigh	297
Fernmount	369
Fernside	48
