SSC_NAME16	persons
Aarons Pass	22
Abbotsbury	4253
Abbotsford (NSW)	5373
Abercrombie	1109
Abercrombie River	22
Aberdare	2473
Aberdeen (NSW)	2084
Aberfoyle	102
Aberglasslyn	5401
Abermain	2337
Abernethy	348
Abington (NSW)	12
Acacia Creek	42
Acacia Gardens	3798
Adaminaby	301
Adamstown	6044
Adamstown Heights	5299
Adelong	943
Adjungbilly	81
Afterlee	50
Agnes Banks	911
Airds	2926
Akolele	173
Albert	81
Albion Park	13316
Albion Park Rail	6918
Albury	4804
Aldavilla	1230
Alectown	168
Alexandria	8262
Alfords Point	3109
Alfredtown	109
Alice	6
Alison (Central Coast - NSW)	95
Alison (Dungog - NSW)	76
Allambie Heights	7009
Allandale (NSW)	73
Allawah	5706
Alleena	61
Allgomera	131
Allworth	166
Allynbrook	64
Alma Park	55
Alpine	135
Alstonvale	442
Alstonville	5739
Alumy Creek	91
Amaroo (NSW)	46
Ambarvale	7374
Amosfield	31
Anabranch North	9
Anabranch South	34
Anambah	30
Ando	72
Anembo	66
Angledale	154
Angledool	58
Anglers Reach	94
Angourie	222
Anna Bay	3846
Annandale (NSW)	9451
Annangrove	1397
Appin (NSW)	2633
Apple Tree Flat	41
Appleby	37
Appletree Flat	16
Apsley (NSW)	107
Arable	12
Arakoon	420
Araluen (NSW)	168
Aratula (NSW)	9
Arcadia (NSW)	1385
Arcadia Vale	1378
Ardglen	59
Arding	208
Ardlethan	519
Argalong	29
Argenton	1351
Argents Hill	221
Argoon (NSW)	13
Ariah Park	493
Arkell	43
Arkstone	22
Armatree	153
Armidale	23352
Arncliffe	10590
Arndell Park	27
Arrawarra	523
Arrawarra Headland	557
Artarmon	9523
Arthurville	36
Arumpo	34
Ashbury	3329
Ashby (NSW)	326
Ashby Heights	232
Ashby Island	16
Ashcroft	3585
Ashfield (NSW)	23841
Ashford (NSW)	652
Ashley	365
Ashmont	3828
Ashtonfield	4645
Asquith	3376
Atholwood	79
Attunga	571
Auburn (NSW)	37366
Auburn Vale	123
Austinmer	2560
Austral	3024
Austral Eden	148
Avalon Beach	9905
