SSC_NAME16	FamilyHousehold	UsualResidents.min	occupied_private_dwellings
Aarons Pass	0	1	4
Aarons Pass	1	2	3
Abbotsbury	0	1	92
Abbotsbury	0	2	8
Abbotsbury	1	2	250
Abbotsbury	1	3	237
Abbotsbury	1	4	342
Abbotsbury	1	5	182
Abbotsbury	1	6	96
Abbotsford (NSW)	0	1	584
Abbotsford (NSW)	0	2	55
Abbotsford (NSW)	0	3	13
Abbotsford (NSW)	1	2	757
Abbotsford (NSW)	1	3	342
Abbotsford (NSW)	1	4	297
Abbotsford (NSW)	1	5	79
Abbotsford (NSW)	1	6	30
Abercrombie	0	1	46
Abercrombie	0	2	3
Abercrombie	1	2	100
Abercrombie	1	3	61
Abercrombie	1	4	81
Abercrombie	1	5	34
Abercrombie	1	6	24
Abercrombie River	0	1	4
Abercrombie River	1	2	7
Aberdare	0	1	256
Aberdare	0	2	28
Aberdare	1	2	277
Aberdare	1	3	146
Aberdare	1	4	128
Aberdare	1	5	60
Aberdare	1	6	31
Aberdeen (NSW)	0	1	209
Aberdeen (NSW)	0	2	15
Aberdeen (NSW)	0	3	3
Aberdeen (NSW)	1	2	251
Aberdeen (NSW)	1	3	111
Aberdeen (NSW)	1	4	110
Aberdeen (NSW)	1	5	53
Aberdeen (NSW)	1	6	21
Aberfoyle	1	2	14
Aberfoyle	1	3	7
Aberfoyle	1	4	3
Aberfoyle	1	5	6
Aberglasslyn	0	1	206
Aberglasslyn	0	2	34
Aberglasslyn	0	3	4
Aberglasslyn	0	4	3
Aberglasslyn	1	2	523
Aberglasslyn	1	3	327
Aberglasslyn	1	4	393
Aberglasslyn	1	5	168
Aberglasslyn	1	6	72
Abermain	0	1	188
Abermain	0	2	21
Abermain	1	2	261
Abermain	1	3	115
Abermain	1	4	127
Abermain	1	5	71
Abermain	1	6	29
Abernethy	0	1	16
Abernethy	0	2	3
Abernethy	1	2	22
Abernethy	1	3	15
Abernethy	1	4	22
Abernethy	1	5	5
Abernethy	1	6	3
Acacia Creek	0	1	4
Acacia Creek	1	2	3
Acacia Gardens	0	1	88
Acacia Gardens	0	2	9
Acacia Gardens	0	3	6
Acacia Gardens	1	2	219
Acacia Gardens	1	3	249
Acacia Gardens	1	4	340
Acacia Gardens	1	5	131
Acacia Gardens	1	6	67
Adaminaby	0	1	55
Adaminaby	1	2	52
Adaminaby	1	3	11
Adaminaby	1	4	5
Adaminaby	1	5	4
Adaminaby	1	6	4
Adamstown	0	1	722
Adamstown	0	2	100
Adamstown	0	3	39
Adamstown	0	4	9
Adamstown	1	2	633
Adamstown	1	3	359
Adamstown	1	4	354
Adamstown	1	5	141
Adamstown	1	6	32
Adamstown Heights	0	1	357
Adamstown Heights	0	2	35
Adamstown Heights	0	3	8
Adamstown Heights	0	4	3
Adamstown Heights	1	2	633
Adamstown Heights	1	3	296
Adamstown Heights	1	4	368
Adamstown Heights	1	5	155
Adamstown Heights	1	6	48
Adelong	0	1	125
Adelong	1	2	130
Adelong	1	3	42
Adelong	1	4	55
Adelong	1	5	22
Adelong	1	6	4
Adjungbilly	0	1	3
Adjungbilly	0	2	3
Adjungbilly	1	2	3
Adjungbilly	1	3	5
Adjungbilly	1	4	7
Adjungbilly	1	6	3
Afterlee	0	1	3
Afterlee	1	2	7
Afterlee	1	3	7
Agnes Banks	0	1	37
Agnes Banks	0	2	9
Agnes Banks	1	2	64
Agnes Banks	1	3	44
Agnes Banks	1	4	45
Agnes Banks	1	5	34
Agnes Banks	1	6	21
Airds	0	1	227
Airds	0	2	17
Airds	0	3	5
Airds	1	2	228
Airds	1	3	189
Airds	1	4	134
Airds	1	5	73
Airds	1	6	66
Akolele	0	1	13
Akolele	1	2	10
Akolele	1	3	9
Akolele	1	4	3
Akolele	1	5	5
Akolele	1	6	4
Albert	0	1	3
Albert	1	2	7
Albert	1	3	3
Albert	1	5	4
Albion Park	0	1	621
Albion Park	0	2	53
Albion Park	0	3	3
Albion Park	1	2	1228
Albion Park	1	3	773
Albion Park	1	4	973
Albion Park	1	5	405
Albion Park	1	6	179
Albion Park Rail	0	1	541
Albion Park Rail	0	2	43
Albion Park Rail	0	3	6
Albion Park Rail	0	4	3
Albion Park Rail	1	2	795
Albion Park Rail	1	3	421
Albion Park Rail	1	4	367
Albion Park Rail	1	5	160
Albion Park Rail	1	6	92
Albury	0	1	763
Albury	0	2	66
Albury	0	3	17
Albury	0	4	3
Albury	0	5	4
Albury	1	2	611
Albury	1	3	209
Albury	1	4	200
Albury	1	5	84
Albury	1	6	19
Aldavilla	0	1	49
Aldavilla	0	2	7
Aldavilla	1	2	96
Aldavilla	1	3	41
Aldavilla	1	4	34
Aldavilla	1	5	10
Aldavilla	1	6	13
Alectown	0	1	22
Alectown	0	2	3
Alectown	1	2	28
Alectown	1	3	12
Alectown	1	4	11
Alectown	1	5	3
Alectown	1	6	3
Alexandria	0	1	1047
Alexandria	0	2	342
Alexandria	0	3	120
Alexandria	0	4	42
Alexandria	0	5	8
Alexandria	0	6	3
Alexandria	1	2	1274
Alexandria	1	3	407
Alexandria	1	4	270
Alexandria	1	5	56
Alexandria	1	6	23
Alfords Point	0	1	53
Alfords Point	0	2	3
Alfords Point	1	2	225
Alfords Point	1	3	183
Alfords Point	1	4	276
Alfords Point	1	5	114
Alfords Point	1	6	52
Alfredtown	0	1	7
Alfredtown	1	2	10
Alfredtown	1	3	5
Alfredtown	1	4	6
Alfredtown	1	6	3
Alice	0	1	3
Alison (Central Coast - NSW)	0	1	7
Alison (Central Coast - NSW)	1	2	9
Alison (Central Coast - NSW)	1	3	3
Alison (Central Coast - NSW)	1	4	3
Alison (Central Coast - NSW)	1	5	3
Alison (Central Coast - NSW)	1	6	3
Alison (Dungog - NSW)	0	1	14
Alison (Dungog - NSW)	1	2	8
Alison (Dungog - NSW)	1	3	5
Alison (Dungog - NSW)	1	4	5
Allambie Heights	0	1	426
Allambie Heights	0	2	24
Allambie Heights	0	3	7
Allambie Heights	1	2	510
Allambie Heights	1	3	349
Allambie Heights	1	4	562
Allambie Heights	1	5	244
Allambie Heights	1	6	90
Allandale (NSW)	0	1	8
Allandale (NSW)	1	2	9
Allandale (NSW)	1	3	6
Allawah	0	1	428
Allawah	0	2	80
Allawah	0	3	29
Allawah	0	4	16
Allawah	0	5	6
Allawah	1	2	504
Allawah	1	3	421
Allawah	1	4	339
Allawah	1	5	135
Allawah	1	6	69
Alleena	0	1	3
Alleena	1	2	6
Alleena	1	6	3
Allgomera	0	1	19
Allgomera	0	2	3
Allgomera	1	2	10
Allgomera	1	3	4
Allgomera	1	4	10
Allgomera	1	5	4
Allworth	0	1	35
Allworth	0	2	3
Allworth	1	2	16
Allworth	1	3	3
Allworth	1	4	6
Allworth	1	6	3
Allynbrook	0	1	6
Allynbrook	1	2	12
Allynbrook	1	3	3
Allynbrook	1	5	6
Alma Park	1	2	4
Alma Park	1	3	4
Alma Park	1	5	3
Alpine	0	1	3
Alpine	1	2	18
Alpine	1	3	7
Alpine	1	4	12
Alpine	1	5	7
Alstonvale	0	1	18
Alstonvale	0	2	3
Alstonvale	1	2	62
Alstonvale	1	3	21
Alstonvale	1	4	28
Alstonvale	1	5	4
Alstonvale	1	6	3
Alstonville	0	1	715
Alstonville	0	2	50
Alstonville	0	3	5
Alstonville	1	2	826
Alstonville	1	3	286
Alstonville	1	4	245
Alstonville	1	5	130
Alstonville	1	6	43
Alumy Creek	0	1	3
Alumy Creek	1	2	14
Alumy Creek	1	3	8
Alumy Creek	1	4	6
Amaroo (NSW)	1	2	8
Amaroo (NSW)	1	4	3
Ambarvale	0	1	356
Ambarvale	0	2	40
Ambarvale	0	3	7
Ambarvale	0	5	3
Ambarvale	1	2	676
Ambarvale	1	3	428
Ambarvale	1	4	401
Ambarvale	1	5	218
Ambarvale	1	6	162
Amosfield	0	1	6
Amosfield	1	2	3
Anabranch South	0	1	7
Anabranch South	1	2	4
Anabranch South	1	4	3
Anabranch South	1	5	3
Anambah	0	1	4
Anambah	1	2	6
Anambah	1	4	3
Ando	0	1	12
Ando	1	2	11
Ando	1	3	3
Ando	1	4	5
Anembo	0	1	3
Anembo	1	2	10
Anembo	1	4	5
Anembo	1	5	3
Angledale	0	1	16
Angledale	1	2	27
Angledale	1	3	3
Angledale	1	4	3
Angledale	1	5	9
Angledool	0	1	10
Angledool	1	2	9
Anglers Reach	0	1	7
Anglers Reach	1	2	17
Angourie	0	1	29
Angourie	0	2	3
Angourie	1	2	33
Angourie	1	3	15
Angourie	1	4	8
Anna Bay	0	1	356
Anna Bay	0	2	34
Anna Bay	1	2	465
Anna Bay	1	3	206
Anna Bay	1	4	181
Anna Bay	1	5	75
Anna Bay	1	6	46
Annandale (NSW)	0	1	1089
Annandale (NSW)	0	2	170
Annandale (NSW)	0	3	96
Annandale (NSW)	0	4	32
Annandale (NSW)	0	5	5
Annandale (NSW)	0	6	3
Annandale (NSW)	1	2	1013
Annandale (NSW)	1	3	522
Annandale (NSW)	1	4	521
Annandale (NSW)	1	5	125
Annandale (NSW)	1	6	39
Annangrove	0	1	26
Annangrove	0	2	4
Annangrove	1	2	102
Annangrove	1	3	59
Annangrove	1	4	75
Annangrove	1	5	57
Annangrove	1	6	53
Appin (NSW)	0	1	90
Appin (NSW)	0	2	10
Appin (NSW)	1	2	224
Appin (NSW)	1	3	137
Appin (NSW)	1	4	178
Appin (NSW)	1	5	92
Appin (NSW)	1	6	50
Apple Tree Flat	0	1	3
Apple Tree Flat	1	2	3
Appleby	1	3	3
Appleby	1	4	3
Appletree Flat	0	1	3
Appletree Flat	1	2	3
Apsley (NSW)	0	1	3
Apsley (NSW)	1	2	18
Apsley (NSW)	1	3	3
Apsley (NSW)	1	5	4
Apsley (NSW)	1	6	3
Arable	0	1	5
Arakoon	0	1	41
Arakoon	0	2	7
Arakoon	1	2	89
Arakoon	1	3	25
Arakoon	1	4	13
Arakoon	1	5	5
Arakoon	1	6	3
Araluen (NSW)	0	1	28
Araluen (NSW)	1	2	31
Araluen (NSW)	1	3	3
Araluen (NSW)	1	4	8
Arcadia (NSW)	0	1	41
Arcadia (NSW)	0	2	10
Arcadia (NSW)	1	2	122
Arcadia (NSW)	1	3	72
Arcadia (NSW)	1	4	85
Arcadia (NSW)	1	5	50
Arcadia (NSW)	1	6	36
Arcadia Vale	0	1	93
Arcadia Vale	0	2	4
Arcadia Vale	1	2	179
Arcadia Vale	1	3	96
Arcadia Vale	1	4	81
