SSC_NAME16	medianMortgageRepayment
Aarons Pass	
Abbotsbury	26004
Abbotsford (NSW)	31200
Abercrombie	20796
Abercrombie River	
Aberdare	15600
Aberdeen (NSW)	19500
Aberfoyle	6720
Aberglasslyn	24084
Abermain	16404
Abernethy	20796
Abington (NSW)	
Acacia Creek	
Acacia Gardens	28596
Adaminaby	12000
Adamstown	22104
Adamstown Heights	24096
Adelong	12996
Adjungbilly	11700
Afterlee	
Agnes Banks	24000
Airds	14400
Akolele	17700
Albert	
Albion Park	23400
Albion Park Rail	20400
Albury	19500
Aldavilla	15600
Alectown	17160
Alexandria	30000
Alfords Point	28800
Alfredtown	30684
Alice	
Alison (Central Coast - NSW)	31200
Alison (Dungog - NSW)	24948
Allambie Heights	34824
Allandale (NSW)	31680
Allawah	23400
Alleena	
Allgomera	15600
Allworth	17160
Allynbrook	17736
Alma Park	5448
Alpine	34380
Alstonvale	23400
Alstonville	18720
Alumy Creek	15600
Amaroo (NSW)	
Ambarvale	20400
Amosfield	
Anabranch North	
Anabranch South	
Anambah	
Ando	
Anembo	23400
Angledale	12996
Angledool	
Anglers Reach	18000
Angourie	15600
Anna Bay	20796
Annandale (NSW)	36000
Annangrove	34800
Appin (NSW)	27300
Apple Tree Flat	
Appleby	20796
Appletree Flat	
Apsley (NSW)	12996
Arable	
Arakoon	15840
Araluen (NSW)	10404
Aratula (NSW)	
Arcadia (NSW)	36000
Arcadia Vale	19764
Ardglen	
Arding	18720
Ardlethan	7284
Argalong	18000
Argenton	18204
Argents Hill	10404
Argoon (NSW)	
Ariah Park	7800
Arkell	15000
Arkstone	
Armatree	7800
Armidale	17424
Arncliffe	26004
Arndell Park	
Arrawarra	12996
Arrawarra Headland	16644
Artarmon	29796
Arthurville	15960
Arumpo	
Ashbury	30000
Ashby (NSW)	15600
Ashby Heights	13200
Ashby Island	
Ashcroft	20796
Ashfield (NSW)	24696
Ashford (NSW)	7800
Ashley	12996
Ashmont	14820
Ashtonfield	21324
Asquith	28800
Atholwood	
Attunga	15216
Auburn (NSW)	20796
Auburn Vale	20796
Austinmer	28596
Austral	24000
Austral Eden	19200
Avalon Beach	33804
Avisford	12024
Avoca (NSW)	30876
Avoca Beach	26004
Avon (NSW)	
Avondale (NSW)	20796
Avonside	19200
Awaba	20616
Aylmerton	22728
Baan Baa	18204
Babinda (NSW)	
Babyl Creek	
Back Creek (Bland - NSW)	
Back Creek (Gwydir - NSW)	
Back Creek (Mid-Coast - NSW)	
Back Creek (Queanbeyan-Palerang Regional - NSW)	
Back Creek (Tenterfield - NSW)	
Back Creek (Tweed - NSW)	
Back Forest	43680
Backmede	20400
Backwater	
Badgerys Creek	19848
Badja	
Baerami	
Baerami Creek	23508
Bagnoo	
Bago	
Bagotville	14400
Bakers Creek (Mid-Coast - NSW)	19500
Bakers Creek (Nambucca - NSW)	
Bakers Creek (Uralla - NSW)	
Bakers Swamp	9600
Balaclava (NSW)	21468
Balala	13200
Balcolyn	21000
Bald Blair	
Bald Hills (NSW)	20400
Bald Nob	
Bald Ridge	
Baldersleigh	16644
Baldry	2604
Balfours Peak	
Balgowlah	36000
Balgowlah Heights	51504
Balgownie	26004
Balickera	
Balladoran	19200
Ballalaba	
Balldale	11964
Ballengarra	20796
Ballimore	15336
Ballina	18204
Ballyroe	
Balmain	36000
Balmain East	42000
Balmoral (Lake Macquarie - NSW)	21600
Balmoral (Wingecarribee - NSW)	26004
Balranald	10296
Bamarang	
Banda Banda	
Bandon Grove	20796
Bangadang	
Bangalee (NSW)	24780
Bangalow	21600
Bangheet	
Bango	29904
Bangor (NSW)	30000
Banksia	28596
Banksmeadow	
Bankstown	20796
Bankstown Aerodrome	
Bannaby	13200
Bannister (NSW)	15624
Banoon	
Banora Point	20796
Banyabba	15600
Bar Beach	29220
Bar Point	18984
Bara	
Baradine	9096
Barangaroo	42000
Barcoongere	
Barden Ridge	28596
Bardia	28860
Bardwell Park	27084
Bardwell Valley	27456
Barellan	8316
Bargo	24960
Barham	12996
Barigan	
Barkers Vale	8160
Barmedman	7800
Barneys Reef	
Barnsley	20400
Barooga	16128
Barraba	7800
Barrack Heights	19764
Barrack Point	26004
Barraganyatti	19764
Barragga Bay	10860
Barratta (NSW)	
Barren Grounds	
Barrengarry	26004
Barretts Creek	
Barringella	
Barrington (NSW)	20796
Barrington Tops	
Barry (Blayney - NSW)	16740
Barry (Upper Hunter Shire - NSW)	
Barwang	15600
Barwon	
Baryulgil	
Basin View	15804
Bass Hill	24960
Bassendean (NSW)	
Batar Creek	19200
Bateau Bay	21840
Batehaven	18108
Batemans Bay	15600
Bathampton	26004
Bathurst	18000
Batlow	12012
Baulkham Hills	27600
Baw Baw (NSW)	23268
Bawley Point	15600
Baxters Ridge	
Bayview (NSW)	36000
Beacon Hill	34800
Beaconsfield (NSW)	29460
Bean Creek	6240
Bearbong	
Beaumont (NSW)	11400
Beaumont Hills	31200
Beckom	6720
Bective	20796
Bectric	
Bedgerabong	8580
Beechwood	18204
Beecroft	36000
Beecroft Peninsula	
Beelbangera	16560
Beemunnel	
Bega	16284
Beggan Beggan	19200
Belanglo	
Belbora	19200
Belfield	28536
Belford	26208
Belfrayden	
Belgravia	24000
