SSC_NAME16	medianMortgageRepayment
Belimbla Park	26004
Bell (NSW)	15264
Bella Vista	32400
Bellambi	22104
Bellangry	19212
Bellata	10428
Bellawongarah	19416
Bellbird	18204
Bellbird Heights	18720
Bellbrook	12000
Bellevue Hill	36000
Bellimbopinni	18204
Bellingen	17160
Bellmount Forest	27600
Belltrees	
Belmont (NSW)	22104
Belmont North	20808
Belmont South	20400
Belmore	24000
Belmore River	20796
Beloka	
Belowra	
Belrose	36000
Bemboka	14304
Ben Bullen	24144
Ben Lomond (NSW)	10404
Benandarah	17064
Bendalong	51996
Bendemeer	12000
Bendick Murrell	12996
Bendolba	22368
Bendoura	17208
Benerembah	20796
Bengalla	
Bennetts Green	
Benolong	
Bensville	24000
Bentley (NSW)	12996
Berala	20796
Berambing	26808
Beresfield	16800
Bergalia	22248
Berkeley	19236
Berkeley Vale	20796
Berkshire Park	28872
Berlang	
Bermagui	15600
Berowra	27972
Berowra Creek	
Berowra Heights	28596
Berowra Waters	18000
Berrambool	16644
Berrara	13200
Berremangra	15132
Berrico	
Berridale	14304
Berrigal	
Berrigan	10404
Berrilee	30600
Berrima	26004
Berringer Lake	
Berry	22500
Berry Jerry	12000
Berry Mountain	
Berry Park	21576
Berthong	
Beryl	14400
Bethungra	11700
Bevendale	
Beverley Park	30000
Beverly Hills	26004
Bewong	17676
Bexhill	23400
Bexley	26004
Bexley North	26400
Biala	
Bibbenluke	9360
Biddon	4800
Bidgeemia	
Bidwill (NSW)	18204
Bielsdown Hills	22320
Big Hill (NSW)	25008
Big Jacks Creek	35364
Big Ridge	
Big Springs	18000
Bigga	11076
Bilambil	21612
Bilambil Heights	20928
Bilbul	16980
Bilgola Beach	41604
Bilgola Plateau	37200
Billeroy	
Billilingra	
Billimari	9360
Billinudgel	22884
Billys Creek	10668
Billywillinga	19500
Bilpin	23400
Bimberi	
Bimbi	26004
Bimbimbie	20796
Binalong	15084
Binda	15600
Bindera	
Bingara	12588
Bingeebeebra Creek	
Bingie	18984
Bingleburra	18000
Biniguy	7020
Binjura	18720
Binna Burra (NSW)	26004
Binnaway	8448
Binya	12372
Birchgrove	36000
Birdwood (NSW)	
Birganbigil	
Birmingham Gardens	18204
Birriwa	
Birrong	23376
Bishops Bridge	26004
Bithramere	24000
Black Creek (Port Macquarie-Hastings - NSW)	25224
Black Creek (Snowy Valleys - NSW)	
Black Head	19704
Black Hill (NSW)	24000
Black Hollow	3324
Black Mountain (NSW)	20796
Black Range (NSW)	18204
Black Springs (NSW)	16116
Blackalls Park	19500
Blackbutt (NSW)	23400
Blackett	18276
Blackheath	19392
Blackmans Flat	
Blackmans Point	17832
Blacksmiths	20796
Blacktown	22800
Blackville	
Blackwall (NSW)	21108
Blair Athol (NSW)	26004
Blairmount	23796
Blakebrook	21012
Blakehurst	31200
Blakney Creek	17424
Bland	
Blandford	15600
Blaxland (NSW)	24696
Blaxlands Creek	18204
Blaxlands Ridge	28596
Blayney	16896
Bligh Park	23400
Blighty	7020
Blowering	
Blue Bay	23100
Blue Haven	20796
Blue Knob	14040
Blue Mountains National Park	
Blue Nobby	
Blue Vale	28008
Blueys Beach	16020
Boambee	21600
Boambee East	18204
Boambolo	
Boat Harbour (Lismore - NSW)	18540
Boat Harbour (Port Stephens - NSW)	23400
Bobadah	
Bobin	11688
Bobs Creek	20796
Bobs Farm	24000
Bobundara	
Boco	
Bocoble	15444
Bocobra	
Bodalla	15600
Bodangora	10404
Boeill Creek	34380
Bogan	
Bogan Gate	9780
Bogangar	20496
Bogee	20796
Boggabilla	9600
Boggabri	15060
Bogong Peaks Wilderness	
Bohena Creek	20796
Bohnock	11544
Bolaro	
Bolivia	14400
Bolong	22884
Bolton Point	18204
Bolwarra (NSW)	20796
Bolwarra Heights	25452
Bom Bom	
Bomaderry	16896
Bombah Point	
Bombala	12588
Bombay	18204
Bombira	27000
Bombo	28596
Bombowlee	19764
Bombowlee Creek	26700
Bomen	36204
Bomera	
Bonalbo	7800
Bondi	31200
Bondi Beach	32496
Bondi Forest	
Bondi Junction	33804
Bonnells Bay	20400
Bonnet Bay	31200
Bonny Hills	20796
Bonnyrigg	22800
Bonnyrigg Heights	24000
Bonshaw (NSW)	15468
Bonville	23400
Booerie Creek	15600
Book Book	
Booker Bay	20796
Bookham	12000
Bookookoorara	
Bookram	
Boolambayte	19068
Boolaroo	17604
Boolcarroll	
Booligal	13308
Boolijah	
Boomanoomana	26004
Boomerang Beach	16536
Boomey	24000
Boomi	10296
Boomi Creek	
Boona Mount	
Boonal	
Boonoo Boonoo	
Boorabee Park	12000
Booragul	18252
Booral (NSW)	25608
Boorga	
Boorganna	
Boorolong	27708
Boorook	
Boorooma	21816
Booroorban	
Boorowa	14064
Bootawa	15084
Booti Booti	
Booyong	12996
Bora Ridge	17160
Borah Creek	
Borambola	25200
Border Ranges	
Boree	32496
Boree Creek	7728
Borenore	26028
Boro	30108
Bossley Park	24000
Bostobrick	13596
Botany	31200
Botobolar	19404
Bottle Creek	
Bouddi	
Bourbah	
Bourke	10920
Bourkelands	21840
Bournda	26004
Bournewood	24000
Bow Bowing	22356
Bowan Park	20976
Bowen Mountain	24000
Bowenfels	16500
Bowling Alley Point	
Bowman	14400
Bowman Farm	21000
Bowmans Creek	
Bowna	24000
Bowning	18204
Bowral	23400
Bowraville	11964
Box Head	
Box Hill (NSW)	26004
Box Ridge	8880
Boxers Creek	22884
Boydtown	20796
Bradbury (NSW)	20796
Braefield	15600
Braemar	23400
Braemar Bay	
Braidwood	20400
Brandy Hill	25080
Branxton	22980
Braunstone	20796
Brawboy	
Bray Park (NSW)	18204
Brays Creek	19488
Brayton	25476
Breadalbane (NSW)	18852
Breakfast Creek	
Breakfast Point	32400
Bream Beach	
Bredbo	20796
Breelong	18204
Breeza	6792
Bretti	
Brewarrina	5244
Brewongle	14400
Briarbrook	
Bribbaree	11256
Bridgman	27504
Brierfield	15600
Brighton-le-Sands	26004
Brightwaters	21924
Bril Bril	
Brimbin	13656
Brindabella	
Brinerville	
Bringelly	26004
Bringenbrong	10668
Brisbane Grove	19800
Broadmeadow	20544
Broadwater (Bega Valley - NSW)	18204
Broadwater (Richmond Valley - NSW)	15600
Broadway	29040
Brobenah	
Brocklehurst	16512
Brocklesby	8364
Brockley	
Brodies Plains	26004
Brogans Creek	
Brogers Creek	11436
Brogo	12996
Broke (NSW)	20808
Broken Head	15912
Broken Hill	11436
Brombin	23316
Bronte	42000
Brookdale (NSW)	
Brookfield (NSW)	20796
Brooklana	13524
Brooklet	24000
Brooklyn (NSW)	26004
Brookong	
Brookvale	26400
Brooman	24000
Brooms Head	20796
Broughams Gate	
Broughton (NSW)	21492
Broughton Vale	18204
Broughton Village	29904
Broulee	18204
Brownlow Hill	28476
Browns Creek	18720
Browns Mountain	
Brownsville	19788
Brucedale	20604
Bruie Plains	18204
Bruinbun	13200
Brumby Plains	
Brundee	
Brungle	9408
Brungle Creek	
Brunkerville	22500
Brunswick Heads	20796
Brushgrove	18000
Brushy Creek	
Buangla	
Bucca (NSW)	23400
Bucca Wauka	19500
Buccarumbi	
Buchanan (NSW)	25008
Buckajo	20796
Buckaroo	20796
Buckenbowra	
Buckenderra	
Buckendoon	
Bucketty	22200
Buckra Bendinni	17400
Budawang	
Buddabadah	
Budden	
Budderoo	
Buddong	
Budgee Budgee (NSW)	23400
Budgewoi	18204
Budgewoi Peninsula	
Budgong	26256
Buff Point	19092
Bugaldie	15600
Bukalong	
Bukkulla	12996
Bulahdelah	13452
Bulee	
Bulga (NSW)	20796
Bulga Forest	
Bulgary	
Bulla (NSW)	
Bulla Creek	10404
Bullaburra	21120
Bullagreen	
Bullarah	
Bullatale	
Bullawa Creek	17424
Bulldog	
Bulli	27456
Bulliac	23580
Bullio	24000
Bulyeroi	
Bumbaldry	14436
Bumbalong	34056
Bundabah	14400
Bundagen	
Bundanoon (NSW)	19104
Bundarra	9564
Bundeena	28380
Bundella	
Bundemar	3000
Bundewallah	22356
Bundook	15600
Bundure	
Bungaba	16692
Bungabbee	
Bungalora	19800
Bungarby	
Bungarribee	33600
Bungawalbin	9240
Bungendore	28596
Bungonia	18720
Bungowannah	10800
Bungwahl	12024
Bunnaloo	12000
Bunnan	
Bunyah	14400
Bunyan	23400
Burcher	3588
Bureen	20808
Burnt Bridge	
Burnt Yards	
Buronga	14820
Burra (Queanbeyan-Palerang Regional - NSW)	31200
Burra (Snowy Valleys - NSW)	15804
Burra Creek	14340
Burraboi	7800
Burradoo	31200
Burraga	12276
Burragate	10200
Burrandana	
Burraneer	36396
Burrangong	15600
Burrapine	
Burrawang	33108
Burrell Creek	15600
Burren Junction	5976
Burrier	18720
Burrill Lake	16800
Burringbar	18204
Burrinjuck	
Burroway	8628
Burrumbuttock	15600
Burrundulla	24000
Burwood (NSW)	26004
Burwood Heights	30000
Busby	20796
Busbys Flat	
Bushells Ridge	
Buttaba	23532
Buttai	18204
Butterwick	32028
Buxton (NSW)	23400
Byabarra	15996
Byadbo Wilderness	
Byangum	15600
Bylong	
Byng	24000
Byrock	
Byron Bay	24000
Byrrill Creek	13212
Bywong	29112
Cabarita (NSW)	36000
Cabarita Beach	20796
Cabbage Tree Island (Ballina - NSW)	
Cabbage Tree Island (Mid-Coast - NSW)	
Cabramatta	16452
Cabramatta West	21216
Cabramurra	
Caddens	31200
Cadgee (NSW)	
Cadia	
Caffreys Flat	
Cairncross	
Calala	19800
Calamia	
Calderwood	31044
Caldwell	
Calga	33840
Califat	
Calimo	
Callaghan	
Callaghans Creek	
Callala Bay	18204
Callala Beach	18108
Calliope (NSW)	14304
Caloola	
Cambalong	
Camberwell (NSW)	
Cambewarra	28008
Cambewarra Village	20796
Camboon (NSW)	
Cambra	
Cambridge Gardens	22884
Cambridge Park	20988
Cambridge Plateau	
Camden	25476
Camden Head	17292
Camden Park (NSW)	29040
Camden South	26004
Camellia	
Cameron Park	26004
Camerons Creek	
Camira (NSW)	17676
Cammeray	32040
Camp Creek (NSW)	
Campbelltown (NSW)	20796
Camperdown (NSW)	30192
Campsie	20904
Campvale	26004
Cams Wharf	16800
Canada Bay	30000
Canadian Lead	
Canbelego	
Candelo	14400
Cangai	16644
Caniaba	21540
Canley Heights	20796
Canley Vale	18204
Canobolas	19200
Canoelands	25740
Canonba	
Canowindra	12996
Canterbury (NSW)	26004
Canton Beach	18204
Canyonleigh	25380
Caparra	18000
Capeen Creek	
Capertee	9960
Capoompeta	
Captains Flat	17004
Carabost	26004
Caragabal	5196
Carcalgong	
Carcoar	15084
Cardiff (NSW)	20280
Cardiff Heights	21324
Cardiff South	20796
Carey Bay	23724
Cargo	18000
Carinda	
Caringbah	26496
Caringbah South	36000
Carlaminda	17760
Carlingford	26004
Carlton (NSW)	24288
Carnes Hill	31620
Carnham	
Carool	25008
Caroona	5268
Carrabolla	
Carrai	
Carramar (NSW)	16020
Carrathool	2340
Carrick (NSW)	24612
Carrington (Mid-Coast - NSW)	10404
Carrington (Newcastle - NSW)	20796
Carrington Falls	
Carroll	13800
Carrowbrook	
Carrs Creek	16380
Carrs Island	
Carrs Peninsula	
Carss Park	34956
Cartwright	20748
Cartwrights Hill	18204
Carwell	
Carwoola	31200
Cascade (NSW)	
Casino	15084
Cassilis (NSW)	9228
Castle Cove	37356
Castle Doyle	19200
Castle Hill (NSW)	30000
Castle Rock	24492
Castlecrag	47892
Castlereagh	28800
Casuarina (NSW)	28344
Casula	26004
Catalina	15600
Cataract	
Cathcart (NSW)	18000
Catherine Field	31200
Catherine Hill Bay	26004
Cathundral	
Cattai	28596
Cattle Creek (NSW)	
Cavan (NSW)	
Caves Beach	23400
Cawdor (NSW)	31200
Cawongla	15600
Cecil Hills	26004
Cecil Park	30600
Cedar Brush Creek	31200
Cedar Creek (Cessnock - NSW)	
Cedar Creek (Tweed - NSW)	
Cedar Party	15600
Cedar Point	17556
Cells River	
Centennial Park (NSW)	26004
Central Colo	28800
Central Macdonald	29064
Central Mangrove	26208
Central Tilba	17040
Cessnock	17676
Chaelundi	
Chain Valley Bay	18204
Chakola	26448
Chambigne	7104
Charbon	7800
Charles Sturt University	
Charlestown (NSW)	22356
Charleys Forest	15600
Charlotte Bay	18000
Charlton (NSW)	
Charmhaven	18204
Chatham Valley	
Chatsbury	18600
Chatswood	30000
Chatswood West	36000
Chatsworth (NSW)	19740
Cheero Point	28200
Cheltenham (NSW)	36000
Cherry Tree Hill	11052
Cherrybrook	30000
Chester Hill	24000
Chichester (NSW)	
Chifley (NSW)	31200
Chilcotts Creek	
Chilcotts Grass	15600
Chillingham	18720
Chinderah	20796
Chinnock	15084
Chippendale	26004
Chipping Norton	26004
Chisholm (NSW)	27984
Chiswick	31200
Chittaway Bay	20796
Chittaway Point	22452
Chowan Creek	
Chullora	
Church Point	36396
Clandulla	15600
Clare (NSW)	
Claremont Meadows	25200
Clarence	26004
Clarence Town	20796
Clarendon (NSW)	32244
Clarenza	19248
Clareville	36396
Claymore	
Clear Creek	26004
Clear Range	21600
Clearfield	
Clemton Park	27000
Clergate	20796
Cleveland (NSW)	
Clifden	17556
Cliftleigh	19632
Clifton (NSW)	46800
Clifton Grove	26004
Clontarf (NSW)	51996
Clothiers Creek	28020
Clouds Creek	
Clovelly	44196
Clunes (NSW)	20796
Clybucca	18204
Clyde (NSW)	
Clydesdale (NSW)	23892
Coal Point	24000
Coalcliff	33888
Coaldale	10992
Coasters Retreat	
Cobaki	21840
Cobaki Lakes	16800
Cobar	15600
Cobar Park	12696
Cobargo	11868
Cobark	
Cobbadah	4800
Cobbitty	31692
Cobramunga	
Cockwhy	
Codrington (NSW)	20796
Coffee Camp	11808
Coffs Harbour	18660
Coggan	
Cogra Bay	14472
Coila	33804
Coldstream (NSW)	13008
Coleambally	10800
Colebee	36000
Coledale	28800
Colinroobie	6000
Colinton (NSW)	28596
Collarenebri	5748
Collaroy (NSW)	30000
Collaroy Plateau	36000
Collector	25416
Collendina	18000
Collerina	
Collie (NSW)	8052
Collingullie	17940
Collingwood (NSW)	
Collins Creek	10488
Collombatti	14040
Collum Collum	
Colly Blue	
Colo (Bathurst Regional - NSW)	
Colo (Hawkesbury - NSW)	26004
Colo Heights	25200
Colo Vale	21420
Colongra	
Colyton	21036
Comara	
Combaning	20448
Combara	
Comberton	
Comboyne	12744
Come By Chance	19548
Comerong Island	
Commissioners Creek	10404
Como (NSW)	31200
Comobella	
Conargo	9048
Concord	30000
Concord West	30000
Condell Park	26004
Condobolin	11964
Condong	20796
Coneac	
Congarinni	17676
Congarinni North	16776
Congewai	18000
Congo	19380
Conimbia	
Coniston	20400
Conjola	18780
Conjola Park	19440
Connells Point	33600
Constitution Hill	25056
Coogee (NSW)	32916
Cookamidgera	10404
Cookardinia	15108
Cooks Gap	19200
Cooks Hill	23400
Cooks Myalls	4476
Coolabah	
Coolac	7800
Coolagolite	15600
Coolah	11100
Coolamon	15600
Coolangatta (NSW)	21600
Coolangubra	
Coolatai	5856
Cooleman	
Cooleys Creek	
Coolgardie (NSW)	24000
Coolongolook	15600
Coolringdon	12996
Coolumbooka	
Coolumburra	
Cooma (NSW)	14148
Coomba Bay	13200
Coomba Park	10404
Coombadjha	
Coombell	
Coomealla	11700
Coomoo Coomoo	
Coonabarabran	12948
Coonamble	11052
Coongbar	
Cooperabung	18204
Coopernook	12996
Coopers Gully	15600
Coopers Shoot	26700
Cooplacurripa	
Coorabell	36000
Cooranbong	20796
Cootamundra	13524
Cootralantra	16908
Cooyal	24180
Copacabana	26004
Cope	19200
Copeland	10548
Copeton	
Copmanhurst	9468
Coppabella (NSW)	
Copperhannia	
Coraki	13524
Coralville	23604
Coramba	19368
Corang	
Corangula	
Corbie Hill	18204
Cordeaux	
Cordeaux Heights	24000
Coree	
Coreen	
Corindi Beach	20400
Corinella (NSW)	
Corlette	22104
Corndale (NSW)	21204
Corney Town	10404
Cornwallis	
Corobimilla	5004
Corowa	14940
Corrabare	
Corrimal	24000
Corrong	
Corrowong	
Corunna	18000
Cottage Point	23808
Cottonvale (NSW)	9624
Cougal	
Countegany	15996
Courabyra	20796
Couradda	
Couragago	
Couridjah	24000
Coutts Crossing	14400
Cow Flat	25224
Cowabbie	
Cowan	29388
Cowper	14556
Cowra	14400
Coxs Creek	
Coxs Crown	
Crabbes Creek	17004
Crackenback	45600
Craigie (NSW)	
Cranebrook	24000
Crangan Bay	
Craven	23376
Craven Plateau	
Crawford River	
Crawney	
Creewah	9876
Cremorne (NSW)	31200
Cremorne Point	36000
Crescent Head	17844
Crestwood	20796
Cringila	16728
Croki	17700
Cromer (NSW)	32400
Cronulla	26004
Crooble	
Croobyar	12816
Crooked Corner	4620
Crookwell	16116
Croom	33000
Croppa Creek	9876
Cross Roads (NSW)	
Crosslands	23136
Croudace Bay	26808
Crowdy Bay National Park	
Crowdy Head	31200
Crows Nest (NSW)	33600
Crowther	11052
Crowther Island	
Croydon (NSW)	28800
Croydon Park (NSW)	26004
Crudine	19116
Cryon	
Crystal Creek (NSW)	21720
Cubba	18396
Cudal	15600
Cudgegong	28596
Cudgel	
Cudgen	18204
Cudgera Creek	24000
Cudmirrah	14400
Culburra Beach	18204
Culcairn	11520
Cullen Bullen	15600
Cullenbone	20796
Cullendore	
Cullerin	20256
Cullivel	
Culmaran Creek	
Cumbalum	24000
Cumbandry	
Cumberland Reach	24000
Cumbo	
Cumborah	
Cumnock	10920
Cundle Flat	
Cundletown	15600
Cundumbul	7800
Cunjurong Point	10308
Cunningar	14040
Cunninyeuk	
Curban	18000
Curl Curl	37200
Curlew Waters	
Curlewis (NSW)	12000
Curlwaa	12348
Curra Creek	19008
Currabubula	18672
Curragh	
Curramore (NSW)	26004
Currans Hill	25032
Currarong	19500
Currawang	25200
Currawarna	13236
Curraweela	18348
Curricabark	
Currowan	16116
Cuttabri	
Cuttagee	
Dabee	
Daceyville	30600
Dairy Arm	
Dairy Flat	
Dairymans Plains	22824
Daleys Point	25188
Dalgety	10404
Dalmeny	15600
Dalmorton	
Dalswinton	36000
Dalton	13524
Dalwood (Ballina - NSW)	27504
Dalwood (Singleton - NSW)	22884
Dandaloo	
Dandry	10200
Dangar Island	25464
Dangarsleigh	16548
Dangelong	
Dapto	20796
Darawank	24000
Darbalara	
Darbys Falls	12996
Dareton	8316
Dargan	20280
Dark Corner	
Darkes Forest	23700
Darkwood	17292
Darling Point	36000
Darlinghurst	30000
Darlington (Singleton - NSW)	20280
Darlington (Sydney - NSW)	33600
Darlington Point	12996
Darlow	
Dartbrook	31500
Daruka	25200
Davidson	36000
Davis Creek	10008
Davistown	23400
Dawes Point	62400
Daysdale	9108
Dean Park	21456
Deauville	
Debenham	
Dee Why	26004
Deep Creek (Clarence Valley - NSW)	
Deep Creek (Kempsey - NSW)	8580
Deep Creek (Kyogle - NSW)	
Deepwater (NSW)	7800
Deer Vale	21048
Delegate	8784
Delungra	9360
Denham Court	31200
Denhams Beach	20796
Deniliquin	12996
Denistone	27600
Denistone East	26400
Denistone West	30000
Denman	20400
Depot Beach	
Derriwong	
Deua	
Deua River Valley	6600
Devils Hole	
Dewitt	
Dharruk	18660
Dhulura	44004
Dhuragoon	
Diamond Beach	16800
Diamond Head	
Diehard	
Diggers Camp	
Dignams Creek	10404
Dilkoon	11400
Dilpurra	
Dingo Forest	
Dinoga	
Dirnaseer	16128
Dirty Creek	14400
Dobies Bight	10404
Doctor George Mountain	11964
Doctors Gap	
Dog Rocks	
Dolans Bay	39000
Dolls Point	24444
Dollys Flat	15744
Dolphin Point	18204
Dombarton	28596
Donald Creek	12636
Dondingalong	15600
Doon Doon	21120
Doonbah	18000
Doonside	23400
Dooralong	33804
Dora Creek	20796
Dorrigo	15600
Dorrigo Mountain	22404
Dorroughby	21324
Double Bay	36000
Doubtful Creek	13212
Douglas Park	23712
Dover Heights	48000
Downside	16896
Doyalson	19080
Doyalson North	12996
Doyles Creek	21960
Doyles River	
Drake	5352
Drildool	
Dripstone	7920
Drummoyne	34800
Dry Creek (NSW)	
Dry Plain	
Dubbo	18204
Duck Creek	15000
Duckenfield	18204
Duckmaloi	10560
Dudley	24000
Duffys Forest	60000
Dulguigan	14400
Dulwich Hill	26004
Dum Dum	18204
Dumaresq	
Dumaresq Island	15600
Dumaresq Valley	
Dumbudgery	
Dunbible	23256
Dunbogan	18204
Duncans Creek	14400
Dundas (NSW)	26004
Dundas Valley	26400
Dundee	10404
Dundurrabin	7800
Dunedoo	11604
Dungarubba	18600
Dungay	28080
Dungeree	
Dungog	14400
Dungowan	20400
Dunkeld (NSW)	22104
Dunmore (NSW)	22800
Dunolly (NSW)	20796
Dunoon	18000
Duns Creek	26004
Dunville Loop	
Dural (Hornsby - NSW)	31200
Dural (Singleton - NSW)	
Duramana	20796
Duranbah	20796
Duri	18000
Duroby	26100
Durran Durra	21600
Durras North	
Durren Durren	21000
Duval	
Dyers Crossing	18720
Dyraaba	13488
Dyrring	28596
Eagle Vale	20796
Eagleton	19200
Earlwood	30000
East Albury	18204
East Ballina	20796
East Branxton	21600
East Coraki	18204
East Corrimal	22848
East Gosford	22356
East Gresford	17052
East Hills	26400
East Jindabyne	22440
East Kangaloon	31200
East Kempsey	14556
East Killara	37200
East Kurrajong	30000
East Lindfield	42000
East Lismore	17160
East Lynne	13200
East Maitland	20400
East Ryde	33804
East Seaham	23916
East Tamworth	18204
East Wagga Wagga	16356
East Wardell	17676
Eastern Creek	21156
Eastgardens	36000
Eastlakes	24000
Eastwood (NSW)	26004
Eatonsville	15600
Ebenezer (NSW)	26460
Ebor	7152
Eccleston	
Edderton	
Eden	16644
Eden Creek	19104
Edensor Park	24000
Edenville	15600
Edgecliff	36324
Edgeroi	20796
Edgeworth	19200
Edith (NSW)	14172
Edmondson Park	31716
Edrom	
Eenaweena	
Eglinton (NSW)	20796
Eighteen Mile	
Elands	7800
Elanora Heights	36000
Elcombe	
Elderslie (Camden - NSW)	27564
Elderslie (Singleton - NSW)	19080
Eleebana	24000
Elermore Vale	20796
Elizabeth Bay	27888
Elizabeth Beach	18708
Elizabeth Hills	30000
Ellalong	19200
Elland	18108
Ellangowan (NSW)	14556
Ellenborough	12504
Ellerslie (Snowy Valleys - NSW)	
Ellerslie (Wentworth - NSW)	7800
Ellerston	
Ellis Lane	30156
Elong Elong	4416
Elrington	26004
Elsmore	15600
Eltham (NSW)	22200
Elvina Bay	29400
Emerald Beach	20544
Emerald Hill	21060
Emerton	18000
Emmaville	10404
Empire Bay	23916
Empire Vale	19080
Emu Heights (NSW)	24000
Emu Plains	26004
Emu Swamp	23808
Endrick	
Enfield (NSW)	26004
Engadine	28800
