SSC_NAME16	MotorVehicles.min	occupied_private_dwellings
Aarons Pass	1	3
Aarons Pass	3	3
Abbotsbury		22
Abbotsbury	0	19
Abbotsbury	1	199
Abbotsbury	2	443
Abbotsbury	3	276
Abbotsbury	4	235
Abbotsford (NSW)		71
Abbotsford (NSW)	0	178
Abbotsford (NSW)	1	897
Abbotsford (NSW)	2	790
Abbotsford (NSW)	3	160
Abbotsford (NSW)	4	75
Abercrombie		3
Abercrombie	0	3
Abercrombie	1	83
Abercrombie	2	164
Abercrombie	3	65
Abercrombie	4	31
Abercrombie River		3
Abercrombie River	1	5
Abercrombie River	2	3
Abercrombie River	4	3
Aberdare		45
Aberdare	0	49
Aberdare	1	349
Aberdare	2	315
Aberdare	3	111
Aberdare	4	48
Aberdeen (NSW)		34
Aberdeen (NSW)	0	29
Aberdeen (NSW)	1	250
Aberdeen (NSW)	2	300
Aberdeen (NSW)	3	109
Aberdeen (NSW)	4	46
Aberfoyle	2	12
Aberfoyle	3	12
Aberfoyle	4	3
Aberglasslyn		36
Aberglasslyn	0	19
Aberglasslyn	1	432
Aberglasslyn	2	858
Aberglasslyn	3	255
Aberglasslyn	4	139
Abermain		27
Abermain	0	30
Abermain	1	274
Abermain	2	291
Abermain	3	122
Abermain	4	76
Abernethy		5
Abernethy	1	25
Abernethy	2	29
Abernethy	3	18
Abernethy	4	8
Abington (NSW)	4	4
Acacia Creek	1	5
Acacia Creek	2	3
Acacia Gardens		20
Acacia Gardens	0	11
Acacia Gardens	1	296
Acacia Gardens	2	515
Acacia Gardens	3	168
Acacia Gardens	4	94
Adaminaby		5
Adaminaby	0	16
Adaminaby	1	40
Adaminaby	2	51
Adaminaby	3	9
Adaminaby	4	16
Adamstown		66
Adamstown	0	236
Adamstown	1	899
Adamstown	2	873
Adamstown	3	214
Adamstown	4	104
Adamstown Heights		42
Adamstown Heights	0	79
Adamstown Heights	1	571
Adamstown Heights	2	841
Adamstown Heights	3	255
Adamstown Heights	4	107
Adelong		17
Adelong	0	24
Adelong	1	123
Adelong	2	150
Adelong	3	49
Adelong	4	22
Adjungbilly	1	8
Adjungbilly	2	11
Adjungbilly	3	8
Adjungbilly	4	3
Afterlee	1	8
Afterlee	2	6
Afterlee	3	6
Agnes Banks		7
Agnes Banks	0	7
Agnes Banks	1	39
Agnes Banks	2	90
Agnes Banks	3	52
Agnes Banks	4	55
Airds		74
Airds	0	240
Airds	1	379
Airds	2	186
Airds	3	42
Airds	4	15
Akolele	0	3
Akolele	1	15
Akolele	2	15
Akolele	3	7
Albert	1	4
Albert	2	8
Albert	3	5
Albert	4	4
Albion Park		92
Albion Park	0	122
Albion Park	1	1087
Albion Park	2	1754
Albion Park	3	712
Albion Park	4	478
Albion Park Rail		95
Albion Park Rail	0	121
Albion Park Rail	1	833
Albion Park Rail	2	855
Albion Park Rail	3	308
Albion Park Rail	4	218
Albury		58
Albury	0	197
Albury	1	831
Albury	2	665
Albury	3	138
Albury	4	65
Aldavilla		7
Aldavilla	0	3
Aldavilla	1	62
Aldavilla	2	108
Aldavilla	3	45
Aldavilla	4	33
Alectown	1	16
Alectown	2	30
Alectown	3	8
Alectown	4	11
Alexandria		91
Alexandria	0	669
Alexandria	1	2003
Alexandria	2	717
Alexandria	3	92
Alexandria	4	20
Alfords Point		20
Alfords Point	0	8
Alfords Point	1	108
Alfords Point	2	377
Alfords Point	3	215
Alfords Point	4	178
Alfredtown	1	8
Alfredtown	2	9
Alfredtown	3	9
Alfredtown	4	6
Alison (Central Coast - NSW)		4
Alison (Central Coast - NSW)	1	3
Alison (Central Coast - NSW)	2	11
Alison (Central Coast - NSW)	3	5
Alison (Central Coast - NSW)	4	11
Alison (Dungog - NSW)	1	14
Alison (Dungog - NSW)	2	12
Alison (Dungog - NSW)	3	4
Alison (Dungog - NSW)	4	3
Allambie Heights		66
Allambie Heights	0	141
Allambie Heights	1	656
Allambie Heights	2	911
Allambie Heights	3	302
Allambie Heights	4	153
Allandale (NSW)		3
Allandale (NSW)	1	5
Allandale (NSW)	2	9
Allandale (NSW)	4	9
Allawah		68
Allawah	0	266
Allawah	1	1035
Allawah	2	522
Allawah	3	100
Allawah	4	44
Alleena	1	3
Alleena	2	9
Alleena	3	3
Allgomera	1	14
Allgomera	2	18
Allgomera	3	11
Allworth		4
Allworth	1	25
Allworth	2	19
Allworth	3	12
Allworth	4	8
Allynbrook	2	9
Allynbrook	3	13
Allynbrook	4	4
Alma Park	2	8
Alma Park	3	3
Alpine		4
Alpine	2	19
Alpine	3	14
Alpine	4	6
Alstonvale		3
Alstonvale	1	28
Alstonvale	2	65
Alstonvale	3	35
Alstonvale	4	18
Alstonville		78
Alstonville	0	124
Alstonville	1	944
Alstonville	2	829
Alstonville	3	226
Alstonville	4	90
Alumy Creek	1	4
Alumy Creek	2	18
Alumy Creek	3	3
Alumy Creek	4	3
Amaroo (NSW)	2	6
Amaroo (NSW)	3	3
Ambarvale		106
Ambarvale	0	211
Ambarvale	1	820
Ambarvale	2	747
Ambarvale	3	263
Ambarvale	4	151
Amosfield	1	4
Amosfield	2	5
Amosfield	4	3
Anabranch South	1	3
Anabranch South	2	8
Anabranch South	3	6
Anambah	1	3
Anambah	2	5
Ando	1	12
Ando	2	9
Ando	3	8
Ando	4	4
Anembo		3
Anembo	1	3
Anembo	2	7
Anembo	3	6
Angledale		3
Angledale	0	3
Angledale	1	9
Angledale	2	20
Angledale	3	12
Angledale	4	4
Angledool		3
Angledool	0	3
Angledool	1	3
Angledool	2	9
Angledool	3	3
Angledool	4	3
Anglers Reach	1	10
Anglers Reach	2	14
Anglers Reach	3	3
Angourie	0	3
Angourie	1	32
Angourie	2	39
Angourie	3	12
Angourie	4	3
Anna Bay		59
Anna Bay	0	53
Anna Bay	1	531
Anna Bay	2	462
Anna Bay	3	175
Anna Bay	4	86
Annandale (NSW)		107
Annandale (NSW)	0	512
Annandale (NSW)	1	1743
Annandale (NSW)	2	1019
Annandale (NSW)	3	171
Annandale (NSW)	4	56
Annangrove		4
Annangrove	0	3
Annangrove	1	32
Annangrove	2	129
Annangrove	3	72
Annangrove	4	131
Appin (NSW)		17
Appin (NSW)	0	20
Appin (NSW)	1	151
Appin (NSW)	2	345
Appin (NSW)	3	149
Appin (NSW)	4	116
Apple Tree Flat	1	3
Apple Tree Flat	2	10
Apple Tree Flat	3	4
Appleby	1	3
Appleby	2	7
Appleby	4	3
Appletree Flat	3	3
Apsley (NSW)	1	6
Apsley (NSW)	2	12
Apsley (NSW)	3	6
Apsley (NSW)	4	6
Arable	1	3
Arable	2	3
Arakoon		4
Arakoon	0	3
Arakoon	1	54
Arakoon	2	78
Arakoon	3	27
Arakoon	4	16
Araluen (NSW)		8
Araluen (NSW)	1	22
Araluen (NSW)	2	30
Araluen (NSW)	3	10
Araluen (NSW)	4	3
Arcadia (NSW)		12
Arcadia (NSW)	0	3
Arcadia (NSW)	1	66
Arcadia (NSW)	2	149
Arcadia (NSW)	3	84
Arcadia (NSW)	4	103
Arcadia Vale		17
Arcadia Vale	0	13
Arcadia Vale	1	152
Arcadia Vale	2	224
Arcadia Vale	3	81
Arcadia Vale	4	26
Ardglen	1	3
Ardglen	2	10
Ardglen	4	3
Arding		6
Arding	1	15
Arding	2	33
Arding	3	8
Arding	4	10
Ardlethan		8
Ardlethan	0	9
Ardlethan	1	86
Ardlethan	2	54
Ardlethan	3	33
Ardlethan	4	16
Argalong	1	3
Argalong	2	7
Argalong	4	5
Argenton		23
Argenton	0	56
Argenton	1	190
Argenton	2	184
Argenton	3	45
Argenton	4	35
Argents Hill	1	29
Argents Hill	2	38
Argents Hill	3	12
Argents Hill	4	11
Argoon (NSW)	1	3
Ariah Park		14
Ariah Park	0	3
Ariah Park	1	55
Ariah Park	2	69
Ariah Park	3	22
Ariah Park	4	21
Arkell	1	4
Arkell	2	7
Arkell	3	3
Arkell	4	4
Armatree		3
Armatree	1	10
Armatree	2	13
Armatree	3	7
Armatree	4	4
Armidale		298
Armidale	0	683
Armidale	1	3232
Armidale	2	2704
Armidale	3	758
Armidale	4	411
Arncliffe		137
Arncliffe	0	510
Arncliffe	1	1446
Arncliffe	2	928
Arncliffe	3	287
Arncliffe	4	132
Arrawarra		22
Arrawarra	0	11
Arrawarra	1	169
Arrawarra	2	56
Arrawarra	3	7
Arrawarra	4	4
Arrawarra Headland		10
Arrawarra Headland	0	7
Arrawarra Headland	1	57
Arrawarra Headland	2	81
Arrawarra Headland	3	31
Arrawarra Headland	4	16
Artarmon		75
Artarmon	0	539
Artarmon	1	1974
Artarmon	2	828
Artarmon	3	139
Artarmon	4	31
Arthurville		6
Arthurville	2	5
Arthurville	3	8
Arumpo	1	3
Arumpo	3	4
Arumpo	4	3
Ashbury		30
Ashbury	0	66
Ashbury	1	330
Ashbury	2	422
Ashbury	3	127
Ashbury	4	72
Ashby (NSW)		3
Ashby (NSW)	1	45
Ashby (NSW)	2	62
Ashby (NSW)	3	19
Ashby (NSW)	4	9
Ashby Heights		11
Ashby Heights	1	26
Ashby Heights	2	37
Ashby Heights	3	12
Ashby Heights	4	4
Ashcroft		86
Ashcroft	0	168
Ashcroft	1	338
Ashcroft	2	275
Ashcroft	3	106
Ashcroft	4	53
Ashfield (NSW)		428
Ashfield (NSW)	0	1872
Ashfield (NSW)	1	4130
Ashfield (NSW)	2	1661
Ashfield (NSW)	3	312
Ashfield (NSW)	4	139
Ashford (NSW)		15
Ashford (NSW)	0	11
Ashford (NSW)	1	86
Ashford (NSW)	2	89
Ashford (NSW)	3	30
Ashford (NSW)	4	22
Ashley		8
Ashley	1	34
Ashley	2	48
Ashley	3	15
Ashley	4	15
Ashmont		78
Ashmont	0	181
Ashmont	1	598
Ashmont	2	398
Ashmont	3	126
Ashmont	4	40
Ashtonfield		29
Ashtonfield	0	24
Ashtonfield	1	370
Ashtonfield	2	704
Ashtonfield	3	228
Ashtonfield	4	130
Asquith		20
Asquith	0	60
Asquith	1	448
Asquith	2	391
Asquith	3	117
Asquith	4	60
Atholwood	1	11
Atholwood	2	7
Atholwood	3	8
Atholwood	4	3
Attunga		3
Attunga	1	49
Attunga	2	78
Attunga	3	48
Attunga	4	25
Auburn (NSW)		577
Auburn (NSW)	0	1453
Auburn (NSW)	1	3919
Auburn (NSW)	2	2499
Auburn (NSW)	3	901
Auburn (NSW)	4	566
Auburn Vale	1	6
Auburn Vale	2	18
Auburn Vale	3	15
Austinmer		19
Austinmer	0	29
Austinmer	1	290
Austinmer	2	398
Austinmer	3	97
Austinmer	4	49
Austral		82
Austral	0	24
Austral	1	179
Austral	2	237
Austral	3	145
Austral	4	166
Austral Eden	1	7
Austral Eden	2	17
Austral Eden	3	19
Austral Eden	4	4
Avalon Beach		93
Avalon Beach	0	83
Avalon Beach	1	897
Avalon Beach	2	1470
Avalon Beach	3	505
Avalon Beach	4	241
Avoca (NSW)	1	17
Avoca (NSW)	2	31
Avoca (NSW)	3	13
Avoca (NSW)	4	11
Avoca Beach		38
Avoca Beach	0	24
Avoca Beach	1	398
Avoca Beach	2	719
Avoca Beach	3	229
Avoca Beach	4	109
Avondale (NSW)		47
Avondale (NSW)	0	61
Avondale (NSW)	1	192
Avondale (NSW)	2	209
Avondale (NSW)	3	85
Avondale (NSW)	4	50
Avonside	2	16
Avonside	3	8
Avonside	4	3
Awaba		7
Awaba	0	3
Awaba	1	34
Awaba	2	46
Awaba	3	22
Awaba	4	20
Aylmerton	1	18
Aylmerton	2	33
