SSC_NAME16	MotorVehicles.min	occupied_private_dwellings
Aylmerton	3	8
Aylmerton	4	12
Baan Baa		5
Baan Baa	0	3
Baan Baa	1	10
Baan Baa	2	19
Baan Baa	3	18
Baan Baa	4	10
Babyl Creek	2	4
Back Creek (Bland - NSW)	1	3
Back Creek (Bland - NSW)	2	4
Back Creek (Bland - NSW)	4	5
Back Creek (Gwydir - NSW)	4	3
Back Creek (Mid-Coast - NSW)	1	6
Back Creek (Mid-Coast - NSW)	2	3
Back Creek (Mid-Coast - NSW)	3	5
Back Creek (Tenterfield - NSW)	2	4
Back Creek (Tenterfield - NSW)	4	3
Back Creek (Tweed - NSW)	2	4
Back Forest		3
Back Forest	1	8
Back Forest	2	10
Back Forest	4	7
Backmede	1	4
Backmede	2	20
Backmede	3	12
Backmede	4	11
Backwater	4	4
Badgerys Creek		3
Badgerys Creek	1	18
Badgerys Creek	2	23
Badgerys Creek	3	13
Badgerys Creek	4	9
Badja	2	3
Baerami	1	3
Baerami	2	4
Baerami	3	4
Baerami	4	5
Baerami Creek	1	7
Baerami Creek	2	3
Baerami Creek	3	3
Baerami Creek	4	3
Bagnoo	0	3
Bagnoo	1	4
Bagnoo	2	3
Bagnoo	3	7
Bago	2	4
Bago	3	3
Bago	4	3
Bagotville	1	3
Bagotville	2	12
Bagotville	3	3
Bakers Creek (Mid-Coast - NSW)	1	3
Bakers Creek (Mid-Coast - NSW)	2	7
Bakers Creek (Nambucca - NSW)	2	3
Bakers Creek (Uralla - NSW)	2	4
Bakers Creek (Uralla - NSW)	3	3
Bakers Swamp	1	3
Bakers Swamp	2	6
Bakers Swamp	3	7
Bakers Swamp	4	3
Balaclava (NSW)		13
Balaclava (NSW)	1	50
Balaclava (NSW)	2	60
Balaclava (NSW)	3	25
Balaclava (NSW)	4	21
Balala		3
Balala	1	12
Balala	2	14
Balala	3	7
Balala	4	10
Balcolyn		10
Balcolyn	0	11
Balcolyn	1	135
Balcolyn	2	136
Balcolyn	3	41
Balcolyn	4	24
Bald Blair	1	5
Bald Blair	2	3
Bald Blair	3	4
Bald Blair	4	3
Bald Hills (NSW)	1	23
Bald Hills (NSW)	2	46
Bald Hills (NSW)	3	21
Bald Hills (NSW)	4	3
Bald Nob	1	3
Bald Nob	3	3
Baldersleigh	1	3
Baldersleigh	2	9
Baldersleigh	3	4
Baldersleigh	4	3
Baldry	1	7
Baldry	2	10
Baldry	3	3
Baldry	4	11
Balfours Peak	1	3
Balfours Peak	2	4
Balfours Peak	4	4
Balgowlah		67
Balgowlah	0	224
Balgowlah	1	1435
Balgowlah	2	1024
Balgowlah	3	203
Balgowlah	4	56
Balgowlah Heights		16
Balgowlah Heights	0	22
Balgowlah Heights	1	265
Balgowlah Heights	2	506
Balgowlah Heights	3	142
Balgowlah Heights	4	62
Balgownie		70
Balgownie	0	112
Balgownie	1	642
Balgownie	2	792
Balgownie	3	291
Balgownie	4	127
Balickera	2	4
Balladoran	1	7
Balladoran	2	10
Balladoran	3	13
Balladoran	4	12
Ballalaba	1	3
Ballalaba	2	6
Balldale	0	3
Balldale	1	9
Balldale	2	20
Balldale	3	8
Balldale	4	10
Ballengarra	1	3
Ballengarra	2	18
Ballengarra	3	10
Ballengarra	4	3
Ballimore		3
Ballimore	1	9
Ballimore	2	21
Ballimore	3	13
Ballimore	4	9
Ballina		222
Ballina	0	510
Ballina	1	1852
Ballina	2	964
Ballina	3	210
Ballina	4	76
Balmain		110
Balmain	0	643
Balmain	1	2162
Balmain	2	1063
Balmain	3	154
Balmain	4	55
Balmain East		23
Balmain East	0	115
Balmain East	1	372
Balmain East	2	232
Balmain East	3	37
Balmain East	4	12
Balmoral (Lake Macquarie - NSW)		3
Balmoral (Lake Macquarie - NSW)	0	5
Balmoral (Lake Macquarie - NSW)	1	61
Balmoral (Lake Macquarie - NSW)	2	129
Balmoral (Lake Macquarie - NSW)	3	42
Balmoral (Lake Macquarie - NSW)	4	25
Balmoral (Wingecarribee - NSW)	0	3
Balmoral (Wingecarribee - NSW)	1	31
Balmoral (Wingecarribee - NSW)	2	58
Balmoral (Wingecarribee - NSW)	3	31
Balmoral (Wingecarribee - NSW)	4	29
Balranald		26
Balranald	0	46
Balranald	1	159
Balranald	2	178
Balranald	3	77
Balranald	4	28
Bamarang	4	3
Bandon Grove	1	6
Bandon Grove	2	18
Bandon Grove	3	7
Bandon Grove	4	3
Bangadang	3	3
Bangalee (NSW)		3
Bangalee (NSW)	0	3
Bangalee (NSW)	1	48
Bangalee (NSW)	2	95
Bangalee (NSW)	3	49
Bangalee (NSW)	4	33
Bangalow		23
Bangalow	0	10
Bangalow	1	223
Bangalow	2	323
Bangalow	3	83
Bangalow	4	44
Bangheet	1	5
Bangheet	2	6
Bangheet	3	7
Bango		3
Bango	1	3
Bango	2	13
Bango	3	7
Bango	4	11
Bangor (NSW)		34
Bangor (NSW)	0	38
Bangor (NSW)	1	355
Bangor (NSW)	2	831
Bangor (NSW)	3	317
Bangor (NSW)	4	212
Banksia		44
Banksia	0	94
Banksia	1	416
Banksia	2	328
Banksia	3	117
Banksia	4	62
Bankstown		409
Bankstown	0	1322
Bankstown	1	4047
Bankstown	2	2686
Bankstown	3	748
Bankstown	4	378
Bannaby	1	5
Bannaby	2	7
Bannaby	3	9
Bannister (NSW)	1	6
Bannister (NSW)	2	17
Bannister (NSW)	3	14
Bannister (NSW)	4	6
Banoon	1	3
Banoon	2	4
Banoon	3	3
Banora Point		235
Banora Point	0	346
Banora Point	1	2602
Banora Point	2	2245
Banora Point	3	655
Banora Point	4	287
Banyabba		3
Banyabba	1	7
Banyabba	2	3
Banyabba	3	4
Bar Beach		19
Bar Beach	0	77
Bar Beach	1	166
Bar Beach	2	188
Bar Beach	3	46
Bar Beach	4	21
Bar Point		3
Bar Point	0	10
Bar Point	1	18
Bar Point	4	4
Bara	2	4
Bara	3	3
Baradine		13
Baradine	0	25
Baradine	1	113
Baradine	2	104
Baradine	3	37
Baradine	4	29
Barangaroo	0	16
Barangaroo	1	31
Barangaroo	2	7
Barden Ridge		10
Barden Ridge	0	11
Barden Ridge	1	149
Barden Ridge	2	515
Barden Ridge	3	265
Barden Ridge	4	246
Bardia		14
Bardia	0	11
Bardia	1	133
Bardia	2	229
Bardia	3	51
Bardia	4	21
Bardwell Park		22
Bardwell Park	0	62
Bardwell Park	1	285
Bardwell Park	2	262
Bardwell Park	3	85
Bardwell Park	4	49
Bardwell Valley		27
Bardwell Valley	0	63
Bardwell Valley	1	252
Bardwell Valley	2	297
Bardwell Valley	3	89
Bardwell Valley	4	39
Barellan		15
Barellan	0	4
Barellan	1	56
Barellan	2	75
Barellan	3	22
Barellan	4	25
Bargo		58
Bargo	0	46
Bargo	1	363
Bargo	2	504
Bargo	3	248
Bargo	4	248
Barham		40
Barham	0	31
Barham	1	230
Barham	2	218
Barham	3	75
Barham	4	37
Barkers Vale	1	30
Barkers Vale	2	31
Barkers Vale	3	6
Barmedman		13
Barmedman	0	5
Barmedman	1	54
Barmedman	2	55
Barmedman	3	27
Barmedman	4	12
Barnsley		17
Barnsley	0	9
Barnsley	1	137
Barnsley	2	224
Barnsley	3	126
Barnsley	4	69
Barooga		41
Barooga	0	31
Barooga	1	228
Barooga	2	254
Barooga	3	90
Barooga	4	25
Barraba		49
Barraba	0	48
Barraba	1	246
Barraba	2	182
Barraba	3	55
Barraba	4	30
Barrack Heights		104
Barrack Heights	0	153
Barrack Heights	1	769
Barrack Heights	2	743
Barrack Heights	3	265
Barrack Heights	4	133
Barrack Point		8
Barrack Point	0	9
Barrack Point	1	73
Barrack Point	2	85
Barrack Point	3	36
Barrack Point	4	23
Barraganyatti		3
Barraganyatti	0	3
Barraganyatti	1	15
Barraganyatti	2	17
Barraganyatti	3	10
Barraganyatti	4	5
Barragga Bay		3
Barragga Bay	1	15
Barragga Bay	2	15
Barragga Bay	3	3
Barragga Bay	4	4
Barrengarry	1	14
Barrengarry	2	25
Barrengarry	3	8
Barrengarry	4	8
Barretts Creek	2	4
Barringella	2	3
Barringella	4	4
Barrington (NSW)		8
Barrington (NSW)	1	41
Barrington (NSW)	2	54
Barrington (NSW)	3	28
Barrington (NSW)	4	10
Barry (Blayney - NSW)	1	13
Barry (Blayney - NSW)	2	23
Barry (Blayney - NSW)	3	12
Barry (Blayney - NSW)	4	7
Barwang	1	5
Barwang	2	15
Barwang	3	9
Barwang	4	3
Barwon	2	4
Barwon	4	3
Baryulgil	0	8
Baryulgil	1	17
Basin View		43
Basin View	0	7
Basin View	1	185
Basin View	2	200
Basin View	3	83
Basin View	4	41
Bass Hill		113
Bass Hill	0	230
Bass Hill	1	826
Bass Hill	2	903
Bass Hill	3	397
Bass Hill	4	205
Batar Creek	1	4
Batar Creek	2	9
Batar Creek	3	6
Batar Creek	4	4
Bateau Bay		209
Bateau Bay	0	372
Bateau Bay	1	1507
Bateau Bay	2	1659
Bateau Bay	3	504
Bateau Bay	4	245
Batehaven		33
Batehaven	0	64
Batehaven	1	355
Batehaven	2	204
Batehaven	3	58
Batehaven	4	19
Batemans Bay		51
Batemans Bay	0	130
Batemans Bay	1	327
Batemans Bay	2	120
Batemans Bay	3	37
Batemans Bay	4	13
Bathampton	3	3
Bathampton	4	3
Bathurst		111
Bathurst	0	397
Bathurst	1	1380
Bathurst	2	788
Bathurst	3	202
Bathurst	4	97
Batlow		26
Batlow	0	35
Batlow	1	182
Batlow	2	179
Batlow	3	81
Batlow	4	25
Baulkham Hills		217
Baulkham Hills	0	370
Baulkham Hills	1	3692
Baulkham Hills	2	5374
Baulkham Hills	3	1587
Baulkham Hills	4	807
Baw Baw (NSW)		6
Baw Baw (NSW)	1	12
Baw Baw (NSW)	2	29
Baw Baw (NSW)	3	22
Baw Baw (NSW)	4	16
Bawley Point		9
Bawley Point	1	113
Bawley Point	2	117
Bawley Point	3	35
Bawley Point	4	10
Bayview (NSW)		61
Bayview (NSW)	0	143
Bayview (NSW)	1	475
Bayview (NSW)	2	435
Bayview (NSW)	3	197
Bayview (NSW)	4	133
Beacon Hill		56
Beacon Hill	0	56
Beacon Hill	1	528
Beacon Hill	2	1001
Beacon Hill	3	367
Beacon Hill	4	221
Beaconsfield (NSW)		18
Beaconsfield (NSW)	0	43
Beaconsfield (NSW)	1	199
Beaconsfield (NSW)	2	105
Beaconsfield (NSW)	3	15
Beaconsfield (NSW)	4	6
Bean Creek	1	5
Bean Creek	2	13
Bean Creek	3	5
Bearbong	1	3
Bearbong	2	9
Bearbong	3	4
Bearbong	4	8
Beaumont (NSW)	1	13
Beaumont (NSW)	2	18
Beaumont (NSW)	3	6
Beaumont (NSW)	4	5
Beaumont Hills		37
Beaumont Hills	0	18
Beaumont Hills	1	418
Beaumont Hills	2	1261
Beaumont Hills	3	485
Beaumont Hills	4	240
Beckom	0	3
Beckom	1	6
Beckom	2	20
Beckom	3	9
Beckom	4	5
Bective	1	10
Bective	2	17
Bective	3	21
Bective	4	17
Bectric	1	3
Bectric	2	9
Bectric	3	4
Bectric	4	3
Bedgerabong	1	12
Bedgerabong	2	20
Bedgerabong	3	8
Bedgerabong	4	10
Beechwood		5
Beechwood	0	3
Beechwood	1	57
Beechwood	2	97
Beechwood	3	38
Beechwood	4	9
Beecroft		41
Beecroft	0	89
Beecroft	1	836
Beecroft	2	1401
Beecroft	3	409
Beecroft	4	178
Beelbangera		4
Beelbangera	0	3
Beelbangera	1	22
Beelbangera	2	62
Beelbangera	3	34
Beelbangera	4	11
Bega		91
Bega	0	159
Bega	1	741
Bega	2	584
Bega	3	151
Bega	4	88
Beggan Beggan		3
Beggan Beggan	2	17
Beggan Beggan	3	6
Beggan Beggan	4	3
Belanglo	2	3
Belanglo	3	3
Belbora	1	11
Belbora	2	16
Belbora	3	12
Belfield		66
Belfield	0	207
Belfield	1	663
Belfield	2	749
Belfield	3	267
Belfield	4	123
Belford	1	4
Belford	2	25
Belford	3	11
Belford	4	14
Belfrayden	0	3
Belfrayden	1	3
Belfrayden	2	3
Belgravia	1	7
Belgravia	2	16
Belgravia	3	9
Belgravia	4	6
Belimbla Park		7
Belimbla Park	1	17
Belimbla Park	2	59
Belimbla Park	3	36
Belimbla Park	4	51
Bell (NSW)	1	3
Bell (NSW)	2	7
Bell (NSW)	3	7
Bella Vista		30
Bella Vista	0	21
Bella Vista	1	354
Bella Vista	2	1009
Bella Vista	3	478
Bella Vista	4	287
Bellambi		73
Bellambi	0	239
Bellambi	1	666
Bellambi	2	428
Bellambi	3	111
Bellambi	4	58
Bellangry	0	3
Bellangry	1	8
Bellangry	2	15
Bellangry	3	11
Bellangry	4	4
Bellata		11
Bellata	0	3
Bellata	1	24
Bellata	2	49
Bellata	3	22
Bellata	4	9
Bellawongarah	1	4
Bellawongarah	2	19
Bellawongarah	3	11
Bellawongarah	4	4
Bellbird		36
Bellbird	0	27
Bellbird	1	208
Bellbird	2	277
Bellbird	3	100
Bellbird	4	53
Bellbird Heights		12
Bellbird Heights	0	3
Bellbird Heights	1	84
Bellbird Heights	2	128
Bellbird Heights	3	50
Bellbird Heights	4	20
Bellbrook		8
Bellbrook	0	11
Bellbrook	1	44
Bellbrook	2	34
Bellbrook	3	11
Bellbrook	4	10
Bellevue Hill		120
Bellevue Hill	0	387
Bellevue Hill	1	1502
Bellevue Hill	2	1358
Bellevue Hill	3	349
Bellevue Hill	4	161
Bellimbopinni	1	6
Bellimbopinni	2	12
Bellimbopinni	3	7
Bellimbopinni	4	8
Bellingen		60
Bellingen	0	60
Bellingen	1	594
Bellingen	2	545
Bellingen	3	112
Bellingen	4	41
Bellmount Forest	1	10
Bellmount Forest	2	14
Bellmount Forest	3	11
Bellmount Forest	4	14
Belltrees	1	7
Belltrees	2	3
Belltrees	3	3
Belmont (NSW)		114
Belmont (NSW)	0	339
Belmont (NSW)	1	1097
Belmont (NSW)	2	964
Belmont (NSW)	3	284
Belmont (NSW)	4	142
Belmont North		60
Belmont North	0	115
Belmont North	1	680
Belmont North	2	907
Belmont North	3	300
Belmont North	4	169
Belmont South		11
Belmont South	0	41
Belmont South	1	162
Belmont South	2	132
Belmont South	3	47
Belmont South	4	24
Belmore		149
Belmore	0	647
Belmore	1	1755
Belmore	2	1175
Belmore	3	347
Belmore	4	183
Belmore River		3
Belmore River	0	3
Belmore River	1	19
Belmore River	2	34
Belmore River	3	17
Belmore River	4	15
Beloka	2	3
Belowra	1	3
Belrose		116
Belrose	0	126
Belrose	1	790
Belrose	2	1206
Belrose	3	399
Belrose	4	217
Bemboka		18
Bemboka	0	9
Bemboka	1	63
Bemboka	2	90
Bemboka	3	33
Bemboka	4	13
Ben Bullen		3
Ben Bullen	1	4
Ben Bullen	2	14
Ben Bullen	3	3
Ben Bullen	4	9
Ben Lomond (NSW)		3
Ben Lomond (NSW)	0	3
Ben Lomond (NSW)	1	12
Ben Lomond (NSW)	2	24
Ben Lomond (NSW)	3	16
Ben Lomond (NSW)	4	6
Benandarah		7
Benandarah	1	23
Benandarah	2	16
Benandarah	3	9
Bendalong	1	12
Bendalong	2	15
Bendalong	3	4
Bendemeer		4
Bendemeer	0	12
Bendemeer	1	55
Bendemeer	2	60
Bendemeer	3	31
Bendemeer	4	21
Bendick Murrell		3
Bendick Murrell	1	19
Bendick Murrell	2	19
Bendick Murrell	3	4
Bendick Murrell	4	11
Bendolba	0	3
Bendolba	1	22
Bendolba	2	36
Bendolba	3	8
Bendolba	4	4
Bendoura	1	3
Bendoura	2	6
Bendoura	3	10
Bendoura	4	4
Benerembah		3
Benerembah	1	8
Benerembah	2	16
Benerembah	3	4
Benerembah	4	4
Bennetts Green	2	3
Benolong	2	7
Benolong	3	3
Benolong	4	4
Bensville		10
Bensville	0	6
Bensville	1	167
Bensville	2	379
Bensville	3	138
Bensville	4	94
Bentley (NSW)		3
Bentley (NSW)	1	9
Bentley (NSW)	2	34
Bentley (NSW)	3	17
Bentley (NSW)	4	7
Berala		122
Berala	0	337
Berala	1	1003
Berala	2	837
Berala	3	279
Berala	4	128
Berambing		3
Berambing	1	14
Berambing	2	15
Berambing	3	4
Berambing	4	3
Beresfield		35
Beresfield	0	91
Beresfield	1	525
Beresfield	2	400
Beresfield	3	133
Beresfield	4	77
Bergalia	1	12
Bergalia	2	33
Bergalia	3	8
Berkeley		164
Berkeley	0	324
Berkeley	1	929
Berkeley	2	830
