SSC_NAME16	medianTotalFamilyIncome
Austinmer	125216
Austral	82420
Austral Eden	74048
Avalon Beach	127816
Avisford	63024
Avoca (NSW)	111072
Avoca Beach	112580
Avon (NSW)	
Avondale (NSW)	84812
Avonside	109200
Awaba	93600
Aylmerton	98748
Baan Baa	70044
Babinda (NSW)	
Babyl Creek	
Back Creek (Bland - NSW)	110500
Back Creek (Gwydir - NSW)	71448
Back Creek (Mid-Coast - NSW)	49348
Back Creek (Queanbeyan-Palerang Regional - NSW)	
Back Creek (Tenterfield - NSW)	
Back Creek (Tweed - NSW)	71448
Back Forest	99632
Backmede	71500
Backwater	
Badgerys Creek	70772
Badja	
Baerami	94224
Baerami Creek	84500
Bagnoo	73632
Bago	94224
Bagotville	58500
Bakers Creek (Mid-Coast - NSW)	58500
Bakers Creek (Nambucca - NSW)	
Bakers Creek (Uralla - NSW)	61724
Bakers Swamp	87724
Balaclava (NSW)	74724
Balala	69316
Balcolyn	70824
Bald Blair	68224
Bald Hills (NSW)	73892
Bald Nob	
Bald Ridge	
Baldersleigh	84448
Baldry	57200
Balfours Peak	67184
Balgowlah	145756
Balgowlah Heights	208208
Balgownie	100048
Balickera	97500
Balladoran	71500
Ballalaba	
Balldale	75816
Ballengarra	73632
Ballimore	81224
Ballina	60632
Ballyroe	
Balmain	190996
Balmain East	183092
Balmoral (Lake Macquarie - NSW)	87984
Balmoral (Wingecarribee - NSW)	98540
Balranald	71500
Bamarang	84448
Banda Banda	
Bandon Grove	79612
Bangadang	85748
Bangalee (NSW)	110968
Bangalow	88920
Bangheet	110500
Bango	112632
Bangor (NSW)	125736
Banksia	88088
Banksmeadow	
Bankstown	61412
Bankstown Aerodrome	
Bannaby	46800
Bannister (NSW)	105872
Banoon	38948
Banora Point	69108
Banyabba	58448
Bar Beach	157144
Bar Point	81224
Bara	58500
Baradine	54444
Barangaroo	201448
Barcoongere	
Barden Ridge	144300
Bardia	111800
Bardwell Park	115232
Bardwell Valley	103168
Barellan	76336
Bargo	87672
Barham	61412
Barigan	
Barkers Vale	34424
Barmedman	50544
Barneys Reef	
Barnsley	79872
Barooga	69264
Barraba	51272
Barrack Heights	66820
Barrack Point	92456
Barraganyatti	58500
Barragga Bay	84500
Barratta (NSW)	
Barren Grounds	
Barrengarry	87724
Barretts Creek	
Barringella	71500
Barrington (NSW)	60944
Barrington Tops	
Barry (Blayney - NSW)	86112
Barry (Upper Hunter Shire - NSW)	
Barwang	107224
Barwon	155948
Baryulgil	44148
Basin View	64272
Bass Hill	72592
Bassendean (NSW)	
Batar Creek	60632
Bateau Bay	82628
Batehaven	58760
Batemans Bay	47216
Bathampton	108316
Bathurst	72020
Batlow	65624
Baulkham Hills	117988
Baw Baw (NSW)	75348
Bawley Point	67808
Baxters Ridge	
Bayview (NSW)	127764
Beacon Hill	125684
Beaconsfield (NSW)	143884
Bean Creek	58448
Bearbong	68900
Beaumont (NSW)	106184
Beaumont Hills	142168
Beckom	94224
Bective	90012
Bectric	71500
Bedgerabong	80132
Beechwood	63908
Beecroft	148980
Beecroft Peninsula	
Beelbangera	77012
Beemunnel	
Bega	65572
Beggan Beggan	99632
Belanglo	194948
Belbora	67184
Belfield	87100
Belford	131456
Belfrayden	46800
Belgravia	112632
Belimbla Park	104624
Bell (NSW)	46748
Bella Vista	149396
Bellambi	62452
Bellangry	66612
Bellata	79300
Bellawongarah	119132
Bellbird	69212
Bellbird Heights	82108
Bellbrook	47164
Bellevue Hill	188188
Bellimbopinni	65884
Bellingen	63960
Bellmount Forest	177632
Belltrees	116948
Belmont (NSW)	77376
Belmont North	86008
Belmont South	65208
Belmore	69628
Belmore River	64012
Beloka	97500
Belowra	
Belrose	129532
Bemboka	57096
Ben Bullen	107224
Ben Lomond (NSW)	67184
Benandarah	54132
Bendalong	48516
Bendemeer	66196
Bendick Murrell	66248
Bendolba	58500
Bendoura	69316
Benerembah	94224
Bengalla	97448
Bennetts Green	
Benolong	75816
Bensville	105924
Bentley (NSW)	56836
Berala	68484
Berambing	106600
Beresfield	65988
Bergalia	92248
Berkeley	69628
Berkeley Vale	85852
Berkshire Park	92300
Berlang	
Bermagui	58032
Berowra	130572
Berowra Creek	
Berowra Heights	121368
Berowra Waters	66248
Berrambool	60112
Berrara	51532
Berremangra	74724
Berrico	
Berridale	80288
Berrigal	54184
Berrigan	66976
Berrilee	117000
Berrima	91884
Berringer Lake	117000
Berry	85176
Berry Jerry	84500
Berry Mountain	24648
Berry Park	107224
Berthong	84500
Beryl	71500
Bethungra	66612
Bevendale	46800
Beverley Park	109356
Beverly Hills	90844
Bewong	74724
Bexhill	81224
Bexley	90428
Bexley North	95472
Biala	110448
Bibbenluke	71500
Biddon	110500
Bidgeemia	87724
Bidwill (NSW)	46228
Bielsdown Hills	71500
Big Hill (NSW)	117000
Big Jacks Creek	84500
Big Ridge	
Big Springs	79248
Bigga	56836
Bilambil	73840
Bilambil Heights	74724
Bilbul	92612
Bilgola Beach	179088
Bilgola Plateau	130728
Billeroy	101816
Billilingra	
Billimari	68224
Billinudgel	63856
Billys Creek	58448
Billywillinga	76336
Bilpin	93964
Bimberi	
Bimbi	84500
Bimbimbie	74724
Binalong	66872
Binda	63856
Bindera	68224
Bingara	53612
Bingeebeebra Creek	54184
Bingie	55692
Bingleburra	55224
Biniguy	69316
Binjura	101816
Binna Burra (NSW)	75088
Binnaway	40612
Binya	98748
Birchgrove	203736
Birdwood (NSW)	31824
Birganbigil	74724
Birmingham Gardens	66300
Birriwa	58500
Birrong	72904
Bishops Bridge	112112
Bithramere	80184
Black Creek (Port Macquarie-Hastings - NSW)	81224
Black Creek (Snowy Valleys - NSW)	37700
Black Head	63700
Black Hill (NSW)	123084
Black Hollow	58500
Black Mountain (NSW)	91728
Black Range (NSW)	74724
Black Springs (NSW)	74256
Blackalls Park	74204
Blackbutt (NSW)	84188
Blackett	56420
Blackheath	73320
Blackmans Flat	71500
Blackmans Point	69836
Blacksmiths	73476
Blacktown	81380
Blackville	63336
Blackwall (NSW)	77012
Blair Athol (NSW)	109460
Blairmount	92924
Blakebrook	69316
Blakehurst	120744
Blakney Creek	117000
Bland	61724
Blandford	80132
Blaxland (NSW)	108836
Blaxlands Creek	68224
Blaxlands Ridge	111852
Blayney	74152
Bligh Park	99632
Blighty	58500
Blowering	
Blue Bay	72800
Blue Haven	72800
Blue Knob	42848
Blue Mountains National Park	
Blue Nobby	77948
Blue Vale	117000
Blueys Beach	57200
Boambee	88140
Boambee East	68224
Boambolo	136448
Boat Harbour (Lismore - NSW)	80184
Boat Harbour (Port Stephens - NSW)	87880
Bobadah	
Bobin	50492
Bobs Creek	54184
Bobs Farm	76856
Bobundara	58500
Boco	
Bocoble	50232
Bocobra	58500
Bodalla	62608
Bodangora	93132
Boeill Creek	126724
Bogan	
Bogan Gate	54132
Bogangar	80600
Bogee	44200
Boggabilla	45396
Boggabri	69056
Bogong Peaks Wilderness	
Bohena Creek	87256
Bohnock	68224
Bolaro	46800
Bolivia	48516
Bolong	74724
Bolton Point	62296
Bolwarra (NSW)	101504
Bolwarra Heights	122460
Bom Bom	
Bomaderry	63128
Bombah Point	
Bombala	73840
Bombay	92248
Bombira	126724
Bombo	100724
Bombowlee	105092
Bombowlee Creek	94224
Bomen	112632
Bomera	61724
Bonalbo	44928
Bondi	136812
Bondi Beach	149448
Bondi Forest	
Bondi Junction	129376
Bonnells Bay	70668
Bonnet Bay	145184
Bonny Hills	75764
Bonnyrigg	64272
Bonnyrigg Heights	81224
Bonshaw (NSW)	54132
Bonville	80600
Booerie Creek	62192
Book Book	97500
Booker Bay	65156
Bookham	69836
Bookookoorara	68224
Bookram	
Boolambayte	55900
Boolaroo	78260
Boolcarroll	
Booligal	94224
Boolijah	
Boomanoomana	100048
Boomerang Beach	92612
Boomey	97500
Boomi	100048
Boomi Creek	84448
Boona Mount	81224
Boonal	58500
Boonoo Boonoo	
Boorabee Park	76648
Booragul	64480
Booral (NSW)	77012
Boorga	97500
Boorganna	
Boorolong	49348
Boorook	37700
Boorooma	110500
Booroorban	84500
Boorowa	73164
Bootawa	61724
Booti Booti	
Booyong	71500
Bora Ridge	59748
Borah Creek	44200
Borambola	111800
Border Ranges	
Boree	102336
Boree Creek	61412
Borenore	110136
Boro	109200
Bossley Park	78676
Bostobrick	58500
Botany	119080
Botobolar	93184
Bottle Creek	58500
Bouddi	
Bourbah	84500
Bourke	85020
Bourkelands	109720
Bournda	93132
Bournewood	86632
Bow Bowing	99216
Bowan Park	99112
Bowen Mountain	99580
Bowenfels	56992
Bowling Alley Point	60632
Bowman	62192
Bowman Farm	49348
Bowmans Creek	
Bowna	94224
Bowning	84500
Bowral	84656
Bowraville	47164
Box Head	
Box Hill (NSW)	96980
Box Ridge	60632
Boxers Creek	82316
Boydtown	53612
Bradbury (NSW)	78520
Braefield	73632
Braemar	96564
Braemar Bay	72748
Braidwood	79404
Brandy Hill	110760
Branxton	104884
Braunstone	80184
Brawboy	71448
Bray Park (NSW)	59176
Brays Creek	58448
Brayton	113724
Breadalbane (NSW)	107224
Breakfast Creek	71500
Breakfast Point	131872
Bream Beach	
Bredbo	105092
Breelong	39624
Breeza	70200
Bretti	46124
Brewarrina	48724
Brewongle	74724
Briarbrook	
Bribbaree	45500
Bridgman	110500
Brierfield	79612
Brighton-le-Sands	89024
Brightwaters	83200
Bril Bril	
Brimbin	40248
Brindabella	58500
Brinerville	
Bringelly	90376
Bringenbrong	58448
Brisbane Grove	87724
Broadmeadow	77636
Broadwater (Bega Valley - NSW)	70408
Broadwater (Richmond Valley - NSW)	62192
Broadway	68224
Brobenah	84448
Brocklehurst	69836
Brocklesby	74256
Brockley	39624
Brodies Plains	60632
Brogans Creek	
Brogers Creek	84500
Brogo	64584
Broke (NSW)	95732
Broken Head	84500
Broken Hill	66664
Brombin	97500
Bronte	176644
Brookdale (NSW)	71500
Brookfield (NSW)	88348
Brooklana	69836
Brooklet	109876
Brooklyn (NSW)	107588
Brookong	
Brookvale	116064
Brooman	110448
Brooms Head	48048
Broughams Gate	
Broughton (NSW)	84500
Broughton Vale	97448
Broughton Village	110500
Broulee	69992
Brownlow Hill	128336
Browns Creek	109564
Browns Mountain	103948
Brownsville	65468
Brucedale	118248
Bruie Plains	71500
Bruinbun	71448
Brumby Plains	
Brundee	71500
Brungle	66612
Brungle Creek	73632
Brunkerville	92300
Brunswick Heads	60996
Brushgrove	50804
Brushy Creek	103948
Buangla	
Bucca (NSW)	73216
Bucca Wauka	45500
Buccarumbi	64948
Buchanan (NSW)	97448
Buckajo	72956
Buckaroo	73632
Buckenbowra	
Buckenderra	79248
Buckendoon	71500
Bucketty	73632
Buckra Bendinni	58500
Budawang	
Buddabadah	125632
Budden	71500
Budderoo	
Buddong	
Budgee Budgee (NSW)	99632
Budgewoi	66872
Budgewoi Peninsula	
Budgong	74724
Buff Point	68692
Bugaldie	53612
Bukalong	
Bukkulla	69836
Bulahdelah	51792
Bulee	
Bulga (NSW)	81224
Bulga Forest	
Bulgary	
Bulla (NSW)	
Bulla Creek	71500
Bullaburra	81120
Bullagreen	82316
Bullarah	95836
Bullatale	71500
Bullawa Creek	54184
Bulldog	37700
Bulli	117832
Bulliac	81224
Bullio	97500
Bulyeroi	90948
Bumbaldry	56316
Bumbalong	
Bundabah	46800
Bundagen	27924
Bundanoon (NSW)	71864
Bundarra	47736
Bundeena	99216
Bundella	90948
Bundemar	110448
Bundewallah	97500
Bundook	43316
Bundure	
Bungaba	48516
Bungabbee	
Bungalora	76336
Bungarby	94224
Bungarribee	126932
Bungawalbin	54184
Bungendore	140920
Bungonia	59280
Bungowannah	109772
Bungwahl	58500
Bunnaloo	66612
Bunnan	50648
Bunyah	50232
Bunyan	73112
Burcher	84500
Bureen	73632
Burnt Bridge	55224
Burnt Yards	121316
Buronga	72228
Burra (Queanbeyan-Palerang Regional - NSW)	139880
Burra (Snowy Valleys - NSW)	55224
Burra Creek	71500
Burraboi	94224
Burradoo	102128
Burraga	58500
Burragate	46800
Burrandana	116948
Burraneer	161772
Burrangong	79300
Burrapine	35724
Burrawang	107692
Burrell Creek	75192
Burren Junction	62088
Burrier	97500
Burrill Lake	56784
Burringbar	68900
Burrinjuck	55224
Burroway	71500
Burrumbuttock	81900
Burrundulla	95316
Burwood (NSW)	77896
Burwood Heights	107068
Busby	58084
Busbys Flat	88816
Bushells Ridge	37648
Buttaba	93548
Buttai	143000
Butterwick	111800
Buxton (NSW)	97968
Byabarra	78884
Byadbo Wilderness	
Byangum	54184
Bylong	97448
Byng	110448
Byrock	81224
Byron Bay	76388
Byrrill Creek	54132
Bywong	143312
Cabarita (NSW)	141804
Cabarita Beach	58500
Cabbage Tree Island (Ballina - NSW)	43316
Cabbage Tree Island (Mid-Coast - NSW)	
Cabramatta	51272
Cabramatta West	59644
Cabramurra	
Caddens	117728
Cadgee (NSW)	53248
Cadia	
Caffreys Flat	48516
Cairncross	
Calala	88920
Calamia	
Calderwood	97500
Caldwell	68224
Calga	71500
Califat	
Calimo	105872
Callaghan	
Callaghans Creek	
Callala Bay	62556
Callala Beach	52624
Calliope (NSW)	84448
Caloola	75192
Cambalong	
Camberwell (NSW)	69316
Cambewarra	120536
Cambewarra Village	106080
Camboon (NSW)	40560
Cambra	84448
Cambridge Gardens	99060
Cambridge Park	81068
Cambridge Plateau	
Camden	96616
Camden Head	54600
Camden Park (NSW)	145756
Camden South	103844
Camellia	
Cameron Park	111072
Camerons Creek	37700
Camira (NSW)	53248
Cammeray	172536
Camp Creek (NSW)	29900
Campbelltown (NSW)	75660
Camperdown (NSW)	146588
Campsie	66248
Campvale	69316
Cams Wharf	89648
Canada Bay	117832
Canadian Lead	
Canbelego	58500
Candelo	64012
Cangai	71500
Caniaba	94016
Canley Heights	63752
Canley Vale	57928
Canobolas	110032
Canoelands	100724
Canonba	143000
Canowindra	68016
Canterbury (NSW)	84604
Canton Beach	45448
Canyonleigh	81224
Caparra	54184
Capeen Creek	
Capertee	45292
Capoompeta	
Captains Flat	100464
Carabost	68224
Caragabal	74048
Carcalgong	44148
Carcoar	66872
Cardiff (NSW)	78208
Cardiff Heights	102804
Cardiff South	87360
Carey Bay	80808
Cargo	97032
Carinda	69628
Caringbah	108420
Caringbah South	132132
Carlaminda	110500
Carlingford	100100
Carlton (NSW)	89128
Carnes Hill	118612
Carnham	
Carool	68224
Caroona	56628
Carrabolla	
Carrai	
Carramar (NSW)	56420
Carrathool	66872
Carrick (NSW)	108316
Carrington (Mid-Coast - NSW)	39624
Carrington (Newcastle - NSW)	97240
Carrington Falls	58500
Carroll	67860
Carrowbrook	90948
Carrs Creek	69316
Carrs Island	
Carrs Peninsula	46800
Carss Park	121316
Cartwright	51428
Cartwrights Hill	106340
Carwell	71448
Carwoola	145236
Cascade (NSW)	
Casino	59124
Cassilis (NSW)	62660
Castle Cove	164424
Castle Doyle	87724
Castle Hill (NSW)	125320
Castle Rock	93184
Castlecrag	209248
Castlereagh	107432
Casuarina (NSW)	109304
Casula	89128
Catalina	60060
Cataract	
Cathcart (NSW)	79612
Catherine Field	95212
Catherine Hill Bay	89076
Cathundral	61724
Cattai	120536
Cattle Creek (NSW)	68224
Cavan (NSW)	101816
Caves Beach	85904
Cawdor (NSW)	121732
Cawongla	56316
Cecil Hills	108108
Cecil Park	99632
Cedar Brush Creek	132132
Cedar Creek (Cessnock - NSW)	97448
Cedar Creek (Tweed - NSW)	
Cedar Party	64428
Cedar Point	75504
Cells River	
Centennial Park (NSW)	147160
Central Colo	136448
Central Macdonald	97500
Central Mangrove	99892
Central Tilba	59176
Cessnock	63804
Chaelundi	
Chain Valley Bay	57772
Chakola	61724
Chambigne	69316
Charbon	39624
Charles Sturt University	
Charlestown (NSW)	91052
Charleys Forest	50232
Charlotte Bay	59384
Charlton (NSW)	
Charmhaven	70512
Chatham Valley	97500
Chatsbury	94900
Chatswood	109148
Chatswood West	143000
Chatsworth (NSW)	69732
Cheero Point	109200
Cheltenham (NSW)	170508
Cherry Tree Hill	55224
Cherrybrook	135148
Chester Hill	67288
Chichester (NSW)	48516
Chifley (NSW)	115700
Chilcotts Creek	
Chilcotts Grass	94900
Chillingham	53040
Chinderah	47476
Chinnock	84448
Chippendale	96304
Chipping Norton	100308
Chisholm (NSW)	119912
Chiswick	138476
Chittaway Bay	83876
Chittaway Point	102024
Chowan Creek	46748
Chullora	
Church Point	153452
Clandulla	66300
Clare (NSW)	
Claremont Meadows	111072
Clarence	95628
Clarence Town	89336
Clarendon (NSW)	81224
Clarenza	94224
Clareville	148928
Claymore	39416
Clear Creek	106548
Clear Range	162500
Clearfield	
Clemton Park	92820
Clergate	94224
Cleveland (NSW)	123448
Clifden	
Cliftleigh	80392
Clifton (NSW)	84500
Clifton Grove	112112
Clontarf (NSW)	207220
Clothiers Creek	105144
Clouds Creek	
Clovelly	177632
Clunes (NSW)	80808
Clybucca	66040
Clyde (NSW)	
Clydesdale (NSW)	117000
Coal Point	109720
Coalcliff	139724
Coaldale	94224
Coasters Retreat	
Cobaki	82056
Cobaki Lakes	71448
Cobar	107640
Cobar Park	29900
Cobargo	55328
Cobark	71500
Cobbadah	69836
Cobbitty	115960
Cobramunga	68224
Cockwhy	84500
Codrington (NSW)	84500
Coffee Camp	57044
Coffs Harbour	67236
Coggan	
Cogra Bay	
Coila	71500
Coldstream (NSW)	50232
Coleambally	83928
Colebee	140192
Coledale	122460
Colinroobie	84448
Colinton (NSW)	108316
Collarenebri	55224
Collaroy (NSW)	129116
Collaroy Plateau	135512
Collector	99112
Collendina	92248
Collerina	61724
Collie (NSW)	71500
Collingullie	79040
Collingwood (NSW)	60632
Collins Creek	53092
Collombatti	61724
Collum Collum	
Colly Blue	53248
Colo (Bathurst Regional - NSW)	
Colo (Hawkesbury - NSW)	99632
Colo Heights	84500
Colo Vale	85852
Colongra	
Colyton	79768
Comara	37648
Combaning	98540
Combara	58448
Comberton	37700
Comboyne	57616
Come By Chance	75348
Comerong Island	
Commissioners Creek	58500
Como (NSW)	144508
Comobella	48516
Conargo	73632
Concord	120380
Concord West	118768
Condell Park	74568
Condobolin	67080
Condong	68224
Coneac	
Congarinni	67184
Congarinni North	67184
Congewai	87048
Congo	73112
Conimbia	37648
Coniston	69940
Conjola	93184
Conjola Park	57876
Connells Point	131456
Constitution Hill	84396
Coogee (NSW)	155220
Cookamidgera	50648
Cookardinia	81224
Cooks Gap	69316
Cooks Hill	117624
Cooks Myalls	77948
Coolabah	73632
Coolac	74048
Coolagolite	61048
Coolah	61204
Coolamon	81172
Coolangatta (NSW)	112632
Coolangubra	
Coolatai	81224
Cooleman	
Cooleys Creek	
Coolgardie (NSW)	74724
Coolongolook	52936
Coolringdon	106132
Coolumbooka	
Coolumburra	
Cooma (NSW)	73476
Coomba Bay	55224
Coomba Park	47164
Coombadjha	46800
Coombell	46748
Coomealla	60216
Coomoo Coomoo	
Coonabarabran	59124
Coonamble	65624
Coongbar	
Cooperabung	96408
Coopernook	55640
Coopers Gully	101348
Coopers Shoot	92040
Cooplacurripa	
Coorabell	76960
Cooranbong	76336
Cootamundra	64064
Cootralantra	84448
Cooyal	105612
Copacabana	106392
Cope	88816
Copeland	84500
Copeton	67132
Copmanhurst	41392
Coppabella (NSW)	
Copperhannia	
Coraki	55848
Coralville	48048
Coramba	71500
Corang	
Corangula	37648
Corbie Hill	76336
Cordeaux	
Cordeaux Heights	122148
Coree	97500
Coreen	66612
Corindi Beach	73736
Corinella (NSW)	73632
Corlette	77480
Corndale (NSW)	82836
Corney Town	58448
Cornwallis	123448
Corobimilla	84500
Corowa	67392
Corrabare	117000
Corrimal	86580
Corrong	
Corrowong	56524
Corunna	68224
Cottage Point	110448
Cottonvale (NSW)	46800
Cougal	37648
Countegany	53248
Courabyra	81224
Couradda	60632
Couragago	
Couridjah	107068
Coutts Crossing	60424
Cow Flat	75816
Cowabbie	
Cowan	112008
Cowper	53612
Cowra	64376
Coxs Creek	74724
Coxs Crown	
Crabbes Creek	66300
Crackenback	106184
Craigie (NSW)	136500
Cranebrook	104052
Crangan Bay	
Craven	55224
Craven Plateau	
Crawford River	71500
Crawney	68224
Creewah	68224
Cremorne (NSW)	165776
Cremorne Point	194012
Crescent Head	67496
Crestwood	95264
Cringila	52936
Croki	58500
Cromer (NSW)	119288
Cronulla	120952
Crooble	81224
Croobyar	61048
Crooked Corner	60632
Crookwell	71864
Croom	107224
Croppa Creek	84500
Cross Roads (NSW)	117000
Crosslands	75608
Croudace Bay	91832
Crowdy Bay National Park	
Crowdy Head	58500
Crows Nest (NSW)	159120
Crowther	68224
Crowther Island	
Croydon (NSW)	107796
Croydon Park (NSW)	99112
Crudine	46748
Cryon	58500
Crystal Creek (NSW)	71500
Cubba	68224
Cudal	78728
Cudgegong	108316
Cudgel	62816
Cudgen	77428
Cudgera Creek	82056
Cudmirrah	58968
Culburra Beach	62452
Culcairn	66040
Cullen Bullen	50648
Cullenbone	84500
Cullendore	58448
Cullerin	113724
Cullivel	72748
Culmaran Creek	71448
Cumbalum	98332
Cumbandry	53248
Cumberland Reach	105456
Cumbo	
Cumborah	38740
Cumnock	66300
Cundle Flat	
Cundletown	65208
Cundumbul	117000
Cunjurong Point	58500
Cunningar	73112
Cunninyeuk	103948
Curban	88816
Curl Curl	165256
Curlew Waters	
Curlewis (NSW)	67496
Curlwaa	71500
Curra Creek	71500
Currabubula	80132
Curragh	
Curramore (NSW)	107692
Currans Hill	101608
Currarong	51532
Currawang	139256
Currawarna	94224
Curraweela	97500
Curricabark	
Currowan	73632
Cuttabri	58448
Cuttagee	54132
Dabee	58448
Daceyville	52520
Dairy Arm	110500
Dairy Flat	53248
Dairymans Plains	102648
Daleys Point	62088
Dalgety	60320
Dalmeny	59124
Dalmorton	
Dalswinton	84448
Dalton	74256
Dalwood (Ballina - NSW)	95628
Dalwood (Singleton - NSW)	112632
Dandaloo	58500
Dandry	45032
Dangar Island	96200
Dangarsleigh	99320
Dangelong	
Dapto	76960
Darawank	73112
Darbalara	71500
Darbys Falls	61724
Dareton	43160
Dargan	67184
Dark Corner	117000
Darkes Forest	118820
Darkwood	49348
Darling Point	197912
Darlinghurst	160940
Darlington (Singleton - NSW)	94224
Darlington (Sydney - NSW)	136500
Darlington Point	73216
Darlow	117000
Dartbrook	94224
Daruka	122668
Davidson	142584
Davis Creek	58500
Davistown	77740
Dawes Point	241072
Daysdale	55224
Dean Park	90116
Deauville	117000
Debenham	
Dee Why	106080
Deep Creek (Clarence Valley - NSW)	
Deep Creek (Kempsey - NSW)	50648
Deep Creek (Kyogle - NSW)	46800
Deepwater (NSW)	45500
Deer Vale	47580
Delegate	63544
Delungra	55224
Denham Court	100724
Denhams Beach	62296
Deniliquin	72800
Denistone	125372
Denistone East	112476
Denistone West	118612
Denman	83044
Depot Beach	58500
Derriwong	61724
Deua	
Deua River Valley	43680
Devils Hole	68224
Dewitt	45032
Dharruk	67236
Dhulura	143000
Dhuragoon	84448
Diamond Beach	70200
Diamond Head	
Diehard	44148
Diggers Camp	56316
Dignams Creek	58500
Dilkoon	39624
Dilpurra	117000
Dingo Forest	
Dinoga	48516
Dirnaseer	84500
Dirty Creek	56316
Dobies Bight	70200
Doctor George Mountain	93184
Doctors Gap	58500
Dog Rocks	
Dolans Bay	151216
Dolls Point	96460
Dollys Flat	61724
Dolphin Point	58500
Dombarton	106184
Donald Creek	136500
Dondingalong	59904
Doon Doon	58500
Doonbah	58500
Doonside	74100
Dooralong	106444
Dora Creek	71084
Dorrigo	57096
Dorrigo Mountain	58500
Dorroughby	64116
Double Bay	177892
Doubtful Creek	55224
Douglas Park	104260
Dover Heights	185640
Downside	136500
Doyalson	73320
Doyalson North	40144
Doyles Creek	71500
Doyles River	
Drake	42328
Drildool	110448
Dripstone	64948
Drummoyne	155636
Dry Creek (NSW)	87724
Dry Plain	73112
Dubbo	83304
Duck Creek	58500
Duckenfield	68224
Duckmaloi	58448
Dudley	119860
Duffys Forest	171132
Dulguigan	67184
Dulwich Hill	115492
Dum Dum	58500
Dumaresq	74724
Dumaresq Island	94224
Dumaresq Valley	45032
Dumbudgery	
Dunbible	78936
Dunbogan	55588
Duncans Creek	44200
Dundas (NSW)	95888
Dundas Valley	95316
Dundee	66092
Dundurrabin	39624
Dunedoo	58500
Dungarubba	69836
Dungay	86112
Dungeree	
Dungog	58864
Dungowan	81588
Dunkeld (NSW)	108316
Dunmore (NSW)	93184
Dunolly (NSW)	97500
Dunoon	67652
Duns Creek	97500
Dunville Loop	
Dural (Hornsby - NSW)	125996
Dural (Singleton - NSW)	
Duramana	82836
Duranbah	72748
Duri	85384
Duroby	61724
Durran Durra	110448
Durras North	71500
Durren Durren	82316
Duval	
Dyers Crossing	67756
Dyraaba	45760
Dyrring	146224
Eagle Vale	85228
Eagleton	95836
Earlwood	106652
East Albury	96980
East Ballina	80808
East Branxton	100152
East Coraki	66612
East Corrimal	87880
East Gosford	80912
East Gresford	72280
East Hills	103480
East Jindabyne	107380
East Kangaloon	97448
East Kempsey	64740
East Killara	136240
East Kurrajong	114608
East Lindfield	178308
East Lismore	70096
East Lynne	58500
East Maitland	81900
East Ryde	147888
East Seaham	107224
East Tamworth	88712
East Wagga Wagga	67600
East Wardell	63752
Eastern Creek	86164
Eastgardens	118352
Eastlakes	71968
Eastwood (NSW)	95888
Eatonsville	55900
Ebenezer (NSW)	101608
Ebor	49348
Eccleston	29848
Edderton	
Eden	59176
Eden Creek	66300
Edensor Park	81380
Edenville	55224
Edgecliff	168740
Edgeroi	94224
Edgeworth	72384
Edith (NSW)	97500
Edmondson Park	114140
Edrom	
Eenaweena	
