SSC_NAME16	medianTotalFamilyIncome
Aarons Pass	71500
Abbotsbury	113100
Abbotsford (NSW)	129428
Abercrombie	114400
Abercrombie River	46800
Aberdare	61152
Aberdeen (NSW)	87464
Aberfoyle	97500
Aberglasslyn	103896
Abermain	72228
Abernethy	95316
Abington (NSW)	
Acacia Creek	71500
Acacia Gardens	123084
Adaminaby	67184
Adamstown	100464
Adamstown Heights	108940
Adelong	66924
Adjungbilly	101816
Afterlee	54132
Agnes Banks	104572
Airds	38948
Akolele	38948
Albert	100724
Albion Park	94484
Albion Park Rail	70928
Albury	105456
Aldavilla	65416
Alectown	95836
Alexandria	151008
Alfords Point	135564
Alfredtown	88816
Alice	
Alison (Central Coast - NSW)	117000
Alison (Dungog - NSW)	97448
Allambie Heights	136760
Allandale (NSW)	94224
Allawah	78364
Alleena	58448
Allgomera	71500
Allworth	71500
Allynbrook	111800
Alma Park	86632
Alpine	106600
Alstonvale	87048
Alstonville	70772
Alumy Creek	67600
Amaroo (NSW)	97500
Ambarvale	71500
Amosfield	61724
Anabranch North	
Anabranch South	58500
Anambah	110448
Ando	67132
Anembo	73632
Angledale	81224
Angledool	71448
Anglers Reach	60112
Angourie	74360
Anna Bay	67444
Annandale (NSW)	171808
Annangrove	125632
Appin (NSW)	112632
Apple Tree Flat	74724
Appleby	97500
Appletree Flat	
Apsley (NSW)	60632
Arable	
Arakoon	62036
Araluen (NSW)	44200
Aratula (NSW)	
Arcadia (NSW)	128024
Arcadia Vale	81224
Ardglen	46800
Arding	71500
Ardlethan	45656
Argalong	94224
Argenton	62244
Argents Hill	49348
Argoon (NSW)	
Ariah Park	69108
Arkell	71500
Arkstone	
Armatree	97500
Armidale	79352
Arncliffe	92456
Arndell Park	
Arrawarra	41236
Arrawarra Headland	74464
Artarmon	129636
Arthurville	107224
Arumpo	84448
Ashbury	120848
Ashby (NSW)	60632
Ashby Heights	48516
Ashby Island	
Ashcroft	55224
Ashfield (NSW)	93704
Ashford (NSW)	49764
Ashley	90428
Ashmont	56160
Ashtonfield	102180
Asquith	114348
Atholwood	54132
Attunga	71500
Auburn (NSW)	59852
Auburn Vale	94224
