SSC_NAME16	medianTotalPersonalIncome
Aarons Pass	29900
Abbotsbury	37492
Abbotsford (NSW)	50180
Abercrombie	42276
Abercrombie River	23348
Aberdare	26572
Aberdeen (NSW)	31356
Aberfoyle	42900
Aberglasslyn	39416
Abermain	25896
Abernethy	26364
Abington (NSW)	54184
Acacia Creek	23400
Acacia Gardens	47060
Adaminaby	28548
Adamstown	36296
Adamstown Heights	39052
Adelong	26364
Adjungbilly	42328
Afterlee	23608
Agnes Banks	40352
Airds	20020
Akolele	17680
Albert	30784
Albion Park	33228
Albion Park Rail	28600
Albury	40872
Aldavilla	25740
Alectown	29900
Alexandria	69732
Alfords Point	43732
Alfredtown	46800
Alice	16900
Alison (Central Coast - NSW)	34788
Alison (Dungog - NSW)	37648
Allambie Heights	40404
Allandale (NSW)	45032
Allawah	31928
Alleena	23400
Allgomera	24908
Allworth	31512
Allynbrook	35724
Alma Park	53300
Alpine	38948
Alstonvale	36088
Alstonville	29640
Alumy Creek	26988
Amaroo (NSW)	43056
Ambarvale	28912
Amosfield	17316
Anabranch North	50024
Anabranch South	33124
Anambah	29900
Ando	34424
Anembo	35360
Angledale	31668
Angledool	21164
Anglers Reach	24648
Angourie	36036
Anna Bay	25844
Annandale (NSW)	60424
Annangrove	39780
Appin (NSW)	42744
Apple Tree Flat	34528
Appleby	42328
Appletree Flat	31824
Apsley (NSW)	21580
Arable	48516
Arakoon	29328
Araluen (NSW)	22776
Aratula (NSW)	
Arcadia (NSW)	40144
Arcadia Vale	31824
Ardglen	25220
Arding	30628
Ardlethan	21580
Argalong	39208
Argenton	25480
Argents Hill	22516
Argoon (NSW)	18200
Ariah Park	27300
Arkell	36140
Arkstone	46748
Armatree	38740
Armidale	29328
Arncliffe	32708
Arndell Park	46800
Arrawarra	21840
Arrawarra Headland	29432
Artarmon	53456
Arthurville	45032
Arumpo	34580
Ashbury	38636
Ashby (NSW)	25480
Ashby Heights	22568
Ashby Island	35048
Ashcroft	21060
Ashfield (NSW)	35412
Ashford (NSW)	22152
Ashley	40040
Ashmont	26260
Ashtonfield	39936
Asquith	40924
Atholwood	18200
Attunga	33228
Auburn (NSW)	22568
Auburn Vale	39832
Austinmer	45760
Austral	26884
Austral Eden	30888
Avalon Beach	43628
Avisford	24648
Avoca (NSW)	35620
Avoca Beach	39728
Avon (NSW)	
Avondale (NSW)	30056
Avonside	44460
Awaba	31512
Aylmerton	34008
Baan Baa	34060
Babinda (NSW)	
Babyl Creek	43316
Back Creek (Bland - NSW)	44720
Back Creek (Gwydir - NSW)	27924
Back Creek (Mid-Coast - NSW)	19032
Back Creek (Queanbeyan-Palerang Regional - NSW)	19448
Back Creek (Tenterfield - NSW)	27300
Back Creek (Tweed - NSW)	36400
Back Forest	37700
Backmede	25168
Backwater	35724
Badgerys Creek	29692
Badja	35724
Baerami	30628
Baerami Creek	31824
Bagnoo	23400
Bago	22724
Bagotville	27300
Bakers Creek (Mid-Coast - NSW)	34424
Bakers Creek (Nambucca - NSW)	21684
Bakers Creek (Uralla - NSW)	29900
Bakers Swamp	40924
Balaclava (NSW)	31304
Balala	28912
Balcolyn	28496
Bald Blair	34320
Bald Hills (NSW)	33956
Bald Nob	23400
