SSC_NAME16	medianTotalPersonalIncome
Bald Ridge	22048
Baldersleigh	31824
Baldry	29432
Balfours Peak	30628
Balgowlah	56576
Balgowlah Heights	59228
Balgownie	33072
Balickera	19916
Balladoran	24908
Ballalaba	29848
Balldale	33384
Ballengarra	25532
Ballimore	32448
Ballina	26780
Ballyroe	43316
Balmain	69784
Balmain East	68380
Balmoral (Lake Macquarie - NSW)	34684
Balmoral (Wingecarribee - NSW)	32760
Balranald	30004
Bamarang	23400
Banda Banda	
Bandon Grove	29640
Bangadang	23348
Bangalee (NSW)	36608
Bangalow	35932
Bangheet	31824
Bango	47788
Bangor (NSW)	44096
Banksia	33904
Banksmeadow	53612
Bankstown	23556
Bankstown Aerodrome	
Bannaby	19448
Bannister (NSW)	39832
Banoon	34528
Banora Point	27976
Banyabba	21112
Bar Beach	45084
Bar Point	26988
Bara	19708
Baradine	23556
Barangaroo	97500
Barcoongere	
Barden Ridge	44148
Bardia	47788
Bardwell Park	40040
Bardwell Valley	33540
Barellan	31460
Bargo	33176
Barham	25740
Barigan	24232
Barkers Vale	21736
Barmedman	22360
Barneys Reef	
Barnsley	32604
Barooga	31564
Barraba	22984
Barrack Heights	26832
Barrack Point	34060
Barraganyatti	22724
Barragga Bay	31044
Barratta (NSW)	
Barren Grounds	
Barrengarry	32968
Barretts Creek	23400
Barringella	29900
Barrington (NSW)	26052
Barrington Tops	
Barry (Blayney - NSW)	34320
Barry (Upper Hunter Shire - NSW)	
Barwang	53196
Barwon	31824
Baryulgil	23296
Basin View	25740
Bass Hill	24388
Bassendean (NSW)	
Batar Creek	26728
Bateau Bay	30316
Batehaven	25116
Batemans Bay	23868
Bathampton	42900
Bathurst	31096
Batlow	27456
Baulkham Hills	41288
Baw Baw (NSW)	36816
Bawley Point	26104
Baxters Ridge	
Bayview (NSW)	40300
Beacon Hill	41288
Beaconsfield (NSW)	62244
Bean Creek	23868
Bearbong	32448
Beaumont (NSW)	40248
Beaumont Hills	46488
Beckom	35100
Bective	32396
Bectric	31616
Bedgerabong	35724
Beechwood	25740
Beecroft	47112
Beecroft Peninsula	
Beelbangera	37024
Beemunnel	27300
Bega	28132
Beggan Beggan	56056
Belanglo	49348
Belbora	23140
Belfield	28496
Belford	40560
Belfrayden	24908
Belgravia	49348
Belimbla Park	38064
Bell (NSW)	16588
Bella Vista	43784
Bellambi	25012
Bellangry	26416
Bellata	36088
Bellawongarah	46800
Bellbird	26832
Bellbird Heights	34060
Bellbrook	21944
Bellevue Hill	68536
Bellimbopinni	29276
Bellingen	27768
Bellmount Forest	50804
Belltrees	56316
Belmont (NSW)	29380
Belmont North	31512
Belmont South	26572
Belmore	26208
Belmore River	26624
Beloka	39624
Belowra	27924
Belrose	39728
Bemboka	25584
Ben Bullen	32032
Ben Lomond (NSW)	31044
Benandarah	25116
Bendalong	23140
Bendemeer	26572
Bendick Murrell	29120
Bendolba	26208
Bendoura	32656
Benerembah	36036
Bengalla	29900
Bennetts Green	23348
Benolong	33332
Bensville	36764
Bentley (NSW)	24076
Berala	24544
Berambing	36400
Beresfield	28444
Bergalia	30368
Berkeley	24908
Berkeley Vale	33852
Berkshire Park	33800
Berlang	
Bermagui	25636
Berowra	44200
Berowra Creek	27924
Berowra Heights	42848
Berowra Waters	20228
Berrambool	27248
Berrara	24752
Berremangra	35360
Berrico	17524
Berridale	32604
Berrigal	29900
Berrigan	25948
Berrilee	35724
Berrima	37544
Berringer Lake	37700
Berry	32084
Berry Jerry	34580
Berry Mountain	23400
Berry Park	31980
Berthong	44148
Beryl	23660
Bethungra	24908
Bevendale	26728
Beverley Park	39208
Beverly Hills	30628
Bewong	31304
Bexhill	35412
Bexley	31512
Bexley North	31876
Biala	37700
Bibbenluke	33280
Biddon	37024
Bidgeemia	43316
Bidwill (NSW)	21580
Bielsdown Hills	27768
Big Hill (NSW)	44200
Big Jacks Creek	44200
Big Ridge	32188
Big Springs	30368
Bigga	25376
Bilambil	26624
Bilambil Heights	31876
Bilbul	37232
Bilgola Beach	67964
Bilgola Plateau	46956
Billeroy	35724
Billilingra	55848
Billimari	28912
Billinudgel	30576
Billys Creek	18668
Billywillinga	32188
Bilpin	34112
Bimberi	
Bimbi	34580
Bimbimbie	33384
Binalong	33332
Binda	26208
Bindera	26728
Bingara	23608
Bingeebeebra Creek	24232
Bingie	26260
Bingleburra	14560
Biniguy	31512
Binjura	36972
Binna Burra (NSW)	27664
Binnaway	20332
Binya	41964
Birchgrove	78780
Birdwood (NSW)	21892
Birganbigil	37700
Birmingham Gardens	22568
Birriwa	24648
Birrong	24596
Bishops Bridge	34632
Bithramere	34684
Black Creek (Port Macquarie-Hastings - NSW)	30836
Black Creek (Snowy Valleys - NSW)	11648
Black Head	27664
Black Hill (NSW)	38792
Black Hollow	35048
Black Mountain (NSW)	33592
Black Range (NSW)	36140
Black Springs (NSW)	29900
Blackalls Park	29016
Blackbutt (NSW)	31148
Blackett	24856
Blackheath	31512
Blackmans Flat	24648
Blackmans Point	27300
Blacksmiths	26052
Blacktown	31980
Blackville	34268
Blackwall (NSW)	31148
Blair Athol (NSW)	37336
Blairmount	35412
Blakebrook	27924
Blakehurst	37700
Blakney Creek	37700
Bland	42848
Blandford	34112
Blaxland (NSW)	40716
Blaxlands Creek	24908
Blaxlands Ridge	41236
Blayney	29016
Bligh Park	41288
Blighty	34372
Blowering	
Blue Bay	32188
Blue Haven	29796
Blue Knob	22620
Blue Mountains National Park	
Blue Nobby	43316
Blue Vale	35100
Blueys Beach	27716
Boambee	33904
Boambee East	30888
Boambolo	58500
Boat Harbour (Lismore - NSW)	29536
Boat Harbour (Port Stephens - NSW)	33540
Bobadah	23400
Bobin	24128
Bobs Creek	21424
Bobs Farm	28132
Bobundara	37648
Boco	
Bocoble	22724
Bocobra	18616
Bodalla	24752
Bodangora	39208
Boeill Creek	40092
Bogan	27248
Bogan Gate	21268
Bogangar	31460
Bogee	21320
Boggabilla	19708
Boggabri	29692
Bogong Peaks Wilderness	
Bohena Creek	35932
Bohnock	28912
Bolaro	20124
Bolivia	24856
Bolong	35932
Bolton Point	26104
Bolwarra (NSW)	38636
Bolwarra Heights	42068
Bom Bom	
Bomaderry	26260
Bombah Point	46800
Bombala	31096
Bombay	38636
Bombira	48152
Bombo	29120
Bombowlee	35620
Bombowlee Creek	34736
Bomen	44148
Bomera	32968
Bonalbo	22568
Bondi	57356
Bondi Beach	64532
Bondi Forest	
Bondi Junction	54964
Bonnells Bay	29692
Bonnet Bay	49868
Bonny Hills	30576
Bonnyrigg	22204
Bonnyrigg Heights	26416
Bonshaw (NSW)	23868
Bonville	30316
Booerie Creek	25324
Book Book	40248
Booker Bay	28860
Bookham	32760
Bookookoorara	24024
Bookram	
Boolambayte	23608
Boolaroo	30628
Boolcarroll	58500
Booligal	36036
Boolijah	
Boomanoomana	27560
Boomerang Beach	33436
Boomey	34788
Boomi	42536
Boomi Creek	22100
Boona Mount	37700
Boonal	37024
Boonoo Boonoo	22100
Boorabee Park	31980
Booragul	26520
Booral (NSW)	31252
Boorga	58448
Boorganna	20124
Boorolong	24024
Boorook	19448
Boorooma	41756
Booroorban	28340
Boorowa	29120
Bootawa	26624
Booti Booti	
Booyong	35724
Bora Ridge	27768
Borah Creek	25116
Borambola	39624
Border Ranges	
Boree	46800
Boree Creek	25688
Borenore	40456
Boro	38428
Bossley Park	25012
Bostobrick	23400
Botany	46800
Botobolar	39624
Bottle Creek	17316
Bouddi	
Bourbah	27300
Bourke	38948
Bourkelands	44720
Bournda	37700
Bournewood	43316
Bow Bowing	38688
Bowan Park	37180
Bowen Mountain	39416
Bowenfels	22984
Bowling Alley Point	16900
Bowman	27508
Bowman Farm	20488
Bowmans Creek	37700
Bowna	46800
Bowning	37128
Bowral	34060
Bowraville	22880
Box Head	
Box Hill (NSW)	35256
Box Ridge	27248
Boxers Creek	29900
Boydtown	24544
Bradbury (NSW)	31980
Braefield	36244
Braemar	38220
Braemar Bay	26936
Braidwood	31460
Brandy Hill	37232
Branxton	35100
Braunstone	25636
Brawboy	21424
Bray Park (NSW)	24492
Brays Creek	22100
Brayton	28912
Breadalbane (NSW)	34424
Breakfast Creek	24648
Breakfast Point	58188
Bream Beach	29900
Bredbo	39312
Breelong	19968
Breeza	28756
Bretti	18148
Brewarrina	23036
Brewongle	31304
Briarbrook	35724
Bribbaree	23816
Bridgman	39936
Brierfield	28756
Brighton-le-Sands	36712
Brightwaters	32448
Bril Bril	
Brimbin	21684
Brindabella	22100
Brinerville	
Bringelly	31720
Bringenbrong	23400
Brisbane Grove	34112
Broadmeadow	35100
Broadwater (Bega Valley - NSW)	30264
Broadwater (Richmond Valley - NSW)	26104
Broadway	37700
Brobenah	37700
Brocklehurst	28288
Brocklesby	28236
Brockley	27924
Brodies Plains	28912
Brogans Creek	14248
Brogers Creek	37700
Brogo	25688
Broke (NSW)	27300
Broken Head	32604
Broken Hill	27456
Brombin	37700
Bronte	65572
Brookdale (NSW)	37700
Brookfield (NSW)	29120
Brooklana	32448
Brooklet	41340
Brooklyn (NSW)	40040
Brookong	11700
Brookvale	47320
Brooman	31824
Brooms Head	21840
Broughams Gate	55224
Broughton (NSW)	37648
Broughton Vale	36400
Broughton Village	49868
Broulee	30524
Brownlow Hill	27924
Browns Creek	40664
Browns Mountain	37648
Brownsville	27300
Brucedale	45188
Bruie Plains	27924
Bruinbun	29900
Brumby Plains	
Brundee	35360
Brungle	27144
Brungle Creek	43316
Brunkerville	32240
Brunswick Heads	27560
Brushgrove	22412
Brushy Creek	46748
Buangla	
Bucca (NSW)	29900
Bucca Wauka	23764
Buccarumbi	23400
Buchanan (NSW)	32084
Buckajo	33436
Buckaroo	27664
Buckenbowra	19448
Buckenderra	34580
Buckendoon	35100
Bucketty	29900
Buckra Bendinni	22360
Budawang	24648
Buddabadah	53872
Budden	25324
Budderoo	
Buddong	
Budgee Budgee (NSW)	29536
Budgewoi	29120
Budgewoi Peninsula	
Budgong	24128
Buff Point	27456
Bugaldie	24024
Bukalong	
Bukkulla	29900
Bulahdelah	23400
Bulee	
Bulga (NSW)	28496
Bulga Forest	23400
Bulgary	11700
Bulla (NSW)	
Bulla Creek	35724
Bullaburra	32136
Bullagreen	39208
Bullarah	45812
Bullatale	25584
Bullawa Creek	20540
Bulldog	18512
Bulli	39780
Bulliac	30524
Bullio	29900
Bulyeroi	40248
Bumbaldry	23088
Bumbalong	58500
Bundabah	23868
Bundagen	19344
Bundanoon (NSW)	30264
Bundarra	22048
Bundeena	38428
Bundella	39624
Bundemar	35724
Bundewallah	36920
Bundook	20488
Bundure	130000
Bungaba	21684
Bungabbee	
Bungalora	28912
Bungarby	22516
Bungarribee	50440
Bungawalbin	23868
Bungendore	56992
Bungonia	28288
Bungowannah	44200
Bungwahl	24856
Bunnaloo	27040
Bunnan	23400
Bunyah	22828
Bunyan	34528
Burcher	25584
Bureen	32448
Burnt Bridge	21164
Burnt Yards	53092
Buronga	30836
Burra (Queanbeyan-Palerang Regional - NSW)	55068
Burra (Snowy Valleys - NSW)	29224
Burra Creek	31304
Burraboi	34372
Burradoo	37232
Burraga	28600
Burragate	18928
Burrandana	42848
Burraneer	52728
Burrangong	30420
Burrapine	19708
Burrawang	41392
Burrell Creek	28652
Burren Junction	26624
Burrier	32760
Burrill Lake	24960
Burringbar	26624
Burrinjuck	22048
Burroway	26780
Burrumbuttock	33332
Burrundulla	39104
Burwood (NSW)	24856
Burwood Heights	32292
Busby	22204
Busbys Flat	22100
Bushells Ridge	18200
Buttaba	34788
Buttai	45500
Butterwick	35464
Buxton (NSW)	37544
Byabarra	28600
Byadbo Wilderness	
Byangum	19968
Bylong	37648
Byng	47632
Byrock	26936
Byron Bay	32292
Byrrill Creek	20436
Bywong	55172
Cabarita (NSW)	52988
Cabarita Beach	35724
Cabbage Tree Island (Ballina - NSW)	22412
Cabbage Tree Island (Mid-Coast - NSW)	23348
Cabramatta	20644
Cabramatta West	21268
Cabramurra	73632
Caddens	33540
Cadgee (NSW)	24232
Cadia	
Caffreys Flat	21320
Cairncross	18200
Calala	37544
Calamia	23400
Calderwood	41184
Caldwell	24648
Calga	30992
Califat	17316
Calimo	37700
Callaghan	8788
Callaghans Creek	
Callala Bay	25948
Callala Beach	24440
Calliope (NSW)	31824
Caloola	38948
Cambalong	
Camberwell (NSW)	30732
Cambewarra	38116
Cambewarra Village	35724
Camboon (NSW)	19968
Cambra	24128
Cambridge Gardens	39000
Cambridge Park	35360
Cambridge Plateau	
Camden	37492
Camden Head	26260
Camden Park (NSW)	50284
Camden South	39832
Camellia	
Cameron Park	41600
Camerons Creek	19604
Camira (NSW)	18668
Cammeray	72020
Camp Creek (NSW)	27924
Campbelltown (NSW)	30628
Camperdown (NSW)	46228
Campsie	25272
Campvale	29900
Cams Wharf	35100
Canada Bay	42588
Canadian Lead	20748
Canbelego	20384
Candelo	27924
Cangai	27924
Caniaba	36348
Canley Heights	22152
Canley Vale	20592
Canobolas	45968
Canoelands	38948
Canonba	55692
Canowindra	27664
Canterbury (NSW)	34632
Canton Beach	23712
Canyonleigh	32708
Caparra	21528
Capeen Creek	19032
Capertee	22724
Capoompeta	
Captains Flat	43004
Carabost	25428
Caragabal	32188
Carcalgong	19916
Carcoar	23608
Cardiff (NSW)	32396
Cardiff Heights	33488
Cardiff South	34008
Carey Bay	28808
Cargo	33904
Carinda	31304
Caringbah	42380
Caringbah South	42172
Carlaminda	37700
Carlingford	33696
Carlton (NSW)	32656
Carnes Hill	44096
Carnham	24648
Carool	30576
Caroona	23816
Carrabolla	
Carrai	
Carramar (NSW)	23504
Carrathool	38428
Carrick (NSW)	38220
Carrington (Mid-Coast - NSW)	23400
Carrington (Newcastle - NSW)	38636
Carrington Falls	28340
Carroll	30056
Carrowbrook	27924
Carrs Creek	26468
Carrs Island	35724
Carrs Peninsula	29848
Carss Park	36816
Cartwright	21112
Cartwrights Hill	38844
Carwell	29900
Carwoola	56160
Cascade (NSW)	22048
Casino	25324
Cassilis (NSW)	28600
Castle Cove	50856
Castle Doyle	37700
Castle Hill (NSW)	40924
Castle Rock	37024
Castlecrag	65624
Castlereagh	37856
Casuarina (NSW)	45032
Casula	30368
Catalina	26156
Cataract	19448
Cathcart (NSW)	26884
Catherine Field	31876
Catherine Hill Bay	36556
Cathundral	45500
Cattai	41236
Cattle Creek (NSW)	37648
Cavan (NSW)	46800
Caves Beach	31044
Cawdor (NSW)	42172
Cawongla	21684
Cecil Hills	34944
Cecil Park	36400
Cedar Brush Creek	37336
Cedar Creek (Cessnock - NSW)	29224
Cedar Creek (Tweed - NSW)	23400
Cedar Party	26520
Cedar Point	29900
Cells River	
Centennial Park (NSW)	65936
Central Colo	35100
Central Macdonald	30628
Central Mangrove	34008
Central Tilba	28340
Cessnock	25376
Chaelundi	
Chain Valley Bay	24596
Chakola	43680
Chambigne	24128
Charbon	19448
Charles Sturt University	10296
Charlestown (NSW)	35360
Charleys Forest	24648
Charlotte Bay	24908
Charlton (NSW)	44720
Charmhaven	28288
Chatham Valley	40248
Chatsbury	38168
Chatswood	38324
Chatswood West	44876
Chatsworth (NSW)	28444
Cheero Point	46384
Cheltenham (NSW)	48152
Cherry Tree Hill	24232
Cherrybrook	39936
Chester Hill	23504
Chichester (NSW)	29848
Chifley (NSW)	36452
Chilcotts Creek	
Chilcotts Grass	30576
Chillingham	24960
Chinderah	23036
Chinnock	29900
Chippendale	28080
Chipping Norton	35880
Chisholm (NSW)	48412
Chiswick	65676
Chittaway Bay	31668
Chittaway Point	34320
Chowan Creek	24024
Chullora	
Church Point	54132
Clandulla	22100
Clare (NSW)	47632
Claremont Meadows	41704
Clarence	31980
Clarence Town	33124
Clarendon (NSW)	39052
Clarenza	31356
Clareville	57148
Claymore	19760
Clear Creek	40924
Clear Range	61724
Clearfield	18200
Clemton Park	26572
Clergate	32864
Cleveland (NSW)	46800
Clifden	43316
Cliftleigh	33176
Clifton (NSW)	54132
Clifton Grove	41704
Clontarf (NSW)	59280
Clothiers Creek	37128
Clouds Creek	46800
Clovelly	67236
Clunes (NSW)	33436
Clybucca	27300
Clyde (NSW)	18200
Clydesdale (NSW)	39988
Coal Point	39884
Coalcliff	46384
Coaldale	34684
Coasters Retreat	53248
Cobaki	35620
Cobaki Lakes	23400
Cobar	39260
Cobar Park	23868
Cobargo	23036
Cobark	24648
Cobbadah	34424
Cobbitty	43576
Cobramunga	27924
Cockwhy	22100
Codrington (NSW)	26780
Coffee Camp	24388
Coffs Harbour	28808
Coggan	24648
Cogra Bay	44200
Coila	34580
Coldstream (NSW)	23868
Coleambally	36504
Colebee	56368
Coledale	43160
Colinroobie	34268
Colinton (NSW)	33384
Collarenebri	24076
Collaroy (NSW)	49660
Collaroy Plateau	45500
Collector	43004
Collendina	36140
Collerina	29900
Collie (NSW)	33488
Collingullie	34892
Collingwood (NSW)	27560
Collins Creek	22412
Collombatti	23192
Collum Collum	
Colly Blue	18668
Colo (Bathurst Regional - NSW)	
Colo (Hawkesbury - NSW)	29900
Colo Heights	27248
Colo Vale	31876
Colongra	
Colyton	32292
Comara	18616
Combaning	39312
Combara	29900
Comberton	17316
Comboyne	24960
Come By Chance	38636
Comerong Island	27300
Commissioners Creek	24232
Como (NSW)	49296
Comobella	30524
Conargo	34788
Concord	39052
Concord West	39104
Condell Park	25428
Condobolin	29380
Condong	28912
Coneac	18200
Congarinni	28704
Congarinni North	26780
Congewai	35724
Congo	31408
Conimbia	13624
Coniston	25324
Conjola	36608
Conjola Park	25792
Connells Point	44200
Constitution Hill	31096
Coogee (NSW)	66820
Cookamidgera	24648
Cookardinia	36920
Cooks Gap	25532
Cooks Hill	45136
Cooks Myalls	33124
Coolabah	25532
Coolac	32084
Coolagolite	28236
Coolah	25896
Coolamon	34268
Coolangatta (NSW)	36296
Coolangubra	
Coolatai	24024
Cooleman	
Cooleys Creek	29900
Coolgardie (NSW)	35464
Coolongolook	23868
Coolringdon	42224
Coolumbooka	58500
Coolumburra	
Cooma (NSW)	31668
Coomba Bay	23816
Coomba Park	21320
Coombadjha	23400
Coombell	27924
Coomealla	24908
Coomoo Coomoo	29848
Coonabarabran	25480
Coonamble	27664
Coongbar	
Cooperabung	34528
Coopernook	24336
Coopers Gully	36712
Coopers Shoot	36608
Cooplacurripa	19032
Coorabell	32084
Cooranbong	28340
Cootamundra	27144
Cootralantra	36504
Cooyal	30524
Copacabana	39312
Cope	27664
Copeland	42172
Copeton	26936
Copmanhurst	21684
Coppabella (NSW)	23400
Copperhannia	46748
Coraki	23972
Coralville	19812
Coramba	30836
Corang	58448
Corangula	18824
Corbie Hill	31044
Cordeaux	
Cordeaux Heights	38688
Coree	50648
Coreen	37700
Corindi Beach	30056
Corinella (NSW)	37336
Corlette	31460
Corndale (NSW)	33332
Corney Town	23140
Cornwallis	38792
Corobimilla	36244
Corowa	29276
Corrabare	22048
Corrimal	31460
Corrong	90948
Corrowong	36400
Corunna	24856
Cottage Point	55224
Cottonvale (NSW)	24024
Cougal	15080
Countegany	22516
Courabyra	32344
Couradda	21840
Couragago	
Couridjah	30316
Coutts Crossing	23972
Cow Flat	38948
Cowabbie	17316
Cowan	36660
Cowper	23140
Cowra	27040
Coxs Creek	23972
Coxs Crown	19448
Crabbes Creek	28808
Crackenback	46072
Craigie (NSW)	31824
Cranebrook	40716
Crangan Bay	
Craven	25376
Craven Plateau	19032
Crawford River	30420
Crawney	19032
Creewah	16900
Cremorne (NSW)	68952
Cremorne Point	76024
Crescent Head	28340
Crestwood	43992
Cringila	21476
Croki	25428
Cromer (NSW)	40144
Cronulla	52364
Crooble	35724
Croobyar	27300
Crooked Corner	32760
Crookwell	29848
Croom	34268
Croppa Creek	35932
Cross Roads (NSW)	46800
Crosslands	29276
Croudace Bay	33228
Crowdy Bay National Park	
Crowdy Head	22880
Crows Nest (NSW)	70304
Crowther	32188
Crowther Island	
Croydon (NSW)	34996
Croydon Park (NSW)	35360
Crudine	21424
Cryon	24024
Crystal Creek (NSW)	27612
Cubba	31824
Cudal	33228
Cudgegong	43316
Cudgel	36400
Cudgen	33020
Cudgera Creek	34580
Cudmirrah	26884
Culburra Beach	26156
Culcairn	28496
Cullen Bullen	21996
Cullenbone	31824
Cullendore	18200
Cullerin	46800
Cullivel	35724
Culmaran Creek	35724
Cumbalum	37908
Cumbandry	22100
Cumberland Reach	45812
Cumbo	18200
Cumborah	19968
Cumnock	28600
Cundle Flat	17524
Cundletown	27976
Cundumbul	44200
Cunjurong Point	29016
Cunningar	37908
Cunninyeuk	35724
Curban	43992
Curl Curl	53612
Curlew Waters	35100
Curlewis (NSW)	27196
Curlwaa	30940
Curra Creek	22048
Currabubula	33956
Curragh	
Curramore (NSW)	34840
Currans Hill	42276
Currarong	23868
Currawang	53976
Currawarna	34008
Curraweela	26936
Curricabark	29900
Currowan	26624
Cuttabri	27248
Cuttagee	26312
Dabee	26936
Daceyville	20800
Dairy Arm	38948
Dairy Flat	22880
Dairymans Plains	39624
Daleys Point	26936
Dalgety	26676
Dalmeny	26052
Dalmorton	
Dalswinton	38792
Dalton	28392
Dalwood (Ballina - NSW)	31928
Dalwood (Singleton - NSW)	32604
Dandaloo	28600
Dandry	20176
Dangar Island	38220
Dangarsleigh	36504
Dangelong	36348
Dapto	28964
Darawank	28132
Darbalara	31148
Darbys Falls	22360
Dareton	20072
Dargan	23712
Dark Corner	35724
Darkes Forest	44200
Darkwood	24388
Darling Point	83096
Darlinghurst	66820
Darlington (Singleton - NSW)	34424
Darlington (Sydney - NSW)	25272
Darlington Point	32656
Darlow	58500
Dartbrook	42068
Daruka	47528
Davidson	45292
Davis Creek	24648
Davistown	31668
Dawes Point	101296
Daysdale	22724
Dean Park	33176
Deauville	29900
Debenham	
Dee Why	44980
Deep Creek (Clarence Valley - NSW)	71500
Deep Creek (Kempsey - NSW)	20228
Deep Creek (Kyogle - NSW)	21268
Deepwater (NSW)	21840
Deer Vale	23140
Delegate	26156
Delungra	23296
Denham Court	30056
Denhams Beach	23608
Deniliquin	30472
Denistone	40040
Denistone East	39052
Denistone West	41340
Denman	30680
Depot Beach	26936
Derriwong	24648
Deua	
Deua River Valley	19968
Devils Hole	37700
Dewitt	19448
Dharruk	27092
Dhulura	48516
Dhuragoon	35724
Diamond Beach	29640
Diamond Head	
Diehard	20020
Diggers Camp	26520
Dignams Creek	23660
Dilkoon	17160
Dilpurra	46800
Dingo Forest	
Dinoga	26416
Dirnaseer	34164
Dirty Creek	25116
Dobies Bight	27716
Doctor George Mountain	27560
Doctors Gap	17160
Dog Rocks	
Dolans Bay	46800
Dolls Point	45136
Dollys Flat	25792
Dolphin Point	24804
Dombarton	36712
Donald Creek	38948
Dondingalong	24700
Doon Doon	25480
Doonbah	24648
Doonside	27612
Dooralong	25324
Dora Creek	30108
Dorrigo	24492
Dorrigo Mountain	24908
Dorroughby	31304
Double Bay	74204
Doubtful Creek	23972
Douglas Park	38064
Dover Heights	59540
Downside	48932
Doyalson	26312
Doyalson North	22360
Doyles Creek	29900
Doyles River	
Drake	20904
Drildool	24648
Dripstone	25116
Drummoyne	60840
Dry Creek (NSW)	42900
Dry Plain	31148
Dubbo	35932
Duck Creek	21112
Duckenfield	31616
Duckmaloi	24336
Dudley	41236
Duffys Forest	46072
Dulguigan	29484
Dulwich Hill	47528
Dum Dum	24908
Dumaresq	38220
Dumaresq Island	35724
Dumaresq Valley	19916
Dumbudgery	
Dunbible	27508
Dunbogan	24388
Duncans Creek	27560
Dundas (NSW)	32188
Dundas Valley	32188
Dundee	26208
Dundurrabin	19812
Dunedoo	27040
Dungarubba	24908
Dungay	33956
Dungeree	
Dungog	25584
Dungowan	37284
Dunkeld (NSW)	38688
Dunmore (NSW)	33384
Dunolly (NSW)	34892
Dunoon	28548
Duns Creek	35568
Dunville Loop	37700
Dural (Hornsby - NSW)	38792
Dural (Singleton - NSW)	
Duramana	35360
Duranbah	30888
Duri	36296
Duroby	26936
Durran Durra	40248
Durras North	35724
Durren Durren	38324
Duval	
Dyers Crossing	26156
Dyraaba	27040
Dyrring	53248
Eagle Vale	33644
Eagleton	38636
Earlwood	35412
East Albury	38064
East Ballina	34320
East Branxton	39936
East Coraki	29068
East Corrimal	34112
East Gosford	31252
East Gresford	28392
East Hills	34268
East Jindabyne	44044
East Kangaloon	39208
East Kempsey	29588
East Killara	38428
East Kurrajong	40924
East Lindfield	47788
East Lismore	27196
East Lynne	28444
East Maitland	31824
East Ryde	46800
East Seaham	40248
East Tamworth	37960
East Wagga Wagga	33956
East Wardell	28704
Eastern Creek	33852
Eastgardens	36088
