SSC_NAME16	ModeTravelToWork	NumberModes	Sex	employed_persons
Abercrombie	Car as driver	1	M	235
Abercrombie	Car as passenger	1	F	17
Abercrombie	Car as passenger	1	M	9
Abercrombie	Motorbike scooter	1	M	6
Abercrombie	Other two methods	2	F	3
Abercrombie	Walked only	1	M	3
Abercrombie River	Car as driver	1	F	3
Abercrombie River	Car as driver	1	M	3
Aberdare			F	4
Aberdare			M	8
Aberdare	(Other)	1	M	3
Aberdare	Bicycle	1	M	3
Aberdare	Bus	1	M	3
Aberdare	Car as driver	1	F	326
Aberdare	Car as driver	1	M	353
Aberdare	Car as passenger	1	F	21
Aberdare	Car as passenger	1	M	24
Aberdare	Other two methods	2	F	3
Aberdare	Other two methods	2	M	7
Aberdare	Truck	1	M	10
Aberdare	Walked only	1	F	7
Aberdare	Walked only	1	M	3
Aberdeen (NSW)			F	4
Aberdeen (NSW)			M	5
Aberdeen (NSW)	Bus	1	M	3
Aberdeen (NSW)	Car as driver	1	F	275
Aberdeen (NSW)	Car as driver	1	M	369
Aberdeen (NSW)	Car as passenger	1	F	18
Aberdeen (NSW)	Car as passenger	1	M	29
Aberdeen (NSW)	Motorbike scooter	1	M	3
Aberdeen (NSW)	Other two methods	2	M	4
Aberdeen (NSW)	Truck	1	M	10
Aberdeen (NSW)	Walked only	1	F	10
Aberdeen (NSW)	Walked only	1	M	13
Aberfoyle	(Other)	1	M	3
Aberfoyle	Car as driver	1	F	10
Aberfoyle	Car as driver	1	M	15
Aberfoyle	Walked only	1	F	3
Aberfoyle	Walked only	1	M	3
Aberglasslyn			F	5
Aberglasslyn			M	10
Aberglasslyn	(Other)	1	F	3
Aberglasslyn	(Other)	1	M	6
Aberglasslyn	Bicycle	1	M	3
Aberglasslyn	Bus	1	F	6
Aberglasslyn	Bus	1	M	8
Aberglasslyn	Car as driver	1	F	952
Aberglasslyn	Car as driver	1	M	1065
Aberglasslyn	Car as passenger	1	F	65
Aberglasslyn	Car as passenger	1	M	78
Aberglasslyn	Motorbike scooter	1	M	5
Aberglasslyn	Other two methods	2	F	3
Aberglasslyn	Other two methods	2	M	18
Aberglasslyn	Train	1	F	11
Aberglasslyn	Train	1	M	4
Aberglasslyn	Train and two other methods	3	M	3
Aberglasslyn	Truck	1	M	21
Aberglasslyn	Walked only	1	F	5
Aberglasslyn	Walked only	1	M	4
Abermain			F	5
Abermain			M	9
Abermain	Bus	1	F	3
Abermain	Car as driver	1	F	332
Abermain	Car as driver	1	M	368
Abermain	Car as passenger	1	F	21
Abermain	Car as passenger	1	M	29
Abermain	Motorbike scooter	1	M	4
Abermain	Other two methods	2	M	9
Abermain	Train	1	F	3
Abermain	Truck	1	M	12
Abermain	Walked only	1	F	6
Abermain	Walked only	1	M	3
Abernethy	Car as driver	1	F	46
Abernethy	Car as driver	1	M	47
Abernethy	Car as passenger	1	F	3
Abernethy	Car as passenger	1	M	3
Abington (NSW)	Car as driver	1	F	3
Acacia Creek	Car as driver	1	F	3
Acacia Creek	Car as driver	1	M	5
Acacia Gardens			F	16
Acacia Gardens			M	8
Acacia Gardens	(Other)	1	M	7
Acacia Gardens	Bus	1	F	53
Acacia Gardens	Bus	1	M	65
Acacia Gardens	Car as driver	1	F	628
Acacia Gardens	Car as driver	1	M	705
Acacia Gardens	Car as passenger	1	F	43
Acacia Gardens	Car as passenger	1	M	30
Acacia Gardens	Motorbike scooter	1	M	8
Acacia Gardens	Other two methods	2	F	3
Acacia Gardens	Other two methods	2	M	3
Acacia Gardens	Taxi	1	M	5
Acacia Gardens	Train	1	F	59
Acacia Gardens	Train	1	M	65
Acacia Gardens	Train and two other methods	3	F	11
Acacia Gardens	Train and two other methods	3	M	11
Acacia Gardens	Truck	1	M	13
Acacia Gardens	Walked only	1	F	12
Acacia Gardens	Walked only	1	M	9
Adaminaby	(Other)	1	M	3
Adaminaby	Car as driver	1	F	32
Adaminaby	Car as driver	1	M	41
Adaminaby	Car as passenger	1	F	4
Adaminaby	Car as passenger	1	M	6
Adaminaby	Walked only	1	F	14
Adaminaby	Walked only	1	M	10
Adamstown			F	15
Adamstown			M	16
Adamstown	(Other)	1	F	3
Adamstown	(Other)	1	M	12
Adamstown	Bicycle	1	F	3
Adamstown	Bicycle	1	M	43
Adamstown	Bus	1	F	45
Adamstown	Bus	1	M	30
Adamstown	Bus and two other methods excludes train	3	M	4
Adamstown	Car as driver	1	F	1033
Adamstown	Car as driver	1	M	1136
Adamstown	Car as passenger	1	F	77
Adamstown	Car as passenger	1	M	62
Adamstown	Motorbike scooter	1	F	8
Adamstown	Motorbike scooter	1	M	24
Adamstown	Other two methods	2	F	9
Adamstown	Other two methods	2	M	15
Adamstown	Taxi	1	F	4
Adamstown	Taxi	1	M	4
Adamstown	Train	1	F	13
Adamstown	Train	1	M	14
Adamstown	Truck	1	M	12
Adamstown	Walked only	1	F	50
Adamstown	Walked only	1	M	31
Adamstown Heights			F	11
Adamstown Heights			M	15
Adamstown Heights	(Other)	1	F	3
Adamstown Heights	(Other)	1	M	9
Adamstown Heights	Bicycle	1	F	10
Adamstown Heights	Bicycle	1	M	26
Adamstown Heights	Bus	1	F	22
Adamstown Heights	Bus	1	M	15
Adamstown Heights	Car as driver	1	F	808
Adamstown Heights	Car as driver	1	M	963
Adamstown Heights	Car as passenger	1	F	70
Adamstown Heights	Car as passenger	1	M	42
Adamstown Heights	Motorbike scooter	1	M	19
Adamstown Heights	Other two methods	2	M	12
Adamstown Heights	Train	1	F	8
Adamstown Heights	Train	1	M	15
Adamstown Heights	Truck	1	M	15
Adamstown Heights	Walked only	1	F	40
Adamstown Heights	Walked only	1	M	20
Adelong			F	3
Adelong	Car as driver	1	F	120
Adelong	Car as driver	1	M	164
Adelong	Car as passenger	1	F	4
Adelong	Car as passenger	1	M	5
Adelong	Truck	1	M	9
Adelong	Walked only	1	F	4
Adelong	Walked only	1	M	3
Adjungbilly	Car as driver	1	F	12
Adjungbilly	Car as driver	1	M	12
Adjungbilly	Truck	1	M	3
Adjungbilly	Walked only	1	F	3
Adjungbilly	Walked only	1	M	3
Afterlee	Car as driver	1	F	7
Afterlee	Car as driver	1	M	4
Agnes Banks			M	3
Agnes Banks	Car as driver	1	F	133
Agnes Banks	Car as driver	1	M	180
Agnes Banks	Car as passenger	1	F	3
Agnes Banks	Car as passenger	1	M	5
Agnes Banks	Other two methods	2	F	3
Agnes Banks	Train	1	F	3
Agnes Banks	Train	1	M	3
Agnes Banks	Truck	1	M	16
Agnes Banks	Walked only	1	F	6
Agnes Banks	Walked only	1	M	9
Airds			F	12
Airds			M	14
Airds	(Other)	1	F	3
Airds	(Other)	1	M	5
Airds	Bus	1	F	22
Airds	Bus	1	M	5
Airds	Car as driver	1	F	118
Airds	Car as driver	1	M	165
Airds	Car as passenger	1	F	22
Airds	Car as passenger	1	M	21
Airds	Motorbike scooter	1	F	5
Airds	Motorbike scooter	1	M	8
Airds	Train	1	F	12
Airds	Train	1	M	4
Airds	Train and two other methods	3	F	3
Airds	Truck	1	M	4
Airds	Walked only	1	F	3
Airds	Walked only	1	M	3
Akolele	Car as driver	1	F	9
Akolele	Car as driver	1	M	8
Albert	Car as driver	1	F	5
Albert	Car as driver	1	M	8
Albion Park			F	25
Albion Park			M	18
Albion Park	(Other)	1	F	7
Albion Park	(Other)	1	M	19
Albion Park	Bicycle	1	M	13
Albion Park	Bus	1	F	18
Albion Park	Bus	1	M	18
Albion Park	Car as driver	1	F	2224
Albion Park	Car as driver	1	M	2570
Albion Park	Car as passenger	1	F	135
Albion Park	Car as passenger	1	M	161
Albion Park	Motorbike scooter	1	M	20
Albion Park	Other two methods	2	F	9
Albion Park	Other two methods	2	M	24
Albion Park	Taxi	1	M	4
Albion Park	Train	1	F	28
Albion Park	Train	1	M	23
Albion Park	Train and two other methods	3	M	5
Albion Park	Truck	1	M	67
Albion Park	Walked only	1	F	33
Albion Park	Walked only	1	M	30
Albion Park Rail			F	9
Albion Park Rail			M	16
Albion Park Rail	(Other)	1	F	5
Albion Park Rail	(Other)	1	M	16
Albion Park Rail	Bicycle	1	F	4
Albion Park Rail	Bicycle	1	M	6
Albion Park Rail	Bus	1	F	11
Albion Park Rail	Bus	1	M	13
Albion Park Rail	Car as driver	1	F	987
Albion Park Rail	Car as driver	1	M	1126
Albion Park Rail	Car as passenger	1	F	71
Albion Park Rail	Car as passenger	1	M	87
Albion Park Rail	Motorbike scooter	1	F	5
Albion Park Rail	Motorbike scooter	1	M	11
Albion Park Rail	Other two methods	2	F	4
Albion Park Rail	Other two methods	2	M	15
Albion Park Rail	Train	1	F	25
Albion Park Rail	Train	1	M	42
Albion Park Rail	Train and two other methods	3	M	4
Albion Park Rail	Truck	1	M	37
Albion Park Rail	Walked only	1	F	11
Albion Park Rail	Walked only	1	M	12
Albury			F	3
Albury			M	6
Albury	(Other)	1	F	5
Albury	(Other)	1	M	6
Albury	Bicycle	1	F	9
Albury	Bicycle	1	M	29
Albury	Bus	1	F	4
Albury	Bus	1	M	3
Albury	Car as driver	1	F	745
Albury	Car as driver	1	M	759
Albury	Car as passenger	1	F	53
Albury	Car as passenger	1	M	30
Albury	Motorbike scooter	1	M	3
Albury	Other two methods	2	F	4
Albury	Other two methods	2	M	13
Albury	Taxi	1	F	8
Albury	Taxi	1	M	3
Albury	Train	1	F	3
Albury	Train	1	M	4
Albury	Truck	1	M	5
Albury	Walked only	1	F	121
Albury	Walked only	1	M	109
Aldavilla	Bus	1	F	4
Aldavilla	Car as driver	1	F	103
Aldavilla	Car as driver	1	M	131
Aldavilla	Car as passenger	1	F	3
Aldavilla	Car as passenger	1	M	5
Aldavilla	Truck	1	M	9
Aldavilla	Walked only	1	F	3
Aldavilla	Walked only	1	M	3
Alectown	Car as driver	1	F	21
Alectown	Car as driver	1	M	19
Alectown	Truck	1	M	3
Alectown	Walked only	1	F	3
Alectown	Walked only	1	M	3
Alexandria			F	16
Alexandria			M	21
Alexandria	(Other)	1	F	16
Alexandria	(Other)	1	M	23
Alexandria	Bicycle	1	F	66
Alexandria	Bicycle	1	M	202
Alexandria	Bus	1	F	166
Alexandria	Bus	1	M	124
Alexandria	Car as driver	1	F	728
Alexandria	Car as driver	1	M	890
Alexandria	Car as passenger	1	F	86
Alexandria	Car as passenger	1	M	57
Alexandria	Motorbike scooter	1	F	24
Alexandria	Motorbike scooter	1	M	73
Alexandria	Other two methods	2	F	9
Alexandria	Other two methods	2	M	20
Alexandria	Taxi	1	F	16
Alexandria	Taxi	1	M	12
Alexandria	Train	1	F	736
Alexandria	Train	1	M	794
Alexandria	Train and two other methods	3	F	21
Alexandria	Train and two other methods	3	M	15
Alexandria	Truck	1	M	18
Alexandria	Walked only	1	F	265
Alexandria	Walked only	1	M	276
Alfords Point			F	3
Alfords Point			M	4
Alfords Point	(Other)	1	F	3
Alfords Point	(Other)	1	M	5
Alfords Point	Bus	1	F	3
Alfords Point	Bus	1	M	5
Alfords Point	Car as driver	1	F	572
Alfords Point	Car as driver	1	M	639
Alfords Point	Car as passenger	1	F	47
Alfords Point	Car as passenger	1	M	29
Alfords Point	Other two methods	2	F	3
Alfords Point	Other two methods	2	M	12
Alfords Point	Train	1	F	57
Alfords Point	Train	1	M	47
Alfords Point	Train and two other methods	3	F	9
Alfords Point	Train and two other methods	3	M	3
Alfords Point	Truck	1	M	19
Alfords Point	Walked only	1	F	3
Alfords Point	Walked only	1	M	4
Alfredtown	Car as driver	1	F	14
Alfredtown	Car as driver	1	M	18
Alfredtown	Car as passenger	1	M	4
Alfredtown	Walked only	1	F	3
Alison (Central Coast - NSW)	Car as driver	1	F	13
Alison (Central Coast - NSW)	Car as driver	1	M	20
Alison (Dungog - NSW)	Car as driver	1	F	9
Alison (Dungog - NSW)	Car as driver	1	M	15
Alison (Dungog - NSW)	Car as passenger	1	M	3
Allambie Heights			F	18
Allambie Heights			M	24
Allambie Heights	(Other)	1	F	8
Allambie Heights	(Other)	1	M	11
Allambie Heights	Bicycle	1	F	7
Allambie Heights	Bicycle	1	M	27
Allambie Heights	Bus	1	F	180
Allambie Heights	Bus	1	M	232
Allambie Heights	Bus and two other methods excludes train	3	F	7
Allambie Heights	Bus and two other methods excludes train	3	M	8
Allambie Heights	Car as driver	1	F	875
Allambie Heights	Car as driver	1	M	954
Allambie Heights	Car as passenger	1	F	70
Allambie Heights	Car as passenger	1	M	40
Allambie Heights	Ferry	1	F	4
Allambie Heights	Motorbike scooter	1	F	5
Allambie Heights	Motorbike scooter	1	M	42
Allambie Heights	Other two methods	2	F	8
Allambie Heights	Other two methods	2	M	18
Allambie Heights	Taxi	1	F	5
Allambie Heights	Taxi	1	M	3
Allambie Heights	Train	1	M	3
Allambie Heights	Train and two other methods	3	F	6
Allambie Heights	Train and two other methods	3	M	15
Allambie Heights	Truck	1	M	33
Allambie Heights	Walked only	1	F	66
Allambie Heights	Walked only	1	M	54
Allandale (NSW)	Car as driver	1	F	13
Allandale (NSW)	Car as driver	1	M	19
Allandale (NSW)	Walked only	1	F	4
Allawah			F	11
Allawah			M	10
Allawah	(Other)	1	F	4
Allawah	(Other)	1	M	3
Allawah	Bicycle	1	M	3
Allawah	Bus	1	F	11
Allawah	Bus	1	M	10
Allawah	Car as driver	1	F	454
Allawah	Car as driver	1	M	782
Allawah	Car as passenger	1	F	70
Allawah	Car as passenger	1	M	34
Allawah	Motorbike scooter	1	M	10
Allawah	Other two methods	2	M	11
Allawah	Taxi	1	M	3
Allawah	Train	1	F	501
Allawah	Train	1	M	496
Allawah	Train and two other methods	3	F	10
Allawah	Train and two other methods	3	M	6
Allawah	Truck	1	M	7
Allawah	Walked only	1	F	38
Allawah	Walked only	1	M	35
Alleena	Car as driver	1	F	7
Alleena	Car as driver	1	M	3
Allgomera	Car as driver	1	F	24
Allgomera	Car as driver	1	M	16
Allworth	Car as driver	1	F	16
Allworth	Car as driver	1	M	31
Allworth	Car as passenger	1	M	3
Allworth	Walked only	1	M	3
Allynbrook	Car as driver	1	F	9
Allynbrook	Car as driver	1	M	9
Allynbrook	Car as passenger	1	F	3
Allynbrook	Truck	1	M	4
Alma Park	Car as driver	1	F	7
Alma Park	Car as driver	1	M	5
Alpine	Car as driver	1	F	20
Alpine	Car as driver	1	M	32
Alpine	Car as passenger	1	F	3
Alstonvale	Car as driver	1	F	62
Alstonvale	Car as driver	1	M	78
Alstonvale	Car as passenger	1	F	10
Alstonvale	Walked only	1	M	3
Alstonville			F	15
Alstonville			M	4
Alstonville	(Other)	1	F	5
Alstonville	(Other)	1	M	13
Alstonville	Bicycle	1	F	3
Alstonville	Bicycle	1	M	11
Alstonville	Bus	1	F	8
Alstonville	Bus	1	M	4
Alstonville	Car as driver	1	F	770
Alstonville	Car as driver	1	M	789
Alstonville	Car as passenger	1	F	55
Alstonville	Car as passenger	1	M	50
Alstonville	Motorbike scooter	1	M	11
Alstonville	Other two methods	2	F	3
Alstonville	Other two methods	2	M	5
Alstonville	Truck	1	M	15
Alstonville	Walked only	1	F	39
Alstonville	Walked only	1	M	30
Alumy Creek	Car as driver	1	F	14
Alumy Creek	Car as driver	1	M	13
Alumy Creek	Truck	1	M	4
Amaroo (NSW)	Car as driver	1	F	7
Amaroo (NSW)	Car as driver	1	M	6
Amaroo (NSW)	Car as passenger	1	F	3
Ambarvale			F	19
Ambarvale			M	20
Ambarvale	(Other)	1	F	5
Ambarvale	(Other)	1	M	12
Ambarvale	Bicycle	1	M	4
Ambarvale	Bus	1	F	31
Ambarvale	Bus	1	M	30
Ambarvale	Car as driver	1	F	787
Ambarvale	Car as driver	1	M	1048
Ambarvale	Car as passenger	1	F	98
Ambarvale	Car as passenger	1	M	96
Ambarvale	Motorbike scooter	1	M	15
Ambarvale	Other two methods	2	F	6
Ambarvale	Other two methods	2	M	10
Ambarvale	Taxi	1	F	4
Ambarvale	Taxi	1	M	3
Ambarvale	Train	1	F	82
Ambarvale	Train	1	M	80
Ambarvale	Train and two other methods	3	F	14
Ambarvale	Train and two other methods	3	M	16
Ambarvale	Truck	1	M	38
Ambarvale	Walked only	1	F	21
Ambarvale	Walked only	1	M	13
Amosfield	Car as driver	1	F	4
Amosfield	Car as driver	1	M	3
Anabranch South	Car as driver	1	F	4
Anabranch South	Car as driver	1	M	3
Anabranch South	Walked only	1	M	3
Anambah	Car as driver	1	F	3
Anambah	Car as driver	1	M	5
Ando	Car as driver	1	F	4
Ando	Car as driver	1	M	16
Anembo	Car as driver	1	F	5
Anembo	Car as driver	1	M	12
Angledale	Car as driver	1	F	21
Angledale	Car as driver	1	M	36
Angledool	Car as driver	1	F	5
Angledool	Car as driver	1	M	3
Angledool	Car as passenger	1	M	3
Angledool	Other two methods	2	M	3
Anglers Reach	Car as driver	1	F	3
Anglers Reach	Car as driver	1	M	9
Angourie	Car as driver	1	F	35
Angourie	Car as driver	1	M	31
Angourie	Walked only	1	F	3
Anna Bay			F	4
Anna Bay			M	5
Anna Bay	(Other)	1	F	3
Anna Bay	(Other)	1	M	10
Anna Bay	Bicycle	1	M	4
Anna Bay	Bus	1	F	13
Anna Bay	Bus	1	M	12
Anna Bay	Car as driver	1	F	516
Anna Bay	Car as driver	1	M	565
Anna Bay	Car as passenger	1	F	35
Anna Bay	Car as passenger	1	M	43
Anna Bay	Motorbike scooter	1	M	7
Anna Bay	Other two methods	2	F	4
Anna Bay	Other two methods	2	M	11
Anna Bay	Truck	1	M	16
Anna Bay	Walked only	1	F	27
Anna Bay	Walked only	1	M	21
Annandale (NSW)			F	18
Annandale (NSW)			M	25
Annandale (NSW)	(Other)	1	F	17
Annandale (NSW)	(Other)	1	M	17
Annandale (NSW)	Bicycle	1	F	55
Annandale (NSW)	Bicycle	1	M	144
Annandale (NSW)	Bus	1	F	541
Annandale (NSW)	Bus	1	M	403
Annandale (NSW)	Bus and two other methods excludes train	3	F	3
Annandale (NSW)	Bus and two other methods excludes train	3	M	7
Annandale (NSW)	Car as driver	1	F	997
Annandale (NSW)	Car as driver	1	M	1029
Annandale (NSW)	Car as passenger	1	F	96
Annandale (NSW)	Car as passenger	1	M	58
Annandale (NSW)	Motorbike scooter	1	F	20
Annandale (NSW)	Motorbike scooter	1	M	63
Annandale (NSW)	Other three methods	3	M	5
Annandale (NSW)	Other two methods	2	F	16
Annandale (NSW)	Other two methods	2	M	16
Annandale (NSW)	Taxi	1	F	21
Annandale (NSW)	Taxi	1	M	23
Annandale (NSW)	Train	1	F	71
Annandale (NSW)	Train	1	M	64
Annandale (NSW)	Train and two other methods	3	F	14
Annandale (NSW)	Train and two other methods	3	M	16
Annandale (NSW)	Tram includes light rail	1	F	85
Annandale (NSW)	Tram includes light rail	1	M	86
Annandale (NSW)	Truck	1	M	18
Annandale (NSW)	Walked only	1	F	222
Annandale (NSW)	Walked only	1	M	161
Annangrove			F	3
Annangrove			M	4
Annangrove	(Other)	1	M	4
Annangrove	Bus	1	F	4
Annangrove	Bus	1	M	4
Annangrove	Car as driver	1	F	226
Annangrove	Car as driver	1	M	290
Annangrove	Car as passenger	1	F	16
Annangrove	Car as passenger	1	M	16
Annangrove	Motorbike scooter	1	M	3
Annangrove	Train	1	F	3
Annangrove	Train and two other methods	3	M	3
Annangrove	Truck	1	M	30
Annangrove	Walked only	1	F	11
Annangrove	Walked only	1	M	5
Appin (NSW)			F	7
Appin (NSW)			M	6
Appin (NSW)	Bicycle	1	F	3
Appin (NSW)	Bus	1	F	3
Appin (NSW)	Car as driver	1	F	450
Appin (NSW)	Car as driver	1	M	515
Appin (NSW)	Car as passenger	1	F	19
Appin (NSW)	Car as passenger	1	M	29
Appin (NSW)	Motorbike scooter	1	M	10
Appin (NSW)	Other two methods	2	M	3
Appin (NSW)	Train	1	F	17
Appin (NSW)	Train	1	M	12
Appin (NSW)	Train and two other methods	3	M	4
Appin (NSW)	Truck	1	M	26
Appin (NSW)	Walked only	1	F	13
Appin (NSW)	Walked only	1	M	15
Apple Tree Flat	Car as driver	1	M	5
Appleby			F	3
Appleby			M	3
Appleby	Car as driver	1	F	4
Appleby	Car as driver	1	M	7
Appleby	Car as passenger	1	M	3
Appletree Flat	Car as driver	1	F	3
Apsley (NSW)	Car as driver	1	F	15
Apsley (NSW)	Car as driver	1	M	16
Apsley (NSW)	Car as passenger	1	F	3
Arable	Car as driver	1	F	3
Arable	Car as driver	1	M	3
Arakoon			F	3
Arakoon	Bicycle	1	M	3
Arakoon	Car as driver	1	F	51
Arakoon	Car as driver	1	M	48
Arakoon	Car as passenger	1	F	6
Arakoon	Car as passenger	1	M	4
Arakoon	Truck	1	M	3
Araluen (NSW)			F	3
Araluen (NSW)			M	3
Araluen (NSW)	Car as driver	1	F	15
Araluen (NSW)	Car as driver	1	M	15
Araluen (NSW)	Car as passenger	1	F	3
Araluen (NSW)	Walked only	1	M	3
Arcadia (NSW)			M	3
Arcadia (NSW)	(Other)	1	F	4
Arcadia (NSW)	Bus	1	M	3
Arcadia (NSW)	Car as driver	1	F	194
Arcadia (NSW)	Car as driver	1	M	245
Arcadia (NSW)	Car as passenger	1	F	13
Arcadia (NSW)	Car as passenger	1	M	14
Arcadia (NSW)	Motorbike scooter	1	M	5
Arcadia (NSW)	Other two methods	2	F	3
Arcadia (NSW)	Other two methods	2	M	6
Arcadia (NSW)	Train	1	F	9
Arcadia (NSW)	Train	1	M	4
Arcadia (NSW)	Truck	1	M	9
Arcadia (NSW)	Walked only	1	F	15
Arcadia (NSW)	Walked only	1	M	5
Arcadia Vale			M	4
Arcadia Vale	(Other)	1	F	4
Arcadia Vale	(Other)	1	M	3
Arcadia Vale	Bus	1	M	3
Arcadia Vale	Car as driver	1	F	197
Arcadia Vale	Car as driver	1	M	235
Arcadia Vale	Car as passenger	1	F	14
Arcadia Vale	Car as passenger	1	M	14
Arcadia Vale	Other two methods	2	M	6
Arcadia Vale	Train	1	F	9
Arcadia Vale	Train	1	M	5
Arcadia Vale	Truck	1	M	7
Arcadia Vale	Walked only	1	M	3
Ardglen	Car as driver	1	F	3
Ardglen	Car as driver	1	M	7
Arding	Car as driver	1	F	27
Arding	Car as driver	1	M	25
Arding	Motorbike scooter	1	M	3
Arding	Walked only	1	F	3
Arding	Walked only	1	M	3
Ardlethan			M	5
Ardlethan	Car as driver	1	F	27
Ardlethan	Car as driver	1	M	47
Ardlethan	Car as passenger	1	F	6
Ardlethan	Car as passenger	1	M	6
Ardlethan	Truck	1	M	3
Ardlethan	Walked only	1	F	11
Ardlethan	Walked only	1	M	9
Argalong	Car as driver	1	F	8
Argalong	Car as driver	1	M	10
Argenton	Bus	1	F	4
Argenton	Bus	1	M	3
Argenton	Car as driver	1	F	151
Argenton	Car as driver	1	M	196
Argenton	Car as passenger	1	F	14
Argenton	Car as passenger	1	M	10
Argenton	Motorbike scooter	1	M	3
Argenton	Other two methods	2	M	3
Argenton	Train	1	M	3
Argenton	Truck	1	M	10
Argenton	Walked only	1	F	6
Argenton	Walked only	1	M	8
Argents Hill	Car as driver	1	F	15
Argents Hill	Car as driver	1	M	23
Argents Hill	Truck	1	M	7
Argoon (NSW)	Car as driver	1	F	3
Argoon (NSW)	Car as driver	1	M	3
Ariah Park	(Other)	1	M	4
Ariah Park	Car as driver	1	F	37
Ariah Park	Car as driver	1	M	46
Ariah Park	Car as passenger	1	M	7
Ariah Park	Motorbike scooter	1	M	3
Ariah Park	Truck	1	M	4
Ariah Park	Walked only	1	F	13
Ariah Park	Walked only	1	M	15
Arkell	Car as driver	1	F	4
Arkell	Car as driver	1	M	3
Arkstone	Car as driver	1	F	3
Armatree	Car as driver	1	F	15
Armatree	Car as driver	1	M	16
Armatree	Other two methods	2	M	3
Armatree	Walked only	1	M	3
Armidale			F	55
Armidale			M	41
Armidale	(Other)	1	F	18
Armidale	(Other)	1	M	40
Armidale	Bicycle	1	F	23
Armidale	Bicycle	1	M	85
Armidale	Bus	1	F	23
Armidale	Bus	1	M	23
Armidale	Car as driver	1	F	3115
Armidale	Car as driver	1	M	3233
Armidale	Car as passenger	1	F	373
Armidale	Car as passenger	1	M	303
Armidale	Motorbike scooter	1	F	8
Armidale	Motorbike scooter	1	M	64
Armidale	Other two methods	2	F	24
Armidale	Other two methods	2	M	48
Armidale	Taxi	1	F	18
Armidale	Taxi	1	M	18
Armidale	Train	1	F	3
Armidale	Train	1	M	3
Armidale	Train and two other methods	3	F	3
Armidale	Train and two other methods	3	M	3
Armidale	Tram includes light rail	1	F	3
Armidale	Truck	1	F	6
Armidale	Truck	1	M	85
Armidale	Walked only	1	F	267
Armidale	Walked only	1	M	270
Arncliffe			F	19
Arncliffe			M	43
Arncliffe	(Other)	1	F	19
Arncliffe	(Other)	1	M	18
Arncliffe	Bicycle	1	F	3
Arncliffe	Bicycle	1	M	32
Arncliffe	Bus	1	F	48
Arncliffe	Bus	1	M	25
Arncliffe	Car as driver	1	F	824
Arncliffe	Car as driver	1	M	1336
Arncliffe	Car as passenger	1	F	131
Arncliffe	Car as passenger	1	M	91
Arncliffe	Motorbike scooter	1	F	3
Arncliffe	Motorbike scooter	1	M	24
Arncliffe	Other two methods	2	F	8
Arncliffe	Other two methods	2	M	18
Arncliffe	Taxi	1	F	3
Arncliffe	Taxi	1	M	14
Arncliffe	Train	1	F	748
Arncliffe	Train	1	M	670
Arncliffe	Train and two other methods	3	F	17
Arncliffe	Train and two other methods	3	M	15
Arncliffe	Tram includes light rail	1	M	3
Arncliffe	Truck	1	M	53
Arncliffe	Walked only	1	F	66
Arncliffe	Walked only	1	M	43
Arndell Park	Car as driver	1	F	3
Arndell Park	Car as driver	1	M	6
Arndell Park	Truck	1	M	4
Arrawarra	Car as driver	1	F	19
Arrawarra	Car as driver	1	M	30
Arrawarra	Car as passenger	1	F	9
Arrawarra	Walked only	1	F	3
