SSC_NAME16	ModeTravelToWork	NumberModes	Sex	employed_persons
Abbotsbury			F	13
Abbotsbury			M	10
Abbotsbury	(Other)	1	M	4
Abbotsbury	Bicycle	1	M	3
Abbotsbury	Bus	1	F	21
Abbotsbury	Bus	1	M	16
Abbotsbury	Car as driver	1	F	737
Abbotsbury	Car as driver	1	M	880
Abbotsbury	Car as passenger	1	F	70
Abbotsbury	Car as passenger	1	M	50
Abbotsbury	Motorbike scooter	1	M	3
Abbotsbury	Other two methods	2	F	7
Abbotsbury	Other two methods	2	M	17
Abbotsbury	Train	1	F	40
Abbotsbury	Train	1	M	37
Abbotsbury	Train and two other methods	3	F	7
Abbotsbury	Train and two other methods	3	M	12
Abbotsbury	Truck	1	M	42
Abbotsbury	Walked only	1	F	4
Abbotsbury	Walked only	1	M	6
Abbotsford (NSW)			F	4
Abbotsford (NSW)			M	11
Abbotsford (NSW)	(Other)	1	F	8
Abbotsford (NSW)	(Other)	1	M	12
Abbotsford (NSW)	Bicycle	1	F	12
Abbotsford (NSW)	Bicycle	1	M	14
Abbotsford (NSW)	Bus	1	F	209
Abbotsford (NSW)	Bus	1	M	127
Abbotsford (NSW)	Car as driver	1	F	658
Abbotsford (NSW)	Car as driver	1	M	824
Abbotsford (NSW)	Car as passenger	1	F	61
Abbotsford (NSW)	Car as passenger	1	M	24
Abbotsford (NSW)	Ferry	1	F	66
Abbotsford (NSW)	Ferry	1	M	73
Abbotsford (NSW)	Motorbike scooter	1	M	15
Abbotsford (NSW)	Other two methods	2	F	4
Abbotsford (NSW)	Other two methods	2	M	11
Abbotsford (NSW)	Train	1	F	4
Abbotsford (NSW)	Train	1	M	3
Abbotsford (NSW)	Train and two other methods	3	F	4
Abbotsford (NSW)	Train and two other methods	3	M	6
Abbotsford (NSW)	Tram includes light rail	1	F	3
Abbotsford (NSW)	Truck	1	M	11
Abbotsford (NSW)	Walked only	1	F	16
Abbotsford (NSW)	Walked only	1	M	15
Abercrombie			M	4
Abercrombie	(Other)	1	M	3
Abercrombie	Car as driver	1	F	198
