SSC_NAME16	AustCitizen	persons
Aarons Pass	0	0
Aarons Pass	1	22
Abbotsbury	0	349
Abbotsbury	1	3904
Abbotsford (NSW)	0	774
Abbotsford (NSW)	1	4599
Abercrombie	0	73
Abercrombie	1	1036
Abercrombie River	0	0
Abercrombie River	1	22
Aberdare	0	208
Aberdare	1	2265
Aberdeen (NSW)	0	205
Aberdeen (NSW)	1	1879
Aberfoyle	0	11
Aberfoyle	1	91
Aberglasslyn	0	446
Aberglasslyn	1	4955
Abermain	0	148
Abermain	1	2189
Abernethy	0	74
Abernethy	1	274
Abington (NSW)	0	0
Abington (NSW)	1	12
Acacia Creek	0	0
Acacia Creek	1	42
Acacia Gardens	0	563
Acacia Gardens	1	3235
Adaminaby	0	25
Adaminaby	1	276
Adamstown	0	450
Adamstown	1	5594
Adamstown Heights	0	317
Adamstown Heights	1	4982
Adelong	0	73
Adelong	1	870
Adjungbilly	0	3
Adjungbilly	1	78
Afterlee	0	5
Afterlee	1	45
Agnes Banks	0	79
Agnes Banks	1	832
Airds	0	528
Airds	1	2398
Akolele	0	44
Akolele	1	129
Albert	0	14
Albert	1	67
Albion Park	0	1019
Albion Park	1	12297
Albion Park Rail	0	709
Albion Park Rail	1	6209
Albury	0	651
Albury	1	4153
Aldavilla	0	583
Aldavilla	1	647
Alectown	0	12
Alectown	1	156
Alexandria	0	2089
Alexandria	1	6173
Alfords Point	0	214
Alfords Point	1	2895
Alfredtown	0	16
Alfredtown	1	93
Alice	0	-2
Alice	1	8
Alison (Central Coast - NSW)	0	11
Alison (Central Coast - NSW)	1	84
Alison (Dungog - NSW)	0	7
Alison (Dungog - NSW)	1	69
Allambie Heights	0	822
Allambie Heights	1	6187
Allandale (NSW)	0	7
Allandale (NSW)	1	66
Allawah	0	1935
Allawah	1	3771
Alleena	0	9
Alleena	1	52
Allgomera	0	16
Allgomera	1	115
Allworth	0	17
Allworth	1	149
Allynbrook	0	6
Allynbrook	1	58
Alma Park	0	2
Alma Park	1	53
Alpine	0	15
Alpine	1	120
Alstonvale	0	42
Alstonvale	1	400
Alstonville	0	464
Alstonville	1	5275
Alumy Creek	0	12
Alumy Creek	1	79
Amaroo (NSW)	0	2
Amaroo (NSW)	1	44
Ambarvale	0	1148
Ambarvale	1	6226
Amosfield	0	1
Amosfield	1	30
Anabranch North	0	0
Anabranch North	1	9
Anabranch South	0	0
Anabranch South	1	34
Anambah	0	11
Anambah	1	19
Ando	0	6
Ando	1	66
Anembo	0	16
Anembo	1	50
Angledale	0	16
Angledale	1	138
Angledool	0	10
Angledool	1	48
Anglers Reach	0	26
Anglers Reach	1	68
Angourie	0	34
Angourie	1	188
Anna Bay	0	533
Anna Bay	1	3313
Annandale (NSW)	0	1708
Annandale (NSW)	1	7743
Annangrove	0	107
Annangrove	1	1290
Appin (NSW)	0	246
Appin (NSW)	1	2387
Apple Tree Flat	0	10
Apple Tree Flat	1	31
Appleby	0	-1
Appleby	1	38
Appletree Flat	0	1
Appletree Flat	1	15
Apsley (NSW)	0	8
Apsley (NSW)	1	99
Arable	0	2
Arable	1	10
Arakoon	0	37
Arakoon	1	383
Araluen (NSW)	0	35
Araluen (NSW)	1	133
Aratula (NSW)	0	0
Aratula (NSW)	1	9
Arcadia (NSW)	0	126
Arcadia (NSW)	1	1259
Arcadia Vale	0	103
Arcadia Vale	1	1275
Ardglen	0	7
Ardglen	1	52
Arding	0	5
Arding	1	203
Ardlethan	0	89
Ardlethan	1	430
Argalong	0	0
Argalong	1	29
Argenton	0	114
Argenton	1	1237
Argents Hill	0	22
Argents Hill	1	199
Argoon (NSW)	0	0
Argoon (NSW)	1	13
Ariah Park	0	44
Ariah Park	1	449
Arkell	0	8
Arkell	1	35
Arkstone	0	3
Arkstone	1	19
Armatree	0	16
Armatree	1	137
Armidale	0	3594
Armidale	1	19758
Arncliffe	0	2854
Arncliffe	1	7736
Arndell Park	0	14
Arndell Park	1	13
Arrawarra	0	84
Arrawarra	1	439
Arrawarra Headland	0	72
Arrawarra Headland	1	485
Artarmon	0	2736
Artarmon	1	6787
Arthurville	0	-1
Arthurville	1	37
Arumpo	0	0
Arumpo	1	34
Ashbury	0	319
Ashbury	1	3010
Ashby (NSW)	0	32
Ashby (NSW)	1	294
Ashby Heights	0	27
Ashby Heights	1	205
Ashby Island	0	8
Ashby Island	1	8
Ashcroft	0	826
Ashcroft	1	2759
Ashfield (NSW)	0	8528
Ashfield (NSW)	1	15313
Ashford (NSW)	0	79
Ashford (NSW)	1	573
Ashley	0	30
Ashley	1	335
Ashmont	0	424
Ashmont	1	3404
Ashtonfield	0	383
Ashtonfield	1	4262
Asquith	0	540
Asquith	1	2836
Atholwood	0	0
Atholwood	1	79
Attunga	0	41
Attunga	1	530
Auburn (NSW)	0	14898
Auburn (NSW)	1	22468
Auburn Vale	0	6
Auburn Vale	1	117
Austinmer	0	287
Austinmer	1	2273
Austral	0	526
Austral	1	2498
Austral Eden	0	24
Austral Eden	1	124
Avalon Beach	0	1140
Avalon Beach	1	8765
Avisford	0	2
Avisford	1	24
Avoca (NSW)	0	11
Avoca (NSW)	1	188
Avoca Beach	0	531
Avoca Beach	1	4053
Avon (NSW)	0	0
Avon (NSW)	1	0
Avondale (NSW)	0	190
Avondale (NSW)	1	1463
Avonside	0	7
Avonside	1	111
Awaba	0	25
Awaba	1	377
Aylmerton	0	10
Aylmerton	1	184
Baan Baa	0	14
Baan Baa	1	149
Babinda (NSW)	0	0
Babinda (NSW)	1	0
Babyl Creek	0	0
Babyl Creek	1	9
Back Creek (Bland - NSW)	0	10
Back Creek (Bland - NSW)	1	42
Back Creek (Gwydir - NSW)	0	1
Back Creek (Gwydir - NSW)	1	12
Back Creek (Mid-Coast - NSW)	0	1
Back Creek (Mid-Coast - NSW)	1	19
Back Creek (Queanbeyan-Palerang Regional - NSW)	0	7
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	5
Back Creek (Tenterfield - NSW)	0	0
Back Creek (Tenterfield - NSW)	1	14
Back Creek (Tweed - NSW)	0	5
Back Creek (Tweed - NSW)	1	9
Back Forest	0	14
Back Forest	1	70
Backmede	0	19
Backmede	1	131
Backwater	0	3
Backwater	1	11
Badgerys Creek	0	23
Badgerys Creek	1	202
Badja	0	3
Badja	1	3
Baerami	0	19
Baerami	1	51
Baerami Creek	0	17
Baerami Creek	1	33
Bagnoo	0	0
Bagnoo	1	44
Bago	0	0
Bago	1	35
Bagotville	0	8
Bagotville	1	41
Bakers Creek (Mid-Coast - NSW)	0	10
Bakers Creek (Mid-Coast - NSW)	1	28
Bakers Creek (Nambucca - NSW)	0	4
Bakers Creek (Nambucca - NSW)	1	10
Bakers Creek (Uralla - NSW)	0	7
Bakers Creek (Uralla - NSW)	1	9
Bakers Swamp	0	13
Bakers Swamp	1	40
Balaclava (NSW)	0	79
Balaclava (NSW)	1	417
Balala	0	39
Balala	1	105
Balcolyn	0	89
Balcolyn	1	878
Bald Blair	0	3
Bald Blair	1	42
Bald Hills (NSW)	0	16
Bald Hills (NSW)	1	247
Bald Nob	0	-2
Bald Nob	1	11
Bald Ridge	0	0
Bald Ridge	1	9
Baldersleigh	0	7
Baldersleigh	1	47
Baldry	0	3
Baldry	1	93
Balfours Peak	0	9
Balfours Peak	1	29
Balgowlah	0	1488
Balgowlah	1	6473
Balgowlah Heights	0	413
Balgowlah Heights	1	2929
Balgownie	0	485
Balgownie	1	5040
Balickera	0	0
Balickera	1	27
Balladoran	0	8
Balladoran	1	100
Ballalaba	0	3
Ballalaba	1	19
Balldale	0	23
Balldale	1	133
Ballengarra	0	11
Ballengarra	1	83
Ballimore	0	32
Ballimore	1	165
Ballina	0	1145
Ballina	1	7510
Ballyroe	0	0
Ballyroe	1	3
Balmain	0	2172
Balmain	1	8281
Balmain East	0	385
Balmain East	1	1547
Balmoral (Lake Macquarie - NSW)	0	29
Balmoral (Lake Macquarie - NSW)	1	694
Balmoral (Wingecarribee - NSW)	0	38
Balmoral (Wingecarribee - NSW)	1	388
Balranald	0	148
Balranald	1	1195
Bamarang	0	7
Bamarang	1	22
Banda Banda	0	0
Banda Banda	1	0
Bandon Grove	0	11
Bandon Grove	1	108
Bangadang	0	0
Bangadang	1	11
Bangalee (NSW)	0	56
Bangalee (NSW)	1	601
Bangalow	0	273
Bangalow	1	1748
Bangheet	0	5
Bangheet	1	36
Bango	0	8
Bango	1	88
Bangor (NSW)	0	385
Bangor (NSW)	1	5183
Banksia	0	691
Banksia	1	2697
Banksmeadow	0	3
Banksmeadow	1	15
Bankstown	0	8651
Bankstown	1	23462
Bankstown Aerodrome	0	0
Bankstown Aerodrome	1	0
Bannaby	0	2
Bannaby	1	34
Bannister (NSW)	0	9
Bannister (NSW)	1	111
Banoon	0	6
Banoon	1	19
Banora Point	0	1579
Banora Point	1	14588
Banyabba	0	12
Banyabba	1	39
Bar Beach	0	177
Bar Beach	1	1079
Bar Point	0	7
Bar Point	1	57
Bara	0	0
Bara	1	25
Baradine	0	72
Baradine	1	688
Barangaroo	0	119
Barangaroo	1	70
Barcoongere	0	0
Barcoongere	1	0
Barden Ridge	0	246
Barden Ridge	1	4083
Bardia	0	373
Bardia	1	1229
Bardwell Park	0	261
Bardwell Park	1	1981
Bardwell Valley	0	306
Bardwell Valley	1	2017
Barellan	0	56
Barellan	1	482
Bargo	0	397
Bargo	1	3996
Barham	0	161
Barham	1	1357
Barigan	0	4
Barigan	1	5
Barkers Vale	0	27
Barkers Vale	1	138
Barmedman	0	50
Barmedman	1	409
Barneys Reef	0	0
Barneys Reef	1	0
Barnsley	0	83
Barnsley	1	1664
Barooga	0	216
Barooga	1	1601
Barraba	0	169
Barraba	1	1241
Barrack Heights	0	582
Barrack Heights	1	5318
Barrack Point	0	101
Barrack Point	1	588
