SSC_NAME16	AustCitizen	persons
Barraganyatti	0	16
Barraganyatti	1	123
Barragga Bay	0	2
Barragga Bay	1	92
Barratta (NSW)	0	3
Barratta (NSW)	1	0
Barren Grounds	0	0
Barren Grounds	1	0
Barrengarry	0	39
Barrengarry	1	161
Barretts Creek	0	0
Barretts Creek	1	13
Barringella	0	2
Barringella	1	29
Barrington (NSW)	0	31
Barrington (NSW)	1	330
Barrington Tops	0	0
Barrington Tops	1	0
Barry (Blayney - NSW)	0	13
Barry (Blayney - NSW)	1	153
Barry (Upper Hunter Shire - NSW)	0	1
Barry (Upper Hunter Shire - NSW)	1	3
Barwang	0	0
Barwang	1	80
Barwon	0	0
Barwon	1	33
Baryulgil	0	11
Baryulgil	1	79
Basin View	0	204
Basin View	1	1350
Bass Hill	0	1136
Bass Hill	1	7933
Bassendean (NSW)	0	0
Bassendean (NSW)	1	3
Batar Creek	0	18
Batar Creek	1	62
Bateau Bay	0	1079
Bateau Bay	1	11067
Batehaven	0	169
Batehaven	1	1607
Batemans Bay	0	246
Batemans Bay	1	1284
Bathampton	0	7
Bathampton	1	32
Bathurst	0	1098
Bathurst	1	5834
Batlow	0	216
Batlow	1	1097
Baulkham Hills	0	5888
Baulkham Hills	1	31162
Baw Baw (NSW)	0	35
Baw Baw (NSW)	1	225
Bawley Point	0	69
Bawley Point	1	629
Baxters Ridge	0	0
Baxters Ridge	1	0
Bayview (NSW)	0	510
Bayview (NSW)	1	3110
Beacon Hill	0	982
Beacon Hill	1	6475
Beaconsfield (NSW)	0	234
Beaconsfield (NSW)	1	753
Bean Creek	0	11
Bean Creek	1	64
Bearbong	0	7
Bearbong	1	53
Beaumont (NSW)	0	29
Beaumont (NSW)	1	96
Beaumont Hills	0	1154
Beaumont Hills	1	7888
Beckom	0	10
Beckom	1	115
Bective	0	19
Bective	1	187
Bectric	0	7
Bectric	1	47
Bedgerabong	0	19
Bedgerabong	1	130
Beechwood	0	45
Beechwood	1	570
Beecroft	0	1206
Beecroft	1	8190
Beecroft Peninsula	0	0
Beecroft Peninsula	1	0
Beelbangera	0	41
Beelbangera	1	368
Beemunnel	0	0
Beemunnel	1	17
Bega	0	470
Bega	1	4198
Beggan Beggan	0	7
Beggan Beggan	1	91
Belanglo	0	8
Belanglo	1	19
Belbora	0	26
Belbora	1	99
Belfield	0	866
Belfield	1	5456
Belford	0	19
Belford	1	152
Belfrayden	0	4
Belfrayden	1	26
Belgravia	0	6
Belgravia	1	112
Belimbla Park	0	46
Belimbla Park	1	535
Bell (NSW)	0	7
Bell (NSW)	1	44
Bella Vista	0	1259
Bella Vista	1	6578
Bellambi	0	473
Bellambi	1	3474
Bellangry	0	14
Bellangry	1	86
Bellata	0	40
Bellata	1	310
Bellawongarah	0	26
Bellawongarah	1	101
Bellbird	0	184
Bellbird	1	1848
Bellbird Heights	0	48
Bellbird Heights	1	740
Bellbrook	0	28
Bellbrook	1	245
Bellevue Hill	0	2158
Bellevue Hill	1	8558
Bellimbopinni	0	29
Bellimbopinni	1	94
Bellingen	0	410
Bellingen	1	3369
Bellmount Forest	0	0
Bellmount Forest	1	114
Belltrees	0	4
Belltrees	1	23
Belmont (NSW)	0	573
Belmont (NSW)	1	6541
Belmont North	0	389
Belmont North	1	5946
Belmont South	0	80
Belmont South	1	974
Belmore	0	2897
Belmore	1	9821
Belmore River	0	10
Belmore River	1	259
Beloka	0	-3
Beloka	1	20
Belowra	0	5
Belowra	1	4
Belrose	0	1045
Belrose	1	7735
Bemboka	0	61
Bemboka	1	516
Ben Bullen	0	23
Ben Bullen	1	77
Ben Lomond (NSW)	0	26
Ben Lomond (NSW)	1	126
Benandarah	0	45
Benandarah	1	121
Bendalong	0	20
Bendalong	1	75
Bendemeer	0	63
Bendemeer	1	429
Bendick Murrell	0	23
Bendick Murrell	1	132
Bendolba	0	13
Bendolba	1	192
Bendoura	0	16
Bendoura	1	54
Benerembah	0	24
Benerembah	1	106
Bengalla	0	8
Bengalla	1	18
Bennetts Green	0	-4
Bennetts Green	1	13
Benolong	0	0
Benolong	1	49
Bensville	0	208
Bensville	1	2337
Bentley (NSW)	0	27
Bentley (NSW)	1	170
Berala	0	2643
Berala	1	6406
Berambing	0	12
Berambing	1	94
Beresfield	0	331
Beresfield	1	2850
Bergalia	0	12
Bergalia	1	159
Berkeley	0	861
Berkeley	1	6744
Berkeley Vale	0	666
Berkeley Vale	1	7689
Berkshire Park	0	1129
Berkshire Park	1	1005
Berlang	0	0
Berlang	1	0
Bermagui	0	147
Bermagui	1	1389
Berowra	0	453
Berowra	1	4268
Berowra Creek	0	0
Berowra Creek	1	18
Berowra Heights	0	452
Berowra Heights	1	4812
Berowra Waters	0	69
Berowra Waters	1	51
Berrambool	0	43
Berrambool	1	413
Berrara	0	17
Berrara	1	280
Berremangra	0	6
Berremangra	1	75
Berrico	0	10
Berrico	1	22
Berridale	0	123
Berridale	1	1074
Berrigal	0	6
Berrigal	1	28
Berrigan	0	152
Berrigan	1	1108
Berrilee	0	25
Berrilee	1	199
Berrima	0	104
Berrima	1	562
Berringer Lake	0	0
Berringer Lake	1	26
Berry	0	230
Berry	1	2437
Berry Jerry	0	14
Berry Jerry	1	62
Berry Mountain	0	8
Berry Mountain	1	20
Berry Park	0	21
Berry Park	1	106
Berthong	0	7
Berthong	1	39
Beryl	0	23
Beryl	1	109
Bethungra	0	11
Bethungra	1	153
Bevendale	0	2
Bevendale	1	39
Beverley Park	0	341
Beverley Park	1	2052
Beverly Hills	0	1956
Beverly Hills	1	8200
Bewong	0	18
Bewong	1	65
Bexhill	0	34
Bexhill	1	461
Bexley	0	4186
Bexley	1	15547
Bexley North	0	609
Bexley North	1	3488
Biala	0	0
Biala	1	59
Bibbenluke	0	9
Bibbenluke	1	78
Biddon	0	4
Biddon	1	94
Bidgeemia	0	0
Bidgeemia	1	31
Bidwill (NSW)	0	914
Bidwill (NSW)	1	3366
Bielsdown Hills	0	6
Bielsdown Hills	1	93
Big Hill (NSW)	0	-2
Big Hill (NSW)	1	46
Big Jacks Creek	0	11
Big Jacks Creek	1	45
Big Ridge	0	0
Big Ridge	1	14
Big Springs	0	9
Big Springs	1	108
Bigga	0	47
Bigga	1	198
Bilambil	0	45
Bilambil	1	372
Bilambil Heights	0	437
Bilambil Heights	1	2927
Bilbul	0	62
Bilbul	1	493
Bilgola Beach	0	25
Bilgola Beach	1	215
Bilgola Plateau	0	395
Bilgola Plateau	1	3123
Billeroy	0	2
Billeroy	1	41
Billilingra	0	3
Billilingra	1	10
Billimari	0	29
Billimari	1	123
Billinudgel	0	40
Billinudgel	1	178
Billys Creek	0	11
Billys Creek	1	50
Billywillinga	0	23
Billywillinga	1	171
Bilpin	0	88
Bilpin	1	577
Bimberi	0	0
Bimberi	1	0
Bimbi	0	24
Bimbi	1	90
Bimbimbie	0	10
Bimbimbie	1	108
Binalong	0	46
Binalong	1	497
Binda	0	52
Binda	1	228
Bindera	0	5
Bindera	1	25
Bingara	0	178
Bingara	1	1250
Bingeebeebra Creek	0	9
Bingeebeebra Creek	1	26
Bingie	0	24
Bingie	1	172
Bingleburra	0	0
Bingleburra	1	25
Biniguy	0	29
Biniguy	1	118
Binjura	0	28
Binjura	1	293
Binna Burra (NSW)	0	34
Binna Burra (NSW)	1	184
Binnaway	0	61
Binnaway	1	541
Binya	0	4
Binya	1	136
Birchgrove	0	622
Birchgrove	1	2681
Birdwood (NSW)	0	4
Birdwood (NSW)	1	37
Birganbigil	0	4
Birganbigil	1	46
Birmingham Gardens	0	719
Birmingham Gardens	1	1657
Birriwa	0	7
Birriwa	1	42
Birrong	0	521
Birrong	1	2582
Bishops Bridge	0	41
Bishops Bridge	1	207
Bithramere	0	21
Bithramere	1	151
Black Creek (Port Macquarie-Hastings - NSW)	0	-4
Black Creek (Port Macquarie-Hastings - NSW)	1	50
Black Creek (Snowy Valleys - NSW)	0	2
Black Creek (Snowy Valleys - NSW)	1	15
Black Head	0	61
Black Head	1	790
Black Hill (NSW)	0	39
Black Hill (NSW)	1	521
Black Hollow	0	4
Black Hollow	1	20
Black Mountain (NSW)	0	41
Black Mountain (NSW)	1	269
Black Range (NSW)	0	26
Black Range (NSW)	1	176
Black Springs (NSW)	0	35
Black Springs (NSW)	1	190
Blackalls Park	0	176
Blackalls Park	1	2577
Blackbutt (NSW)	0	289
Blackbutt (NSW)	1	3012
Blackett	0	771
Blackett	1	2681
Blackheath	0	559
Blackheath	1	3837
Blackmans Flat	0	7
Blackmans Flat	1	21
Blackmans Point	0	21
Blackmans Point	1	149
Blacksmiths	0	108
Blacksmiths	1	1738
Blacktown	0	12204
Blacktown	1	34972
Blackville	0	17
Blackville	1	96
Blackwall (NSW)	0	227
Blackwall (NSW)	1	1661
Blair Athol (NSW)	0	319
Blair Athol (NSW)	1	2558
Blairmount	0	54
Blairmount	1	368
Blakebrook	0	15
Blakebrook	1	136
Blakehurst	0	650
Blakehurst	1	5569
Blakney Creek	0	6
Blakney Creek	1	54
Bland	0	10
Bland	1	36
Blandford	0	14
Blandford	1	169
Blaxland (NSW)	0	571
Blaxland (NSW)	1	6880
Blaxlands Creek	0	14
Blaxlands Creek	1	110
Blaxlands Ridge	0	60
Blaxlands Ridge	1	441
Blayney	0	320
Blayney	1	3058
Bligh Park	0	438
Bligh Park	1	5928
Blighty	0	11
Blighty	1	127
Blowering	0	0
Blowering	1	0
Blue Bay	0	121
Blue Bay	1	906
Blue Haven	0	528
Blue Haven	1	5850
Blue Knob	0	64
Blue Knob	1	157
Blue Mountains National Park	0	0
Blue Mountains National Park	1	0
Blue Nobby	0	2
Blue Nobby	1	22
Blue Vale	0	8
Blue Vale	1	54
Blueys Beach	0	6
Blueys Beach	1	177
Boambee	0	188
Boambee	1	1480
Boambee East	0	470
Boambee East	1	4773
Boambolo	0	4
Boambolo	1	49
Boat Harbour (Lismore - NSW)	0	16
Boat Harbour (Lismore - NSW)	1	123
Boat Harbour (Port Stephens - NSW)	0	62
Boat Harbour (Port Stephens - NSW)	1	897
Bobadah	0	-1
Bobadah	1	11
Bobin	0	22
Bobin	1	133
Bobs Creek	0	7
Bobs Creek	1	80
Bobs Farm	0	61
Bobs Farm	1	390
Bobundara	0	-1
Bobundara	1	14
Boco	0	0
Boco	1	3
Bocoble	0	26
Bocoble	1	126
Bocobra	0	12
Bocobra	1	42
Bodalla	0	57
Bodalla	1	682
Bodangora	0	22
Bodangora	1	57
Boeill Creek	0	13
Boeill Creek	1	88
Bogan	0	0
Bogan	1	11
Bogan Gate	0	49
Bogan Gate	1	240
Bogangar	0	366
Bogangar	1	2694
Bogee	0	7
Bogee	1	75
Boggabilla	0	81
Boggabilla	1	909
Boggabri	0	146
Boggabri	1	984
Bogong Peaks Wilderness	0	0
Bogong Peaks Wilderness	1	0
Bohena Creek	0	21
Bohena Creek	1	146
Bohnock	0	5
Bohnock	1	66
Bolaro	0	4
Bolaro	1	35
Bolivia	0	-1
Bolivia	1	67
Bolong	0	7
Bolong	1	97
Bolton Point	0	205
Bolton Point	1	1914
Bolwarra (NSW)	0	76
Bolwarra (NSW)	1	913
Bolwarra Heights	0	201
Bolwarra Heights	1	2778
Bom Bom	0	0
Bom Bom	1	3
Bomaderry	0	730
Bomaderry	1	5931
Bombah Point	0	4
Bombah Point	1	8
Bombala	0	130
Bombala	1	1257
Bombay	0	16
Bombay	1	101
Bombira	0	23
Bombira	1	325
Bombo	0	20
Bombo	1	92
Bombowlee	0	38
Bombowlee	1	255
Bombowlee Creek	0	6
Bombowlee Creek	1	45
Bomen	0	0
Bomen	1	25
Bomera	0	8
Bomera	1	31
Bonalbo	0	59
Bonalbo	1	312
Bondi	0	3509
Bondi	1	6536
Bondi Beach	0	4472
Bondi Beach	1	7184
Bondi Forest	0	0
Bondi Forest	1	0
Bondi Junction	0	3561
Bondi Junction	1	5884
Bonnells Bay	0	288
Bonnells Bay	1	3290
Bonnet Bay	0	176
Bonnet Bay	1	2086
Bonny Hills	0	231
Bonny Hills	1	2740
Bonnyrigg	0	1203
Bonnyrigg	1	7467
Bonnyrigg Heights	0	763
Bonnyrigg Heights	1	6540
Bonshaw (NSW)	0	27
Bonshaw (NSW)	1	106
Bonville	0	227
Bonville	1	2327
Booerie Creek	0	40
Booerie Creek	1	127
Book Book	0	18
Book Book	1	74
Booker Bay	0	168
Booker Bay	1	1158
Bookham	0	22
Bookham	1	139
Bookookoorara	0	3
Bookookoorara	1	27
Bookram	0	0
Bookram	1	0
Boolambayte	0	5
Boolambayte	1	82
Boolaroo	0	81
Boolaroo	1	958
Boolcarroll	0	0
Boolcarroll	1	14
Booligal	0	9
Booligal	1	86
Boolijah	0	0
Boolijah	1	0
Boomanoomana	0	28
Boomanoomana	1	71
Boomerang Beach	0	40
Boomerang Beach	1	258
Boomey	0	12
Boomey	1	64
Boomi	0	28
Boomi	1	173
Boomi Creek	0	4
Boomi Creek	1	16
Boona Mount	0	4
Boona Mount	1	18
Boonal	0	11
Boonal	1	32
Boonoo Boonoo	0	0
Boonoo Boonoo	1	16
Boorabee Park	0	13
Boorabee Park	1	91
Booragul	0	97
Booragul	1	1184
Booral (NSW)	0	41
Booral (NSW)	1	366
Boorga	0	0
Boorga	1	14
Boorganna	0	11
Boorganna	1	17
Boorolong	0	13
Boorolong	1	75
Boorook	0	7
Boorook	1	26
Boorooma	0	137
Boorooma	1	726
Booroorban	0	6
Booroorban	1	27
Boorowa	0	140
Boorowa	1	1501
Bootawa	0	34
Bootawa	1	135
Booti Booti	0	0
Booti Booti	1	0
Booyong	0	2
Booyong	1	74
Bora Ridge	0	12
Bora Ridge	1	101
Borah Creek	0	1
Borah Creek	1	30
Borambola	0	8
Borambola	1	99
Border Ranges	0	0
Border Ranges	1	0
Boree	0	10
Boree	1	83
Boree Creek	0	14
Boree Creek	1	185
Borenore	0	45
Borenore	1	417
Boro	0	19
Boro	1	75
Bossley Park	0	2383
Bossley Park	1	12202
Bostobrick	0	5
Bostobrick	1	131
Botany	0	1885
Botany	1	8932
Botobolar	0	2
Botobolar	1	85
Bottle Creek	0	-1
Bottle Creek	1	23
Bouddi	0	4
Bouddi	1	0
Bourbah	0	6
Bourbah	1	34
Bourke	0	379
Bourke	1	1530
Bourkelands	0	247
Bourkelands	1	2605
Bournda	0	31
Bournda	1	121
Bournewood	0	8
Bournewood	1	45
Bow Bowing	0	177
Bow Bowing	1	1425
Bowan Park	0	11
Bowan Park	1	106
Bowen Mountain	0	150
Bowen Mountain	1	1421
Bowenfels	0	320
Bowenfels	1	1728
Bowling Alley Point	0	2
Bowling Alley Point	1	30
Bowman	0	21
Bowman	1	118
Bowman Farm	0	5
Bowman Farm	1	42
Bowmans Creek	0	0
Bowmans Creek	1	8
Bowna	0	5
Bowna	1	105
Bowning	0	64
Bowning	1	509
Bowral	0	1184
Bowral	1	9151
Bowraville	0	115
Bowraville	1	1007
Box Head	0	0
Box Head	1	0
Box Hill (NSW)	0	81
Box Hill (NSW)	1	821
Box Ridge	0	1
Box Ridge	1	47
Boxers Creek	0	26
Boxers Creek	1	200
Boydtown	0	14
Boydtown	1	56
Bradbury (NSW)	0	1228
Bradbury (NSW)	1	7572
Braefield	0	2
Braefield	1	60
Braemar	0	42
Braemar	1	405
Braemar Bay	0	4
Braemar Bay	1	17
Braidwood	0	222
Braidwood	1	1429
Brandy Hill	0	47
Brandy Hill	1	627
Branxton	0	146
Branxton	1	1845
Braunstone	0	31
Braunstone	1	263
Brawboy	0	1
Brawboy	1	18
Bray Park (NSW)	0	78
Bray Park (NSW)	1	717
Brays Creek	0	15
Brays Creek	1	56
Brayton	0	28
Brayton	1	145
Breadalbane (NSW)	0	14
Breadalbane (NSW)	1	86
Breakfast Creek	0	7
Breakfast Creek	1	41
Breakfast Point	0	930
Breakfast Point	1	3258
Bream Beach	0	4
Bream Beach	1	9
Bredbo	0	49
Bredbo	1	303
Breelong	0	8
Breelong	1	51
Breeza	0	5
Breeza	1	141
Bretti	0	5
Bretti	1	23
Brewarrina	0	150
Brewarrina	1	993
Brewongle	0	12
Brewongle	1	112
Briarbrook	0	0
Briarbrook	1	10
Bribbaree	0	4
Bribbaree	1	137
Bridgman	0	4
Bridgman	1	196
Brierfield	0	31
Brierfield	1	302
Brighton-le-Sands	0	1823
Brighton-le-Sands	1	6502
Brightwaters	0	65
Brightwaters	1	838
Bril Bril	0	0
Bril Bril	1	0
Brimbin	0	8
Brimbin	1	53
Brindabella	0	0
Brindabella	1	22
Brinerville	0	0
Brinerville	1	0
Bringelly	0	245
Bringelly	1	2262
Bringenbrong	0	7
Bringenbrong	1	45
Brisbane Grove	0	21
Brisbane Grove	1	110
Broadmeadow	0	162
Broadmeadow	1	1430
Broadwater (Bega Valley - NSW)	0	9
Broadwater (Bega Valley - NSW)	1	108
Broadwater (Richmond Valley - NSW)	0	70
Broadwater (Richmond Valley - NSW)	1	570
Broadway	0	9
Broadway	1	30
Brobenah	0	0
Brobenah	1	15
Brocklehurst	0	49
Brocklehurst	1	312
Brocklesby	0	15
Brocklesby	1	168
Brockley	0	0
Brockley	1	43
Brodies Plains	0	10
Brodies Plains	1	48
Brogans Creek	0	0
Brogans Creek	1	10
Brogers Creek	0	12
Brogers Creek	1	27
Brogo	0	50
Brogo	1	453
Broke (NSW)	0	104
Broke (NSW)	1	475
Broken Head	0	37
Broken Head	1	237
Broken Hill	0	1724
Broken Hill	1	16090
Brombin	0	16
Brombin	1	100
Bronte	0	1344
Bronte	1	5389
Brookdale (NSW)	0	2
Brookdale (NSW)	1	24
Brookfield (NSW)	0	29
Brookfield (NSW)	1	176
Brooklana	0	6
Brooklana	1	36
Brooklet	0	31
Brooklet	1	226
Brooklyn (NSW)	0	95
Brooklyn (NSW)	1	627
Brookong	0	0
Brookong	1	8
Brookvale	0	773
Brookvale	1	2388
Brooman	0	0
Brooman	1	21
Brooms Head	0	15
Brooms Head	1	197
Broughams Gate	0	0
Broughams Gate	1	15
Broughton (NSW)	0	1
Broughton (NSW)	1	86
Broughton Vale	0	21
