SSC_NAME16	Address1YearAgo	Sex	persons
Aberglasslyn	(Same SA2)	F	208
Aberglasslyn	(Same SA2)	M	190
Aberglasslyn	New South Wales	F	300
Aberglasslyn	New South Wales	M	298
Aberglasslyn	Queensland	F	11
Aberglasslyn	Queensland	M	11
Aberglasslyn	Victoria	F	3
Aberglasslyn	Victoria	M	4
Abermain	(Overseas)	F	3
Abermain	(Overseas)	M	3
Abermain	(Same Address)	F	960
Abermain	(Same Address)	M	952
Abermain	(Same SA2)	F	28
Abermain	(Same SA2)	M	35
Abermain	New South Wales	F	60
Abermain	New South Wales	M	63
Abermain	Queensland	F	6
Abermain	Queensland	M	3
Abernethy	(Same Address)	F	115
Abernethy	(Same Address)	M	126
Abernethy	(Same SA2)	M	5
Abernethy	New South Wales	F	9
Abernethy	New South Wales	M	6
Abington (NSW)	(Same Address)	F	6
Abington (NSW)	(Same Address)	M	7
Abington (NSW)	New South Wales	F	3
Acacia Creek	(Same Address)	F	12
Acacia Creek	(Same Address)	M	11
Acacia Creek	Queensland	M	3
Acacia Gardens	(Overseas)	F	28
Acacia Gardens	(Overseas)	M	26
Acacia Gardens	(Same Address)	F	1617
Acacia Gardens	(Same Address)	M	1578
Acacia Gardens	(Same SA2)	F	11
Acacia Gardens	(Same SA2)	M	5
Acacia Gardens	New South Wales	F	143
Acacia Gardens	New South Wales	M	160
Acacia Gardens	Queensland	M	3
Adaminaby	(Overseas)	M	3
Adaminaby	(Same Address)	F	125
Adaminaby	(Same Address)	M	137
Adaminaby	(Same SA2)	F	3
Adaminaby	(Same SA2)	M	5
Adaminaby	New South Wales	F	7
Adaminaby	New South Wales	M	8
Adamstown	(Overseas)	F	22
Adamstown	(Overseas)	M	32
Adamstown	(Same Address)	F	2357
Adamstown	(Same Address)	M	2189
Adamstown	(Same SA2)	F	66
Adamstown	(Same SA2)	M	75
Adamstown	Australian Capital Territory	F	3
Adamstown	Australian Capital Territory	M	3
Adamstown	New South Wales	F	436
Adamstown	New South Wales	M	379
Adamstown	Northern Territory	F	11
Adamstown	Northern Territory	M	4
Adamstown	Queensland	F	9
Adamstown	Queensland	M	11
Adamstown	South Australia	F	7
Adamstown	South Australia	M	4
Adamstown	Tasmania	F	5
Adamstown	Victoria	M	7
Adamstown	Western Australia	F	3
Adamstown	Western Australia	M	3
Adamstown Heights	(Overseas)	F	12
Adamstown Heights	(Overseas)	M	7
Adamstown Heights	(Same Address)	F	2248
Adamstown Heights	(Same Address)	M	2243
Adamstown Heights	(Same SA2)	F	45
Adamstown Heights	(Same SA2)	M	60
Adamstown Heights	New South Wales	F	190
Adamstown Heights	New South Wales	M	175
Adamstown Heights	Queensland	F	8
Adamstown Heights	Queensland	M	4
Adamstown Heights	Tasmania	F	3
Adamstown Heights	Tasmania	M	4
Adamstown Heights	Victoria	F	8
Adamstown Heights	Victoria	M	4
Adamstown Heights	Western Australia	F	3
Adelong	(Same Address)	F	392
Adelong	(Same Address)	M	404
Adelong	(Same SA2)	F	8
Adelong	(Same SA2)	M	9
Adelong	New South Wales	F	24
Adelong	New South Wales	M	22
Adelong	Queensland	F	6
Adelong	Queensland	M	6
Adjungbilly	(Same Address)	F	33
Adjungbilly	(Same Address)	M	40
Afterlee	(Same Address)	F	19
Afterlee	(Same Address)	M	21
Agnes Banks	(Same Address)	F	359
Agnes Banks	(Same Address)	M	393
Agnes Banks	(Same SA2)	F	8
Agnes Banks	(Same SA2)	M	3
Agnes Banks	New South Wales	F	34
Agnes Banks	New South Wales	M	34
Airds	(Overseas)	F	6
Airds	(Overseas)	M	3
Airds	(Same Address)	F	1208
Airds	(Same Address)	M	988
Airds	(Same SA2)	F	28
Airds	(Same SA2)	M	27
Airds	New South Wales	F	112
Airds	New South Wales	M	97
Airds	Queensland	F	4
Airds	Queensland	M	3
Airds	Victoria	F	4
Akolele	(Same Address)	F	62
Akolele	(Same Address)	M	56
Akolele	(Same SA2)	M	3
Albert	(Same Address)	F	30
Albert	(Same Address)	M	33
Albion Park	(Overseas)	F	17
Albion Park	(Overseas)	M	25
Albion Park	(Same Address)	F	5702
Albion Park	(Same Address)	M	5290
Albion Park	(Same SA2)	F	195
Albion Park	(Same SA2)	M	209
Albion Park	New South Wales	F	486
Albion Park	New South Wales	M	420
Albion Park	Northern Territory	F	3
Albion Park	Northern Territory	M	3
Albion Park	Queensland	F	10
Albion Park	Queensland	M	13
Albion Park	South Australia	M	4
Albion Park	Victoria	F	3
Albion Park	Victoria	M	5
Albion Park	Western Australia	M	6
Albion Park Rail	(Overseas)	F	14
Albion Park Rail	(Overseas)	M	13
Albion Park Rail	(Same Address)	F	2805
Albion Park Rail	(Same Address)	M	2668
Albion Park Rail	(Same SA2)	F	49
Albion Park Rail	(Same SA2)	M	46
Albion Park Rail	New South Wales	F	323
Albion Park Rail	New South Wales	M	303
Albion Park Rail	Queensland	F	14
Albion Park Rail	Queensland	M	13
Albion Park Rail	Victoria	F	3
Albion Park Rail	Western Australia	F	3
Albion Park Rail	Western Australia	M	3
Albury	(Overseas)	F	24
Albury	(Overseas)	M	32
Albury	(Same Address)	F	1764
Albury	(Same Address)	M	1635
Albury	(Same SA2)	F	90
Albury	(Same SA2)	M	83
Albury	Australian Capital Territory	F	3
Albury	Australian Capital Territory	M	3
Albury	New South Wales	F	178
Albury	New South Wales	M	142
Albury	Queensland	F	18
Albury	Queensland	M	17
Albury	Tasmania	F	3
Albury	Victoria	F	90
Albury	Victoria	M	99
Albury	Western Australia	F	3
Albury	Western Australia	M	3
Aldavilla	(Same Address)	F	292
Aldavilla	(Same Address)	M	295
Aldavilla	(Same SA2)	F	7
Aldavilla	(Same SA2)	M	9
Aldavilla	New South Wales	F	22
Aldavilla	New South Wales	M	18
Alectown	(Same Address)	F	59
Alectown	(Same Address)	M	56
Alectown	New South Wales	F	10
Alectown	New South Wales	M	6
Alectown	Queensland	F	3
Alectown	South Australia	M	6
Alexandria	(Overseas)	F	164
Alexandria	(Overseas)	M	151
Alexandria	(Same Address)	F	2653
Alexandria	(Same Address)	M	2758
Alexandria	(Same SA2)	F	92
Alexandria	(Same SA2)	M	106
Alexandria	Australian Capital Territory	F	5
Alexandria	Australian Capital Territory	M	10
Alexandria	New South Wales	F	585
Alexandria	New South Wales	M	613
Alexandria	Queensland	F	36
Alexandria	Queensland	M	31
Alexandria	South Australia	F	11
Alexandria	South Australia	M	10
Alexandria	Tasmania	F	3
Alexandria	Tasmania	M	5
Alexandria	Victoria	F	23
Alexandria	Victoria	M	23
Alexandria	Western Australia	F	9
Alexandria	Western Australia	M	10
Alfords Point	(Overseas)	F	7
Alfords Point	(Overseas)	M	6
Alfords Point	(Same Address)	F	1393
Alfords Point	(Same Address)	M	1338
Alfords Point	(Same SA2)	F	14
Alfords Point	(Same SA2)	M	14
Alfords Point	New South Wales	F	91
Alfords Point	New South Wales	M	74
Alfords Point	Victoria	F	3
Alfredtown	(Same Address)	F	41
Alfredtown	(Same Address)	M	45
Alice	(Same Address)	F	3
Alice	(Same Address)	M	3
Alison (Central Coast - NSW)	(Same Address)	F	36
Alison (Central Coast - NSW)	(Same Address)	M	34
Alison (Central Coast - NSW)	New South Wales	F	3
Alison (Central Coast - NSW)	New South Wales	M	3
Alison (Dungog - NSW)	(Same Address)	F	31
Alison (Dungog - NSW)	(Same Address)	M	33
Allambie Heights	(Overseas)	F	32
Allambie Heights	(Overseas)	M	34
Allambie Heights	(Same Address)	F	3030
Allambie Heights	(Same Address)	M	2855
Allambie Heights	(Same SA2)	F	54
Allambie Heights	(Same SA2)	M	41
Allambie Heights	Australian Capital Territory	F	3
Allambie Heights	New South Wales	F	249
Allambie Heights	New South Wales	M	252
Allambie Heights	Northern Territory	F	3
Allambie Heights	Northern Territory	M	3
Allambie Heights	Queensland	F	4
Allambie Heights	Queensland	M	3
Allambie Heights	Victoria	F	3
Allambie Heights	Western Australia	F	3
Allandale (NSW)	(Same Address)	F	26
Allandale (NSW)	(Same Address)	M	32
Allandale (NSW)	New South Wales	F	5
Allandale (NSW)	New South Wales	M	3
Allawah	(Overseas)	F	149
Allawah	(Overseas)	M	139
Allawah	(Same Address)	F	2163
Allawah	(Same Address)	M	2112
Allawah	(Same SA2)	F	51
Allawah	(Same SA2)	M	53
Allawah	New South Wales	F	274
Allawah	New South Wales	M	304
Allawah	Queensland	F	6
Allawah	Queensland	M	3
Allawah	South Australia	M	3
Allawah	Victoria	F	4
Allawah	Victoria	M	3
Alleena	(Same Address)	F	19
Alleena	(Same Address)	M	27
Allgomera	(Same Address)	F	65
Allgomera	(Same Address)	M	47
Allgomera	New South Wales	M	3
Allworth	(Same Address)	F	61
Allworth	(Same Address)	M	75
Allworth	New South Wales	F	8
Allworth	New South Wales	M	9
Allynbrook	(Same Address)	F	25
Allynbrook	(Same Address)	M	31
Allynbrook	New South Wales	F	4
Allynbrook	New South Wales	M	3
Alma Park	(Same Address)	F	22
Alma Park	(Same Address)	M	29
Alpine	(Same Address)	F	56
Alpine	(Same Address)	M	47
Alpine	New South Wales	F	4
Alpine	New South Wales	M	10
Alstonvale	(Same Address)	F	184
Alstonvale	(Same Address)	M	171
Alstonvale	New South Wales	F	17
Alstonvale	New South Wales	M	12
Alstonvale	Queensland	F	10
Alstonvale	Queensland	M	12
Alstonville	(Overseas)	F	7
Alstonville	(Overseas)	M	14
Alstonville	(Same Address)	F	2496
Alstonville	(Same Address)	M	2114
Alstonville	(Same SA2)	F	119
Alstonville	(Same SA2)	M	93
Alstonville	Australian Capital Territory	F	3
Alstonville	New South Wales	F	197
Alstonville	New South Wales	M	159
Alstonville	Queensland	F	27
Alstonville	Queensland	M	20
Alstonville	Victoria	F	3
Alstonville	Victoria	M	5
Alstonville	Western Australia	F	3
Alstonville	Western Australia	M	7
Alumy Creek	(Same Address)	F	36
Alumy Creek	(Same Address)	M	30
Alumy Creek	(Same SA2)	F	7
Alumy Creek	(Same SA2)	M	3
Alumy Creek	New South Wales	F	3
Amaroo (NSW)	(Same Address)	F	20
Amaroo (NSW)	(Same Address)	M	14
Ambarvale	(Overseas)	F	38
Ambarvale	(Overseas)	M	25
Ambarvale	(Same Address)	F	2930
Ambarvale	(Same Address)	M	2806
Ambarvale	(Same SA2)	F	96
Ambarvale	(Same SA2)	M	70
Ambarvale	New South Wales	F	300
Ambarvale	New South Wales	M	291
Ambarvale	Queensland	F	3
Ambarvale	Queensland	M	7
Ambarvale	Victoria	F	3
Ambarvale	Victoria	M	6
Ambarvale	Western Australia	M	4
Amosfield	(Same Address)	F	10
Amosfield	(Same Address)	M	14
Amosfield	Queensland	F	3
Anabranch North	(Same Address)	F	3
Anabranch South	(Same Address)	F	10
Anabranch South	(Same Address)	M	22
Anabranch South	(Same SA2)	F	3
Anambah	(Same Address)	F	8
Anambah	(Same Address)	M	11
Ando	(Same Address)	F	30
Ando	(Same Address)	M	36
Anembo	(Same Address)	F	24
Anembo	(Same Address)	M	23
Anembo	Australian Capital Territory	M	3
Anembo	New South Wales	F	3
Angledale	(Same Address)	F	62
Angledale	(Same Address)	M	72
Angledool	(Same Address)	F	23
Angledool	(Same Address)	M	25
Anglers Reach	(Same Address)	F	21
Anglers Reach	(Same Address)	M	29
Anglers Reach	New South Wales	F	4
Anglers Reach	New South Wales	M	3
Angourie	(Same Address)	F	90
Angourie	(Same Address)	M	85
Angourie	(Same SA2)	F	4
Angourie	(Same SA2)	M	9
Anna Bay	(Overseas)	F	7
Anna Bay	(Overseas)	M	4
Anna Bay	(Same Address)	F	1461
Anna Bay	(Same Address)	M	1438
Anna Bay	(Same SA2)	F	73
Anna Bay	(Same SA2)	M	52
Anna Bay	New South Wales	F	163
Anna Bay	New South Wales	M	125
Anna Bay	Queensland	F	3
Anna Bay	Queensland	M	10
Anna Bay	Victoria	F	6
Anna Bay	Victoria	M	9
Annandale (NSW)	(Overseas)	F	124
Annandale (NSW)	(Overseas)	M	100
Annandale (NSW)	(Same Address)	F	3487
Annandale (NSW)	(Same Address)	M	3156
Annandale (NSW)	(Same SA2)	F	140
Annandale (NSW)	(Same SA2)	M	136
Annandale (NSW)	Australian Capital Territory	F	8
Annandale (NSW)	Australian Capital Territory	M	9
Annandale (NSW)	New South Wales	F	589
Annandale (NSW)	New South Wales	M	565
Annandale (NSW)	Northern Territory	M	4
Annandale (NSW)	Queensland	F	12
Annandale (NSW)	Queensland	M	20
Annandale (NSW)	South Australia	M	3
Annandale (NSW)	Tasmania	F	3
Annandale (NSW)	Victoria	F	24
Annandale (NSW)	Victoria	M	17
Annandale (NSW)	Western Australia	F	7
Annandale (NSW)	Western Australia	M	8
Annangrove	(Overseas)	F	6
Annangrove	(Overseas)	M	3
Annangrove	(Same Address)	F	557
Annangrove	(Same Address)	M	603
Annangrove	(Same SA2)	F	6
Annangrove	(Same SA2)	M	12
Annangrove	New South Wales	F	47
Annangrove	New South Wales	M	53
Annangrove	Queensland	F	3
Appin (NSW)	(Overseas)	F	3
Appin (NSW)	(Overseas)	M	6
Appin (NSW)	(Same Address)	F	927
Appin (NSW)	(Same Address)	M	979
Appin (NSW)	(Same SA2)	F	34
Appin (NSW)	(Same SA2)	M	25
Appin (NSW)	New South Wales	F	208
Appin (NSW)	New South Wales	M	203
Appin (NSW)	Queensland	F	3
Apple Tree Flat	(Same Address)	F	14
Apple Tree Flat	(Same Address)	M	14
Appleby	(Same Address)	F	17
Appleby	(Same Address)	M	14
Appletree Flat	(Same Address)	F	6
Appletree Flat	(Same Address)	M	3
Apsley (NSW)	(Same Address)	F	44
Apsley (NSW)	(Same Address)	M	50
Apsley (NSW)	New South Wales	F	3
Arable	(Same Address)	F	4
Arable	(Same Address)	M	7
Arakoon	(Overseas)	M	3
Arakoon	(Same Address)	F	153
Arakoon	(Same Address)	M	166
Arakoon	(Same SA2)	F	17
Arakoon	(Same SA2)	M	19
Arakoon	New South Wales	F	8
Arakoon	New South Wales	M	11
Arakoon	Queensland	M	3
Araluen (NSW)	(Same Address)	F	58
Araluen (NSW)	(Same Address)	M	65
Araluen (NSW)	Australian Capital Territory	M	3
Araluen (NSW)	New South Wales	F	4
Araluen (NSW)	New South Wales	M	4
Aratula (NSW)	(Same Address)	F	5
Arcadia (NSW)	(Overseas)	F	4
Arcadia (NSW)	(Same Address)	F	589
Arcadia (NSW)	(Same Address)	M	604
Arcadia (NSW)	(Same SA2)	F	8
Arcadia (NSW)	(Same SA2)	M	4
Arcadia (NSW)	New South Wales	F	34
Arcadia (NSW)	New South Wales	M	48
Arcadia (NSW)	Queensland	F	4
Arcadia Vale	(Overseas)	F	7
Arcadia Vale	(Overseas)	M	3
Arcadia Vale	(Same Address)	F	534
Arcadia Vale	(Same Address)	M	544
Arcadia Vale	(Same SA2)	F	26
Arcadia Vale	(Same SA2)	M	21
Arcadia Vale	New South Wales	F	61
Arcadia Vale	New South Wales	M	68
Arcadia Vale	Northern Territory	M	3
Arcadia Vale	Queensland	F	4
Arcadia Vale	Queensland	M	3
Arcadia Vale	Victoria	M	4
Ardglen	(Same Address)	F	25
Ardglen	(Same Address)	M	20
Ardglen	(Same SA2)	M	3
Arding	(Same Address)	F	90
Arding	(Same Address)	M	94
Arding	(Same SA2)	F	3
Arding	New South Wales	F	6
Arding	New South Wales	M	3
Arding	Queensland	M	3
Ardlethan	(Same Address)	F	183
Ardlethan	(Same Address)	M	191
Ardlethan	(Same SA2)	F	6
Ardlethan	(Same SA2)	M	8
Ardlethan	New South Wales	F	12
Ardlethan	New South Wales	M	9
Argalong	(Same Address)	F	19
Argalong	(Same Address)	M	11
Argenton	(Overseas)	F	3
Argenton	(Same Address)	F	507
Argenton	(Same Address)	M	534
Argenton	(Same SA2)	F	13
Argenton	(Same SA2)	M	13
Argenton	New South Wales	F	66
Argenton	New South Wales	M	60
Argenton	Tasmania	M	3
Argents Hill	(Same Address)	F	76
Argents Hill	(Same Address)	M	109
Argents Hill	(Same SA2)	F	3
Argents Hill	New South Wales	F	8
Argents Hill	New South Wales	M	6
Argoon (NSW)	(Same Address)	F	10
Argoon (NSW)	(Same Address)	M	10
Ariah Park	(Same Address)	F	196
Ariah Park	(Same Address)	M	205
Ariah Park	(Same SA2)	F	3
Ariah Park	(Same SA2)	M	3
Ariah Park	New South Wales	F	16
Ariah Park	New South Wales	M	17
Arkell	(Same Address)	F	11
Arkell	(Same Address)	M	24
Arkstone	(Same Address)	F	10
Arkstone	(Same Address)	M	12
Armatree	(Same Address)	F	62
Armatree	(Same Address)	M	66
Armatree	(Same SA2)	M	4
Armatree	New South Wales	M	3
Armidale	(Overseas)	F	232
Armidale	(Overseas)	M	182
Armidale	(Same Address)	F	8468
Armidale	(Same Address)	M	7875
Armidale	(Same SA2)	F	1213
Armidale	(Same SA2)	M	1038
Armidale	Australian Capital Territory	F	6
Armidale	Australian Capital Territory	M	14
Armidale	New South Wales	F	816
Armidale	New South Wales	M	652
Armidale	Northern Territory	F	5
Armidale	Northern Territory	M	8
Armidale	Queensland	F	113
Armidale	Queensland	M	89
Armidale	South Australia	F	3
Armidale	South Australia	M	4
Armidale	Tasmania	F	3
Armidale	Tasmania	M	8
Armidale	Victoria	F	31
Armidale	Victoria	M	27
Armidale	Western Australia	F	13
Armidale	Western Australia	M	14
Arncliffe	(Overseas)	F	189
Arncliffe	(Overseas)	M	217
Arncliffe	(Same Address)	F	4016
Arncliffe	(Same Address)	M	3954
Arncliffe	(Same SA2)	F	114
Arncliffe	(Same SA2)	M	100
Arncliffe	Australian Capital Territory	F	8
Arncliffe	Australian Capital Territory	M	8
Arncliffe	New South Wales	F	464
Arncliffe	New South Wales	M	504
Arncliffe	Queensland	F	20
Arncliffe	Queensland	M	18
Arncliffe	South Australia	F	3
Arncliffe	South Australia	M	7
Arncliffe	Victoria	F	15
Arncliffe	Victoria	M	9
Arncliffe	Western Australia	F	3
Arncliffe	Western Australia	M	6
Arndell Park	(Same Address)	F	3
Arndell Park	(Same Address)	M	8
Arrawarra	(Overseas)	F	3
Arrawarra	(Same Address)	F	198
Arrawarra	(Same Address)	M	186
Arrawarra	(Same SA2)	F	3
Arrawarra	(Same SA2)	M	12
Arrawarra	New South Wales	F	7
Arrawarra	New South Wales	M	16
Arrawarra	Queensland	F	3
Arrawarra	Queensland	M	3
Arrawarra	Victoria	F	4
Arrawarra Headland	(Overseas)	F	3
Arrawarra Headland	(Overseas)	M	4
Arrawarra Headland	(Same Address)	F	213
Arrawarra Headland	(Same Address)	M	216
Arrawarra Headland	(Same SA2)	F	11
Arrawarra Headland	(Same SA2)	M	11
Arrawarra Headland	New South Wales	F	18
Arrawarra Headland	New South Wales	M	16
Arrawarra Headland	Northern Territory	F	7
Arrawarra Headland	Northern Territory	M	3
Arrawarra Headland	Queensland	F	4
Arrawarra Headland	Queensland	M	3
Artarmon	(Overseas)	F	211
Artarmon	(Overseas)	M	187
Artarmon	(Same Address)	F	3599
Artarmon	(Same Address)	M	3408
Artarmon	(Same SA2)	F	117
Artarmon	(Same SA2)	M	118
Artarmon	Australian Capital Territory	F	4
Artarmon	Australian Capital Territory	M	7
Artarmon	New South Wales	F	511
Artarmon	New South Wales	M	487
Artarmon	Queensland	F	12
Artarmon	Queensland	M	12
Artarmon	South Australia	F	4
Artarmon	South Australia	M	3
Artarmon	Victoria	F	12
Artarmon	Victoria	M	17
Artarmon	Western Australia	F	3
Artarmon	Western Australia	M	4
Arthurville	(Same Address)	F	16
Arthurville	(Same Address)	M	15
Arumpo	(Same Address)	F	15
Arumpo	(Same Address)	M	15
Ashbury	(Overseas)	F	17
Ashbury	(Overseas)	M	9
Ashbury	(Same Address)	F	1445
Ashbury	(Same Address)	M	1424
Ashbury	(Same SA2)	F	8
Ashbury	(Same SA2)	M	11
Ashbury	New South Wales	F	85
Ashbury	New South Wales	M	89
Ashbury	South Australia	F	3
Ashbury	Victoria	F	7
Ashby (NSW)	(Same Address)	F	129
Ashby (NSW)	(Same Address)	M	123
Ashby (NSW)	New South Wales	F	18
Ashby (NSW)	New South Wales	M	12
Ashby Heights	(Overseas)	M	3
Ashby Heights	(Same Address)	F	85
Ashby Heights	(Same Address)	M	88
Ashby Heights	New South Wales	F	14
Ashby Heights	New South Wales	M	8
Ashby Island	(Same Address)	F	3
Ashby Island	(Same Address)	M	4
Ashcroft	(Overseas)	F	7
Ashcroft	(Overseas)	M	11
Ashcroft	(Same Address)	F	1382
Ashcroft	(Same Address)	M	1301
Ashcroft	(Same SA2)	F	32
Ashcroft	(Same SA2)	M	39
Ashcroft	New South Wales	F	141
Ashcroft	New South Wales	M	130
Ashcroft	Victoria	F	3
Ashcroft	Victoria	M	3
Ashcroft	Western Australia	F	3
Ashcroft	Western Australia	M	3
Ashfield (NSW)	(Overseas)	F	651
Ashfield (NSW)	(Overseas)	M	623
Ashfield (NSW)	(Same Address)	F	8598
Ashfield (NSW)	(Same Address)	M	8232
Ashfield (NSW)	(Same SA2)	F	432
Ashfield (NSW)	(Same SA2)	M	467
Ashfield (NSW)	Australian Capital Territory	F	13
Ashfield (NSW)	Australian Capital Territory	M	12
Ashfield (NSW)	New South Wales	F	1194
Ashfield (NSW)	New South Wales	M	1225
Ashfield (NSW)	Northern Territory	F	3
Ashfield (NSW)	Queensland	F	20
Ashfield (NSW)	Queensland	M	22
Ashfield (NSW)	South Australia	F	16
Ashfield (NSW)	South Australia	M	18
Ashfield (NSW)	Tasmania	F	3
Ashfield (NSW)	Tasmania	M	11
Ashfield (NSW)	Victoria	F	36
Ashfield (NSW)	Victoria	M	29
Ashfield (NSW)	Western Australia	F	13
Ashfield (NSW)	Western Australia	M	12
Ashford (NSW)	(Same Address)	F	244
Ashford (NSW)	(Same Address)	M	256
Ashford (NSW)	(Same SA2)	F	8
Ashford (NSW)	(Same SA2)	M	8
Ashford (NSW)	New South Wales	F	21
Ashford (NSW)	New South Wales	M	16
Ashford (NSW)	Northern Territory	F	3
Ashford (NSW)	Northern Territory	M	3
Ashford (NSW)	Queensland	F	5
Ashford (NSW)	Queensland	M	11
Ashley	(Same Address)	F	140
Ashley	(Same Address)	M	151
Ashley	(Same SA2)	F	9
Ashley	(Same SA2)	M	9
Ashley	New South Wales	F	10
Ashley	New South Wales	M	10
Ashmont	(Overseas)	F	3
Ashmont	(Overseas)	M	6
Ashmont	(Same Address)	F	1463
Ashmont	(Same Address)	M	1326
Ashmont	(Same SA2)	F	83
Ashmont	(Same SA2)	M	70
Ashmont	Australian Capital Territory	F	4
Ashmont	Australian Capital Territory	M	3
Ashmont	New South Wales	F	202
Ashmont	New South Wales	M	167
Ashmont	Queensland	F	11
Ashmont	Queensland	M	5
Ashmont	Victoria	F	7
Ashmont	Victoria	M	5
Ashtonfield	(Overseas)	F	12
Ashtonfield	(Overseas)	M	10
Ashtonfield	(Same Address)	F	1894
Ashtonfield	(Same Address)	M	1830
Ashtonfield	(Same SA2)	F	107
Ashtonfield	(Same SA2)	M	88
Ashtonfield	New South Wales	F	160
Ashtonfield	New South Wales	M	148
Ashtonfield	Northern Territory	M	4
Ashtonfield	Queensland	F	12
Ashtonfield	Queensland	M	6
Ashtonfield	Victoria	F	13
Ashtonfield	Victoria	M	7
Ashtonfield	Western Australia	F	5
Asquith	(Overseas)	F	26
Asquith	(Overseas)	M	24
Asquith	(Same Address)	F	1392
Asquith	(Same Address)	M	1264
Asquith	(Same SA2)	F	40
Asquith	(Same SA2)	M	30
Asquith	New South Wales	F	174
Asquith	New South Wales	M	178
Asquith	Victoria	F	6
Atholwood	(Same Address)	F	37
Atholwood	(Same Address)	M	34
Attunga	(Same Address)	F	223
Attunga	(Same Address)	M	243
Attunga	(Same SA2)	F	10
Attunga	(Same SA2)	M	12
Attunga	New South Wales	F	17
Attunga	New South Wales	M	14
Auburn (NSW)	(Overseas)	F	860
Auburn (NSW)	(Overseas)	M	1185
Auburn (NSW)	(Same Address)	F	12855
Auburn (NSW)	(Same Address)	M	14726
Auburn (NSW)	(Same SA2)	F	475
Auburn (NSW)	(Same SA2)	M	769
Auburn (NSW)	Australian Capital Territory	M	7
Auburn (NSW)	New South Wales	F	1115
Auburn (NSW)	New South Wales	M	1740
Auburn (NSW)	Northern Territory	M	13
Auburn (NSW)	Queensland	F	17
Auburn (NSW)	Queensland	M	64
Auburn (NSW)	South Australia	F	11
Auburn (NSW)	South Australia	M	88
Auburn (NSW)	Tasmania	F	7
Auburn (NSW)	Tasmania	M	4
Auburn (NSW)	Victoria	F	35
Auburn (NSW)	Victoria	M	93
Auburn (NSW)	Western Australia	F	4
Auburn (NSW)	Western Australia	M	73
Auburn Vale	(Same Address)	F	44
Auburn Vale	(Same Address)	M	46
Auburn Vale	New South Wales	F	9
Auburn Vale	New South Wales	M	4
Austinmer	(Overseas)	F	13
Austinmer	(Overseas)	M	20
Austinmer	(Same Address)	F	1016
Austinmer	(Same Address)	M	982
Austinmer	(Same SA2)	F	48
Austinmer	(Same SA2)	M	49
Austinmer	New South Wales	F	95
Austinmer	New South Wales	M	83
Austinmer	Northern Territory	F	4
Austinmer	Queensland	F	6
Austinmer	Queensland	M	7
Austinmer	Victoria	F	3
Austinmer	Victoria	M	8
Austral	(Overseas)	F	9
Austral	(Same Address)	F	1178
Austral	(Same Address)	M	1218
Austral	(Same SA2)	F	27
Austral	(Same SA2)	M	16
