SSC_NAME16	Address1YearAgo	Sex	persons
Aarons Pass	(Same Address)	F	6
Aarons Pass	(Same Address)	M	12
Abbotsbury	(Overseas)	F	16
Abbotsbury	(Overseas)	M	12
Abbotsbury	(Same Address)	F	1890
Abbotsbury	(Same Address)	M	1806
Abbotsbury	(Same SA2)	F	28
Abbotsbury	(Same SA2)	M	21
Abbotsbury	New South Wales	F	140
Abbotsbury	New South Wales	M	119
Abbotsbury	Victoria	F	4
Abbotsford (NSW)	(Overseas)	F	32
Abbotsford (NSW)	(Overseas)	M	38
Abbotsford (NSW)	(Same Address)	F	2175
Abbotsford (NSW)	(Same Address)	M	1970
Abbotsford (NSW)	(Same SA2)	F	79
Abbotsford (NSW)	(Same SA2)	M	71
Abbotsford (NSW)	New South Wales	F	219
Abbotsford (NSW)	New South Wales	M	188
Abbotsford (NSW)	Northern Territory	M	3
Abbotsford (NSW)	Queensland	F	6
Abbotsford (NSW)	Queensland	M	3
Abbotsford (NSW)	Tasmania	F	3
Abbotsford (NSW)	Tasmania	M	3
Abbotsford (NSW)	Victoria	F	3
Abbotsford (NSW)	Victoria	M	3
Abbotsford (NSW)	Western Australia	F	5
Abbotsford (NSW)	Western Australia	M	3
Abercrombie	(Same Address)	F	442
Abercrombie	(Same Address)	M	415
Abercrombie	(Same SA2)	F	41
Abercrombie	(Same SA2)	M	36
Abercrombie	New South Wales	F	49
Abercrombie	New South Wales	M	47
Abercrombie	Western Australia	M	3
Abercrombie River	(Same Address)	F	12
Abercrombie River	(Same Address)	M	9
Aberdare	(Same Address)	F	950
Aberdare	(Same Address)	M	939
Aberdare	(Same SA2)	F	63
Aberdare	(Same SA2)	M	70
Aberdare	New South Wales	F	100
Aberdare	New South Wales	M	90
Aberdare	Queensland	F	9
Aberdare	Queensland	M	9
Aberdare	Tasmania	F	4
Aberdeen (NSW)	(Same Address)	F	815
Aberdeen (NSW)	(Same Address)	M	830
Aberdeen (NSW)	(Same SA2)	F	35
Aberdeen (NSW)	(Same SA2)	M	39
Aberdeen (NSW)	New South Wales	F	69
Aberdeen (NSW)	New South Wales	M	61
Aberdeen (NSW)	Victoria	F	3
Aberfoyle	(Same Address)	F	32
Aberfoyle	(Same Address)	M	37
Aberfoyle	(Same SA2)	F	3
Aberfoyle	(Same SA2)	M	3
Aberfoyle	Queensland	F	5
Aberfoyle	Queensland	M	3
Aberglasslyn	(Overseas)	F	15
Aberglasslyn	(Overseas)	M	5
Aberglasslyn	(Same Address)	F	2043
Aberglasslyn	(Same Address)	M	1931
