SSC_NAME16	CountryOfBirth	persons
Aarons Pass		3
Aarons Pass	AUS	15
Aarons Pass	GBR	3
Abbotsbury		392
Abbotsbury	AFG	5
Abbotsbury	AUS	2655
Abbotsbury	BIH	16
Abbotsbury	CAN	3
Abbotsbury	CHL	33
Abbotsbury	CHN	30
Abbotsbury	DEU	8
Abbotsbury	EGY	20
Abbotsbury	FJI	31
Abbotsbury	FRA	4
Abbotsbury	GBR	54
Abbotsbury	GRC	17
Abbotsbury	HKG	6
Abbotsbury	HRV	59
Abbotsbury	IDN	5
Abbotsbury	IND	12
Abbotsbury	IRL	5
Abbotsbury	IRN	48
Abbotsbury	IRQ	297
Abbotsbury	ITA	149
Abbotsbury	KHM	30
Abbotsbury	KOR	3
Abbotsbury	LBN	41
Abbotsbury	LKA	8
Abbotsbury	MKD	18
Abbotsbury	MLT	36
Abbotsbury	MYS	11
Abbotsbury	NLD	3
Abbotsbury	NZL	45
Abbotsbury	PAK	4
Abbotsbury	PHL	64
Abbotsbury	POL	8
Abbotsbury	SGP	3
Abbotsbury	THA	3
Abbotsbury	TUR	27
Abbotsbury	TWN	3
Abbotsbury	USA	6
Abbotsbury	VNM	113
Abbotsbury	ZAF	7
Abbotsford (NSW)		564
Abbotsford (NSW)	AUS	3415
Abbotsford (NSW)	BIH	9
Abbotsford (NSW)	CAN	7
Abbotsford (NSW)	CHL	17
Abbotsford (NSW)	CHN	165
Abbotsford (NSW)	DEU	20
Abbotsford (NSW)	EGY	17
Abbotsford (NSW)	FJI	6
Abbotsford (NSW)	FRA	11
Abbotsford (NSW)	GBR	219
Abbotsford (NSW)	GRC	30
Abbotsford (NSW)	HKG	47
Abbotsford (NSW)	HRV	12
Abbotsford (NSW)	IDN	16
Abbotsford (NSW)	IND	23
Abbotsford (NSW)	IRL	37
Abbotsford (NSW)	IRN	13
Abbotsford (NSW)	IRQ	3
Abbotsford (NSW)	ITA	295
Abbotsford (NSW)	JPN	11
Abbotsford (NSW)	KHM	3
Abbotsford (NSW)	KOR	42
Abbotsford (NSW)	LBN	18
Abbotsford (NSW)	LKA	8
Abbotsford (NSW)	MKD	4
Abbotsford (NSW)	MLT	10
Abbotsford (NSW)	MMR	4
Abbotsford (NSW)	MUS	6
Abbotsford (NSW)	MYS	24
Abbotsford (NSW)	NLD	9
Abbotsford (NSW)	NZL	79
Abbotsford (NSW)	PHL	40
Abbotsford (NSW)	PNG	3
Abbotsford (NSW)	POL	11
Abbotsford (NSW)	SGP	16
Abbotsford (NSW)	THA	24
Abbotsford (NSW)	TUR	22
Abbotsford (NSW)	TWN	4
Abbotsford (NSW)	USA	26
Abbotsford (NSW)	VNM	36
Abbotsford (NSW)	ZAF	40
Abbotsford (NSW)	ZWE	3
Abercrombie		55
Abercrombie	AUS	978
Abercrombie	CAN	3
Abercrombie	CHN	6
Abercrombie	DEU	3
Abercrombie	FJI	4
Abercrombie	GBR	23
Abercrombie	IND	4
Abercrombie	LKA	5
Abercrombie	MYS	7
Abercrombie	NZL	10
Abercrombie	PHL	6
Abercrombie	ZAF	9
Abercrombie River	AUS	19
Aberdare		195
Aberdare	AUS	2179
Aberdare	CHN	5
Aberdare	FJI	5
Aberdare	GBR	45
Aberdare	IND	8
Aberdare	NZL	18
Aberdare	PHL	9
Aberdeen (NSW)		204
Aberdeen (NSW)	AUS	1797
Aberdeen (NSW)	CHN	4
Aberdeen (NSW)	DEU	3
Aberdeen (NSW)	GBR	27
Aberdeen (NSW)	NLD	4
Aberdeen (NSW)	NZL	19
Aberdeen (NSW)	PHL	11
Aberdeen (NSW)	THA	3
Aberdeen (NSW)	USA	3
Aberdeen (NSW)	ZAF	7
Aberfoyle		10
Aberfoyle	AUS	93
Aberglasslyn		237
Aberglasslyn	AUS	4738
Aberglasslyn	CAN	14
Aberglasslyn	CHN	3
Aberglasslyn	DEU	11
Aberglasslyn	FJI	5
Aberglasslyn	GBR	104
Aberglasslyn	GRC	3
Aberglasslyn	IND	63
Aberglasslyn	IRL	5
Aberglasslyn	JPN	7
Aberglasslyn	KOR	3
Aberglasslyn	LKA	5
Aberglasslyn	NZL	76
Aberglasslyn	PHL	26
Aberglasslyn	PNG	3
Aberglasslyn	POL	7
Aberglasslyn	THA	11
Aberglasslyn	USA	4
Aberglasslyn	VNM	6
Aberglasslyn	ZAF	39
Aberglasslyn	ZWE	16
Abermain		170
Abermain	AUS	2087
Abermain	DEU	8
Abermain	GBR	36
Abermain	MYS	5
Abermain	NZL	18
Abermain	PHL	8
Abermain	USA	3
Abermain	ZAF	4
Abernethy		79
Abernethy	AUS	255
Abernethy	GBR	7
Abington (NSW)	AUS	12
Acacia Creek	AUS	34
Acacia Creek	ZAF	3
Acacia Gardens		244
Acacia Gardens	AFG	34
Acacia Gardens	AUS	2108
Acacia Gardens	BGD	16
