SSC_NAME16	CountryOfBirth	persons
Acacia Gardens	BIH	5
Acacia Gardens	CAN	7
Acacia Gardens	CHL	16
Acacia Gardens	CHN	41
Acacia Gardens	DEU	5
Acacia Gardens	EGY	22
Acacia Gardens	FJI	73
Acacia Gardens	GBR	77
Acacia Gardens	GRC	6
Acacia Gardens	HKG	17
Acacia Gardens	HRV	8
Acacia Gardens	IDN	38
Acacia Gardens	IND	440
Acacia Gardens	IRL	6
Acacia Gardens	IRN	28
Acacia Gardens	IRQ	5
Acacia Gardens	ITA	8
Acacia Gardens	KOR	11
Acacia Gardens	LBN	10
Acacia Gardens	LKA	67
Acacia Gardens	MLT	20
Acacia Gardens	MMR	3
Acacia Gardens	MUS	8
Acacia Gardens	MYS	15
Acacia Gardens	NLD	3
Acacia Gardens	NPL	18
Acacia Gardens	NZL	61
Acacia Gardens	PAK	45
Acacia Gardens	PHL	208
Acacia Gardens	POL	12
Acacia Gardens	SGP	19
Acacia Gardens	THA	4
Acacia Gardens	TUR	12
Acacia Gardens	USA	9
Acacia Gardens	VNM	8
Acacia Gardens	ZAF	47
Acacia Gardens	ZWE	4
Adaminaby		30
Adaminaby	AUS	239
Adaminaby	FRA	3
Adaminaby	GBR	25
Adaminaby	GRC	3
Adamstown		275
Adamstown	AUS	5131
Adamstown	BIH	6
Adamstown	CAN	10
Adamstown	CHN	21
Adamstown	DEU	16
Adamstown	EGY	6
Adamstown	FJI	6
Adamstown	FRA	10
Adamstown	GBR	152
Adamstown	GRC	23
Adamstown	HKG	8
Adamstown	HRV	3
Adamstown	IDN	3
Adamstown	IND	26
Adamstown	IRL	21
Adamstown	IRN	5
Adamstown	ITA	24
Adamstown	JPN	6
Adamstown	KHM	3
Adamstown	KOR	11
Adamstown	LKA	4
Adamstown	MKD	58
Adamstown	MYS	5
Adamstown	NLD	3
Adamstown	NPL	8
Adamstown	NZL	58
Adamstown	PAK	3
Adamstown	PHL	31
Adamstown	PNG	3
Adamstown	POL	3
Adamstown	THA	13
Adamstown	TUR	3
Adamstown	USA	34
Adamstown	VNM	8
Adamstown	ZAF	18
Adamstown	ZWE	7
Adamstown Heights		216
Adamstown Heights	AUS	4454
Adamstown Heights	BIH	6
Adamstown Heights	CAN	3
Adamstown Heights	CHN	21
Adamstown Heights	DEU	23
Adamstown Heights	FJI	5
Adamstown Heights	FRA	3
Adamstown Heights	GBR	176
Adamstown Heights	GRC	20
Adamstown Heights	HKG	3
Adamstown Heights	HRV	6
Adamstown Heights	IDN	5
Adamstown Heights	IND	17
Adamstown Heights	IRL	3
Adamstown Heights	ITA	35
Adamstown Heights	JPN	6
Adamstown Heights	KOR	8
Adamstown Heights	LKA	7
Adamstown Heights	MKD	76
Adamstown Heights	MYS	12
Adamstown Heights	NLD	8
Adamstown Heights	NZL	60
Adamstown Heights	PAK	3
Adamstown Heights	PHL	18
Adamstown Heights	PNG	8
Adamstown Heights	POL	6
Adamstown Heights	THA	20
Adamstown Heights	TUR	4
Adamstown Heights	TWN	3
Adamstown Heights	USA	8
Adamstown Heights	VNM	4
Adamstown Heights	ZAF	22
Adamstown Heights	ZWE	4
Adelong		89
Adelong	AUS	805
Adelong	CHN	3
Adelong	GBR	12
Adelong	NZL	14
Adelong	PHL	4
Adelong	SGP	3
Adelong	USA	3
Adelong	ZAF	9
Adjungbilly		6
Adjungbilly	AUS	75
Afterlee		4
Afterlee	AUS	41
Agnes Banks		60
Agnes Banks	AUS	756
Agnes Banks	FRA	3
Agnes Banks	GBR	25
Agnes Banks	GRC	8
Agnes Banks	IDN	4
Agnes Banks	IRL	5
Agnes Banks	ITA	3
Agnes Banks	LBN	3
Agnes Banks	MLT	27
Agnes Banks	NLD	3
Agnes Banks	NZL	3
Agnes Banks	POL	3
Airds		528
Airds	AUS	2070
Airds	BGD	3
Airds	CAN	3
Airds	CHL	3
Airds	CHN	3
Airds	DEU	4
Airds	EGY	6
Airds	FJI	19
Airds	GBR	72
Airds	GRC	9
Airds	HRV	3
Airds	IDN	7
Airds	IND	7
Airds	IRL	3
Airds	IRN	3
Airds	IRQ	6
Airds	ITA	3
Airds	KHM	3
Airds	LBN	35
Airds	MKD	5
Airds	MLT	4
Airds	NLD	7
Airds	NZL	84
Airds	PAK	3
Airds	PHL	7
Airds	POL	8
Airds	THA	5
Airds	USA	3
Airds	VNM	8
Akolele		40
Akolele	AUS	122
Akolele	GBR	3
Akolele	NZL	7
Albert		16
Albert	AUS	66
Albion Park		769
Albion Park	AUS	11027
Albion Park	BIH	3
Albion Park	CAN	19
Albion Park	CHL	34
Albion Park	CHN	17
Albion Park	DEU	105
Albion Park	EGY	5
Albion Park	FJI	9
Albion Park	FRA	10
Albion Park	GBR	788
Albion Park	GRC	3
Albion Park	HRV	22
Albion Park	IDN	5
Albion Park	IND	24
Albion Park	IRL	20
Albion Park	IRN	4
Albion Park	ITA	46
Albion Park	JPN	4
Albion Park	KHM	3
Albion Park	LBN	4
Albion Park	LKA	3
Albion Park	MKD	42
Albion Park	MLT	23
Albion Park	MYS	7
Albion Park	NLD	47
Albion Park	NZL	103
Albion Park	PAK	14
Albion Park	PHL	61
Albion Park	PNG	4
Albion Park	POL	21
Albion Park	THA	10
Albion Park	TUR	3
Albion Park	TWN	5
Albion Park	USA	15
Albion Park	VNM	14
Albion Park	ZAF	25
Albion Park	ZWE	3
Albion Park Rail		566
Albion Park Rail	AUS	5468
Albion Park Rail	BIH	3
Albion Park Rail	CAN	6
Albion Park Rail	CHL	15
Albion Park Rail	CHN	5
Albion Park Rail	DEU	42
Albion Park Rail	EGY	9
Albion Park Rail	FJI	3
Albion Park Rail	FRA	3
Albion Park Rail	GBR	458
Albion Park Rail	GRC	6
Albion Park Rail	HRV	9
Albion Park Rail	IDN	3
Albion Park Rail	IND	6
Albion Park Rail	IRL	5
Albion Park Rail	IRN	7
Albion Park Rail	ITA	17
Albion Park Rail	KOR	3
Albion Park Rail	LBN	7
Albion Park Rail	LKA	3
Albion Park Rail	MKD	21
Albion Park Rail	MLT	24
Albion Park Rail	NLD	52
Albion Park Rail	NPL	3
Albion Park Rail	NZL	58
Albion Park Rail	PAK	3
Albion Park Rail	PHL	26
Albion Park Rail	PNG	5
Albion Park Rail	POL	12
Albion Park Rail	SGP	3
Albion Park Rail	THA	8
Albion Park Rail	TUR	7
Albion Park Rail	USA	10
Albion Park Rail	VNM	14
Albion Park Rail	ZAF	9
Albion Park Rail	ZWE	7
Albury		501
Albury	AFG	9
Albury	AUS	3793
Albury	BGD	8
Albury	CAN	10
Albury	CHN	22
Albury	DEU	36
Albury	FRA	3
Albury	GBR	143
Albury	GRC	13
Albury	HKG	8
Albury	HRV	3
Albury	IDN	3
Albury	IND	47
Albury	IRL	15
Albury	ITA	7
Albury	KOR	3
Albury	LBN	3
Albury	LKA	7
Albury	MUS	3
Albury	MYS	3
Albury	NLD	24
Albury	NPL	16
Albury	NZL	50
Albury	PAK	8
Albury	PHL	15
Albury	PNG	4
Albury	SGP	3
Albury	THA	15
Albury	TWN	3
Albury	USA	7
Albury	VNM	5
Albury	ZAF	11
Albury	ZWE	3
Aldavilla		57
Aldavilla	AUS	1103
Aldavilla	DEU	3
Aldavilla	FJI	4
Aldavilla	GBR	23
Aldavilla	IND	3
Aldavilla	NLD	5
Aldavilla	NZL	12
Aldavilla	VNM	7
Aldavilla	ZAF	3
Alectown		14
Alectown	AUS	143
Alectown	USA	4
Alexandria		1146
Alexandria	AUS	4854
Alexandria	BGD	3
Alexandria	BIH	10
Alexandria	CAN	36
Alexandria	CHL	19
Alexandria	CHN	218
Alexandria	DEU	42
Alexandria	EGY	5
Alexandria	FJI	20
Alexandria	FRA	65
Alexandria	GBR	522
Alexandria	GRC	13
Alexandria	HKG	45
Alexandria	HRV	3
Alexandria	IDN	66
Alexandria	IND	54
Alexandria	IRL	106
Alexandria	IRN	13
Alexandria	IRQ	8
Alexandria	ITA	47
Alexandria	JPN	35
Alexandria	KOR	42
Alexandria	LBN	15
Alexandria	LKA	16
Alexandria	MKD	10
Alexandria	MLT	3
Alexandria	MMR	3
Alexandria	MUS	3
Alexandria	MYS	62
Alexandria	NLD	11
Alexandria	NZL	307
Alexandria	PAK	3
Alexandria	PHL	79
Alexandria	PNG	8
Alexandria	POL	16
Alexandria	SGP	41
Alexandria	THA	52
Alexandria	TUR	13
Alexandria	TWN	29
Alexandria	USA	86
Alexandria	VNM	64
Alexandria	ZAF	53
Alexandria	ZWE	13
Alfords Point		152
Alfords Point	AUS	2346
Alfords Point	CAN	7
Alfords Point	CHL	11
Alfords Point	CHN	29
Alfords Point	DEU	7
Alfords Point	EGY	15
Alfords Point	FJI	6
Alfords Point	GBR	86
Alfords Point	GRC	47
Alfords Point	HKG	19
Alfords Point	HRV	21
Alfords Point	IDN	3
Alfords Point	IND	19
Alfords Point	IRL	13
Alfords Point	ITA	26
Alfords Point	JPN	8
Alfords Point	KHM	3
Alfords Point	KOR	7
Alfords Point	LBN	50
Alfords Point	LKA	8
Alfords Point	MKD	63
Alfords Point	MLT	5
Alfords Point	MUS	9
Alfords Point	MYS	11
Alfords Point	NLD	10
Alfords Point	NZL	20
Alfords Point	PHL	20
Alfords Point	PNG	5
Alfords Point	POL	7
Alfords Point	SGP	3
Alfords Point	THA	6
Alfords Point	USA	15
Alfords Point	VNM	26
Alfords Point	ZAF	12
Alfredtown		18
Alfredtown	AUS	88
Alice	AUS	8
Alison (Central Coast - NSW)		13
Alison (Central Coast - NSW)	AUS	76
Alison (Central Coast - NSW)	GRC	3
Alison (Central Coast - NSW)	ZAF	3
Alison (Dungog - NSW)		9
Alison (Dungog - NSW)	AUS	62
Alison (Dungog - NSW)	GBR	4
Allambie Heights		368
Allambie Heights	AFG	9
Allambie Heights	AUS	4967
Allambie Heights	CAN	35
Allambie Heights	CHL	21
Allambie Heights	CHN	127
Allambie Heights	DEU	56
Allambie Heights	EGY	3
Allambie Heights	FJI	4
Allambie Heights	FRA	18
Allambie Heights	GBR	635
Allambie Heights	GRC	16
Allambie Heights	HKG	32
Allambie Heights	HRV	12
Allambie Heights	IDN	8
Allambie Heights	IND	51
Allambie Heights	IRL	53
Allambie Heights	IRN	9
Allambie Heights	ITA	109
Allambie Heights	JPN	28
Allambie Heights	KOR	23
Allambie Heights	LBN	3
Allambie Heights	LKA	4
Allambie Heights	MLT	4
Allambie Heights	MYS	17
Allambie Heights	NLD	24
Allambie Heights	NPL	6
Allambie Heights	NZL	148
Allambie Heights	PHL	34
Allambie Heights	PNG	6
Allambie Heights	POL	10
Allambie Heights	SGP	12
Allambie Heights	THA	13
Allambie Heights	TWN	12
Allambie Heights	USA	43
Allambie Heights	VNM	6
Allambie Heights	ZAF	68
Allambie Heights	ZWE	7
Allandale (NSW)		8
Allandale (NSW)	AUS	61
Allawah		555
Allawah	AUS	1969
Allawah	BGD	122
Allawah	BIH	40
Allawah	CAN	9
Allawah	CHL	31
Allawah	CHN	1233
Allawah	DEU	10
Allawah	EGY	66
Allawah	FJI	45
Allawah	FRA	8
Allawah	GBR	48
Allawah	GRC	52
Allawah	HKG	160
Allawah	HRV	29
Allawah	IDN	66
Allawah	IND	141
Allawah	IRL	8
Allawah	IRN	10
Allawah	IRQ	4
Allawah	ITA	37
Allawah	JPN	17
Allawah	KOR	18
Allawah	LBN	68
Allawah	LKA	3
Allawah	MKD	102
Allawah	MLT	3
Allawah	MMR	9
Allawah	MUS	4
Allawah	MYS	29
Allawah	NPL	390
Allawah	NZL	64
Allawah	PAK	10
Allawah	PHL	165
Allawah	PNG	3
Allawah	POL	20
Allawah	SGP	18
Allawah	THA	30
Allawah	TUR	8
Allawah	TWN	22
Allawah	USA	23
Allawah	VNM	40
Allawah	ZAF	13
Alleena		12
Alleena	AUS	40
Alleena	ZAF	4
Allgomera		9
Allgomera	AUS	106
Allgomera	GBR	4
Allgomera	NZL	3
Allworth		19
Allworth	AUS	139
Allworth	ZAF	3
Allynbrook		3
Allynbrook	AUS	59
Allynbrook	GBR	3
Alma Park		3
Alma Park	AUS	45
Alpine		16
Alpine	AUS	101
Alpine	CAN	3
Alpine	CHN	3
Alpine	GBR	3
Alpine	NZL	6
Alstonvale		31
Alstonvale	AUS	360
Alstonvale	GBR	25
Alstonvale	PHL	3
Alstonvale	PNG	10
Alstonvale	ZAF	5
Alstonville		377
Alstonville	AUS	4811
Alstonville	CAN	16
Alstonville	CHL	3
Alstonville	CHN	10
Alstonville	DEU	15
Alstonville	FJI	4
Alstonville	FRA	4
Alstonville	GBR	241
Alstonville	GRC	3
Alstonville	HRV	3
Alstonville	IND	7
Alstonville	IRL	13
Alstonville	ITA	16
Alstonville	JPN	3
Alstonville	KOR	3
Alstonville	LKA	3
Alstonville	MLT	4
Alstonville	MYS	8
Alstonville	NLD	28
Alstonville	NZL	91
Alstonville	PHL	7
Alstonville	PNG	17
Alstonville	POL	3
Alstonville	SGP	3
Alstonville	THA	3
Alstonville	USA	15
Alstonville	ZAF	32
Alstonville	ZWE	3
Alumy Creek		11
Alumy Creek	AUS	77
Amaroo (NSW)		5
Amaroo (NSW)	AUS	40
Ambarvale		1042
Ambarvale	AFG	3
Ambarvale	AUS	4925
Ambarvale	BGD	7
Ambarvale	BIH	9
Ambarvale	CAN	12
Ambarvale	CHL	58
Ambarvale	CHN	27
Ambarvale	DEU	26
Ambarvale	EGY	28
Ambarvale	FJI	65
Ambarvale	FRA	6
Ambarvale	GBR	211
Ambarvale	GRC	23
Ambarvale	HKG	10
Ambarvale	HRV	13
Ambarvale	IDN	20
Ambarvale	IND	84
Ambarvale	IRL	8
Ambarvale	IRN	23
Ambarvale	IRQ	31
Ambarvale	ITA	23
Ambarvale	JPN	13
Ambarvale	KHM	14
Ambarvale	KOR	8
Ambarvale	LBN	47
Ambarvale	LKA	8
Ambarvale	MKD	12
Ambarvale	MLT	13
Ambarvale	MUS	23
Ambarvale	MYS	6
Ambarvale	NLD	3
Ambarvale	NPL	3
Ambarvale	NZL	203
Ambarvale	PAK	35
Ambarvale	PHL	179
Ambarvale	PNG	3
Ambarvale	POL	34
Ambarvale	THA	18
Ambarvale	TUR	3
Ambarvale	USA	20
Ambarvale	VNM	19
Ambarvale	ZAF	48
Ambarvale	ZWE	4
Amosfield		3
Amosfield	AUS	24
Amosfield	GBR	4
Anabranch North	AUS	9
Anabranch South	AUS	34
Anambah		14
Anambah	AUS	21
Ando		3
Ando	AUS	64
Anembo		12
Anembo	AUS	46
Angledale		15
Angledale	AUS	126
Angledale	GBR	12
Angledool		20
Angledool	AUS	36
Anglers Reach		33
Anglers Reach	AUS	43
Anglers Reach	GBR	6
Anglers Reach	HRV	3
Anglers Reach	NZL	3
Angourie		24
Angourie	AUS	168
Angourie	GBR	6
Angourie	NZL	6
Anna Bay		446
Anna Bay	AUS	2972
Anna Bay	CAN	10
Anna Bay	CHL	5
Anna Bay	DEU	37
Anna Bay	EGY	3
Anna Bay	FJI	4
Anna Bay	GBR	188
Anna Bay	GRC	3
Anna Bay	HKG	3
Anna Bay	HRV	3
Anna Bay	IND	3
Anna Bay	IRL	5
Anna Bay	ITA	10
Anna Bay	MLT	5
Anna Bay	MYS	8
Anna Bay	NLD	15
Anna Bay	NZL	52
Anna Bay	PHL	14
Anna Bay	PNG	3
Anna Bay	POL	3
Anna Bay	SGP	4
Anna Bay	USA	10
Anna Bay	VNM	3
Anna Bay	ZAF	14
Annandale (NSW)		1081
Annandale (NSW)	AUS	6263
Annandale (NSW)	BGD	3
Annandale (NSW)	CAN	44
Annandale (NSW)	CHL	13
Annandale (NSW)	CHN	118
Annandale (NSW)	DEU	51
Annandale (NSW)	EGY	10
Annandale (NSW)	FJI	19
Annandale (NSW)	FRA	37
Annandale (NSW)	GBR	571
Annandale (NSW)	GRC	39
Annandale (NSW)	HKG	47
Annandale (NSW)	HRV	11
Annandale (NSW)	IDN	42
Annandale (NSW)	IND	57
Annandale (NSW)	IRL	55
Annandale (NSW)	IRN	28
Annandale (NSW)	IRQ	3
Annandale (NSW)	ITA	99
Annandale (NSW)	JPN	24
Annandale (NSW)	KHM	6
Annandale (NSW)	KOR	22
Annandale (NSW)	LBN	19
Annandale (NSW)	LKA	29
Annandale (NSW)	MKD	7
Annandale (NSW)	MLT	12
Annandale (NSW)	MMR	3
Annandale (NSW)	MUS	5
Annandale (NSW)	MYS	44
Annandale (NSW)	NLD	26
Annandale (NSW)	NPL	4
Annandale (NSW)	NZL	237
Annandale (NSW)	PHL	53
Annandale (NSW)	PNG	8
Annandale (NSW)	POL	19
Annandale (NSW)	SGP	32
Annandale (NSW)	THA	55
Annandale (NSW)	TUR	11
Annandale (NSW)	TWN	24
Annandale (NSW)	USA	124
Annandale (NSW)	VNM	40
Annandale (NSW)	ZAF	69
Annandale (NSW)	ZWE	10
Annangrove		86
Annangrove	AUS	1118
Annangrove	CHN	8
Annangrove	DEU	10
Annangrove	FJI	3
Annangrove	GBR	46
Annangrove	HKG	10
Annangrove	HRV	7
Annangrove	IND	3
Annangrove	IRL	6
Annangrove	ITA	16
Annangrove	LBN	7
Annangrove	MLT	6
Annangrove	MYS	3
Annangrove	NLD	3
Annangrove	NZL	21
Annangrove	PHL	6
Annangrove	POL	3
Annangrove	THA	3
Annangrove	USA	9
Annangrove	ZAF	11
Annangrove	ZWE	3
Appin (NSW)		175
Appin (NSW)	AUS	2183
Appin (NSW)	BIH	3
Appin (NSW)	CHN	4
Appin (NSW)	DEU	9
Appin (NSW)	EGY	3
Appin (NSW)	FJI	9
Appin (NSW)	GBR	129
Appin (NSW)	GRC	3
Appin (NSW)	HRV	3
Appin (NSW)	IDN	3
Appin (NSW)	IRL	12
Appin (NSW)	LBN	5
Appin (NSW)	LKA	3
Appin (NSW)	MKD	4
Appin (NSW)	MLT	11
Appin (NSW)	NLD	5
Appin (NSW)	NZL	17
Appin (NSW)	PHL	11
Appin (NSW)	PNG	3
Appin (NSW)	THA	3
Appin (NSW)	VNM	4
Appin (NSW)	ZAF	5
Apple Tree Flat		8
Apple Tree Flat	AUS	29
Appleby		3
Appleby	AUS	38
Appletree Flat		3
Appletree Flat	AUS	15
Apsley (NSW)		7
Apsley (NSW)	AUS	97
Apsley (NSW)	GBR	6
Apsley (NSW)	USA	4
Arable	AUS	16
Arakoon		40
Arakoon	AUS	339
Arakoon	DEU	8
Arakoon	GBR	25
Arakoon	NLD	3
Arakoon	NZL	4
Arakoon	USA	3
Araluen (NSW)		32
Araluen (NSW)	AUS	116
Araluen (NSW)	CAN	3
Araluen (NSW)	GBR	7
Araluen (NSW)	NZL	6
Araluen (NSW)	PHL	3
Aratula (NSW)	AUS	9
Arcadia (NSW)		75
Arcadia (NSW)	AUS	1102
Arcadia (NSW)	CHN	11
Arcadia (NSW)	DEU	10
Arcadia (NSW)	GBR	89
Arcadia (NSW)	HKG	3
Arcadia (NSW)	HRV	4
Arcadia (NSW)	ITA	18
Arcadia (NSW)	LBN	7
Arcadia (NSW)	MYS	4
Arcadia (NSW)	NLD	7
Arcadia (NSW)	NZL	22
Arcadia (NSW)	PHL	3
Arcadia (NSW)	SGP	3
Arcadia (NSW)	USA	4
Arcadia (NSW)	ZAF	5
Arcadia Vale		65
Arcadia Vale	AUS	1177
Arcadia Vale	CAN	4
Arcadia Vale	DEU	9
Arcadia Vale	GBR	67
Arcadia Vale	IRL	8
Arcadia Vale	MYS	4
Arcadia Vale	NLD	3
Arcadia Vale	NZL	10
Arcadia Vale	PHL	3
Arcadia Vale	PNG	3
Arcadia Vale	THA	3
Arcadia Vale	USA	4
Arcadia Vale	ZAF	6
Ardglen		11
Ardglen	AUS	47
Arding		8
Arding	AUS	185
Arding	GBR	3
Arding	NLD	4
Arding	ZAF	3
Ardlethan		88
Ardlethan	AUS	404
Ardlethan	DEU	3
Ardlethan	GBR	13
Ardlethan	NZL	3
Argalong	AUS	29
Argenton		85
Argenton	AUS	1154
Argenton	DEU	10
Argenton	FJI	4
Argenton	GBR	20
Argenton	GRC	10
Argenton	HKG	3
Argenton	IND	4
Argenton	MKD	10
Argenton	MYS	3
Argenton	NLD	3
Argenton	NZL	13
Argenton	PHL	12
Argenton	POL	3
Argenton	THA	8
Argents Hill		29
Argents Hill	AUS	165
Argents Hill	GBR	7
Argents Hill	NZL	6
Argoon (NSW)	AUS	13
Ariah Park		42
Ariah Park	AUS	424
Ariah Park	GBR	16
Ariah Park	IND	3
Arkell		6
Arkell	AUS	35
Arkstone		3
Arkstone	AUS	18
Armatree		11
Armatree	AUS	130
Armatree	NZL	3
Armidale		2397
Armidale	AUS	18245
Armidale	BGD	55
Armidale	CAN	46
Armidale	CHL	6
Armidale	CHN	280
Armidale	DEU	84
Armidale	EGY	3
Armidale	FJI	30
Armidale	FRA	27
Armidale	GBR	584
Armidale	GRC	10
Armidale	HKG	20
Armidale	HRV	5
Armidale	IDN	30
Armidale	IND	157
Armidale	IRL	25
Armidale	IRN	47
Armidale	IRQ	89
Armidale	ITA	19
Armidale	JPN	28
Armidale	KOR	12
Armidale	LBN	4
Armidale	LKA	61
Armidale	MLT	3
Armidale	MMR	12
Armidale	MYS	35
Armidale	NLD	52
Armidale	NPL	151
Armidale	NZL	253
Armidale	PAK	32
Armidale	PHL	148
Armidale	PNG	40
Armidale	POL	10
Armidale	SGP	18
Armidale	THA	26
Armidale	TUR	4
Armidale	TWN	18
Armidale	USA	124
Armidale	VNM	50
Armidale	ZAF	81
Armidale	ZWE	25
Arncliffe		1480
Arncliffe	AFG	3
Arncliffe	AUS	4896
Arncliffe	BGD	141
Arncliffe	BIH	13
Arncliffe	CAN	9
Arncliffe	CHL	43
Arncliffe	CHN	873
Arncliffe	DEU	17
Arncliffe	EGY	62
Arncliffe	FJI	74
Arncliffe	FRA	10
Arncliffe	GBR	188
Arncliffe	GRC	138
Arncliffe	HKG	71
Arncliffe	HRV	36
Arncliffe	IDN	94
Arncliffe	IND	104
Arncliffe	IRL	41
Arncliffe	IRN	19
Arncliffe	IRQ	11
Arncliffe	ITA	127
Arncliffe	JPN	33
Arncliffe	KHM	4
Arncliffe	KOR	25
Arncliffe	LBN	639
Arncliffe	LKA	14
Arncliffe	MKD	364
Arncliffe	MLT	26
Arncliffe	MMR	11
Arncliffe	MUS	20
Arncliffe	MYS	71
Arncliffe	NLD	8
Arncliffe	NPL	118
Arncliffe	NZL	176
Arncliffe	PAK	55
Arncliffe	PHL	207
Arncliffe	PNG	3
Arncliffe	POL	25
Arncliffe	SGP	23
Arncliffe	THA	69
Arncliffe	TUR	8
Arncliffe	TWN	35
Arncliffe	USA	47
Arncliffe	VNM	127
Arncliffe	ZAF	10
Arncliffe	ZWE	8
Arndell Park		13
Arndell Park	AUS	5
Arndell Park	CHN	3
Arndell Park	NZL	3
Arrawarra		80
Arrawarra	AUS	365
Arrawarra	DEU	3
Arrawarra	GBR	40
Arrawarra	NLD	4
Arrawarra	NZL	14
Arrawarra	PHL	7
Arrawarra Headland		39
Arrawarra Headland	AUS	438
