SSC_NAME16	SameAddress1YearAgo	SameAddress5YearsAgo	persons
Aarons Pass	0	1	13
Aarons Pass	1	0	22
Abbotsbury	0	1	3000
Abbotsbury	1	0	3692
Abbotsford (NSW)	0	1	2795
Abbotsford (NSW)	1	0	4145
Abercrombie	0	1	574
Abercrombie	1	0	853
Abercrombie River	0	1	17
Abercrombie River	1	0	20
Aberdare	0	1	1222
Aberdare	1	0	1884
Aberdeen (NSW)	0	1	1166
Aberdeen (NSW)	1	0	1649
Aberfoyle	0	1	60
Aberfoyle	1	0	77
Aberglasslyn	0	1	1845
Aberglasslyn	1	0	3973
Abermain	0	1	1383
Abermain	1	0	1911
Abernethy	0	1	171
Abernethy	1	0	246
Abington (NSW)	0	1	10
Abington (NSW)	1	0	10
Acacia Creek	0	1	28
Acacia Creek	1	0	27
Acacia Gardens	0	1	2180
Acacia Gardens	1	0	3198
Adaminaby	0	1	205
Adaminaby	1	0	262
Adamstown	0	1	3059
Adamstown	1	0	4539
Adamstown Heights	0	1	3294
Adamstown Heights	1	0	4495
Adelong	0	1	620
Adelong	1	0	791
Adjungbilly	0	1	64
Adjungbilly	1	0	76
Afterlee	0	1	32
Afterlee	1	0	41
Agnes Banks	0	1	526
Agnes Banks	1	0	754
Airds	0	1	1744
Airds	1	0	2201
Akolele	0	1	82
Akolele	1	0	118
Albert	0	1	53
Albert	1	0	67
Albion Park	0	1	7867
Albion Park	1	0	10988
Albion Park Rail	0	1	3945
Albion Park Rail	1	0	5467
Albury	0	1	2179
Albury	1	0	3396
Aldavilla	0	1	459
Aldavilla	1	0	589
Alectown	0	1	94
Alectown	1	0	117
Alexandria	0	1	2694
Alexandria	1	0	5413
Alfords Point	0	1	2239
Alfords Point	1	0	2731
Alfredtown	0	1	58
Alfredtown	1	0	89
Alice	0	1	10
Alice	1	0	10
Alison (Central Coast - NSW)	0	1	38
Alison (Central Coast - NSW)	1	0	65
Alison (Dungog - NSW)	0	1	48
Alison (Dungog - NSW)	1	0	66
Allambie Heights	0	1	4357
Allambie Heights	1	0	5889
Allandale (NSW)	0	1	46
Allandale (NSW)	1	0	52
Allawah	0	1	2583
Allawah	1	0	4274
Alleena	0	1	29
Alleena	1	0	47
Allgomera	0	1	99
Allgomera	1	0	110
Allworth	0	1	104
Allworth	1	0	129
Allynbrook	0	1	35
Allynbrook	1	0	56
Alma Park	0	1	31
Alma Park	1	0	48
Alpine	0	1	84
Alpine	1	0	111
Alstonvale	0	1	280
Alstonvale	1	0	358
Alstonville	0	1	3108
Alstonville	1	0	4613
Alumy Creek	0	1	60
Alumy Creek	1	0	67
Amaroo (NSW)	0	1	23
Amaroo (NSW)	1	0	41
Ambarvale	0	1	4141
Ambarvale	1	0	5731
Amosfield	0	1	24
Amosfield	1	0	27
Anabranch North	1	0	6
Anabranch South	0	1	31
Anabranch South	1	0	34
Anambah	0	1	6
Anambah	1	0	23
Ando	0	1	44
Ando	1	0	62
Anembo	0	1	48
Anembo	1	0	48
Angledale	0	1	104
Angledale	1	0	132
Angledool	0	1	37
Angledool	1	0	42
Anglers Reach	0	1	37
Anglers Reach	1	0	53
Angourie	0	1	120
Angourie	1	0	174
Anna Bay	0	1	1911
Anna Bay	1	0	2897
Annandale (NSW)	0	1	4034
Annandale (NSW)	1	0	6639
Annangrove	0	1	912
Annangrove	1	0	1154
Appin (NSW)	0	1	1132
Appin (NSW)	1	0	1909
Apple Tree Flat	0	1	16
Apple Tree Flat	1	0	30
Appleby	0	1	16
Appleby	1	0	29
Appletree Flat	0	1	6
Appletree Flat	1	0	6
Apsley (NSW)	0	1	68
Apsley (NSW)	1	0	98
Arable	0	1	10
Arable	1	0	11
Arakoon	0	1	265
Arakoon	1	0	321
Araluen (NSW)	0	1	95
Araluen (NSW)	1	0	121
Aratula (NSW)	0	1	3
Aratula (NSW)	1	0	9
Arcadia (NSW)	0	1	892
Arcadia (NSW)	1	0	1188
Arcadia Vale	0	1	784
Arcadia Vale	1	0	1074
Ardglen	0	1	24
Ardglen	1	0	47
Arding	0	1	141
Arding	1	0	185
Ardlethan	0	1	288
Ardlethan	1	0	372
Argalong	0	1	18
Argalong	1	0	29
Argenton	0	1	777
Argenton	1	0	1039
Argents Hill	0	1	133
Argents Hill	1	0	184
Argoon (NSW)	0	1	5
Argoon (NSW)	1	0	15
Ariah Park	0	1	315
Ariah Park	1	0	408
Arkell	0	1	31
Arkell	1	0	33
Arkstone	0	1	17
Arkstone	1	0	18
Armatree	0	1	95
Armatree	1	0	131
Armidale	0	1	10189
Armidale	1	0	16345
Arncliffe	0	1	5021
Arncliffe	1	0	7973
Arndell Park	0	1	7
Arndell Park	1	0	14
Arrawarra	0	1	296
Arrawarra	1	0	389
Arrawarra Headland	0	1	295
Arrawarra Headland	1	0	431
Artarmon	0	1	3904
Artarmon	1	0	7004
Arthurville	0	1	35
Arthurville	1	0	36
Arumpo	0	1	22
Arumpo	1	0	32
Ashbury	0	1	2292
Ashbury	1	0	2870
Ashby (NSW)	0	1	196
Ashby (NSW)	1	0	248
Ashby Heights	0	1	120
Ashby Heights	1	0	170
Ashby Island	0	1	8
Ashby Island	1	0	8
Ashcroft	0	1	1872
Ashcroft	1	0	2685
Ashfield (NSW)	0	1	9789
Ashfield (NSW)	1	0	16837
Ashford (NSW)	0	1	408
Ashford (NSW)	1	0	505
Ashley	0	1	203
Ashley	1	0	296
Ashmont	0	1	1891
Ashmont	1	0	2790
Ashtonfield	0	1	2436
Ashtonfield	1	0	3729
Asquith	0	1	1884
Asquith	1	0	2657
Atholwood	0	1	47
