SSC_NAME16	SameAddress1YearAgo	SameAddress5YearsAgo	persons
Atholwood	1	0	73
Attunga	0	1	351
Attunga	1	0	470
Auburn (NSW)	0	1	16234
Auburn (NSW)	1	0	27581
Auburn Vale	0	1	71
Auburn Vale	1	0	94
Austinmer	0	1	1444
Austinmer	1	0	1996
Austral	0	1	1853
Austral	1	0	2397
Austral Eden	0	1	92
Austral Eden	1	0	123
Avalon Beach	0	1	5365
Avalon Beach	1	0	7945
Avisford	0	1	10
Avisford	1	0	24
Avoca (NSW)	0	1	119
Avoca (NSW)	1	0	168
Avoca Beach	0	1	2442
Avoca Beach	1	0	3679
Avondale (NSW)	0	1	978
Avondale (NSW)	1	0	1310
Avonside	0	1	64
Avonside	1	0	94
Awaba	0	1	269
Awaba	1	0	338
Aylmerton	0	1	121
Aylmerton	1	0	176
Baan Baa	0	1	81
Baan Baa	1	0	122
Babyl Creek	0	1	9
Babyl Creek	1	0	9
Back Creek (Bland - NSW)	0	1	22
Back Creek (Bland - NSW)	1	0	35
Back Creek (Gwydir - NSW)	0	1	12
Back Creek (Gwydir - NSW)	1	0	13
Back Creek (Mid-Coast - NSW)	0	1	15
Back Creek (Mid-Coast - NSW)	1	0	20
Back Creek (Queanbeyan-Palerang Regional - NSW)	1	0	4
Back Creek (Tenterfield - NSW)	0	1	3
Back Creek (Tenterfield - NSW)	1	0	11
Back Creek (Tweed - NSW)	0	1	5
Back Creek (Tweed - NSW)	1	0	9
Back Forest	0	1	53
Back Forest	1	0	69
Backmede	0	1	108
Backmede	1	0	122
Backwater	0	1	11
Backwater	1	0	8
Badgerys Creek	0	1	162
Badgerys Creek	1	0	190
Badja	0	1	6
Badja	1	0	6
Baerami	0	1	33
Baerami	1	0	54
Baerami Creek	0	1	19
Baerami Creek	1	0	28
Bagnoo	0	1	35
Bagnoo	1	0	38
Bago	0	1	13
Bago	1	0	22
Bagotville	0	1	36
Bagotville	1	0	38
Bakers Creek (Mid-Coast - NSW)	0	1	18
Bakers Creek (Mid-Coast - NSW)	1	0	31
Bakers Creek (Nambucca - NSW)	0	1	9
Bakers Creek (Nambucca - NSW)	1	0	12
Bakers Creek (Uralla - NSW)	0	1	9
Bakers Creek (Uralla - NSW)	1	0	10
Bakers Swamp	0	1	30
Bakers Swamp	1	0	31
Balaclava (NSW)	0	1	260
Balaclava (NSW)	1	0	346
Balala	0	1	84
Balala	1	0	104
Balcolyn	0	1	474
Balcolyn	1	0	726
Bald Blair	0	1	28
Bald Blair	1	0	32
Bald Hills (NSW)	0	1	151
Bald Hills (NSW)	1	0	196
Bald Nob	0	1	8
Bald Nob	1	0	9
Bald Ridge	0	1	4
Bald Ridge	1	0	9
Baldersleigh	0	1	24
Baldersleigh	1	0	36
Baldry	0	1	63
Baldry	1	0	83
Balfours Peak	0	1	25
Balfours Peak	1	0	28
Balgowlah	0	1	3694
Balgowlah	1	0	6040
Balgowlah Heights	0	1	1889
Balgowlah Heights	1	0	2801
Balgownie	0	1	3423
Balgownie	1	0	4669
Balickera	0	1	14
Balickera	1	0	18
Balladoran	0	1	81
Balladoran	1	0	88
Ballalaba	0	1	20
Ballalaba	1	0	20
Balldale	0	1	108
Balldale	1	0	127
Ballengarra	0	1	37
Ballengarra	1	0	64
Ballimore	0	1	100
Ballimore	1	0	131
Ballina	0	1	3747
Ballina	1	0	6246
Ballyroe	1	0	4
Balmain	0	1	4470
Balmain	1	0	7357
Balmain East	0	1	888
Balmain East	1	0	1403
Balmoral (Lake Macquarie - NSW)	0	1	428
Balmoral (Lake Macquarie - NSW)	1	0	601
Balmoral (Wingecarribee - NSW)	0	1	245
Balmoral (Wingecarribee - NSW)	1	0	339
Balranald	0	1	749
Balranald	1	0	1056
Bamarang	0	1	10
Bamarang	1	0	24
Bandon Grove	0	1	79
Bandon Grove	1	0	97
Bangadang	0	1	6
Bangadang	1	0	13
Bangalee (NSW)	0	1	417
Bangalee (NSW)	1	0	562
Bangalow	0	1	932
Bangalow	1	0	1550
Bangheet	0	1	25
Bangheet	1	0	32
Bango	0	1	52
Bango	1	0	82
Bangor (NSW)	0	1	3750
Bangor (NSW)	1	0	4805
Banksia	0	1	2034
Banksia	1	0	2721
Banksmeadow	0	1	8
Banksmeadow	1	0	12
Bankstown	0	1	15156
Bankstown	1	0	24061
Bannaby	0	1	27
Bannaby	1	0	31
Bannister (NSW)	0	1	77
Bannister (NSW)	1	0	112
Banoon	0	1	18
Banoon	1	0	17
Banora Point	0	1	8538
Banora Point	1	0	12708
Banyabba	0	1	31
Banyabba	1	0	33
Bar Beach	0	1	577
Bar Beach	1	0	872
Bar Point	0	1	35
Bar Point	1	0	53
Bara	0	1	10
Bara	1	0	10
Baradine	0	1	475
Baradine	1	0	601
Barangaroo	0	1	5
Barangaroo	1	0	8
Barden Ridge	0	1	2946
Barden Ridge	1	0	3811
Bardia	0	1	84
Bardia	1	0	1040
Bardwell Park	0	1	1470
Bardwell Park	1	0	1913
Bardwell Valley	0	1	1444
Bardwell Valley	1	0	1936
Barellan	0	1	349
Barellan	1	0	415
Bargo	0	1	2495
Bargo	1	0	3638
Barham	0	1	813
Barham	1	0	1162
Barigan	0	1	5
Barigan	1	0	9
Barkers Vale	0	1	98
Barkers Vale	1	0	138
Barmedman	0	1	267
Barmedman	1	0	369
Barnsley	0	1	1074
Barnsley	1	0	1464
Barooga	0	1	959
Barooga	1	0	1395
Barraba	0	1	802
Barraba	1	0	1073
Barrack Heights	0	1	3563
Barrack Heights	1	0	4728
Barrack Point	0	1	377
Barrack Point	1	0	535
Barraganyatti	0	1	88
Barraganyatti	1	0	108
Barragga Bay	0	1	57
Barragga Bay	1	0	77
Barrengarry	0	1	83
Barrengarry	1	0	137
Barretts Creek	0	1	13
Barretts Creek	1	0	13
Barringella	0	1	13
Barringella	1	0	25
Barrington (NSW)	0	1	252
Barrington (NSW)	1	0	298
Barry (Blayney - NSW)	0	1	90
Barry (Blayney - NSW)	1	0	114
Barry (Upper Hunter Shire - NSW)	1	0	3
Barwang	0	1	59
Barwang	1	0	68
Barwon	0	1	18
Barwon	1	0	29
Baryulgil	0	1	51
Baryulgil	1	0	69
Basin View	0	1	803
Basin View	1	0	1209
Bass Hill	0	1	5181
Bass Hill	1	0	7406
Bassendean (NSW)	1	0	3
Batar Creek	0	1	45
Batar Creek	1	0	63
Bateau Bay	0	1	6572
Bateau Bay	1	0	9640
Batehaven	0	1	796
Batehaven	1	0	1300
Batemans Bay	0	1	658
Batemans Bay	1	0	1050
Bathampton	0	1	26
Bathampton	1	0	33
Bathurst	0	1	2582
Bathurst	1	0	4472
Batlow	0	1	759
Batlow	1	0	1014
Baulkham Hills	0	1	21231
Baulkham Hills	1	0	30642
Baw Baw (NSW)	0	1	144
Baw Baw (NSW)	1	0	210
Bawley Point	0	1	392
Bawley Point	1	0	565
Bayview (NSW)	0	1	1941
Bayview (NSW)	1	0	2881
Beacon Hill	0	1	4560
Beacon Hill	1	0	6275
Beaconsfield (NSW)	0	1	358
Beaconsfield (NSW)	1	0	682
Bean Creek	0	1	40
Bean Creek	1	0	54
Bearbong	0	1	40
Bearbong	1	0	56
Beaumont (NSW)	0	1	65
Beaumont (NSW)	1	0	85
Beaumont Hills	0	1	4884
Beaumont Hills	1	0	7635
Beckom	0	1	71
Beckom	1	0	110
Bective	0	1	114
Bective	1	0	136
Bectric	0	1	30
Bectric	1	0	37
Bedgerabong	0	1	86
Bedgerabong	1	0	119
Beechwood	0	1	351
Beechwood	1	0	531
Beecroft	0	1	5496
Beecroft	1	0	7909
Beelbangera	0	1	242
Beelbangera	1	0	342
Beemunnel	0	1	7
Beemunnel	1	0	12
Bega	0	1	2467
Bega	1	0	3541
Beggan Beggan	0	1	58
Beggan Beggan	1	0	81
Belanglo	0	1	10
Belanglo	1	0	19
Belbora	0	1	73
Belbora	1	0	96
Belfield	0	1	3919
Belfield	1	0	5322
Belford	0	1	69
Belford	1	0	128
Belfrayden	0	1	16
Belfrayden	1	0	25
Belgravia	0	1	72
Belgravia	1	0	107
Belimbla Park	0	1	361
Belimbla Park	1	0	498
Bell (NSW)	0	1	28
Bell (NSW)	1	0	46
Bella Vista	0	1	4552
Bella Vista	1	0	6493
Bellambi	0	1	2307
Bellambi	1	0	3187
Bellangry	0	1	58
Bellangry	1	0	77
Bellata	0	1	210
Bellata	1	0	267
Bellawongarah	0	1	73
Bellawongarah	1	0	103
Bellbird	0	1	1141
Bellbird	1	0	1600
Bellbird Heights	0	1	490
Bellbird Heights	1	0	658
Bellbrook	0	1	155
Bellbrook	1	0	228
Bellevue Hill	0	1	4584
Bellevue Hill	1	0	7642
Bellimbopinni	0	1	62
Bellimbopinni	1	0	87
Bellingen	0	1	1834
Bellingen	1	0	2930
Bellmount Forest	0	1	75
Bellmount Forest	1	0	103
Belltrees	0	1	17
Belltrees	1	0	18
Belmont (NSW)	0	1	3911
Belmont (NSW)	1	0	5540
Belmont North	0	1	3773
Belmont North	1	0	5303
Belmont South	0	1	609
Belmont South	1	0	833
Belmore	0	1	6984
Belmore	1	0	10002
Belmore River	0	1	176
Belmore River	1	0	228
Beloka	0	1	16
Beloka	1	0	16
Belowra	0	1	7
Belowra	1	0	7
Belrose	0	1	5365
Belrose	1	0	7377
Bemboka	0	1	330
Bemboka	1	0	482
Ben Bullen	0	1	49
Ben Bullen	1	0	67
Ben Lomond (NSW)	0	1	90
Ben Lomond (NSW)	1	0	107
Benandarah	0	1	84
Benandarah	1	0	121
Bendalong	0	1	47
Bendalong	1	0	64
Bendemeer	0	1	291
Bendemeer	1	0	399
Bendick Murrell	0	1	96
Bendick Murrell	1	0	120
Bendolba	0	1	119
Bendolba	1	0	152
Bendoura	0	1	33
Bendoura	1	0	53
Benerembah	0	1	68
Benerembah	1	0	96
Bengalla	0	1	10
Bengalla	1	0	13
Bennetts Green	0	1	7
Bennetts Green	1	0	10
Benolong	0	1	30
Benolong	1	0	43
Bensville	0	1	1586
Bensville	1	0	2132
Bentley (NSW)	0	1	134
Bentley (NSW)	1	0	170
Berala	0	1	4883
Berala	1	0	7170
Berambing	0	1	63
Berambing	1	0	82
Beresfield	0	1	1846
Beresfield	1	0	2497
Bergalia	0	1	112
Bergalia	1	0	134
Berkeley	0	1	4665
Berkeley	1	0	6233
Berkeley Vale	0	1	4553
Berkeley Vale	1	0	6746
Berkshire Park	0	1	723
Berkshire Park	1	0	950
Bermagui	0	1	787
Bermagui	1	0	1230
Berowra	0	1	3184
Berowra	1	0	4065
Berowra Creek	0	1	11
Berowra Creek	1	0	8
Berowra Heights	0	1	3469
Berowra Heights	1	0	4561
Berowra Waters	0	1	39
Berowra Waters	1	0	48
Berrambool	0	1	215
Berrambool	1	0	347
Berrara	0	1	181
Berrara	1	0	244
Berremangra	0	1	64
Berremangra	1	0	77
Berrico	0	1	21
Berrico	1	0	22
Berridale	0	1	610
Berridale	1	0	909
Berrigal	0	1	15
Berrigal	1	0	23
Berrigan	0	1	734
Berrigan	1	0	971
Berrilee	0	1	143
Berrilee	1	0	187
Berrima	0	1	328
Berrima	1	0	486
Berringer Lake	0	1	10
Berringer Lake	1	0	15
Berry	0	1	1330
Berry	1	0	2046
Berry Jerry	0	1	46
Berry Jerry	1	0	52
Berry Mountain	0	1	15
Berry Mountain	1	0	18
Berry Park	0	1	83
Berry Park	1	0	104
Berthong	0	1	16
Berthong	1	0	24
Beryl	0	1	66
Beryl	1	0	98
Bethungra	0	1	118
Bethungra	1	0	138
Bevendale	0	1	25
Bevendale	1	0	40
Beverley Park	0	1	1397
Beverley Park	1	0	1904
Beverly Hills	0	1	5962
Beverly Hills	1	0	8321
Bewong	0	1	43
Bewong	1	0	51
Bexhill	0	1	299
Bexhill	1	0	403
Bexley	0	1	10798
Bexley	1	0	15424
Bexley North	0	1	2502
Bexley North	1	0	3377
Biala	0	1	44
Biala	1	0	53
Bibbenluke	0	1	65
Bibbenluke	1	0	72
Biddon	0	1	66
Biddon	1	0	76
Bidgeemia	0	1	21
Bidgeemia	1	0	33
Bidwill (NSW)	0	1	2445
Bidwill (NSW)	1	0	3336
Bielsdown Hills	0	1	59
Bielsdown Hills	1	0	76
Big Hill (NSW)	0	1	33
Big Hill (NSW)	1	0	42
Big Jacks Creek	0	1	24
Big Jacks Creek	1	0	38
Big Ridge	0	1	6
Big Ridge	1	0	14
Big Springs	0	1	78
Big Springs	1	0	92
Bigga	0	1	150
Bigga	1	0	175
Bilambil	0	1	241
Bilambil	1	0	335
Bilambil Heights	0	1	1837
Bilambil Heights	1	0	2693
Bilbul	0	1	327
Bilbul	1	0	430
Bilgola Beach	0	1	164
Bilgola Beach	1	0	194
Bilgola Plateau	0	1	2130
Bilgola Plateau	1	0	2963
Billeroy	0	1	17
Billeroy	1	0	32
Billilingra	0	1	10
Billilingra	1	0	10
Billimari	0	1	90
Billimari	1	0	119
Billinudgel	0	1	111
Billinudgel	1	0	152
Billys Creek	0	1	35
Billys Creek	1	0	46
Billywillinga	0	1	123
Billywillinga	1	0	173
Bilpin	0	1	397
Bilpin	1	0	540
Bimbi	0	1	68
Bimbi	1	0	76
Bimbimbie	0	1	47
Bimbimbie	1	0	85
Binalong	0	1	312
Binalong	1	0	409
Binda	0	1	152
Binda	1	0	200
Bindera	0	1	20
Bindera	1	0	21
Bingara	0	1	804
Bingara	1	0	1063
Bingeebeebra Creek	0	1	18
Bingeebeebra Creek	1	0	27
Bingie	0	1	121
Bingie	1	0	162
Bingleburra	0	1	26
Bingleburra	1	0	25
Biniguy	0	1	87
Biniguy	1	0	106
Binjura	0	1	178
Binjura	1	0	241
Binna Burra (NSW)	0	1	107
Binna Burra (NSW)	1	0	142
Binnaway	0	1	353
Binnaway	1	0	471
Binya	0	1	92
Binya	1	0	119
Birchgrove	0	1	1536
Birchgrove	1	0	2409
Birdwood (NSW)	0	1	25
Birdwood (NSW)	1	0	27
Birganbigil	0	1	35
Birganbigil	1	0	52
Birmingham Gardens	0	1	819
Birmingham Gardens	1	0	1432
Birriwa	0	1	31
Birriwa	1	0	29
Birrong	0	1	1938
Birrong	1	0	2585
Bishops Bridge	0	1	154
Bishops Bridge	1	0	185
Bithramere	0	1	109
Bithramere	1	0	140
Black Creek (Port Macquarie-Hastings - NSW)	0	1	38
Black Creek (Port Macquarie-Hastings - NSW)	1	0	46
Black Creek (Snowy Valleys - NSW)	0	1	8
Black Creek (Snowy Valleys - NSW)	1	0	18
Black Head	0	1	341
Black Head	1	0	626
Black Hill (NSW)	0	1	364
Black Hill (NSW)	1	0	480
Black Hollow	0	1	20
Black Hollow	1	0	20
Black Mountain (NSW)	0	1	180
Black Mountain (NSW)	1	0	240
Black Range (NSW)	0	1	82
Black Range (NSW)	1	0	145
Black Springs (NSW)	0	1	95
Black Springs (NSW)	1	0	147
Blackalls Park	0	1	1554
Blackalls Park	1	0	2216
Blackbutt (NSW)	0	1	1852
Blackbutt (NSW)	1	0	2681
Blackett	0	1	1820
Blackett	1	0	2599
Blackheath	0	1	2259
Blackheath	1	0	3409
Blackmans Flat	0	1	11
Blackmans Flat	1	0	11
Blackmans Point	0	1	94
Blackmans Point	1	0	141
Blacksmiths	0	1	1128
Blacksmiths	1	0	1515
Blacktown	0	1	22843
Blacktown	1	0	36078
Blackville	0	1	57
Blackville	1	0	69
Blackwall (NSW)	0	1	910
Blackwall (NSW)	1	0	1421
Blair Athol (NSW)	0	1	1685
Blair Athol (NSW)	1	0	2411
Blairmount	0	1	195
Blairmount	1	0	320
Blakebrook	0	1	95
Blakebrook	1	0	124
Blakehurst	0	1	3791
Blakehurst	1	0	5199
Blakney Creek	0	1	25
Blakney Creek	1	0	52
Bland	0	1	22
Bland	1	0	36
Blandford	0	1	124
Blandford	1	0	166
Blaxland (NSW)	0	1	4472
Blaxland (NSW)	1	0	6132
Blaxlands Creek	0	1	77
Blaxlands Creek	1	0	101
Blaxlands Ridge	0	1	317
Blaxlands Ridge	1	0	411
Blayney	0	1	1775
Blayney	1	0	2574
Bligh Park	0	1	3374
Bligh Park	1	0	5125
Blighty	0	1	77
Blighty	1	0	115
Blue Bay	0	1	456
Blue Bay	1	0	733
Blue Haven	0	1	3160
Blue Haven	1	0	4998
Blue Knob	0	1	136
Blue Knob	1	0	169
Blue Nobby	0	1	24
Blue Nobby	1	0	23
Blue Vale	0	1	43
Blue Vale	1	0	51
Blueys Beach	0	1	94
Blueys Beach	1	0	154
Boambee	0	1	1013
Boambee	1	0	1338
Boambee East	0	1	2782
Boambee East	1	0	4090
Boambolo	0	1	29
Boambolo	1	0	44
Boat Harbour (Lismore - NSW)	0	1	82
Boat Harbour (Lismore - NSW)	1	0	124
Boat Harbour (Port Stephens - NSW)	0	1	502
Boat Harbour (Port Stephens - NSW)	1	0	764
Bobadah	0	1	5
Bobadah	1	0	6
Bobin	0	1	90
Bobin	1	0	126
Bobs Creek	0	1	54
Bobs Creek	1	0	65
Bobs Farm	0	1	269
Bobs Farm	1	0	352
Bobundara	0	1	16
Bobundara	1	0	13
Boco	1	0	3
Bocoble	0	1	85
Bocoble	1	0	121
Bocobra	0	1	32
Bocobra	1	0	35
Bodalla	0	1	435
Bodalla	1	0	625
Bodangora	0	1	57
Bodangora	1	0	55
Boeill Creek	0	1	48
Boeill Creek	1	0	62
Bogan	0	1	9
Bogan	1	0	14
Bogan Gate	0	1	160
Bogan Gate	1	0	223
Bogangar	0	1	1546
Bogangar	1	0	2341
Bogee	0	1	51
Bogee	1	0	60
Boggabilla	0	1	632
Boggabilla	1	0	775
Boggabri	0	1	586
Boggabri	1	0	861
Bohena Creek	0	1	115
Bohena Creek	1	0	139
Bohnock	0	1	43
Bohnock	1	0	65
Bolaro	0	1	22
Bolaro	1	0	36
Bolivia	0	1	38
Bolivia	1	0	60
Bolong	0	1	74
Bolong	1	0	88
Bolton Point	0	1	1076
Bolton Point	1	0	1672
Bolwarra (NSW)	0	1	572
Bolwarra (NSW)	1	0	786
Bolwarra Heights	0	1	1523
Bolwarra Heights	1	0	2403
Bomaderry	0	1	3411
Bomaderry	1	0	5061
Bombah Point	0	1	3
Bombah Point	1	0	4
Bombala	0	1	807
Bombala	1	0	1097
Bombay	0	1	72
Bombay	1	0	96
Bombira	0	1	170
Bombira	1	0	285
Bombo	0	1	59
Bombo	1	0	84
Bombowlee	0	1	194
Bombowlee	1	0	226
Bombowlee Creek	0	1	43
Bombowlee Creek	1	0	44
Bomen	0	1	15
Bomen	1	0	19
Bomera	0	1	26
Bomera	1	0	34
Bonalbo	0	1	189
Bonalbo	1	0	283
Bondi	0	1	3532
Bondi	1	0	6422
Bondi Beach	0	1	3438
Bondi Beach	1	0	6992
Bondi Junction	0	1	3227
Bondi Junction	1	0	5942
Bonnells Bay	0	1	1735
Bonnells Bay	1	0	2768
Bonnet Bay	0	1	1502
Bonnet Bay	1	0	1959
Bonny Hills	0	1	1643
Bonny Hills	1	0	2406
Bonnyrigg	0	1	5262
Bonnyrigg	1	0	7239
Bonnyrigg Heights	0	1	5100
Bonnyrigg Heights	1	0	6368
Bonshaw (NSW)	0	1	71
Bonshaw (NSW)	1	0	100
Bonville	0	1	1365
Bonville	1	0	2023
Booerie Creek	0	1	92
Booerie Creek	1	0	120
Book Book	0	1	55
Book Book	1	0	72
Booker Bay	0	1	583
Booker Bay	1	0	979
Bookham	0	1	92
Bookham	1	0	119
Bookookoorara	0	1	18
Bookookoorara	1	0	23
Boolambayte	0	1	51
Boolambayte	1	0	58
Boolaroo	0	1	558
Boolaroo	1	0	819
Boolcarroll	0	1	10
Boolcarroll	1	0	9
Booligal	0	1	62
Booligal	1	0	81
Boomanoomana	0	1	48
Boomanoomana	1	0	57
Boomerang Beach	0	1	124
Boomerang Beach	1	0	208
Boomey	0	1	21
Boomey	1	0	63
Boomi	0	1	105
Boomi	1	0	151
Boomi Creek	0	1	14
Boomi Creek	1	0	16
Boona Mount	0	1	18
Boona Mount	1	0	18
Boonal	0	1	24
Boonal	1	0	27
Boonoo Boonoo	0	1	15
Boonoo Boonoo	1	0	12
Boorabee Park	0	1	68
Boorabee Park	1	0	82
Booragul	0	1	742
Booragul	1	0	1030
Booral (NSW)	0	1	245
Booral (NSW)	1	0	333
Boorga	0	1	12
Boorga	1	0	14
Boorganna	0	1	16
Boorganna	1	0	21
Boorolong	0	1	48
Boorolong	1	0	62
Boorook	0	1	15
Boorook	1	0	22
Boorooma	0	1	75
Boorooma	1	0	486
Booroorban	0	1	17
Booroorban	1	0	30
Boorowa	0	1	928
Boorowa	1	0	1316
Bootawa	0	1	99
Bootawa	1	0	123
Booyong	0	1	50
Booyong	1	0	66
Bora Ridge	0	1	55
Bora Ridge	1	0	99
Borah Creek	0	1	19
Borah Creek	1	0	28
Borambola	0	1	59
Borambola	1	0	98
Boree	0	1	49
Boree	1	0	75
Boree Creek	0	1	138
Boree Creek	1	0	151
Borenore	0	1	266
Borenore	1	0	339
Boro	0	1	42
Boro	1	0	62
Bossley Park	0	1	9469
Bossley Park	1	0	12367
Bostobrick	0	1	93
Bostobrick	1	0	117
Botany	0	1	5121
Botany	1	0	8241
Botobolar	0	1	44
Botobolar	1	0	71
Bottle Creek	0	1	16
Bottle Creek	1	0	21
Bourbah	0	1	22
Bourbah	1	0	27
Bourke	0	1	887
Bourke	1	0	1286
Bourkelands	0	1	1106
Bourkelands	1	0	2113
Bournda	0	1	70
Bournda	1	0	112
Bournewood	0	1	26
Bournewood	1	0	41
Bow Bowing	0	1	1013
Bow Bowing	1	0	1355
Bowan Park	0	1	71
Bowan Park	1	0	97
Bowen Mountain	0	1	847
Bowen Mountain	1	0	1265
Bowenfels	0	1	995
Bowenfels	1	0	1479
Bowling Alley Point	0	1	23
Bowling Alley Point	1	0	31
Bowman	0	1	77
Bowman	1	0	107
Bowman Farm	0	1	21
Bowman Farm	1	0	42
Bowmans Creek	0	1	8
Bowmans Creek	1	0	6
Bowna	0	1	57
Bowna	1	0	96
Bowning	0	1	365
Bowning	1	0	462
Bowral	0	1	4966
Bowral	1	0	7927
Bowraville	0	1	654
Bowraville	1	0	859
Box Hill (NSW)	0	1	597
Box Hill (NSW)	1	0	759
Box Ridge	0	1	29
Box Ridge	1	0	36
Boxers Creek	0	1	125
Boxers Creek	1	0	180
